"","ID","date","url","title","source","duplicate","body"
"1","1029973052","2018-12-31","http://pib.nic.in/newsite/PrintRelease.aspx?relid=186983","Government has developed several mechanisms to ensure the quality of education in Govt schools","pib.nic.in",FALSE,"Central Government has developed the following mechanism for the monitoring of quality of education in Government schools:

(i) A web portal called ShaGun(from the words Shaala and Gunvatta) which has two parts i.e., one is a Repository of good practices, photographs, videos, studies, newspaper articles etc on elementary education, State /UT wise has been developed. Its purpose is to showcase success stories and also to provide a platform for all stakeholders to learn from each other, and instill a positive competitive spirit among all the States and UTs.

The second part is the online monitoring module of Shagun which measures state-level performance and progress against key educational indicators which enables the Government of India and the State and UT Departments of education to conduct real-time assessments which normal paper-based monitoring mechanisms did not allow. Through Shagun, the data collection and reporting processes have been simplified; resulting in a totally transparent and efficient system.

In addition, an online Project Monitoring System (PMS) has been developed to monitor physical and financial progress of implementation of various components under Samagra Shiksha including appraisal of Annual Plans and issuing of sanctions etc.

(ii) In order to increase focus on quality of elementary education, the Central rules to the RTE Act, 2009 have been amended on 20 February, 2017 to include reference on class-wise, subject-wise Learning Outcomes. The Learning Outcomes for each class in Languages (Hindi, English and Urdu), Mathematics, Environmental Studies, Science and Social Science up to the elementary stage have, accordingly, been finalized and shared with all States and UTs. Learning

outcomes have been translated in different languages and serve as a benchmark for student's capabilities to be achieved in each subject & class.

(iii) Shaala Siddhi is a School Standards and Evaluation Framework, developed by the National University of Educational Planning and Administration (NUEPA), which enables the schools to self evaluate based on seven key domains.

(iv) The NCERT has developed a framework for Performance Indicators for Elementary School Teachers (PINDICS) and shared with the states. PINDICS is a framework for assessing teacher performance and providing constructive feedback for further improvement.

(v) National Achievement Surveys are carried out by National Council for Educational Research and Training to assess learning achievement of children in Classes - III, V, VIII, and X. The National Achievement Survey (NAS) 2017, was held on 13 November for assessing the competencies of children at the grade levels III, V and VIII covering 22 lakh students from 1.10 lakh schools in all 36 states and UTs. NAS (2017) was administered with districts as the unit of reporting in different subject areas such as languages, mathematics, EVS/Science and Social Sciences in the Government and Government aided schools. The competency based test was based on the Learning Outcomes which were recently incorporated in the Central Rules for RTE Act by the Government of India.

The National Achievement Survey for students of Class X was similarly, held on 5th February 2018, with a district level sampling framework covering nearly 15.5 lakh students using multiple test booklets in Mathematics, Modern Indian Languages, English, Sciences and Social Sciences. NAS district report cards have been shared with the States and UTs to help in identifying gaps at the district level. Subsequently, a framework of intervention has been developed and shared with States to improve the quality of learning in the schools.

Further, Central Government has taken the following initiatives for improving quality of education:

(i) Section 23(2) of the RTE Act has been amended to extend the period for training of untrained in-service elementary teachers to 31st March, 2019. As per above amendment, all untrained in-service teachers working in Government, Government aided, and Private un-aided schools should acquire minimum qualification as laid down by an academic authority, authorized by the Central Government, by 31st March, 2019. The National Institute of Open Schooling (NIOS) has been entrusted to conduct this training through ODL (Open Distance Learning) mode. The online D.El.Ed. course has started from 3rd October, 2017. More than 13 Lakh teachers have joined these courses.

(ii) Further, the Department of School Education and Literacy has launched an Integrated Scheme for School Education-Samagra Shiksha, subsuming three erstwhile Centrally Sponsored Schemes of Sarva Shiksha Abhiyan (SSA), Rashtriya Madhyamik Shiksha Abhiyan (RMSA) and Teacher Education (TE). With effect from 1st April, 2018. The new integrated scheme envisages school education as a continuum from pre-school to senior secondary level and aims to ensure inclusive and equitable quality education at all levels. The main objectives of the scheme are to provide quality education, enhancing learning outcomes of students, bridging social and gender gaps in school education, ensuring requisite infrastructure in schools, support to states in the implementation of RTE Act, 2009 and strengthening of teacher education institutions.

The Samagra Shiksha scheme focuses on improvement of quality of education by providing support for different interventions like; in-service training of teachers and schools heads, conduct of achievement surveys at National and State level, provision of textbooks as per Right of Children to Free and Compulsory Education (RTE) Act, 2009, remedial teaching for academically weaker students, ICT and digital initiatives, vocational education, composite school grant to every school for providing a conducive learning environment has been increased and from this year provisions for library grants and grants for sports and physical education have also been introduced.

The Government has also launched Rashtriya Aavishkar Abhiyan (RAA) programme on 09.07.2015, to motivate and engage children of the age group from 6-18 years in Science, Mathematics and Technology through observation, experimentation, inference drawing, model building, etc. both through inside and outside classroom activities.

e PATHSHALA: a single point repository of e ­resources containing NCERT textbooks and various other learning resources has been developed for showcasing and disseminating all educational resources including textbooks, audio, video, periodicals, and a variety of other print and non-­print materials.

The Central Government, supports States and UTs on early grade reading, writing & comprehension, and early Mathematics programmes through a sub-programme namely 'Padhe Bharat Badhe Bharat' (PBBB) in foundational years of schooling.

(iii) MHRD, has launched a Massive Open Online Courses (MOOCs) platform popularly known as SWAYAM (Study Webs of Active learning for Young Aspiring Minds) on 9 July, 2017. The portal is offering various online courses for school education and higher education. NCERT has been developing course modules for Massive Open and Online Course (MOOCs) for school education system in 12 subject areas (Accountancy, business studies, biology, chemistry, economic, history, geography, mathematics, physics, political science, psychology and sociology) for classes IX-XII. Twelve (12) courses and twenty one (21) courses have been completed in the first cycle and second cycle (completed on 30 Nov. 2018) on SWAYAM platform (https://swayam.gov.in/) respectively. Nearly 22,000 students and 30,000 students were registered in the first cycle and second cycle respectively.

(iv) CIET-NCERT has been assigned the task of developing e-resources for Master of Education (M.Ed.) course jointly with Allahabad University. One course (Educational Administration, Management and Leadership in School Education) has been completed first cycle on SWAYAM platform in which 2115 were enrolled. The second cycle of this course is offered from 2 July 2018.

Besides, an online course on action research for teachers is conducted in regular intervals in the MOODLE platform (http://ictcurriculum.gov.in/ ). Post Graduate Diploma in Guidance and Counselling for in-service teachers is also offered through the same course portal. Several other online courses are developed for inservice teachers professional development and delivered through the portal https://itpd.ncert.org.in/.

(v) A programme for utilization of satellite communication technologies for transmission of educational e-contents through 32 National Channels i.e. SWAYAM PRABHA DTH-TV has been launched. CIET-NCERT is the national coordinator for one DTH TV channel i.e., Kishore Manch (#31) and has started feeding a 24x7 educational TV channel w.e.f. 09 July, 2018. Everyday four hour fresh slot is telecast and repeated six times in 24 hours to provide learning opportunities for the stake holders, as per their convenience. Besides, NIOS is running 5 channels for teachers, for Secondary and Sr. Secondary levels and for sign language.

(vi) MHRD has launched Diksha Portal for providing digital platform to teachers giving them an opportunity to learn and train themselves and connect with teacher community. The portal envisages to help teachers boost their teaching skills and create their own separate profile with their skills and knowledge, and help in improving quality of education with use of latest technologies in education sector.

This information was given by the Minister of State (HRD), Dr. Satya Pal Singh today in a written reply to a Lok Sabha question."
"2","1029889288","2018-12-31","https://swarajyamag.com/politics/maharashtra-government-finds-a-new-way-to-avoid-paying-rte-reimbursement-for-poor-children","Maharashtra Government Finds A New Way To Avoid Paying RTE Reimbursement For Poor Children","swarajyamag.com",FALSE,"Under the Right to Education Act, certain private schools are required to reserve 25 per cent of the seats in entry-level classes for the more disadvantaged children.

States in turn are to reimburse a certain amount of money for every RTE admission.

However, it turns out that the Maharashtra government is looking around for ways to not pay these schools the money it owes them.

The Bharatiya Janata Party (BJP) government in Maharashtra, led by Chief Minister Devendra Fadnavis, can claim credit for many successes, especially with the irrigation project Jalyukt Shivar and an impressive infrastructure upgrade topping the list. However, its record on one front has been abysmal, i.e., in fulfilling its responsibility under the Right to Education (RTE) Act.

According to Section 12 of the RTE, non-minority unaided private schools are required to reserve 25 per cent of the seats in entry-level classes (either primary level or Class 1) for students belonging to disadvantaged groups (DGs) [Scheduled Castes (SCs), Scheduled Tribes (STs), etc] and economically weaker sections (EWS) [income less than a certain amount]. The state in return is supposed to pay these schools, for every RTE admission, an amount fixed by the government or the tuition fee of a school, whichever is less. Maharashtra has fixed an amount of Rs 17,000 a year for RTE students.

But it goes to great lengths to avoid reimbursing this amount to schools. Though the schools have been reserving seats under RTE since 2012, the government tried to get out of its commitment by simply agreeing to pay dues for only one academic year. Then, there was disagreement over the actual amount due and how it should be calculated. The government said it owed Rs 300 crore while the schools said the amount was more than 1,000 crore.

This mismatch in estimates came about because the government wanted to pay only for fresh RTE admissions while the schools were asking to be compensated for all RTE admissions (new and repeat/old students - explained in detail here).

Even to date, the dues of past academic years have not been fully released to all the private schools. Now, the Maharashtra government has come up with a new plan to avoid paying the money it owes to these institutions. In a government resolution released recently, it has modified the norms for RTE reimbursement stating that ""if a private school is using any government land and benefiting from the same then the school would not receive reimbursement for students who have been admitted in 25 per cent RTE quota,"" Mumbai Mirror reported.

Through this order, the government has effectively imposed a retrospective binding of sorts in an agreement that is in force for years and it has done so in a one-sided manner. This is a textbook definition of ""breach of contract"". When the government leased out land, it didn't impose a condition that schools will have to reserve 25 per cent seats for EWS/DG category students. Nor does the RTE Act mandate that those schools that have received land from the government at concessional rates will not be compensated for fulfilling the RTE quota. Hence, both from the RTE Act and the leasing agreement, the government's action is prima facie illegal. Less said about the ethical aspect of its action, the better.

Independent English Schools Association (IESA) secretary Rajendra Singh told Swarajya that ""the government's action is not just illogical but outright illegal. The RTE and land leasing are two separate contracts. In any case, under the RTE Act, the government gives reimbursement for only tuition fees and not for infrastructure costs the school has to bear. Land comes under the latter category. How can the two be clubbed? If the government was paying per student reimbursement for infrastructure costs also, then they had a case. In such a scenario, they could have deducted this from total reimbursement, but how can they not reimburse the tuition fees?""

Singh further explained that the government simply ""doesn't have the data to ascertain how many schools have the land leasing agreement with the government. Nor it has the manpower to determine this number. It will take anywhere between one to two years to collect the data. This is nothing but their latest attempt to delay payments to private schools."""
"3","1029579430","2018-12-30","https://www.thehindu.com/news/cities/Delhi/online-admission-for-entry-level-ewsdg-seats/article25868079.ece","Online admission for entry-level EWS/DG seats","The Hindu",FALSE,"Directorate of Education will conduct process from 2019-20 session onwards

To maintain uniformity in admissions under the Economically Weaker Section (EWS)/ Disadvantaged Group (DG) category for entry-level classes in all private unaided recognised schools of Delhi except minority schools, the Directorate of Education will conduct the process online from the 2019-20 session onwards.

A circular released by the DoE has asked all district-level officers to verify and update the list of all private unaided schools in Delhi along with their GPS coordinates. Schools have been given time till Thursday to check EWS/DG vacancies and update the information in case of any discrepancy from the records available with the DoE.

""If no representation is received from the school concerned, then it will be presumed that the data available with the DoE is correct and students will be allotted accordingly through computerised draw of lots. Thereafter, school shall not deny admission, "" added the DoE circular.

It added in case admission is denied once it has been allotted by draw of lots, necessary action will be taken against the school.

According to the RTE Act 2009, all private unaided recognised schools are under obligation to admit in entry-level classes at least 25% of the class strength children belonging to weaker sections and disadvantage group from the neighbourhood, and provide free and compulsory elementary education till its completion"
"4","1028651656","2018-12-29","https://timesofindia.indiatimes.com/city/bengaluru/missing-others-column-in-rte-form-irks-schools/articleshow/67294021.cms","Missing 'others' column in RTE form irks schools - Times of India","The Times of India",FALSE,"BENGALURU: Over 3,000 schools seeking reimbursement under the Right to Education (RTE) Act are upset as they haven't been able to complete the online process to update the authorities about their expenditure. Reason: the column to register their expenses under the 'others' head is missing from the form.

The category existed in previous years. However, the department of public instruction (DPI) says it's not necessary and provides ample room for misuse.

December 10 was the last date for furnishing the relevant information online. But the schools couldn't meet the deadline and on Thursday, they were given another 10 days to comply.

The online form includes various heads under which schools can quantify their expenditure. Teachers' salary, transport and dearness allowance, salary of other staff, contingency, rent, building maintenance, consumables for lab, electricity and water are the heads provided this year. Schools say under the 'others' category, they used to include building tax, CCTV maintenance, fire safety, transportation, meals and internet charges, but the column has been removed.

DPI commissioner PC Jaffer said, ""The software can't validate what's written in the 'others' column. We have studied some audit reports and included all possible items in the software. If any more genuine items are to be included, let it be brought to our notice. """
"5","1027571301","2018-12-27","https://www.thehindu.com/news/cities/bangalore/private-schools-allege-delay-in-rte-reimbursements/article25842661.ece","Private schools allege delay in RTE reimbursements","The Hindu",FALSE,"Private school managements across the State have alleged a delay on the part of the Department of Public Instruction in releasing reimbursements for students admitted under the RTE quota.

D. Shashi Kumar, General Secretary of the Associated Managements of Primary and Secondary Schools in Karnataka, stated that schools had not even received the first instalment of the reimbursements that were due in September. It was difficult for private schools to pay salaries of their teaching and non-teaching staff, and meet the day-to-day expenditure. ""Some schools, in fact, had appealed to rectify the reimbursements of last year, which the department us yet to address,"" he said, adding that several low-cost budget schools are finding it difficult to sustain their operations.

He warned that many schools would refuse admissions for students admitted under the quota next year, as the delay in reimbursements is an annual problem.

Department officials acknowledged the delay, and stated that they are trying to simplify the process. They added that they would extend the date for filing for reimbursements by 10 days."
"6","1026413810","2018-12-25","https://www.hindustantimes.com/mumbai-news/we-plan-to-tweak-no-detention-policy-hrd-minister/story-rXbvQuwBHqbZZjdxsUamiP.html","We plan to tweak no-detention policy: HRD minister ","Hindustan Times",FALSE,"Education minister Vinod Tawde, chief minister Devendra Fadnavis, HRD minister Prakash Javadekar and women and child welfare minister Pankaja Munde at the launch of MIEB on Tuesday.(Bhushan Koyande/HT)

Stating that not failing students from Class 1 to Class 8, under the Right to Education Act, is impacting them negatively, Union human resources development minister Prakash Javadekar on Tuesday said they plan to tweak the no-detention policy.

The no-detention policy was introduced under the Right to Education (RTE) Act, 2009. In 2010, it stipulated that schools cannot fail students from Class 1 to Class 8.

""Not failing students till Class 8 has led to poor quality of education. So far, 25 states have demanded a change. Taking note of this, the HRD ministry came up with a bill to amend the RTE Act to allow schools to conduct examinations in Class 5 and Class 8. Those who fail the exams in March will get an opportunity to clear the exam two months later. Those who fail the second time will not be promoted to the next standard,"" said Javadekar, at the inauguration of the Maharashtra International Education Board (MIEB), an education board set up to give quality education in Marathi.

The ministry also plans to introduce a digital board in educational institutions to form 15 lakh digital classrooms in the next three years. A digital classroom is a technology-enabled classroom where student learning and interaction is supported through strategic use of information and communication technologies. ""The digital classrooms will be for Class 9 to post-graduate students,"" Javadekar said.

He said Indian languages were in danger because of the perception that quality education is available only in English. ""This needs to change,"" he said."
"7","1025585123","2018-12-24","https://timesofindia.indiatimes.com/city/delhi/with-just-3-months-left-in-session-doe-yet-to-fill-over-1200-seats-for-children-with-special-needs/articleshow/67222271.cms","With just 3 months left in session, DoE yet to fill over 1,200 seats for children with special needs - Times of India","The Times of India",FALSE,"NEW DELHI: Even though just three months are left for the 2018-19 academic session to end, the directorate of education (DoE) is struggling to fill 1,268 seats for children with special needs (CWSN) in private schools. On December 20, DoE had issued the fourth circular to invite applications for such seats from December 22.

In the meanwhile, admissions for entry-level classes for the 2019-20 session for general category seats have already begun and the process for reserved seats is set to start by the first week of January.

Following a Delhi high court order, DoE had in July notified 3% reservation for CWSN within the 25% seats reserved for the economically weaker sections in compliance with provisions of Rights of Persons with Disability Act, 2016.

When the first online application was invited, DoE received just 46 applications (3%) for the vacant CWSN seats. The draw of lots was subsequently postponed on account of such low applications. In the second round held in September, DoE finally conducted the draw of lots and admitted 17 students. A fourth circular was finally issued on December 20 to call for fresh applications.

""Despite inviting online applications, 1,268 seats are still vacant. Hence, the department has decided to call for fresh applications from aspirants with disabilities as defined in RPWD Act, 2016 against these reserved available seats,"" said the DoE order.

The details of the schools where seats are vacant were notified by DoE on December 22 and the applications can be filled till December 24. The draw of lots is likely to be held on December 26.

The official document accessed by TOI mentions that skewed admissions have taken place because ""schools are hesitant in accepting"" such students. The district deputy education (DDE) officers have been asked to ensure that no children with special needs are turned away.

Disability rights activists said that schools have been denying admissions as they don't have the requisite facilities to make CWSN students inclusive.

Abha Khetarpal, a counsellor and disability rights activist, said, ""The 3% quota is complete eyewash as the authorities don't check on the schools. The CBSE checklist for schools to become inclusive includes facilities like accessible washrooms, smart boards, etc, but schools don't abide by the norms. There is no mechanism to take action on violations. Moreover, the special educators are not qualified. They are not even equipped to handle a child with epilepsy.""

The PIL for reservation of CWSN was filed in 2014 by the father of a child with special needs. In his plea, he had claimed that the guidelines under Right to Education (RTE) Act completely ignore the interests of children with special needs and disabilities."
"8","1025421508","2018-12-24","https://timesofindia.indiatimes.com/city/chandigarh/english-forms-for-rte-seats-discourage-parents/articleshow/67222214.cms","English forms for RTE seats discourage parents - Times of India","The Times of India",FALSE,"CHANDIGARH: After much delay, when the family-income certificates are being made finally for the poor man's quota of school seats, parents have now been asked to face the language hurdle. The income-declaration form has been made available only in English.

The parents of children competing for reserved seats under the Right to Education (RTE) Act had struggled to fill even the registration form for different private schools, as those too were in English. Parents allege that it has been done to discourage poor families who want good education for their children. ""Not just the forms, even the guidelines and admission notice were printed in English. They don't want our children to even qualify,"" said a disgruntled parent from the slum colony of Bapu Dham.

Some of the parents even had to ask the document-centre people to fill their form for a price. They others asked their employers to help them. Some of the parents were pleading with people at e-Sampark centres to interpret the form for them. ""I asked a Sampark-centre employee to tell me what was written in the form, but he said he was too busy to help. So I requested the customers who had come to deposit their utility bills to translate the form so that I could know what documents to arrange for my child's admission,"" said Shashi Pal, who had come to the e-Sampark centre of Sector 10.

Chandigarh parents Association president Nitin Goyal said: ""Most of the families from the EWS (economically weaker section) category have poor literacy level, with hardly any proficiency in English. The EWS applicants don't know what to do with the form, as they cannot read English. The administration should provide them with forms in Hindi and Punjabi versions, too.""

RTE consultant Chanchal Singh of the Chandigarh Commission for the Protection of Child Rights, who is also former deputy director of school education, said: ""The forms for admission and income declaration should be in both Hindi and English, so that these are easier for people to interpret. Otherwise, it will be a disadvantage to parents from poor class. The information mismatch might lead to cancellation of the form, even if the case is genuine. And if it is not genuine, the parents will have an excuse that they were not aware, as they got someone else to fill their form."""
"9","1024431374","2018-12-22","http://bengaluru.citizenmatters.in/rte-helpline-launch-how-do-you-use-it-effectively-30142","RTE helpline: How to use it effectively? |","bengaluru.citizenmatters.in",FALSE,"Our work is to empower citizens, made possible by your donation. Click to Donate

Right To Education (RTE) helpline was launched recently by the Social Welfare Department of Karnataka, which allows one to lodge complaints and get information on the Act. The Executive Director of the Child Rights Trust, Vasudeva Sharma, spoke to RadioActive about how the helpline could be used effectively.

Vasudeva Sharma explained that the RTE Act had been introduced way back in 2009 in Karnataka, and a lot of calls used to be received by the Child Rights Trust members on their personal numbers seeking clarifications. Even though there were no instructions available regarding RTE at that time, they used to clarify or give information in a comprehensible way. Of late, the calls had been about more specific and less common information.

He said they had attempted to set up a hotline back then, which failed because their personal numbers were still popular. The new helpline would have to have employees well-versed in the intricacies of RTE - the national Act as well as the rules for Karnataka and section (12)(1)(C), because (12)(1)(C) was often misused.

He spoke about the dangers of (12)(1)(C) being misused and despite it having popular aspects like forbidding corporal punishment, or stating the kinds of facilities an institution must have, how that could cause people to lose trust in it. It gave the impression that (12)(1)(C) was introduced as an attempt to control private institutions, as the condition laid down for availing this provision spoke only of what was expected of the institutions without placing any responsibility on the government. With the rampant misuse of this section, private institutions became richer but could not be brought under the control - and that such situations would lead to mistrust in the RTE Act itself.

Vasudeva Sharma said that he used to find a lot of children in government schools, but of late the number had been dwindling because they had moved to private schools. However, over time, parents were faced with demands for multiple additional payments. This at times forced the children back into government schools, and other times, they continued education there despite the heavy expenditure.

He also proposed some solutions:

On the move to make 8th standard the equivalent of 10th standard, Vasudeva Sharma said that though there had been discussions, the Central Government was yet to make a decision. He opined that it could not be taken without thorough discussions and analysis but was apprehensive about the imbalance a positive answer would create.

Vasudeva Sharma said that ignorance among activists and officials will deprive the children of the rights extended to them by the government. He suggested that guidelines be prepared wherein the responsibilities of each official is clearly mentioned and that such clarity would enable effective implementation of the Act.

He added that ignorance causes lack of coordination between the concerned departments and organisations, which could lead to failure of the programme."
"10","1024302885","2018-12-22","https://www.dnaindia.com/mumbai/report-mumbai-got-your-kid-into-kg-no-guarantees-of-primary-admission-2698800","Mumbai: Got your kid into KG? No guarantees of primary admission","Daily News and Analysis (DNA) India",FALSE,"In a fine example of the inefficiency of the reservation system in the country, many schools in the city may have to cancel the admissions of a few students in order to accommodate students under the 25 per cent admissions quote under the Right To Education (RTE) for the economically weaker section (EWS). This is forcing the schools to discontinue the admissions of a few students from the Open category.

Even as admissions for pre-primary sections began in October, many schools in the city are not assuring promotion to selected children from senior kg to the 1st grade. As a result, aggrieved parents are running from one school to another to seek admission for their children.

A parent from South Mumbai said, ""Earlier, the school would give admission forms which the parents would take home to fill them up and submit the next day. But, now the schools are asking parents to fill the forms the same day in the school itself, and return them immediately. This is all because they don't want parents to click pictures of the admission forms and send it to the media to expose them. The schools are mentioning in the forms that there's no guarantee of a child getting promoted to class 1. When we went to one of the South Mumbai schools to fill the form, we saw read this and were very disappointed.""

Jayant Jain, president of Forum for Fairness in Education, said, ""Most of the schools still don't guarantee admission of children in class 1 after taking them in pre-primary as they wanted to conduct fresh admissions in class 1 and also fill the 25 per cent quota under RTE. But this is all wrong and this practice should be stopped. Parents first have to buy so many admission forms and spend so much money on them and the prospectus, and yet they have to be insecure about their child's admission.""

Experts say most schools, in order to fill the 25 per cent quota under the Right To Education, do not guarantee admissions to kids to the 1st grade despite granting them seats in kindergarten"
