"","ID","date","url","title","source","duplicate","body"
"1","p-1029878834","2018-12-31","https://www.openpr.com/news/1464550/Global-Image-Recognition-Market-to-Witness-Significant-Revenue-Growth-Through-2020.html","Global Image Recognition Market to Witness Significant Revenue Growth Through 2020","openpr.com",FALSE,"Image recognition is a technique for acquiring, processing, scrutinize, and sympathizing images. It gathers high-dimensional data from the real world in order to generate numerical or symbolic information. Image recognition uses disentangling of representational information from image data using replica created with the help of geometry, physics, statistics, and learning theory.

Image recognition (biometric-based recognition) technique has emerged as the most promising alternative of card based recognition for identifying individuals in recent past. Image recognition is used for verification (one to one matching) and identification (one to many matching) of individuals.

Image recognition technologies include identification based on physiological distinctiveness of the people such as facial patterns recognition, fingerprints recognition, hand geometry recognition, hand veins pattern recognition, finger geometry recognition, palm recognition, iris recognition, retina recognition, and voice recognition. Image recognition also identify the behavioral uniqueness of the individuals such as gait, signature and keystroke dynamics

The recognition based on passwords and PINs are trailing in popularity mainly due to the fact that they are hard to remember and cannot be stolen, duplicated by the intruders. Moreover the risk associated with misplacing of cards, tokens, keys and the like is also lend a hand in wide acceptance of image recognition as an alternative of traditional access control systems.

Request Sample Report @ www.persistencemarketresearch.com/samples/3210

On the basis of technology the global image recognition market can be broadly categories in five different market variants namely, optical character recognition (Ocr), pattern and gradient matching, object recognition, barcode/Qr code recognition and facial recognition.

On the basis of the different component use in the image recognition equipment the overall market can be broadly categorized in three segments namely, hardware, software, and services.

Based on the end user application the image recognition market can be further categories in eight different classes namely, government and defense, banking, financial services and insurance, healthcare and life sciences, manufacturing or industrial, consumer goods and retail, information technology and telecommunications, transport and logistics and others.

The growing use of face recognition technology in smart phones, tablets and personal computer owing to the advancement in size and accuracy is propelling the market for face recognition technology. Moreover increasing governmental budget towards homeland security and defense is further driving the market in developing countries such as India, China, and Russia. Increasing use of facial recognition access system over card based access system in industries and residence is providing new market opportunities for the facial recognition technology.

North America is the largest market for facial recognition in the world. It is then followed by Europe and Asia Pacific. The U.S. is the largest market for facial recognition in the North America. Chinese and Japanese are the major user of image recognition technology in Asia Pacific. Asia Pacific is one of the rapid growing markets of image recognition where the market is growing in double digit. High threat prospective from terrorist attack couples with trend towards e-governance is contributing to the high growth rate in this region.

Some of the major companies operating in global image recognition market include, Catchoom, Honeywell, LTU Technologies, Panasonic Corporation, Toshiba, Hitachi Ltd, Itraff Technology, NEC Corporation, Qualcomm Technologies, and Wikitude Gmbh

Request to View TOC @ www.persistencemarketresearch.com/toc/3210

ABOUT US:

Persistence Market Research (PMR) is a third-platform research firm. Our research model is a unique collaboration of data analytics and market research methodology to help businesses achieve optimal performance. To support companies in overcoming complex business challenges, we follow a multi-disciplinary approach. At PMR, we unite various data streams from multi-dimensional sources. By deploying real-time data collection, big data, and customer experience analytics, we deliver business intelligence for organizations of all sizes.

CONTACT:

Persistence Market Research

305 Broadway

7th Floor, New York City,

NY 10007, United States,

USA - Canada Toll Free: 800-961-0353

Email: sales@persistencemarketresearch.com

Web: www.persistencemarketresearch.com

This release was published on openPR."
"2","1027012548","2018-12-26","http://risingkashmir.com/news/demonization-of-human-resource-at-higher-educational-institutions","Demonization of human resource at higher educational institutions","RisingKashmir",FALSE,"Demonization of human resource at higher educational institutions

Knowledge and skills play an important role in the growth and development of the world. And it has been time and again emphasized by our state political leaders also that our children must receive education and must be able to engage with the world.

They say that we are caught in a big situation and its complexities are nowhere near a solution and education is one sector that can enable us to navigate the storm. Nothing else will.

The Honorable Governor Satya Pal Malik recently stated that the youth of the state hold key to Kashmir solution as they are ""very positive, talented and performing well in every field"". Sir, what about the field of education, where a big number is in stagnation with the infamous tag of contractual?

In October 2016, in an open letter by the then Education Minister Naeem Akhtar Saheb to Syed Ali Shah Geelani Saheb, states that the education should be kept out of any discord, not just given the reason from the common sense and the cumulative wisdom of human race but also from the fact of Prophet's (SAW) organizing teaching classes of his Muslim companions in the immediate aftermath of the battle of Badr.

Here, I am also repeating for the readers (especially those who referred to this to support their stand on education, that is, the state administration-past as well as present) that the non-believing Meccan prisoners who could read and write were released just for teaching the Muslims, who would obviously not be teaching them Islam.

Naeem Akhtar Saheb emphasized that education is the one thing that we need for political, economic and social empowerment. Further stating that mankind is yet to invent an alternative to this.

In the context of that letter, my question (to the state administration and the management) is what is the plight of the people who impart the knowledge in the educational institutions of our state?

As we emphasize implementing our Prophet's (SAW) command that seeking knowledge is the duty of every Muslim man and woman. Can we with our continued discrimination and exploitation against this vital human resource face Prophet (SAW) on the day of reckoning? These empowerment institutions also practice the system of injustice, discrimination, and exploitation that too with the torch bearers of the knowledge.

Experts explain that the competitive advantage of the higher education doesn't necessarily lie in the product and services that are offered by the institution, but in the employees of the institution who are managed through the human resource department.

Experts understand Human Resource Management to be the performance of all managerial functions in planning for, recruiting, selecting, developing, utilizing, rewarding as well as maximizing the potential of the human resources in an organization.

This is a specialized management task, which includes two main areas, namely human resource provision that is, acquiring employees and human resource retention that is, keeping employees.

According to the experts, the human resource function of an organization such as higher educational institutions requires constant and proper planning, because the number of personnel cannot be increased and decreased at random.

Further, stating that provisions can be made for changing circumstances by careful planning and consideration. So it must be the proactive management of people. It requires thinking ahead, and planning ways for an institution to better meet the needs of its employees, and for the employees to better meet the needs of the institution.

Higher Educational Institutions needs to recruit quality, competent staff in order to achieve the set goals.

Experts argue that staff recruitment must be seen as a form of business competition that is fiercely competitive, as organizations must compete to identify, attract and employ the most qualified and suitable persons, as this will allow the organization to deliver the best service, just as organizations compete and to develop and manufacture the best product.

The Business Dictionary defines recruitment as the process of identifying and recruiting the best-qualified candidate (from within or outside of an organization) for a job vacancy, in a most timely and cost effective manner.

The effectiveness of the Higher Educational Institutions depends on the effectiveness of the employees. An organization without high-power employees is destined to perform with mediocrity. In the case of Higher Educational Institutions it is very important to take the amount of practical experience (either in terms of research or teaching) that a lecturer needs into consideration, as an experienced person can add a lot of expertise to the mostly theoretical academic environment.

The organization's recruitment policy must reflect the diversity issues. There must be opportunities for the new comers but not at the cost of the old.

In our context, given the rising unemployment, the lack of alternatives and the rampant corruption among other factors, most of the highly qualified and competent candidates end up as contractual lecturers. The employment of fixed-term contract lecturers is a numerically significant part of the labour market in Higher Education.

According to the UK Higher Education Academy (2010), fixed-term contract lecturers (here infamously known as contractual lecturers) add value to the student learning experience as they have added practice-related experience, which is necessary in combining the theoretical with the practical side of the curriculum, and that the fixed-term lecturers are indispensible in the successful running of a complex educational and practice relevant operation.

Fixed-term contract lecturers are often more willing to learn new concepts as they hope that the additional knowledge and skills may give them an advantage when there is any opportunity for a permanent position.

According to an international study conducted by Tuckman during 1970's, many different individuals from various backgrounds are found to be interested in this staffing option at higher educational institutions, because lecturing adds to their professional as well as personal lives.

However, in our context these lecturers often express negative experiences that they are going through at the higher educational institutions, imparting knowledge but lacking in prestige.

Researchers explain that the ongoing trend in higher education institutions is the increasing dependence on fixed-term contract lecturers to lecture.

These lecturers frequently have the same amount of work but without benefits of additional training, encouragement or the sense to develop him-self or her-self. In our context these lecturers are not even considered as employees and at some institutions they are not even provided with suitable work space.

Fixed-term contract lecturers often experience a lack of support from the higher educational institutions that employ them. The management is unable to assist these staff members adequately.

Whereas, the state administration and the institutional management should not overlook the negative effects of their approach and practices because it has a negative influence on the stability of the higher educational institutions and the society at large.

Researchers are of the opinion that, although fixed-term lecturers can be a major asset to the higher educational institutions, this has gone unnoticed by these institutions.

Subsequently, these employees often feel like second-class citizens in the eyes of the administrators and the permanent contract academics.

These lower-paid employees are frequently denied regularity and predictability of employment. This, in turn, impacts negatively on employees with family responsibilities. These employees are often frustrated by the uncollegial and unprofessional treatment displayed towards them by fellow colleagues. The salaries received by these lecturers are much less than those received by their permanent counterparts.

Fixed-term contract staff is faced with limited, time-specific contracts that do not provide the benefit of a long term commitment from the administration and the higher educational institutions. All of these employees would prefer a permanent position, but, as these positions are very limited and they are faced with financial obligations, so these employees are forced to take fixed-term employment contacts.

The higher educational institutions expect a lower research and teaching output from their fixed-term lecturers.

Furthermore, fixed-term academics occupy lowest positions (infact lower than the IV-grade permanent non-teaching employee) regardless of their qualifications, experience and teaching in these institutions.

These lecturers are often vulnerable to exploitation, as they have no guarantees of continued employment, have no benefits, don't have developmental opportunities like permanent contract employees, and most important they possess no voice in the decision-making process that involve them, neither at the administrative level nor at the management level.

At the management level the condition is so worse that the management can't even afford the library facilities to these lecturers as provided to the permanent contract employees.

In some institutions the working hours are different, rigid for fixed-term contract employees whereas flexible for permanent contract employees upto the extent that the biometric attendance at departure is compulsory and specific for fixed-term contract employees only.

Fixed-term contract lecturers are concerned with the job insecurity, level of autonomy that they have, as well as the lack of freedom to make decisions regarding content of the courses, their salaries, lack of benefits, as well as how they are perceived by the students and their peers. Poor communication with the state authorities, authoritarian management structures and an overall indifferent and inefficient management structure has demoralized them.

In this context, fixed-term contract teaching jobs can be portrayed as work characterized by demoralization and demonization of the vital human resource that too even at the highest seat of learning."
"3","b-1026810712","2018-12-26","https://www.theindiapost.com/headline/aadhaar-cards-not-mandatory-for-school-admission/","Aadhaar cards not mandatory for school admission","The India Post",FALSE,"The Unique Identification Authority of India has asserted that schools cannot make the 12-digit biometric identifier a pre-condition for student admission.

UIDAI CEO Ajay Bhushan Pandey said that asking for Aadhaar cards for admissions is not as per the provisions of law and doing so will be against the recent order of the Supreme Court.

UIDAI's clarification comes at a time when admissions to nursery and entry-level classes have begun in over 1,500 private schools in Delhi.

UIDAI has asked schools to ensure that no child is denied admission for lack of Aadhaar.

In September, the Supreme Court had upheld the constitutional validity of Aadhaar but clipped the scope of the biometric identity project.

It had ruled that Aadhaar was not mandatory for bank accounts, mobile connections or school admissions.

The court had held that Aadhaar would remain compulsory for filing of Income Tax returns and allotment of Permanent Account Number, as well as welfare schemes."
"4","1026678046","2018-12-26","http://theindianawaaz.com/aadhaar-not-mandatory-for-admission-in-schools-uidai/","Aadhaar not mandatory for admission in schools: UIDAI","theindianawaaz.com",FALSE,"The Unique Identification Authority of India (UIDAI) has said that schools cannot make the 12-digit biometric identifier a pre-condition for student admission.

UIDAI CEO Ajay Bhushan Pandey clarified that asking for Aadhaar cards for admissions was not as per the provisions of law and doing so will be against the recent order of the Supreme Court.

He said, UIDAI is aware of the reports that some schools are asking for Aadhaar cards for student admission.

UIDAI's clarification comes at a time when admissions to nursery and entry-level classes have begun in over 1,500 private schools in Delhi. UIDAI has asked schools to ensure that no child is denied admission for lack of Aadhaar.

In September, the Supreme Court had upheld the constitutional validity of Aadhaar but clipped the scope of the biometric identity project. It had ruled that Aadhaar was not mandatory for bank accounts, mobile connections or school admissions.

The court had held that Aadhaar would remain compulsory for filing of Income Tax returns and allotment of Permanent Account Number, as well as welfare schemes."
"5","1026658304","2018-12-26","http://ddnews.gov.in/national/uidai-aadhaar-not-mandatory-admission-schools","UIDAI: Aadhaar not mandatory for admission in schools","ddnews.gov.in",FALSE,"The Unique Identification Authority of India has asserted that schools cannot make the 12-digit biometric identifier a pre-condition for student admission.

UIDAI CEO Ajay Bhushan Pandey said that asking for Aadhaar cards for admissions is not as per the provisions of law and doing so will be against the recent order of the Supreme Court.

UIDAI's clarification comes at a time when admissions to nursery and entry-level classes have begun in over 1,500 private schools in Delhi.

UIDAI has asked schools to ensure that no child is denied admission for lack of Aadhaar.

In September, the Supreme Court had upheld the constitutional validity of Aadhaar but clipped the scope of the biometric identity project.

It had ruled that Aadhaar was not mandatory for bank accounts, mobile connections or school admissions.

The court had held that Aadhaar would remain compulsory for filing of Income Tax returns and allotment of Permanent Account Number, as well as welfare schemes."
"6","1026625568","2018-12-26","https://www.financialexpress.com/education-2/attention-parents-uidai-says-schools-insisting-on-aadhaar-for-admission-liable-for-contempt-of-court/1425117/","Attention parents! UIDAI says schools insisting on Aadhaar for admission liable for contempt of court","The Financial Express",FALSE,"The court had held that Aadhaar would remain compulsory for the filing of Income Tax returns and allotment of Permanent Account Number, as well as welfare schemes.

The Unique Identification Authority of India (UIDAI) has clarified that schools cannot make the 12-digit biometric identifier a pre-condition for a student's admission. UIDAI CEO Ajay Bhushan Pandey told PTI that asking for Aadhaar cards for admissions is not as per the provisions of law and doing so will be against the recent order of the Supreme Court. He said UIDAI is aware of the reports that some schools are asking for Aadhaar cards for student admission.

The UIDAI's clarification comes at a time when admissions to the nursery and entry-level classes have begun in over 1,500 private schools in Delhi. UIDAI has asked schools to ensure that no child is denied admission for lack of Aadhaar. Asked what action could schools face if they continued to insist on Aadhaar, Pandey said that it will clearly be seen as contempt of court.

When enquired, Hyderabad Parents Association mentioned that a few parents have been facing this issue and schools are insisting on the submission of Aadhaar card for new admissions as well.

In September, the Supreme Court had upheld the constitutional validity of Aadhaar but clipped the scope of the biometric identity project. It had ruled that Aadhaar was not mandatory for bank accounts, mobile connections or school admissions. The SC verdict emphasised that it would also be non-mandatory for the examinations conducted by the Central Board of Secondary Education, University Grants Commission and the National Eligibility cum Entrance Test for medical entrance.

The court had held that Aadhaar would remain compulsory for the filing of Income Tax returns and allotment of Permanent Account Number, as well as welfare schemes."
"8","1026600011","2018-12-26","https://citytoday.news/aadhaar-not-mandatory-for-admission-in-schools-uidai/","Aadhaar not mandatory for admission in schools: UIDAI - Mysuru Today","Mysuru Today",FALSE,"Prime News, National, Education, New Delhi, December 26:- The Unique Identification Authority of India (UIDAI) has asserted that schools cannot make the 12-digit biometric identifier a pre-condition for student admission.

UIDAI chief executive officer (CEO) Ajay Bhushan Pandey said here on Monday that asking for Aadhaar cards for admissions is not as per the provisions of law and doing so will be against the recent order of the Supreme Court.

He said, UIDAI is aware of the reports that some schools are asking for Aadhaar cards for student admission.

UIDAI's clarification comes at a time when admissions to nursery and entry-level classes have begun in over 1,500 private schools in Delhi. UIDAI has asked schools to ensure that no child is denied admission for lack of Aadhaar.

In September, the Supreme Court had upheld the Constitutional validity of Aadhaar but clipped the scope of the biometric identity project. It had ruled that Aadhaar was not mandatory for bank accounts, mobile connections or school admissions.

The court had held that Aadhaar would remain compulsory for filing of Income Tax returns and allotment of Permanent Account Number, as well as welfare schemes. (Inputs: Agencies, NGB)"
"9","1026553569","2018-12-26","https://www.firstpost.com/tech/news-analysis/uidai-asks-schools-to-ensure-no-child-is-denied-admission-for-lack-of-aadhaar-5790121.html","UIDAI asks schools to ensure no child is denied admission for lack of Aadhaar- Technology News, Firstpost","Firstpost",FALSE,"UIDAI has asserted that schools cannot make Aadhaar a pre-condition for student admission.

UIDAI has asked the school authorities and their managements to ensure that no child is denied admission for lack of Aadhaar.

Aadhaar issuing body UIDAI has asserted that schools cannot make the 12-digit biometric identifier a pre-condition for student admission and warned that doing so will be against the recent order of the Supreme Court. The word of caution from UIDAI comes at a time when admissions to nursery and entry-level classes have just begun in over 1,500 private schools in Delhi.

However, there have been reports of certain schools insisting on Aadhaar as one of the documents required for admission.

The Unique Identification Authority of India (UIDAI) has said it is aware of the reports that some schools are asking for Aadhaar cards for student admission.

""This is not right. This is not as per the provisions of law...school admission and other facility to children cannot be made conditional to production of Aadhaar,"" UIDAI CEO Ajay Bhushan Pandey told PTI.

""In fact, schools should admit children without Aadhaar and ensure that children are given Aadhaar once they are in schools by arranging special camps for them,"" he said.

Asked what action could schools face if they continued to insist on Aadhaar, Pandey said that it will clearly be seen as contempt of court.

In September this year, the Supreme Court upheld the constitutional validity of Aadhaar but clipped the scope of the biometric identity project, ruling it was not mandatory for bank accounts, mobile connections or school admissions.

The apex court held that Aadhaar would remain compulsory for filing of Income Tax (IT) returns and allotment of Permanent Account Number (PAN), as well as welfare schemes.

The SC verdict emphasised that it would not be mandatory for school admissions, as also for the examinations conducted by the Central Board of Secondary Examination, National Eligibility cum Entrance Test for medical entrance and the University Grants Commission."
"10","1026503666","2018-12-25","https://www.dnaindia.com/india/report-uidai-slams-schools-for-seeking-aadhaar-cards-for-admissions-2700441","UIDAI slams schools for seeking Aadhaar cards for admissions","Daily News and Analysis (DNA) India",FALSE,"The Unique Identification Authority of India (UIDAI) has asserted that schools cannot make the 12-digit biometric identifier a pre-condition for student admission. It has warned that those schools insisting on Aadhaar will be doing so against the recent order of the Supreme Court.

The warning came at a time when admissions to nursery and entry-level classes have just begun. There were reports that certain school in the National capital were insisting that parents produce Aadhaar cards as one of the documents required for admission.

""This is not right. This is not as per the provisions of law...school admission and other facility to children cannot be made conditional to production of Aadhaar,"" said UIDAI CEO Ajay Bhushan Pandey. The authority also asked the school authorities and their managements to ensure that no child is denied admission for lack of Aadhaar. ""In fact, schools should admit children without Aadhaar and ensure that children are given Aadhaar once they are in schools by arranging special camps for them,"" he said.

Asked what action schools might face if they continued to insist on Aadhaar, Pandey said that it will clearly be seen as ""contempt of court"".

In September this year, the Supreme Court upheld the constitutional validity of Aadhaar but clipped the scope of the biometric identity project, ruling it was not mandatory for bank accounts, mobile connections or school admissions.

""In fact, schools should admit children without Aadhaar and ensure that children are given Aadhaar once they are in schools by arranging special camps for them,"" UIDAI CEO said."
"13","1026301780","2018-12-25","https://www.thehindu.com/news/top-news-of-the-day-december-25-2018/article25827255.ece","Top news of the day: PM inaugurates Bogibeel bridge; Chhattisgarh, Madhya Pradesh CMs expand Cabinets","The Hindu",FALSE,"Prime Minister Narendra Modi on December 25 inaugurated the country's longest rail-cum-road bridge over the Brahmaputra at Bogibeel near Dibrugarh in Assam.

Madhya Pradesh Chief Minister Kamal Nath expanded his Council of Ministers on Tuesday by inducting 28 MLAs, including two women legislators and an Independent.

Chhattisgarh Chief Minister Bhupesh Baghel on Tuesday conducted the first expansion of his Cabinet by inducting nine Congress MLAs, including a woman legislator, as ministers.

At least 12 people were injured when they were attacked by a group of people during a prayer meet in Maharashtra's Kolhapur district, police said on Tuesday.

December 25, 2018 marks the 50th anniversary of the Keezhavenmani massacre. In a wage struggle, 16 women, 23 children, and five men were charred to death on December 25, 1968 inside a hut in which they took refuge.

The massive structure was born ""small"" on paper - a scribbled note in Parliament after a dramatic display of anger - 22 years ago.

Towering Santas, majestic cakes and more. Christmas 2018 was nothing short of creative and quirky.

Aadhaar issuing body UIDAI has asserted that schools cannot make the 12-digit biometric identifier a pre-condition for student admission and warned that doing so will be against the recent order of the Supreme Court. The word of caution from UIDAI comes at a time when admissions to nursery and entry-level classes have just begun in over 1,500 private schools in Delhi.

India has dropped both its opening batsmen among three changes for the third Test against Australia at the Melbourne Cricket Ground beginning on Wednesday.

A drawing by a 12-year-old from Palani has found a place in the National Aeronautics and Space Administration's (NASA) international Commercial Crew Calendar for 2019."
