"","ID","date","url","title","source","duplicate","body"
"1","1030692423","2019-01-01","https://www.business-standard.com/article/pti-stories/mechanical-sweeping-begins-in-noida-119010200015_1.html","Mechanical sweeping begins in Noida","Business Standard",FALSE,"A stretch of 93.89 kilometres would be cleaned mechanically. This would include both lanes of roads wider than 45 metres, they said.

""Some important stretches selected for mechanical sweeping include the FNG Road, MP 2 Road from Gijod to Sector 66 T-point, Khoda Meat Market Road to Hoshiarpur and areas around Sector 74, 75, 76, 77, etc,"" Noida Authority's Officer on Special Duty Rajesh Kumar Singh said.

He said an electronic surveillance system has been put in place to ensure transparency in the work.

""With this, we also aim to make efforts towards reducing pollution in the city and up Noida's ranking in the Clean India Index,"" he added.

E-tenders for the mechanical sweeping project were floated in April 2018, and Chennai MSW Private Limited was awarded the contract, Singh said.

""The firm has been given a five-year contract for Rs 28.79 crore,"" he said.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"2","1030668170","2019-01-01","https://indianexpress.com/article/opinion/columns/rafale-supreme-court-congress-iaf-bjp-narendra-modi-rahul-gandhi-5519133/","On Rafale, facts a casualty","The Indian Express",FALSE,"Within the limited contours of its jurisdiction under Article 32 of the Constitution, the Supreme Court chose not to question the purchase of 36 Rafale fighter aircraft. Defence procurements, according to the Court, impacting India's security interests, unlike other contracts, require a somewhat different standard of scrutiny. Within the contours of that standard, the Supreme Court was broadly satisfied with the government's position.

There are several undisputed facts in the public domain, which make the Rafale purchases highly suspect. Let me state some of them. On March 13, 2015, Dassault and Hindustan Aeronautics Ltd. (HAL) finalised the work-share contract thereby signalling that the deal was through. On March 25, 2015, Dassault CEO, Eric Trappier was in Bengaluru with the chairman, HAL and Chief of Air Staff ready to take the contract forward. In a press conference in France wherein our ambassador was present, Trappier stated that 95 per cent of the deal had been finalised and the balance 5 per cent would follow soon.

These facts militate against the Court's opinion that problems between Dassault and HAL led to the prime minister's decision on April 10, 2015 when he announced the purchase of 36 Rafale off the shelf. The chairman of HAL has publicly stated that there was no impediment in the deal between Dassault and HAL, and that the notings on the file, if made public, would clarify all issues. It is also a matter of public record that the sub-stratum of the contract had been modified from a private arrangement to an Inter-Governmental Agreement (IGA). Under the guidelines, before entering into an IGA, its terms and conditions would have to be negotiated through a Contract Negotiating Committee and the Price Negotiating Committee, after which it required clearance from the Defence Advisory Council. Thereafter, it had to be approved by the Cabinet Committee on Security. None of this happened on April 10, 2015 when the prime minister made the public announcement.

Supreme Court judgment has not settled the issue. In fact, it has raised more questions than it has answeredminister's announcement. The Court erroneously came to the conclusion that Reliance was in negotiation since 2012 not realising that at that time Reliance Industries wished to diversify its operations from gas exploration to manufacturing the wings of the Falcon aircraft -- a project which was given up, and had nothing to do with RDL. Another matter in the public domain is that Reliance Aerostructure Ltd. (RAL), the joint venture partner of Dassault was incorporated on April 24, 2015. Trappier publicly stated that this joint venture was entered into in April, 2015. Obviously, the venture must have been put in place between April 25 and April 30. RAL, upon incorporation, had no assets, no capital, no experience and no land. Why would Dassault, within five days of incorporation of RAL, agree to a joint venture unless it was pre-meditated and concluded under instructions?

Advertising

Trappier justified the joint venture on the basis that Reliance had land near the airport, making the operation easier. HAL, said Trappier, had no such facilities near the airport in Bengaluru. Both the statements are false. Reliance applied for land only on June 16, 2015, whereas HAL already had huge tracts of land near the airport, much prior to April, 2015.

The files would, in fact, tell a story of their own. They might show that key stakeholders including the defence minister, insisted on a Letter of Guarantee. They might also reflect opposition to the PMO's attempts to interfere in the process. In any event, the truth would have emerged had the Supreme Court summoned the files and taken note of the proceedings reflected in their movement. Once the prime minister had already committed himself to the purchase of 36 Rafale fighter aircraft, the process that followed could not have overridden his unilateral decision. How can this process ever be deemed to be consistent with any guidelines?

Another serious issue that needs attention is why the Supreme Court opined that former French President François Hollande's statement has been denied by President Emmanuel Macron, who, on the contrary, when asked, could not comment on it since he was not present at the meeting. Surprisingly, Hollande's statement has not been denied by the prime minister. I am sure, minutes of this bilateral meeting, which are normally recorded, will reflect what happened. Trappier, who also was not present in the meeting, cannot possibly be privy to any such statement. Therefore, for the Supreme Court to say that President Hollande's statement is denied is not borne out by any record.

The fact that the prime minister made this announcement without the knowledge of the defence minister, the foreign minister or the Indian ambassador in France or, for that matter, Dassault, suggests that the prime minister took this decision unilaterally without taking into confidence key stakeholders. Once the nature of the contract was changed to an IGA, then willy-nilly there had to be a government guarantee for the execution of the contract instead of a letter of comfort.

Without doubt, the waters are muddied and the truth is yet to be told -- how and when, only time will tell. The Supreme Court judgment has, in no way, settled the issue. In fact, it has raised more questions than it has answered. The Court has always upheld principles of transparency and maintained that every decision must be informed, otherwise it cannot pass the test of reasonableness.

In the past, Article 32 has not constrained the Supreme Court to direct investigations after en-masse cancellation of telecom licenses and coal allocations. I guess, both public perception and the perception of judges change from time to time. Consistency in decision-making may not be a virtue but inconsistency, sometimes, may also not be a sign of judicial wisdom. Judicial wisdom, in changed circumstances, must not be at the cost of the Court's credibility.

(The writer, a senior Congress leader, is a former Union minister)"
"4","1030473793","2019-01-01","https://www.business-standard.com/article/pti-stories/dhanpal-ganesh-signs-new-long-term-contract-with-chennaiyin-fc-119010100538_1.html","Dhanpal Ganesh signs new long-term contract with Chennaiyin FC","Business Standard",FALSE,"""I am delighted to have renewed my contract with my home club. Chennaiyin FC have showed tremendous faith in me despite my knee injury, and I cannot wait to get back to the pitch and repay that faith,"" Ganesh said.

""This season has not gone to plan yet, however we will focus ahead and aim to bounce back stronger in 2019 with plenty to play for including our historic AFC Cup campaign,"" said Ganesh.

Ganesh was a pivotal figure in CFC's 2017-18 title-winning side, making 17 appearances and scoring two crucial goals. The hard-tackling central midfielder aided the backline formidably and helped them keep eight clean sheets enroute the ISL title.

Ganesh has seven international caps to his name and he featured regularly in Indian national team head coach Stephen Constantine's plans in the road to the AFC Asian Cup 2019.

Ganesh is currently out with a knee injury suffered during pre-season but is set to feature in the New Year.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"5","1030417710","2019-01-01","https://www.business-standard.com/article/pti-stories/sebi-fines-raghav-commodities-rs-25-lakh-for-fraudulent-trade-119010100317_1.html","Sebi fines Raghav Commodities Rs 25 lakh for fraudulent trade","Business Standard",FALSE,"Sebi fines R S Ispat Rs 25 lakh for fraudulent trade in illiquid stock options

Markets regulator Sebi has slapped a penalty of Rs 25 lakh on Raghav Commodities for executing fraudulent trades, which created artificial volumes in the illiquid stock options segment on the BSE.

Sebi conducted an investigation into the trading activities of certain entities from April 2014 to September 2015 after observing large-scale reversal of trades in the BSE's stock options segment.

The probe found that more than 81 per cent of all the trades executed were the ones, which involved reversal of buy and sell positions by the clients and counter-parties in a contract.

Raghav Commodities was among the various entities involved in non-genuine trades as it had indulged in execution of reversal of trades in stock options with same entities on the same day, the regulator noted.

""The scheme, plan, device and artifice employed by the Noticee .... executing reversal trades in illiquid stock options contracts at irrational, unrealistic and unreasonable prices, tantamount to fraud on the securities market in as much as it involves non-genuine/ manipulative transactions in securities and misuse of the securities market,"" Sebi said in an order on Monday.

By doing so, the firm has violated the PFUTP (Prohibition of Fraudulent and Unfair Trade Practices) Regulations.

Accordingly, the Securities and Exchange Board of India (Sebi) has levied a fine of Rs 25 lakh on Raghav Commodities.

In April, the regulator announced to take action in a phased manner against 14,720 entities for fraudulent trade in illiquid stock options segment and passed several orders in past few weeks against such entities.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"7","1030379354","2019-01-01","https://www.business-standard.com/article/news-cm/jubilant-foodworks-ltd-gains-for-five-straight-sessions-119010100283_1.html","Jubilant Foodworks Ltd gains for five straight sessions","Business Standard",FALSE,"Jubilant Foodworks Ltd rose for a fifth straight session today. The stock is quoting at Rs 1252.5, up 0.04% on the day as on 12:44 IST on the NSE. The benchmark NIFTY is down around 0.35% on the day, quoting at 10824.4. The Sensex is at 35941.47, down 0.35%. Jubilant Foodworks Ltd has dropped around 5.82% in last one month.

Meanwhile, Nifty FMCG index of which Jubilant Foodworks Ltd is a constituent, has dropped around 0.1% in last one month and is currently quoting at 30516.65, down 0.65% on the day. The volume in the stock stood at 4.97 lakh shares today, compared to the daily average of 24.71 lakh shares in last one month.

The benchmark January futures contract for the stock is quoting at Rs 1258.5, up 0.04% on the day. Jubilant Foodworks Ltd is up 39.76% in last one year as compared to a 3.66% gain in NIFTY and a 14.27% gain in the Nifty FMCG index.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"8","1030379353","2019-01-01","https://www.business-standard.com/article/news-cm/indian-bank-soars-2-57-rises-for-third-straight-session-119010100287_1.html","Indian Bank soars 2.57%, rises for third straight session","Business Standard",FALSE,"Indian Bank rose for a third straight session today. The stock is quoting at Rs 249.8, up 2.57% on the day as on 12:49 IST on the NSE. The benchmark NIFTY is down around 0.38% on the day, quoting at 10821.25. The Sensex is at 35938.76, down 0.36%. Indian Bank has added around 8.82% in last one month.

Meanwhile, Nifty PSU Bank index of which Indian Bank is a constituent, has added around 5.11% in last one month and is currently quoting at 3088, up 0.22% on the day. The volume in the stock stood at 12.36 lakh shares today, compared to the daily average of 15.36 lakh shares in last one month.

The benchmark January futures contract for the stock is quoting at Rs 251, up 2.32% on the day. Indian Bank is down 33.48% in last one year as compared to a 3.63% gain in NIFTY and a 14.6% gain in the Nifty PSU Bank index.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"9","1030379352","2019-01-01","https://www.business-standard.com/article/news-cm/sun-pharmaceuticals-industries-ltd-gains-for-third-straight-session-119010100286_1.html","Sun Pharmaceuticals Industries Ltd gains for third straight session","Business Standard",FALSE,"Sun Pharmaceuticals Industries Ltd is up for a third straight session today. The stock is quoting at Rs 434.95, up 1.03% on the day as on 12:49 IST on the NSE. The benchmark NIFTY is down around 0.38% on the day, quoting at 10821.25. The Sensex is at 35938.76, down 0.36%. Sun Pharmaceuticals Industries Ltd has slipped around 4.49% in last one month.

Meanwhile, Nifty Pharma index of which Sun Pharmaceuticals Industries Ltd is a constituent, has slipped around 1.94% in last one month and is currently quoting at 8868.7, up 0.11% on the day. The volume in the stock stood at 56.68 lakh shares today, compared to the daily average of 203.31 lakh shares in last one month.

The benchmark January futures contract for the stock is quoting at Rs 435.7, up 0.64% on the day. Sun Pharmaceuticals Industries Ltd is down 23.98% in last one year as compared to a 3.63% jump in NIFTY and a 7.19% jump in the Nifty Pharma index.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"10","1030379351","2019-01-01","https://www.business-standard.com/article/news-cm/yes-bank-ltd-adds-1-35-up-for-third-straight-session-119010100285_1.html","Yes Bank Ltd adds 1.35%, up for third straight session","Business Standard",FALSE,"Yes Bank Ltd rose for a third straight session today. The stock is quoting at Rs 184.25, up 1.35% on the day as on 12:49 IST on the NSE. The benchmark NIFTY is down around 0.38% on the day, quoting at 10821.25. The Sensex is at 35938.76, down 0.36%. Yes Bank Ltd has added around 3.51% in last one month.

Meanwhile, Nifty Bank index of which Yes Bank Ltd is a constituent, has added around 0.75% in last one month and is currently quoting at 27160.2, down 0.37% on the day. The volume in the stock stood at 147.9 lakh shares today, compared to the daily average of 547.13 lakh shares in last one month.

The benchmark January futures contract for the stock is quoting at Rs 185.25, up 1.31% on the day. Yes Bank Ltd is down 40.88% in last one year as compared to a 3.63% gain in NIFTY and a 6.8% gain in the Nifty Bank index.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"11","1030379350","2019-01-01","https://www.business-standard.com/article/news-cm/bank-of-baroda-up-for-third-straight-session-119010100284_1.html","Bank of Baroda up for third straight session","Business Standard",FALSE,"Bank of Baroda gained for a third straight session today. The stock is quoting at Rs 122.1, up 2.78% on the day as on 12:49 IST on the NSE. The benchmark NIFTY is down around 0.38% on the day, quoting at 10821.25. The Sensex is at 35938.76, down 0.36%. Bank of Baroda has risen around 14.17% in last one month.

Meanwhile, Nifty Bank index of which Bank of Baroda is a constituent, has risen around 0.75% in last one month and is currently quoting at 27160.2, down 0.37% on the day. The volume in the stock stood at 111.96 lakh shares today, compared to the daily average of 135.6 lakh shares in last one month.

The benchmark January futures contract for the stock is quoting at Rs 122.75, up 2.63% on the day. Bank of Baroda is down 22.7% in last one year as compared to a 3.63% spurt in NIFTY and a 6.8% spurt in the Nifty Bank index.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"12","1030325577","2019-01-01","https://www.investing.com/analysis/a-year-for-the-books-200372080","A Year For The Books","investing.com",FALSE,"Today's economic calendar includes the Dallas Fed Mfg Survey at 10:30 AM ET.

Chart courtesy of @Chicagostock:

$ES_F Holding above 3D pivot range, keeping pressure up and forcing buyers to chase. Next major level 2550-2580 to test FOMC high of 2592.

After trading sideways during the overnight session, the S&P 500 futures opened Friday's regular trading hours at 2504.25. The first move after the bell was a rally up to an early high of day at 2509.75, before turing lower and selling off down to the morning low of 2472.75 at 9:45. From there, the ES bounced going into the midday, double topping at 2501.50, and then drifted lower to close out the morning.

The afternoon saw a push lower, down to 2481.75, and then a sudden reversal higher, as strong buy programs came in for the close thrusting the ES up to 2523.00. The reversal eventually failed in the final hour with a selloff down to 2476.75. The benchmark futures contract went on to print 2486.25 on the 3:00 cash close, and setted the day at 2487.00, down -8.00 handles, or -0.32%.

Our View: First, I want to thank and wish all of you for being part of MTS. I really appreciate all the compliments I get from people about the Opening Print. I have been writing it so long that I can't remember how long I have been doing it! Geez, that's not good! I know I was writing it from Dubai every night for almost two weeks on one of the trips to the UAE. when we were doing Sheikh Mohammed futures and options business. I am pretty sure I started writing like 3 or 4 years before that, so it's been at least 26 or 27 years. Eeeee...

I think we all know the retail futures trading industry has been shrinking for years, and over the last two months, with the ES dropping 2% to 3% a day and rallying over 5% in one day, it only adds to the pain. Remember, these are not, and I mean 'NOT', our father markets or charts!

Like I said above, it gets hard to concentrate on trading when there is so much going on at MTS. While I do think I have made some good calls, I also made the call for the year end rally a little too early. I knew that the odds of a Santa Claus rally increase starting the day after Christmas, but I went out two Fridays ago on Twitter and started talking about a 'big pop' coming, and I did it after a big 50 handle rally, and then watched the ES sell off 75 handles.

I can express my frustration with a call like that. I knew how the end of the year stats work, and I also knew that with a 50+ handle rally, or even 100+ handle rally, you're supposed to lean into it. I also have to admit that on two days over the last 3 weeks I lost 1/3rd of my years profits. The PitBull says it to me all the time that we are outgunned, and I have to agree.

There were over 500 clearing firms between the CBOT and the CME when I started on the floor, today there are 23, and only 3 or 4 that will open a retail futures accounts. In most cases the IB's open the accounts because the clearing firm prefers to have a buffer in place. A recent report from the NYSE showed that over 83% of the volume is algorithmic or HFT. Retail traders have to, in essence, take on some of the smartest quants and programmers in the world, places like Renaissance Technologies LLC or Citadel. Im sorry to say this my friends but they don't lose...

Renaissance's Medallion fund, for example, has averaged annual gains of more than 35% since 1990. So, the moral of my story is, while I may call it well trading, it is a whole different game now. You have to have extreme patience, normal moves could have the Dow down 600 to 800 points, or the ES could have a 70 to 80 handle move from high to low. While this maybe the new norm, it really isn't normal at all. In fact, regardless of what others may say, we have never seen an extended period of such extreme volatility. I know, some will say the credit crisis, or 1987, but we never saw continuous 3% daily drops and over 5% rallies in one day.

I usually add my 'In the end' to the bottom of the top part of the Opening Print, but today truly is an end, the last trading day, and last day of 2018. If someone were to ask me to do a very brief overview, the first thing would be that it was Trump's stock market rally and failure. While I am 100% sure the China trade wars definitely have had a very negative effect on the world's stock markets, it's not just China. I would add that while I like Trump, I also am like many of his supporters; I am happy he is looking out for America, but I am not happy with turning global friends and trading partners in to enemies.

This hard nosed push approach where he doesn't listen to any of his staff members recommendations, losing so many key people, and just blasting off on his Twitter has gone from amusing to ludacris. Owning a media company I know how hard it is to keep up with running a company and trading, and the president has a lot more on his hands than I do, but my belief Trump has so many issues he causes 'fruckises', or disruptions, to push the media away from all his investigations only adds to a longer list of problems. Many Trump supports may disagree, but to me it feels like he's on the run. Shutting down the government to procure the money to build the wall isn't hurting our congressmen or senators, its hurting poor families and low-paid workers, and the president's approval rating.

Our view; today is a full trading day, and Tuesday the ES is closed all day, then reopens Tuesday night. The first thing is, most people are taking time off for the holidays. The second thing is, it's the last trading day of the year and the year end rebalance. According to Wells Fargo (NYSE:WFC), investors and traders are looking for a desperately needed respite from market gyrations may have to deal with yet one more ""seismic bout"" of volatility before Dec 31 finally pops up on their calendar dials.

According to Wells, on the close today the pension funds will rebalance / adjust positions between stock and bonds. Last week it was advertised that the 'rebalance' was over $120 billion, but after last weeks late blast up, the number was cut back substantially. For every 1% higher, the pension funds bought $1 billion in stock, thus leaving around $50 to $60 billion to buy. My feeling is that while the ES may really off the buying, most of it will be paired off. I think I am like a lot of folks, I think the ES may rally, I just don't think it will hold. It won't just go up without a few good selloffs. As for 2019... I am going to take this one day at a time.

Lastly, and this is something I have talked about a lot, the liquidity in the futures has dropped to a record low in the #ES, #NQ and #YM futures. The Barclays (LON:BARC) chart above shows how the ES futures 'bid / ask' contract size has dropped to a record low, meaning there could be a pick up in volatility late when the rebalance starts."
