"","ID","date","url","title","source","duplicate","body"
"1","1030142747","2018-12-31","https://indianexpress.com/article/india/palamu-police-ban-black-dress-bag-for-pm-modi-event-allow-shoes-after-outrage-5517830/","Palamu police ban black dress, bag for PM Modi event, allow shoes after outrage","The Indian Express",FALSE,"The order, issued by Palamu SP Indrajit Mahatha on December 29, covers the use of shawls, trousers, shirts, coats, sweaters, mufflers, socks, ties, bags and shoes at the function.

AMID FEAR of protests by teachers on contract, police in Jharkhand's Palamu have banned the use of black clothes by those attending a function scheduled to be attended by Prime Minister Narendra Modi in the district on January 5.

The order, issued by Palamu SP Indrajit Mahatha on December 29, covers the use of shawls, trousers, shirts, coats, sweaters, mufflers, socks, ties, bags and shoes at the function. Sources said that after the SP's order drew criticism, police have decided that black shoes would be allowed.

The SP's order to deputy commissioners in Latehar, Garhwa, Chatra and Palamu, states: ""...PM is scheduled to travel to district on 5 January. Those who are coming to attend PM function should be instructed in advance not to wear black dress to the function venue and everyone must carry their identity cards.""

Sources said the order was issued to avoid protests by contract teachers, who had waved black flags at Jharkhand Chief Minister Raghubar Das during a function in Ranchi last month. The protesters were demanding regularisation of jobs and pay parity with government teachers.

Advertising

""We have to take care of the dignity of guests...There will be no restriction on black shoes though,"" SP Mahatha said.

""We have held meetings with functionaries of some teachers' associations, who have assured us that they will not hold any protest at the PM function,"" another officer said."
"2","1029646151","2018-12-30","https://indianexpress.com/article/cities/ahmedabad/gujarat-remove-propaganda-of-urban-maoists-in-academia-says-abvp-5516421/","Gujarat: Remove propaganda of Urban Maoists in academia, says ABVP","The Indian Express",FALSE,"The students' outfit also criticised the semester system, claiming that these are the demands that have been received by maximum number of students.

THE national executive committee of Akhil Bhartiya Vidyarthi Parishad (ABVP), the students' wing of the RSS, here on Sunday passed a resolution on the ""need of removing Maoist propaganda in academia"", saying ""all the syllabus devised by Urban Maoists should be revised to depict correct history and cultural values of Bharat"".

The resolution also ""defined"" ""Urban Maoists"" as those ""who are not the same Maoists fighting for armed revolution in jungles but people who are very much around us, providing intellectual strength to this fake idea of revolution"".

""They work in the disguise of so called intellectuals, academicians, artists and civil society activists in their NGOs. The strategy of Urban Maoists is to use the resources of the state against the state,"" it added.

""There is a need to stop writers and academicians who are trying to divide the country on the basis of religion, language and caste by commenting on national integration its culture and values. Also, all those who have legal cases against them or have been sentenced, these persons should be banned from visiting campuses and debarred from delivering lectures as faculty in all the educational and training institutes,"" said ABVP's national general secretary Ashish Chauhan.

Advertising

Meanwhile, in another resolution, the ABVP demanded that the process of appointment of regular teachers on vacant posts should be started immediately, adding that short-term ad hoc and contract-based appointments were atrocities to the long term vision of cosmopolitan education.

The students' outfit also criticised the semester system, claiming that these are the demands that have been received by maximum number of students. ""We will strongly take up these issues with universities and state governments. If needed, we will protest and also sit on dharna against the semester system in states like Gujarat. Already, with the efforts of ABVP, states of Madhya Pradesh and Himachal Pradesh has already removed these,"" said Chauhan.

Chauhan demanded that consideration of semester system as a standard system by National Assessment and Accreditation Council (NAAC) and mandatory implementation of this semester system in colleges with lack of infrastructure makes it a compulsion and binding should be removed."
"3","1029263883","2018-12-30","https://www.clipper28.com/en/rajasthan-cabinet-meet-held-heres-some-of-crucial-decisions/","Rajasthan cabinet meet held, heres some of crucial decisions","Clipper28 Digital Media",FALSE,"Chief Minister Shri Ashok Gehlot chaired the first meeting of the Cabinet and Council of Ministers of the new government at CM Office on Saturday in which took a unanimous decision to adopt the Jan Ghoshna Patra (Public Manifesto) as a policy document of state government.

Shri Gehlot handed over a copy of the manifesto to the Chief Secretary and asked the government officials to ensure time-bound and fast implementation of the announcements therein. The cabinet unanimously decided to authorize the CM for formation of a cabinet committee for effective implementation of the manifesto.

The cabinet, amongst many important decisions, resolved to re-establish Dr. Bhimrao Ambedkar Law University and Shri Harideo Joshi Journalism University, which were wind-off by the previous government; increase amount for old-age social security pension from Rs. 500 to Rs 750 and from Rs. 750 to Rs. 1000; and abolish the provision of minimum educational qualification in Panchayati Raj elections.

This decision aimed at increasing peoples' participation in the decentralized form of governance and restoration of the right of citizens to fight elections.

The Rajasthan cabinet further resolved to form an inter-departmental committee for short-term farm loan waiver and authorized the CM to nominate members for this committee.

This committee would formulate the criteria and eligibility for waiving off loans from the cooperative banks, nationalized banks, regional rural banks and the land development banks. It also decided for election of mayor and chairman in the local urban bodies would be done by direct vote as per the previous practice.

A resolution was also adopted by the cabinet to form a committee for redressal of grievances of the contract employees, NRHM workers, para teachers, Urdu teachers, Lok Jumbish workers, Anganwadi workers, shikshakarmis, vidhyarthi mitras, panchayat sahayaks and other employees working in the state government.

This committee, to be formed by the Chief Minister, would attend to the problems of all such workers and take early decisions on their resolution.

In the meeting of the Council of Ministers, following by the cabinet meeting, it was resolved that the state government would ensure transparency, responsibility and sensitivity towards the public in governance along with implementation of the Rajasthan Guaranteed Delivery of Public Services Act, 2011 and the Rajasthan Right to Hearing Act, 2012.

It was further decided to expedite the work for timely implementation of Barmer Refinery project which was initiated during the earlier government led by Shri Ashok Gehlot. It the cabinet decided that all ministers of the state government would hold and ensure effective public hearing at their respective residences everyday between 9AM to 10AM. Decision of reversing the format of state government's letter pad was also taken in the meeting.

Now, photo of Shri Deendayal Upadhyay would be removed from the letterhead and the National Emblem Ashoka would be restored in the top middle of the letter masthead. Effective implementation of the MNREGA would now be the priority of the state government. For this, the cabinet directed the Chief Secretary to prepare and present an action plan."
"6","1029159707","2018-12-30","http://www.sify.com/news/rajasthan-assembly-to-adopt-jan-ghoshna-patra-as-state-policy-document-news-national-sm4gJ1ifebfab.html","Rajasthan Assembly to adopt Jan Ghoshna Patra as state policy document","Sify",FALSE,"[India], Dec 30 (ANI): Chief Minister Ashok Gehlot, in the presence of other government officials unanimously decided to adopt the 'Jan Ghoshna Patra' or the Public Manifesto, introduced during the Assembly elections, as a policy document of state government.

Chairing the first meeting of the Cabinet and Council of Ministers of the new government at the Chief Minister's Office here on Saturday, Gehlot handed over a copy of the manifesto to the Chief Secretary and asked the government officials to ensure time-bound and fast implementation of the announcements therein.

The Cabinet unanimously decided to authorise the Chief Minister for the formation of a cabinet committee for effective implementation of the manifesto.

The Cabinet, amongst many important decisions, resolved to reestablish Bhimrao Ambedkar Law University and Harideo Joshi Journalism University, which were winded off by the previous government, increase amount for old-age social security pension from Rs. 500 to Rs 750 and from Rs. 750 to Rs. 1000, and abolish the provision of minimum educational qualification in Panchayati Raj elections.

This decision aimed at increasing peoples' participation in the decentralised form of governance and restoration of the right of citizens to fight elections.

The Rajasthan Cabinet further resolved to form an inter-departmental committee for short-term farm loan waiver and authorised the Chief Minister to nominate members for this committee. This committee would formulate the criteria and eligibility for waiving off loans from the cooperative banks, nationalised banks, regional rural banks and the land development banks.

The Cabinet also decided that the elections for the appointment of mayor and chairman in the local urban bodies would be done by direct vote as per the previous practice.

A resolution was also adopted by the Cabinet to form a committee for redressal of grievances of the contract employees, National Rural Health Mission (NRHM) workers, para teachers, Urdu teachers, Lok Jumbish workers, Anganwadi workers, shikshakarmis, vidhyarthi mitras, panchayat sahayaks and other employees working in the state government. This committee would attend to the problems of all such workers and take early decisions on their resolution.

At the meeting, it was resolved that the state government would ensure transparency, responsibility and sensitivity towards the public in governance along with the implementation of the Rajasthan Guaranteed Delivery of Public Services Act, 2011 and the Rajasthan Right to Hearing Act, 2012.

In addition, all ministers of the state government were also directed to hold and ensure effective public hearing at their respective residences every day between 9 am to 10 am.

The decision of reversing the format of state government's letter pad was also taken in the meeting. From now onwards, photo of Deendayal Upadhyay would be removed from the letterhead and the National Emblem Ashoka would be restored in the top middle of the letter masthead.

Lastly, the Cabinet also sought for effective implementation of the Mahatma Gandhi National Rural Employment Guarantee Act (MNREGA) in the state. (ANI)

SEARCH"
"8","1029146793","2018-12-30","https://www.latestly.com/agency-news/rajasthan-assembly-to-adopt-jan-ghoshna-patra-as-state-policy-document-564264.html","Rajasthan Assembly to Adopt Jan Ghoshna Patra as State Policy Document | LatestLY","Latestly",FALSE,"Jaipur (Rajasthan) [India], Dec 30 (ANI): Chief Minister Ashok Gehlot, in the presence of other government officials unanimously decided to adopt the 'Jan Ghoshna Patra' or the Public Manifesto, introduced during the Assembly elections, as a policy document of state government.

Chairing the first meeting of the Cabinet and Council of Ministers of the new government at the Chief Minister's Office here on Saturday, Gehlot handed over a copy of the manifesto to the Chief Secretary and asked the government officials to ensure time-bound and fast implementation of the announcements therein.

The Cabinet unanimously decided to authorise the Chief Minister for the formation of a cabinet committee for effective implementation of the manifesto.

The Cabinet, amongst many important decisions, resolved to reestablish Bhimrao Ambedkar Law University and Harideo Joshi Journalism University, which were winded off by the previous government, increase amount for old-age social security pension from Rs. 500 to Rs 750 and from Rs. 750 to Rs. 1000, and abolish the provision of minimum educational qualification in Panchayati Raj elections.

This decision aimed at increasing peoples' participation in the decentralised form of governance and restoration of the right of citizens to fight elections.

The Rajasthan Cabinet further resolved to form an inter-departmental committee for short-term farm loan waiver and authorised the Chief Minister to nominate members for this committee. This committee would formulate the criteria and eligibility for waiving off loans from the cooperative banks, nationalised banks, regional rural banks and the land development banks.

The Cabinet also decided that the elections for the appointment of mayor and chairman in the local urban bodies would be done by direct vote as per the previous practice.

A resolution was also adopted by the Cabinet to form a committee for redressal of grievances of the contract employees, National Rural Health Mission (NRHM) workers, para teachers, Urdu teachers, Lok Jumbish workers, Anganwadi workers, shikshakarmis, vidhyarthi mitras, panchayat sahayaks and other employees working in the state government. This committee would attend to the problems of all such workers and take early decisions on their resolution.

At the meeting, it was resolved that the state government would ensure transparency, responsibility and sensitivity towards the public in governance along with the implementation of the Rajasthan Guaranteed Delivery of Public Services Act, 2011 and the Rajasthan Right to Hearing Act, 2012.

In addition, all ministers of the state government were also directed to hold and ensure effective public hearing at their respective residences every day between 9 am to 10 am.

The decision of reversing the format of state government's letter pad was also taken in the meeting. From now onwards, photo of Deendayal Upadhyay would be removed from the letterhead and the National Emblem Ashoka would be restored in the top middle of the letter masthead.

Lastly, the Cabinet also sought for effective implementation of the Mahatma Gandhi National Rural Employment Guarantee Act (MNREGA) in the state. (ANI)"
"9","1029144631","2018-12-30","http://www.asianage.com/metros/mumbai/301218/still-paid-as-per-5th-pay-commission-mu-ad-hoc-profs.html","Still paid as per 5th Pay Commission: MU ad hoc profs","The Asian Age",FALSE,"Mumbai: At a time when the state government on Thursday approved the seventh pay commission for employees and pensioners, more than 150 ad hoc professors of the Mumbai University (MU) continue to be paid on the basis of the fifth pay commission.

The professors said that it is an injustice to them as the difference in pay scale between the two commissions is around Rs 10,000 to Rs 15,000.

Moreover, even though they are ad hoc (temporary basis) professors, the workload is equal to that of permanent staff and only the pay scale and additional security differs.

""This is victimisation of our professors. Just because we are on a temporary basis, does not give them (the university) the liberty to exploit us in anyway,"" said a professor on the condition of anonymity.

Meanwhile, another professor, who is serving as an assistant professor at a Churchgate-based college, said, ""Currently, I am being paid around Rs 45,000 while as per the state's clause of the sixth pay commission I should be getting more than Rs 62,000. Adding to this, there is no security provision for us either from the university or college.""

Recently, the state government approved the seventh pay commission where the salaries and related allowances of state staffers including teachers and professors were cleared.

The state government had earmarked a sum of Rs 10,000 crore in the state budget for 2018-2019 to revise the pay scales of the employees.

""While we should be getting salaries now as per the seventh pay commission, we are still stuck with salaries as per the fifth pay commission. We have a family but more importantly, we have self-respect. When I contact my friends from other universities in other parts of the state, they are all getting salaries higher than what we have been getting till now,"" said another professor.

A good number of ad hoc professors are in every department and sub-campus of the university.

""The only drawback apart from the personal problems we face is the lack of motivation we professors struggle with on a daily basis. There are several professors in our department who are on permanent posts who have the same level of job but the provisions and salaries they receive are way better than us,"" he added.

Ad hoc professors are on a contract basis. While recruiting them, they are given a dedicated slot till such time they can work in that position. Several professors have written to both the university and the state government to look into this matter."
"10","1028181387","2018-12-28","http://www.newindianexpress.com/cities/thiruvananthapuram/2018/dec/28/service-extension-unlikely-for-senior-contract-teaching-staff-at-uits-1917452.html","Service extension unlikely for senior contract teaching staff at UITs","The New Indian Express",FALSE,"THIRUVANANTHAPURAM: Senior contract teachers above the age of 60 may not get service extension after March 2019 at the University Institute of Technology (UIT) centres as the University of Kerala is yet to take a decision on fixing their retirement age at 65.

Earlier, the senior teachers had submitted a memorandum to former VCs to extend their retirement age from 60 to 65. Sources, however, indicated the varsity would fix the retirement age at 60. A university order, sent to 29 UIT centres in the state earlier this year, specified that engagement of staff on contract basis is not permitted after the age of 60 years and hence asked principals of UIT centres not to forward the engagement requests of staff above the age of 60. The rule also applies to those who are completing the age of 60 during the contract ending period in March 2019. The order has many senuior teachers worried.

""Since we have no pension, we will be left high and dry without any income after retirement. However, if the university proceeds with that action, we have only one demand. UIT principals' retirement age is 65. So we request the university to hike the age limit to 65 for all teaching staff,"" said Sreekumar (name changed), a senior teaching staff.

At present, the UITs have both contract and guest lecturers in service. The principals of the centres are the retired professors from government educational institution. Of 29 centres, many teaching staffs fear they might lose the job if the university failed to extend the retirement day.

According to M Lenil Lal, former University Syndicate member, there were differences of opinion in the former syndicate over raising the retirement age of senior staffs of UITs and a final call on this would be made in January. ""We did discuss this issue in many syndicate meetings. But there was no consensus. Some members wanted to raise the age of teaching staff while some wanted to appoint young teachers to give them the opportunity. So we have not decided yet on this and our priority would be to raise this issue in the first syndicate meeting to be held in January. We hope that the issue gets resolved in January itself,"" he said.

Most of the teachers in UITs are highly qualified and took up their job in the hope that sooner or later their service would be regularised. Meanwhile, University of Kerala vice-chancellor V P Mahadevan Pillai told Express the matter has not been brought to his attention. ""I am unaware of this issue as it has not been brought to my attention. So I am not authorised to comment now,"" said Pillai.

University to fix retirement age at 60

Earlier, the senior teachers had submitted a memorandum to former VCs to extend their retirement age from 60 to 65. Sources, however, indicated the varsity would fix the retirement age at 60."
"11","1028152755","2018-12-28","https://www.business-standard.com/article/pti-stories/russian-teenagers-use-social-media-to-rebel-against-teachers-118122800401_1.html","Russian teenagers use social media to rebel against teachers","Business Standard",FALSE,"The principal of a prestigious school near St Petersburg summoned 16-year-old Leonid Shaidurov and 14-year-old Maxim Dautov in for a chat.

Then he threatened them with expulsion, a criminal probe and being blacklisted from all Russian universities.

Their crime? Setting up an independent student union.

But Shaidurov and Dautov, children of the social media era, did not take the threats lying down. Instead, they went public about their altercation with the principal last month. The student union's ranks swelled and education authorities in St. Petersburg, Russia's second-largest city, came out in support of the teenagers, not the principal.

Many other young Russians have had their first taste of political activism in street protests against corruption and the banning of rap music, protesting the authoritarian status quo that their parents have unhappily gotten used to.

Russian teenagers putting up a social media fight against the rigid, Soviet-like attitudes of some teachers was one of Russia's political highlights of the year.

Shaidurov and Dautov came up with the idea after reading about Vladimir Lenin, Karl Marx and the U.S. trade union movement. They realised that their own problems strict and unnecessary testing, dress code restrictions had resonated elsewhere and would make a rallying cause for a student union.

""At first, everyone was laughing at Leonid and me, because it was just the two of us,"" says Dautov, who wears multiple rings and a ""Revolutionary Workers Party"" badge on his scarf.

Two separate groups of the new student union held their first meetings in mid-November at a soccer field near the sprawling concrete school.

Shaidurov, who led both meetings, was summoned to the principal and told he had organized an ""unsanctioned rally"" that would be investigated by prosecutors. His and Dautov's parents were later hauled over the coals.

Later on, police officers visited the school to conduct ""a preventive discussion"" to warn the students about the dangers of staging unsanctioned rallies and extremism, a widely defined term that Russian authorities have used to go after dissenters of all stripes.

At the next parent-teacher meeting, parents were told that their children had joined an ""extremist organization"" and would be blacklisted from entering college, according to Shaidurov's mother, Yelena, who teaches history at the school.

She mounted a social media campaign. Prosecutors went to check the school and found that the girl's rights were violated.

Later, the Perm education department banned schools from strict dress code rules.

In Komsomolsk-on-Amur in Russia's Far East, a teacher has been suspended after a video of her pushing a teenager onto the ground and spanking him was posted online. Investigators have opened a criminal case.

Alexander Kondrashev, a teacher from St. Petersburg who belongs to an independent teachers' union, says the power dynamics between Putin-era teenagers and predominantly Soviet-educated teachers is starkly different from a generation earlier.

""It's much harder for a teacher to control the situation with children these days,"" he said. ""First, children have a clearer idea of their rights and they are ready to stand up for them. And second, audio and video recordings have given them a significant information clout.""

""It's weird, because you can be sent to prison and contract TB at 14, but you can drink and smoke and express yourself fully only when you're 18,"" Dautov says.

The system that Shaidurov and Dautov have been fighting against replicates the Russian government power structure in miniature.

The principal is answerable only to superiors in the education ministry while the students do not have much say in decision-making at school. Shaidurov and Dautov's school has its own student body but it works hand in hand with the administration and lacks any powers.

""We even have a newspaper and a YouTube channel allegedly for students which is dead and no one watches it,"" Dautov says, scoffing at the fact that instead of discussing real issues that students face, from high workloads to image pressures, the existing body debates ""what kind of Christmas tree to put up.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"12","1027220961","2018-12-27","https://timesofindia.indiatimes.com/city/bengaluru/librarian-seeks-parity-with-varsity-teachers-hc-orders-notice-to-govt/articleshow/67263066.cms","Librarian seeks parity with varsity teachers, HC orders notice to government - Times of India","The Times of India",FALSE,"BENGALURU: The high court has ordered notice to the state government on a petition filed by a deputy librarian working at the University of Mysore (UoM), seeking parity with the status of teachers, including in the matter of age of superannuation.

RTD Ramesh Gandhi has challenged the constitutional validity of section 2(12) of Karnataka Universities Act-2000, stating that it excludes librarians and library staff from the definition of teachers by treating them differentially.

Ramesh, 60, who holds a PhD in library science, is due for retirement on December 31, 2018. He has also challenged the July 19, 2016 notification issued by UoM, prescribing 60 years as the age of retirement for librarians and library staff. The superannuation age of a teacher serving in a university is 62 while for librarians, it is 60. Vinayak B, counsel for the petitioner, argued that librarians guide PhD students, akin to the job of a teacher. An amendment bill, passed by both houses of Karnataka legislature in 2017 to treat librarians on a par with teachers, is awaiting the governor's assent, he said.

Relief for 38 nurses

The high court has passed an interim order directing the Bowring and Lady Curzon Medical College and Research Institute not to terminate 38 staff nurses who are serving on contract basis. NR Asha and 37 others moved the court seeking a direction to consider them in case regular selection process takes place."
"13","1026762785","2018-12-26","http://www.newindianexpress.com/cities/bengaluru/2018/dec/25/new-era-same-old-issues-1916425.html","New era, same old issues","The New Indian Express",FALSE,"BENGALURU : Meenakshi Reddy Madhavan knew she wanted to be a writer at the age of 16. Her first book came out of a her popular blog, Compulsive Confessions, and there was no looking back since then. She has to her credit more than five books and her latest book, The One Who Had Two Lives, is the second book in her Girls Of The Mahabharata series. Excerpts from an interview with CE:

What was your trigger for writing Girls Of The Mahabharata: The One Who Had Two Lives?

I've loved writing about young women. I don't think the concerns of women change much, whether they were born in 1500 BC or 2000 AD. I imagine the larger questions are the same: Who will love me? What shall I do with my life? Why do I want different things from my parents? When I began writing the Girls Of The Mahabharata series (starting with Satyavati) I imagined each book would offer an accurate reflection of that specific character's life -- orphaned Satyavati or oldest sister Amba or transman Shikhandi.

I also started to think a lot about gender and sexuality. The lines are blurred in this book, so everything's very fluid. I have two trans characters, two deep friendships and easy interactions around sexuality. I think in India's Vedic times we were a lot less concerned about who slept with whom than we are today.

Have you always seen yourself as a writer?

Yes! I used to have these notebooks which I carried to school -- separate from school work -- and if I was getting very bored in class I'd invent stories and write them down. I was very interested in the different forms of storytelling. I remember at age eight, I realised I could record my voice onto our old tape deck and then I invented this whole family and narrated their lives. It was sort of like a radio play. By about age sixteen, after thinking of a number of careers -- veterinarian mainly -- I realised I couldn't fight it any more, I was going to be a writer.

What has been your inspiration as a writer?

The books I read, the music I listen to, the conversations I have with other people. I'll be making idle chit-chat and then something will go ""ping!"" inside my head and it'll settle into my next book. I write a lot as well. I send out a mostly weekly newsletter, filled with updates about my life. I tweet, I write articles, I take photos and add long captions, it's all practise towards my larger body of work.

Does your writing draw influence from vernacular books?

I'm, unfortunately, almost entirely monolingual. My spoken Hindi is not bad, having grown up in Delhi, and I can understand a smattering of Telugu because I spoke it in my early years, but absolutely no Malayalam or any other Indian languages. As a result, I read only in English -- and vernacular books in translation.

With the digitisation of books, have you moved to reading books on screen or do you prefer the old-fashioned books?

Books are books. I have an extensive personal library which I love, filled with ""real"" books, and I have a Kindle which I also love. When I'm travelling, my Kindle is my lifesaver, but when I'm in Delhi, I love to curl up with a book.

What is the process you undergo while writing?

I try to stick to word count goals daily -- usually about 1,500 words -- and a lot of my writing gets done between 4pm and 7pm. I like having music on in the background, something instrumental, jazzy or ambient. The rest is mostly random, what sort of day I'm having (I try not to schedule lunch dates because then I'm too mentally tired by 4pm to do anything), or whether I have freelance deadlines which also eat into a fraction of my writing day. When I do get started, I can go pretty fast, because I've been thinking of my book inside my head.

How difficult or easy is it to get published? Have you had to modify or change the content of your book for it to get published?

I first got published ten years ago, so a lot of things have changed since then. For me, I got my first book contract because of my blog, which was popular then, and since that book did well, I've been quite lucky to find publishers again.

With one of my young adult books, then called Confessions of a Listmaniac (republished as The Life and Times of Layla the Ordinary) I was told to change a scene where the character had a hangover, and another one where a couple is making out, so it would fly past the teachers who checked for these things. But when Penguin picked it up, I got to put the chapters back the way they were. I remember being a teenager and how all those things were very real to us.

Who's your first reader? And who are your biggest critics?

My first reader is my husband, who offers great feedback each time. As for my biggest critics, I know I have loads on the internet, sometimes I stumble upon a bunch of them discussing my books and how terrible they are. Maybe I'm hiding from them because they have left me alone for the last couple of years.

Do you think marketing plays an integral role in the success of a book?

All writers have to be excellent salespeople these days as well. Sure, some books will surprise you by slipping through the net and doing amazingly well just by word-of-mouth, but I can guarantee that all the books you're seeing are all visible to you because of a marketing campaign."
