"","ID","date","url","title","source","duplicate","body"
"1","1030744916","2019-01-01","https://indianexpress.com/article/education/upsc-in-new-civil-service-recruits-dip-in-those-taking-exams-in-hindi-5519192/","In new civil service recruits, dip in those taking exams in Hindi","The Indian Express",FALSE,"While students took the CSE in Hindi accounted for nearly 17% in 2013, it stood at 2.11% in 2014, 4.28% in 2015, 3.45% in 2016, 4.06% in 2017. And of the 2018 recruits who finished the 15-week foundation course last month, 2.16% took the CSE in Hindi.

Of the 370 new civil services recruits trained at the Lal Bahadur Shastri National Academy of Administration (LBNSAA) in Mussoorie, eight took the Civil Service Examination (CSE) in Hindi compared to 48 of 202 in 2013; five recruits studied at Hindi-medium universities; and 30 attended Hindi-medium schools.

Data obtained by The Indian Express show that since 2013, there has been a sharp dip not only in students taking the CSE in Hindi -- for services like the IAS, IPS and Indian Foreign Service -- but also in recruits who studied in either Hindi-medium universities or schools. According to the data, there is also a steady increase in students preferring English.

An analysis of the profiles of recruits who took the foundation course available on the LBNSAA website shows the decrease: while students took the CSE in Hindi accounted for nearly 17% in 2013, it stood at 2.11% in 2014, 4.28% in 2015, 3.45% in 2016, 4.06% in 2017. And of the 2018 recruits who finished the 15-week foundation course last month, 2.16% took the CSE in Hindi.

The sharp fall stems from reforms implemented in the CSE when the UPA government brought in the Civil Services Aptitude Test (CSAT) in 2011. Following a backlash in and outside Parliament, the compulsory CSAT Paper-2, comprising Maths and English comprehension, was made just a qualifying paper with effect from the CSE-2015.

Advertising

In 2013, the pattern of the CSE Mains was also changed. Instead of two optional subjects, only one subject was made optional and General Studies papers were increased from two to four. Experts believe this limited the space for students from Hindi-medium schools and universities.

Satyanand Mishra, who retired as Secretary, Department of Personnel and Training (DoPT), the nodal department for UPSC and cadre controlling authority for IAS said: ""The quality of vernacular teaching and the number of academically bright students opting for their mother tongues in colleges and universities can be one more angle to look at. Besides, more middle-class small/medium town parents increasingly prefer an English-medium education for their children.""

Data show that in 2013, there were 48 -- or a quarter -- of 202 recruits at LBNSAA, who studied in Hindi-medium schools, 22 (or nearly 11%) studied at Hindi-medium universities and 34 (nearly 17%) took the CSE in the Hindi.

Before the CSAT was introduced, the performance of Hindi-medium students was a little better, according to data. Profiles of the LBNSAA recruits for 2008, 2007, 2006 and 2005 show that the representation of students who took the CSE (written) in Hindi was between 12 and 15%. In 2008, for instance, 32 out of 239 students took the CSE in Hindi - over 14%.

Incidentally, of the 370 recruits at the foundation course in 2018, 280 have studied Science subjects including Engineering and Technology, Medicine, Pharmacy or pure sciences. Among them, as many as 149 were B.Tech graduates and 75 were B.E graduates. Only 55 were from Arts and Humanities while the remaining were from management and commerce. This follows the trend in 2017 when of 369 recruits, 287 were from Science fields and in 2016, when 280 of 377 had studied science subjects."
"2","1030717768","2019-01-01","https://timesofindia.indiatimes.com/city/gurgaon/sat-scores-of-govt-school-students-in-classes-9-12-show-signs-of-progress/articleshow/67341779.cms","SAT scores of govt school students in classes 9-12 show signs of progress - Times of India","The Times of India",FALSE,"GURGRAM : The result of the bi-monthly student assessment test (SAT) for government schools, held in November, is out. And it's not a pretty sight for students of Gurugram, with only 55% managing to pass. The results were uploaded on the Saksham Haryana Education portal last week. The tests are conducted by the state education department to track and improve the learning ability of government school students.

Students of Mahendergarh topped with a pass percentage of 69%, with Yamunanagar bringing up the rear at 36%. English is the subject most students struggled with, especially in higher classes. Across the state, barely 35% students managed to clear it.

Satyanarayan Yadav, state secretary of Haryana School Teachers Association, said, ""Most students find it hard to learn English as they speak in Hindi. Effort is needed to ensure students improve their English scores."" In contrast, most students performed well in fine arts and music scoring overall 91% and 81%, respectively.

Of 21 districts, Gurugram was ranked 16th in the Class X Haryana Board Examination of 2017-18, with a pass percentage of 45.67%. In 2016-17, too, it was ranked 16th but with a pass percentage of 43.68%. After the low of 2016-17 board exams, Gurugram's scores in SAT too, shows signs of improvement, from 48% in July and 41% in September to 55% in November.

District elementary education officer Prem Lata Yadav said, ""From this year onwards, I'll ensure kids take their class tests seriously. I'm sure results will improve."" In the block-wise comparison of SAT scores for the district, Sohna scored 49%, Farrukhnagar 56%, Gurugram 57% and Pataudi 62%.

In Government Senior Secondary School, Khetawas, out of 18 students who appeared for the Class XII exam, only three passed. The principal said: ""As most students belong to families of migrant workers, they don't have the environment to study at home. How can they clear board exams on the basis of class teaching alone?""

The SAT results are shared with district education officers to evaluate performance of students and teachers, followed by classes under the learning enhancement programme to bridge gaps. Jyoti Chaudhary, director, SCERT, said, ""All efforts are being taken by SCERT to increase learning level of students."""
"3","1030682577","2019-01-01","https://indianexpress.com/article/cities/delhi/delhi-govt-notifies-disability-rules-5519250/","Delhi govt notifies disability rules","The Indian Express",FALSE,"A statement issued by Delhi Social Welfare Minister Rajendra Pal Gautam Tuesday said: ""Since the notification is done, the differently abled can avail the benefits and concessions in education, health services, loan facilities, jobs and any such governmental schemes.""

Disabled-friendly buildings and offices may soon become a reality in the capital, with the Delhi government notifying the Rights of Persons with Disabilities Rules 2018 in their official gazettes.

The Delhi government's Social Welfare Department termed the notification, which came into force on December 27, 2018, a ""New Year gift"" and attributed the delay in implementation to Delhi not being a full state. Two years ago, the Centre had passed the Rights of Persons with Disabilities Act, 2016, which mandates disabled-friendly infrastructure and facilities at all public buildings and offices.

""The head of the establishment shall ensure that the provisions of... the Act are not misused to deny any right or benefit to persons with disabilities covered under the Act,"" the gazette issued by the Delhi government said. ""On receipt of a complaint from an aggrieved person regarding discrimination on the ground of disability, the head of the private establishment employing 20 or more persons or a government establishment shall initiate action in accordance with provisions of the Act,"" it added.

A statement issued by Delhi Social Welfare Minister Rajendra Pal Gautam Tuesday said: ""Since the notification is done, the differently abled can avail the benefits and concessions in education, health services, loan facilities, jobs and any such governmental schemes."""
"5","1030663318","2019-01-01","https://www.thehindu.com/news/cities/Delhi/govt-notifies-rules-to-enable-pwd-access-to-education-jobs/article25884965.ece","Govt notifies rules to enable PwD access to education, jobs","The Hindu",FALSE,"Rules formulated under the Rights of Persons with Disabilities Act, 2016, have been notified by the Delhi government, giving persons with disabilities (PwD) better access to education, healthcare and employment.

The Delhi Rights of Persons with Disabilities Rules, 2018, were notified by the Social Welfare Department on December 27, a statement from Social Welfare Minister Rajendra Pal Gautam said on Tuesday.

Terming it a ""New Year gift"" for PwD, the Minister said the reason for the delay in notifying the rules was that Delhi was not categorised as a ""State"" in the rules so the government had to get clearance from the Lieutenant-Governor to approach the Union Ministry of Home Affairs.

""Section 101 of the Rights of Persons with Disabilities Act, 2016, confers power upon the State government to make such rules under the said act. However, the term, 'State government' has not been defined in the RPwD Act, 2016,"" the statement read.

The Delhi government had to seek a special delegation of powers to formulate the rules, the statement added.

""However, since the notification is done, now the differently-abled can avail the benefits and concessions in education, health services, loan facilities, jobs and any such governmental schemes,"" the statement read.

The new rules lay down procedures for workplaces to handle complaints of discrimination on the basis of disability, reservation of jobs, research on disability and ensuring equal opportunity."
"6","1030656932","2019-01-01","https://www.thehindu.com/news/cities/Kochi/brittos-body-to-be-donated-to-mch/article25884818.ece","Britto's body to be donated to MCH","The Hindu",FALSE,"The body of CPI(M) leader Simon Britto, who had represented the Anglo Indian community in the Kerala Assembly, will be donated to the Government Medical College, Ernakulam, on Wednesday. ""The body of the late leader is being brought to his residence at Vaduthala tonight (Tuesday). It will be kept at his home and at the Town Hall for the public to pay homage on Wednesday before being handed over to the medical college at 3 p.m.,"" P. Rajeev, State secretariat member, CPI(M), said.

Britto, who died on Monday, had led his life on a wheelchair as a paraplegic after being a victim of violence on the Maharaja's College campus.

Donation of cadavers for study by medical students has been rare in the past, owing mainly to lack of awareness and cultural taboos. However, the situation now is better with medical colleges in the State receiving more cadavers than 10 years ago.

The Government Medical College, Ernakulam, has 20 cadavers now - most of them either pledged by the donors or brought by their kin heeding the wish of the donor.

In medical education, the proportion for cadaver to student is 1:10 -- a group of 10 medical students should be conducting their studies on one human body. But, that does not happen in many medical colleges, though the situation in government medical colleges is better. In Ernakulam, a group of 20 students studies one body, because of the shortage of cadavers. In other government medical colleges, there are about 30 to 40 human bodies at a time.

There was a time when cadavers for anatomical studies were really short, said Dr. M.B. Prasanna, head of anatomy department in the Government Medical College, Ernakulam."
"7","1030652586","2019-01-01","https://www.business-standard.com/article/international/us-and-israel-officially-exit-unesco-with-over-600-mn-accrued-in-dues-119010100437_1.html","US and Israel officially exit Unesco with over $600 mn accrued in dues","Business Standard",FALSE,"The withdrawal is mainly procedural yet serves a new blow to UNESCO, co-founded by the US after World War II to foster peace.

The Trump administration filed its notice to withdraw in October 2017 and Israeli Prime Minister Benjamin Netanyahu followed suit.

The Paris-based organization has been denounced by its critics as a crucible for anti-Israel bias: blasted for criticising Israel's occupation of East Jerusalem, naming ancient Jewish sites as Palestinian heritage sites and granting full membership to Palestine in 2011.

The US has demanded ""fundamental reform"" in the agency that is best known for its World Heritage program to protect cultural sites and traditions. UNESCO also works to improve education for girls, promote understanding of the Holocaust's horrors, and to defend media freedom.

The withdrawals will not greatly impact UNESCO financially, since it has been dealing with a funding slash ever since 2011 when both Israel and the US stopped paying dues after Palestine was voted in as a member state. Since then officials estimate that the US which accounted for around 22 per cent of the total budget has accrued $600 million in unpaid dues, which was one of the reasons for President Donald Trump's decision to withdraw. Israel owes an estimated $10 million.

UNESCO Director General Audrey Azoulay took up her post just after Trump announced the pullout. Azoulay, who has Jewish and Moroccan heritage, has presided over the launch of a Holocaust education website and the UN's first educational guidelines on fighting anti-Semitism initiatives that might be seen as responding to US and Israeli concerns.

Officials say that many of the reasons the US cited for withdrawal do not apply anymore, noting that since then, all 12 texts on the Middle East passed at UNESCO have been consensual among Israel and Arab member states.

In April of this year, Israel's ambassador to UNESCO said the mood was ""like a wedding"" after member nations signed off on a rare compromise resolution on ""Occupied Palestine,"" and UNESCO diplomats hailed a possible breakthrough on longstanding Israeli-Arab tensions.

The document was still quite critical of Israel, however, and the efforts weren't enough to encourage the US and Israel to reconsider their decision to quit.

In recent years, Israel has been infuriated by repeated resolutions that ignore and diminish its historical connection to the Holy Land and that have named ancient Jewish sites as Palestinian heritage sites.

The State Department couldn't comment because of the US government shutdown.

Earlier, the department told UNESCO officials the US intends to stay engaged at UNESCO as a non-member ""observer state"" on ""non-politicized"" issues, including the protection of World Heritage sites, advocating for press freedoms and promoting scientific collaboration and education.

The US could potentially seek that status during UNESCO Executive Board meetings in April.

The United States has pulled out of UNESCO before. The Reagan administration did so in 1984 because it viewed the agency as mismanaged, corrupt and used to advance Soviet interests. The US rejoined in 2003."
"8","1030648062","2019-01-01","https://www.thehindu.com/news/national/karnataka/water-dues-in-mysuru-mount-to-162-crore/article25884597.ece","Water dues in Mysuru mount to ₹162 crore","The Hindu",FALSE,"Drinking water dues have touched a whopping ₹162 crore in Mysuru city, and government departments and corporations are among the defaulters, together owing ₹27.17 crore to Mysuru City Corporation (MCC), which has resolved to step up the drive to recover dues. Gram panchayats owe ₹15 crore.

The MCC is hoping to recover at least ₹10 crore dues a month, starting this year, to drum up its revenue for carrying out development works. Dues on domestic connections stand at ₹105 crore, while it is ₹18.94 crore on non-domestic connections. The MCC is owed ₹7.58 crore on commercial connections and ₹4.97 crore on industrial connections.

The MCC, unlike electricity supply companies, does not follow the system of disconnecting supply in case of non-payment of dues. This has resulted in a steep rise in water dues to the corporation.

The civic body is targeting recovering all the dues by May this year. It has proposed a scheme of waiving interest on dues (subject to consent from the government). But the MCC has no plans of going for disconnection.

MCC Commissioner K.H. Jagadish told reporters here on Tuesday that recovery of water dues is being taken up and a target of ₹10 crore set for January.

He said that many government departments and agencies owe ₹27 crore, and MCC officials were individually approaching the heads of such departments and urging them to clear the dues in one go.

According to him, Karnataka Power Transmission Corporation owes ₹1.51 crore, the Chamundeshwari Electricity Supply Corporation (CESC) owes ₹85.83 lakh, the Railways ₹69.99 lakh, and the Education Department ₹2.75 crore. Among the other defaulters are the departments of Public Works (₹53.61 lakh), Health and Family Welfare (₹73.77 lakh), Medical Education (₹50.11 lakh), ATI (₹20.91 lakh), Police (₹3.03 crore), Karnataka Exhibition Authority (₹5.09 lakh), KEB Jyothinagar (₹58.87 lakh), and Mysore Urban Development Authority (1.78 lakh). These dues were calculated up to November last year, according to the MCC.

'Don't waste water'

The MCC has urged residents not to waste river water and go for conservation to ensure there is no crisis in the summer. ""We are not anticipating any crisis in the summer, taking into account water storage at the source,"" the Commissioner said.

Mayor Pushpalatha Jagannath urged residents to avoid wasting water for cleaning and washing floors. She added that caretakers of parks have been asked to use only borewell water for watering lawns and plants.

She said residents can call the MCC helpline (0821-2411366) to report issues pertaining to water supply, including complaints against those wasting water."
"9","1030641033","2019-01-01","http://risingkashmir.com/news/a-year-of-disappointment-for-cultural-activists","A year of 'disappointment' for cultural activists","RisingKashmir",FALSE,"From removing Kashmir language from ""Basha Sangam"" portal to banning of traditional Pheran from government offices, the onslaught on the Kashmiri language continued to make headlines in the year 2018.

Besides such attempts to make this language weaker, what shocked the cultural fraternity was the assassination of veteran journalist and Rising Kashmir founder, Shujaat Bukhari- whose immense contribution is well known in cultural circles. Bukhari was not the only renowned journalist but an avid language activist -- who tried his best to save cultural identity of Kashmiris at several world forums.

The attack on our native language bought together cross-sections of people including our literati to raise their voices and organize demonstrations to get their voices heard.

Rising Kashmir gathered some of the events which surprised the Kashmiris and triggered anger among the masses.

Removal of Kashmiri translations from Bhasha Sangam

Ministry of Human Resource and Development first withdrew Kashmiri translations from its language-promoting portal -- Bhasha Sangam -- after Kashmiri Pandits objected to the version of the language it put out.

The Valley-based Kashmiri literary circle ridiculed the MHRD move to remove Kashmiri translations from its language-promoting portal -- Bhasha Sangam and called it a direct attack on ""Kashmiri identity"".

The Valley-based experts of Kashmiri language condemned and expressed displeasure over the move.

Banning Pheran

A controversy erupted in Kashmir following an order banning the use of the pheran, a key part of traditional Kashmiri attire. The order was originally meant for the state secretariat in Jammu and Kashmir.

In September, the General Administration Department of the Civil Secretariat in Srinagar asked government officials to ""be attired in proper formal dress while appearing before any court of law and while attending offices in the State of Jammu and Kashmir and strictly avoid casual or party attire"".

The decision was a security directive. However, the zonal education officer (ZEO) in Langate, following the civil secretariat directive, issued an order last week banning the pheran in educational institutions.

After facing widespread criticism, the school department, later, retracted the order.

Removal of Kashmiri programmes from Kashir channel

Scores of Srinagar based artists registered protests against what they call as ""extinction"" of Kashmiri programmes from Doordarshan's Kashir channel.

The protesting artists -- including freelance producers, directors, singers, actors and professionals associated with production and among others affiliated with the profession.

The artists, who are affiliated with Doordarshan from decades, lashed out at the government and said that there was an ""onslaught"" on Kashmir language as well as on their livelihood as Prasar Bharti wasn't producing any Kashmiri programmes for which the channel was launched.

The channel was launched in 2000 with an aim to cater to the Kashmiri population and also keeping in view the promotion of local talent.

Unfortunately, the artists have not been given an opportunity to work from a decade now.

The artists said the irony is that the channel has been turned into a ""money minting machine for Mumbai-based producers whose flop movies are run at a prime time while local artists suffer.""

They asked the authorities to restore the Kashmiri content on the DD Kashir channel.

Protest to save the dying ""mother tongue""

Scores of the people associated with Kashmiri Language Union (KLU) including students of Kashmiri language department asked the government to save the dying ""mother tongue"" of the place.

""The Kashmiri language is dying and we are losing our identity day by day,"" shouted protestors at Press Enclave Srinagar.

Besides raising slogans like ""Kashrin Henz Pehchan, Kashir Zaban Kashir Zaban (The identity of every Kashmiri is Kashmiri langue, Kashmiri language), the protestors asked governor administration to make this language compulsory at the higher secondary level in all educational institutions.

They appealed the administration including Director of School Education Ghulam Nabi Itoo to implement the order Via 333 edu of 2017 which states that mother tongue of Jammu and Kashmir (Kashmiri, Dogri and Bhudhi) should be made compulsory till higher secondary level throughout the state including Chenab valley.

Announcements in the Kashmiri language stopped at Srinagar Airport

The Airport Authority of India (AAI) stopped making important announcements in the Kashmiri language at Srinagar airport.

AAI had recently announced that the Kashmiri language would be used in their daily announcement at the airport, the move was also welcomed by locals.

As per the frequent flyers, the announcements in the Kashmiri language have been stopped for unknown reasons.

They complained that announcements are made in Urdu and English languages only and the Kashmiri language was not used.

This move has fumed many flyers, who blamed AAI for the step-motherly approach towards the Kashmiri language.

""Many travelers don't understand Urdu and English language. Why authorities have stopped making announcements in the Kashmiri language,"" said one of the passengers.

A revival of Kashmiri Music

The Kashmiri music was back on the track as it became popular among the youngsters.

In 2018, the videos of youngsters singing traditional Kashmiri songs were making rounds on the social media.

Young and professional singers reviewed traditional music by giving it a new feel. The new Sufi music, playing the traditional instruments like Rabab was trending.

The new music trends in local Folk and Sufi music helped in the restoration of the pristine glory of Kashmir language.

Besides, Kashmiri chaker, Rouf, Wanwon and Sufi lyrics also gained popularity among the masses."
"10","1030641027","2019-01-01","http://risingkashmir.com/news/pulwama-schools-apathy-scant-students-surplus-teachers","Pulwama schools' apathy: Scant students, surplus teachers","RisingKashmir",FALSE,"The Education department in south Kashmir's Pulwama district has failed to rationalize the pupil-teacher ratio as majority of the government schools in the district have surplus teachers.

In Government Primary School Udhipora of Pampore zone in Pulwama, two teachers are teaching just five students and in PS Naristan, two teachers are allotted to teach 10 students.

Similarly, two teachers are for five students in Government Primary School, Sheikh Mohalla Khrew of Pampore zone of the district and four teachers for six students in Government Primary School, Naim Sahab.

Likewise, the Government Upper Primary School Herbagh Patal of Pampore zone has nine teachers for 35 students.

In Awantipora zone of the district, Government Girls Middle School (GMS) Kaigam has eight teachers posted for the 51 students and in Government Middle School Midoora, nine teachers are working in the school for 74 students.

The Government Middle School Poshwan in Awantipora zone has five teachers for 44 students and in the Government Upper Primary School Kanjinag, nine teachers are teaching against an enrolment of just 79 students.

In the Upper Primary School Satoora of Lurgam zone, eight teachers are posted for 106 students while as the Government Girls High School, Noorpora has eight teachers for 32 students.

The Upper Primary School, Satoora of Lurgam zone of Pulwama district has 106 students who are being taught by eight teachers and in the Government Upper Primary School Aripal, nine teachers are posted for 58 students.

Government Girls Primary School Gadpora of Lurgam zone has one teacher for nine students while the Government Middle School Khangund of the same zone has six teachers for 34 students.

Directorate of School Education Kashmir said they would soon streamline the pupil-teacher ratio.

""We are working on rationalizing our teaching staff and by January end 2019, we will streamline the pupil-teacher ratio,"" Director DSEK, Ghulam Nabi Itoo told Rising Kashmir."
"11","1030641010","2019-01-01","http://risingkashmir.com/news/stresses-on-participation-at-grass-roots-level","Stresses on participation at grass roots level","RisingKashmir",FALSE,"District Development Commissioner, Ramesh Kumar on Tuesday reviewed the annual action plan of 'BetiBachao BetiPadhao' and 'Khelo India' Schemes with the concerned line departments.

According to an official, citing the declining sex ratio of girl child as a big challenge and impediment for the growth, the DC emphasized for collaborative efforts of all the line departments in convergence mode to bust myths related the birth of girl child.

He asked the Police department and other line departments to ensure strict implementation of PC & PNDT Act with regular monitoring of all the screening centres and update of birth register.

Focusing on 24th of January as a national observance day for the girl child, the DC emphasized on celebration of this important day at grass roots level by forming committees comprising all the line departments with focus on women empowerment. Girl child achievers from different backgrounds will be felicitated by these committees while highlighting the folk culture of the state in different awareness programmes.

Similarly, 9thof every month to be celebrated as a 'Ladli Diwas' at Panchyat level with showcase of women empowerment schemes in collaboration with ICDS and Education department. He also directed the line departments to celebrate the birth of every girl child at village levels on 9th of every month with distribution of health kits having a logo of'BetiBachao BetiPadhao' printed on it.

Ramesh Kumar directed the health department to mobilize the ASHA workers to encourage women folks for institutional deliveries, childcare service and avail benefits of various schemes with the creation of 'ASHA Sammelan' for awaking the ASHA workers regarding PC &PNDT act and to award the three ASHA workers every months an incentive to run the programme and also under PC &PNDT to award cash prize of for whistle blowers. He also highlighted the eminent roll that ASHA and Anganwadi workers can play to curb the practice of sex determination especially in areas where people moves out of the district for sex determination.

Focusing on Institutional delivery as corner stone to check sex ratio, DC directed the health department to felicitate the Primary Health Centers and Community Health Centers of the district which registers maximum number of institutional deliveries. He also directed the state telecommunication company BSNL and health department to start a toll free number especially for rural and far flung areas for providing gynecological advice to rural women.

He also directed all the district officers to enable of 'BetiBachao BetiPadhao' ring tone on their mobile phones and also to start a whatsapp group for quick flow of information among the officers. He also directed the ICDS to intall 'Gudda Guddi Board' displaying gender birth ratio month wise at CHCs , PHCs and Anganwadi centres.

The District Development Commissioner directed the education department to conduct a full district survey to figure out drop- out girl Childs with the reason of dropping out from school. Funds from 'BetiBachao BetiPadhao' scheme will be utilised to fulfill the needs of these dropout girl Childs.

He also directed the Education department to adopt orphan girl child school wise for their education. On similar lines he directed the department of Industries and Commerce departments to rope in the funds available under CSR for educating girl child.

He also directed the all the line departments to form internal complaint committee regarding sexual harassment at work place.

Ramesh kumar directed the Rural development department for early completion of the Individual household latrines especially women headed households. He is also directed the department for creations of pink toilets. He also directed the Department of Food, Civil Supplies and Consumer Affairs to issue nee ration cards with the logo ofBetiBachaoBetiPadhao'.

He also directed the Executive officers of municipalities to felicitate the women scavengers and to hold medical camps for their regular checkups.

Later on reviewing the progress of Khelo India Programme, he directed the youth services and sports department to hold school Olympiads at an earliest.

Among others present were PO ICDS Jammu, CMO Jammu, ACD Jammu, DPO Jammu, District Youth service and sports officer, Principal GGM Science College Jammu and others, the official added."
