"","ID","date","url","title","source","duplicate","body"
"1","1030301565","2019-01-01","https://timesofindia.indiatimes.com/city/mumbai/remove-virginity-test-from-medical-textbooks-doctor/articleshow/67331226.cms","Remove 'virginity test' from medical textbooks: Doctor - Times of India","The Times of India",FALSE,"MUMBAI: A forensic medicine professor from Wardha has sought the removal of the controversial 'virginity' or 'two-finger' test from medical textbooks, stating that it lacks any scientific authenticity and future doctors shouldn't be taught this.

In a report submitted to Medical Council of India (MCI), Dr Indrajit Khandekar said the test, which can be psychologically devastating for women, continues to be perceived as a clinical tool by virtue of being taught in medical schools, and therefore in certain instances has even been ordered by courts to decide cases. The doctor's letter, based on a study of nearly 30 MBBS and forensic medicine postgraduation textbooks, has also been sent to the Union health ministry on December 26.

The report stated the textbooks not just vividly taught students about virginity and techniques of hymen inspection for size or tears, but also spoke of ""false"" and ""true virgins."" Interestingly, while volumes were devoted to teaching female virginity, there was hardly any mention of male virginity in any textbook, Khandekar's letter said.

""Numerous studies have shown the inspection of hymen cannot give conclusive evidence of vaginal penetration or any sexual history. In fact, abnormal hymenal features such as laceration or an enlarged opening are found in females with or without a history of sexual activity. Yet our textbooks continue to teach future doctors about this unscientific test,"" said Dr Khandekar, who teachers at the Mahatma Gandhi Institute of Medical Sciences, Sewagram. He medical students continue to be asked questions about virginity in exams. ""Till it stays in the curriculum, textbooks will devote chapters on this and students will continue to learn and perhaps practice when asked to perform such a test by the police or courts,"" said the forensic expert.

The SC had in 2013 banned use of the two-finger test on rape victims. Maharashtra was one of the first states to implement the ban and change medico-legal proformas. Recently, the state introduced genderintegrated modules in five disciplines. The Centre for Enquiry into Health and Allied Themes (CEHAT), along with the Directorate of Medical Education and Research (DMER) and Maharashtra University of Health Sciences (MUHS), worked on the modules across five disciplines, including forensic medicine, to bring in gender perspective in medical education. ""These changes have started to reflect in textbooks taught in Maharashtra. But it needs to change across India,"" said Padma Deosthali of CEHAT."
"2","b-1029850348","2018-12-31","https://www.chennaiclassic.com/1-Chennai/posts/3/20-Engineers-Technical/5289703-Hiring-for-Urgent-Required-Site-Engineers-for-Isspl-Chennai-in-Chennai-for-Exp-5-10-yrs-at-IRCL.html","Hiring for Urgent Required Site Engineers for Isspl- Chennai in Chennai, for Exp. 5 - 10 yrs at IRCL","chennaiclassic.com",FALSE,"Job Description:Greeting from IRCLASS Systems Solutions Pvt Ltd !!! Urgent required Site Engineers for ISSPL- Chennai. Job Responsibility: 1.To supervise the execution of the project 2.Witness testing activities 3.All stage checkings 4.Attend weekly and monthly meetings 5.Certify the RA bills of contractor Experience: 5+ yrs Education Qualification: Diploma in Civil Job Location: Chennai No Of Positions : 5 Eligibility Criteria: 1) Experience in civil projects, renewable solar, mounded bullet, pipeline projects. 2) Candidates who can join within 15 days 4) Local candidate is preferable 5) Candidates who are willing to be deputed anywhere in India can apply. If interested forward your updated cv on [email protected] or [email protected] OUR GROUP PROFILE: About IRClass Industrial Services Inspection Services is a division of IRClass Systems Solutions Pvt. Ltd., accredited to ISO 17020:2012 as a Type A inspection body by NABCB. We provide Third Party Inspection and Technical Advisory Services to the engineering industry all over the world against specifications, QA Plan various national and international standards.

tags: 12 To apply for this job Click here http://spanjobs.com/india/jobs/10233 """
"3","b-1029314781","2018-12-30","https://www.chennaiclassic.com/1-Chennai/posts/3/20-Engineers-Technical/5288987-Hiring-for-Urgent-Required-Site-Engineers-for-Isspl-Chennai-in-Chennai-for-Exp-5-10-yrs-at-IRCL.html","Hiring for Urgent Required Site Engineers for Isspl- Chennai in Chennai, for Exp. 5 - 10 yrs at IRCL","chennaiclassic.com",FALSE,"Job Description:Greeting from IRCLASS Systems Solutions Pvt Ltd !!! Urgent required Site Engineers for ISSPL- Chennai. Job Responsibility: 1.To supervise the execution of the project 2.Witness testing activities 3.All stage checkings 4.Attend weekly and monthly meetings 5.Certify the RA bills of contractor Experience: 5+ yrs Education Qualification: Diploma in Civil Job Location: Chennai No Of Positions : 5 Eligibility Criteria: 1) Experience in civil projects, renewable solar, mounded bullet, pipeline projects. 2) Candidates who can join within 15 days 4) Local candidate is preferable 5) Candidates who are willing to be deputed anywhere in India can apply. If interested forward your updated cv on [email protected] or [email protected] OUR GROUP PROFILE: About IRClass Industrial Services Inspection Services is a division of IRClass Systems Solutions Pvt. Ltd., accredited to ISO 17020:2012 as a Type A inspection body by NABCB. We provide Third Party Inspection and Technical Advisory Services to the engineering industry all over the world against specifications, QA Plan various national and international standards.

tags: 12 To apply for this job Click here http://spanjobs.com/india/jobs/10233 """
"4","1029021644","2018-12-29","https://www.thehindu.com/news/cities/mumbai/suspension-of-pio-has-set-wrong-precedent-activists/article25862013.ece","Suspension of PIO has set wrong precedent: activists","The Hindu",FALSE,"RTI query reveals Cabinet sub-committee on bullet train project never held meeting

The State government's decision to suspend a public information commissioner (PIO) for allegedly providing wrong information on Prime Minister Narendra Modi's flagship bullet train project is setting a wrong precedent for public servants, Right to Information activists warned on Saturday.

Former Chief Information Commissioner (CIC) Shailesh Gandhi said, ""The government must provide the necessary documentation to back its decision to suspend PIO Sarangkumar Patil of the State Home Department or else it will only be seen as sending out the message that State officials handing over information not favourable to the government will be severely dealt with.""

Mr. Gandhi told The Hindu, ""If the Maharashtra government feels that the PIO has provided wrong information, it must make public minutes of the meeting or dates when the meeting [of the Cabinet sub-committee on the project] actually took place. Or else this decision will be considered a fiasco.""

On Friday, Mr. Patil was suspended for giving information regarding a meeting of the Cabinet sub-committee set up to monitor progress of the flagship rail project. According to the information provided to applicant Jeetendra Ghadge on September 29, no meeting of the committee had taken place ever since it was set up.

The sub-committee members include the Chief Minister; Minister for Revenue, Relief and Rehabilitation, and Public Works Department Chandrakant Patil; Minister for Education Vinod Tawde; and Transport Minister Diwakar Raote. Mr. Raote was quoted in the media saying he was not aware of ""any sub-committee and do not remember attending anything pertaining to it.""

Mr. Ghadge said if the government has suspended the PIO for giving the ""wrong"" information, it must also suspend Mr. Raote for giving the same information. As per the documents verified, there is no record of any meetings or minutes of the same on the files, Mr. Ghadge said.

""In my inspection, I did not find a single sheet of paper mentioning the meeting. If the government is suspending the PIO for the information on that basis, it must give dates when these meetings took place,"" he said. The RTI activist said the suspension was simply a pressure tactic by the government to ""bully"" staff and prevent them from giving crucial information.

Meanwhile, State Chief Information Commissioner Sumit Mullick said it was the prerogative of the government to take action against erring officials. ""The CIC has no role in it and neither is it binding on the government to consult the CIC on this matter,"" he said.

Mr. Ghadge's RTI query raised serious questions on the economics of the project. A report of the State Transport Department was found, which highlighted several objections raised by State departments over the economic viability of the Shinkansen train, which could result in losses in the form of wasted Floor Space Index and delayed loan repayment in the absence of proper frameworks.

The train, with a capacity of 750 passengers, will travel at speeds between 320 km/hr and 350 km/hr and is expected to reduce travel time between Ahmedabad and Mumbai to three-and-a-half hours or less from the present eight. The project is expected to be completed in seven years."
"6","1028471388","2018-12-28","https://kashmirobserver.net/2018/city-news/publisher-fined-selling-books-higher-rates-39061","Publisher Fined For Selling Books At Higher Rates","Kashmir Observer",FALSE,"SRINAGAR -- A publishing company Pearson India Education Services Pvt. Ltd has been fined with Rs 75000 by Legal Metrology Department (LMD) for selling books at inflated prices.

According to LMD statement, following the complaints of parents against the Green Valley Educational Institute, Ellahi-Bagh for prescribing the text-books of the publisher namely Pearson India Education Services Pvt. Ltd, with inflated prices, the joint inspection of the school was conducted by the officers of LMD, Education department and Revenue department to ascertain the genuineness of the complaint.

""During the inspection, it was observed that the text-books for Class-I, Class-II and Class-III were in a packaged form carrying MRP of Rs 4500/-, Rs 5000/- & Rs 5000/- respectively. The one set of books (Class-III) was opened in presence of the book-seller and Executive Magistrate Class-I and it was found that none of the individual books in the pack carry the price. Even, the pack was without Urdu and computer books. Two sets of the books were seized from the book-seller and the case was registered against the publisher and book-seller for violation of provisions of Legal Metrology (Packaged Commodities) Rule,201,"" said an official

The LMD also issued a legal notice to the publisher company which ""in turn engaged the counsels to plead the case in the office of Deputy Controller LM (Consumer Protection) Kashmir.""

""After a threadbare discussion with the counsels of the publisher company, they confessed the lapse and gave an undertaking that they will follow the rules in letter and spirit. The case was compounded for Rs. 75,000,"" officials said."
"7","1028471015","2018-12-28","https://www.thehindu.com/news/national/kerala/tuition-centres-in-rights-panels-crosshairs/article25854720.ece","Tuition centres in rights panel's crosshairs","The Hindu",FALSE,"Asks govt. to frame law to ensure children's rights are protected

These days, it is not unusual to see children, still sleepy, leave home before sunrise to sweat it out at tuition centres before racing off to school. School hours are, in many instances, sandwiched between expensive, back-breaking coaching sessions after which the children limp home -- bleary-eyed and exhausted -- by 8 p.m. or 9 p.m., or even later.

Acting on a set of complaints, the Kerala State Commission for Protection of Child Rights on Friday issued orders to the State government to frame a law for regulating tuition/coaching centres and to ensure that children's rights are protected. The commission asked the Secretary, General Education, and the Director of Public Instruction (DPI), to ensure that such institutions are allowed to operate only in a child-friendly atmosphere.

Commission member Sreela Menon N., in her order, noted that while rules and regulations protected the rights of children in the school environment, no such framework protected them in tuition centres that have mushroomed in every nook and cranny of the State.

The commission's order came on two petitions filed by Sebi Joseph of Ancheri, Thrissur, and a group of parents. The petitioners, urging the commission's intervention, alleged that gross violation of children's rights was occurring at such institutions. They also wanted the commission to slap a ban on summer coaching classes that also have become a common feature.

Although the commission issued notices on the matter to the Secretary, General Education, and the DPI, it received the reply that the Education Department was helpless.

The Kerala Education Rules did not contain any provision to regulate tuition/coaching centres. In fact, Friday's order has come at a time when even veterans in the coaching classes sector have started to complain about excesses. P.C. Thomas of Thrissur, a pioneer in the field, welcomed the order, saying it was high time steps were taken to protect children. According to him, tuition/coaching centres have transformed into a 'mafia' in recent years.

""This has become a big business where the children are at the receiving end. There is no doubt that the rights of the children have to be protected. The government should introduce regulations and form inspection teams,"" Mr. Thomas said.

The commission has ordered the Secretary, General Education, and the DPI to file action-taken reports within 30 days of receiving copies of the order."
"8","2018-12-1028219359","2018-12-28","http://www.newindianexpress.com/states/tamil-nadu/2018/dec/28/digitisation-of-edu-records-will-curb-frauds-say-experts-1917407.html","Digitisation of educational records will curb frauds, say experts","The New Indian Express",FALSE,"CHENNAI: Mandating a digital academic record depository, linked with a unique identification number for each faculty, will bring down the number of academic frauds, say, experts. Private institutions, particularly engineering colleges, have been caught duplicating faculty for inspection, retaining academic and professional records illegally and employing insufficient or unqualified staff. For example, during a recent inspection conducted by All India Council of Technical Education (AICTE) at DJR-CET College in Vijayawada, as many as 20 professors and assistant professors shown by the institution did not work at the college, but at its branches in Hyderabad, instead.

In the State, illegal retention of academic certificates by a private engineering college, allegedly led to the suicide of assistant professor T Vasanthavannan. Also, there is no aggregated data on the number of faculty in private higher educational institutions, making it difficult to deduce quality parameters.

Making verified digital academic records compulsory will drastically improve transparency in the system, said MK Surappa, Vice-Chancellor of Anna University, speaking to Express. ""If all certificates are verified and stored with the AICTE and other regulatory bodies, tampering with certificates or duplicating them becomes impossible,"" he said.

Even though it is illegal, most self-financed colleges withhold academic certificates claiming that it is easier to submit them for several inspections held each year. ""Private colleges primarily use certificates as leverage to prevent faculty from finding other jobs. They use them as a ransom,"" said KM Karthik, from the All India Private College Employees Union.

A senior member from Self-Financed Engineering Colleges Association said, ""When students sit for placements, they do not have to carry original records. The placement officers will be given their identification codes and they view it online,"" he said. Teachers too will benefit from the measures, he added."
"9","1027880800","2018-12-28","https://www.dnaindia.com/jaipur/report-rajasthan-ministers-of-state-get-a-free-hand-in-running-their-departments-2701196","Rajasthan: Ministers of State get a 'free hand' in running their departments","Daily News and Analysis (DNA) India",FALSE,"Call it a result of the power-sharing formula between Chief Minister Ashok Gehlot and Deputy CM Sachin Pilot, or a well thought out plan, that all 13 state ministers of Gehlot council have been given at least one department with independent charge.

Gehlot council carries a distinction in several fields. It has 18 MLAs who became first-time ministers. Also, a balance between the young and the old ministers is amplfied in the free hand given to the ministers of state.

There are 13 state ministers, 10 cabinet ministers apart from Gehlot and Pilot taking the strength of the council of ministers in Rajasthan to 25. Each minister of state has been allotted four to five portfolios. In a departure from the norm, each minister has received at least one or two departments of which they have independent charge. This essentially means they do not have to report to a cabinet minister and can work on, and decide independently within their respective departments.

Govind Singh Dotasara, who has become a minister for the first time, has been allotted three departments- Education, Tourism and Devasthan. His education portfolio comes with independent charge, while he will have to work under Cabinet minister Vishvendra Singh for tourism and Devasthan affairs.

Similarly, Bhanwar Singh Bhati has independent charge of higher education, in addition to revenue colonization and Command Area Development, for which his Cabinet superior is Harish Choudhary.

Mamta Bhupesh (women and child development), Arjun Bamnia (Tribal Area Development), Sukhram Vishnoi (Forest, Environment), Ashok Chandna (Youth Affairs, Skill Development), Tikaram Juli (Labour, Factories and Boilers inspection), Bhajan Lal Jatav (Home guards, Government Press), Rajendra Singh Yadav (Planning (Manpower), State Motor Garage) and Dr Subhash Garg (Technical Education, Sanskrit Education) will be working as independent ministers.

Among the Cabinet ministers, apart from Pilot, BD Kalla, Shanti Dhariwal and Raghu Sharma have emerged strong ministers in terms of portfolios they have been given. Kalla has been entrusted by two important departments, Energy and PHED, for which two cabinet ministers are usually appointed. Similarly, Dhariwal has retained his portfolios, which he was managing in previous Gehlot government. He has been entrusted with UDH-LSG, and parliamentary affairs."
"11","1027410574","2018-12-27","http://www.newindianexpress.com/nation/2018/dec/27/rajasthan-ministers-allocated-portfolios-cm-ashok-gehlot-keeps-9-including-home-and-finance-1917162.html","Rajasthan ministers allocated portfolios; CM Ashok Gehlot keeps 9, including home and finance","The New Indian Express",FALSE,"JAIPUR: Newly-inducted Rajasthan ministers have been allocated portfolios, with Chief Minister Ashok Gehlot assigning nine departments, including the key finance and home, to himself.

According to the orders issued by the Cabinet Secretariat here, Deputy Chief Minister Sachin Pilot has been given the charge of public works, rural development, panchayati raj, science and technology and statistics departments.

Apart from the chief minister and his deputy, 13 cabinet and 10 ministers of state were allocated portfolios by Governor Kalyan Singh late on Wednesday night on the advice of Gehlot.

The 23 ministers were sworn in on Monday, a week after Chief Minister Ashok Gehlot and Deputy Chief Minister Sachin Pilot took oath.

The allocation of portfolios was made after Gehlot and Pilot held meetings with Congress president Rahul Gandhi in New Delhi on Wednesday.

The decision had been pending due to reported disagreement between Gehlot and Pilot over allocation of key portfolios such as home and finance.

READ: Newly-inducted ministers of Ashok Gehlot cabinet clamour for office of their choice

Besides finance and home, the chief minister also kept the charge of excise, planning, personnel, general administration and information technology department, among others with himself.

B D Kalla has been given energy, public health engineering, ground water, art, culture and archeology departments, while Shanti Dhariwal was assigned urban development and housing, law and parliamentary affairs departments.

Parsadi Lal was named industry minister, and Master Bhanwar Lal Meghwal is in charge of social justice and empowerment department.

Agriculture, animal husbandry and fisheries departments are with Lal Chand Kataria while medical and health, information and public relations departments are with Raghu Sharma.

Pramod Bhaya is the mines minister.

Vishvendra Singh got tourism and devsthan department, Harish Chaudhary was allocated revenue, while Ramesh Chand Meena was given food and civil supply deaprtment.

Besides being made the cooperative minister, Anjana Udailal was also given the Indira Gandhi canal project department.

Pratap Singh was given the charge of transport and soldier welfare departments while Shale Mohammad was made minority affairs and waqf minister.

The portfolios, which are yet to be allocated will remain with the chief minister for now.

Among the ministers of state, Govind Singh Dotasara was given education (independent charge), and was also given tourism and devsthan departments.

Mamta Bhupesh was given women and child development department (independent charge) along with minority affairs and waqf.

Arjun Singh Bamnia was given tribal area development department (independent charge) as well as industry and pubic enterprises departments.

Bhanwar Singh Bhati was allocated higher education (independent charge) and revenue while Sukhram Bishnoi got forest (independent charge), environment (independent charge), food and civil supply and consumer affairs.

Youth affairs and sports (independent charge), skill development (independent charge) and transport and soldier welfare went to Ashok Chandna, while Tikaram Jully got labour (independent charge), industries and boilers inspection (independent charge), cooperatives and Indira Gandhi canal project department.

Bhajan Lal Jatav has civil defence (independent charge), agriculture, animal husbandry and fisheries, Rajendra Singh Yadav was allocated state motor garage (independent charge), language department, social justice and empowerment, calamity management and relief departments.

RLD's Subhash Garg was allocated technical education (independent charge), Sanskrit education (independent charge), medical and health, information and public relations departments."
"13","1027296798","2018-12-27","https://www.business-standard.com/article/elections/rajasthan-ministers-get-portfolios-gehlot-keeps-nine-gives-five-to-pilot-118122700180_1.html","Rajasthan ministers get portfolios: Gehlot keeps nine, gives five to Pilot","Business Standard",FALSE,"BJP's Yoonus Khan likely to contest against Cong's Sachin Pilot in Tonk

Newly inducted Rajasthan ministers have been allocated portfolios, with Chief Minister Ashok Gehlok assigning nine departments, including the key finance and home, to himself.

According to the orders issued by the Cabinet Secretariat here, Deputy Chief Minister Sachin Pilot has been given the charge of public works, rural development, panchayati raj, science and technology and statistics departments.

Apart from the chief minister and his deputy, 13 cabinet and 10 ministers of state were allocated portfolios by Governor Kalyan Singh late on Wednesday night on the advice of Gehlot.

The 23 ministers were sworn in on Monday, a week after Chief Minister Ashok Gehlot and Deputy Chief Minister Sachin Pilot took oath.

The allocation of portfolios were made after Gehlot and Pilot held meetings with Congress president Rahul Gandhi in New Delhi on Wednesday.

The decision had been pending due to reported disagreement between Gehlot and Pilot over allocation of key portfolios such as home and finance.

Besides finance and home, the chief minister also kept the charge of excise, planning, personnel, general administration and information technology department, among others with himself.

B D Kalla has been given energy, public health engineering, ground water, art, culture and archeology departments, while Shanti Dhariwal was assigned urban development and housing, law and parliamentary affairs departments.

Parsadi Lal was named industry minister, and Master Bhanwar Lal Meghwal is in charge of social justice and empowerment department.

Agriculture, animal husbandry and fisheries departments are with Lal Chand Kataria while medical and health, information and public relations departments are with Raghu Sharma. Pramod Bhaya is the mines minister.

Vishvendra Singh got tourism and devsthan department, Harish Chaudhary was allocated revenue, while Ramesh Chand Meena was given food and civil supply deaprtment.

Besides being made the cooperative minister, Anjana Udailal was also given the Indira Gandhi canal project department. Pratap Singh was given the charge of transport and soldier welfare departments while Shale Mohammad was made minority affairs and waqf minister.

The portfolios, which are yet to be allocated will remain with the chief minister for now.

Among the ministers of state, Govind Singh Dotasara was given education (independent charge), and was also given tourism and devsthan departments. Mamta Bhupesh was given women and child development department (independent charge) along with minority affairs and waqf.

Arjun Singh Bamnia was given tribal area development department (independent charge) as well as industry and pubic enterprises departments.

Bhanwar Singh Bhati was allocated higher education (independent charge) and revenue while Sukhram Bishnoi got forest (independent charge), environment (independent charge), food and civil supply and consumer affairs.

Youth affairs and sports (independent charge), skill development (independent charge) and transport and soldier welfare went to Ashok Chandna, while Tikaram Jully got labour (independent charge), industries and boilers inspection (independent charge), cooperatives and Indira Gandhi canal project department.

Bhajan Lal Jatav has civil defence (independent charge), agriculture, animal husbandry and fisheries, Rajendra Singh Yadav was allocated state motor garage (independent charge), language department, social justice and empowerment, calamity management and relief departments.

RLD's Subhash Garg was allocated technical education (independent charge), Sanskrit education (independent charge), medical and health, information and public relations departments."
