"","ID","date","url","title","source","duplicate","body"
"1","1030678022","2019-01-01","https://telanganatoday.com/child-labourers-get-new-lease-of-life","Child labourers get new lease of life","Telangana Today",FALSE,"Hyderabad: More than 500 children got a fresh lease of life due to the efforts of the Rachakonda Police last year, with two separate drives being taken out to curb employment of children at brick kilns, restaurants, poultry farms and so on.

The drives, Operation Smile, a Central government initiative, and Operation Muskaan, an effort by the Rachakonda Police, saw 530 children hailing from different States being rescued from various workplaces where they were employed illegally.

The Rachakonda Police had formed eight teams, each comprising a Sub-Inspector, three male police constables and one woman constable, for drives.

While Operation Smile was in January last year, Operation Muskaan was launched in July. Out of the 530 children rescued, 283 were boys and 104 were girls, all from Telangana. The remaining 138 boys and five girls were from Orissa, Bihar, Assam, Chhattisgarh, Uttar Pradesh, Karnataka, Rajasthan, Andhra Pradesh, Madhya Pradesh, Jharkhand and Maharashtra.

As per police records, 20 boys were rescued from various industries and companies. During the operation, three missing cases were traced in Nacharam and Medipally as well.

Ten cases were registered under the Juvenile Justice Act, Child Labour Act and Child Labour Prohibition Amendment Act in Balapur, Meerpet, Vanasthalipuram and Pahadishareef against the managements who engaged the children for work.

A total of six cases were registered in Yadadri in connection with selling and buying minors for human trafficking, police said.

During Operation Smile, two Brickline Schools were also started in Rachakonda for providing education to these children. The operations will continue this year as well, officials said."
"2","1029697918","2018-12-31","https://www.mid-day.com/articles/cops-book-tutor-caught-mercilessly-beating-15-year-old-in-nda-coaching-centre/403603","Cops book tutor caught mercilessly beating 15-year-old in NDA coaching centre","mid-day",FALSE,"A video grab of Anees Kutty, the coaching class owner, repeatedly slapping Surya

Joining the National Defence Academy (NDA) was 15-year-old M Sriharsha Surya's dream. Which is why he had come all the way from Visakhapatnam in Andhra Pradesh to join a coaching centre in Pune that prepares students for the entrance exam to the premier defence institution. But, he now needs psychiatric treatment, after being thrashed and mentally tortured by the owner of the classes.

Surprisingly, the cops didn't have to look far for the car either: it was a mere two km from their police station. Vijaya Lakshmi Kalyan Chakravarty, 42, Surya's mother, sent an online complaint from Visakhapatnam where they are based, to the Vishrantwadi police on Sunday. Police then lodged the FIR against Anees Kutty, the head of Anees Classes.

Chakravarty said, ""My son had scored 63 per cent in class X and wanted to join the defence forces. We came across Anees Classes in Vishrantwadi, Pune on June 2, which trained students to prepare for entrance exams to NDA, the Army etc.""

She added, ""With a lot of hope and to ensure better education, we admitted my son to Anees Classes though we live in Visakhapatnam. For two years the fees were Rs 1.80 lakh, of which we paid Rs 1 lakh and around R5s 6,000 additional as mess charges.""

Ill-treated students

She said she and her husband soon learnt about the ill-treatment of her son and other students by Kutty. ""Very often Anees Kutty used to harass him mentally and physically. He manhandled him many times. On October 13 this year, he slapped Surya many times and my son called me and said he was unable to bear the torture and did not want to live. We rushed to Pune and brought him back home. He was depressed and is undergoing psychiatric treatment.""

Her husband, music teacher Kalyan said, ""When we questioned Kutty he was rude to us. A few of our son's friends recently gave us the video of the incident on October 13, which helped make our case stronger, and we complained on Sunday.""

The parents said, on October 13, Surya had lunch outside and arrived late to class. They said initially Kutty appeared to ask him where he had gone and why he was late, in jest. But then suddenly he started slapping the boy. Some of Surya's friends filmed this abuse in class.

Kutty was unavailable for comment. Inspector Ashok Saykar of Vishrantwadi police station said, ""We have registered a case under relevant sections of the Indian Penal Code and are investigating."""
"3","1029613005","2018-12-30","https://indianexpress.com/article/cities/mumbai/mumbai-confidential-delhi-dinesh-kumar-jain-chief-secretary-central-election-commission-excise-minister-5516356/","Mumbai Confidential: Chalo Delhi?","The Indian Express",FALSE,"Sources said that the much-awaited major transfer in the state's senior bureaucracy may well be deferred till Chief Secretary Dinesh Kumar Jain's fate is revealed.

Speculation is rife in the corridors of power that state Chief Secretary Dinesh Kumar Jain, who is set to retire next month, is under consideration for the position of an election commissioner with the Central Election Commission.

Jain, whose family is based in Delhi, is also understood to be keen on landing the prestigious assignment. Sources, meanwhile, said that the much-awaited major transfer in the state's senior bureaucracy may well be deferred till Jain's fate is revealed. A section in the government is pushing for a three-month extension for Jain as Chief Secretary.

On Hold

What's brewing in the state's excise department? According to sources, a controversial move of revalidating 205 liquor permits, which were found to have been irregularly allotted between 2010 and 2016, has been put on hold. While Excise Minister Chandrasekhar Bawankule had conducted fresh hearings for these cases in October itself, senior department bureaucrats have raised questions over the validity of this review exercise.

Retirement Perk

Three months after his retirement, former medical education department secretary Sanjay Deshmukh, a 1998 batch IAS officer, has landed a post-retirement assignment. Deshmukh has been appointed as Chairperson of the Energy Vigilance Committee of the MSEB Holding Company Ltd. The post had fallen vacant after incumbent P R Baviskar, also a retired IAS officer from the West Bengal cadre, stepped down citing personal reasons.

Promotion Time

Advertising

It is that time of the year when promotions are handed out to police personnel. In the IPS cadre, sources said this time officers belonging to the 1994 batch are eligible for promotion to Additional Director General (ADG) rank. Mumbai's Joint Commissioner of Police (Law and Order) Deven Bharti is among those in line for promotion. Others include Ashutosh Dumbare, Dr Sukhwinder Singh, Anup Kumar, Vineet Agarwal and Ramanand Bharma. Meanwhile, IPS officers belonging to the 2001 batch are eligible for promotion to Inspector General of Police rank.

Scoring A Home Run

Politicians are not the only ones who are reluctant to give up perks of office, especially spacious government accommodations, long after they have demitted office. Tales abound in the corridors of power on how several retired bureaucrats, including some who haven't even been accommodated by the government in post-retirement positions, have clung onto official accommodations in violation of norms.

Lectured

This past week, a senior bureaucrat suffered the ignominy of being lectured by his senior in front of representatives of the Maratha Kranti Morcha. Sources said while the CMO had directed the MKM representatives to meet the bureaucrat, he'd left his office leaving them waiting. Objecting to this, they raised the matter with a senior official. The bureaucrat was then recalled and had to sit for the meeting.

Serving A Message

Eknath Khadse may be sulking, but the former minister hasn't lost his acerbic sense of humour. With the BJP leadership having to bear intense ribbing after the poll debacle in the heartland states, Khadse did not miss the opportunity to make himself heard. Eyebrows were raised when Khadse last week stated that permanent loyalty to a party cannot be taken for granted in politics, at a function where senior Congress leader Ulhas Patil publicly offered him support to switch over to his party."
"4","1029594912","2018-12-30","http://www.theshillongtimes.com/2018/12/31/national-nuggets-825/","National Nuggets","theshillongtimes.com",FALSE,"Farmers in UP lock up stray cattle in govt schools, PHCs

Agra: Farmers in rural hinterland of Uttar Pradesh's Agra district have locked up herds of stray cattle, especially cows, in schools and other government buildings alleging that the bovines are destroying their crops, amid a spate of such incidents in the state.The development comes close on the heels of another such incident in Aligarh where farmers in the district herded stray cows inside government buildings to prevent crop damage. Chief Minister Yogi Adityanath recently directed the officials concerned to make immediate arrangements for proper care of stray cows. He also ordered clearing of grazing grounds in different parts of the state from encroachments. In Agra, police had to intervene in at least six cases to free cows locked in schools and public health centres. On Saturday, villagers locked up stray cows in a school in Garhi Bachchi. A day earlier, cattle were locked up inside a primary school at Arela village in Etmadpur tehsil. Officials of the Basic Education department had to intervene to get the premises vacated for children who had been forced to stay away from classes. Farmers rued that the bovines were destroying crops. ""Cows and bulls have become a huge nuisance, eating crops and destroying greenery,"" complained a farmer of Barauli Ahir block, Ramesh. (PTI)

Stalker dies after private parts chopped off in Maharashtra

Thane: A 27-year-old man from Maharashtra's Thane district whose private parts were allegedly chopped off by three persons, including a woman he was reportedly stalking, has died in a Mumbai hospital, police said Sunday. An official said that Tushar Pujare, a home loan adviser, was allegedly stalking a 42-year-old woman in the district's Manpada area and had also visited her home and told her husband about his infatuation. Pujare's brother, in his complaint to the police, said 15 days prior to the incident, the woman had warned Pujare of dire consequences if he did not stop his advances. On December 25, Pujare was called to Nandivli area of Dombivali by the accused on the pretext of arranging a home loan, the official said. ""Pujare was assaulted there and the woman chopped off his private parts with a knife. The woman rushed Pujare to a nearby hospital and then left from there,"" the official said. ""On Friday, at around 11pm, Pujare succumbed to his injuries in JJ Hospital in Byculla in Mumbai. We have added the charge of murder against the three accused,"" a police official said Sunday. (PTI)

Girl thrashed, disrobed, made to run naked by eve-teasers

Bhadohi: A woman was beaten up, disrobed and made to run naked in her village in Gopiganj area of the district for resisting eve-teasers, police said Sunday. Police have registered a case against the four miscreants involved in the incident and have arrested one of them, said Circle officer Yadavendra Yadav Sunday, adding they are trying to apprehend others. ""The incident took place in a village in Gopiganj area of the district on Saturday, when a woman from the weavers' community objected to being teased by one Lal Chandra Yadav. Later, in the evening, Yadav along with his three accomplices forcibly entered her house and badly beat her up."" ""They stripped off her clothes and made to run in the village. Some villagers shot the incident and its video subsequently went viral,"" he added Circle Officer Yadav said the woman is undergoing treatment at a hospital and a case has been registered against all four involved in beating and disrobing her. ""One accused has been arrested, while efforts are on to nab the rest of the culprits,"" he said. Meanwhile, Inspector Anil Yadav of Gopiganj police station has been sent to the police lines. (PTI)"
"5","1029495330","2018-12-30","https://www.business-standard.com/article/pti-stories/daribhit-incident-di-s-suspension-withdrawn-118123000597_1.html","Daribhit incident: DI's suspension withdrawn","Business Standard",FALSE,"The West Bengal government has withdrawn the suspension of District Inspector of Schools (DI) of North Dinajpur and posted him at the headquarters of the School Education Department, an official said Sunday.

The DI was suspended following the death of two youths in a clash between the police and a mob in front of Daribhit High School in North Dinajpur on September 20.

A department official said on Sunday,

The suspension was withdrawn on Thursday and Mondal was given posting at Bikash Bhavan, the headquarters of the School Education Department here.

Mondal had been suspended after the deaths of Tapas Barman and Rajesh Sarkar, two former students of the high school, during the clash over appointment of two teachers of Urdu and Sanskrit, which was resented by students of the school as they wanted English teachers.

At a press meet after the incident, Education Minister Partha Chatterjee had said the DI was being suspended with immediate effect as he failed to understand the gravity of the situation beforehand and could not communicate to the higher authorities about the urgency in recruitment of English teachers in the school.

Mondal had, however, pleaded innocence saying the appointment of teachers was done by the school education department and not him.

The official said Mondal had replied to the showcause notice issued to him after suspension and after considering all factors, the suspension was withdrawn.

He will join the new office in January.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"6","1029398308","2018-12-30","http://www.jantakareporter.com/india/commit-murder-if-you-can-i-will-take-care-of-matter-purvanchal-university-vc-raja-ram-yadav-to-students/225216/","Commit murder if you can, I will take care of matter: Purvanchal University VC Raja Ram Yadav to students","Janta Ka Reporter 2.0",FALSE,"Purvanchal University Vice Chancellor Raja Ram Yadav has courted a huge controversy after urging his students to commit murder and leave it to him to take care of the matter later. His comments have come a day after a violent mob killed police constable Suresh Kumar Singh Vats in Ghazipur.

Addressing his students at a function in Ghazipur, Yadav said, ""If you're a student of this University, never come crying to me. If you ever get into a fight, beat them, if possible murder them, I'll take care of it later.""

The video of Yadav has evoked angry reactions with many blaming his words for the collapsed law and order in the BJP-ruled Uttar Pradesh. Former Chief Minister of Uttar Pradesh Omar Abdullah tweeted, ""Get in to a fight, commit a murder as a result and this university VC will take care of things. This is what passes for an education in some places these days. Not surprisingly the audience even applauds his assertion.""

Similar angry reactions came from other users and activists too.

However, Uttar Pradesh Minister Sidharth Nath Singh promised action against the VC. He was quoted by news agency ANI, ""It was wrong, he can't make such comments. He should teach students the way of peace but he's doing 'gunda raj', VC of such mentality has no right to stay in his position. I hope Deputy CM will take appropriate action.""

Vats was the second police officer to be killed by mob this month in Uttar Pradesh after a group of Hindutva fanatics shot dead Inspector Subodh Kumar Singh in Bulandshahr on 3 December."
"7","1029265819","2018-12-30","https://theprint.in/opinion/nehru-accused-k-m-munshi-of-engaging-in-hindu-revivalism-through-the-somnath-temple-project/25283/","Nehru accused K. M. Munshi of engaging in Hindu revivalism through the Somnath Temple project","ThePrint",FALSE,"Sunday marks the 131st birth anniversary of freedom fighter and politician KM Munshi, who was born this day in 1887.

K.M. Munshi, was a political thinker, constitutional lawyer and expert, an institution-builder, and a great patron of Indian culture and civilisation.

Very few remember his contribution towards the rebuilding of the Somnath temple at Prabhas, and the challenges he faced therein.

In 1922, Munshi wrote about the emotional pain that Indians feel about the destruction of the Somnath temple and its ruins:

""Desecrated, burnt and battered, it still stood firm - a monument of our humiliation, and ingratitude. I can scarcely describe the burning shame which I felt on that early morning as I walked on the broken floor of the once-hallowed sabha mandap, littered with broken pillars and scattered stones. Lizards slipped in and out of their holes and the sound of my unfamiliar steps, and Oh! The shame of it! - an inspector's horse, tied there, neighed at my approach with sacrilegious impertinence.""

The Nawab of Junagarh would just not allow the Hindus to rebuild it. But after the accession of Junagarh to India in October 1947, Sardar Patel announced at a public meeting:

""On this auspicious day of the New Year, we have decided that Somnath should be reconstructed. You, people of Saurashtra, should do your best. This is a holy task in which all should participate.""

There was some resistance. Maulana Abul Kalam Azad, the education minister at that time and a good friend of Nehru, opposed the idea, and in one of the cabinet meetings, argued that the ruins should be handed over to the Archaeological Survey of India (ASI), to be preserved as a historical monument.

However, Maulana Azad never suggested the same measures for Muslim shrines and mosques, which were being repaired by the ASI.

Sardar was very firm and responded with a note:

""The Hindu sentiment in regard to this temple is both strong and widespread. In the present conditions, it is unlikely that this sentiment will be satisfied by mere restoration of the temple or by prolonging its life. The restoration of idol would be a point of honour and sentiments with the Hindu public.""

Nehru presided over the cabinet meeting in which this decision was taken.

But Sardar passed away on 15 December 1950. Mahatma Gandhi, who also approved of the temple plan, was already gone. And Nehru became very hostile, not just to the temple project, but to cabinet colleagues -- mainly Munshi and V.N. Gadgil -- who were associated with it. Both Gadgil's and Munshi's writings bring this out clearly. The preparations began for the prana-pratishtha (installation of deity in the temple, and 'bringing it to life') as per the shaastras and the President of India, Dr Rajendra Prasad, was requested to conduct the ceremony.

In the midst of all this, Nehru called Munshi and said: ""I don't like your trying to restore Somnath. It is Hindu revivalism."" Munshi felt humiliated, more so because Nehru made it seem as if things were being done without his knowledge.

On 24 April 1951, Munshi wrote a long letter to Nehru. Many things related to the rebuilding of the Somnath temple would have remained completely unknown, had it not been for this letter. The letter is available in Munshi's book 'Pilgrimage to Freedom'.

""On 13 December 1947, the Standing Committee of the W.M.P. Ministry accepted Gadgil's proposal that the Government of India should reconstruct the temple in the original form and develop roughly, one square mile of the surrounding area. I understand that this decision was included in the weekly note to the Cabinet.

As I learnt from Gadgil, it was also mentioned to the Cabinet. At the time, the decision of the Government was that the W.M.P. Ministry should reconstruct the old shrines and they were doing so in the case of certain Muslim shrines and mosques.

The Government of India, thereafter, deputed Government architects to visit Prabhas and prepare a report for the reconstruction of the temple.

When the whole scheme was discussed by Sardar with Bapu, he stated that it was alright except that the funds necessary for re-constructing the temple should come from the public. Gadgil also saw Bapu and Bapu gave him the same advice. Thereafter, the idea that the Government of India should finance the reconstruction of the temple was given up...

As you will see, the Government of India not only took the initial decision to reconstruct the temple, but formulated and set the scheme going; alongside creating the agency for its further implementation. This will clearly indicate to you the extent of association, the Government of India has with the scheme...

Yesterday, you referred to 'Hindu revivalism.' It is my faith in our past which has given me the strength to work in the present and look forward to our future. I cannot value freedom if it deprives us of the Bhagavad Gita or uproots our millions from the faith with which they look upon our temples and thereby destroys the texture of our lives. I have been given the privilege of seeing my incessant dream of Somnath reconstruction come true. That makes me feel -- makes me almost sure -- that this shrine once restored to a place of importance in our life, will give our people a purer conception of religion and a more vivid consciousness of our strength, so vital in these days of freedom and its trials.""

Gadgil, the Minister of Urban Development and Rehabilitation then, has also mentioned this attitude of Nehru, after Sardar's death. Gadgil wrote:

""I quoted from the Cabinet reports to prove that Nehru's charge that the thing was being done without informing the Cabinet was not correct. Maulana and Jagjivan Ram said that the matter was discussed. The government of India had spent about hundred thousand rupees on the work.""

But for the courage and conviction of Munshi, the Somnath temple would have not been built. Despite Nehru's strong disapproval and opposition, the president did perform the prana-pratishtha ceremony.

Prof. Makkhan Lal is Founder Director of Delhi Institute of Heritage Research and Management and currently Distinguished Fellow at Vivekananda International Foundation"
"8","1029063638","2018-12-29","https://www.deccanchronicle.com/nation/politics/301218/sudha-seshayyan-is-vc-of-tamil-nadu-mgr-medical-varsity.html","Sudha Seshayyan is VC of Tamil Nadu MGR medical varsity","Deccan Chronicle",FALSE,"Chennai: Governor of Tamil Nadu and chancellor of the Tamil Nadu MGR Medical University, Banwarilal Purohit appointed Dr Sudha Seshayyan as the vice-chancellor of the Tamil Nadu MGR Medical University, Chennai on Saturday. She has been appointed for a period of three years beginning from the date of her assumption of office.

An excellent Tamil orator and currently the vice-principal and director and professor of Institute of Anatomy at Madras Medical College, Dr Sudha has an outstanding academic record with a teaching experience of more than 30 years.

After pursuing undergraduation in public administration from Osmania University and hospital administration from Annamalai University, Dr Sudha turned a civil surgeon at 30.

Dr Sudha is currently a member of Medical Council of India, member of board of medical education at Annamalai University and also a member of board of postgraduate studies at Chettinad University.

She was the co-ordinator for the Tamil Nadu Dr. MGR Medical University and has also been the registrar of the university from January 2009 to November 2011 and was presented with the best administrator award by the university.

Dr Sudha Seshayyan also served as the director and professor, Institute of Anatomy, Madurai Medical College, head of Department of Anatomy at Stanley Medical College and inspector to medical Institutions on behalf of Medical Council of India and various other universities.

Her academic excellence got her recognized as the international advisory member of 'Gray's Anatomy' and 'Atlas of Clinical Gross Anatomy'. She edited the Text Book of Anatomy, 'Brittanica Thagaval Kalanjiyam' (Tamil version of Brittanica Encyclopaedia) and a medical encyclopaedia titled ""Maruthuva Kalanjiyam"". She has also contributed endowment lectures and orations for various international conferences. Her write-ups on various spiritually oriented topics have been published in various Tamil magazines.

Dr Sudha has many awards to her name including the best performance award of appreciation by state health department, Kalaimamani award by the government of Tamil Nadu, Pravachana Chooodamani by Krishna Gana Sabha, Asthika Pravachana Rathna by Asthika Samaj and Sollin Selvar award by Government of Tamil Nadu to name a few."
"9","1028690062","2018-12-29","https://www.thequint.com/news/india/bulandshahr-violence-know-prashant-nat-the-man-who-killed-inspector-subodh-singh","Who is Prashant, the Man Who 'Killed' an Inspector in Bulandshahr","The Quint",FALSE,"On Thursday, 27 December, the Uttar Pradesh police arrested Prashant Nat for allegedly killing Inspector Subodh Kumar Singh, who died after being shot in the head during the clashes that erupted between the locals and the police after a cattle carcass was found in UP's Bulandshahr district on 3 December.

On that day, along with Singh, a civilian identified as Sumit was also shot dead.

A video of Singh lying near the front door of the police jeep with a bullet lodged in his head had gone viral after the violence.

When The Quint visited Prashant Nat's village Chirangati ka Mandeya, also called Natt village, in Bulandshahr, his neighbours said even though the police claim they have sufficient evidence, video and eyewitness accounts to prove that he shot the inspector, they just can't fathom it.

'Prashant Was There Only By Chance'

All the locals said they were shocked to hear that someone like Prashant could hurt anyone. ""He was trying to make an honest living for himself, like all of us. You can see our homes, we are very poor,"" 65-year-old Satveer Singh, who used to be a farmer but doesn't work anymore due to pain in his knees, told The Quint.

Singh added, ""Sun rahain hain hum ki police begunao ko utha rahain hain (We are hearing the police is picking up innocent people).""

Many insisted that Prashant was near the place where the clashes occurred only by chance. ""Prashant's cousin Pinki was to get married in Meerut on 11 December so understandably he had responsibilities to fulfil before the wedding. Bhaat bharne jaana hota hain jahaan kapde, kuch zevar khareedne hote hain. (The Bhat ceremony has to happen for which clothes, some jewellery has to be bought.),"" Satveer said.

A few days after the clashes, lots of people from Chingravati and Prashant's village began to leave. ""Everyone was scared, they also left then but I know he did attend his sister's wedding scheduled for 11 December,"" 20-year-old Kajal, who has known him for decades, told The Quint.

35-year-old Subhash said, ""Prashant kept to his business and never spoke rudely to a soul. He has lived here always, and never has there been an issue or fight involving him, that's why we don't believe all this.""

Prashant Belongs to the Nat Scheduled Caste

The village where 23-year-old Prashant lives is about 3 kilometres from the Chingravati police post where Inspector Subodh Singh was shot. With 30 odd homes, the village has around 150 people, who belong to the Nat Scheduled Caste.

The caste, in their words, consists of very poor people who do manual labour, work in other people's fields or beg for a living.

His friends told The Quint that Prashant completed his secondary education from the Siyana government school and went onto join his elder brother, Moolchand, who was in the taxi business in Kasna, Greater Noida.

Prashant and his wife Sonam are parents to three daughters. Niki, who is five-years-old, and Darpan and Naina who are three and seven-years-old, respectively. They all left their brother and came back to the village a few months ago as their father was not keeping well. ""Prashant would keep visiting but then his father had recurring fever so he came back and was staying here for three-four months straight. His mother also takes medication for the heart,"" Satveer Singh said.

Worked as a Cabbie in Delhi-NCR

Prashant joined his elder brother and began driving a cab for a living in and around Delhi-NCR. He would often get the taxi to his native village. ""He used to work for OLA. We have seen his cab so many times. Prashant used to bring it often, but this time when he came he came without the taxi. He had said there was an accident so he had to leave it back,"" Kajal said.

While on one hand the police claim to have sound evidence against Prashant, who was not named in the original FIR, his neighbours, who've known him for decades, feel he's being blamed wrongfully. Satveer Singh says, ""Bhude se bhude guzar gaye, aisa kabhi haatsa na dekha. (Many people have lived and died, but we've never seen something like this).""

(The Quint is now on WhatsApp. To receive handpicked stories on topics you care about, subscribe to our WhatsApp services. Just go to TheQuint.com/WhatsApp and hit the Subscribe button.)"
"10","1028632121","2018-12-29","https://www.firstpost.com/india/daily-bulletin-iaf-navy-join-rescue-efforts-in-meghalaya-mine-anupam-kher-opposes-screening-of-the-accidental-pm-mp-cm-distributes-portfolios-days-top-stories-5807941.html","Daily Bulletin: Anupam Kher against showing Gandhis The Accidental Prime Minister, IAF, navy join rescue efforts in Meghalaya mine; day's top stories - Firstpost","Firstpost",FALSE,"IAF, Navy join efforts to rescue trapped Meghalaya miners

Indian Navy divers on Saturday joined the operation underway to rescue 15 miners trapped inside a flooded rat-hole coal mine in Meghalaya since 13 December, officials said Friday. The Navy spokesman said in a tweet that a 15-member diving team from Visakhapatnam in Andhra Pradesh will reach the site in the remote Lumthari village in East Jaintia Hills district Saturday morning.

""The team is carrying specialised diving equipment including a re-compression chamber and remotely operated vehicles capable of searching underwater,"" he said.

The Navy carried out an initial assessment on Friday to determine an effective response.

Rescue operations at the mine are currently underway. Image courtesy: Kyrmenlang Uriah

Pump manufacturing company Kirloskar Brothers Ltd and Coal India were jointly moving 18 high-powered pumps to drain water out of the 37-foot-deep mine. A team of surveyors from the two companies also conducted an on-the-spot assessment of the situation. They will submit a report to East Jaintia Hills district authorities on the technicalities about positioning pumps for effectively carrying the operation, officials at the site said.

The team would carry special diving equipment including a remote-operated vehicle capable of conducting an underwater search.

The Air Force has airlifted 10 pumps from Bhubaneswar. Its personnel have landed in Guwahati, 270 kilometres away from the coal mine, official sources said.

India vs Australia, 3rd Test at Melbourne, Day 4

Australia reached 44/2 at lunch on Day 4 at Melbourne, having lost both their openers early after being set a target of 399 by India. The visitors earlier declared at 106/8, with Pat Cummins registering his career-best haul of 6/27. The series is level at 1-1 right now, and the Indians will retain the Border-Gavaskar Trophy should they win the Melbourne Test.

Follow live updates on the day's play here.

Anupam Kher against special screening of The Accidental Prime Minister

As controversy erupted over the upcoming film The Accidental Prime Minister, a film based on former prime minister Manmohan Singh, lead actor of the movie Anupam Kher on Friday said that after certification of a film by the censor board, nobody has the right to ask for showing the film before its release.

Earlier in the day, Satyajeet Tambe Patil, president of the Maharashtra State Youth Congress, sent a letter to the producer of the film demanding a special screening before it is released. He raised objections to ""incorrect presentation of the facts"" in the film, the trailer of which was released on Thursday.

However, Kher added: ""If Manmohan Singh asks us, we will show him for sure.""

Madhya Pradesh: Kamal Nath distributes portfolios; Bala Bachchan gets Home, Bhanot finance

Madhya Pradesh chief minister Kamal Nath distributed portfolios to his cabinet Friday evening, keeping Public Relations, Industrial Policy and Investment Promotion Department and Employment Department among others with himself, an official said. Nath also kept the Public Service Management department and the Technical Education with him, he said.

Tribal MLA Bala Bachchan, who was a minister in the previous Digvijay Singh-led Congress government, was given Home and Jail, while another senior MLA, Tulsi Silawat, got Health, the Public Relations department official said.

Govind Rajput was allocated Revenue and Transport department, while Tarun Bhanot was given the Finance department.

MLA Prabhuram Choudhary, who belongs to a Scheduled Caste community, was given School Education, he said.

Trump advisor heads to Turkey, Israel after Syria pullout

US national security advisor John Bolton said Friday he would visit Turkey and Israel to coordinate on Syria, after President Donald Trump's decision to withdraw all US forces.

Bolton said he would head in January to both Turkey -- which has enthusiastically backed Trump's sudden move -- as well as Israel, a close US ally where the pullout has caused concern.

""We will discuss our continued work confronting security challenges facing allies and partners in the region, including the next phase of the fight against ISIS (also referred to as Islamic State), as the US begins to bring troops home from Syria,"" Bolton tweeted.

Trump last week unexpectedly said he was pulling all 2,000 troops from Syria, declaring that the United States had achieved its objective as the Islamic State extremist movement had been ""knocked"" out.

Bulandshahr violence: BJP MLA claims cop shot himself

BJP MLA Devendra Singh Lodhi on Friday stirred a controversy in Bulandshahr violence case stating that inspector Subodh Kumar shot himself in haste after he became hopeless.

Speaking to ANI, Devnedra Singh said: ""While trying to save himself, the cop became hopeless and fired at himself in haste. He was not targeted by anyone; it was a mob that got aggressive as the police was not filing an FIR.""

Notably, Subodh Singh died on 3 December after violence occurred in Bulandshahr over the finding of cow carcasses in Chingrawath village. The post-mortem revealed that Subodh had six marks of injuries inflicted by stones and also a bullet was stuck inside his skull.

On Thursday police arrested Prashant Natt, a man who allegedly shot inspector Singh. As per police, Natt has confessed to having shot at Singh.

Updated Date: Dec 29, 2018 07:51 AM"
