"","ID","date","url","title","source","duplicate","body"
"1","1030744917","2019-01-01","https://indianexpress.com/article/education/jawahar-navodaya-schools-nhrc-to-govt-respond-in-6-weeks-on-jnv-suicides-5519182/","NHRC to govt: Respond in 6 weeks on JNV suicides","The Indian Express",FALSE,"Citing the findings of The Indian Express investigation, NHRC said a total of 2.53 lakh students in the age group of nine to 19 were enrolled across roughly 600 JNVs for the year 2017 and that in the same year, the number of suicides touched 14.

EXPRESSING ""SERIOUS concern"" over the findings of an investigation by The Indian Express on student suicides in Jawahar Navodaya Vidyalayas, the National Human Rights Commission (NHRC) Tuesday issued notice to the school education secretary in the HRD Ministry seeking a response within six weeks.

On December 24, 2018, The Indian Express reported that the central government's residential schools for talented rural children witnessed 49 student suicides from 2013 to 2017, including that of 25 Dalit and tribal students. The investigation also revealed that there are no trained counsellors on campus, and that it's largely left to ""overburdened"" teachers to look after the welfare of students.

Taking suo motu cognizance of the findings, the NHRC, headed by former Chief Justice of India H L Dattu, directed the ministry to submit its response on three aspects: whether trained counsellors are available on campus; if there is dedicated staff to ensure students are not left alone in their rooms; and whether students have access to emergency assistance through counselling over telephone and a suicide hotline service.

""The Commission has observed that the contents of the media report, if true, cannot be ignored or overlooked as this reported pattern of suicides by so many students in JNVs might still increase, if not checked in time with appropriate measures... The proportion of suicides of students from the Scheduled Caste and Scheduled Tribe communities is also a matter of concern for a society, which aspires for an inclusive growth,"" the NHRC said.

Citing the findings of The Indian Express investigation, NHRC said a total of 2.53 lakh students in the age group of nine to 19 were enrolled across roughly 600 JNVs for the year 2017 and that in the same year, the number of suicides touched 14."
"2","1030744916","2019-01-01","https://indianexpress.com/article/education/upsc-in-new-civil-service-recruits-dip-in-those-taking-exams-in-hindi-5519192/","In new civil service recruits, dip in those taking exams in Hindi","The Indian Express",FALSE,"While students took the CSE in Hindi accounted for nearly 17% in 2013, it stood at 2.11% in 2014, 4.28% in 2015, 3.45% in 2016, 4.06% in 2017. And of the 2018 recruits who finished the 15-week foundation course last month, 2.16% took the CSE in Hindi.

Of the 370 new civil services recruits trained at the Lal Bahadur Shastri National Academy of Administration (LBNSAA) in Mussoorie, eight took the Civil Service Examination (CSE) in Hindi compared to 48 of 202 in 2013; five recruits studied at Hindi-medium universities; and 30 attended Hindi-medium schools.

Data obtained by The Indian Express show that since 2013, there has been a sharp dip not only in students taking the CSE in Hindi -- for services like the IAS, IPS and Indian Foreign Service -- but also in recruits who studied in either Hindi-medium universities or schools. According to the data, there is also a steady increase in students preferring English.

An analysis of the profiles of recruits who took the foundation course available on the LBNSAA website shows the decrease: while students took the CSE in Hindi accounted for nearly 17% in 2013, it stood at 2.11% in 2014, 4.28% in 2015, 3.45% in 2016, 4.06% in 2017. And of the 2018 recruits who finished the 15-week foundation course last month, 2.16% took the CSE in Hindi.

The sharp fall stems from reforms implemented in the CSE when the UPA government brought in the Civil Services Aptitude Test (CSAT) in 2011. Following a backlash in and outside Parliament, the compulsory CSAT Paper-2, comprising Maths and English comprehension, was made just a qualifying paper with effect from the CSE-2015.

Advertising

In 2013, the pattern of the CSE Mains was also changed. Instead of two optional subjects, only one subject was made optional and General Studies papers were increased from two to four. Experts believe this limited the space for students from Hindi-medium schools and universities.

Satyanand Mishra, who retired as Secretary, Department of Personnel and Training (DoPT), the nodal department for UPSC and cadre controlling authority for IAS said: ""The quality of vernacular teaching and the number of academically bright students opting for their mother tongues in colleges and universities can be one more angle to look at. Besides, more middle-class small/medium town parents increasingly prefer an English-medium education for their children.""

Data show that in 2013, there were 48 -- or a quarter -- of 202 recruits at LBNSAA, who studied in Hindi-medium schools, 22 (or nearly 11%) studied at Hindi-medium universities and 34 (nearly 17%) took the CSE in the Hindi.

Before the CSAT was introduced, the performance of Hindi-medium students was a little better, according to data. Profiles of the LBNSAA recruits for 2008, 2007, 2006 and 2005 show that the representation of students who took the CSE (written) in Hindi was between 12 and 15%. In 2008, for instance, 32 out of 239 students took the CSE in Hindi - over 14%.

Incidentally, of the 370 recruits at the foundation course in 2018, 280 have studied Science subjects including Engineering and Technology, Medicine, Pharmacy or pure sciences. Among them, as many as 149 were B.Tech graduates and 75 were B.E graduates. Only 55 were from Arts and Humanities while the remaining were from management and commerce. This follows the trend in 2017 when of 369 recruits, 287 were from Science fields and in 2016, when 280 of 377 had studied science subjects."
"3","1030744404","2019-01-01","https://timesofindia.indiatimes.com/city/nagpur/two-years-on-vid-devpt-report-yet-to-reach-cm/articleshow/67341332.cms","Two years on, Vid devpt report yet to reach CM - Times of India","The Times of India",FALSE,"Nagpur: Chief minister Devendra Fadnavis had constituted a committee in August 2016 under then Nagpur divisional commissioner Anup Kumar to study sector wise backwardness in Vidarbha and Marathwada. The report was to be prepared by Vidarbha Industries Association (VIA) in association with government departments. It was to be submitted to the CM in February 2017. However, shockingly it is yet to reach Fadnavis.

The term of BJP-Shiv Sena government will expire in October this year. Unless Fadnavis or at least a person from Vidarbha becomes the CM again, the report is likely to be put in cold storage. Thus, the industrialists and officials may have missed a golden opportunity for development of the two regions.

VIA had constituted 16 committees to study various sectors in the two backward regions. These committees submitted their report one by one in 2018. Anup Kumar then got it translated into Marathi. Some months ago, a local daily had published a serious of news articles on the summary of the report. No action has been taken since Kumar got transferred and the report is lying with the industrial association. It is seeking an appointment with Fadnavis to hand it over to him.

Initially, work on the report was done fast. Kumar held a daylong meeting with industrialists in VIA office. He then organized similar meetings in Amravati and Aurangabad. The principal secretary (industries) also held a daylong meeting with VIA office-bearers. After that the field work began. However, this was very slow.

The committee prepared a detailed questionnaire and provided it to the respective collectors. It contained questions like number of industries closed down, cases where land was refused to industries, persons registered at the employment exchange, etc. This information was collected and compiled by September 20, 2016. All the district and sector wise reports were to be presented to Anup Kumar, who was to then prepare a plan of action with the help of industrialists.

In mid-2017, VIA said that it had prepared the draft of the report. Sixteen sectors had been identified for development. These included defence, mining, ayurveda, minor forest produce, etc. The focus areas were skill and entrepreneurship development, industry and education interface, etc.

One of the concerns raised in the draft report was high-handedness of banks towards small and medium scale industries while recovering loans which had turned into non-performing assets (NPAs). The report claimed that while big fish went scot free, the small and medium scale industrialists had to face strict action."
"4","1030717768","2019-01-01","https://timesofindia.indiatimes.com/city/gurgaon/sat-scores-of-govt-school-students-in-classes-9-12-show-signs-of-progress/articleshow/67341779.cms","SAT scores of govt school students in classes 9-12 show signs of progress - Times of India","The Times of India",FALSE,"GURGRAM : The result of the bi-monthly student assessment test (SAT) for government schools, held in November, is out. And it's not a pretty sight for students of Gurugram, with only 55% managing to pass. The results were uploaded on the Saksham Haryana Education portal last week. The tests are conducted by the state education department to track and improve the learning ability of government school students.

Students of Mahendergarh topped with a pass percentage of 69%, with Yamunanagar bringing up the rear at 36%. English is the subject most students struggled with, especially in higher classes. Across the state, barely 35% students managed to clear it.

Satyanarayan Yadav, state secretary of Haryana School Teachers Association, said, ""Most students find it hard to learn English as they speak in Hindi. Effort is needed to ensure students improve their English scores."" In contrast, most students performed well in fine arts and music scoring overall 91% and 81%, respectively.

Of 21 districts, Gurugram was ranked 16th in the Class X Haryana Board Examination of 2017-18, with a pass percentage of 45.67%. In 2016-17, too, it was ranked 16th but with a pass percentage of 43.68%. After the low of 2016-17 board exams, Gurugram's scores in SAT too, shows signs of improvement, from 48% in July and 41% in September to 55% in November.

District elementary education officer Prem Lata Yadav said, ""From this year onwards, I'll ensure kids take their class tests seriously. I'm sure results will improve."" In the block-wise comparison of SAT scores for the district, Sohna scored 49%, Farrukhnagar 56%, Gurugram 57% and Pataudi 62%.

In Government Senior Secondary School, Khetawas, out of 18 students who appeared for the Class XII exam, only three passed. The principal said: ""As most students belong to families of migrant workers, they don't have the environment to study at home. How can they clear board exams on the basis of class teaching alone?""

The SAT results are shared with district education officers to evaluate performance of students and teachers, followed by classes under the learning enhancement programme to bridge gaps. Jyoti Chaudhary, director, SCERT, said, ""All efforts are being taken by SCERT to increase learning level of students."""
"8","b-1030627813","2019-01-01","http://www.insightsonindia.com/2019/01/01/indo-us-22-dialogue/","Indo - US 2+2 Dialogue - INSIGHTS","INSIGHTS",FALSE,"Content: Recognizing their two countries are strategic partners, major and independent stakeholders in world affairs, the Ministers committed to work together on regional and global issues, including in bilateral, trilateral, and quadrilateral formats.

The two sides further decided to establish secure communication between the Minister of External Affairs of India and the U.S. Secretary of State, and between the Minister of Defence of India and the U.S. Secretary of Defense, to help maintain regular high-level communication on emerging developments.

Strengthening the Defense and Security Partnership:

Observing the strong ties of family, education, and business, and the spirit of entrepreneurship and innovation that unite their people, the Ministers highlighted the unmatched people-to-people ties between their countries and recognized the benefits to both nations and the world from these ties, including the free flow of ideas and collaboration in health, space, oceans, and other areas of science and technology.

The next 2+2 meeting is to be held in the United States in 2019."
"9","b-1030627811","2019-01-01","http://www.insightsonindia.com/2019/01/01/insights-daily-current-affairs-pib-01-january-2019/","Insights Daily Current Affairs + PIB: 01 January 2019 - INSIGHTS","INSIGHTS",FALSE,"For Prelims and Mains: Key recommendations made by the committee and their significance, the need for review of engineering education.

Context: A government committee headed by IIT-Hyderabad chairman B V R Mohan Reddy has submitted its report and that its suggestions are being considered by AICTE.

The committee was appointed to come up with a medium and short-term perspective plan for expansion in engineering education.

Important recommendations made by the committee:

More than half the engineering seats fall vacant every year. There were no takers for 51% of the 15.5 lakh B.E/B.Tech seats in 3,291 engineering colleges in 2016-17.

Besides, current capacity utilisation in traditional disciplines is just 40% as opposed to 60% seat occupancy in branches such as computer science and engineering, aerospace engineering and mechatronics.

Mains Question: Examine the challenges faced by higher education sector in India and discuss the impact of policy decisions taken to address these issues?(250 words)

As part of its initiatives to empower women, the Odisha government, last year, launched this scheme to provide free sanitary napkins to school girls across the state.

India is among the first five countries in the world, the first in Asia and the first among the biodiversity-rich megadiverse countries to have submitted the report.

The submission of national reports is a mandatory obligation on parties to international treaties, including the CBD. As a responsible nation, India has never reneged on its international commitments and has earlier submitted on time five national reports to the CBD.

The report provides an update of progress in achievement of 12 National Biodiversity Targets (NBT) developed under the convention process in line with the 20 global Aichi biodiversity targets.

At the 1992 Earth Summit in Rio de Janeiro, world leaders agreed on a comprehensive strategy for ""sustainable development"" -- meeting our needs while ensuring that we leave a healthy and viable world for future generations. One of the key agreements adopted at Rio was the Convention on Biological Diversity.

The Convention on Biological Diversity is the international legal instrument for ""the conservation of biological diversity, the sustainable use of its components and the fair and equitable sharing of the benefits arising out of the utilization of genetic resources"" that has been ratified by 196 nations.

The 'Aichi Targets' were adopted by the Convention on Biological Diversity (CBD) at its Nagoya conference. It is a short term plan provides a set of 20ambitious yet achievable targets, collectively known as the Aichi Targets. They can be divided into:

Strategic Goal A: Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society.

Strategic Goal B: Reduce the direct pressures on biodiversity and promote sustainable use.

Strategic Goal C: To improve the status of biodiversity by safeguarding ecosystems, species and genetic diversity.

Strategic Goal D: Enhance the benefits to all from biodiversity and ecosystem services.

Strategic Goal E: Enhance implementation through participatory planning, knowledge management and capacity building.

Mains Question: Critically evaluate the implementation of the Biological Diversity Act, 2002 which is meant to fulfil the objectives of the Convention on Biological Diversity.

For Prelims and Mains: OSIRIS-Rex mission and facts on asteroid bennu.

Context: NASA's OSIRIS-Rex spacecraft has set a new milestone in cosmic exploration by entering orbit around an asteroid, Bennu, the smallest object ever to be circled by a human-made spaceship.

OSIRIS-Rex is the first-ever US mission designed to visit an asteroid and return a sample of its dust back to Earth. The $800 million (roughly Rs. 5,600 crores) unmanned spaceship launched two years ago from Cape Canaveral, Florida and arrived December 3 at its destination, some 70 million miles (110 million kilometres) away.

The plan is for OSIRIS-REx to orbit Bennu through mid-February, using a suite of five scientific instruments to map the asteroid in high resolution to help scientists decide precisely where to sample from.

OSIRIS-Rex stands for Origins, Spectral Interpretation, Resource Identification, Security-Regolith Explorer.

OSIRIS-REx is the third mission in NASA's New Frontiers program, which previously sent the New Horizons spacecraft zooming by Pluto and the Juno spacecraft into orbit around Jupiter.

Bennu was selected for a the OSIRIS-REx mission from over 500,000 known asteroids, due to it fitting a number of key criteria. These include:

Proximity to Earth: In order for OSIRIS-REx to reach its destination in a reasonable timeframe, NASA needed to find an asteroid which had a similar orbit to Earth.

Size: Small asteroids, those less than 200m in diameter, typically spin much faster than larger asteroids, meaning the regolith material can be ejected into space. Bennu is around 500m in diameter, so rotates slowly enough to ensure that the regolith stays on its surface.

Composition: Bennu is a primitive asteroid, meaning it hasn't significantly changed since the beginning of the Solar System (over 4 billion years ago). It is also very carbon-rich, meaning it may contain organic molecules, which could have been precursors to life on Earth.

Additionally, Bennu is of interest as it is a Potentially Hazardous Asteroid (PHA). Every 6 years, Bennu's orbit brings it within 200,000 miles of the Earth, which means it has a high probability of impacting Earth in the late 22nd Century.

For Prelims and Mains: Ultima Thule and New Horizons- Key facts.

Context: On January 1, NASA's New Horizons spacecraft became the first explorer to fly past the mysterious object- Ultima Thule, located some 4 billion miles from Earth.

Ultima Thule is located in the Kuiper belt in the outermost regions of the Solar System, beyond the orbit of Neptune.

New Horizons was launched on 19 January 2006, and has been travelling through space for the past nine years. New Horizon's core science mission is to map the surfaces of Pluto and Charon, to study Pluto's atmosphere and to take temperature readings.

Mains Question: Write a note on the significance of NASA's New Horizons Mission.

For Prelims and Mains: Key provisions and significance of the bill, the need for legislation on outer space.

There is a need for national space legislation for supporting the overall growth of the space activities in India. This would encourage enhanced participation of non-governmental/private sector agencies in space activities in India, in compliance with international treaty obligations, which is becoming very relevant today.

Mains Question: What are the salient features of the Space Activities Bill, 2017? Examine how the use of outer space by ISRO has helped common man in India.

Content: Recognizing their two countries are strategic partners, major and independent stakeholders in world affairs, the Ministers committed to work together on regional and global issues, including in bilateral, trilateral, and quadrilateral formats.

The two sides further decided to establish secure communication between the Minister of External Affairs of India and the U.S. Secretary of State, and between the Minister of Defence of India and the U.S. Secretary of Defense, to help maintain regular high-level communication on emerging developments.

Strengthening the Defense and Security Partnership:

Observing the strong ties of family, education, and business, and the spirit of entrepreneurship and innovation that unite their people, the Ministers highlighted the unmatched people-to-people ties between their countries and recognized the benefits to both nations and the world from these ties, including the free flow of ideas and collaboration in health, space, oceans, and other areas of science and technology.

The next 2+2 meeting is to be held in the United States in 2019.

Establishing Gas Trading Hub/Exchange in the country

It has been agreed to establish the gas trading hub(s)/exchange(s) in the country wherein the natural gas can be freely traded and supplied through a market mechanism.

Development of Natural Gas Grid:

To develop the natural gas grid, Government has taken a decision to provide a capital grant of Rs. 5176 crore (i.e. 40% of the estimated capital cost of Rs. 12,940 Crore) to GAIL for development of a 2655 Km long Jaddishpur-Haldia/Bokaro-Dhamra Gas Pipeline (JHBDPL) project.

This pipeline will transport Natural Gas to the industrial, commercial, domestic and transport sectors in the States of Bihar, Jharkhand, Odisha, West Bengal and Uttar Pradesh.

An Integrated Refinery-cum-Petrochemical Complex:

Oil Public Sector Undertakings (PSUs) namely Indian Oil Corporation Limited (IOCL), Bharat Petroleum Corporation Limited (BPCL) and Hindustan Petroleum Corporation Limited (HPCL) have decided to set up an integrated refinery-cum-petrochemical complex with a refining capacity of 60 MMTPA (Million Metric Tonnes Per Annum) at Babulwadi, Taluka Rajapur in Ratnagiri District in the state of Maharashtra.

Background:

The establishment of a hub is an attempt to meet operators' demands for the adoption of a market-based gas-pricing regime. But India faces challenges in making the dream a reality, amid concerns over third-party access and competition.

The gas hub plan ties in with Prime Minister Narendra Modi's efforts to boost the share of natural gas in India's energy mix to 15% by 2030, from just over 6% now.

Domestic supply is also increasing. ONGC, India's largest producer, supplied 23.5bn cubic meters of gas in the 2017-18 financial year and plans to almost double this within the next four years.

The Indian authorities, are considering overhauling the policy of fixed domestic gas prices, currently based on a formula derived from prices in the US, Canada, UK and Russia. Delhi sees itself as a potential candidate for Asia's largest LNG trading hub, in a region that lacks accurate benchmarks reflecting Asian gas fundamentals."
"10","1030618875","2019-01-01","https://www.ndtv.com/jobs/government-jobs-in-punjab-amarinder-singh-to-fill-up-1-2-lakh-vacancies-1971104","Recruitment For 1.2 Lakh Government Job Vacancies In Punjab Soon","NDTV",FALSE,"Chandigarh:

Punjab Chief Minister Amarinder Singh on Tuesday ordered filling up of 1.2 lakh vacant posts in various government departments in a phased but focused manner, an official spokesperson said. The critical requirements of departments of health, education and medical education and research will be addressed in the first phase, he said. The directive came during a high-level meeting to review the progress of the state government's flagship 'Ghar Ghar Rozgar and Karobar Mission' scheme.

During the meeting, Mr Singh asked Chief Secretary Karan Avtar Singh to work out the modalities for filling up the vacancies in government departments, the spokesperson said.

RRB Group D Answer Key This Week; Here Are The Direct Links

The chief minister also directed the top bureaucrat to hold a meeting of administrative secretaries to work out the number of vacancies to be filled in various departments, he said.

Amarinder Singh underscored the need for better coordination and synergy between the state's skill development mission and the department of employment generation and training (DEGT) to bridge the gap between skill training and the required job profile, the spokesperson said.

Railway JE Recruitment Process Begins Tomorrow, RRBs Generate Registration Link

He further called for more technical training and vocational guidance programmes to help the local youth acquire skills needed to be gainfully employed in the domestic industry.

Addressing the meeting, Technical Education and Employment Generation Minister Charanjit Singh Channi said 30,000 youth had applied for placements in foreign companies at the 'Overseas Employment Camp' organised by the DEGT.

Forest Guard Recruitment In Bihar, CSBC Notifies 902 Vacancies

Several foreign companies participated in the camp to select aspirants for 5,000 job openings, but only around 500 were selected, which showed that there was a gap between the skill training and the job qualification of the candidates, the minister pointed out.

Acceding to a demand raised by Mr Channi, the chief minister directed the finance department to immediately release funds to the tune of Rs 5 crore for execution of various schemes and projects under 'Ghar Ghar Rozgar and Karobar Mission', the spokesperson said.

UP Assistant Teacher Admit Card 2018 Released; Direct Link Here

He added that Amarinder Singh also asked the finance department to make a budgetary provision of Rs 23 crore in the next fiscal.

Amarinder Singh was informed that 4.53 lakh youths had been provided jobs under the government's ambitious scheme, the spokesperson said.

Railways Releases Notification For More More Than 13,000 Junior Engineer Vacancies

Of these, 37,000 youths had got jobs with the government, 1.30 lakh with the private sector and 2.86 lakh were employed under various self-employment schemes, he said.

Amarinder Singh also gave the nod to holding a state-level mega job fair in February.

Click here for more Education News

(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)"
"11","1030613222","2019-01-01","https://www.moneycontrol.com/news/world/brazil-far-right-firebrand-jair-bolsonaro-to-be-sworn-in-as-president-3344691.html","Brazil: Far-right firebrand Jair Bolsonaro to be sworn in as president","MoneyControl",FALSE,"The former Army captain and seven-term fringe congressman rode a wave of anti-establishment anger to became Brazil's first far-right president since a military dictatorship gave way to civilian rule three decades ago.

Right-wing nationalist Jair Bolsonaro, who has vowed to crack down on political corruption, violent crime and ignite a moribund economy with deregulation and fiscal discipline, will be sworn in as Brazil's president on January 1.

The former Army captain and seven-term fringe congressman rode a wave of anti-establishment anger to became Brazil's first far-right president since a military dictatorship gave way to civilian rule three decades ago.

Bolsonaro plans to realign Brazil internationally, moving away from developing nation allies and closer to the policies of Western leaders, particularly US President Donald Trump, who sent Secretary of State Mike Pompeo to his inauguration.

As a clear sign of that diplomatic shift, Bolsonaro plans to move the Brazilian embassy in Israel from Tel Aviv to Jerusalem, breaking with Brazil's traditional support for a two-state solution to the Palestinian issue.

Crowds of supporters, many with the Brazilian flag draped around their shoulders and with faces painted yellow and green, the national colors, gathered before the Planalto palace, where later the presidential sash will be draped on Bolsonaro.

Backed massively by conservative sectors of Brazil, including Christian evangelical churches, Bolsonaro would block moves to legalize abortion beyond even the current limited exceptions and remove sex education from public schools, opposing what he calls ""cultural Marxism"" introduced by recent leftist governments.

One-third of his cabinet are former army officers, mostly fellow cadets at the Black Needles academy, Brazil's West Point, all outspoken backers of the country's 1964-1985 military regime.

Bolsonaro, 63, has faced charges of inciting rape and for hate crimes because of comments about women, gays and racial minorities. Yet his law-and-order rhetoric and plans to ease gun controls have resonated with many voters, especially in Brazil's booming farm country.

In an interview with Record TV on the eve of his inauguration, Bolsonaro lashed out at Brazil's notorious bureaucracy, which makes doing business in the country difficult and expensive. He vowed to strip away the so-called ""Brazil Cost"" that hamstrings private enterprise.

""The government machine is really heavy,"" he said. ""There are hundreds of bureaucratic governing bodies across Brazil, of regulators as well. ... We have to untangle the mess.""

His vow to follow Trump's example and pull Brazil out of the Paris Agreement on climate change has worried environmentalists. So have his plans to build hydroelectric dams in the Amazon and open up to mining the reservations of indigenous peoples who are seen as the last custodians of the world's biggest forest.

Brazilian businesses are eager to see Bolsonaro take office and install a team of orthodox economists led by investment banker Paulo Guedes, who has promised quick action in bringing Brazil's unsustainable budget deficit under control.

Guedes plans to sell as many state companies as possible in a privatization drive that he forecasts could eventually bring in up to 1 trillion reais ($257 billion).

That would help restore order to government finances. The key measure, however, for reducing the deficit and stopping a dangerous rise of Brazil's public debt will be the overhaul of the country's costly social security pension system.

Pension reform will be Bolsonaro's biggest challenge since he has yet to build a base in Congress, where he has eschewed the political horse-trading that has traditionally helped Brazilian presidents govern the nation of nearly 210 million people.

Bolsonaro may find that lax protection of the environment and human rights could have negative economic effects, more so than those faced by other far-right leaders, given the spotlight on Brazil's Amazon jungle as a protection against global warming and because the country has more murders than any other nation.

""I think they will be good on the economy and they will probably be bad for human rights and the environment,"" said Brian Winter, vice president for policy at the Americas Society and Council of the Americas in New York.""The key question is whether those things can be separated. Most of Wall Street says 'Yes.' I have my doubts."""
"12","1030585677","2019-01-01","https://www.nationalheraldindia.com/national/punjab-to-fill-over-12-lakh-vacancies-in-phased-manner","Punjab to fill over 1.2 lakh vacancies in phased manner","nationalheraldindia.com",FALSE,"The directives came during a meeting held here on Tuesday to review the progress of the state government's flagship 'Ghar Ghar Rozgar' and 'Karobar Mission' scheme.

The Chief Minister has asked Chief Secretary Karan Avtar Singh to work out the modalities for filling up the government vacancies.

""The Chief Secretary has been directed to hold a meeting of Administrative Secretaries to work out the requirement of posts to be filled in the various departments in the Officers' Committee headed by him,"" an official spokesperson said.

The Chief Minister stressed on the need for better coordination and synergy between the Skill Development Mission and the Department of Employment Generation and Training (DEGT) to bridge the gap between skill training and job profile.

He called for more special technical training and vocational guidance programmes to equip the local youth to be gainfully employed in the domestic industry.

Technical Education and Employment Generation minister Charanjit Singh Channi apprised the meeting that 30,000 youth had applied for placements in foreign companies during the Overseas Employment Camp' organised by DEGT."
"13","1030584393","2019-01-01","https://www.business-standard.com/article/pti-stories/amarinder-orders-filling-up-of-1-2-lakh-govt-job-vacancies-119010100799_1.html","Amarinder orders filling up of 1.2 lakh govt job vacancies","Business Standard",FALSE,"The critical requirements of departments of health, education and medical education and research will be addressed in the first phase, he said.

The directive came during a high-level meeting to review the progress of the state government's flagship 'Ghar Ghar Rozgar and Karobar Mission' scheme.

During the meeting, Singh asked Chief Secretary Karan Avtar Singh to work out the modalities for filling up the vacancies in government departments, the spokesperson said.

The chief minister also directed the top bureaucrat to hold a meeting of administrative secretaries to work out the number of vacancies to be filled in various departments, he said.

Amarinder Singh underscored the need for better coordination and synergy between the state's skill development mission and the department of employment generation and training (DEGT) to bridge the gap between skill training and the required job profile, the spokesperson said.

He further called for more technical training and vocational guidance programmes to help the local youth acquire skills needed to be gainfully employed in the domestic industry.

Addressing the meeting, Technical Education and Employment Generation Minister Charanjit Singh Channi said 30,000 youth had applied for placements in foreign companies at the 'Overseas Employment Camp' organised by the DEGT.

Several foreign companies participated in the camp to select aspirants for 5,000 job openings, but only around 500 were selected, which showed that there was a gap between the skill training and the job qualification of the candidates, the minister pointed out.

Acceding to a demand raised by Channi, the chief minister directed the finance department to immediately release funds to the tune of Rs 5 crore for execution of various schemes and projects under 'Ghar Ghar Rozgar and Karobar Mission', the spokesperson said.

He added that Amarinder Singh also asked the finance department to make a budgetary provision of Rs 23 crore in the next fiscal.

Amarinder Singh was informed that 4.53 lakh youths had been provided jobs under the government's ambitious scheme, the spokesperson said.

Of these, 37,000 youths had got jobs with the government, 1.30 lakh with the private sector and 2.86 lakh were employed under various self employment schemes, he said.

Amarinder Singh also gave the nod to holding a state-level mega job fair in February.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
