"","ID","date","url","title","source","duplicate","body"
"1","1030744917","2019-01-01","https://indianexpress.com/article/education/jawahar-navodaya-schools-nhrc-to-govt-respond-in-6-weeks-on-jnv-suicides-5519182/","NHRC to govt: Respond in 6 weeks on JNV suicides","The Indian Express",FALSE,"Citing the findings of The Indian Express investigation, NHRC said a total of 2.53 lakh students in the age group of nine to 19 were enrolled across roughly 600 JNVs for the year 2017 and that in the same year, the number of suicides touched 14.

EXPRESSING ""SERIOUS concern"" over the findings of an investigation by The Indian Express on student suicides in Jawahar Navodaya Vidyalayas, the National Human Rights Commission (NHRC) Tuesday issued notice to the school education secretary in the HRD Ministry seeking a response within six weeks.

On December 24, 2018, The Indian Express reported that the central government's residential schools for talented rural children witnessed 49 student suicides from 2013 to 2017, including that of 25 Dalit and tribal students. The investigation also revealed that there are no trained counsellors on campus, and that it's largely left to ""overburdened"" teachers to look after the welfare of students.

Taking suo motu cognizance of the findings, the NHRC, headed by former Chief Justice of India H L Dattu, directed the ministry to submit its response on three aspects: whether trained counsellors are available on campus; if there is dedicated staff to ensure students are not left alone in their rooms; and whether students have access to emergency assistance through counselling over telephone and a suicide hotline service.

""The Commission has observed that the contents of the media report, if true, cannot be ignored or overlooked as this reported pattern of suicides by so many students in JNVs might still increase, if not checked in time with appropriate measures... The proportion of suicides of students from the Scheduled Caste and Scheduled Tribe communities is also a matter of concern for a society, which aspires for an inclusive growth,"" the NHRC said.

Citing the findings of The Indian Express investigation, NHRC said a total of 2.53 lakh students in the age group of nine to 19 were enrolled across roughly 600 JNVs for the year 2017 and that in the same year, the number of suicides touched 14."
"2","1030717768","2019-01-01","https://timesofindia.indiatimes.com/city/gurgaon/sat-scores-of-govt-school-students-in-classes-9-12-show-signs-of-progress/articleshow/67341779.cms","SAT scores of govt school students in classes 9-12 show signs of progress - Times of India","The Times of India",FALSE,"GURGRAM : The result of the bi-monthly student assessment test (SAT) for government schools, held in November, is out. And it's not a pretty sight for students of Gurugram, with only 55% managing to pass. The results were uploaded on the Saksham Haryana Education portal last week. The tests are conducted by the state education department to track and improve the learning ability of government school students.

Students of Mahendergarh topped with a pass percentage of 69%, with Yamunanagar bringing up the rear at 36%. English is the subject most students struggled with, especially in higher classes. Across the state, barely 35% students managed to clear it.

Satyanarayan Yadav, state secretary of Haryana School Teachers Association, said, ""Most students find it hard to learn English as they speak in Hindi. Effort is needed to ensure students improve their English scores."" In contrast, most students performed well in fine arts and music scoring overall 91% and 81%, respectively.

Of 21 districts, Gurugram was ranked 16th in the Class X Haryana Board Examination of 2017-18, with a pass percentage of 45.67%. In 2016-17, too, it was ranked 16th but with a pass percentage of 43.68%. After the low of 2016-17 board exams, Gurugram's scores in SAT too, shows signs of improvement, from 48% in July and 41% in September to 55% in November.

District elementary education officer Prem Lata Yadav said, ""From this year onwards, I'll ensure kids take their class tests seriously. I'm sure results will improve."" In the block-wise comparison of SAT scores for the district, Sohna scored 49%, Farrukhnagar 56%, Gurugram 57% and Pataudi 62%.

In Government Senior Secondary School, Khetawas, out of 18 students who appeared for the Class XII exam, only three passed. The principal said: ""As most students belong to families of migrant workers, they don't have the environment to study at home. How can they clear board exams on the basis of class teaching alone?""

The SAT results are shared with district education officers to evaluate performance of students and teachers, followed by classes under the learning enhancement programme to bridge gaps. Jyoti Chaudhary, director, SCERT, said, ""All efforts are being taken by SCERT to increase learning level of students."""
"3","1030712227","2019-01-01","http://mydigitalfc.com/miscellany/gujarat-asks-students-answer-roll-call-%E2%80%98jai-hind-or-%E2%80%98jai-bharat%E2%80%99","Gujarat asks students to answer roll call with 'Jai Hind' or 'Jai Bharat'","mydigitalfc.com",FALSE,"The BJP government in Gujarat has asked schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of customary 'Yes Sir', which it feels will instill ""a feeling of patriotism"".

The move has drawn flak from opposition parties that said the government should rather work towards improving the ""deteriorating quality of education"".

As per notifications issued on Monday (December 31) by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", the notifications stated.

Defending the move, Gujarat education minister Bhupendrasinh Chudasama said on Tuesday that the government should be open to accepting ""good suggestions"". ""'Jai Bharat' and 'Jai Hind' are much better than 'Yes Sir'. Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the change,"" he told reporters.

The minister said schools affiliated to the CBSE and other boards have also been asked to follow the new guidelines. ""Even local private schools have said that this is a good decision of the state government,"" he claimed.

Criticising the Gujarat government, state Congress unit president Amit Chavda said the new practice ""will not change the quality of education"" in the government and affiliated schools.

""The BJP government has made several efforts to instill patriotism among school students. Altering a certain practice will not improve the standard of education,"" he said.

Chavda alleged that the quality of primary education is going down in Gujarat. ""The quality is even worse than many other under-developed states,"" he said.

""The standard of primary education in Gujarat has gone down significantly over the last several years. The BJP government engages only in talks and programmes in the name of improving quality,"" the Congress leader alleged.

He asked the Gujarat government to focus on improving school infrastructure, recruiting teachers to fill huge backlog of vacancies and ""not forcing teachers to do non-teaching jobs for the government""."
"4","1030675103","2019-01-01","https://indianexpress.com/article/cities/delhi/delhi-why-make-us-part-of-vaccine-project-ask-govt-private-school-teachers-5519224/","Delhi: Why make us part of vaccine project, ask govt, private school teachers","The Indian Express",FALSE,"A section of teachers in Delhi have voiced concerns over their involvement in the measles-rubella (MR) vaccination drive, set to commence in city schools in two weeks, with many questioning if the school system should be used as a site to implement a ""health administrative exercise"".

The first two weeks of the drive, to begin on January 16, is for students up till the age of 15. According to a Directorate of Education (DoE) circular dated December 19, 2018, since the MR campaign is a central government policy, no consent is required from beneficiaries and their parents. A December 24 circular on the same states: ""For vaccination sessions in educational institutes/schools, teachers and parents will play a key role in ensuring that targeted students are well informed and immunised during the campaign.""

Teachers have been told to be part of the vaccination teams, along with the designated health workers, and to create awareness and sensitisation regarding the vaccine among students and parents in all government, government-aided and unaided recognised schools in Delhi. However, some teachers have expressed their discomfort about being placed at the forefront of the drive. ""I have been asked to tell parents that this vaccine is safe when I myself do not know enough about this. We are trained as teachers, not health functionaries.

Without training and knowledge, how can we tell parents that it is alright?"" said a teacher at a North MCD school. ""There is a certain level of trust that parents have in us, and we are recognisable faces in this exercise. If, by any chance, something happens, they will turn to us. They should use schools and classrooms for administering the campaign, if they must, but not us teachers,"" the teacher added. A teacher at a private school also said she was uncomfortable convincing parents about this.

Advertising

""I am not convinced that this campaign is essential, and we have read many news reports of children falling ill after receiving the vaccine in Maharashtra and Gujarat. Since it is a central government scheme, there is no room for us to resist. But many students and parents have also voiced their reluctance and I am expected to placate them without information or conviction,"" she said, adding that teachers in her school had not yet received any kind of orientation about the vaccination.

Director of Education Sanjay Goel said, ""We have not received any complaint or experienced resistance from any school so far. As for orientation, one nodal officer per school -- who might be a part of the teaching or non-teaching staff -- is receiving the same as the vaccine is being administered by a health functionary."""
"5","1030670301","2019-01-01","https://indianexpress.com/article/india/sabarimala-row-lakhs-line-up-to-form-womens-wall-across-kerala-5519215/","Sabarimala row: Lakhs line up to form women's wall across Kerala","The Indian Express",FALSE,"Related News Kerala women's wall: Some bat for gender equality, others take a contradictory stand Women's wall in Kerala HIGHLIGHTS: Lakhs of women line up for 'Vanitha Mathil' across state Sabarimala row: Lakhs set to take part in Kerala govt's women's wall today Lakhs of women lined up across Kerala's 14 districts on Tuesday to [...]

Lakhs of women lined up across Kerala's 14 districts on Tuesday to form a human wall as part of the state government's 'vanitha mathil' or women's wall. The wall was organised by the CPI(M)-led LDF government and community outfits backing its stand on the entry of women at the Sabarimala temple.

Although the wall was envisaged as a counter to the Sangh Parivar campaign against the entry of women of all ages at Sabarimala temple following the Supreme Court verdict, the CPI(M) has managed to project the event as a statement of ""progressive Kerala"".

State Minister for Health and Family Welfare K K Shailaja was the starting point of the wall in the northern Kasaragod district, while senior CPI(M) leader and Politburo member Brinda Karat stood as the concluding link of the wall at the southern tip of Thiruvananthapuram district.

The entire ruling LDF cabinet, leaders of community organisations like the Sree Narayana Dharma Paripalana (SNDP) Yogam - which represents the Hindu Ezhava community - , leaders of the Punnala Sreekumar faction of the Kerala Pulaya Mahasabha representing the SC community, and Left-aligned intellectuals, writers, thinkers, activists and actors participated in the movement.

Advertising

Chief Minister Pinarayi Vijayan stated on Facebook, ""The women's wall has become the largest women movement in the country to protect their rights enshrined in the Constitution and defend the attempts to deny them gender justice. This wall is a warning to the conservative-communal forces, which try to deny women their legitimate rights and renaissance values. The women's wall has emerged as a loud announcement that Kerala women are with the progressive thought.""

However, the Opposition Congress boycotted the wall, dubbing it ""communal"" as Hindu organisations were actively involved in the campaign. BJP and upper caste Hindu organisations such as Nair Service Society also kept away from the wall. The BJP had last week lighted an 'ayyappa jyothi' across the state to the northern as a counter to the women's wall.

NSS general secretary Sukumaran Nair, who is leading the Hindu communities opposed to the entry of women of all ages to Sabarimala, said Kerala would become a ""Satan's land"" after the women wall. ""No Chief Minister can destroy traditions and rituals,"" he said.

In Kasaragod district, an attempt to disrupt the wall was reported when a group of men, allegedly belonging to BJP, set on fire a wayside grassland to prevent women from lining up along the road. Police chased them away.

At Edappally - one of the busiest traffic points in Ernakulam district in central Kerala, scores of women lined up on the side of national highway 66. While there were not many minors, there were many elderly women. Exactly at 3.30 pm, the women stood shoulder to shoulder along the entire stretch of the highway, with many wearing the traditional 'kasavu mundu'. Announcements were made over a microphone, requesting the women to not clog roads and to avoid accidents. Senior CPI(M) leadership, including district secretary CN Mohanan, former secretary P Rajeev, Politburo member M A Baby, Politburo member Subhashini Ali, and writer M Leelavathy were present. Nuns of the Jacobite faction of the Christian Church were also present.

At 4.00 pm, the women were requested to raise their hands forward and take a pledge to uphold and protect the social reform values of Kerala and to support the constitutional tenets of gender equality.

In Kochi, Christian nuns also joined the wall while in Malappuram, Muslim women trooped to streets in large numbers to stand for the wall.

Nithya, 23, who works at the IT hub of Infopark in the city, said she had come to show her solidarity with ""the government's vision of a gender equal society"".

""We have to create a new generation that's well aware of our state's rich social reform movements and what they stand for. We have to fight against blind traditions and superstitions,"" she said.

Elizabeth, a school teacher and a member of the Left-backed Kerala State Teachers Association, said the movement was an important marker of female empowerment at a time when the women's right to pray has been violated by male-dominated protests at Sabarimala. ""Viswasam ulla sthreekal keranam (Those who have belief in the deity must be able to enter and pray),"" she said. ""It's a Supreme Court order and the Kerala government has to follow it. The government is handling it in a mature manner. Some political organisations are playing games by making women stand in front.""

At the same time, some participants could not rationally explain why they were there. It was evident that they had been mobilised by community organisations for the sake of building a crowd.

There were also those who took contradictory positions.

Ani, a housewife, said she came for the programme to stand for the rights of women. ""But in the Sabarimala issue, we are on the side of belief (which bars women of menstruation age),"" she said. Her friend Sarada, agreed.

Shortly after the women's wall disbanded, 91-year-old M Leelavathy - one of Kerala's most admired and respected literary critics and writers - underlined in a short speech at a public meeting that gender equality must not remain restricted to cultural and social spheres.

""There must be changes in the political sphere too,"" she said. ""For example, there's a women's reservation bill in Parliament. It advocates 33% reservation for women in Parliamentary constituencies. But I ask, why 33 per cent? Why not 50 per cent? After all, women are half of the country's population. Political leaders must ensure that they pass the bill, ' she said.

Subhashini Ali in her address said she felt wonderful to see scores of women from one end of Kerala to the other upholding principles of equality.

Advertising

""Many extreme reactionary voices have been speaking on behalf of women in Kerala for the last few months. They have been trying to tell people 'women want this, women don't want this'. Today, lakhs of women have come here to say that you don't need to speak on our behalf. We can speak for ourselves. We want our rights, our equality and we have to move forward. They are telling these people that we have rejected their regressive traditions,"" she said."
"6","1030641027","2019-01-01","http://risingkashmir.com/news/pulwama-schools-apathy-scant-students-surplus-teachers","Pulwama schools' apathy: Scant students, surplus teachers","RisingKashmir",FALSE,"The Education department in south Kashmir's Pulwama district has failed to rationalize the pupil-teacher ratio as majority of the government schools in the district have surplus teachers.

In Government Primary School Udhipora of Pampore zone in Pulwama, two teachers are teaching just five students and in PS Naristan, two teachers are allotted to teach 10 students.

Similarly, two teachers are for five students in Government Primary School, Sheikh Mohalla Khrew of Pampore zone of the district and four teachers for six students in Government Primary School, Naim Sahab.

Likewise, the Government Upper Primary School Herbagh Patal of Pampore zone has nine teachers for 35 students.

In Awantipora zone of the district, Government Girls Middle School (GMS) Kaigam has eight teachers posted for the 51 students and in Government Middle School Midoora, nine teachers are working in the school for 74 students.

The Government Middle School Poshwan in Awantipora zone has five teachers for 44 students and in the Government Upper Primary School Kanjinag, nine teachers are teaching against an enrolment of just 79 students.

In the Upper Primary School Satoora of Lurgam zone, eight teachers are posted for 106 students while as the Government Girls High School, Noorpora has eight teachers for 32 students.

The Upper Primary School, Satoora of Lurgam zone of Pulwama district has 106 students who are being taught by eight teachers and in the Government Upper Primary School Aripal, nine teachers are posted for 58 students.

Government Girls Primary School Gadpora of Lurgam zone has one teacher for nine students while the Government Middle School Khangund of the same zone has six teachers for 34 students.

Directorate of School Education Kashmir said they would soon streamline the pupil-teacher ratio.

""We are working on rationalizing our teaching staff and by January end 2019, we will streamline the pupil-teacher ratio,"" Director DSEK, Ghulam Nabi Itoo told Rising Kashmir."
"8","1030602641","2019-01-01","https://www.thehindu.com/news/national/kerala/impressive-turnout-for-womens-wall-in-kollam/article25883859.ece","Impressive turnout for women's wall in Kollam","The Hindu",FALSE,"Kerala has set an example to the world by building this wall of love, says Minister

The district saw an impressive turnout of women from all walks of life as they lined up to form a 58-km stretch of the women's wall on Tuesday.

The inflow to various points of the highway started much earlier and by 4 p.m. there was a large crowd who joined the human chain from Oachira to Kadambattukonam. Politicians, social activists, professionals, government employees, cashew workers, Kudumbashree workers, artists and teachers participated in the event and took the Renaissance pledge. Participants carried banners and placards displaying slogans on the necessity to uphold renaissance values and resist regressive forces.

Natascha, a tourist from Germany, said she along with her friends decided to join the wall as a gesture to express their solidarity.

""We read in the papers that it's a wall for equality and we think women should stand up for their rights,"" she said.

A huge crowd also gathered for the public meeting where Minister J. Mercykutty Amma addressed the participants.

""Kerala has set an example to the world by building this wall of love. The wall saw a participation of women from all walks of life and it indicates we will collectively resist the attempts of reactionary forces trying to create a riot in the State,"" she said. The Minister urged women to march ahead in the struggle to ensure equality and stay alert against those trying to create divisions. ""The success of the women's wall does not mean our responsibility is over,"" she added. Kepco chairperson J. Chinju Rani presided over the function.

A Renaissance art exhibition was also held in Kollam city, jointly organised by the State Youth Commission, Kerala State Literacy Mission Authority and district information office. The days of slave trade, Kallumala revolt, Achipudava strike, Indanthuruthil Mana where Gandhiji was made to sit outside, Vaikom Satyagraha, Guruvayur Satyagraha and Temple Entry Proclamation found place in the exhibition."
"9","1030602636","2019-01-01","https://www.thehindu.com/news/national/karnataka/self-assessment-must-for-lecturers/article25883911.ece","Self-assessment must for lecturers","The Hindu",FALSE,"Officials say it will help teachers reflect on their strengths, weaknesses

It is now mandatory for college lecturers to undertake a self-assessment test from this academic year.

The Department of Collegiate Education, last month, issued an order stating that it was compulsory for lecturers from all 412 government first grade degree colleges to undertake these tests. The order states that academic audits will have to be undertaken in April every year.

Officials said that self-assessment would also help teachers reflect on their strengths and weaknesses. ""It will help them identify areas of improvement and how the classes can be improved,"" said a senior official from the DCE. Besides self-assessment, the department also seeks feedback from students on the performance of their lecturers.

The self-assessment exercise, which is mandatory, requires lecturers to fill a detailed form with 35 questions. These include details of the paper they are teaching, the workload they have every week, preparation of teaching material, and use of teaching aid. Besides this, it also asks lecturers to key in the assignments given to students as well as the seminars and field visits conducted for the students. Lecturers also have to submit details on the trainings, research and professional development programmes they have undertaken.

It also asks lecturers to write down the additional responsibilities they have undertaken in college and seeks feedback about the viability of the student strength, with the intention of addressing the challenges they face.

H. Prakash, president, Karnataka Government College Teachers' Association, said the assessment would help develop accountability among lecturers. ""It will also develop healthy competition among the lecturers. This positive reinforcement will boost the morale of the lecturers and break monotony. It will help lecturers who are slacking pull up their socks,"" he said."
"11","1030542760","2019-01-01","https://www.thehindu.com/news/national/kerala/women-line-up-for-gender-equality/article25882333.ece","Women line up for gender equality","The Hindu",FALSE,"Thousands of women apparently assembled under the aegis of the Left Democratic Front (LDF) on Tuesday to create an almost unbroken human wall that stretched for 620 km from Kasaragod in North Kerala to Thiruvananthapuram in the South.

Perhaps, the only jarring gap in the wall of women was at Chettukundu in Kasaragode where persons suspected to be Bharatiya Janata Party (BJP) workers unleashed violence against those who tried to line up on the road. The police fired tear gas shells to subdue the mob.

Suspected BJP workers attacked police officers, journalists, passersby and damaged vehicles. Law enforcers diverted traffic away from the spot, which continued to be a conflict zone late into the evening.

Women from all walks of life participated in the programme which the LDF had posited as a political counter to Hindu right-wing forces opposed to the entry of women to Sabarimala.

Senior women, homemakers, women clad in hijabs, lawyers, transwomen, actors, artists, doctors, teachers, students, authors, civil servants, unskilled workers, government employees, members of social organisations such as the Kerala Pulayar Maha Sabha and the Sree Narayana Dharma Paripalana Yogam congregated alongside National Highways. They stood shoulder to shoulder for 15 minutes after 4 p.m. to form a human wall with few apparent cracks in the line.

The programme ended with a joint pledge to harness the power of Enlightenment principles to insulate society against revanchist forces that sought to push Kerala back to the dark ages of casteism and discriminatory religious practices.

The wall of women was not without discord and, if anything, starkly underscored the fault lines of Kerala society.

NSS general secretary G. Sukumaran Nair, said that the wall would transform Kerala into a ""devil's own"" country riven by social strife. The NSS had opposed the wall.

SNDP general secretary Vellapally Natesan said the wall was a riposte to those who sought to turn Kerala into a ""madhouse"" of caste-based discrimination.

Mr. Nair criticised Chief Minister Pinarayi Vijayan for intervening in matters of faith while Mr Natesan defended the government's stance on fighting revanchist forces.

Health Minister K K. Shailaja and Brinda Karat, general secretary of the All India Democratic Women's Association (AIDWA), held either end of the human chain in Kasaragod and Thiruvananthapuram respectively. Chief Minister Pinarayi Vijayan and Administrative Reforms Commission chairperson V.S. Achuthanandan witnessed the wall in the capital. KPMS president Punnala Sreekumar and Mr Natesan also participated."
"13","1030531347","2019-01-01","https://timesofindia.indiatimes.com/india/gujarat-govts-jai-hind-roll-call-sparks-political-row-opposition-says-improve-edu-quality-instead/articleshow/67337545.cms","Gujarat govt's 'Jai Hind' roll call sparks political row; Opposition says improve edu quality instead - Times of India","The Times of India",FALSE,"AHMEDABAD: A political row broke out on Tuesday over the Gujarat government's directive to schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of the customary 'Yes Sir'.

The opposition Congress as well as Patidar leader Hardik Patel slammed the move and instead asked the BJP government to improve what they said was the ""deteriorating quality of education"".

But state Education Minister Bhupendrasinh Chudasama defended the directive, saying it will instill ""a feeling of patriotism"" among students.

As per the notifications issued on December 31 by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", the notifications stated.

The state Congress unit president Amit Chavda said the new practice ""will not change the quality of education"" in the government and affiliated schools.

""The BJP government has made several efforts to instill patriotism among school students. Altering a certain practice will not improve the standard of education,"" he said.

Chavda alleged that the quality of primary education is going down in Gujarat.

""The quality is even worse than many other under-developed states,"" he said.

""The standard of primary eduction in Gujarat has gone down significantly over the last several years. The BJP government engages only in talks and programmes in the name of improving quality,"" the Congress leader alleged.

He asked the Gujarat government to focus on improving school infrastructure, recruiting teachers to fill huge backlog of vacancies and ""not forcing"" teachers to do non-teaching jobs for the government.

Hardik Patel said the children and the youth of Gujarat should not be forced to express their patriotism, ""as that feeling runs in their blood"".

He said the government should prioritise improving the ""significantly deteriorating"" quality of education in the state.

""Instead of improving the quality of education, the education minister is talking about teaching patriotism to Gujarat's youth and children.

""The minister should know that everybody here is born with the feeling of patriotism,"" Patel said.

Nobody has the right to force anybody to say something he/she dislikes, he added

""This is an attempt to deflect from the real issues. Schools are getting closed. Shortage of teachers is also an important issue,"" Patel added.

Education Minister Chudasama said the government should be open to accepting ""good suggestions"".

""'Jai Bharat' and 'Jai Hind' are much better than 'Yes Sir'"".

""Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the change,"" he told reporters.

The minister said schools affiliated to the CBSE and other boards have also been asked to follow the new guidelines.

""Even local private schools have said that this is a good decision of the state government,"" he claimed.

As rival parties engaged in a slugfest, some students appeared to have no issue with the new directive.

""The concept (of saying 'Jai Hind' or 'Jai Bharat') is very good. Being an Indian, saying 'Jai Bharat' fills us with a sense of pride for our great country. It reminds me of the glorious history of our country's struggle for Independence,"" said a student of a local school.

""We are proud of our country's struggle for freedom. The concept is very good and should be accepted by all the schools in the country,"" said another student of a private school."
