"","ID","date","url","title","source","duplicate","body"
"1","1030575282","2019-01-01","https://www.thehindubusinessline.com/economy/agri-business/spurt-in-smp-prices-cheers-dairy-farmers/article25883185.ece","Spurt in SMP prices cheers dairy farmers","The Hindu Business Line",FALSE,"Export sops, higher consumption to help get rid of excess milk powder stocks

The New Year is set to bring smiles on the faces of dairy farmers, thanks to firm prices of the skimmed milk powder (SMP) following export incentives by the government.

Most co-operative dairies and private players were able to get rid of their excess SMP stock, which led to firming up of prices by at least ₹20 a kg in the past fortnight.

A section of consuming industry, however, has claimed shortage of SMP as a reason behind sudden spurt in prices. They claimed that the dairies had reduced processing due to heavy losses in SMP last year and farmers stayed away from investing in additional cattle in the flush season causing supply shortage in certain areas. SMP prices increased from ₹195 to ₹220 a kg in recent trades.

However, industry leaders rejected the claims stating that price rise is a fall-out of exports and increased consumption and will ultimately benefit dairies and farmers.

""Last 2-3 years, SMP prices had declined significantly from ₹290 a kg to ₹130-140 per kg. This resulted in losses for farmers. So, they reduced buying or investing in new cattle. But with lower prices, consumption went up and now that the exports are happening with government incentives, we see prices improve. There is no shortage,"" said RS Sodhi, Managing Director, Gujarat Cooperative Milk Marketing Federation Ltd (GCMMF) -- the marketer of Amul.

GCMMF has so far exported about 30,000 tonnes of SMP under the incentive scheme in past 2-3 months.

Notably, SMP prices had touched a peak of ₹290 a kg in 2014 but fell to as low as ₹130-140 a kg. On the advice of the National Dairy Development Board (NDDB), several States had also initiated the use of SMP for mid-day meal (MDM) scheme thereby increasing the consumption.

In June 2018, the Gujarat government had decided to provide ₹50/kg financial assistance for all SMP exports to be done by Amul for the next six months beginning from July 1. The ceiling for assistance was set at ₹300 crore. The government export data, however, compiled up to October 2018, doesn't show any significant rise in the exports.

Meanwhile, the glut situation appears to be over with stock position at about 80,000 tonnes in the country.

Even in Europe, SMP stock -- which was about 3 lakh tonnes earlier -- has come down to about 70,000 tonnes. The international SMP prices have shown a firm trend at $2,042 a tonne at Global Dairy Trade (GDT) auctions for December 18 -- closer to the 12-month peak levels of $2,051.

At a higher domestic prices of ₹200-225 a kg, the dairy co-operatives are still unable to profit, as the cost of SMP production is ₹230 a kg.

Private sector dairy veteran RG Chandramogan, Chairman and Managing Director of Hatsun Agro, stated that with reduced exports over the past three years, India faced a glut situation in SMP followed by a crash in prices."
"2","1030454967","2019-01-01","http://www.newindianexpress.com/states/odisha/2019/jan/01/panel-wants-stern-action-on-bungling-of-mdm-rice-1919039.html","Panel wants stern action on bungling of MDM rice","The New Indian Express",FALSE,"BHUBANESWAR: With the Finance department recommending for recovery of about '19 crore from delinquent officials for short supply of rice worth over '18.65 crore under the mid-day meal (MDM) scheme, the Odisha State Food Commission has requested the State Government to take exemplary action against the officials concerned.A special audit by the department into irregularities in supply of rice under MDM and discrepancy in fund utilisation in supplementary nutrition scheme in Keonjhar district revealed financial bungling to the tune of '1888.72 lakh.

Following complaints that some transport agents engaged for delivery of rice under the scheme in Bhadrak and Keonjhar districts are diverting the food grain for purposes other than providing supplementary nutrition to school children, the State Food Commission had sought immediate intervention of the Government.

Since corrective measures were not taken promptly, as normally expected, the Food Commission moved the Finance department with a request to conduct a special audit into the allegations on a priority basis.

The special audit suggested recovery of '1,888.72 lakh from officials concerned as bulk of the amount relates to short delivery of MDM rice by two transport agents. ""The audit report clearly brings out the gross misconduct and indifference of the District Education Officer (DEO), Keonjhar and other Government employees,"" said a letter of State Food Commission Chairperson Ranglal Jamuda to School and Mass Education department.

The audit found excess consumption of MDM rice by one Manna Trust over and above the requirement. The cost of the excess rice used was estimated at '6.53 lakh. While shortage of rice stock worth '4.4 lakh was detected, the audit has recommended for recovery of '9.24 crore towards non-realisation of sale proceeds of empty gunny bags.Jamuda requested the department to take exemplary action against the culprits in the larger interest of school children."
"4","1030273337","2019-01-01","https://timesofindia.indiatimes.com/city/thane/2-7cr-rice-meant-for-mid-day-meal-scheme-seized-3-arrested/articleshow/67330544.cms","Rs 2.7 crore rice meant for mid-day meal scheme seized, 3 arrested - Times of India","The Times of India",FALSE,"MUMBAI: Nearly Rs 2.70 crore worth rice meant for the central government's mid-day meal (MDM) scheme for school children was seized from a godown on Ghodbunder Road in Thane. The rice was stocked for sale in the open market.

While the raid was conducted on December 25, Kashimira police on Sunday arrested the owners of Mahadev Food Agro Mill, Narendra Rane, Dilip Thakkar and Ashok Thakkar on Sunday. Four other suspects are absconding.

Bhayander assistant superintendent of police Atul Kulkarni, along with his team, raided the godown and seized 12,035 gunny bags containing the foodgrain. Each 50 kg bag had the stamp of the Food Corporation of India (FCI), Punjab. The crop year mentioned was 2017-18.

Investigations revealed the rice was allotted under the MDM scheme. Instead of transporting it to the beneficiary schools, it had been offloaded at the mill. Around 10 trucks loaded with foodgrain, parked outside the mill, were also seized.

The owners claimed the rice had arrived at the mill for cleaning and polishing and would then be transported to the schools. The owners, however, were not able to give details of the schools where the rice had to be delivered. Police seized two machines used for cleaning and sorting the rice. Police said the mill did not have licence to store foodgrains procured from the FCI.

Police said the rice was polished and packed in fresh gunny bags to be sold in the open market.

The Thane sessions court has remanded the accused to police custody till January 5."
"5","1030092884","2018-12-31","https://www.business-standard.com/article/pti-stories/trade-unions-finalise-20-points-charter-demand-rs-18k-minimum-wage-118123100907_1.html","Trade unions finalise 20-points charter, demand Rs 18K minimum wage","Business Standard",FALSE,"Trade Unions have demanded universal social security and a minimum monthly wage of Rs 18,000 with indexation across India under a 20-point agenda.

The agenda, which called for universal social security coverage for all workers in the country through the retirement fund body EPFO and Employees' State Insurance Corporation, was approved on Monday at the national convention of the Confederation of Central Trade Unions (CONCENT), according to a statement.

CONCENT is a joint front of the RSS-affiliate Bharatiya Mazdoor Sangh; a faction of the Indian National Trade Union Congress (INTUC); the Trade Union Coordination Centre; and the National Federation of Indian Trade Unions (NFITU).

Also, the front has demanded a minimum monthly wage of Rs 18,000 for Aanganwadi, Asha and Mid Day Meal workers across the country with indexation and status of government employees. They should be paid a minimum monthly wage of Rs 18,000 till these workers become government employees.

The front also demanded that all the contractual employees should be paid at par with the regular employees as guided by the apex court and all types of pension should have government subsidy at par with the central contributory scheme.

It also pitched for increasing the payment of gratuity from 15 days pay per year of service to 30 days pay and bring more workers under its ambit by reducing the threshold of five year minimum service to one year.

The front has also demanded for representation of labourers and farmers in government think-tank Niti Aayog and withdrawal of the provision of fixed-term employment rule from labour laws.

It is also against the disinvestment of public sector under takings and foreign direct investment here.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"6","1030084628","2018-12-31","https://www.indiatvnews.com/business/news-trade-unions-20-point-agenda-includes-rs-18-000-minimum-wage-social-security-cover-496497","Trade unions' 20 point agenda includes Rs 18,000 minimum wage, social security cover","indiatvnews.com",FALSE,"Minimum wage of Rs 18,000 and universal social security cover are among 20 demands listed the agenda finalised by the national convention of trade unions.

The agenda, which called for universal social security coverage for all workers in the country through the retirement fund body EPFO and Employees' State Insurance Corporation, was approved on Monday at the national convention of the Confederation of Central Trade Unions (CONCENT), according to a statement.

What is CONCENT?

CONCENT is a joint front of the RSS-affiliate Bharatiya Mazdoor Sangh; a faction of the Indian National Trade Union Congress (INTUC); the Trade Union Coordination Centre; and the National Federation of Indian Trade Unions (NFITU).

What is their demand?

The convention has listed 20 demands from the government for the members of the trade unions across the country. Some of the demands include:

#Universal social security coverage for all workers in the country through the retirement fund body EPFO and Employees' State Insurance Corporation.

#A minimum monthly wage of Rs 18,000 for Aanganwadi, Asha and Mid Day Meal workers across the country with indexation and status of government employees. They should be paid a minimum monthly wage of Rs 18,000 till these workers become government employees.

#The front also demanded that all the contractual employees should be paid at par with the regular employees as guided by the apex court.

#All types of pension should have government subsidy at par with the central contributory scheme.

#Increase the payment of gratuity from 15 days pay per year of service to 30 days pay and bring more workers under its ambit by reducing the threshold of five year minimum service to one year.

#The front has also demanded for representation of labourers and farmers in government think-tank Niti Aayog and withdrawal of the provision of fixed-term employment rule from labour laws.

#It is also against the disinvestment of public sector under takings and foreign direct investment here."
"7","1029945859","2018-12-31","https://indianexpress.com/article/trending/trending-globally/year-ender-2018-15-good-things-that-happened-this-year-5517272/","Year Ender 2018: 15 Good things that happened this year","The Indian Express",FALSE,"Year Ender 2018: From the sikh volunteers of the Khalsa Aid International that helped many during Kerala floods to the man who broke his Ramadan fast to donate blood, we bring to some of the good news stories of 2018.

As the year 2018 draws to a close, many are preparing themselves for the upcoming year. While some are listing down their new year resolutions, others are looking back at the year that has just gone by. As the year 2018 has been a mix of good, bad and ugly, we decided to end it on a positive note. Sharing the positivity, we bring you some of the good news stories that spread joy and happiness around the world. If 2018 did not go as planned, maybe 2019 will.

1. Uttarakhand cop saves man's life by carrying him 2km uphill on shoulders

Sub Inspector Lokendra Bahuguna of Uttarakhand Police department was in news for carrying a man on his shoulders uphill for two kilometres to take him to a healthcare centre in Yamunotri. According to a Facebook post by Uttarakhand Police, Bahuguna was part of a team trying to manage traffic in Bhairo Ghati -- a track between Vaishno Devi and Sanji Chhat. Read more here.

2. Humanity over religious customs: A man from Bihar broke Ramadan fast to donate blood to thalassemic child

Jawed Alam, a Muslim, donated his blood by breaking his Ramadan fast, to save the life of an eight-year-old boy Rajesh Kumar, suffering from thalassemia. It is a fatal condition which requires the patient to transfuse blood every three to four weeks. Read more here.

3. Vigilant passenger's tweets help police rescue 26 minor girls from train; Tweeple laud man

Thanks to a vigilant passenger, 26 minor girls were rescued from a suspected human-trafficking gang by railway officials and the police. The passenger travelling by Avadh Express sent out an SOS tweet asking railways to help and take necessary measures after he spotted the girls crying in a compartment. Read more here.

Advertising 4. UK University wins hearts online with perfect reply to critics of refugee scholarships

The University of Reading perfectly responded to people complaining about refugee scholarships as other British universities too joined in to extend their support to the cause. Twitter buzzed with reactions as people were happy that educational institutes were helping those displaced due to political instability and war. Read more here.

5. Spreading smiles, UK Sikh NGO gives Eid gifts to over 500 Syrian refugees

Thanks to a Sikh NGO, over 500 Syrian refugee children were surprised with special Eidis this year. Khalsa Aid, a UK-based Sikh organisation that provides relief and does humanitarian work in various distressed places spread smiles among children from Mosul this year Read more here.

6. Man rescues visually-challenged person who fell on subway tracks; earns respect online

A Canadian was hailed as a hero after he risked his own life to rescue a visually-challenged man, who fell on the tracks at an underground train station. The man, identified as Kyle Busquine, did not fear being electrocuted and rescued the visually-challenged person at Broadview Station in Toronto from the tracks. Read more here.

7. To assess food quality, Kerala IAS officer has lunch with school students; wins hearts online

A district collector's impromptu visit to a school won many hearts online. An IAS officer in Kerala made a surprise visit to a school in Neerkunnam to assess the quality of mid-day meal and ended up eating with scores of students. The beautiful gesture not only cheered the little ones at the school but also people online, who lauded him for his dedication and vigilance. Read more here.

8. 'Hats off': Manipur IAS officer hailed as 'hero' for leading the flood rescue in waist-deep water

A photo of IAS officer Deleep Singh from Manipur, standing in waist-deep water, while leading the rescue operations in the flood-hit area of Imphal was widely shared on social media. The photo shows Singh, flood control secretary in the state, getting into action and helping others defying the flood-waters. Read more here.

9. This DU professor's Facebook post of how teachers helped a student pay fees has gone viral

Nandini Sen, a professor at Bharati college affiliated to the Delhi University and situated in West Delhi, took to Facebook to share a heartwarming incident that took place at the college. Amidst several students applying for admissions in undergraduate programmes in the DU, an 18-year-old qualified, except on one account -- she did not have the money to deposit fees. Read more here.

10. Khalsa Aid volunteers reach Kochi, set up Langar to feed 2000 people

As Kerala reels under its worst flood in nearly a century, Sikh volunteers from the Khalsa Aid International, the UK based philanthropist group, have reached the state to help the flood victims. Their group's volunteers from their Indian wing reached Kochi and set up a Langar to feed food for 2000 people. Read more here.

11. Sachin Tendulkar rescues and feeds dehydrated kite, wins hearts online

Cricket legend Sachin Tendulkar is not just known for his amazing performance on the field but for making people aware of their social responsibilities too. In a footage shared by Sachin Tendulkar on his Facebook page shows how despite not knowing how to provide relief to the avian, he takes a few measures to add respite. Read more here.

12. This photo of dogs waiting for homeless man outside hospital entrance is melting hearts online

'Dogs are man's best friend' is not just a mere saying, and a post that went viral will make you believe it even more. When a homeless man in Brazil was admitted in a hospital, staff realised that he wasn't alone. Yes, as he was getting treated, four dogs patiently kept waiting at the door! Read more here.

13. Argentinian police officer promoted after photo of her breastfeeding neglected infant goes viral

A police officer in Argentina won millions of hearts online after she was photographed breastfeeding a neglected infant in her uniform. A photo of Celeste Ayala breastfeeding the seven-month-old baby, who was rescued along with five other kids from their home, went viral. After being hailed by netizens and fellow citizens, the officer was promoted. Read more here.

14. Praise pours in from across the world as Thailand cave rescue ends successfully

The mission to rescue 12 boys from a football team and their coach, who were trapped inside a Thailand cave for weeks, came to an end with all of them being extracted safely. People all across the globe took to social media to congratulate the rescuers, and many praised the courage shown by the young boys. Read more here.

Advertising 15. Andhra MLA sleeps at crematorium to dispel fear of ghosts; garners praise online

Palakollu MLA Nimmala Rama Naidu spent three nights at the crematorium to dispel fears of workers who refused to work at the site. The picture of the MLA sleeping at the crematorium has now gone viral garnering praise from all corners. Read more here."
"8","1029921684","2018-12-31","http://www.newindianexpress.com/states/andhra-pradesh/2018/dec/31/state-to-get-2000-more-nutri-gardens-soon-1918669.html","Andhra Pradesh to get 2,000 more Nutri-Gardens soon","The New Indian Express",FALSE,"VIJAYAWADA: As many as 2,000 more Nutri-Gardens are going to set up across the State in addition to those in 1,476 Anganwadi centres and government schools.

The State government is planning to produce more organic vegetables in these Nutri-Gardens and use them for programmes such as mid-day meals and Anna Amrutha Hastham. The plan is to use the vacant lands in government schools and Anganwadis to grow more organic vegetables.

At present, around 300 schools in West Godavari district have Nutri-Gardens and the vegetables and fruits are being used for preparing mid-day meals for schoolchildren. The government is implementing the Anna Amrutha Hastham, aimed at providing a nutritious meal to pregnant women and lactating mothers, through the Anganwadi centres across the State.

""In order to end malnutrition and anaemia among children and women, the government has come up with initiatives such as mid-day meals and Anna Amrutha Hastham. We wanted to serve food made of organic produce to more women and children. We will soon develop more Nutri-Gardens in Anganwadi's and schools. The students are expected to play an active role in the farming activities to make the scheme a success,"" Krishna District Collector B Lakshmikantham said."
"9","1029852802","2018-12-31","http://www.centralchronicle.com/number-of-children-declines-in-mp-govt-schools.html","Number of children declines in MP govt schools | Central Chronicle","Central Chronicle",FALSE,"Disclosure in school education department report

Chronicle Reporter, Bhopal, In spite of many schemes including 'School Chalen Hum', running in the state, the number of children in government schools is declining year after year. This has been revealed in the report submitted by the school education department in the last assembly session.

In the last three years six lakh children have left the government schools. Chhindwara district tops in the number of dropouts, whereas Satna and Rewa are second and Shivpuri is in third place.

Children enrolled in government schools through school education department are counted through mid-day meal and free textbook distribution. The number of children in the year 2015-16 is 76,23,522, which fell to only 70,20,008 in the year 2017-18.

All the schemes are aimed at luring the children to the government school. Funds of crores are given under 'School Chale Hum' campaign by the Central Government. The entire budget is also being spent every year, but still the number of children is falling in schools.

Either this budget is being spent on paper, or the schemes are not proving to be effective in attracting children. In order to increase enrollment of children in government schools, the government is running schemes like free textbooks, uniforms and bicycles distribution. In this every year bill of crores rupees is wasted."
"13","1029480762","2018-12-30","https://www.business-standard.com/article/pti-stories/rice-worth-rs-2-7-cr-meant-for-mid-day-meal-schemes-seized-118123000522_1.html","Rice worth Rs 2.7 cr, meant for mid-day meal schemes, seized","Business Standard",FALSE,"Thane rural police arrested three persons Sunday for allegedly illegally procuring rice meant for mid-day meal schemes for school children and selling it in the open market.

Assistant Superintendent of Police Atul Kulkarni said the police raided a godown of Mahadeo Food Ago Mill in Ghodbunder near here on December 25.

Its owners, Narendra Rane, Dileep Thakkar and Ashok Thakkar, were arrested under the Essential Commodities Act and National Food Security Act, 2013 on Sunday, the ASP said.

The company, which had no licence to store foodgrains or sell them in the open market, procured rice illegally from the Food Corporation of India (FCI), he said.

Police seized 12,035 gunny bags of rice containing 5.70 lakh kg of rice, valued at Rs 2.69 crore, from the godown, he said.

This rice was meant for distribution to fair price (ration) shops, to be used for mid-meal schemes in schools in tribal and rural areas, he said.

The police also seized ten trucks and two rice-cleaning and sorting machines. Further probe is on.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"14","1029463733","2018-12-30","https://indianexpress.com/article/india/thane-rice-worth-rs-2-7-crore-meant-for-mid-day-meal-schemes-seized-5516150/","Thane: Rice worth Rs 2.7 crore, meant for mid-day meal schemes, seized","The Indian Express",FALSE,"This rice was meant for distribution to fair price (ration) shops, to be used for mid-meal schemes in schools in tribal and rural areas, he said.

Thane rural police arrested three persons Sunday for allegedly illegally procuring rice meant for mid-day meal schemes for school children and selling it in the open market. Assistant Superintendent of Police Atul Kulkarni said the police raided a godown of Mahadeo Food Ago Mill in Ghodbunder near here on December 25.

Its owners, Narendra Rane, Dileep Thakkar and Ashok Thakkar, were arrested under the Essential Commodities Act and National Food Security Act, 2013 on Sunday, the ASP said.

The company, which had no licence to store foodgrains or sell them in the open market, procured rice illegally from the Food Corporation of India (FCI), he said.

Police seized 12,035 gunny bags of rice containing 5.70 lakh kg of rice, valued at Rs 2.69 crore, from the godown, he said.

Advertising

This rice was meant for distribution to fair price (ration) shops, to be used for mid-meal schemes in schools in tribal and rural areas, he said.

The police also seized ten trucks and two rice-cleaning and sorting machines. Further probe is on."
