"","ID","date","url","title","source","duplicate","body"
"1","1030712227","2019-01-01","http://mydigitalfc.com/miscellany/gujarat-asks-students-answer-roll-call-%E2%80%98jai-hind-or-%E2%80%98jai-bharat%E2%80%99","Gujarat asks students to answer roll call with 'Jai Hind' or 'Jai Bharat'","mydigitalfc.com",FALSE,"The BJP government in Gujarat has asked schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of customary 'Yes Sir', which it feels will instill ""a feeling of patriotism"".

The move has drawn flak from opposition parties that said the government should rather work towards improving the ""deteriorating quality of education"".

As per notifications issued on Monday (December 31) by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", the notifications stated.

Defending the move, Gujarat education minister Bhupendrasinh Chudasama said on Tuesday that the government should be open to accepting ""good suggestions"". ""'Jai Bharat' and 'Jai Hind' are much better than 'Yes Sir'. Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the change,"" he told reporters.

The minister said schools affiliated to the CBSE and other boards have also been asked to follow the new guidelines. ""Even local private schools have said that this is a good decision of the state government,"" he claimed.

Criticising the Gujarat government, state Congress unit president Amit Chavda said the new practice ""will not change the quality of education"" in the government and affiliated schools.

""The BJP government has made several efforts to instill patriotism among school students. Altering a certain practice will not improve the standard of education,"" he said.

Chavda alleged that the quality of primary education is going down in Gujarat. ""The quality is even worse than many other under-developed states,"" he said.

""The standard of primary education in Gujarat has gone down significantly over the last several years. The BJP government engages only in talks and programmes in the name of improving quality,"" the Congress leader alleged.

He asked the Gujarat government to focus on improving school infrastructure, recruiting teachers to fill huge backlog of vacancies and ""not forcing teachers to do non-teaching jobs for the government""."
"2","1030712220","2019-01-01","http://mydigitalfc.com/around-globe/democrat-warren-challenge-trump-2020","Democrat Warren to challenge Trump in 2020","mydigitalfc.com",FALSE,"She had formed a committee to allow her to raise money to compete in the presidential election, to be held before Nov 2020

US Senator Elizabeth Warren (in pic), a liberal firebrand who has taken on Wall Street and traded barbs with Donald Trump, on Monday became the most prominent Democrat to announce a challenge to the Republican president in 2020.

Warren said she had formed an exploratory committee, which will allow her to begin raising money to compete in what is expected to be a crowded Democratic primary field before the November 2020 presidential election.

She said on Twitter she would announce her decision on whether to run early in 2019.

Warren, 69, a senator from Massachusetts since 2013, became one of Trump's fiercest critics during the 2016 presidential race and they have continued to exchange biting insults during his presidency. Trump mockingly refers to her as ""Pocahontas"" because of her claim to Native American ancestry.

Warren has denounced Trump as an ""insecure money grubber"" with a platform of ""racism, sexism and xenophobia,"" while Trump has described the former Harvard Law School professor as ""goofy"" and a ""lowlife"" with ""a nasty mouth.""

On Monday, Warren released a video in which she outlined her vision of a path to opportunity for all Americans and charged that the US middle class was under attack from corporate interests. She later elaborated on the theme in an exchange with reporters outside her Cambridge, Massachusetts, home.

""America's middle class is getting hollowed out and opportunity for too many of our young people is shrinking,"" she said. ""So I'm in this fight all the way. Right now Washington works great for the wealthy and the well connected. It's just not working for anyone else.""

Trump, in a phone interview with Fox News, said he would love to run against Warren and again ridiculed her assertion of Native American ancestry. Asked if he thought Warren really believed she could defeat him, Trump said: ""I don't know, you'd have to ask her psychiatrist.""

The Democratic presidential field could eventually include Senators Kamala Harris, Cory Booker and Kirsten Gillibrand, as well as former Vice President Joe Biden. Julian Castro, former President Barack Obama's housing secretary, formed an exploratory committee this month.

Warren welcomed the ""strong and growing group of Democrats"" making arguments similar to those she is making, saying: ""That's how we build a movement. We do it together.""

In searching for a candidate to run against Trump, Democrats will grapple with the tension between the party's establishment and liberal progressive wings that flared during the 2016 nominating primaries between former Secretary of State Hillary Clinton and Senator Bernie Sanders, an independent who ran under the Democratic banner.

A Warren candidacy can expect opposition from Wall Street. In the US Senate, she has been a strong voice on financial issues and a self-described defender of the ordinary American against powerful interests.

Following the 2007-2009 global financial crisis, Warren emerged as a leading critic of Wall Street and continues to advocate for stiffer regulation and oversight, including reinstating a rule that would separate banks' retail business from their riskier investment banking activities.

Warren, a member of the Senate Banking Committee, has fought the Trump administration's efforts to weaken post-crisis financial rules, going as far as to attack moderate Democrats who backed a May rewrite of the 2010 Dodd-Frank reform law.

In a September interview marking 10 years since the financial crisis, Warren was asked about breaking up big banks. ""Oh yeah,"" she told the New York Times. ""Give me a chance.""

She also has opposed the administration's efforts to undermine the Consumer Financial Protection Bureau, an agency she helped create, and has pressured the Federal Reserve to take a tough line on scandal-hit lender Wells Fargo & Co.

Many of Warren's policy positions have focussed on economic inequality. She recently offered legislation calling on the U.S. government to manufacture generic drugs to reduce their cost. In 2017, she joined other senators in a proposal to extend the federal Medicare health insurance programme for seniors to include everyone.

Republican National Committee chairwoman Ronna McDaniel dismissed her as ""another extreme far-left obstructionist and a total fraud.""

Warren's 80 per cent name recognition does not translate into actual support, University of Virginia professor Larry Sabato said.

""Some Democrats swear by her and love her blunt style, while others are put off by her and fear she'd lose to Trump,"" he said. ""Warren has a lot of convincing to do,"" adding the same is true of many other Democratic contenders. Warren will begin campaigning soon in some of the states with early presidential nominating contests, a person familiar with her plans said.

Trump's use of Pocahontas, a 17th century Native American woman associated with the British colony in Jamestown, Virginia, was aimed at drawing attention to a controversy over her heritage raised during Warren's 2012 Senate race.

Warren in October released a DNA analysis she said supported her assertion that she had Native American lineage.

Trump's reference has drawn criticism from some Native American groups, while others criticised Warren for trying to lay claim to a tribal heritage."
"3","1030681240","2019-01-01","http://www.assamtribune.com/scripts/detailsnew.asp?id=jan0219%2Fstate054","Bid to curb school dropout rate under way in Dhubri dist","Assam Tribune",FALSE,"With the launch of Amar Bidyalaya, Amar Abhiman programme by the Deputy Commissioner of Dhubri Anant Lal Gyani recently, which is a set of activities that will be performed from January 1 to 5, it is believed that that the students will come closer to their institutions and teachers and they will build a strong relationship so that they will not be willing to leave the school.

On the first day of the programme, the school staff will sit in a meeting with the parents and guardians of the students along with Anganwari and Asha workers, senior citizens, other community members of the locality, to ensure 100 percent transition of students and encourage new enrolment.

The students will also participate in an oath-taking ceremony, plantation drive, felicitation programme, cleanliness drive and lighting of earthen lamps in the school premises.

On the second day, the students will take out an educational rally to nearby areas of their schools with a banner displaying photographs of students performing various activities.

On the third day, the child mapping and parents mapping will be done by the school staffs by visiting the houses of the students to ensure 100 percent enrolment.

On the fourth day, children's community sports will be organised, while on the last day a cultural programme and children's drama will be organised. Community meeting on different issues of the schools by inviting distinguished persons of the locality will also be organised to encourage students and guardians for 100 percent enrolment.

While launching the programme, the DC said this initiative was taken with the advice of the Piramal Foundation and they had allotted Rs 500 to each of the 2,014 schools in the district. The activities will be participated in by the students from Class-I to Class-IX.

""The 6 percent dropout every year is very alarming and this programme will definitely build a strong bondage of the students with their schools so that they never leave the schools midway,"" added Gyani.

The Project Officer of Sarva Siksha Abhiyan of Dhubri, Abhijit Chakravarty said, ""obviously, poverty is a primary reason for this high dropout rate, but it has been observed that many miss school due to lack of encouragement."" He also added, ""the dropout rate of girl students was more than the boy students, but the community meetings ought to help in addressing the problem."""
"4","1030641027","2019-01-01","http://risingkashmir.com/news/pulwama-schools-apathy-scant-students-surplus-teachers","Pulwama schools' apathy: Scant students, surplus teachers","RisingKashmir",FALSE,"The Education department in south Kashmir's Pulwama district has failed to rationalize the pupil-teacher ratio as majority of the government schools in the district have surplus teachers.

In Government Primary School Udhipora of Pampore zone in Pulwama, two teachers are teaching just five students and in PS Naristan, two teachers are allotted to teach 10 students.

Similarly, two teachers are for five students in Government Primary School, Sheikh Mohalla Khrew of Pampore zone of the district and four teachers for six students in Government Primary School, Naim Sahab.

Likewise, the Government Upper Primary School Herbagh Patal of Pampore zone has nine teachers for 35 students.

In Awantipora zone of the district, Government Girls Middle School (GMS) Kaigam has eight teachers posted for the 51 students and in Government Middle School Midoora, nine teachers are working in the school for 74 students.

The Government Middle School Poshwan in Awantipora zone has five teachers for 44 students and in the Government Upper Primary School Kanjinag, nine teachers are teaching against an enrolment of just 79 students.

In the Upper Primary School Satoora of Lurgam zone, eight teachers are posted for 106 students while as the Government Girls High School, Noorpora has eight teachers for 32 students.

The Upper Primary School, Satoora of Lurgam zone of Pulwama district has 106 students who are being taught by eight teachers and in the Government Upper Primary School Aripal, nine teachers are posted for 58 students.

Government Girls Primary School Gadpora of Lurgam zone has one teacher for nine students while the Government Middle School Khangund of the same zone has six teachers for 34 students.

Directorate of School Education Kashmir said they would soon streamline the pupil-teacher ratio.

""We are working on rationalizing our teaching staff and by January end 2019, we will streamline the pupil-teacher ratio,"" Director DSEK, Ghulam Nabi Itoo told Rising Kashmir."
"5","1030641010","2019-01-01","http://risingkashmir.com/news/stresses-on-participation-at-grass-roots-level","Stresses on participation at grass roots level","RisingKashmir",FALSE,"District Development Commissioner, Ramesh Kumar on Tuesday reviewed the annual action plan of 'BetiBachao BetiPadhao' and 'Khelo India' Schemes with the concerned line departments.

According to an official, citing the declining sex ratio of girl child as a big challenge and impediment for the growth, the DC emphasized for collaborative efforts of all the line departments in convergence mode to bust myths related the birth of girl child.

He asked the Police department and other line departments to ensure strict implementation of PC & PNDT Act with regular monitoring of all the screening centres and update of birth register.

Focusing on 24th of January as a national observance day for the girl child, the DC emphasized on celebration of this important day at grass roots level by forming committees comprising all the line departments with focus on women empowerment. Girl child achievers from different backgrounds will be felicitated by these committees while highlighting the folk culture of the state in different awareness programmes.

Similarly, 9thof every month to be celebrated as a 'Ladli Diwas' at Panchyat level with showcase of women empowerment schemes in collaboration with ICDS and Education department. He also directed the line departments to celebrate the birth of every girl child at village levels on 9th of every month with distribution of health kits having a logo of'BetiBachao BetiPadhao' printed on it.

Ramesh Kumar directed the health department to mobilize the ASHA workers to encourage women folks for institutional deliveries, childcare service and avail benefits of various schemes with the creation of 'ASHA Sammelan' for awaking the ASHA workers regarding PC &PNDT act and to award the three ASHA workers every months an incentive to run the programme and also under PC &PNDT to award cash prize of for whistle blowers. He also highlighted the eminent roll that ASHA and Anganwadi workers can play to curb the practice of sex determination especially in areas where people moves out of the district for sex determination.

Focusing on Institutional delivery as corner stone to check sex ratio, DC directed the health department to felicitate the Primary Health Centers and Community Health Centers of the district which registers maximum number of institutional deliveries. He also directed the state telecommunication company BSNL and health department to start a toll free number especially for rural and far flung areas for providing gynecological advice to rural women.

He also directed all the district officers to enable of 'BetiBachao BetiPadhao' ring tone on their mobile phones and also to start a whatsapp group for quick flow of information among the officers. He also directed the ICDS to intall 'Gudda Guddi Board' displaying gender birth ratio month wise at CHCs , PHCs and Anganwadi centres.

The District Development Commissioner directed the education department to conduct a full district survey to figure out drop- out girl Childs with the reason of dropping out from school. Funds from 'BetiBachao BetiPadhao' scheme will be utilised to fulfill the needs of these dropout girl Childs.

He also directed the Education department to adopt orphan girl child school wise for their education. On similar lines he directed the department of Industries and Commerce departments to rope in the funds available under CSR for educating girl child.

He also directed the all the line departments to form internal complaint committee regarding sexual harassment at work place.

Ramesh kumar directed the Rural development department for early completion of the Individual household latrines especially women headed households. He is also directed the department for creations of pink toilets. He also directed the Department of Food, Civil Supplies and Consumer Affairs to issue nee ration cards with the logo ofBetiBachaoBetiPadhao'.

He also directed the Executive officers of municipalities to felicitate the women scavengers and to hold medical camps for their regular checkups.

Later on reviewing the progress of Khelo India Programme, he directed the youth services and sports department to hold school Olympiads at an earliest.

Among others present were PO ICDS Jammu, CMO Jammu, ACD Jammu, DPO Jammu, District Youth service and sports officer, Principal GGM Science College Jammu and others, the official added."
"6","1030625707","2019-01-01","https://www.thehindu.com/news/cities/Thiruvananthapuram/teacher-can-impose-reasonable-punishment-hc/article25884215.ece","Teacher can impose reasonable punishment: HC","The Hindu",FALSE,"The Kerala High Court has observed that teachers have the authority to enforce discipline and correct students by imposing reasonable corporal punishment on them.

The court made the observation while quashing a criminal case registered against Rajan, teacher of Narayana Lower Primary School, Nallur, Kozhikode, for jabbing on the shoulders of a Class II student.

Allowing the petition filed by the teacher, Justice Raja Vijayaraghavan observed that courts had taken a view that when a student was sent by his parent or guardian to a school, ""the parent or guardian must be deemed to have given an implied consent to the child being under the discipline and control of the school authorities and to the infliction of such reasonable punishment as may be necessary for the purposes of school discipline or for correcting him"".

However, the nature and gravity of the corporal punishment inflicted by a teacher would determine whether he/she could be proceeded under the penal provisions.

""If the teacher, out of unbridled fury, excitement or rage, inflicts injuries which are of such a nature as to cause unreasonable physical suffering or harm to the child, the same cannot be condoned on any ground or on the principle of express or implied consent,"" the court added.

The judge also pointed out that a school teacher, in view of his peculiar position, had the authority to enforce discipline and correct a pupil.

The courts had also taken the view that it could be assumed that when a parent entrusted a child to a teacher, he/she on his/her behalf impliedly consents for the teacher to exercise such authority over the student.

The position of a teacher vis-a-vis a student was peculiar in nature and only when he inflicted such harm which was unreasonable and immoderate that he/she would be liable to be proceeded against in a criminal court.

The petitioner contended that he was in the process of teaching the child the nuances of mathematics and to make her alert, he jabbed on her shoulders.

The act could not be said to be one motivated by malice, the petitioner contended."
"7","1030625200","2019-01-01","https://timesofindia.indiatimes.com/city/agra/purse-snatchers-caught-as-their-bike-runs-out-of-petrol/articleshow/67339655.cms","UP: Purse snatchers caught as their bike runs out of petrol - Times of India","The Times of India",FALSE,"AGRA: Two youths who snatched the purse of a government school teacher in Hathras and fled on a motorcycle did not expect their bike to stall some distance away from the crime spot as it ran out of petrol. What they also did not know was that they were being followed. When they stopped to refuel at a petrol pump, they were nabbed by the public.

According to police, two bike-borne youths snatched the purse of a primary school teacher in Barsai village, Kiran Verma, when she alighted from an auto-rickshaw near her school around 10 am on Monday, and fled.

The principal of Vidyapeeth Inter College Arun Kaushik, whose vehicle happened to be behind the auto rickshaw witnessed the snatching. He decided to follow to bikers, saw them stop at a petrol pump to refuel and raised an alarm. A crowd gathered and before the youths could flee, nabbed them.

Talking with mediaperson, Kaushik said, ""I quietly followed the duo on a Apache bike which did not have a number plate. After they were nabbed, they were handed over to police."" The entire drama was captured on CCTV cameras. In the CCTV footage, Kaushik and other staff members of the petrol pump can be seen overpowering the suspects and beating them up. A countrymade pistol was also seized from their possession.

Talking with TOI, SP, Hathras, Jaiprakash Yadav said both accused have been sent to judicial custody.

He said that they were involved in looting a petrol pump in Sadabad area just two days ago."
"10","1030531347","2019-01-01","https://timesofindia.indiatimes.com/india/gujarat-govts-jai-hind-roll-call-sparks-political-row-opposition-says-improve-edu-quality-instead/articleshow/67337545.cms","Gujarat govt's 'Jai Hind' roll call sparks political row; Opposition says improve edu quality instead - Times of India","The Times of India",FALSE,"AHMEDABAD: A political row broke out on Tuesday over the Gujarat government's directive to schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of the customary 'Yes Sir'.

The opposition Congress as well as Patidar leader Hardik Patel slammed the move and instead asked the BJP government to improve what they said was the ""deteriorating quality of education"".

But state Education Minister Bhupendrasinh Chudasama defended the directive, saying it will instill ""a feeling of patriotism"" among students.

As per the notifications issued on December 31 by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", the notifications stated.

The state Congress unit president Amit Chavda said the new practice ""will not change the quality of education"" in the government and affiliated schools.

""The BJP government has made several efforts to instill patriotism among school students. Altering a certain practice will not improve the standard of education,"" he said.

Chavda alleged that the quality of primary education is going down in Gujarat.

""The quality is even worse than many other under-developed states,"" he said.

""The standard of primary eduction in Gujarat has gone down significantly over the last several years. The BJP government engages only in talks and programmes in the name of improving quality,"" the Congress leader alleged.

He asked the Gujarat government to focus on improving school infrastructure, recruiting teachers to fill huge backlog of vacancies and ""not forcing"" teachers to do non-teaching jobs for the government.

Hardik Patel said the children and the youth of Gujarat should not be forced to express their patriotism, ""as that feeling runs in their blood"".

He said the government should prioritise improving the ""significantly deteriorating"" quality of education in the state.

""Instead of improving the quality of education, the education minister is talking about teaching patriotism to Gujarat's youth and children.

""The minister should know that everybody here is born with the feeling of patriotism,"" Patel said.

Nobody has the right to force anybody to say something he/she dislikes, he added

""This is an attempt to deflect from the real issues. Schools are getting closed. Shortage of teachers is also an important issue,"" Patel added.

Education Minister Chudasama said the government should be open to accepting ""good suggestions"".

""'Jai Bharat' and 'Jai Hind' are much better than 'Yes Sir'"".

""Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the change,"" he told reporters.

The minister said schools affiliated to the CBSE and other boards have also been asked to follow the new guidelines.

""Even local private schools have said that this is a good decision of the state government,"" he claimed.

As rival parties engaged in a slugfest, some students appeared to have no issue with the new directive.

""The concept (of saying 'Jai Hind' or 'Jai Bharat') is very good. Being an Indian, saying 'Jai Bharat' fills us with a sense of pride for our great country. It reminds me of the glorious history of our country's struggle for Independence,"" said a student of a local school.

""We are proud of our country's struggle for freedom. The concept is very good and should be accepted by all the schools in the country,"" said another student of a private school."
"11","1030528645","2019-01-01","https://www.business-standard.com/article/pti-stories/guj-govt-in-dock-over-jai-hind-roll-call-opp-asks-it-improve-edu-quality-119010100633_1.html","Guj govt in dock over 'Jai Hind' roll call; Opp asks it improve edu quality","Business Standard",FALSE,"Rajasthan: Congress maintains strong lead, in talks with independents

The BJP-led Gujarat government has come under fire for asking schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of the customary 'Yes Sir', with the Opposition arguing the move will ""not change the quality of education"".

According to a notification issued on Monday by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to the attendance call with

'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", it said.

Chavda said the BJP government had made several efforts to instill patriotism among school students.

""Altering a certain practice will not improve the standard of education,"" he said.

The Congress leader alleged that the quality of primary education was going down in Gujarat.

""The quality is even worse than many other under-developed states. The standard of primary eduction in Gujarat has gone down significantly over the last several years. The BJP government only engages in talks and programmes in the name of improving quality,"" he said.

Chavda asked the state government to rather focus on improving school infrastructure, recruiting teachers to fill the huge backlog of vacancies and ""not forcing teachers to do non-teaching jobs for the government"".

Patidar leader Hardik Patel said, ""The children and youth of Gujarat should not be forced to express their patriotism, as that feeling runs in their blood"".

He said the government should prioritise improving the ""significantly deteriorated"" quality of education in the state.

""Instead of improving the quality of education, the education minister is talking about teaching patriotism to Gujarat's youth and children. He should know that everybody here is born with the feeling of patriotism,"" Patel said.

""This is an attempt to deflect from the right issues. Schools are getting closed. Shortage of teachers is also an important issue,"" the Patidar leader added.

Even as the BJP and opposition parties engage in a verbal duel over the propriety of the move, students PTI spoke with seemed to have no issues with the new directive.

""The concept (of saying 'Jai Hind' or 'Jai Bharat') is very good. Being an Indian, saying 'Jai Bharat' fills us with a sense of pride for our great country. It reminds me of the glorious history of our country's struggle for Independence,"" a student said.

""We are proud of our country's struggle for freedom. The concept is very good and should be accepted by all the schools in the country,"" said another student of a private school.

Meanwhile, the state education minister said the government should be open to accepting ""good suggestions"".

""Jai Bharat and Jai Hind are much better than 'Yes Sir'. Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the changes,"" he told reporters.

Chudasama said schools affiliated to CBSE and other boards have also been asked to follow the new guidelines.

""Even local private schools have agreed that it is a good decision (of the state government),"" he added.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"12","1030528600","2019-01-01","https://www.business-standard.com/article/pti-stories/guj-govt-s-jai-hind-roll-call-sparks-political-row-oppn-says-improve-edu-quality-instead-119010100686_1.html","Guj govt's 'Jai Hind' roll call sparks political row; Oppn says improve edu quality instead","Business Standard",FALSE,"School children in Gujarat to say 'Jai Hind' to mark attendance

A political row broke out on Tuesday over the Gujarat government's directive to schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of the customary 'Yes Sir'.

As per the notifications issued on December 31 by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", the notifications stated.

The state Congress unit president Amit Chavda said the new practice ""will not change the quality of education"" in the government and affiliated schools.

""The BJP government has made several efforts to instill patriotism among school students. Altering a certain practice will not improve the standard of education,"" he said.

Chavda alleged that the quality of primary education is going down in Gujarat.

""The quality is even worse than many other under-developed states,"" he said.

""The standard of primary eduction in Gujarat has gone down significantly over the last several years. The BJP government engages only in talks and programmes in the name of improving quality,"" the Congress leader alleged.

He asked the Gujarat government to focus on improving school infrastructure, recruiting teachers to fill huge backlog of vacancies and ""not forcing"" teachers to do non-teaching jobs for the government.

Hardik Patel said the children and the youth of Gujarat should not be forced to express their patriotism, ""as that feeling runs in their blood"".

He said the government should prioritise improving the ""significantly deteriorating"" quality of education in the state.

Nobody has the right to force anybody to say something he/she dislikes, he added

""This is an attempt to deflect from the real issues. Schools are getting closed. Shortage of teachers is also an important issue,"" Patel added.

Education Minister Chudasama said the government should be open to accepting ""good suggestions"".

""'Jai Bharat' and 'Jai Hind' are much better than 'Yes Sir'"".

""Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the change,"" he told reporters.

The minister said schools affiliated to the CBSE and other boards have also been asked to follow the new guidelines.

""Even local private schools have said that this is a good decision of the state government,"" he claimed.

As rival parties engaged in a slugfest, some students appeared to have no issue with the new directive.

""The concept (of saying 'Jai Hind' or 'Jai Bharat') is very good. Being an Indian, saying 'Jai Bharat' fills us with a sense of pride for our great country. It reminds me of the glorious history of our country's struggle for Independence,"" said a student of a local school.

""We are proud of our country's struggle for freedom. The concept is very good and should be accepted by all the schools in the country,"" said another student of a private school.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
