"","ID","date","url","title","source","duplicate","body"
"1","1030712227","2019-01-01","http://mydigitalfc.com/miscellany/gujarat-asks-students-answer-roll-call-%E2%80%98jai-hind-or-%E2%80%98jai-bharat%E2%80%99","Gujarat asks students to answer roll call with 'Jai Hind' or 'Jai Bharat'","mydigitalfc.com",FALSE,"The BJP government in Gujarat has asked schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of customary 'Yes Sir', which it feels will instill ""a feeling of patriotism"".

The move has drawn flak from opposition parties that said the government should rather work towards improving the ""deteriorating quality of education"".

As per notifications issued on Monday (December 31) by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", the notifications stated.

Defending the move, Gujarat education minister Bhupendrasinh Chudasama said on Tuesday that the government should be open to accepting ""good suggestions"". ""'Jai Bharat' and 'Jai Hind' are much better than 'Yes Sir'. Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the change,"" he told reporters.

The minister said schools affiliated to the CBSE and other boards have also been asked to follow the new guidelines. ""Even local private schools have said that this is a good decision of the state government,"" he claimed.

Criticising the Gujarat government, state Congress unit president Amit Chavda said the new practice ""will not change the quality of education"" in the government and affiliated schools.

""The BJP government has made several efforts to instill patriotism among school students. Altering a certain practice will not improve the standard of education,"" he said.

Chavda alleged that the quality of primary education is going down in Gujarat. ""The quality is even worse than many other under-developed states,"" he said.

""The standard of primary education in Gujarat has gone down significantly over the last several years. The BJP government engages only in talks and programmes in the name of improving quality,"" the Congress leader alleged.

He asked the Gujarat government to focus on improving school infrastructure, recruiting teachers to fill huge backlog of vacancies and ""not forcing teachers to do non-teaching jobs for the government""."
"2","1030675103","2019-01-01","https://indianexpress.com/article/cities/delhi/delhi-why-make-us-part-of-vaccine-project-ask-govt-private-school-teachers-5519224/","Delhi: Why make us part of vaccine project, ask govt, private school teachers","The Indian Express",FALSE,"A section of teachers in Delhi have voiced concerns over their involvement in the measles-rubella (MR) vaccination drive, set to commence in city schools in two weeks, with many questioning if the school system should be used as a site to implement a ""health administrative exercise"".

The first two weeks of the drive, to begin on January 16, is for students up till the age of 15. According to a Directorate of Education (DoE) circular dated December 19, 2018, since the MR campaign is a central government policy, no consent is required from beneficiaries and their parents. A December 24 circular on the same states: ""For vaccination sessions in educational institutes/schools, teachers and parents will play a key role in ensuring that targeted students are well informed and immunised during the campaign.""

Teachers have been told to be part of the vaccination teams, along with the designated health workers, and to create awareness and sensitisation regarding the vaccine among students and parents in all government, government-aided and unaided recognised schools in Delhi. However, some teachers have expressed their discomfort about being placed at the forefront of the drive. ""I have been asked to tell parents that this vaccine is safe when I myself do not know enough about this. We are trained as teachers, not health functionaries.

Without training and knowledge, how can we tell parents that it is alright?"" said a teacher at a North MCD school. ""There is a certain level of trust that parents have in us, and we are recognisable faces in this exercise. If, by any chance, something happens, they will turn to us. They should use schools and classrooms for administering the campaign, if they must, but not us teachers,"" the teacher added. A teacher at a private school also said she was uncomfortable convincing parents about this.

Advertising

""I am not convinced that this campaign is essential, and we have read many news reports of children falling ill after receiving the vaccine in Maharashtra and Gujarat. Since it is a central government scheme, there is no room for us to resist. But many students and parents have also voiced their reluctance and I am expected to placate them without information or conviction,"" she said, adding that teachers in her school had not yet received any kind of orientation about the vaccination.

Director of Education Sanjay Goel said, ""We have not received any complaint or experienced resistance from any school so far. As for orientation, one nodal officer per school -- who might be a part of the teaching or non-teaching staff -- is receiving the same as the vaccine is being administered by a health functionary."""
"5","1030637924","2019-01-01","https://timesofindia.indiatimes.com/city/gurgaon/mcg-picks-5-pvt-agencies-to-help-bulk-generators-segregate-compost-waste/articleshow/67341108.cms","MCG picks 5 pvt agencies to help bulk generators segregate, compost waste - Times of India","The Times of India",FALSE,"Gurgaon: To make Gurgaon a clean city ahead of Swachh Survekshan 2019, MCG has shortlisted five agencies that will help those who generate waste in bulk to segregate and compost it at the community level. The corporation plans to carry out a trial for one month before officially hiring these agencies.

The agencies will help resident welfare associations and other bulk generators like hotels, schools and other institutions, devise a mechanism for segregation at source, and composting at the community levels. During the one-month period beginning in January, MCG officials will assess the composting units set up by the agencies.

""We will be assessing the machinery in terms of electricity consumed in proportion to the waste processed and the quality of compost produced, against set standards,"" said an MCG official. Additionally, officials will also monitor calorific value of the output products other than compost, and if they can be sent to the landfill to be used in the waste-to-energy plant.

The one-month project will be carried out in Sector 45, Sector 15 Part 2, community centre and Huda park in Sector 56, and Chakkarpur, Chauma and Nathupur villages. The agencies shortlisted for the project are Smart Enviro Private Limited, Clean India Ventures Private Limited, Waste Management Corporation, SMS Hydrotech, and Excel Industries Limited.

According to MCG officials, around 25 residential societies across the city segregate and compost garbage at the community level. ""If we take into consideration all residential societies in the city, just 25 of them composting waste at the community level is a low number,"" an MCG official said. While residents have shown enthusiasm for community composting, adoption of the practice slowed down after the government appointed Ecogreen Energy Private Limited for solid waste management and withdrew financial support to RWAs for setting up composting units.

In September, the NGT imposed a penalty of Rs 2.5 lakh on Ecogreen for not following its direction and carrying out proper waste segregation and treatment at Bandhwari. Three months later, MCG imposed a penalty of Rs 6.38 crore on the firm for non-performance.

While MCG is still not providing any financial support to societies for setting up community-level composting plants, they have decided to guide bulk garbage generators through these agencies. ""To encourage bulk generators to adopt segregation at source and composting as good practices, the corporation will buy the compost at Rs 5 per kg,"" an official said.

Environmentalists and green activists, who have been pushing for decentralised waste segregation and treatment rather than sending the waste to the Bandhwari waste treatment plant, are expected to welcome the move."
"8","1030613222","2019-01-01","https://www.moneycontrol.com/news/world/brazil-far-right-firebrand-jair-bolsonaro-to-be-sworn-in-as-president-3344691.html","Brazil: Far-right firebrand Jair Bolsonaro to be sworn in as president","MoneyControl",FALSE,"The former Army captain and seven-term fringe congressman rode a wave of anti-establishment anger to became Brazil's first far-right president since a military dictatorship gave way to civilian rule three decades ago.

Right-wing nationalist Jair Bolsonaro, who has vowed to crack down on political corruption, violent crime and ignite a moribund economy with deregulation and fiscal discipline, will be sworn in as Brazil's president on January 1.

The former Army captain and seven-term fringe congressman rode a wave of anti-establishment anger to became Brazil's first far-right president since a military dictatorship gave way to civilian rule three decades ago.

Bolsonaro plans to realign Brazil internationally, moving away from developing nation allies and closer to the policies of Western leaders, particularly US President Donald Trump, who sent Secretary of State Mike Pompeo to his inauguration.

As a clear sign of that diplomatic shift, Bolsonaro plans to move the Brazilian embassy in Israel from Tel Aviv to Jerusalem, breaking with Brazil's traditional support for a two-state solution to the Palestinian issue.

Crowds of supporters, many with the Brazilian flag draped around their shoulders and with faces painted yellow and green, the national colors, gathered before the Planalto palace, where later the presidential sash will be draped on Bolsonaro.

Backed massively by conservative sectors of Brazil, including Christian evangelical churches, Bolsonaro would block moves to legalize abortion beyond even the current limited exceptions and remove sex education from public schools, opposing what he calls ""cultural Marxism"" introduced by recent leftist governments.

One-third of his cabinet are former army officers, mostly fellow cadets at the Black Needles academy, Brazil's West Point, all outspoken backers of the country's 1964-1985 military regime.

Bolsonaro, 63, has faced charges of inciting rape and for hate crimes because of comments about women, gays and racial minorities. Yet his law-and-order rhetoric and plans to ease gun controls have resonated with many voters, especially in Brazil's booming farm country.

In an interview with Record TV on the eve of his inauguration, Bolsonaro lashed out at Brazil's notorious bureaucracy, which makes doing business in the country difficult and expensive. He vowed to strip away the so-called ""Brazil Cost"" that hamstrings private enterprise.

""The government machine is really heavy,"" he said. ""There are hundreds of bureaucratic governing bodies across Brazil, of regulators as well. ... We have to untangle the mess.""

His vow to follow Trump's example and pull Brazil out of the Paris Agreement on climate change has worried environmentalists. So have his plans to build hydroelectric dams in the Amazon and open up to mining the reservations of indigenous peoples who are seen as the last custodians of the world's biggest forest.

Brazilian businesses are eager to see Bolsonaro take office and install a team of orthodox economists led by investment banker Paulo Guedes, who has promised quick action in bringing Brazil's unsustainable budget deficit under control.

Guedes plans to sell as many state companies as possible in a privatization drive that he forecasts could eventually bring in up to 1 trillion reais ($257 billion).

That would help restore order to government finances. The key measure, however, for reducing the deficit and stopping a dangerous rise of Brazil's public debt will be the overhaul of the country's costly social security pension system.

Pension reform will be Bolsonaro's biggest challenge since he has yet to build a base in Congress, where he has eschewed the political horse-trading that has traditionally helped Brazilian presidents govern the nation of nearly 210 million people.

Bolsonaro may find that lax protection of the environment and human rights could have negative economic effects, more so than those faced by other far-right leaders, given the spotlight on Brazil's Amazon jungle as a protection against global warming and because the country has more murders than any other nation.

""I think they will be good on the economy and they will probably be bad for human rights and the environment,"" said Brian Winter, vice president for policy at the Americas Society and Council of the Americas in New York.""The key question is whether those things can be separated. Most of Wall Street says 'Yes.' I have my doubts."""
"9","1030598337","2019-01-01","https://www.thehindubusinessline.com/specials/clean-tech/this-is-the-house-that-green-practices-built/article25882856.ece","This is the house that green practices built","The Hindu Business Line",FALSE,"The new 'net zero energy building rating systems' could prove to be a game changer in India's drive towards energy efficiency. V Rishi Kumar reports

The year 2019 may prove to be the inflection point for green building movement and energy efficiency that could lead to India being a green champion in the future.

Driving the green dream in a big way is the CII-Indian Green Building Council formed in the IT hub of Hyderabad in 2000-01, with the country's first platinum-rated centre of 20,000 sq ft coming up in 2003-04. By incorporating various standards and codes besides applying best practices, the Council has evolved rating systems for a number of sectors.

During the recent Green Building Congress, the Council introduced new rating systems, including 'net zero energy building rating systems', and for green resorts and green hill habitats. The net zero energy rating assesses buildings that are self-sufficient in energy -- their energy requirement is met through their own generating system, be it solar or wind.

With modern buildings, particularly, needing cooling and heating systems, this rating system is expected to play a big role in addressing greenhouse gas emissions. While green buildings consume 25-30 per cent less energy, this has potential to be further brought down, say experts.

As the Council targets a green building footprint of 10 billion sq ft by the year 2022 when India will be @75 years of Independence, if the current pace of growth is anything to go by, this target may be achieved ahead of schedule.

Says V Suresh, Chairman, Indian Green Building Council (IGBC), ""The green building movement is on an upward spiral. Our rating systems cover buildings of all asset classes, from campuses to smart cities, urban mobility and metros and even green villages. Special thrust is being given towards 'green homes' -- with about 14 lakh homes and green footprint of 1.76 billion sq ft, covering residential units of all income categories, including affordable houses.""

This growth would not have been possible without the involvement of various stakeholders working towards a shared vision.

S Raghupathy, CII Deputy Director General, who has been spearheading the movement ever since the IGBC was created, says, ""Projects from Jammu to Andaman, Surat to Shillong have adopted green ratings. The ratings have touched the lives of people from all sections of society, be it residents of rated green homes, students in green schools, commuters travelling through green metros, railways stations and airports, workers in green offices and factories or the common citizens living in green townships and green cities.""

With 25 ratings launched thus far by the IGBC, covering residential, commercial, industrial, healthcare, railways, campuses, townships and cities, there has also been significant movement in retrofitting and transforming older homes and properties.

Niranjan Hiranandani, President, Naredco, says, ""In the uber-luxury segment of premium residential real estate, home buyers support measures that are less polluting or restrict damage to the environment -- they are okay with the additional spend on a 'green' residential building.""

These buildings not only improve the environment and ecology, but can reduce energy consumption by 20-30 per cent, water usage by 30-50 per cent and significantly reduce waste generation by extensive recycling. With an estimated 5 per cent of Indian construction following the Green Building norms, there is definitely scope for future expansion and growth.

The government has come up with some guidelines that result in savings as regards land revenue, so that is an additional sweetener to prod those planning new projects to opt for a green building.

""The customer profile in residential real estate is changing, where the 'new buyer' segment -- the Millennials -- want homes that include some aspects of 'green buildings.' They ensure that developers focus on eco-friendly buildings,"" Hiranandani says.

It is not just about construction methodology and building material usage but also enhancing the quality of life, for those who opt for such facilities.

C. Sekhar Reddy, former national president of Credai, explains, ""What started with zero has now grown to 25 ratings. The number of accredited professionals has gone up to 3,000 and efforts are on to take this up to 10,000. We have barely touched the tip of the pyramid, now the focus is on expanding and reaching out to the bottom of the pyramid.""

""The foundation has been laid and now the Council has chapters in 22 States. Not only States, a number of cities, including smart cities such as Dolera, and the upcoming greenfield city of Amaravati are keen to develop into green cities,"" says Reddy.

Aiding the green city push is a rapidly growing pool of GreenPro rated products, whose number has swelled to over 500, accounting for about 60 per cent of the cost of construction, excluding land and labour. The target is to take this to 90-100 per cent of the construction cost,"" says Reddy.

The cost differential, which was about 18 per cent in 2003 with payback of 5-8 years, for a green building, has now come down to 1-3 per cent with 2-3 years payback.

While the green building movement is driven by the private sector thus far, in a voluntary mode, there is need for proactive support from the Centre and States to provide further impetus by considering some direct concessions to GreenPro-rated building products.

Secondly, buildings that have already gone green or are in the process may be offered municipal tax concessions so that they get incentivised.

""One of the things that States could do is encourage usage of GreenPro rated products so that they get mainstream faster and people are spurred to use them. Smart Cities will not happen unless they have green buildings,"" Reddy says.

And if States too pitch in with some innovative policy initiatives, the green building movement could be accelerated, he explains.

All in all, the country has been making steady progress towards energy-efficiency in construction.

What started with commercial buildings and factories has gradually gained acceptance in residential projects. It is estimated that a million sq ft of green building could save up to 12,000 tonnes of CO2, save about 15,000 MWh of energy, 45,000 KL of water and help in diverting 450 tonnes of construction waste for land fills.

Not surprisingly, we now have more than 12,50,000 dwelling units, over 250 plus green factories, more than 16,000 green offices, 45-plus green townships, several green villages and green cities.

Facilities of Hindustan Zinc, hospitality projects, ITC Green centre in Gurgaon, Suzlon One Earth in Pune, for instance, have demonstrated how they could bring down energy consumption.

Be it corporates or individuals, going energy-efficient adds to the overall happiness index. Imagine not having to worry about monthly power bills or sudden blackouts, thanks to one's own solar energy/wind systems."
"11","1030531347","2019-01-01","https://timesofindia.indiatimes.com/india/gujarat-govts-jai-hind-roll-call-sparks-political-row-opposition-says-improve-edu-quality-instead/articleshow/67337545.cms","Gujarat govt's 'Jai Hind' roll call sparks political row; Opposition says improve edu quality instead - Times of India","The Times of India",FALSE,"AHMEDABAD: A political row broke out on Tuesday over the Gujarat government's directive to schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of the customary 'Yes Sir'.

The opposition Congress as well as Patidar leader Hardik Patel slammed the move and instead asked the BJP government to improve what they said was the ""deteriorating quality of education"".

But state Education Minister Bhupendrasinh Chudasama defended the directive, saying it will instill ""a feeling of patriotism"" among students.

As per the notifications issued on December 31 by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", the notifications stated.

The state Congress unit president Amit Chavda said the new practice ""will not change the quality of education"" in the government and affiliated schools.

""The BJP government has made several efforts to instill patriotism among school students. Altering a certain practice will not improve the standard of education,"" he said.

Chavda alleged that the quality of primary education is going down in Gujarat.

""The quality is even worse than many other under-developed states,"" he said.

""The standard of primary eduction in Gujarat has gone down significantly over the last several years. The BJP government engages only in talks and programmes in the name of improving quality,"" the Congress leader alleged.

He asked the Gujarat government to focus on improving school infrastructure, recruiting teachers to fill huge backlog of vacancies and ""not forcing"" teachers to do non-teaching jobs for the government.

Hardik Patel said the children and the youth of Gujarat should not be forced to express their patriotism, ""as that feeling runs in their blood"".

He said the government should prioritise improving the ""significantly deteriorating"" quality of education in the state.

""Instead of improving the quality of education, the education minister is talking about teaching patriotism to Gujarat's youth and children.

""The minister should know that everybody here is born with the feeling of patriotism,"" Patel said.

Nobody has the right to force anybody to say something he/she dislikes, he added

""This is an attempt to deflect from the real issues. Schools are getting closed. Shortage of teachers is also an important issue,"" Patel added.

Education Minister Chudasama said the government should be open to accepting ""good suggestions"".

""'Jai Bharat' and 'Jai Hind' are much better than 'Yes Sir'"".

""Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the change,"" he told reporters.

The minister said schools affiliated to the CBSE and other boards have also been asked to follow the new guidelines.

""Even local private schools have said that this is a good decision of the state government,"" he claimed.

As rival parties engaged in a slugfest, some students appeared to have no issue with the new directive.

""The concept (of saying 'Jai Hind' or 'Jai Bharat') is very good. Being an Indian, saying 'Jai Bharat' fills us with a sense of pride for our great country. It reminds me of the glorious history of our country's struggle for Independence,"" said a student of a local school.

""We are proud of our country's struggle for freedom. The concept is very good and should be accepted by all the schools in the country,"" said another student of a private school."
"12","1030528645","2019-01-01","https://www.business-standard.com/article/pti-stories/guj-govt-in-dock-over-jai-hind-roll-call-opp-asks-it-improve-edu-quality-119010100633_1.html","Guj govt in dock over 'Jai Hind' roll call; Opp asks it improve edu quality","Business Standard",FALSE,"Rajasthan: Congress maintains strong lead, in talks with independents

The BJP-led Gujarat government has come under fire for asking schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of the customary 'Yes Sir', with the Opposition arguing the move will ""not change the quality of education"".

According to a notification issued on Monday by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to the attendance call with

'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", it said.

Chavda said the BJP government had made several efforts to instill patriotism among school students.

""Altering a certain practice will not improve the standard of education,"" he said.

The Congress leader alleged that the quality of primary education was going down in Gujarat.

""The quality is even worse than many other under-developed states. The standard of primary eduction in Gujarat has gone down significantly over the last several years. The BJP government only engages in talks and programmes in the name of improving quality,"" he said.

Chavda asked the state government to rather focus on improving school infrastructure, recruiting teachers to fill the huge backlog of vacancies and ""not forcing teachers to do non-teaching jobs for the government"".

Patidar leader Hardik Patel said, ""The children and youth of Gujarat should not be forced to express their patriotism, as that feeling runs in their blood"".

He said the government should prioritise improving the ""significantly deteriorated"" quality of education in the state.

""Instead of improving the quality of education, the education minister is talking about teaching patriotism to Gujarat's youth and children. He should know that everybody here is born with the feeling of patriotism,"" Patel said.

""This is an attempt to deflect from the right issues. Schools are getting closed. Shortage of teachers is also an important issue,"" the Patidar leader added.

Even as the BJP and opposition parties engage in a verbal duel over the propriety of the move, students PTI spoke with seemed to have no issues with the new directive.

""The concept (of saying 'Jai Hind' or 'Jai Bharat') is very good. Being an Indian, saying 'Jai Bharat' fills us with a sense of pride for our great country. It reminds me of the glorious history of our country's struggle for Independence,"" a student said.

""We are proud of our country's struggle for freedom. The concept is very good and should be accepted by all the schools in the country,"" said another student of a private school.

Meanwhile, the state education minister said the government should be open to accepting ""good suggestions"".

""Jai Bharat and Jai Hind are much better than 'Yes Sir'. Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the changes,"" he told reporters.

Chudasama said schools affiliated to CBSE and other boards have also been asked to follow the new guidelines.

""Even local private schools have agreed that it is a good decision (of the state government),"" he added.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"14","1030528600","2019-01-01","https://www.business-standard.com/article/pti-stories/guj-govt-s-jai-hind-roll-call-sparks-political-row-oppn-says-improve-edu-quality-instead-119010100686_1.html","Guj govt's 'Jai Hind' roll call sparks political row; Oppn says improve edu quality instead","Business Standard",FALSE,"School children in Gujarat to say 'Jai Hind' to mark attendance

A political row broke out on Tuesday over the Gujarat government's directive to schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of the customary 'Yes Sir'.

As per the notifications issued on December 31 by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", the notifications stated.

The state Congress unit president Amit Chavda said the new practice ""will not change the quality of education"" in the government and affiliated schools.

""The BJP government has made several efforts to instill patriotism among school students. Altering a certain practice will not improve the standard of education,"" he said.

Chavda alleged that the quality of primary education is going down in Gujarat.

""The quality is even worse than many other under-developed states,"" he said.

""The standard of primary eduction in Gujarat has gone down significantly over the last several years. The BJP government engages only in talks and programmes in the name of improving quality,"" the Congress leader alleged.

He asked the Gujarat government to focus on improving school infrastructure, recruiting teachers to fill huge backlog of vacancies and ""not forcing"" teachers to do non-teaching jobs for the government.

Hardik Patel said the children and the youth of Gujarat should not be forced to express their patriotism, ""as that feeling runs in their blood"".

He said the government should prioritise improving the ""significantly deteriorating"" quality of education in the state.

Nobody has the right to force anybody to say something he/she dislikes, he added

""This is an attempt to deflect from the real issues. Schools are getting closed. Shortage of teachers is also an important issue,"" Patel added.

Education Minister Chudasama said the government should be open to accepting ""good suggestions"".

""'Jai Bharat' and 'Jai Hind' are much better than 'Yes Sir'"".

""Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the change,"" he told reporters.

The minister said schools affiliated to the CBSE and other boards have also been asked to follow the new guidelines.

""Even local private schools have said that this is a good decision of the state government,"" he claimed.

As rival parties engaged in a slugfest, some students appeared to have no issue with the new directive.

""The concept (of saying 'Jai Hind' or 'Jai Bharat') is very good. Being an Indian, saying 'Jai Bharat' fills us with a sense of pride for our great country. It reminds me of the glorious history of our country's struggle for Independence,"" said a student of a local school.

""We are proud of our country's struggle for freedom. The concept is very good and should be accepted by all the schools in the country,"" said another student of a private school.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"17","1030514151","2019-01-01","https://www.deccanchronicle.com/nation/current-affairs/010119/school-students-to-answer-roll-all-with-jai-hind-gujarat-directive.html","School students to answer roll all with 'Jai Hind': Gujarat govt issues directive","Deccan Chronicle",FALSE,"Ahmedabad: The BJP-led Gujarat government has come under fire for asking schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of the customary 'Yes Sir', with the Opposition arguing the move will ""not change the quality of education"".

While state Education Minister Bhupendrasinh Chudasama on Tuesday said the step would ""instill a feeling of patriotism"", the opposition Congress asked the government to improve the ""deteriorating quality of education"".

Criticising the state government, Gujarat Congress unit president Amit Chavda said the new practice will not change the quality of education in state-run and affiliated schools.

According to a notification issued on Monday by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to the attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1. The objective of the new practice is to ""foster patriotism among students right from childhood"", it said.

Chavda said the BJP government had made several efforts to instill patriotism among school students. ""Altering a certain practice will not improve the standard of education,"" he said.

The Congress leader alleged that the quality of primary education was going down in Gujarat. ""The quality is even worse than many other under-developed states. The standard of primary education in Gujarat has gone down significantly over the last several years. The BJP government only engages in talks and programmes in the name of improving quality,"" he said.

Chavda asked the state government to rather focus on improving school infrastructure, recruiting teachers to fill the huge backlog of vacancies and ""not forcing teachers to do non-teaching jobs for the government"".

Patidar leader Hardik Patel said, ""The children and youth of Gujarat should not be forced to express their patriotism, as that feeling runs in their blood"". He said the government should prioritise improving the ""significantly deteriorated"" quality of education in the state.

""Instead of improving the quality of education, the education minister is talking about teaching patriotism to Gujarat's youth and children. He should know that everybody here is born with the feeling of patriotism,"" Patel said.

""This is an attempt to deflect from the right issues. Schools are getting closed. Shortage of teachers is also an important issue,"" the Patidar leader added.

Even as the BJP and opposition parties engage in a verbal duel over the propriety of the move, students news agency PTI spoke with seemed to have no issues with the new directive.

""The concept (of saying 'Jai Hind' or 'Jai Bharat') is very good. Being an Indian, saying 'Jai Bharat' fills us with a sense of pride for our great country. It reminds me of the glorious history of our country's struggle for Independence,"" a student said.

""We are proud of our country's struggle for freedom. The concept is very good and should be accepted by all the schools in the country,"" said another student of a private school.

Meanwhile, the state education minister said the government should be open to accepting ""good suggestions"". ""Jai Bharat and Jai Hind are much better than 'Yes Sir'. Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the changes,"" he told reporters.

Chudasama said schools affiliated to CBSE and other boards have also been asked to follow the new guidelines. ""Even local private schools have agreed that it is a good decision (of the state government),"" he added."
"18","1030504389","2019-01-01","https://www.aninews.in/news/nhrc-takes-cogizance-of-suicide-of-49-students-from-2013-to-2017201901011830460001/","NHRC takes cogizance of suicide of 49 students from 2013 to 2017","aninews.in",FALSE,"New Delhi [India], Jan 1 (ANI): The National Human Rights Commission (NHRC) has taken suo motu cognisance of a media report that 49 students of the residential Jawahar Navodaya Vidyalayas (JNVs) committed suicide at campus in five years from 2013 to 2017.

""Half of them were Dalit and Tribal students, and a majority of them were boys. Reportedly, all, except seven, were suicides by hanging, and the bodies were discovered either by classmates or members of the school staff. The JNVs are reported to be the central government's pace-setting residential schools for the talented children from rural India,"" the NHRC said in its release.

The Commission has observed that the contents of the media report, if true, cannot be ignored or overlooked as this reported pattern of suicides by so many students in JNVs might still increase, if not checked in time with appropriate measures.

Expressing serious concern over the report, the commission issued a notice to the Secretary, Union Ministry of Human Resource Development and called for certain information within six weeks.

The commission sought to know whether trained counselors were available in the campus to whom the adolescent students could open up and talk about their feelings.

It also asked if there was a dedicated staff to ensure that the children were not left alone in the rooms.

NHRC also asked whether emergency assistance through telephone counseling and suicide hotline services were available to the students.

The Commission has further observed that the intelligent students with a rural background are entrusted to the care of JNVs. They are the strength and future of this country. The proportion of the suicides of the students from the Scheduled Caste and Scheduled Tribe communities is also a matter of concern for the society.

""Teenagers may often get confused and develop a feeling of being isolated. It is also a matter of fact, that many suicides are committed by the people, who are depressed and are not able to cope up with stress. As per the medical science, the suicidal tendencies don't just appear out of the blue, people usually display a number of warning signs. If trained counselors are available, behavioral changes, suicidal tendencies and depression among the students can be spotted in time and with the guidance and counseling of counselors, suicides can be controlled,"" the NHRC said.

According to the media report, carried on the December 24, 2018, the JNVs, which were started in 1985-86, have become a passport out of poverty for thousands of underprivileged children. Since 2012, these schools have consistently recorded a pass percentage of over 99 per cent in Class 10 and over 95 per cent in Class 12, which is far better than private schools and CBSE's national average.

The news report revealed that according to norms, at least 75 per cent of the seats in these schools are set aside for rural children. Hence, a JNV is never sanctioned for a district with 100 per cent urban population.

A Navodaya Vidyalaya starts from Class 6 and goes up to Class 12. All admissions in Class 6 are done through a merit test. The popularity of JNVs is evident from the fact that less than 3 per cent of the candidates appearing for the entrance test every year make the cut.

The news report also revealed that 41 out of 46 JNVs are facing a serious challenge. The report further revealed that there are 635 JNVs with 2.8 lakh students. A total of 2.53 lakh students in the age group of nine to 19 were enrolled across roughly 600 JNVs for the year 2017. That same year, the number of suicides touched 14. The news report revealed that the suicide rate that is per population of 1,00,000 at JNVs for 2017 works out to 5.5. (ANI)"
