"","ID","date","url","title","source","duplicate","body"
"1","1030306006","2019-01-01","https://indianexpress.com/article/education/in-a-year-marred-by-contractual-teachers-stir-infra-boost-for-2265-government-schools-5517794/","In a year marred by contractual teachers' stir, infra boost for 2265 government schools","The Indian Express",FALSE,"Crores have been spent on attractive clean buildings, smart classrooms, computer rooms, hygienic toilets, playgrounds, drinking water facilities and colourful premises

This year the school education sector in Punjab certainly saw some ups even as the last quarter of 2018 was marked by two-month-long protests by Sarva Shiksha Abhiyan (SSA) and RMSA teachers from October.

As the contractual teachers protested against the state government's decision to regularise 8,886 teachers, but with pay cut, as many as 2,265 government schools saw a facelift with world-class infrastructure. Also the students of several government schools set unprecedented examples of their IQ level. And last, but not the least, English, the subject, in which maximum number of students fail in the final exams of Punjab School Education Board, is no more dreaded in many government schools now.

The schools were given a facelift under 'Smart School Project' launched by the government. Crores have been spent on attractive clean buildings, smart classrooms, computer rooms, hygienic toilets, playgrounds, drinking water facilities and colourful premises. Government, however, has not spent from its pocket, but motivated individual donors, Non-government Organisations (NGOs), charitable trusts, firms, and Non-resident Indians to financially help the schools.

Even Director General School Education-cum-Project Director Parshant Goyal had written to several NGOs, charitable trusts and firms to contribute towards digital classrooms, laboratories and toilets, provide books in libraries, uniforms to the students, create infrastructure for Midday Meals and sports, install solar power plants and Reverse Osmosis system and any way that the donor or the school deemed fit.

Education Secretary Krishan Kumar confirmed the infrastructure in 2,265 schools have already been improved and by the end of this academic session, a total of 4,250 institutes will be covered. He said some 100 teachers of Punjab are supporting them hugely by motivating people.

Advertising

""With the contribution of such people and organisations, it will become a sustainable model of community ownership and accountability,"" said he, adding the government will provide support on pedagogy, ways of teaching, resolving specific problems etc. ""It will enhance the performance of the government schools in every possible manner. We will cover all 20,000 government schools in a few years,"" said he.

Several government schools, including government middle schools at Rajgarh village (Ludhiana), Malwa and Nawanshahr, have already started getting applications from people in advance for reservation of seats for their wards for the next session, revealed the education secretary. ""Two government school teachers in Nawanshahr have got admitted their wards,"" said he.

""It is a dream come true for us as we belong to poor families and haven't even thought of having access to facilities like e-content, computer labs and libraries,"" said one Kamljit Kaur of Kishangarh village in Mansa district. Along with the infrastructure, the education standard has also started improving. The students of Government Primary School, Jhangerian, in Nurpur Bedi block of Ropar district, have set an example. Several students of this schools have memorised the names of all 117 Assembly segments, 13 Lok Sabha constituencies, names of several countries with their respective capitals, that of Punjabi and Indian English writers, Indian scientists, Indian festivals, national holidays and neighbouring countries. The Class I children of this school have memorised tables up to 20, while as per syllabus, they need to learn just up to 5.

Education secretary has also uploaded the videos of these children on social media. ""Under Parho Paunjab Project, we have designed several programmes and now our students are speaking in English without any hesitation and several schools have started conducting prayers in English now,"" said District Mentor of English, Chander Shekhar.

Even, a renowned missionary-run convent school, St Francis in Batala (Gurdaspur district) had invited the government school students during a Science and maths fair recently. ""The government school students explained maths and science equations in fluent English to their convent counterparts,"" said Principal of St Francis School, P J Joseph."
"2","1030143017","2018-12-31","https://indianexpress.com/article/opinion/columns/tokyo-olympics-2020-target-olympic-podium-scheme-ssa-5517660/","May the game be with you","The Indian Express",FALSE,"In 2019, more women must step out, pursue their dreams, compete and win.

In 2019, my personal journey will continue: I am training harder -- and smarter -- than ever, looking forward to more titles and medals as we approach the 2020 Tokyo Olympics. But there are larger uncertainties and questions: What can we do to encourage more women across all spheres, especially in sports? How can India give its best-ever performance at the Olympics? What is it that young girls and women across the nation can learn from my struggles and successes?

Let's first talk about India's prospects at international sports meets in general, with an eye on Tokyo in particular. The first thing sports, particularly those which centre around individual achievement, (and not just the one team game that draws so much attention and resources) needs is more funding. Funds are the first step towards building the infrastructure and expertise that can recognise, nurture and maintain the excellence that is required to perform at the highest level. The Sarva Shiksha Abhiyan (SSA), for instance, mandates that schools have a certain infrastructure, that every child in India has access to specific facilities close to their home, in their own locality.

We can look at China and the difference that sports facilities have made to their performance at the international level. What is needed is an SSA-like scheme for sports. All children enjoy playing, and it is this joy that turns into grit and determination. With every child guaranteed the right facilities, they can learn to play and be recognised if they have an aptitude for a particular game at an early age. I remember in my own school days, I began with teaspoon-races and three-legged races! Every game counts. Today, my own children are always playing, they love it and along with their studies, it forms an important part of their overall development.

It is also important for there to be complete coordination between the government and sports federations and unity even within the sports federations themselves. The government, of course, is already doing a lot for sports and its growth. Under the Target Olympic Podium (TOP) scheme, which was instituted by the current NDA government in September 2014, the government is investing considerable funds in promoting talent. To provide an impetus towards an athlete's training, facilities, coaching et al is provided, along with a stipend of Rs 50,000. This is not a small amount. I never earned that much even when I had a government job!

Advertising

In the new year, we must ask for efficiency and accountability not only from the government and sports authorities, but also from the athletes themselves. In a country like India, with limited resources, is it fair that even under-performing persons continue to get such a handsome allowance and facilities?

The stipends and facilities must be performance-linked in sports, as in any other field. This will have multiple positive effects. First, it will ensure that new talent among the younger generation also gets a fair chance and fresh blood is injected into the athlete pool in the country. Second, it will keep those who are receiving the facilities on their toes and not let any kind of lethargy or a lackadaisical attitude to set in. Third, even for those who lose their benefits, it will act as a motivating force for them to perform better.

Another aspect of sports in India that requires attention is the increasingly stellar performance of women. Women are now outperforming men in international events. Clearly, this is an area that the government, as well as all other interested parties, should focus on. Developing the potential of India's girls and women will only lead to more international recognition, which in turn will fuel the growth of sports at home, creating a much-needed virtuous cycle.

In our society, women are often discouraged from performing multiple roles. But to the girls and women of India, I say that you should chase excellence and achievement. Age, marital status, region, religion -- none of this should stand in your way. After being married and having children, I continued to train -- and win -- at the highest level. This required a great effort on my part, I have learnt to listen to my body and mind and find people who when they work with me, understand my way of working. Whatever you do in life, these lessons are important. It is important to step out of the home and follow your dreams and passions. Achievement can only come through hard work. We all have to give ourselves the opportunity to do that work, only then can we scale new heights.

I come from a relatively small community, one which is not particularly wealthy or powerful even in my home state. Yet, today, because of my achievements, I am a nominated member of the Rajya Sabha. I am truly grateful for this opportunity. I can turn to the most powerful and popular people, and tell them with pride that my achievements, my Olympic medal, world championships and all the other titles, are because of hard work and dedication.

In the next year, there will be a general election, which is important for the entire country. My only wish is that it be a fair election, a free one where the will of the people is clearly expressed. After the people elect a government, it must work for the development of the entire nation, as I am sure it will endeavour to do.

I hope that in 2019, I continue to do India proud on the global stage and there are others who are inspired to do the same in all walks of life."
"3","1029973052","2018-12-31","http://pib.nic.in/newsite/PrintRelease.aspx?relid=186983","Government has developed several mechanisms to ensure the quality of education in Govt schools","pib.nic.in",FALSE,"Central Government has developed the following mechanism for the monitoring of quality of education in Government schools:

(i) A web portal called ShaGun(from the words Shaala and Gunvatta) which has two parts i.e., one is a Repository of good practices, photographs, videos, studies, newspaper articles etc on elementary education, State /UT wise has been developed. Its purpose is to showcase success stories and also to provide a platform for all stakeholders to learn from each other, and instill a positive competitive spirit among all the States and UTs.

The second part is the online monitoring module of Shagun which measures state-level performance and progress against key educational indicators which enables the Government of India and the State and UT Departments of education to conduct real-time assessments which normal paper-based monitoring mechanisms did not allow. Through Shagun, the data collection and reporting processes have been simplified; resulting in a totally transparent and efficient system.

In addition, an online Project Monitoring System (PMS) has been developed to monitor physical and financial progress of implementation of various components under Samagra Shiksha including appraisal of Annual Plans and issuing of sanctions etc.

(ii) In order to increase focus on quality of elementary education, the Central rules to the RTE Act, 2009 have been amended on 20 February, 2017 to include reference on class-wise, subject-wise Learning Outcomes. The Learning Outcomes for each class in Languages (Hindi, English and Urdu), Mathematics, Environmental Studies, Science and Social Science up to the elementary stage have, accordingly, been finalized and shared with all States and UTs. Learning

outcomes have been translated in different languages and serve as a benchmark for student's capabilities to be achieved in each subject & class.

(iii) Shaala Siddhi is a School Standards and Evaluation Framework, developed by the National University of Educational Planning and Administration (NUEPA), which enables the schools to self evaluate based on seven key domains.

(iv) The NCERT has developed a framework for Performance Indicators for Elementary School Teachers (PINDICS) and shared with the states. PINDICS is a framework for assessing teacher performance and providing constructive feedback for further improvement.

(v) National Achievement Surveys are carried out by National Council for Educational Research and Training to assess learning achievement of children in Classes - III, V, VIII, and X. The National Achievement Survey (NAS) 2017, was held on 13 November for assessing the competencies of children at the grade levels III, V and VIII covering 22 lakh students from 1.10 lakh schools in all 36 states and UTs. NAS (2017) was administered with districts as the unit of reporting in different subject areas such as languages, mathematics, EVS/Science and Social Sciences in the Government and Government aided schools. The competency based test was based on the Learning Outcomes which were recently incorporated in the Central Rules for RTE Act by the Government of India.

The National Achievement Survey for students of Class X was similarly, held on 5th February 2018, with a district level sampling framework covering nearly 15.5 lakh students using multiple test booklets in Mathematics, Modern Indian Languages, English, Sciences and Social Sciences. NAS district report cards have been shared with the States and UTs to help in identifying gaps at the district level. Subsequently, a framework of intervention has been developed and shared with States to improve the quality of learning in the schools.

Further, Central Government has taken the following initiatives for improving quality of education:

(i) Section 23(2) of the RTE Act has been amended to extend the period for training of untrained in-service elementary teachers to 31st March, 2019. As per above amendment, all untrained in-service teachers working in Government, Government aided, and Private un-aided schools should acquire minimum qualification as laid down by an academic authority, authorized by the Central Government, by 31st March, 2019. The National Institute of Open Schooling (NIOS) has been entrusted to conduct this training through ODL (Open Distance Learning) mode. The online D.El.Ed. course has started from 3rd October, 2017. More than 13 Lakh teachers have joined these courses.

(ii) Further, the Department of School Education and Literacy has launched an Integrated Scheme for School Education-Samagra Shiksha, subsuming three erstwhile Centrally Sponsored Schemes of Sarva Shiksha Abhiyan (SSA), Rashtriya Madhyamik Shiksha Abhiyan (RMSA) and Teacher Education (TE). With effect from 1st April, 2018. The new integrated scheme envisages school education as a continuum from pre-school to senior secondary level and aims to ensure inclusive and equitable quality education at all levels. The main objectives of the scheme are to provide quality education, enhancing learning outcomes of students, bridging social and gender gaps in school education, ensuring requisite infrastructure in schools, support to states in the implementation of RTE Act, 2009 and strengthening of teacher education institutions.

The Samagra Shiksha scheme focuses on improvement of quality of education by providing support for different interventions like; in-service training of teachers and schools heads, conduct of achievement surveys at National and State level, provision of textbooks as per Right of Children to Free and Compulsory Education (RTE) Act, 2009, remedial teaching for academically weaker students, ICT and digital initiatives, vocational education, composite school grant to every school for providing a conducive learning environment has been increased and from this year provisions for library grants and grants for sports and physical education have also been introduced.

The Government has also launched Rashtriya Aavishkar Abhiyan (RAA) programme on 09.07.2015, to motivate and engage children of the age group from 6-18 years in Science, Mathematics and Technology through observation, experimentation, inference drawing, model building, etc. both through inside and outside classroom activities.

e PATHSHALA: a single point repository of e ­resources containing NCERT textbooks and various other learning resources has been developed for showcasing and disseminating all educational resources including textbooks, audio, video, periodicals, and a variety of other print and non-­print materials.

The Central Government, supports States and UTs on early grade reading, writing & comprehension, and early Mathematics programmes through a sub-programme namely 'Padhe Bharat Badhe Bharat' (PBBB) in foundational years of schooling.

(iii) MHRD, has launched a Massive Open Online Courses (MOOCs) platform popularly known as SWAYAM (Study Webs of Active learning for Young Aspiring Minds) on 9 July, 2017. The portal is offering various online courses for school education and higher education. NCERT has been developing course modules for Massive Open and Online Course (MOOCs) for school education system in 12 subject areas (Accountancy, business studies, biology, chemistry, economic, history, geography, mathematics, physics, political science, psychology and sociology) for classes IX-XII. Twelve (12) courses and twenty one (21) courses have been completed in the first cycle and second cycle (completed on 30 Nov. 2018) on SWAYAM platform (https://swayam.gov.in/) respectively. Nearly 22,000 students and 30,000 students were registered in the first cycle and second cycle respectively.

(iv) CIET-NCERT has been assigned the task of developing e-resources for Master of Education (M.Ed.) course jointly with Allahabad University. One course (Educational Administration, Management and Leadership in School Education) has been completed first cycle on SWAYAM platform in which 2115 were enrolled. The second cycle of this course is offered from 2 July 2018.

Besides, an online course on action research for teachers is conducted in regular intervals in the MOODLE platform (http://ictcurriculum.gov.in/ ). Post Graduate Diploma in Guidance and Counselling for in-service teachers is also offered through the same course portal. Several other online courses are developed for inservice teachers professional development and delivered through the portal https://itpd.ncert.org.in/.

(v) A programme for utilization of satellite communication technologies for transmission of educational e-contents through 32 National Channels i.e. SWAYAM PRABHA DTH-TV has been launched. CIET-NCERT is the national coordinator for one DTH TV channel i.e., Kishore Manch (#31) and has started feeding a 24x7 educational TV channel w.e.f. 09 July, 2018. Everyday four hour fresh slot is telecast and repeated six times in 24 hours to provide learning opportunities for the stake holders, as per their convenience. Besides, NIOS is running 5 channels for teachers, for Secondary and Sr. Secondary levels and for sign language.

(vi) MHRD has launched Diksha Portal for providing digital platform to teachers giving them an opportunity to learn and train themselves and connect with teacher community. The portal envisages to help teachers boost their teaching skills and create their own separate profile with their skills and knowledge, and help in improving quality of education with use of latest technologies in education sector.

This information was given by the Minister of State (HRD), Dr. Satya Pal Singh today in a written reply to a Lok Sabha question."
"4","1029899315","2018-12-31","http://zeenews.india.com/india/was-2018-a-game-changer-for-children-in-india-2167080.html","Was 2018 a game-changer for children in India?","Zee News",FALSE,"Certain cases like Kathua, Unnao and the Bihar shelter homes incident depict the grim severity of the situation, and the urgency for us to step up as citizens to take a definitive action against these incidents.

India as a country, in terms of expanse and population, is huge. With a population of over 1.2 billion, 39% are children, which is around 470 million. Children are not just our future, but our present too, and we need to work collectively to ensure that their rights are protected.

Was 2018 a game-changer for India's children? While some decisions taken by the Centre have been a step towards the right direction, events in which child rights have been violated have slowed down the growth process. Certain cases like Kathua, Unnao and the Bihar shelter homes incident depict the grim severity of the situation, and the urgency for us to step up as citizens to take a definitive action against these incidents.

Shelter Homes and The Trafficking of Persons Bill

One of the monumental decisions taken by the Parliament was the passing of The Trafficking of Persons (Prevention, Protection and Rehabilitation) Bill 2018 by the Lok Sabha in the July session. It proposes a punishment ranging from 10 years of rigorous imprisonment to life term and a fine of not less than Rs 1 lakh for people caught in carrying out trafficking activities. It aims to create institutional mechanisms at the district, state and central level to curb trafficking.Hundreds of children go missing in India every year and are sold for labour or sexual exploitation. The bill has provisions to provide rehabilitation, skill development and education to the victims.

As the Parliament winter session is ongoing, over 12,000 trafficking survivors from 14 states have written to Prime Minister Narendra Modi for the passage of the Trafficking bill in the Rajya Sabha. Women and Child development minister Maneka Gandhi also expressed hope for the passage of the crucial trafficking bill.

The Deoria shelter home incident was another case that gained limelight. A shelter home in Deoria, Uttar Pradesh, run by Girija Tripathi was found to be engaging in illegal activities. The girls in the shelter home were subjected to physical, sexual and mental abuse. Tripathi used her clout with influential local politicians and bureaucrats to run the home and get away with these barbaric acts. 24 girls aged 5-15 were rescued from being trafficked, but 18 are still missing.

The Kathua Rape Case Shook the Nation

The year started on a shocking note. In January 2018, 8-year-old Asifa Bano was abducted, drugged with sedatives, brutally raped and murdered in Kathua, Jammu & Kashmir. A week after she went missing, her body was found by villagers of the neighbouring village.

The Kathua rape case was just one of the many. After the incident, the Parliament took a stand and passed the Criminal Law (Amendment) Bill 2018. The amendment calls for death punishment for rapists who have raped girls below the age of 12. If the girl is under 16, the minimum punishment will be 20 years to life imprisonment; a change from the previous 10 year sentence. In case of gangrape of a girl below 12 years of age, the accused will be sentenced to life imprisonment or death. The bill also mandates that the investigation and trial must be completed within two months and dismissed.

Children and Health

United Nations Child Mortality Report released this year stated that there were 1.14 million children deaths in India every year. This means 3 infants die every minute. Most of the children die before they turn 5 due to curable and preventable diseases like pneumonia, diarrhoea, malaria and birth complications.The number of deaths was the lowest India has had in 5 years but is still the highest in the world.

This September, Prime Minister Narendra Modi launched the Ayushman Bharat Scheme. This scheme is supposedly the world's largest health care scheme. It will provide 10 crore poor households a reimbursement of upto Rs.5 lakh for secondary and tertiary hospitalisation charges of the entire family. This year 17 crore children were given polio drops catering to a healthy childhood.

Children in Schools

Twelve million children are yet to be enrolled in schools.The dropout rate is fairly high either due to affordability or some other social issue. Girls are married off at a young age and forced to quit schools. 1 in every 3 child brides in the world is a girl in India. The National Social Assistance programme has allocated Rs. 9975 crore by the government this year. The budget plans to treat education holistically.

The emphasis is on improving education by giving proper training to teachers. A merger of Sarva Shiksha Abhiyan and Rashtriya Madhyamik Shiksha Abhiyan is in the pipeline. This joint scheme envisions to ensure inclusive and equitable education from nursery to the senior secondary stage.

Finance Minister Arun Jaitley has said that the country is looking to spend Rs 1 trillion to revitalize the infrastructure of higher educational institutions.

The Gender Divide

According to the Lancet Global Health Journal released in May 2018, around 2,39,000 girls under the age of 5 die each year in India due to gender discrimination.

Once the girl is born, negligence in her upbringing leads to illnesses. 32% of the girls enrolled in schools drop out. This is because of family constraints, insufficient funds and lack of sanitation facilities during their menstruation cycle. Therefore, the percentage of literate women and girls is less in comparison to men.

The Beti Bachao Beti Padhao scheme started by the Government in 2015 aims to improve the efficiency of implementation of welfare schemes for women. Through the government campaigns people have started realizing that gender doesn't define capability. This programme has increased the intake of girls in schools but it still has a long way to go.

2018 has seen a number of child rights violation cases, but also seen steps to resolve them and prevent such events in future. We, as responsible citizens, need to question and observe the life children are leading and do our bit to save their childhood. A small step towards the right direction can go a long way in making India safe for children."
"5","1029744280","2018-12-31","https://theprint.in/governance/over-14-per-cent-villages-in-india-dont-have-schools-says-latest-data/170440/","More than 14 per cent villages in India don't have any school, shows govt data","ThePrint",FALSE,"File image of elementary school students | Wikimedia Commons

Rural Development Ministry data shows access to highest level of school education remains a concern, only 6.57 per cent villages have up to senior secondary schools.

New Delhi: Over 14 per cent of villages in India don't have schools, while as many as 10 states in the country have over 15 per cent such villages, shows the latest data available with the Rural Development Ministry.

Collected under Mission Antyodaya, the data also shows that around 47 per cent villages have schools only up to the primary level.

The comprehensive data, an assessment of village-level infrastructure facilities and amenities across states and Union Territories, is currently available for 5,27,507 villages and 2.3 lakh gram panchayats.

Apart from the 75,613 (14.33 per cent) villages that don't have schools, data shows 21 per cent villages have up to middle level schools (Classes 6 to 8), around 11 per cent have up to high schools (Classes 9 and 10) and only 6.57 per cent have up to senior secondary schools (Classes 11 and 12).

The ministry's aim behind collecting village-wise data is to identify gaps in villages based on the set parameters to ensure targeted development and execution of schemes.

Also read: Punjab begins pre-primary classes in all govt schools, anganwadi workers miffed

Ten states -- Uttar Pradesh, West Bengal, Jharkhand, Bihar, Manipur, Goa, Odisha, Uttarakhand, Arunachal Pradesh and Himachal Pradesh -- are worse off than the national average, with over 15 per cent villages reporting no school at all.

Mizoram, Kerala and Gujarat, meanwhile, have less than 2 per cent villages with no schools.

Kerala also does exceedingly well with respect to higher education, with senior secondary schools available in as many as 80 per cent villages, and 11 per cent villages reporting at least up to high school level. This implies that the state has less than 10 per cent villages which have schools only up to middle or primary level.

The poorest performers at senior secondary level school education are Odisha, Nagaland and Jharkhand, with only 1.7 per cent, 1.8 per cent and 2.1 per cent villages, respectively, with such schools.

Ministry officials explain that the data is only for villages and not at the Gram Panchayat level -- which usually has a cluster of villages under it. The ministry hasn't yet collected Gram Panchayat-level data.

Effectively, this means that the 14 per cent villages that don't have schools might have one in a neighbouring village. This also implies that access to school education may not be as difficult.

The National Sample Survey Office (NSSO)'s 2014 data said 94 per cent households in rural areas reported availability of primary school within 1 km from the house.

The NSSO data said it was the availability of higher levels of school that remained low in rural areas, a fact further corroborated by the current Rural Development Ministry data.

The government of India's flagship Sarva Shiksha Abhiyan aims at the universalisation of elementary education ""in a time bound manner"", as mandated by the Indian Constitution that calls for free and compulsory education to children in the 6-14 year age bracket.

Also read: 20 lakh seats reserved in private schools for poor children but only 20% get filled"
"6","1029479779","2018-12-30","http://www.easternmirrornagaland.com/education-essential-vital-for-dev-of-the-state-manipur-minister/","Education essential, vital for dev. of the state -- Manipur minister","easternmirrornagaland.com",FALSE,"Thounaojam Shyamkumar addressing the inaugural programme of the Nongbrang Primary School on Sunday.

Imphal, Dec. 30 (EMN): Education is essential and vital for the development of the state therefore focus should be given at imparting education to the students at the grassroots level, said Thounaojam Shyamkumar,

Forest & Environment, Horticulture & Soil Conservation, Municipal Administration, Housing & Urban Development and Town Planning minister was addressing the inauguration programme of the new building of Nongbrang Primary School on Sunday.

The school was constructed under the joint funding of the Sarva Shiksha Abhiyan and MLA Local Area Development Fund.

The minister urged the local residents to get their children admitted to the school. To generate more income, the minister advised the community of Nongbrang to utilise their paddy fields after the harvest by planting vegetables and other crops.

In an another development, the minister also inaugurated a rural market shed constructed under the central scheme Mission for Integrated Development of Horticulture (MIDH) by the Horticulture and Soil Conservation department at Kongpal Kongkham Leikai in Imphal East district on the same day.

Opening the new market shed, Shyamkumar appealed the residents to maintain cleanliness and to preserve the environment besides conserving the local pond located near the market.

Hoping that the rural market shed will help the women of the area to generate income, the minister announced that another market shed will be constructed to accommodate the women vendors who have been shifted from in and around the Jawaharlal Nehru Institute of Medical Sciences at Porompat area in Imphal East.

He further assured the people of the area that the pond located near the rural market shed at Kongpal Kongkham Leikai will be protected and cleaned under the scheme of the Environment Directorate."
"7","1029276416","2018-12-30","https://timesofindia.indiatimes.com/city/bengaluru/teachers-fail-to-check-child-marriages/articleshow/67305352.cms","'Teachers fail to check child marriages' - Times of India","The Times of India",FALSE,"BENGALURU: Child rights activists on Saturday alleged that a few government schoolteachers are neglecting their duty of informing their superiors about absenteeism among girl students, who they fear are potential child brides.

At an interactive session organised by Karnataka State Commission for Protection of Child Rights (KSCPCR), activists said their visits to multiple schools revealed that teachers, who are among the first to get clues about girls being pushed into marriage, are not doing the needful to prevent it.

Representatives from NGOs said several teachers were not marking girls present or absent in the attendance registry o reduce their own work of following up on girls who keep missing school.

""The y are using dots against their names instead of saying whether they are present or absent. Teachers don't want to pursue the matter with higher authorities, write letters or even alert the child welfare committee,"" an activist said.

Representatives from multiple districts attended the session, which also had some government officials.

Nagendra Madhyastha, director, Sarva Shiksha Abhiyan, education department, said he'll bring this to the notice of higher authorities. Vasudeva Sharma, executive director, Child Rights Trust, said the government must run the child marriage prevention helpline 24/7. At present, it works only from 10am to 5pm.

The event that aimed at communicating with representatives from many departments -- child marriage protection officers -- witnessed a poor response, with only a few officials turning up."
"8","1028651721","2018-12-29","https://timesofindia.indiatimes.com/city/chennai/tamil-nadu-firm-on-merging-schools-that-have-25-students-or-less/articleshow/67295927.cms","Tamil Nadu firm on 'merging' schools that have 25 students or less - Times of India","The Times of India",FALSE,"CHENNAI: After twice denying TOI reports that it was planning to 'merge' low-enrolment government schools, the state school education department recently sought a list of such schools from district-level officials.

As a step towards 'merger', all chief educational officers have been instructed to send the list of such elementary and high schools located within or near higher secondary schools. ""The department is collecting the data now so that action can be initiated next academic year. After merging, the school buildings will be converted into libraries or adult learning centres,"" said an officer, requesting anonymity.

Friday was set as the deadline to submit the list, according to a letter sent to all officers on December 17, days after they met in Chennai.

Sources said a government order had been issued in this connection but the officers were instructed not to act upon it till the next academic year. ""However, we have been instructed to increase the students' strength in the meanwhile,"" said one of the officers who attended the meet.

Tamil Nadu had earlier informed the Centre that it had taken an initiative to merge 1,053 government schools. Also, funds for another 1,950 schools with less than 15 students each were stopped recently.

This move was adopted so that Tamil Nadu adhered to Samagara Shisksha Abhiyan's (SSA) guidelines. SSA was formed recently by merging erstwhile schemes -- Sarva Shiksha Abhiyan (Class I-VIII) and Rashtriya Madhyamik Shiksha Abhiyan (Class IX-XII).

Under the new guidelines, government schools with less than 15 students are not eligible to receive the composite school grant, ranging from ?25,000 to ?1,00,000 depending on student strength.

Composite grants were used by schools to improve infrastructure, maintain toilets, buy material to develop students' reading skills and carry out other development activities.

Of the 31,200 government schools, nearly 3,000 institutions that come under various municipalities or are run by departments such as Adi Dravidar, Kallar Reclamation, forest and social welfare have a strength of less than 25 students, shows official data.

So, only ?89.6 crore was released as composite grants for schools in TN this year despite ?97.18 crore being earmarked. Condemning this, educationist Prince Gajendra Babu said the governments were systematically destroying state-funded schools by denying funds and it was unfair to expect parents to admit their children in these schools without adequate teaching staff or facilities."
"9","1026757848","2018-12-26","http://www.newindianexpress.com/states/andhra-pradesh/2018/dec/26/pil-in-hc-against-govts-ssa-job-plan-1916526.html","PIL in Hyderabad High Court against government's SSA job plan","The New Indian Express",FALSE,"HYDERABAD: A division bench of the Hyderabad High Court has issued notices to AP government for filing detailed counter affidavit in the PIL filed against entrusting the work to manpower supply agencies to fill various posts in Sarva Shiksha Abhiyan on outsourcing basis.

The bench was passing this order recently while considering the PIL filed by V Prasada Rao, social activist, challenging the memo issued by special chief secretary to school education on September 4 this year."
"10","1026749379","2018-12-26","http://www.newindianexpress.com/states/odisha/2018/dec/26/state-bjp-pays-rich-tribute-to-vajpayee-1916661.html","Odisha BJP pays rich tribute to Vajpayee","The New Indian Express",FALSE,"BHUBANESWAR: The State unit of BJP paid rich tributes to former Prime Minister Atal Bihari Vajpayee on his 94th birth anniversary on Tuesday. At a function organised by BJP's cultural wing, Union Minister for Petroleum and Natural Gas Dharmendra Pradhan recalled the former PM's contribution towards Odisha. A man of vision and eloquence, Atalji's commitment to India's development and upholding democratic values was unparalleled, he said.

""It was Atalji's vision for development in Odisha which made him lay the foundation stone for Paradip Refinery. Today, the refinery has become an epitome of success for Odisha and also for the nation. This has helped generate revenue, employment opportunities and industrial growth in the State,"" Pradhan said.

Odisha will always remain indebted to Vajpayee for the All India Institute of Medical Science (AIIMS), Bhubaneswar and Pradhan Mantri Gram Sadak Yojana which paved the way for development in rural areas. Vajpayee's birthday, which is being observed as Good Governance Day, befits such a towering personality who always strove to provide people with a life of dignity, he said.

""Envisioning pucca roads for all through Gram Sadak Yojana, inclusive development of tribals and Sarva Shiksha Abhiyan to provide free and compulsory education to children were some of the major steps taken by Atalji who sowed the seeds of good governance in our democracy,"" Pradhan tweeted.

Addressing a function at Atal Bihari Vajpayee Research Institute in the City, the Union Minister urged students to come forward and pledge to build a New Odisha to further fulfil the goal of a New India as envisioned by Prime Minister Narendra Modi."
