"","ID","date","url","title","source","duplicate","body"
"1","1030712227","2019-01-01","http://mydigitalfc.com/miscellany/gujarat-asks-students-answer-roll-call-%E2%80%98jai-hind-or-%E2%80%98jai-bharat%E2%80%99","Gujarat asks students to answer roll call with 'Jai Hind' or 'Jai Bharat'","mydigitalfc.com",FALSE,"The BJP government in Gujarat has asked schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of customary 'Yes Sir', which it feels will instill ""a feeling of patriotism"".

The move has drawn flak from opposition parties that said the government should rather work towards improving the ""deteriorating quality of education"".

As per notifications issued on Monday (December 31) by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", the notifications stated.

Defending the move, Gujarat education minister Bhupendrasinh Chudasama said on Tuesday that the government should be open to accepting ""good suggestions"". ""'Jai Bharat' and 'Jai Hind' are much better than 'Yes Sir'. Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the change,"" he told reporters.

The minister said schools affiliated to the CBSE and other boards have also been asked to follow the new guidelines. ""Even local private schools have said that this is a good decision of the state government,"" he claimed.

Criticising the Gujarat government, state Congress unit president Amit Chavda said the new practice ""will not change the quality of education"" in the government and affiliated schools.

""The BJP government has made several efforts to instill patriotism among school students. Altering a certain practice will not improve the standard of education,"" he said.

Chavda alleged that the quality of primary education is going down in Gujarat. ""The quality is even worse than many other under-developed states,"" he said.

""The standard of primary education in Gujarat has gone down significantly over the last several years. The BJP government engages only in talks and programmes in the name of improving quality,"" the Congress leader alleged.

He asked the Gujarat government to focus on improving school infrastructure, recruiting teachers to fill huge backlog of vacancies and ""not forcing teachers to do non-teaching jobs for the government""."
"4","1030531347","2019-01-01","https://timesofindia.indiatimes.com/india/gujarat-govts-jai-hind-roll-call-sparks-political-row-opposition-says-improve-edu-quality-instead/articleshow/67337545.cms","Gujarat govt's 'Jai Hind' roll call sparks political row; Opposition says improve edu quality instead - Times of India","The Times of India",FALSE,"AHMEDABAD: A political row broke out on Tuesday over the Gujarat government's directive to schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of the customary 'Yes Sir'.

The opposition Congress as well as Patidar leader Hardik Patel slammed the move and instead asked the BJP government to improve what they said was the ""deteriorating quality of education"".

But state Education Minister Bhupendrasinh Chudasama defended the directive, saying it will instill ""a feeling of patriotism"" among students.

As per the notifications issued on December 31 by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", the notifications stated.

The state Congress unit president Amit Chavda said the new practice ""will not change the quality of education"" in the government and affiliated schools.

""The BJP government has made several efforts to instill patriotism among school students. Altering a certain practice will not improve the standard of education,"" he said.

Chavda alleged that the quality of primary education is going down in Gujarat.

""The quality is even worse than many other under-developed states,"" he said.

""The standard of primary eduction in Gujarat has gone down significantly over the last several years. The BJP government engages only in talks and programmes in the name of improving quality,"" the Congress leader alleged.

He asked the Gujarat government to focus on improving school infrastructure, recruiting teachers to fill huge backlog of vacancies and ""not forcing"" teachers to do non-teaching jobs for the government.

Hardik Patel said the children and the youth of Gujarat should not be forced to express their patriotism, ""as that feeling runs in their blood"".

He said the government should prioritise improving the ""significantly deteriorating"" quality of education in the state.

""Instead of improving the quality of education, the education minister is talking about teaching patriotism to Gujarat's youth and children.

""The minister should know that everybody here is born with the feeling of patriotism,"" Patel said.

Nobody has the right to force anybody to say something he/she dislikes, he added

""This is an attempt to deflect from the real issues. Schools are getting closed. Shortage of teachers is also an important issue,"" Patel added.

Education Minister Chudasama said the government should be open to accepting ""good suggestions"".

""'Jai Bharat' and 'Jai Hind' are much better than 'Yes Sir'"".

""Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the change,"" he told reporters.

The minister said schools affiliated to the CBSE and other boards have also been asked to follow the new guidelines.

""Even local private schools have said that this is a good decision of the state government,"" he claimed.

As rival parties engaged in a slugfest, some students appeared to have no issue with the new directive.

""The concept (of saying 'Jai Hind' or 'Jai Bharat') is very good. Being an Indian, saying 'Jai Bharat' fills us with a sense of pride for our great country. It reminds me of the glorious history of our country's struggle for Independence,"" said a student of a local school.

""We are proud of our country's struggle for freedom. The concept is very good and should be accepted by all the schools in the country,"" said another student of a private school."
"5","1030528645","2019-01-01","https://www.business-standard.com/article/pti-stories/guj-govt-in-dock-over-jai-hind-roll-call-opp-asks-it-improve-edu-quality-119010100633_1.html","Guj govt in dock over 'Jai Hind' roll call; Opp asks it improve edu quality","Business Standard",FALSE,"Rajasthan: Congress maintains strong lead, in talks with independents

The BJP-led Gujarat government has come under fire for asking schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of the customary 'Yes Sir', with the Opposition arguing the move will ""not change the quality of education"".

According to a notification issued on Monday by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to the attendance call with

'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", it said.

Chavda said the BJP government had made several efforts to instill patriotism among school students.

""Altering a certain practice will not improve the standard of education,"" he said.

The Congress leader alleged that the quality of primary education was going down in Gujarat.

""The quality is even worse than many other under-developed states. The standard of primary eduction in Gujarat has gone down significantly over the last several years. The BJP government only engages in talks and programmes in the name of improving quality,"" he said.

Chavda asked the state government to rather focus on improving school infrastructure, recruiting teachers to fill the huge backlog of vacancies and ""not forcing teachers to do non-teaching jobs for the government"".

Patidar leader Hardik Patel said, ""The children and youth of Gujarat should not be forced to express their patriotism, as that feeling runs in their blood"".

He said the government should prioritise improving the ""significantly deteriorated"" quality of education in the state.

""Instead of improving the quality of education, the education minister is talking about teaching patriotism to Gujarat's youth and children. He should know that everybody here is born with the feeling of patriotism,"" Patel said.

""This is an attempt to deflect from the right issues. Schools are getting closed. Shortage of teachers is also an important issue,"" the Patidar leader added.

Even as the BJP and opposition parties engage in a verbal duel over the propriety of the move, students PTI spoke with seemed to have no issues with the new directive.

""The concept (of saying 'Jai Hind' or 'Jai Bharat') is very good. Being an Indian, saying 'Jai Bharat' fills us with a sense of pride for our great country. It reminds me of the glorious history of our country's struggle for Independence,"" a student said.

""We are proud of our country's struggle for freedom. The concept is very good and should be accepted by all the schools in the country,"" said another student of a private school.

Meanwhile, the state education minister said the government should be open to accepting ""good suggestions"".

""Jai Bharat and Jai Hind are much better than 'Yes Sir'. Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the changes,"" he told reporters.

Chudasama said schools affiliated to CBSE and other boards have also been asked to follow the new guidelines.

""Even local private schools have agreed that it is a good decision (of the state government),"" he added.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"6","1030528600","2019-01-01","https://www.business-standard.com/article/pti-stories/guj-govt-s-jai-hind-roll-call-sparks-political-row-oppn-says-improve-edu-quality-instead-119010100686_1.html","Guj govt's 'Jai Hind' roll call sparks political row; Oppn says improve edu quality instead","Business Standard",FALSE,"School children in Gujarat to say 'Jai Hind' to mark attendance

A political row broke out on Tuesday over the Gujarat government's directive to schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of the customary 'Yes Sir'.

As per the notifications issued on December 31 by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", the notifications stated.

The state Congress unit president Amit Chavda said the new practice ""will not change the quality of education"" in the government and affiliated schools.

""The BJP government has made several efforts to instill patriotism among school students. Altering a certain practice will not improve the standard of education,"" he said.

Chavda alleged that the quality of primary education is going down in Gujarat.

""The quality is even worse than many other under-developed states,"" he said.

""The standard of primary eduction in Gujarat has gone down significantly over the last several years. The BJP government engages only in talks and programmes in the name of improving quality,"" the Congress leader alleged.

He asked the Gujarat government to focus on improving school infrastructure, recruiting teachers to fill huge backlog of vacancies and ""not forcing"" teachers to do non-teaching jobs for the government.

Hardik Patel said the children and the youth of Gujarat should not be forced to express their patriotism, ""as that feeling runs in their blood"".

He said the government should prioritise improving the ""significantly deteriorating"" quality of education in the state.

Nobody has the right to force anybody to say something he/she dislikes, he added

""This is an attempt to deflect from the real issues. Schools are getting closed. Shortage of teachers is also an important issue,"" Patel added.

Education Minister Chudasama said the government should be open to accepting ""good suggestions"".

""'Jai Bharat' and 'Jai Hind' are much better than 'Yes Sir'"".

""Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the change,"" he told reporters.

The minister said schools affiliated to the CBSE and other boards have also been asked to follow the new guidelines.

""Even local private schools have said that this is a good decision of the state government,"" he claimed.

As rival parties engaged in a slugfest, some students appeared to have no issue with the new directive.

""The concept (of saying 'Jai Hind' or 'Jai Bharat') is very good. Being an Indian, saying 'Jai Bharat' fills us with a sense of pride for our great country. It reminds me of the glorious history of our country's struggle for Independence,"" said a student of a local school.

""We are proud of our country's struggle for freedom. The concept is very good and should be accepted by all the schools in the country,"" said another student of a private school.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"8","1030514151","2019-01-01","https://www.deccanchronicle.com/nation/current-affairs/010119/school-students-to-answer-roll-all-with-jai-hind-gujarat-directive.html","School students to answer roll all with 'Jai Hind': Gujarat govt issues directive","Deccan Chronicle",FALSE,"Ahmedabad: The BJP-led Gujarat government has come under fire for asking schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of the customary 'Yes Sir', with the Opposition arguing the move will ""not change the quality of education"".

While state Education Minister Bhupendrasinh Chudasama on Tuesday said the step would ""instill a feeling of patriotism"", the opposition Congress asked the government to improve the ""deteriorating quality of education"".

Criticising the state government, Gujarat Congress unit president Amit Chavda said the new practice will not change the quality of education in state-run and affiliated schools.

According to a notification issued on Monday by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to the attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1. The objective of the new practice is to ""foster patriotism among students right from childhood"", it said.

Chavda said the BJP government had made several efforts to instill patriotism among school students. ""Altering a certain practice will not improve the standard of education,"" he said.

The Congress leader alleged that the quality of primary education was going down in Gujarat. ""The quality is even worse than many other under-developed states. The standard of primary education in Gujarat has gone down significantly over the last several years. The BJP government only engages in talks and programmes in the name of improving quality,"" he said.

Chavda asked the state government to rather focus on improving school infrastructure, recruiting teachers to fill the huge backlog of vacancies and ""not forcing teachers to do non-teaching jobs for the government"".

Patidar leader Hardik Patel said, ""The children and youth of Gujarat should not be forced to express their patriotism, as that feeling runs in their blood"". He said the government should prioritise improving the ""significantly deteriorated"" quality of education in the state.

""Instead of improving the quality of education, the education minister is talking about teaching patriotism to Gujarat's youth and children. He should know that everybody here is born with the feeling of patriotism,"" Patel said.

""This is an attempt to deflect from the right issues. Schools are getting closed. Shortage of teachers is also an important issue,"" the Patidar leader added.

Even as the BJP and opposition parties engage in a verbal duel over the propriety of the move, students news agency PTI spoke with seemed to have no issues with the new directive.

""The concept (of saying 'Jai Hind' or 'Jai Bharat') is very good. Being an Indian, saying 'Jai Bharat' fills us with a sense of pride for our great country. It reminds me of the glorious history of our country's struggle for Independence,"" a student said.

""We are proud of our country's struggle for freedom. The concept is very good and should be accepted by all the schools in the country,"" said another student of a private school.

Meanwhile, the state education minister said the government should be open to accepting ""good suggestions"". ""Jai Bharat and Jai Hind are much better than 'Yes Sir'. Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the changes,"" he told reporters.

Chudasama said schools affiliated to CBSE and other boards have also been asked to follow the new guidelines. ""Even local private schools have agreed that it is a good decision (of the state government),"" he added."
"9","1030454433","2019-01-01","https://www.business-standard.com/article/pti-stories/gujarat-govt-directs-students-to-answer-roll-call-with-jai-hind-or-jai-bharat-119010100472_1.html","Gujarat govt directs students to answer roll call with 'Jai Hind' or 'Jai Bharat'","Business Standard",FALSE,"BJP trying to polarise, divert attention from real issues: Cong

The BJP government in Gujarat has asked schools to ensure that students respond with 'Jai Hind' or 'Jai Bharat' during roll call instead of customary 'Yes Sir', which it feels will instill ""a feeling of patriotism"".

The move has drawn flak from opposition parties which said the government should rather work towards improving the ""deteriorating quality of education"".

As per notifications issued Monday (December 31) by the Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of class 1-12 of the government, grant-in-aid and self-financed schools will have to respond to attendance call with 'Jai Hind' or 'Jai Bharat', starting January 1.

The objective of the new practice is to ""foster patriotism among students right from childhood"", the notifications stated.

Defending the move, Gujarat Education Minister Bhupendrasinh Chudasama said Tuesday that the government should be open to accepting ""good suggestions"".

""'Jai Bharat' and 'Jai Hind' are much better than 'Yes Sir'. Saying 'Jai Hind' or 'Jai Bharat' creates a feeling of patriotism, which is why I have decided to make the change,"" he told reporters.

The minister said schools affiliated to the CBSE and other boards have also been asked to follow the new guidelines.

""Even local private schools have said that this is a good decision of the state government,"" he claimed.

Criticising the Gujarat government, state Congress unit president Amit Chavda said the new practice ""will not change the quality of education"" in the government and affiliated schools.

""The BJP government has made several efforts to instill patriotism among school students. Altering a certain practice will not improve the standard of education,"" he said.

Chavda alleged that the quality of primary education is going down in Gujarat. ""The quality is even worse than many other under-developed states,"" he said.

""The standard of primary eduction in Gujarat has gone down significantly over the last several years. The BJP government engages only in talks and programmes in the name of improving quality,"" the Congress leader alleged.

He asked the Gujarat government to focus on improving school infrastructure, recruiting teachers to fill huge backlog of vacancies and ""not forcing teachers to do non-teaching jobs for the government"".

Patidar leader Hardik Patel said the children and youths of Gujarat should not be forced to express their patriotism, ""as that feeling runs in their blood"".

He said the government should prioritise improving the ""significantly deteriorated"" quality of education in the state.

""Instead of improving the quality of education, the education minister is talking about teaching patriotism to Gujarat's youth and children. He should know that everybody here is born with the feeling of patriotism,"" Hardik Patel said.

Nobody has the right to force anybody to say something he/she dislikes, he said.

""This is an attempt to deflect from the right issue. Schools are getting closed. Shortage of teachers is also an important issue,"" Hardik Patel said.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"10","b-1030452008","2019-01-01","http://gaysifamily.com/2019/01/01/2018-an-year-in-queer-review/","2018: An Year in Queer Review - Gaysi","Gaysi",FALSE,"The year has not been completely bereft of its share of homophobia as well. From a Kolkata girls' school accusing ten of its students of 'indulging in lesbianism', to Kamaal R Khan making homophobic and transphobic comments on his Youtube channel, to the death of Sridevi, a desi queer icon for most of us Bollywood loving gaysis, 2018 has not been an year of complete euphoria.

2018 has been a mixed bag in terms of our constitution and its laws. While same-sex relationships have finally been decriminalized thanks to Section 377 of the Indian Penal Code being partially struck down, it has been bad for the Indian trans community due to the recent passing of the Transgender Persons Protection of Rights Bill a couple of days back. It has been a long time fighting for Indian gay and lesbian relationships since the reinstating of Section 377 in 2013, and countless petitions by LGBTQ individuals, organizations, and allies against the judgement helped the archaic law to be overturned.

The Transgender Persons Protection of Rights Bill is a huge step back. According to this bill, an Indian trans individual will be required to have an ID, with a thorough 'screening' process on various governmental levels that will certify whether they are trans or not (I find myself shaking my head at this), and sex reassignment surgery (SRS) will be mandatory for all trans individuals. While SRS is a costly procedure in itself, many trans and other gender non-conforming individuals have their own reasons not to undergo the surgery since it is an extremely personal, biological decision. The bill conveniently also does not say anything about creating education and job opportunities for trans Indians, but ironically, criminalizes begging for the community (it is interesting to note that the Indian constitution currently does not criminalize begging under any other law). Also, this bill also enforces that trans individuals get themselves admitted into government approved lodging and rehabilitation institutions, which may be extremely regressive, given that a lot of trans folks are forced to leave their homes in order to escape the abuse meted out to them by family and friends.

On the non-governmental front, however, things seem to be looking up for the trans community in the light of the recent governmental law changes. Godrej India Culture Lab has put out A Manifesto for Trans Inclusion in the Indian Workplace, in association with the Keshav Suri Foundation, Humsafar Trust, Periferry, TWEET Foundation, and Community Business. This could ensure some amount of accountability and safety for the Indian trans people in employment at private organizations. In February, the VLCC Institute announced a free ""Assistant Beauty Therapist"" training course for transgender individuals at its Hyderabad branch out of which over two dozen people have already completed the course. In July, Uber Eats -- the global ride-sharing company's online food delivery subsidiary - hired India's first transgender delivery agent in Chennai. In Kolkata, the Medica Superspecialty Hospital (part of the largest chain of hospitals in eastern India) hired two transgender operating theatre technicians on a six month internship. With such big names taking steps to integrate trans-inclusive policies in recent times, it looks like India Inc is finally waking up to the benefits of diversity and trans-inclusion.

The year has not been completely bereft of its share of homophobia as well. From a Kolkata girls' school accusing ten of its students of 'indulging in lesbianism', to Kamaal R Khan making homophobic and transphobic comments on his Youtube channel, to the death of Sridevi, a desi queer icon for most of us Bollywood loving gaysis, 2018 has not been an year of complete euphoria. However, we have had our small wins compared to our small losses as well. Akkai Padmashali, transwoman and activist, officially registered her marriage with Vasudev V, earlier this year in January, making the union to be the first officially recognized trans marriage. Earlier this year, Prince Manvendra Singh Gohil opened the doors of his palace for ostracized LGBTQ folks seeking home and protection. Many cities such as Jamshedpur and Bhubaneshwar had their first Pride march this year, with previous cities and editions recapping as well. Pride march attendance witnessed a massive increase post the striking down of Section 377, with many queer individuals coming out onto the streets for the first time to celebrate the verdict. Online dating for queer individuals has evolved, with the Delta app, India's first homegrown LGBTQ dating app dropping into the market, as well as Tinder upping their game by adding 23 new categories in the self gender identification, which previously only had male and female in its options.

When it comes to our media, we just received a first look of what may possibly be the first mainstream Bollywood major release (after Fire) with a lesbian couple at its centre, Ek Ladki Ko Dekha Toh Aisa Laga, with Sonam Kapoor playing one of the leads! From the first look of the trailer, it seems to be made with a good and seasoned cast, and what really appeals to me is that the story seems to be set in small town Punjab, which as we all are used to seeing as a hotbed for toxic masculinity and ingrained misogyny in our Bollywood films. Here's to hoping the best for this film! We got our first look at Lihaaf, starring Tannishtha Chatterjee, the cinematic adaptation of the famous lesbian short story by Ismat Chughtai at the India Pavillion at Cannes Film Festival 2018 in May. Apart from this, we also have numerous web series streaming that showcase LGBTQ characters, one of the most recent ones being Selection Day by Netflix, which explores these themes. Priyanka Chopra starred in the Hollywood film A Kid Like Jake, which shows a young child being encouraged by their parents and teachers to explore their non-binary inclinations, among the many international releases this year.

Here's to 10 years of Gaysi, and many more in the years to come. Here's to hoping that 2019 has a better take on our laws, with more inclusion in Bollywood and Indian media beyond, with lesser hate crimes on gaysis. I, for one, would like to see more queer collectives grow and bloom in colleges and other institutions, seeing how the IIT queer collective, Pravriti, had such a pivotal role in the decriminalization of Section 377 this year. Now that some laws have changed, and some more need to be changed, let's hope for sensitization towards the LGBTQ community on a grassroots level from the new year onwards."
"11","1030301520","2019-01-01","http://zeenews.india.com/gujarat/in-gujarat-school-students-to-shoutout-jai-hind-jai-bharat-during-roll-call-from-january-1-2167176.html","In Gujarat, school students to shoutout 'Jai Hind, 'Jai Bharat' during roll call from January 1","Zee News",FALSE,"Ahmedabad: School children in Gujarat will holler ""Jai Hind"" and ""Jai Bharat"" instead of customary ""Present"" during the daily roll call to register attendance from January 1, 2019.

According to a notification by Directorate of Primary Education and Gujarat Secondary and Higher Secondary Education Board (GSHSEB), students of Classes 1 to 12 in government, grant-in-aid and self-financed schools will have to respond to the attendance call with ""Jai Hind"" or ""Jai Bharat,"" starting January 1. All teachers and education officers have been directed to make sure that the new direction is followed in every school across the state.

The decision was taken by Gujarat Education Minister Bhupendrasinh Chudasama during a review meeting held on Monday.

The new directive has been introduced to ""foster patriotism among students right from childhood.""

Copies of the notification were sent to the district education officials with instructions to implement it from January 1.

The Gujarat Education Minister could not be contacted for comment despite repeated attempts, reports new agency PTI."
"12","1030098831","2018-12-31","https://timesofindia.indiatimes.com/city/nashik/nashik-app-to-record-teachers-attendance-and-leaves/articleshow/67327507.cms","Nashik: App to record teachers' attendance and leaves - Times of India","The Times of India",FALSE,"NASHIK: In order to bring out more transparency, the civic administration is in the process of developing an App to record attendance and leave of teachers working in Nashik Municipal Schools.

At present the headmistress/headmaster sanctions the leave that is applied by a teacher and it has been observed that many times there are irregularities particularly in case of casual leaves. From next year teachers will have to mark their attendance on the App and will also have to apply for leave here. NMC administration will be able to see all the records and keep a check on it.

""Teachers will have to download the App and mark the attendance on it. They are not required to sign on the muster. This will ensure transparency and will keep a record of the date and exact timing in the attendance of the teacher,"" said an NMC official.

He said that in case of leave applications as well many discrepancies have been found and at times the headmistresses/headmasters do not bother much with the leaves applied by the teachers and sanctions it.

""Irregularities have been observed specifically with respect to casual leaves,"" said the officer, adding, ""Teachers apply manually for the leave to the headmistress/headmaster and at times the latter does not have the time to check if there are any irregularities in it. Sometimes, the teacher continues with the leave.""

The civic administration is in the process of developing the App and by next academic year it is expected that the App will be ready for use.

""We are working on the App along with digitalising all our schools,"" said municipal commissioner Radhakrishna Game.

Some time back, the state government had directed that selfie-attendance for students should be made compulsory but it did not materialise and the government later scrapped it. The selfie-attendance was meant for knowing about the exact strength of the students, record of absenteeism and drop-outs. The NMC is, however, keen on having the App for teachers' attendance and leave."
"13","1029707764","2018-12-31","https://timesofindia.indiatimes.com/city/delhi/happy-times-new-curriculum-brings-cheer-at-schools/articleshow/67315481.cms","Happy times: New curriculum brings cheer at schools - Times of India","The Times of India",FALSE,"NEW DELHI: With the AAP government allocating 26% of the Delhi budget for education in 2018 too, school education remained in the public discourse. Among the many schemes and interventions like starting of English-medium 'schools of excellence' and teaching English courses, what really caught attention was the 'happiness curriculum'.

The curriculum was really a class for students from Nursery to Class VIII studying in Delhi government schools in which they were taught to concentrate and were taught values so that they could have holistic growth. Prepared after rigorous deliberations for six months by a team of teachers from Delhi government schools, principals of District Institute of Education and Training (DIET), members from different NGOs and officials of DoE, it was launched in July by the Dalai Lama.

Without books or tests, it was a joyful exercise of 45 minutes for the children. But teachers had to periodically assess the progress of the children. Teachers of all 1,100 government schools were trained in the course. But so far, the impact of the course is merely anecdotal -- from better attendance to increasing confidence among students.

For the teachers, the curriculum meant a new addition to their paperwork and another change in routine. School principals had a different take on this. ""How well this curriculum works depends on the teachers and the freedom s/he is given to teach. But in government schools, teachers have constraints in terms of having a model class ratio and abiding by rule books set by the government,"" said a principal of a south Delhi school.

The Delhi government saw the happiness curriculum as a step in imparting quality education. The other step was Mission Buniyaad.

It was an extension of the earlier Chunauti scheme, but included even corporation schools. Run during summer vacation, the government claimed to have improved learning levels of more children by dividing them into groups of those who could read texts and those who could not. Corporation schools, though, struggled to get their students attend it.

Education experts expressed reservations about segregating children into groups.

The other red mark was examination results. The performance of government schools in CBSE Class X exams didn't impress even though the government introduced several interventions.

The coming year would put the government's efforts to the test."
