"","ID","date","url","title","source","duplicate","body"
"1","1030221316","2018-12-31","https://timesofindia.indiatimes.com/city/rajkot/bodies-of-two-boys-recovered-from-sea/articleshow/67329874.cms","Bodies of two boys recovered from sea - Times of India","The Times of India",FALSE,"Rajkot: The bodies of two teenage boys, who had drowned while bathing in the sea at Nagoa beach in Diu, were recovered on Sunday and Monday.

According to police, the victims, identified as Ajay Koradia (15) and Prit Rathod (16), both residents of Railnagar in Rajkot, had come to Diu on a picnic with their schoolmates.

""The picnic comprising of 105 students of Jawahar Shishuvihar Vidyalaya had come to Diu on Friday. Koradia and Rathod along with some of their schoolmates had gone into the sea at Nagoa beach. While the other boys were bathing in shallow water, Koradia and Rathod went into deep water. They were carried away by strong currents of giant waves and drowned as they did not know how to swim,"" said an official from police outpost at Nagoa beach.

While Koradia's body was recovered from the sea during the search operation carried out by Diu fire brigade officials on Sunday, Rathod's body drifted ashore on Monday.

Meanwhile, the authorities of Jawahar Shishuvihar Vidyalaya suspended its principal Gita Kalawadia and three teachers -- M V Naiya, J M Bhorania and G V Goswami -- for negligence in duty that resulted in the tragedy."
"2","1029495330","2018-12-30","https://www.business-standard.com/article/pti-stories/daribhit-incident-di-s-suspension-withdrawn-118123000597_1.html","Daribhit incident: DI's suspension withdrawn","Business Standard",FALSE,"The West Bengal government has withdrawn the suspension of District Inspector of Schools (DI) of North Dinajpur and posted him at the headquarters of the School Education Department, an official said Sunday.

The DI was suspended following the death of two youths in a clash between the police and a mob in front of Daribhit High School in North Dinajpur on September 20.

A department official said on Sunday,

The suspension was withdrawn on Thursday and Mondal was given posting at Bikash Bhavan, the headquarters of the School Education Department here.

Mondal had been suspended after the deaths of Tapas Barman and Rajesh Sarkar, two former students of the high school, during the clash over appointment of two teachers of Urdu and Sanskrit, which was resented by students of the school as they wanted English teachers.

At a press meet after the incident, Education Minister Partha Chatterjee had said the DI was being suspended with immediate effect as he failed to understand the gravity of the situation beforehand and could not communicate to the higher authorities about the urgency in recruitment of English teachers in the school.

Mondal had, however, pleaded innocence saying the appointment of teachers was done by the school education department and not him.

The official said Mondal had replied to the showcause notice issued to him after suspension and after considering all factors, the suspension was withdrawn.

He will join the new office in January.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"3","1029387803","2018-12-30","https://timesofindia.indiatimes.com/city/hyderabad/action-likely-against-878-govt-teachers-with-fake-degrees/articleshow/67307265.cms","Action likely against 878 govt teachers with fake degrees - Times of India","The Times of India",FALSE,"HYDERABAD: The Forum for Good Governance approached the Governor ESL Narasimhan on Saturday seeking speedy enquiry in appointment and promotion of 878 teachers who secured jobs in government schools by submitting ""fake"" degrees and certificates in 2008-09.

According to a representation submitted by the forum, members stated that although the case was transferred to the CBCID in 2013, action against the teachers is still pending. While the CID had sought clarification from the University Grants Commission to ascertain competence of certificates submitted by the teachers, officials from the forum have termed it a ""clear case of cheating and forgery.""

""The persons involved should have been suspended and criminal prosecution launched but no such action was initiated. After 10 years of the commission of offence, the director of school education says that the reports from the DEO (district education officer) are awaited an the CID says that they are awaiting clarification from UGC,"" explained the forum in it's representation.

The forum suspects that the school education department has not initiated any action against the teachers as it is under pressure from various unions.

With no action taken against the teachers, officials suspect that many of them may still be in-service. ""While many of them who obtained such bogus certificates for promotions may have retired in the last 10 years. However, those who procured such fake certificates to secure jobs in government schools may still be working. It is a worrying factor as the quality of teaching that they impart may be poor,"" said M Padmanabh Reddy, secretary of the forum.

An RTI appeal by a citybased civil society had revealed that of the 878 teachers and headmasters, working in government schools across the state, highest number of teachers i.e. 345 with fake degrees hail from Medak. In some cases, the teachers even produced certificates of nonexistent courses from distance universities.

Officials said that most certificates submitted by the teachers were of bachelor of education and master of arts (English literature) and forged by unscrupulous elements. Some teachers even got away with forging certificates of different Vidhyapeeths that are not competent to issue certificates."
"4","1029377527","2018-12-30","http://www.newindianexpress.com/states/telangana/2018/dec/30/high-time-guv-asked-to-expedite-fake-certificate-case-1918273.html","High time! Governor ESL Narasimhan asked to expedite fake certificate case","The New Indian Express",FALSE,"HYDERABAD: With no action taken on the decade-old case of 878 government school teachers submitting fake education qualification certificates, M Padmanabha Reddy, Secretary of Forum for Good Governance, wrote a letter to Governor ESL Narasimhan on Friday, urging him to instruct the investigating authorities to expedite the enquiry process and file the charge sheets.

Pointing out in his letter that these teachers who submitted the fake certificates are presently working in government schools, Reddy said the future of the students cannot be left in the hands of teachers who neither have the knowledge nor any moral values.

Pointing out the flaws in the ongoing investigation, Reddy said that the CID, since 2013, is yet to initiate any action due to lack of clarification from the UGC on the issue.

'Clear case of cheating'

Pointing out to the ridiculousness of the reasoning, as UGC is a body that deals with universities and not schools, Reddy said in his letter: ""It is not clear in what way the UGC comes into the picture in the criminal case of getting jobs with fake certificates. It is a clear case of cheating and forgery.

The persons involved should have been suspended and criminal prosecution launched."" Along with CID enquiring into the issue, the DSE had also ordered all District Education Officers to enquire against the 878 teachers. Years later the DSE still awaits reports on the issue and has not bothered to weed out the teachers who got jobs on the basis of fake certificates."
"5","1028831630","2018-12-29","http://www.newindianexpress.com/states/karnataka/2018/dec/29/wheels-of-change-1918013.html","Wheels of change","The New Indian Express",FALSE,"BENGALURU: They are the changemakers, the trailblazers who take the initiative to better society. TNIE encapsulates the efforts of a few individuals and groups who have changed lives. Silent and committed, they are heroes in their own right

BK Nandanoor: DDPI with a golden heart

A defunct government school at the remote Mallapur village in Raichur district in north Karnataka is now abuzz with activity, thanks to the efforts made by Deputy Director of Public Instruction (DDPI) B K Nandanoor. The school, which had shut its doors in August this year, started operating from December 18, and at least four children have resumed studies.Setting an example of a grassroots initiative, Nandanoor got the government school reopened after residents approached him.The school was shut after a teacher was suspended and the students dropped out, even though a new teacher was deputed. Nandanoor swung into action at once on December 17. Nandanoor says,""I read the admission list of the school and then set a target for visiting the students' houses. I visited all the houses.""

Karnataka High Court: Makeover moves for B'luru

Bengaluru's aesthetic beauty has been restored, city roads are free from potholes, and cleanliness has improved -- all thanks to the Karnataka High Court, which woke up BBMP from slumber. Acting on a batch of PILs, a division bench headed by Chief Justice Dinesh Maheshwari directed BBMP to preserve the city's visual appeal by removing illegal hoardings, flexes and banners. Due to this, new bye-laws are being evolved to regulate hoardings. BBMP officials even registered an FIR against Minister D K Shivakumar for not removing an unauthorised ad, despite being given time. Citizens also got relief from pothole-riddled roads and garbage piles in public areas. The court availed the assistance of Army engineers to check the quality of work done by BBMP.

Nanditha: The power of one student

Nanditha (11) gets the undivided attention of her teacher every day. The resident of Obenahalli in Kolar is the sole student in the Government Primary School. The school, which was shut down at the start of the year 2016-17 after most students left it for private institutions, was reopened on the insistence of Nanditha, her parents and well-wishers. Komala GK, Nanditha's teacher, recalled how her parents, who work as daily wage workers, came looking for her all the way to the new school where she was posted. ""I could see anger, fear and sadness in them. They asked me what their daughter should do with the school closed."" The government was forced to reopen the school at the start of the 2017-18 year and admit Nanditha. Now even when her teacher takes leave, another one is deputed.

Namma Thambis: Green warriors of Ulsoor Lake

On October 10 this year, over 1,000 Thambis of the Madras Sappers waded into the waters of Bengaluru's Ulsoor lake and fought a war against an invasion, and won it. The battle was against water hyacinth, a weed. Ulsoor lake, situated in the heart of the IT City,is also used by the Sappers for training. Tired of seeing their lifeline being suffocated owing to pollution, the Sappers took matter into their own hands. The soldiers,on boats, pulled out the waste using their bare hands. They also removed plastic waste, household rubbish and other garbage. At the end of the day, the Army also issued a wake-up call in their signature fashion, blunt and to the point: ""People should understand that it is not the business of the Army to become garbage cleaners.""

Ananya:Hero in the hills

Ananya Vasudev RM saved 15 families of Karike village in Kodagu district during this year's floods and subsequent landslides. Ananya Vasudev,an assistant lecturer of Geology at the National Institute of Technology, received a WhatsApp video from a friend which showed loud sound emanating from the ground. Ananya Vasudev asked his friend to send another video. After seeing the fresh video, he was sure the sound was due to soil piping and the area could see a landslide. Soil piping is a formation of voids within soil which causes internal erosion and seepage. He immediately spoke to Kodagu Deputy Commissioner Sreevidya who sent a team to the village and evacuated the families. As predicted by Ananya, the area saw a huge landslide a few hours later.

S B Vastradmath: Speedy justice his goal

Chitradurga district court judge S B Vastradmath has done his bit to ensure that the public reposes its faith in the judiciary by delivery of quick judgments. Recently, he was in new for sentencing a man who killed his wife to life imprisonment within 13 days of the crime. He pronounced another judgment within 11 days of the crime. In September, the judge delivered 153 judgments in 22 days without taking a day's leave. He has broken his own record of achieving 70 points in a single calender month, which was earlier set by him during his tenure as the Civil Judge (Jr division) at Molakalmuru. In the system to evaluate judges, a point is awarded for each judgment where the maximum is 70 points irrespective of the number of cases. Vastramath says awarding death penalty to 3 men accused of rape and torture of a woman in Kolar was his most memorable judgment.

Anita R:Lighting up cells

Inmates of Dharwad Central Jail have smiles on their faces now -- thanks to Jail Superintendent Anita R.Reason: She ensures that they, especially women, don't waste their time feeling guilty or unworthy. She has ensured that the inmates exhibit their talent and also earn some money when confined within the four walls of the jail. Each month, Anita comes up with unique programmes. From making diyas to undertaking a beautician's course to knitting winter wear, her ideas keep the inmates occupied. Men are sent to work in fields and run a vegetable shop within the Dharwad jail premises. They are taught baking too. Anita's measures have yielded results, with many inmates confessing that they have shown behavioural changes. Anita has more things planned for the inmates in 2019.

Ayub Ahmed: Dignified farewell mission

Meet Ayub Ahmed, who uses his own resources to shift unidentified and unclaimed bodies, and performs their last rites. This 38-year-old Mysuru resident has been carrying out this job for the past two decades. As soon as members of the public, hospitals or even the police inform him about unclaimed bodies, Ahmed reaches the spot in his old Ambassador car and takes the body. He works as a loader at the Mandi Mohalla Market in Mysuru. Though Ahmed has not kept an official count of the bodies that he has buried or cremated so far, Ahmed puts the figure at about 10,000. Ahmed posts photos of the bodies on his Facebook page in the hope of reaching out to the kin of the deceased. In absence of claims, he gets the paperwork done, after which he takes the unclaimed bodies to the graveyard and performs the last rites as per their religion.

Krishna Byregowda:Crusade against plastic

At a time when plastic water bottles were the norm in government offices, Rural Development Minister Krishna Byregowda decided to do away with them at his offices and meetings. He replaced the plastic bottles with glass tumblers and reusable water bottles. Byregowda even carries a personal water bottle to the Assembly and Council to avoid using plastic or paper cups. Each person who visits the minister's office is served water in a glass tumbler, unlike the popular practice in most government offices where water is given in plastic or paper cups. Such was the impact of his approach to the matter that the CM asked officials to refrain from distributing water in plastic bottles at all government events.

Randeep D: Official in public demand

That good work seldom goes unnoticed was proved in the case of IAS officer Randeep D, who was brought back as the Additional Commissioner of Bruhat Bengaluru Mahanagara Palike (BBMP) owing to public pressure after being shunted from the position. Randeep was transferred by an order signed by Chief Minister H D Kumaraswamy as the Commissioner of Social Welfare Department. However, he had earned the confidence of waste management activists for his attempts to reform the ill-managed system in the city. Randeep was credited with setting up the Solid Waste Management control room, bringing proposals of GPS tracking of auto-tippers and compactors, and updating the microplan. Activists pointed out his role in implementation of standard operating with regarding BBMP's Animal Husbandry Department. This led citizens to launch an online campaign to demand his reinstatement. After the campaign got the support of about 1,000 people, Kumaraswamy had to take a relook at his decision.

Kempaiah: BEO answers the call

An inspiring act by the Block Education Officer of Bangarpet Taluk went a long way to show how personal involvement can improve the learning ambience for children. Kempaiah shocked the school administration authorities, as well as teachers and students during a visit to a Kannada Higher Primary School in the district -- he cleaned a blocked toilet. Kempaiah had decided to visit the school to see the conditions for himself after he received several complaints from parents about the unhygienic conditions in the classrooms and toilet. While checking the toilets, when he saw it blocked, he got to his knees and started cleaning it with a brush. He had expressed to TNIE that it was unfortunate that the teachers and anganwadi workers had not kept the school clean. The girls in the school were forced to walk to their homes in the village for toilet breaks during class hours.

Inscription Stones of Bangalore: Documenting city's history

A civic activism project, ""Inscription Stones of Bangalore"" aims at creating awareness about and protecting ancient stone inscriptions (shila shaasanas) found in the Bengaluru region. The group has discovered several new inscription stones and restored the neglected ones by relocating them to a respectful place. They have educated citizens through postcards, public talks, school visits, poster presentations and other group- funding initiatives. With the help of latest technology, they have created 3D models of critically-endangered stone inscriptions. This project follows in the footsteps of B L Rice, who between 1894 and 1905, documented the stones in his 12-volume book, Epigraphia Carnatica. The project also acts as a platform for interested Bengaluru residents to work towards conservation of these ancient stones, which speak a lot about the Garden City's rich cultural past."
"6","1028152755","2018-12-28","https://www.business-standard.com/article/pti-stories/russian-teenagers-use-social-media-to-rebel-against-teachers-118122800401_1.html","Russian teenagers use social media to rebel against teachers","Business Standard",FALSE,"The principal of a prestigious school near St Petersburg summoned 16-year-old Leonid Shaidurov and 14-year-old Maxim Dautov in for a chat.

Then he threatened them with expulsion, a criminal probe and being blacklisted from all Russian universities.

Their crime? Setting up an independent student union.

But Shaidurov and Dautov, children of the social media era, did not take the threats lying down. Instead, they went public about their altercation with the principal last month. The student union's ranks swelled and education authorities in St. Petersburg, Russia's second-largest city, came out in support of the teenagers, not the principal.

Many other young Russians have had their first taste of political activism in street protests against corruption and the banning of rap music, protesting the authoritarian status quo that their parents have unhappily gotten used to.

Russian teenagers putting up a social media fight against the rigid, Soviet-like attitudes of some teachers was one of Russia's political highlights of the year.

Shaidurov and Dautov came up with the idea after reading about Vladimir Lenin, Karl Marx and the U.S. trade union movement. They realised that their own problems strict and unnecessary testing, dress code restrictions had resonated elsewhere and would make a rallying cause for a student union.

""At first, everyone was laughing at Leonid and me, because it was just the two of us,"" says Dautov, who wears multiple rings and a ""Revolutionary Workers Party"" badge on his scarf.

Two separate groups of the new student union held their first meetings in mid-November at a soccer field near the sprawling concrete school.

Shaidurov, who led both meetings, was summoned to the principal and told he had organized an ""unsanctioned rally"" that would be investigated by prosecutors. His and Dautov's parents were later hauled over the coals.

Later on, police officers visited the school to conduct ""a preventive discussion"" to warn the students about the dangers of staging unsanctioned rallies and extremism, a widely defined term that Russian authorities have used to go after dissenters of all stripes.

At the next parent-teacher meeting, parents were told that their children had joined an ""extremist organization"" and would be blacklisted from entering college, according to Shaidurov's mother, Yelena, who teaches history at the school.

She mounted a social media campaign. Prosecutors went to check the school and found that the girl's rights were violated.

Later, the Perm education department banned schools from strict dress code rules.

In Komsomolsk-on-Amur in Russia's Far East, a teacher has been suspended after a video of her pushing a teenager onto the ground and spanking him was posted online. Investigators have opened a criminal case.

Alexander Kondrashev, a teacher from St. Petersburg who belongs to an independent teachers' union, says the power dynamics between Putin-era teenagers and predominantly Soviet-educated teachers is starkly different from a generation earlier.

""It's much harder for a teacher to control the situation with children these days,"" he said. ""First, children have a clearer idea of their rights and they are ready to stand up for them. And second, audio and video recordings have given them a significant information clout.""

""It's weird, because you can be sent to prison and contract TB at 14, but you can drink and smoke and express yourself fully only when you're 18,"" Dautov says.

The system that Shaidurov and Dautov have been fighting against replicates the Russian government power structure in miniature.

The principal is answerable only to superiors in the education ministry while the students do not have much say in decision-making at school. Shaidurov and Dautov's school has its own student body but it works hand in hand with the administration and lacks any powers.

""We even have a newspaper and a YouTube channel allegedly for students which is dead and no one watches it,"" Dautov says, scoffing at the fact that instead of discussing real issues that students face, from high workloads to image pressures, the existing body debates ""what kind of Christmas tree to put up.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"8","1028128228","2018-12-28","https://www.hindustantimes.com/world-news/china-kindergarten-teacher-jailed-for-abusing-children-with-needles/story-D3g438txoarG1YqF5XV8SK.html","China kindergarten teacher jailed  for abusing children with needles","Hindustan Times",FALSE,"Liu Yanan, who was a teacher at the RYB Education New World kindergarten, pricked four children with needles in November 2017.(AP)

A Chinese kindergarten teacher was on Friday jailed for 18 months for abusing children with needles, a Beijing court said, sparking criticism online that the sentence was too short.

Liu Yanan, who was a teacher at the RYB Education New World kindergarten, pricked four children with needles in November 2017, the Beijing Chaoyang Court said. The scandal triggered national outrage.

An investigation into the kindergarten began when parents found needle marks on their toddlers who attended the high-end, bilingual Chinese-English school. There were also allegations that the children were made to take mysterious pills.

""The circumstances were vile. Her behaviour has seriously damaged the physical and mental health of minors,"" the court said in a statement, adding that the abuse did not result in any lasting injury.

Liu has also been banned from working with minors for five years after serving her sentence.

RYB Education, a New York-listed company which runs the chain of kindergartens, apologised for the incident and stressed on their official social media account the abuse was carried out by an individual.

However there was huge criticism of the sentence online, with many social media users angered that no officials have been punished.

Three Beijing education officials were under investigation for ""lack of supervision"" but the case has not progressed.

""The cost to commit a crime is too low! This is condoning crimes!"" read one post on Weibo, China's Twitter-like platform, saying that Liu should have been given a lifetime ban from working in education.

The incident prompted the State Council, China's top administrative body, to call for an ""immediate"" investigation into all kindergartens across the country.

RYB Education owns some 500 kindergartens and nearly 1,300 learning centres across China for children up to the age of six, according to its website.

The scandal was not the first to hit the company.

RYB suspended the head of a Beijing kindergarten in April 2017 after videos surfaced of teachers throwing a child on a bed and kicking another in the back.

In 2016, two teachers from a RYB kindergarten in northeast Jilin province were jailed for 34 months for jabbing children's heads, mouths and buttocks with sewing needles. (AFP) SMJ SMJ"
"9","1027354338","2018-12-27","https://www.firstpost.com/india/school-in-andhra-pradeshs-chittoor-makes-latecomers-stand-naked-outside-school-building-twitter-outrages-as-video-goes-viral-5798471.html","School in Andhra Pradesh's Chittoor makes latecomers stand naked outside school building; Twitter outrages as video goes viral - Firstpost","Firstpost",FALSE,"A private school in Chittoor district of Andhra Pradesh on Thursday punished students who came late by making them stand naked outside the school building. Images of the punished students, who went to Chaitanya Bharathi School at Punganur, were subsequently posted on Twitter.

According to reports, a complaint was registered against the school management, and education authorities have begun investigating the incident. There are also demands to cancel the school's registration.

This is not the first time such an incident has been reported in the state. NDTV reported that in 2015, two students of a government school in Bheemunipatnam Mandal were hospitalised after a teacher allegedly asked them to take off their shirts and stand in the sun, as punishment for not doing their homework.

The students, who are brothers, reportedly collapsed after standing in the heat for nearly three hours. Two teachers, Rani Kumari and Anil Kumar were suspended, The News Minute reported.

The incident came days after a 13-year-old student in Andhra Pradesh alleged that her school principal forced her to take a pregnancy test, over suspicions that she was having an affair with a teacher.

Activists, social media hits back

Following the incident, child rights activists and netizens alike condemned the incident. Child rights activists have alleged that the principal of the private school and the local divisional educational officer tried to hush up the incident when the video of punishment went viral and the parents lodged a protest, India Today reported.

India Today also quoted activist Achyut Rao as saying: ""We earnestly request the (National Commission for the Protection of Child Rights) to issue orders to initiate action under the provisions of Posco Act and immediately order an enquiry.""

On Twitter, one user tweeted: ""Shocking punishment by a private school In Chittoor #AndhraPradesh, minor students were forced to stand necked as they came late to the school. Child rights activists demand criminal action on management.

Updated Date: Dec 27, 2018 14:15 PM"
"10","1026232664","2018-12-25","http://www.newindianexpress.com/cities/chennai/2018/dec/25/power-supply-to-be-suspended-in-parts-of-city-tomorrow-1916065.html","Power supply to be suspended in parts of city tomorrow","The New Indian Express",FALSE,"CHENNAI: For carrying out maintenance work, power supply will be suspended by Tangedco on Wednesday from 9 am to 4 pm in these following areas.

Kolathur: Harbour Colony, Venkateshwara Colony, Milk Colony Road, Rizwan Road, Arul Nagar, Narayanasamy Garden, Rekha Nagar, Solaiamman Kovil, Koyathopu, Sastri Nagar, M.H Road, Annai Sathya Nagar, Chandraprabu Colony, GNT Road part, Periyar Nagar, Moolakadai, Thanikachalam Nagar and Kolathur Area, Thirupathi Nagar, Balaji Nagar, United colony, Thirumalai Nagar, Nermai Nagar, Valarmathi Nagar, Kumaran Nagar, Kolathur Area, Lakshmipuram, Vinayagapuram, Muthamizh Nagar, 1,2,3,4,5,7 th Block, Muthamizh Nagar 7 th Block Part of Industrial Area, Teachers colony, Gandhi Nagar, T.H.Road, Simpson group of Companies."
"11","1025968766","2018-12-24","https://indianexpress.com/article/india/navodaya-vidyalayas-commissioner-bishwajit-kumar-singh-interview-on-suicides-dalit-tribal-students-5508388/","Navodaya Vidyalayas Commissioner Bishwajit Kumar Singh: 'Have proposed that govt deploy two full-time counsellors in each school'","The Indian Express",FALSE,"The Navodaya Vidyalaya Samiti (NVS) has proposed that the central government deploy two fulltime counsellors in each school.

WITH 49 student suicides reported over the last five years from Jawahar Navodaya Vidyalayas across India, the Navodaya Vidyalaya Samiti (NVS) has proposed that the central government deploy two fulltime counsellors in each school, NVS Commissioner Bishwajit Kumar Singh tells Ritika Chopra. Excerpts:

Close to 50 suicides in five years. Is there something that the JNVs are doing wrong?

Student suicides in JNVs have to be understood in the context of the social background and psychological make-up of the children who study here. Entering the (Navodaya) system is a big change for them. There is a world of difference between rural life and life in a Navodaya Vidyalaya. I think we need a specialised set-up to help children acclimatise.

Although we have a system in place, it is not a specialised set-up. Our teachers are working hard on this front, but you have to acknowledge that one JNV teacher is responsible for 80 kids in a school. Raising even two children is a big challenge for parents these days. The teachers have largely succeeded (in helping students acclimatise), but there have been incidents of suicides.

Have you identified the main reasons behind the suicides?

Advertising

As I have mentioned already, the culture shock that a village boy or girl experiences after joining a JNV is a big reason. This is probably why suicides peak in July, August and September, which is right after the two-month summer break. The second peak period is exam season, January and February. Unrequited love and a hostile relationship between parents also drive students to an early grave. Lastly, corporal punishment or humiliation suffered at the hand of a teacher is also a reason why suicides have happened in the past.

Read: Suicides in Navodaya schools: 49 in 5 years, half of them Dalit and tribal students

What are you doing to stem these deaths?

Instead of leaving a chunk of teaching to the last few months before the exams, we have asked teachers to complete the syllabus by November, so that students have enough time to cope with stress. We are keen on engaging at least two counsellors in each school and we have recently submitted a proposal to this effect to the HRD Ministry.

We also noticed that a majority of suicides is by boys. This is probably because there are not any full-time wardens for the boys' hostels. The girls' hostel has had matrons since 1993. In the last one year, we have tried recruiting ex-servicemen as wardens, but there are not enough candidates. We have decided to not restrict the post to ex-servicemen.

Has the government agreed to the proposal on employing full-time counsellors in JNVs?

The proposal we sent involves an expenditure of Rs 56 to 60 crore every year. It is very expensive. So we are now looking at achieving the objective in an economical way. The fact remains that we do not require counsellors throughout the day. So now, there are two thoughts. First, why not have reputed institutions, which can be available on an on-call basis or which can counsel students online? Second, we could assign a counsellor to a cluster of five schools.

What do you do after a suicide to help other JNV students cope with the tragedy? Are they counselled?

Our school principals have certain amount of contingency fund, which can be used to hire a professional, but in general that does not happen. Usually, we depute teachers from other schools to ensure that they speak to the students so that they are not scared.

In many cases, JNV principals and teachers have been either suspended or transferred after a suicide for not being able to spot change in a child's behaviour or tell-tale signs of depression. They feel it's unfair to expect the overburdened employees to know what's going on in every child's mind. Your comment.

Advertising

When you head an institution you have to responsible and accountable. We have acted against principals and House Masters only in cases where we noticed they haven't discharged their duties properly. In 2017, a child in a JNV in Haryana committed suicide because a classmate didn't reciprocate his feelings. In such a case, the school authorities cannot claim they weren't aware of the change in the child's behaviour. The children are in our custody and the teachers should have known what the boy was going through. In a residential set-up, it is wrong for a teacher to think that their duty is only to teach. Also, should we not act in cases of corporal punishment? These incidents warranted action. We are not trying to harass teachers. Before any action there are two levels of inquiries."
