"","ID","date","url","title","source","duplicate","body"
"1","1029889288","2018-12-31","https://swarajyamag.com/politics/maharashtra-government-finds-a-new-way-to-avoid-paying-rte-reimbursement-for-poor-children","Maharashtra Government Finds A New Way To Avoid Paying RTE Reimbursement For Poor Children","swarajyamag.com",FALSE,"Under the Right to Education Act, certain private schools are required to reserve 25 per cent of the seats in entry-level classes for the more disadvantaged children.

States in turn are to reimburse a certain amount of money for every RTE admission.

However, it turns out that the Maharashtra government is looking around for ways to not pay these schools the money it owes them.

The Bharatiya Janata Party (BJP) government in Maharashtra, led by Chief Minister Devendra Fadnavis, can claim credit for many successes, especially with the irrigation project Jalyukt Shivar and an impressive infrastructure upgrade topping the list. However, its record on one front has been abysmal, i.e., in fulfilling its responsibility under the Right to Education (RTE) Act.

According to Section 12 of the RTE, non-minority unaided private schools are required to reserve 25 per cent of the seats in entry-level classes (either primary level or Class 1) for students belonging to disadvantaged groups (DGs) [Scheduled Castes (SCs), Scheduled Tribes (STs), etc] and economically weaker sections (EWS) [income less than a certain amount]. The state in return is supposed to pay these schools, for every RTE admission, an amount fixed by the government or the tuition fee of a school, whichever is less. Maharashtra has fixed an amount of Rs 17,000 a year for RTE students.

But it goes to great lengths to avoid reimbursing this amount to schools. Though the schools have been reserving seats under RTE since 2012, the government tried to get out of its commitment by simply agreeing to pay dues for only one academic year. Then, there was disagreement over the actual amount due and how it should be calculated. The government said it owed Rs 300 crore while the schools said the amount was more than 1,000 crore.

This mismatch in estimates came about because the government wanted to pay only for fresh RTE admissions while the schools were asking to be compensated for all RTE admissions (new and repeat/old students - explained in detail here).

Even to date, the dues of past academic years have not been fully released to all the private schools. Now, the Maharashtra government has come up with a new plan to avoid paying the money it owes to these institutions. In a government resolution released recently, it has modified the norms for RTE reimbursement stating that ""if a private school is using any government land and benefiting from the same then the school would not receive reimbursement for students who have been admitted in 25 per cent RTE quota,"" Mumbai Mirror reported.

Through this order, the government has effectively imposed a retrospective binding of sorts in an agreement that is in force for years and it has done so in a one-sided manner. This is a textbook definition of ""breach of contract"". When the government leased out land, it didn't impose a condition that schools will have to reserve 25 per cent seats for EWS/DG category students. Nor does the RTE Act mandate that those schools that have received land from the government at concessional rates will not be compensated for fulfilling the RTE quota. Hence, both from the RTE Act and the leasing agreement, the government's action is prima facie illegal. Less said about the ethical aspect of its action, the better.

Independent English Schools Association (IESA) secretary Rajendra Singh told Swarajya that ""the government's action is not just illogical but outright illegal. The RTE and land leasing are two separate contracts. In any case, under the RTE Act, the government gives reimbursement for only tuition fees and not for infrastructure costs the school has to bear. Land comes under the latter category. How can the two be clubbed? If the government was paying per student reimbursement for infrastructure costs also, then they had a case. In such a scenario, they could have deducted this from total reimbursement, but how can they not reimburse the tuition fees?""

Singh further explained that the government simply ""doesn't have the data to ascertain how many schools have the land leasing agreement with the government. Nor it has the manpower to determine this number. It will take anywhere between one to two years to collect the data. This is nothing but their latest attempt to delay payments to private schools."""
"2","1028651656","2018-12-29","https://timesofindia.indiatimes.com/city/bengaluru/missing-others-column-in-rte-form-irks-schools/articleshow/67294021.cms","Missing 'others' column in RTE form irks schools - Times of India","The Times of India",FALSE,"BENGALURU: Over 3,000 schools seeking reimbursement under the Right to Education (RTE) Act are upset as they haven't been able to complete the online process to update the authorities about their expenditure. Reason: the column to register their expenses under the 'others' head is missing from the form.

The category existed in previous years. However, the department of public instruction (DPI) says it's not necessary and provides ample room for misuse.

December 10 was the last date for furnishing the relevant information online. But the schools couldn't meet the deadline and on Thursday, they were given another 10 days to comply.

The online form includes various heads under which schools can quantify their expenditure. Teachers' salary, transport and dearness allowance, salary of other staff, contingency, rent, building maintenance, consumables for lab, electricity and water are the heads provided this year. Schools say under the 'others' category, they used to include building tax, CCTV maintenance, fire safety, transportation, meals and internet charges, but the column has been removed.

DPI commissioner PC Jaffer said, ""The software can't validate what's written in the 'others' column. We have studied some audit reports and included all possible items in the software. If any more genuine items are to be included, let it be brought to our notice. """
"3","1027571301","2018-12-27","https://www.thehindu.com/news/cities/bangalore/private-schools-allege-delay-in-rte-reimbursements/article25842661.ece","Private schools allege delay in RTE reimbursements","The Hindu",FALSE,"Private school managements across the State have alleged a delay on the part of the Department of Public Instruction in releasing reimbursements for students admitted under the RTE quota.

D. Shashi Kumar, General Secretary of the Associated Managements of Primary and Secondary Schools in Karnataka, stated that schools had not even received the first instalment of the reimbursements that were due in September. It was difficult for private schools to pay salaries of their teaching and non-teaching staff, and meet the day-to-day expenditure. ""Some schools, in fact, had appealed to rectify the reimbursements of last year, which the department us yet to address,"" he said, adding that several low-cost budget schools are finding it difficult to sustain their operations.

He warned that many schools would refuse admissions for students admitted under the quota next year, as the delay in reimbursements is an annual problem.

Department officials acknowledged the delay, and stated that they are trying to simplify the process. They added that they would extend the date for filing for reimbursements by 10 days."
"4","1025421508","2018-12-24","https://timesofindia.indiatimes.com/city/chandigarh/english-forms-for-rte-seats-discourage-parents/articleshow/67222214.cms","English forms for RTE seats discourage parents - Times of India","The Times of India",FALSE,"CHANDIGARH: After much delay, when the family-income certificates are being made finally for the poor man's quota of school seats, parents have now been asked to face the language hurdle. The income-declaration form has been made available only in English.

The parents of children competing for reserved seats under the Right to Education (RTE) Act had struggled to fill even the registration form for different private schools, as those too were in English. Parents allege that it has been done to discourage poor families who want good education for their children. ""Not just the forms, even the guidelines and admission notice were printed in English. They don't want our children to even qualify,"" said a disgruntled parent from the slum colony of Bapu Dham.

Some of the parents even had to ask the document-centre people to fill their form for a price. They others asked their employers to help them. Some of the parents were pleading with people at e-Sampark centres to interpret the form for them. ""I asked a Sampark-centre employee to tell me what was written in the form, but he said he was too busy to help. So I requested the customers who had come to deposit their utility bills to translate the form so that I could know what documents to arrange for my child's admission,"" said Shashi Pal, who had come to the e-Sampark centre of Sector 10.

Chandigarh parents Association president Nitin Goyal said: ""Most of the families from the EWS (economically weaker section) category have poor literacy level, with hardly any proficiency in English. The EWS applicants don't know what to do with the form, as they cannot read English. The administration should provide them with forms in Hindi and Punjabi versions, too.""

RTE consultant Chanchal Singh of the Chandigarh Commission for the Protection of Child Rights, who is also former deputy director of school education, said: ""The forms for admission and income declaration should be in both Hindi and English, so that these are easier for people to interpret. Otherwise, it will be a disadvantage to parents from poor class. The information mismatch might lead to cancellation of the form, even if the case is genuine. And if it is not genuine, the parents will have an excuse that they were not aware, as they got someone else to fill their form."""
"5","1024431374","2018-12-22","http://bengaluru.citizenmatters.in/rte-helpline-launch-how-do-you-use-it-effectively-30142","RTE helpline: How to use it effectively? |","bengaluru.citizenmatters.in",FALSE,"Our work is to empower citizens, made possible by your donation. Click to Donate

Right To Education (RTE) helpline was launched recently by the Social Welfare Department of Karnataka, which allows one to lodge complaints and get information on the Act. The Executive Director of the Child Rights Trust, Vasudeva Sharma, spoke to RadioActive about how the helpline could be used effectively.

Vasudeva Sharma explained that the RTE Act had been introduced way back in 2009 in Karnataka, and a lot of calls used to be received by the Child Rights Trust members on their personal numbers seeking clarifications. Even though there were no instructions available regarding RTE at that time, they used to clarify or give information in a comprehensible way. Of late, the calls had been about more specific and less common information.

He said they had attempted to set up a hotline back then, which failed because their personal numbers were still popular. The new helpline would have to have employees well-versed in the intricacies of RTE - the national Act as well as the rules for Karnataka and section (12)(1)(C), because (12)(1)(C) was often misused.

He spoke about the dangers of (12)(1)(C) being misused and despite it having popular aspects like forbidding corporal punishment, or stating the kinds of facilities an institution must have, how that could cause people to lose trust in it. It gave the impression that (12)(1)(C) was introduced as an attempt to control private institutions, as the condition laid down for availing this provision spoke only of what was expected of the institutions without placing any responsibility on the government. With the rampant misuse of this section, private institutions became richer but could not be brought under the control - and that such situations would lead to mistrust in the RTE Act itself.

Vasudeva Sharma said that he used to find a lot of children in government schools, but of late the number had been dwindling because they had moved to private schools. However, over time, parents were faced with demands for multiple additional payments. This at times forced the children back into government schools, and other times, they continued education there despite the heavy expenditure.

He also proposed some solutions:

On the move to make 8th standard the equivalent of 10th standard, Vasudeva Sharma said that though there had been discussions, the Central Government was yet to make a decision. He opined that it could not be taken without thorough discussions and analysis but was apprehensive about the imbalance a positive answer would create.

Vasudeva Sharma said that ignorance among activists and officials will deprive the children of the rights extended to them by the government. He suggested that guidelines be prepared wherein the responsibilities of each official is clearly mentioned and that such clarity would enable effective implementation of the Act.

He added that ignorance causes lack of coordination between the concerned departments and organisations, which could lead to failure of the programme."
"6","1023774854","2018-12-21","http://heraldkeeper.com/economy/dinner-rte-foods-industry-2018-global-productionsupplysales-and-future-demand-market-research-report-to-2022-204784.html","Dinner RTE Foods Industry 2018 Global Production,Supply,Sales and Future Demand Market Research Report to 2022 - Herald Keeper","Herald Keeper",FALSE,"WiseGuyReports.Com Publish a New Market Research Report On -"" Dinner RTE Foods Industry 2018 Global Production,Supply,Sales and Future Demand Market Research Report to 2022"".

Ready to eat meal products are often referred to as ""convenience food"", for the convenience they provide to the hectic life of people. They are readymade food or almost readymade food that just requires boiling. Depending on the process of production and packaging, they are segmented into canned food, frozen food and chilled food. And because the major drivers of the market aren't specific to any region but are globally influencing the market, hence ready to eat meal products market is fast growing uphill and has become the largest market in food industry globally.

Scope of the Report:

This report focuses on the Dinner RTE Foods in global market, especially in North America, Europe and Asia-Pacific, South America, Middle East and Africa. This report categorizes the market based on manufacturers, regions, type and application.

Get a Sample Report @ https://www.wiseguyreports.com/sample-request/3380372-global-dinner-rte-foods-market-2018-by-manufacturers

For more information or any query mail at sales@wiseguyreports.com

In this study, the market for Dinner RTE Foods consumption divided into five geographic regions: In North America, total Dinner RTE Foods accounted for 38.60 %. In the Europe, total Dinner RTE Foods accounted for 29.92 %. The market in Asia-Pacific Dinner RTE Foods accounted for 21.13 %, in South America 5.66 % and in Middle East and Africa 4.69 %. Among all regions, North America is estimated to represent the highest revenue share. The Asia-Pacific market is likely to contribute a high revenue share to the global Dinner RTE Foods products market.

On the basis of product type, the Frozen Dinner RTE Foods segment is projected to account for the largest revenue share during the forecast period; this segment was estimated to account for 64.43% revenue share in 2017.

The worldwide market for Dinner RTE Foods is expected to grow at a CAGR of roughly 5.9% over the next five years, will reach 127100 million US$ in 2023, from 90100 million US$ in 2017, according to a new GIR (Global Info Research) study.

Market Segment by Manufacturers, this report covers

Nestle

Unilever

Kraft Heinz

McCain Foods Limited

General Mills

Sigma Alimentos

Greencore Group

Campbell Soup

ConAgra

The Schwan Food

Tyson Foods

Pinnacle Foods, Inc.

Smithfield Foods

Hormel Foods

JBS

Nomad Foods

Fleury Michon

2 Sisters Food Group

ITC

Market Segment by Regions, regional analysis covers

North America (United States, Canada and Mexico)

Europe (Germany, France, UK, Russia and Italy)

Asia-Pacific (China, Japan, Korea, India and Southeast Asia)

South America (Brazil, Argentina, Colombia etc.)

Middle East and Africa (Saudi Arabia, UAE, Egypt, Nigeria and South Africa)

There are 15 Chapters to deeply display the global Dinner RTE Foods market.

Chapter 1, to describe Dinner RTE Foods Introduction, product scope, market overview, market opportunities, market risk, market driving force;

Chapter 2, to analyze the top manufacturers of Dinner RTE Foods, with sales, revenue, and price of Dinner RTE Foods, in 2016 and 2017;

Chapter 3, to display the competitive situation among the top manufacturers, with sales, revenue and market share in 2016 and 2017;

Chapter 4, to show the global market by regions, with sales, revenue and market share of Dinner RTE Foods, for each region, from 2013 to 2018;

Enquiry About Report @ https://www.wiseguyreports.com/enquiry/3380372-global-dinner-rte-foods-market-2018-by-manufacturers

Buy 1-user PDF @ https://www.wiseguyreports.com/checkout?currency=one_user-USD&report_id=3380372

For more information or any query mail at sales@wiseguyreports.com

Wise Guy Reports is part of the Wise Guy Consultants Pvt. Ltd. and offers premium progressive statistical surveying, market research reports, analysis & forecast data for industries and governments around the globe. Wise Guy Reports features an exhaustive list of market research reports from hundreds of publishers worldwide. We boast a database spanning virtually every market category and an even more comprehensive collection of market research reports under these categories and sub-categories."
"7","1022079822","2018-12-19","https://www.hindustantimes.com/delhi-news/voter-details-of-students-kin-collected-for-rte-delhi-government-tells-hc/story-RZ95aSpZIfnfZFNBrPD3BK.html","Voter details of students' kin collected for RTE: Delhi government tells HC","Hindustan Times",FALSE,"While assuring the Delhi high court that it would not share the voter identity details of parents and relatives of students of state-run schools with any other agency, the Delhi government on Tuesday said it was collecting the details to implement the Right to Education (RTE) Act.

The city government informed a bench of justice Sanjiv Khanna and justice AJ Bhambani that by collecting the data they can bring back children who have dropped out of school and this was not possible in the absence of a detailed and comprehensive data bank.

""The data so collected will not be shared or retained at the school/zonal/district level for personal or any other use and it will be collected in strict compliance with guidelines,"" the reply read.

The reply came while hearing a plea filed by the Delhi Government School Teachers Association, through advocate Kamlesh Kumar Mishra, challenging the move by the government, seeking the voter ID details of the parents and relatives of students.

On Tuesday, the court was informed that on November 27, a circular was issued by the Directorate of Education (DoE) where it is specifically mentioned that, ""except DoE, no outside agency' has been hired or engaged for data collection or verification"".

""Once it is uploaded on the DoE website, no one can see or use (the data) without permission of competent authority,"" the reply read.

The court was also told that it is absolutely impossible to plan and allocate budget for suitable infrastructure and facilities for children in the absence of comprehensive data.

Earlier, the Delhi government had removed Aadhaar card from the list of the documents sought from children after the Supreme Court had delivered its verdict. The high court had also rapped the state government for collecting the phone numbers and voter ID details of relatives and parents. The matter would be now heard on February 25, 2019."
"8","1020452773","2018-12-17","https://timesofindia.indiatimes.com/city/bengaluru/rte-exemption-education-department-files-cheating-case-against-national-public-school/articleshow/67122268.cms","RTE exemption: Education department files cheating case against National Public School - Times of India","The Times of India",FALSE,"BENGALURU: The education department has filed a case of cheating and forgery against the National Public School (NPS) for getting exception from the Right to Education (RTE) Act 2009 by allegedly submitting fake certificates.

Jeevan Bima Nagar police registered a case against the school's chairman and administrative board on Friday based on a complaint filed by Saleem Pasha, block education officer (BEO), Bengaluru south.

Pasha alleged that an administrative board member of National Education Trust, which runs NPS in HAL II Stage, Indiranagar, submitted a certificate to the education department to claim RTE exception. The member claimed NPS is a linguistic minority school declared by the National Commission for Minority Educational Institutions (NCMEI), government of India. But the NCMEI secretary told the education department that the certificates furnished by NPS are fake.

""We have registered a case against NPS and the matter is under investigation. We can't reveal more,"" an officer said. An NPS official said they have no information about the complaint and will look into the matter."
"9","1016976661","2018-12-12","https://www.thehindu.com/news/national/andhra-pradesh/keep-regressive-detention-system-at-bay-rte-activists/article25728684.ece","Keep 'regressive' detention system at bay: RTE activists","The Hindu",FALSE,"Move aimed at victimising children from the marginalised communities, they allege

Members of the southern unit of Right to Education (RTE) Forum have urged the government to withdraw the Bill tabled in Parliament seeking amendment to Section 16 of the RTE Act which aims at bringing back the detention policy in school education system.

In a resolution unanimously adopted at the first southern regional consultation on RTE, organised by the National RTE Forum and facilitated by Save the Children in Vijayawada, they alleged that it was an attempt to dilute the most progressive section of the Act through 'backdoor' methods. ""This is an ill-conceived move aimed at victimising children from the marginalised communities such as Dalits, adivasis, the urban poor, persons with disabilities and other disadvantaged sections. We strongly demand that the government drop this Bill and create an enabling condition in the classroom,"" said Ambarish Rai, convener, National RTE Forum.

The resolution demanded that the Centre allocate 6 % of the GDP and the State Governments 25 % of their respective budgets to ensure care, protection and equal right to quality education for all children.

The members said they would urge political parties to include 'right to equitable quality education for all children' in their political agenda in the 2019 elections.

Constitution of School Management Committees/School Development and Monitoring Committees in all schools to ensure effective implementation of the RtE Act, establishment of government-funded neighbourhood schools and ultimately move towards Common School System and to strengthen grievance redressal mechanism were among the other demands.

The resolution also called for effective measures to make all schools RTE-compliant, steps to stop closure of government schools in the name of rationalisation, put an end to privatisation and commercialisation of education, imparting adequate training on teachers to make the classroom space more interesting, timely supply of textbooks, uniforms and other learning equipment to students and improvement of infrastructure facilities in schools.

""Steps to regulate private schools is essential besides making them accountable by asking them to set up monitoring committees,"" said Vikas Gora, general manager, Save the Children."
"10","1015789453","2018-12-11","http://bengaluru.citizenmatters.in/right-to-education-act-amendment-problems-issues-positives-bangalore-karnataka-29209","Parents, activists and academia divided while State Cabinet intends to modify RTE Act |","bengaluru.citizenmatters.in",FALSE,"Our work is to empower citizens, made possible by your donation. Click to Donate

Lakshmi works as a domestic help with a few families in Bengaluru. Her daughter during the academic year 2018-2019 had been admitted to LKG in a private school through the Right to Free and Compulsory Education (RTE) Act 2009, section 12(1)(c). The Act promises 25 percent reservation in private unaided schools for weaker sections and disadvantaged groups.

Lakshmi chose to avail this choice as she felt that in government schools, children are left to themselves and aren't provided adequate attention. She says that she wants to educate her daughter, and felt private school was the best option.

There are several other parents from marginalised groups who would like to avail free education in private unaided schools, during the academic year 2019-2020. But that might not be a possibility if proposed amendments to the RTE rules, for which the cabinet has given the nod, come through. The proposed amendment gives government schools the priority, and the choice of availing admission in a private unaided school will be applicable only if there are no government schools in the neighbourhood. The Minister for Law and Parliamentary affairs Krishna Byregowda in his brief to the media said that preference to private schools has resulted in the government schools having fewer enrollments.

""If parents want to send their children to government schools, they will. Why is the government forcing this upon parents ?"" asks B N Yogananda (General Secretary, RTE Students and Parents Association). He says the private school lobby who don't want children from disadvantaged communities to study in their schools, are pushing for this. While there has been the mention of following the Kerala model with these proposed amendments, Yoganand says that the governments schools in Karnataka aren't at the same level compared to Kerala, and parents in Karnataka aren't willing to send their children to government schools.

In terms of next steps, the association plans to meet the Principal Secretary (Primary and Secondary Education) and demand that the proposed amendments be withdrawn. If not they plan on staging wide protests, and as a last resort would file a petition in the court.

G Nagasimha Rao ( Director, Child Rights Trust ) and convener of the RTE Task Force highlighted the lack of consultations in the process od changing rules. He says that after the RTE rules have not been reviewed even once after being notified in 2012, and amendments were directly called for. The RTE Task Force in their letter to the Principal Secretary, demands that the plan for the proposed amendments be halted; and recommends consulting civil society organisations working in the field of education, concerned parents and children while formulating recommendation to amend RTE rules. The RTE task force too plans on holding protests if the governments goes ahead with the proposed amendments.

This is not the first time that there have been proposals to amend the RTE rules in Karnataka. In January 2018 similar amendment to the rules were proposed by the Education Department but were rejected after coming under severe opposition.

What the government is proposing isn't something outside the law, says Niranjan Aradhya (Centre for Child and Law, NLSIU). He says that section 3 of the RTE Act provides fundamental right to free and compulsory education in the neighborhood school, and there is nothing wrong if the state decides to admit children in a government school available in the neighbourhood.

He adds that other options - aided and unaided schools come in when there are no government schools in the neighbourhood. As a member of the committee by Karnataka Development Authority working to strengthen government schools, Niranjan opines that section 3 of the act must be implemented in letter and spirit and several concrete steps are to be taken in order to strengthen state government schools so that they are on par with central government schools.

The average RTE reimbursement for a child stood at Rs 6871 during the year 2017, compared to the maximum ceiling of Rs 11,848 (cost per child in government schools). This indicates that a large section of the private unaided schools charge a low fee, and come under the low fee paying category schools (LFP). While there are several private schools that provide quality education, the same can't be said about LFPs. Research has pointed to how they even fall short in providing English education, which is one of the reasons parents from marginalised groups are attracted to them in the first place. ""LFP schools can't be thought of as an alternative to government schools "" says Rishikesh Shanker, Associate Professor, Azim Premji University, who advocates for the strengthening of the public education system.

Himachal Pradesh and Uttar Pradesh had previously attempted to modify the RTE rules along the same lines that the Education Department of Karnataka has proposed. In a notification by the Department of Elementary Education (Government of Himachal Pradesh) dated June 6th, 2015, guidelines were provided for admission and reimbursement of children under section 12 of the RTE Act.

Under these guidelines the government schools and private unaided schools in the neighborhood would initiate the process of 25 percent reservation in private unaided schools only if the minimum number of students (25) have been filled in the entry standard of the government school. This notification was challenged in the High court in Smt Namikta vs State of HP and others. The grievance of the petitioner was that the notification is contrary to the provisions of section 12(1)(c) of RTE Act which doesn't contain any inhibition and therefore restricts the scope of the Act.

The High Court struck down the notification stating that the notification creates a hierarchy in availing the benefits under section 12(1)(c), and is being read in a contrary manner where importing"" an obligation to admit students from the weaker section and disadvantaged groups only where seats are not available in the state run schools and aided institutions would be to defeat the object of the provisions."" The court concluded that there is no hierarchy in the parent Act and therefore the state government is in violation of the provision of the Act.

A petition regarding similar concerns was raised in the Allahabad High Court in Ajay Kumar Patel vs State of UP where the court stated that a policy of hierarchy can't be laid down by the government as it is contrary to the Parliamentary Act.

While the proposed amendment in RTE act is not supported by parents, the idea of prioritising the government schools may not be bad, after all. The parents and several civil society organisations opposing the amendment think that the condition of government schools in Karnataka is abysmal, including the poor learning levels of students. However, available research shows that there is no difference in learning levels between both groups of students.

A study by Azim Premji Foundation between 2008 and 2013 conducted in Andhra Pradesh examines the difference in learning levels of students (randomly selected from government schools) who were provided a scholarship and attended private schools, and students who didn't receive the scholarship and continued attending government schools.

The private schools who were part of the study had to admit a maximum of 25 percent students from disadvantaged groups, in line with the current 25 percent quota under the RTE. The students were tested at the end of every year for five years on their learning outcomes in Telugu, Mathematics, English and EVS.

The results showed that there was no difference between the learning levels of the different groups of students, and that private schools didn't add any value to the learning levels of the students from disadvantaged groups who had hitherto been in government schools and had joined them. The author of the paper notes that worldwide research is divided on student achievements after obtaining choice to study in private schools, and currently there is no consensus on this matter."
