"","ID","date","url","title","source","duplicate","body"
"1","1028069019","2018-12-28","https://timesofindia.indiatimes.com/home/education/news/maharashtra-civil-services-exam-biometric-attendance-system-for-all-mpsc-exams/articleshow/67284413.cms","Maharashtra civil services exam: Biometric attendance system for all MPSC exams - Times of India","The Times of India",FALSE,"PUNE: The Maharashtra Public Service Commission (MPSC) has introduced biometric attendance for its main as well as preliminary written examinations to prevent bogus candidates from writing the papers.

The system will be in place for all examinations conducted by the MPSC for recruitment in police, forest and government departments, and to fill other vacancies.

The system was previously used on a pilot basis for three to four mains exams conducted by the state civil services.

In fact, the prelims exam conducted on December 23 for Class II officers of Women and Child Welfare department used biometric attendance system, Chandrashekhar Oak, acting chairman of MPSC, said.

All the prelims conducted from January 2019 will also have biometric attendance system in place. The MPSC conducts examinations for recruitment of various state government departments through direct, competitive, departmental or limited vacancy exams. ""The number of candidates appearing for direct recruitment and competitive exams is huge. The competitive exams are mainly held in three phases, including prelims, mains and interview, while in direct recruitment exams there are two phases consisting of prelims and interviews. The biometric system will help in eliminating bogus students appearing for any of these exams,"" said Oak.

Compared to the main exam, the number of students appearing for prelims is much bigger. Hence, the commission decided to implement the system on a pilot basis for mains exams. The exams conducted in November and December had biometric attendance, but for the prelims the system had not been used yet.

""At the time of filling of forms, the Aadhar details of every student are taken based on which the identity of the candidates is verified. On Sunday, the exam held for women and child welfare department was the first prelims exam for which the identification system was used,"" Oak said.

Before entering the examination hall, candidates have to press their thumbs in the machine following which their photographs are taken. They are then allowed to enter the exam hall."
"2","1024430855","2018-12-22","https://www.siasat.com/news/biometric-attendance-be-made-compulsory-telangana-govt-schools-next-year-1448648/","Biometric attendance to be made compulsory in Telangana govt. schools from next year - The Siasat Daily","The Siasat Daily",FALSE,"Hyderabad: From next academic year, all government and local body schools in Telangana will record biometric attendance of teachers and students instead of the conventional manual system.

Though the Aadhaar biometric attendance system was already being used in 9,349 government-run schools in 12 districts across Telangana, now the Directorate of School Education has decided to extend the system to about 25,000 schools, including primary, upper primary and high schools.

As reported by Telangana Today, the department tied up with Unique Identification Authority of India (UIDAI) and Telangana State Technology Services (TSTS) for implementing the Aadhaar biometric attendance. The attendance of teaching and non-teaching staff will be recorded twice a day -- morning and evening -- and for students, before serving the mid-day meal, so that the attendance recorded on the biometric machines could be matched with the bills submitted by school managements to ascertain the number of students consuming the mid-day meal."
"3","1023323331","2018-12-20","https://telanganatoday.com/biometric-attendance-in-govt-schools-from-next-year-in-ts","Biometric attendance in govt schools from next year in TS","Telangana Today",FALSE,"Hyderabad: Starting next academic year, students and teachers of all government and local body schools in Telangana will mark their attendance on a biometric fingerprint machine instead of the conventional manual system.

About 25,000 schools -- including primary, upper primary and high schools -- will get the biometric equipment. Already, the Aadhaar biometric attendance system was being used in 9,349 government-run schools in 12 districts across Telangana. Now, the Directorate of School Education decided to extend the system to all government-run schools and sent a proposal to the State government seeking budgetary support for installing the machines.

The department tied up with Unique Identification Authority of India (UIDAI) and Telangana State Technology Services (TSTS) for implementing the Aadhaar biometric attendance. One biometric machine was being provided for every 100 students, with managements being directed to record attendance of teaching and non-teaching staff twice a day -- morning and evening -- and for students, before serving the mid-day meal.

""The attendance recorded on the biometric machines will be matched with the bills submitted by school managements to ascertain the number of students consuming the mid-day meal. As it is linked with Aadhaar, the managements cannot duplicate admissions,"" an official said.

The machines and software were designed in such a way that biometric fingerprints captured are immediately verified with the biometric details available with UIDAI using Internet and is reflected in the dashboard of the School Education Department's website. A software was being developed to transmit the captured details offline or when network is available in the schools located in remote areas.

""Most students and teachers in schools where the machines are already in use are giving their attendance on it. The department sent a proposal to the government seeking budget for implementing the system in all schools from the next academic year,"" an official said, adding that there were some network issues in certain schools located in remote areas with these being sorted out."
"4","1018198362","2018-12-14","http://www.newindianexpress.com/cities/chennai/2018/dec/14/biometric-attendance-for-73-lakh-appearing-for-rpf-examinations-1911308.html","Biometric attendance for 73 lakh appearing for RPF examinations","The New Indian Express",FALSE,"CHENNAI : In an attempt to prevent impersonation of candidates in examinations for recruiting constables and sub-inspectors in Railway Protection Force (RPF), the Central Recruitment Committee (CRC) of RPF is to introduce biometric attendance system for candidates appearing for the exams, perhaps for the first time, this year.According to an official notification of the Railways, the thumb impression of the left hand of candidates appearing for computer-based tests for various posts in RPF will be captured before the examination. About 73 lakh candidates are to appear for the examination scheduled to be conducted on December 19 and 20 across India.

""The CRC has decided to capture the biometric details of candidates for the first time to prevent impersonation. The move will ensure transparency in the recruitment process,"" said a senior RPF official.

""Even before appearing for the examination, the candidate's thumb impression will be captured at the examination hall. If any need arises, the candidate's credentials will be verified with thumb impression in the later stage,"" explained the official.

The CRC also advised the candidates to avoid mehendi or henna on left thumb, as it may reduce the accuracy of the biometric details. Though other Central recruiting agencies including Union Public Service Commission and Staff Selection Commission, in the past, had suggested to introduce biometric attendance, the proposal remained only on paper.

""The exercise to record the thumb impression for nearly 73 lakh candidates at the same time, is an uphill task. The works have been outsourced to a private company. Based on the response, other recruiting agencies may introduce biometric system in future,"" said a senior Railways official.The exams conducted by Railway Recruitment Boards for various other group C and D posts will continue to be conducted as done earlier, added sources.

Protection Force

73 lakh candidates to appear for exams for RPF posts

Railways to capture the biometric details of candidates to mark attendance

The move will eliminate impersonation

UPSC and SSC had already discussed the idea in the past

A private company has been entrusted with the task to capture the details"
"5","1018188678","2018-12-14","https://timesofindia.indiatimes.com/city/mumbai/mumbai-biometric-attendance-for-corporators-soon/articleshow/67085197.cms","Mumbai: Biometric attendance for corporators soon - Times of India","The Times of India",FALSE,"MUMBAI: The BMC on Thursday cleared a proposal for biometric attendance for corporators.

Currently, corporators sign a register outside the BMC meeting hall when they attend meetings. ""But some corporators just sign the register and leave. This will not be possible when the biometrics system is operational as their 'in time' and 'out time' would be registered,"" said a civic source.

Congress party leader in the BMC Ravi Raja said they support the move. But a few corporators were not so pleased. They said often they are unable to attend BMC meetings because they have to attend to works in their wards. Supporting the move, mayor Vishwanath Mahadeshwar said corporators are expected to table issues of their wards at the meetings. ""It is also meant to ensure that we go digital,"" he added."
"6","1017955826","2018-12-13","https://indianexpress.com/article/cities/mumbai/mumbai-now-biometric-attendance-system-for-bmc-corporators-5492735/","Mumbai: Now, biometric attendance system for BMC corporators","The Indian Express",FALSE,"The Shiv Sena had proposed to remove four group leaders from the attendance system. ""It will instill discipline in the corporators to attend the meetings,"" said Ravi Raja, group leader, Congress.

THE 225 corporators of the Brihanmumbai Municipal Corporation (BMC) will now have to mark their attendance when they arrive at the headquarters using a biometric attendance system similar to that used by employees of the civic body.

The proposal was approved by corporators of all political parties at the general body meeting on Thursday.

Once biometric attendance starts, corporators skipping the general body meeting or leaving it halfway will not be eligible for their allowance. Corporators are paid Rs 150 per meeting, in addition to salary and perks. The system, however, will not be applicable to the mayor and the deputy mayor.

At present, the civic body has been recording the attendance of corporators through signatures on a register without mentioning the duration of their presence in the meetings. The biometric attendance system will record ""in"" and ""out"" time.

Advertising

As per rule, corporators should attend at least four of five general body meetings every month. The system will only be applicable to the general body meetings for now. A decision will be taken later on whether to make it applicable for attendance to other committee meetings as well.

Last year, the BMC brought in the biometric attendance for its one lakh employees.

The Shiv Sena had proposed to remove four group leaders from the attendance system. ""It will instill discipline in the corporators to attend the meetings,"" said Ravi Raja, group leader, Congress.

According to a report by Praja, a not-for-profit organisation, out of 97 meetings of the BMC held between April 2017 and March 2018, Geeta Gawli attended 25, while Parag Shah, who became popular as the richest corporator, attended only 33."
"7","1016297753","2018-12-12","https://www.thehindu.com/news/cities/bangalore/bbmp-decides-to-link-biometric-attendance-with-salary/article25723378.ece","BBMP decides to link biometric attendance with salary","The Hindu",FALSE,"This follows complaints that officials are not present in offices on some days

Following repeated complaints from citizens across the city about Bruhat Bengaluru Mahanagara Palike (BBMP) officials not being available for them in its offices, the civic body is all set to link biometric attendance with the Human Resource Management System (HRMS).

According to sources in the BBMP, the biometric system and the HRMS were working as standalone systems. With no link between the two systems, the BBMP officials were not bothered about punching in and out on time or even regularly.

C.R. Lakshminarayan, former chairperson of BBMP's Standing Committee for Personnel and Administrative Reforms, said the committee had, on several occasions, recommended that the two systems be linked.

""The BBMP insists on taking the pourakarmikas' biometric attendance thrice a day. Yet, the officials are least bothered to do so themselves,"" he said and added that the committee had found officials who turn up late to work and leave early. ""We even received complaints from public about officials not turning up for work on Fridays before the second Saturdays,"" he added.

He also claimed that the committee had found that there was a minimum 15% absenteeism on any given day among the 9,000-odd BBMP employees. ""However, with the failure in enforcing the biometric attendance system and linking it with the HRMS, the civic body is paying officials even though they have remained absent,"" he charged.

Concurring, D. Randeep, Additional Commissioner (Administration), told The Hindu that the civic body would link both systems soon.

In case punching in is not done at the appropriate time or officials have punched out early, the system will automatically treat it as half day and salary will be cut. He said, in case the officials were out on field inspection or occupied elsewhere, the supervisors will have to certify the same. Until then, the system would treat them as being absent.

""This was a long pending move. The Standing Committee had also submitted its recommendation in this regard to the Administration Department several times. By linking both biometric and HRMS, we will be bringing in some discipline and accountability among the officials at all levels,"" he added."
"8","1004835525","2018-11-27","https://timesofindia.indiatimes.com/city/coimbatore/sixty-schools-to-get-biometric-attendance-system-in-phase-1/articleshow/66835769.cms","Sixty schools to get biometric attendance system in phase 1 - Times of India","The Times of India",FALSE,"Coimbatore: Following the state government order to install the biometric attendance system for teachers in government and aided schools, the school education department is in the process of preparing a list of 60 schools in the Coimbatore revenue district for the purpose.

This would be the first phase of the project implementation in the district, which comprises four educational districts. ""We have not segregated schools as high schools or higher secondary schools. We are looking for schools which have adequate hardware facilities such as computers and good network connectivity, so that once the biometric systems are installed, they could be put to use in a short notice,"" said an official with the district administration.

""Some schools may already have facilities such as smart classrooms, where it would be easier for us to install the system,"" the official said.

The department has, as on Tuesday, finalized 40 schools. ""We would select the rest of the 20 schools soon and would send the final list to the directorate of school education,"" the official said.

On November 15, when officials of the directorate had held a meeting with officials of the district chief education office through videoconferencing, the district officials asked for biometric systems for 60 schools.

The state recently said in an order that a total of 7,728 government and government-aided schools would get the biometric attendance system for teachers. Of these, 3,688 are high schools and 4,040 are higher secondary schools. Minister of school education K A Sengottaiyan had said the project would be implemented in government schools across the state at a cost of Rs 9 crore."
"9","1004410158","2018-11-27","https://timesofindia.indiatimes.com/city/chennai/60-govt-schools-in-coimbatore-to-get-biometric-attendance-systems/articleshow/66826244.cms","60 govt schools in Coimbatore to get biometric attendance systems - Times of India","The Times of India",FALSE,"COIMBATORE: A total of 60 government schools here will soon get biometric attendance systems for teachers. Officials in the school education department said they had asked for biometric systems for 60 schools in the Coimbatore revenue district, which comprises four educational districts, in the first phase.

An official said they were in the process of short-listing the 60 schools. They had not segregated schools as high schools or higher secondary schools for the purpose, but only those with the required facilities, said officials.

""We are looking for school which have adequate hardware facilities such as computers and also good network connectivity, so that once the biometric systems are given, the process could be started at once,"" said the official.

""Some schools may already be having facilities such as smart classrooms, it would be easier for us to install the systems in such schools. So we are also including their names,"" said the official.

The department has finalised around 40 schools which have the necessary facilities. ""We would finalise the rest 20 schools soon and would send the complete list to the directorate of school education,"" the official added.

On November 15, officials of the directorate of school education held a meeting with the officials at the district chief education office through video-conferencing, where the district officials had asked for biometric systems for 60 schools.

The state had recently said in an order that a total of 7,728 government and government-aided schools would get the biometric attendance system for teachers. Of these, 3,688 are high schools and 4,040 are higher secondary schools."
"10","1001065061","2018-11-22","https://www.thehindu.com/news/national/karnataka/biometric-attendance-system-to-be-installed-in-all-govt-colleges/article25570773.ece","Biometric attendance system to be installed in all govt. colleges","The Hindu",FALSE,"In an attempt to clamp down on students playing truant from class, and reduce teacher absenteeism, the Higher Education Department has decided to instal biometric attendance system in all government colleges in the State by the end of this academic year.

Higher Education Minister G.T. Deve Gowda said this would bring about more transparency. ""We decided to initiate this move after several students complained that their lecturers were not taking classes regularly, which was affecting their academic work,"" he said.

While lecturers will continue to take attendance in class at the end of the session, students will have to punch in and punch out when they enter and leave college. A senior official in the department said, ""We had received complaints that many students, who do not have attendance, pay the college, and the college management fudges their attendance so that they can appear for the examination. Once the biometric system is installed, the Department of Collegiate Education will get the attendance of all students at the end of the day,"" he said. At the end of each month, parents will receive an SMS of the attendance that their child has in each subject. The department will soon float tenders for the biometric system. If it is found that the student does not have the mandatory 75% attendance, the system will not generate admission ticket.

Krithika S., a B.Com a student, said it was a good move. ""Sometimes, teachers dismiss the class after taking attendance as there are not enough students. Many students who are not in class also get attendance as they would have got proxy. Such unfair practices will stop now,"" she said."
