"","ID","date","url","title","source","duplicate","body"
"1","1030038873","2018-12-31","https://www.indiatvnews.com/news/india-huge-gap-between-projected-demands-and-actual-allocations-for-higher-education-department-parliamentary-panel-496484","Huge gap between projected demands and actual allocations for higher education department: Parliamentary panel","India TV News",FALSE,"There is a huge gap between the projected demands and actual allocations made for the HRD Ministry's Higher Education department, a parliamentary committee has pointed out.

""There is a huge gap between projected demands and actual allocations made for the department. Moreover, this reduced allocation of funds do not match with the objectives of expansion and growth of the higher education sector in the country and this would also defeat the endeavour to bring excellence in higher education,"" the committee said in its report which was tabled in Parliament on Monday.

""The department should reconsider or review its overall mechanism right from making the proposed demand till the final expenditure is incurred and also assess the impact thereof in so far as the implementation of various schemes is concerned,"" it added.

The committee also noted that the allocation for central universities is inadequate as compared to their infrastructure, faculty and number of students enrolled."
"2","1028627055","2018-12-29","https://timesofindia.indiatimes.com/city/jaipur/education-department-to-review-rss-influence-on-textbooks/articleshow/67295503.cms","Education department to review 'RSS influence' on textbooks - Times of India","The Times of India",FALSE,"JAIPUR: The new Congress government in the state will review the RSS influence on education and school textbooks while restoring the roles of national icons like father of the nation Mahatma Gandhi and Pt Jawaharlal Nehru.

Taking charge of the department on Friday, education minister Govind Singh Dotasara said, ""The Vasundhara Raje government minimized the contribution of father of the nation Mahatma Gandhi and Pt Jawaharlal Nehru, who played vital roles in the struggle for Independence. Same treatment was meted out to other national icons like ex-PM Manmohan Singh. I will ensure that these national icons' rightful places are restored in the textbooks.""

He said decisions like providing 'saffron coloured cycles', posting RSS-backed officers on boards and councils and changing curriculum will also be reviewed.

In his first meeting with officials, Dotasara directed them to prepare a status report on the revision of textbooks. ""References and chapters preaching bigotry and falsehood will be removed,"" said the minister.

The revision of textbooks is expected to be an uphill task for the cash-crunch government. It is unlikely to take place for the 2019-20 session, which will begin April 2019.

The Raje government carried out revision of textbooks in 2015-16, downsizing the contribution of Congress leaders of the Independence era. The RSS-backed revision carried out by State Institute of Educational Research and Training (SIERT) also omitted the works of John Keats, Thomas Hardy, William Blake, T S Eliot and Edward Lear in the revised Class VIII English textbooks.

Chapters by Muslim writers axed

Jaipur: Chapters authored by Muslim writers like Ismat Chugtai were also axed. They have been replaced by mostly lesser-known authors whose works have a regional flavour. As the controversy picked up, a few of them were restored in the Class IX and XI textbooks.

The RSS-backed members sitting on boards like Rajasthan Board of Secondary Education (RBSE), SIERT and Rajasthan State Textbook Board (RSTB) are also in the line of fire, said source."
"3","1027328107","2018-12-27","https://timesofindia.indiatimes.com/city/chandigarh/regularisation-of-teachers-cat-notice-to-edu-dept/articleshow/67262765.cms","Regularisation of teachers: CAT notice to education department - Times of India","The Times of India",FALSE,"CHANDIGARH: The Chandigarh bench of Central Administrative Tribunal (CAT) has issued notice to Chandigarh administration, education secretary, DPI (schools) and DEO in the petition moved by the UT contractual teachers seeking regularisation. The CAT has sought reply from authorities by February 1. Petition is moved by Gurinder Kaur working in Government Model Senior Secondary School, Sector 32D, Chandigarh along with 11 more teachers seeking regularisation of their services.

The counsel for the applicants, Advocate Ranjeevan Singh contended that despite the fact that all the applicants were appointed on contractual basis in the department in 2002 in a transparent selection process against vacant sanctioned posts and are working since then without any break. Their services are not being regularised by the administration by way of framing a secure policy in light of Uma Devi's judgement rendered in 2006 which mandates all states/UTs are bound to consider the claim of regularisation of its contractual employees as one-time measure who are working since long without any break and that too on the posts which are of perennial nature.

The bench was apprised that till date the UT administration of Chandigarh has not framed any such policy despite repeated representations by the contractual teachers/employees who would become overage for any future employment with the passage of time."
"4","1024380166","2018-12-22","https://timesofindia.indiatimes.com/city/thiruvananthapuram/higher-education-department-website-goes-bilingual/articleshow/67203309.cms","Higher education department website goes bilingual - Times of India","The Times of India",FALSE,"THIRUVANANTHAPURAM: The Malayalam version of higher education department website was launched on Friday. The department has recently relaunched an updated English version of its website. Users can switch languages by a click after longing into the site www.highereducation.kerala.gov.

Higher education department principal secretary Usha Titus formally launched the Malayalam version at an event organized at the Secretariat annexe hall here on Friday.

Apart from various information regarding the activities and guidelines, the website also has a facility for college teachers to submit online their applications for permission to travel abroad.

The facility-SOAFT- system for online application for foreign travel - is expected to put an end to the long wait and the cumbersome procedure for universities as well as government college teachers seeking government permission for foreign trips. The software was developed in association with IHRD.

As part of strengthening the online platforms, the higher education department is on a mission to improve the security features of all existing websites of various directorates and institutions under the department."
"5","1023572331","2018-12-21","https://timesofindia.indiatimes.com/city/mumbai/education-department-circular-on-digital-gadgets-irks-principals/articleshow/67186504.cms","Education department circular on digital gadgets irks principals - Times of India","The Times of India",FALSE,"MUMBAI: Schools have again been asked to send the education department details of the number of computers and other digital gadgets by December 31. Principals said they had sent similar details in November and also uploaded the information on SARAL database, the state's digital portal.

In a circular issued by the department on December 19, schools have been asked to list the status and number of digital devices they have. The data is expected to be uploaded by the end of the month. The circular states the data will enable the department to find out how many schools do not have digital infrastructure which is crucial for implementation of government initiatives.

However, principals are irked. ""We were given a link in November and asked to submit details of our infrastructure. Within a month, we are required to do the exercise again,"" said Prashant Redij, spokesperson of the Mumbai Principals Association."
"6","1021802815","2018-12-19","https://timesofindia.indiatimes.com/city/noida/education-dept-to-inspect-all-primary-schools/articleshow/67153452.cms","Education department to inspect all primary schools - Times of India","The Times of India",FALSE,"NOIDA: The district basic education department on Tuesday formed two committees to carry out an inspection of all primary schools in Gautan Budh Nagar. The aim is to detect unregistered schools as well as those not adhering to safety norms, officials said.

The move comes a day after two children were killed and six others injured in a wall collapse at a private school in Noida.

According to police, the school building in Salarpur was ""too old and deteriorated"" and its wall collapsed due to the impact of some construction activity that was going on ""without any official approval"" in the adjoining plot.

""Earlier we found 174 unregistered schools in the district, of which 93 were shut down immediately and 22 more were closed after imposition of Rs 1 lakh fine on each.

""We are now trying to detect more such schools which may be operating without valid permissions,"" basic sikhsha adhikari (BSA) Bal Mukund told TOI.

""Sometimes these owners reopen the unregistered schools by changing their names. So two teams with two officers and two junior staff each will do the inspection. And if we find such violators, we will lodge police complaints against them and register FIRs for illegal operation of business in the name of schools,"" he said.

""Schools will be given recognition only when they meet all educational and safety parameters,"" the BSA added.

However, Mukund also acknowledged the need for more schools in the district to cater to the educational needs of every child.

""We have 685 government schools in Gautam Budh Nagar. However, these are not enough to meet the needs of a huge migrant population. At the same time, we cannot allow safety to be compromised,"" he added."
"7","1020452773","2018-12-17","https://timesofindia.indiatimes.com/city/bengaluru/rte-exemption-education-department-files-cheating-case-against-national-public-school/articleshow/67122268.cms","RTE exemption: Education department files cheating case against National Public School - Times of India","The Times of India",FALSE,"BENGALURU: The education department has filed a case of cheating and forgery against the National Public School (NPS) for getting exception from the Right to Education (RTE) Act 2009 by allegedly submitting fake certificates.

Jeevan Bima Nagar police registered a case against the school's chairman and administrative board on Friday based on a complaint filed by Saleem Pasha, block education officer (BEO), Bengaluru south.

Pasha alleged that an administrative board member of National Education Trust, which runs NPS in HAL II Stage, Indiranagar, submitted a certificate to the education department to claim RTE exception. The member claimed NPS is a linguistic minority school declared by the National Commission for Minority Educational Institutions (NCMEI), government of India. But the NCMEI secretary told the education department that the certificates furnished by NPS are fake.

""We have registered a case against NPS and the matter is under investigation. We can't reveal more,"" an officer said. An NPS official said they have no information about the complaint and will look into the matter."
"8","1019118536","2018-12-15","https://swarajyamag.com/insta/madras-high-court-directs-tamil-nadu-education-department-to-submit-true-list-of-teachers-who-were-transferred","Madras High Court Directs Tamil Nadu Education Department To Submit 'True List' Of Transferred Teachers ","swarajyamag.com",FALSE,"A petition that was filed in the Madras High Court in Chennai alleged that there has been multiple cases of irregularities in the transfer of teachers in government schools. While hearing the petition, a Bench asked the Department of Education in Tamil Nadu to submit a 'true list' of teachers who had been transferred after the online counselling was completed.

The directive was given on Thursday (13 December). The Bench consisting of Justice KK Sasidharan and Justice AD Audikesavalu passed the directive. This has been done after a contradiction in data was pointed out. The reply given by the department in response to an RTI application shows different numbers as compared to the copy that had been submitted to the HC by the Secretary, Education, India Today reported.

The Education Secretary has been told that there lies no truth in the list that has been submitted to the HC that contains data on the general transfer of teachers."
"9","1018228279","2018-12-14","http://www.newindianexpress.com/cities/thiruvananthapuram/2018/dec/14/higher-edu-dept-mulls-fixed-term-for-registrars-1911279.html","Higher Education Department mulls fixed term for registrars","The New Indian Express",FALSE,"THIRUVANANTHAPURAM: The Higher Education Department has proposed to implement a specific term for registrars and controller of examinations in all universities in the state aiming to bring a periodical upgradation of varsity proceedings. The proposal is to replicate the four-year tenure of Vice-chancellors.

K T Jaleel, Minister for Higher Education, told Express the proposal was to ensure a periodical development in the system of universities.

""What the government proposes is a system like the tenure of VCs. Right now, the post of registrar and Controller of Examinations does not have any specific time period and it is purely based on the normal service rules. The new proposal could bring a paradigm shift to the higher education sector,"" he said. He also said the new system would be implemented in all universities very soon.

Nomination process will be mandatory for the appointment of VCs

Another major decision is to make the nomination process mandatory in the appointment of Vice-Chancellor in the universities in the state. ""Some universities in the state are following the nomination process to appoint the VC in addition to receiving the job application of the applicant. This has to be replicated in all universities so that an efficient person can become a VC based on the nomination by a set of experts. In short, the priority of appointment of VC will be based on nomination, but we will not scrap the application process,"" the minister said.

Other major recommendations are to change the old pattern of examinations and to make the question papers and answer sheets available online. According to the minister, the authorities are exploring the possibility of informing the examination results to students and parents via mobile phones. The valuation should begin immediately after the examinations. Jaleel made a point to the syndicate members on the recognition of certain courses between the universities in the state.

More emphasis on research

Research facilities in all universities will be strengthened. As part of the first step, a research consortium will be formed soon. The main aim will be to transform the institutions into centres of excellence. A proper co-ordination between universities will be ensured for hassle-free research programmes."
"10","1011585973","2018-12-05","http://www.newindianexpress.com/states/karnataka/2018/dec/05/not-a-file-moves-in-higher-edu-dept-sans-bribe-1907523.html","'Not a file moves in higher education department sans bribe'","The New Indian Express",FALSE,"BENGALURU: Allegations of corruption in the Higher Education Department have persisted over several years, but on Tuesday some MLCs expressed their unhappiness before department minister G T Devegowda during a meeting at Karnataka State Council for Higher Education in Bengaluru.One of the MLCs present at the meeting said, ""No file moves in your department without a bribe. If anyone questions this, the files are further delayed.""

Other MLCs concurred and demanded that the minister initiate necessary action to curb corruption in the department.The minister assured the MLCs that he will look into the issue and hold a meeting with the department officials."
