"","ID","date","url","title","source","duplicate","body"
"1","1029150588","2018-12-30","https://www.dnaindia.com/ahmedabad/report-gujarat-schools-need-district-education-officer-s-nod-for-students-trip-2702021","Gujarat: Schools need District Education Officer's nod for students' trip","Daily News and Analysis (DNA) India",FALSE,"In the wake of two recent bus accidents in which 10 students were killed and several others injured, the state government has mandated schools to take permission from the District Education Officer (DEO) before planning any trip or a picnic. The state government on Friday framed rules to be followed by schools before any picnic or excursion. The new rule not only bans school picnic buses from plying between 11 pm and 6 am but now the schools will have to provide details of a number of boys and girls being taken for a trip, names of teachers accompanying, parents agreement letter, etc in an application to be submitted to the DEO.

The notification issued on Friday stated, ""It is important for students to be taken for educational purpose be it excursion, place visit, personal meeting, organisation visit, museum travel and picnic. But schools need to follow the rules framed by the state government.""

As per new rules, schools will have to form a panel or committee to discuss the desired destination/place, route, time-table, estimated time and cost. Apart from this, schools will also have to take an agreement letter from parents for the visit. It has also been mandated to have female teachers for female students as a guide. For every 20 students, one teacher should be assigned the duty.

To curb the menace of private tuitions run by teaching and non-teaching staff, the state government on Saturday issued a notification that prohibits such activities. The government has come down heavily on schools and have asked the schools to send a certificate (monthly) stating that no employee is running private tuitions. The notification stated: The department has received oral and written representation from student organisations complaining of teaching and non-teaching staff running private tuitions. If anyone is found breaking the rules, steps would be taken against the school."
"2","1026907979","2018-12-26","http://risingkashmir.com/news/pulwama-chief-education-officer-removed-after-complaint-","Pulwama chief education officer removed after complaint ","RisingKashmir",FALSE,"The Pulwama district chief education officer (CEO) was removed from the post following a complaint that he was continuing his services in two different departments simultaneously, an official spokesman said Wednesday.

""The government ordered immediate attachment of CEO Pulwama Mushtaq Ahmad Salroo, pending inquiry,"" the spokesman said quoting an order issued by secretary, School Education, A K Sahu.

Soni Sanam, the principal in-charge of the District Institute of Education and Training (DIET), Pampore, would hold the additional charge as the CEO Pulwama, he said."
"3","1026849137","2018-12-26","https://www.business-standard.com/article/pti-stories/pulwama-chief-education-officer-removed-after-complaint-118122600672_1.html","Pulwama chief education officer removed after complaint","Business Standard",FALSE,"""The government ordered immediate attachment of CEO Pulwama Mushtaq Ahmad Salroo, pending inquiry,"" the spokesman said quoting an order issued by secretary, School Education, A K Sahu.

He said Salroo would remain attached with the directorate of school education.

Soni Sanam, the principal in-charge of the District Institute of Education and Training (DIET), Pampore, would hold the additional charge as the CEO Pulwama, he said.

""The action has been taken against Salroo following a complaint regarding continuing his services in two different departments simultaneously during leave period,"" the spokesman said, without elaborating further.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"4","975858397","2018-10-22","https://www.thehindu.com/news/cities/mumbai/no-confidence-motion-against-education-officer/article25291260.ece","No-confidence motion against education officer","The Hindu",FALSE,"Mumbai: All political parties in the BMC will be moving a no-confidence motion against education officer (EO) Mahesh Palkar, alleging incompetency.

Mr. Palkar is a government employee on deputation in the civic body. He has been working as EO for the last two years and has taken strict action against teachers for lapses. Leaders of all parties have written to the Mayor in the matter, but the motion could not be tabled before the general assembly on Monday. It is likely to be tabled in November."
"5","965724541","2018-10-10","http://www.newindianexpress.com/states/andhra-pradesh/2018/oct/10/acb-unearths-rs-30-crore-in-raid-on-andhra-education-officer-1883494.html","ACB unearths Rs 30 crore in raid on Andhra education officer","The New Indian Express",FALSE,"KAKINADA: The ACB on Tuesday unearthed alleged disproportionate assets worth nearly Rs 30 crore as per market value in raids on an assistant director in the office of DEO. Though the registered value of the assets in possession of Myle Prabhakar Rao is Rs 1.62 crore, ACB officials said their market value would be Rs 30 crore. The raids on the residences of Prabhakar Rao, who is also in-charge Deputy Education Officer of Rajamahendravaram, were carried out after he was trapped by ACB officials while he was taking a bribe of Rs 10,000 on September 20.

The Anti Corruption Bureau (ACB) on Tuesday unearthed alleged disproportionate assets worth nearly Rs 30 crore as per market value in raids on an assistant director in the office of District Education Officer. Though the registered value of the assets in possession of Myle Prabhakar Rao is Rs 1.62 crore, ACB officials said their market value would be Rs 30 crore.

The raids on the residences of Prabhakar Rao, who is also in-charge Deputy Education Officer of Rajamahendravaram, were carried out after he was trapped by ACB officials while he was taking a bribe of Rs 10,000 on September 20 from a person who sought permission to pursue BEd with full pay. Rajahmahendravaram ACB DSP Sudakhar and his staff conducted the raids at Prabhakar Rao's house in Kakinada and Rajahmahendravaram and also at other places in Tanuku in West Godavari and Bengaluru.

According to an official release, Prabhakar Rao owns 400-sq yard and 200-sq house sites in Vizianagaram.

He purchased them in 2005 and 2003 respectively. Apart from these two plots, he purchased a 266.66-sq yard plot in Kurnool district in 2012, 1287-sq yard vacant site in Bengaluru in 2014, 470.88-sq yard site at Rajanagaram in 2014, 2400-sq yard plot in Bengaluru in 2015 and another vacant site of 171.41 sq yards at Orvakal in Kurnool and also a flat in Vizianagaram and a residential house at Rajamahendravaram.

Apart from this, the Anti Corruption Bureau officials also found three vacant sites at Vizianagaram and in Tamil Nadu in the name of Prabhakar's wife M Vijaya Kumari. Other assets include gold ornaments worth Rs 11 lakh, silver articles worth Rs 1.15 lakh, household articles worth Rs 3.13 lakh, cash of Rs 6.25 lakh, a bank balance of Rs 1.96 lakh and promissory notes worth Rs 6 lakh."
"6","965524314","2018-10-09","https://www.thehindu.com/news/national/andhra-pradesh/acb-searches-properties-of-trapped-dy-education-officer/article25173197.ece","ACB searches properties of trapped Dy. Education Officer","The Hindu",FALSE,"Officials of Anti-Corruption Bureau (ACB) conducted raids on the properties of Assistant Director-1, M. Prabhakara Rao, working in the office of District Education Office, Kakinada.

Mr. Rao is also the in-charge Deputy Education Officer of Rajamahendravaram. On September 20, this year, ACB officials trapped the officer while he was allegedly accepting ₹10,000 as bribe from a complainant for doing an official favour.

ACB Director General R.P. Thakur said, as part of investigation, the ACB teams conducted searches on the properties of the Dy. EO, at Salipeta in Kakinada, Rajamahendravaram and Tanuku and Bengaluru on Tuesday.

They found seven house sites, a flat and a residential house registered on the name of Prabhakara Rao. Besides, three sites and a shop, worth some lakhs of rupees, were registered on the name of his wife, M. Vijaya Kumari.

ACB police seized 500 gm of gold, 4 kg of silver, ₹6 lakh cash and pro-notes valued at ₹6 lakh from his house. The case is under investigation, Mr. Thakur added."
"12","952870561","2018-09-23","https://www.hindustantimes.com/india-news/uttar-pradesh-bjp-mla-misbehaves-with-education-officer-video-goes-viral/story-vfgeiMHxcKfxHg4xyW4x9M.html","Uttar Pradesh BJP MLA misbehaves with education officer, video goes viral","Hindustan Times",FALSE,"BJP MLA Surendra Singh and some of his party's leaders allegedly tried to misbehave with a district inspector of school (DIOS) at an official meeting here.

The incident, a video of which has gone viral, took place Saturday in presence of the district magistrate.

In the video, the MLA is purportedly seen getting agitated with DIOS Narendra Dev Pandey and moving towards him, and the education officer being allegedly pushed by a BJP leader.

The district magistrate, however, managed to control the situation.

District Magistrate Bhawar Singh Khargaut said the DIOS during the meeting said that he was not afraid of anyone due to which the MLA and others got agitated.

The MLA however, later, regretted for the incident."
"13","952660304","2018-09-22","https://www.hindustantimes.com/dehradun/education-officer-renovates-schools-in-the-hills-with-her-own-salary/story-FzNGuNDJw7qKQPbuMrZhBK.html","Education officer renovates schools in the hills with her own salary ","Hindustan Times",FALSE,"During inspection of a primary school in Tarikhet block of Almora district (please give time), Geetika Joshi, a deputy education officer, saw children shivering in the cold, as rainwater leaked from the rooftop of a classroom. It prompted her not just to repair the roof, but also renovate the entire school building with her own salary.

""School was in shabby condition and when I saw the children, I felt them like my own children. I immediately decided that I will get the roof repaired with my own salary. Later, I renovated the entire building with own money,"" said Joshi, who joined at the deputy education officer in the Tarikhet block in March, 2015.

Now, she is working on a mission to transform other schools in the district. ""After renovation of the school building, it came to my mind why I should not do the same work in other schools of the area, which are in dilapidated condition with the cooperation of teachers. I started motivating teachers and received overwhelming response from them. Initially, we collected Rs 2.5 lakh from teachers and started renovating school buildings, providing necessary infrastructure,"" she said.

""We provided sweaters to the children of poor families. Since we thought a child can't concentrate on the studies shivering in cold. Tarikhet is mountainous region and severe cold is witnessed there,"" she said.

Talking about her new mission, Joshi said: ""One day, Himanshu Khurana, an IAS officer presently posted as joint magistrate of Ranikhet, during a visit to one for transformed schools, asked us 'How long you can do this with your own effort?' and advised us to take cooperation from MLAs and businessmen for the public interest work.""

Under his guidance, 'Roopantaran' scheme was conceived and launched for the transformation of government schools and a bank account was opened in Ranikhet to seek monetary cooperation from people, Joshi said. ""With the money, we started to provide necessary infrastructure, uniform, teaching material and better quality of education,"" she added.

After the launch of the scheme, Joshi contacted Ranikhet MLA Karan Singh Mahra for his support and he sanctioned Rs 23 lakh from his MLA Fund for the noble cause. ""Several schools were not only renovated (with the money), but also provided smart class equipment,"" she said.

A few months ago former district magistrate Eva Ashish Srivastava also sanctioned ~12 lakh for Roopantaran. Impressed with the initiative, present district magistrate Nitin Bhadoriya is also supporting the cause.

Kamlesh Giri Goswami, the head mistress of Government Primary School at Garee, claimed, ""Our primary school, after transformation, is not less any private school in term of infrastructure and quality education. It has also instilled confidence in our children.""

Himanshu Khurana said, ""When I joined as joint magistrate in Ranikhet in October 2017, initiative was on small scale. I brought it into the notice of former district magistrate Eva Ashish Srivastva, she pushed it and sanctioned budget from untied fund.""

So far, 43 schools of Ranikhet and 14 schools of other areas in Almora district have been transformed. Joshi's efforts are increasing the strength of students in the schools."
"14","951095023","2018-09-20","https://telanganatoday.com/education-officer-told-to-comply-with-order","Education officer told to comply with order","Telangana Today",FALSE,"Hyderabad: Justice P Naveen Rao of the High Court at Hyderabad on Thursday granted time to the Nalgonda District Educational Officer, Director of School Education, Telangana and Principal Secretary -- School Education Department to comply with the order of the court in a contempt petition filed against them. The judge was dealing with a contempt petition filed by Syed Fahmida Parveen. The petitioner had earlier approached the court questioning the action of the Nalgonda District Educational Officer in transferring her and pointed out that she was entitled to be accommodated as School Assistant, Social Studies, in government management schools. The petitioner sought quashing of transfer proceedings. The court had passed interim directions to the officials not to transfer her. Aggrieved by the inaction of the respondents in failing to comply with the court order, the petitioner filed the present contempt petition. The judge granted time to the officials to respond and adjourned the matter.

Justice P Naveen Rao granted time to the Telangana government to obtain instructions in a matter pertaining to removal of the petitioner as a mini anganwadi teacher in Chikkulonigudem hamlet of Nagaram village of Jangam district. The petitioner questioned the action of the Child Development Project Officer in removing her from the said post. The removal was approved by the Janagam Collector. She sought a stay on all further proceedings and to allow her to continue to work at the school. The judge granted time to the officials to respond.

Justice P Naveen Rao set aside the suspension order of a conductor belonging to the Telangana State Road Transport Corporation. The bench was dealing with a writ petition filed by P Vinod Kumar, a conductor in TSRTC, questioning the suspension order passed by the TSRTC depot manager, Karimnagar. It was alleged that the conductor was responsible for an accident of a bus while he was on duty that resulted in the death of one person. The petitioner contended the allegation was false and that the death of the person was not due to his negligence. In fact, he pointed out, there was a suspicion regarding the death of the person. He pointed out that the bus driver had already been reinstated and he was being solely held responsible for the death. The judge set aside the suspension order until further investigation and a concrete evidence was placed on record."
"15","950531140","2018-09-19","http://www.newindianexpress.com/states/karnataka/2018/sep/20/block-education-officer-clears-blockage-in-karnataka-school-toilet-1874668.html","Block Education Officer clears blockage in Karnataka school toilet","The New Indian Express",FALSE,"KOLAR: Block Education Officer (BEO) Kempaiah personally cleared the blockage in a toilet at the Kannada Lower Primary School Kanumanahalli in Bangarpet taluk on Wednesday.

According to sources, parents of schoolchildren informed Kempaiah of the unhygienic atmosphere at the school. They complained that the classrooms are not in good conditions.The BEO visited the school and took a look at the rest room where he noticed the blocked toilet. The officer himself cleaned the toilet with a brush and removed the blockage.

He told TNIE that the teachers and anganwadi workers should have brought the matter to the notice of gram panchayat officials. He said he received complaints that girl students go home for toilet during

class hours."
