"","ID","date","url","title","source","duplicate","body"
"1","1026738802","2018-12-26","http://www.newindianexpress.com/nation/2018/dec/26/school-dropouts-increasing-in-many-states-1916572.html","Government school dropouts in classes 9, 10 increasing in many states","The New Indian Express",FALSE,"NEW DELHI: In what could be a major worry for policymakers in the field of education, the number of children who drop out of government schools in class IX and X is increasing significantly in most states of India.

The latest data from the Unified District Information System for Education (U-DISE), a database of information about schools, says that the situation is particularly grim in states such as Bihar, Jharkhand, Uttar Pradesh, Tamil Nadu, Jammu and Kashmir, Telangana, West Bengal, and some north-eastern states, as per 2016-17 statistics.

In these states, the percentage of students dropping out of school in secondary classes was considerably higher than the previous years. For example, in Bihar, in 2016-17, 39.73 per cent students in secondary classes withdrew from school, as compared to just 25.90 per cent students in 2015-16.

In Jharkhand, 36.64 per cent students dropped out in 2016-17, the last year for which data is available, which is over 12 per cent more than the previous year. The Union Human Resources Development Ministry has been boasting about making significant changes in the school education sector.

It's own figures, however, suggest that while the gross enrolment ratio was over 100 per cent at the primary level in 2016-17 (GER can be more than 100 per cent at the primary level because of overage and underage children taking admissions), it Is less than 80 per cent at the secondary level and is yet to reach 60 per cent at the senior secondary level.

Education experts said that while lack of access in rural areas and lack of interest in learning are major factors why children in higher classes drop out of schools, the no-detention policy till class VIII, which was introduced as part of the Right to Education act, could also be a reason.

""The government has now moved to end the no-detention policy, but in the past many year, it has been seen that children who were not assessed properly till class VIII, lose interest in studies when they don't do well at higher level examinations,"" said educationist Varsha Narain."
"2","1026559931","2018-12-26","https://timesofindia.indiatimes.com/city/delhi/govt-school-teacher-contender-for-global-award/articleshow/67249069.cms","Delhi government school teacher contender for global award - Times of India","The Times of India",FALSE,"NEW DELHI: An English teacher of a Delhi government school is among the top 50 finalists of the prestigious Global Teacher Prize.

Arti Qanungo (39) was shortlisted from among a lakh participants from 179 countries. A teacher at Government Girls Senior Secondary School, School Block, Shakarpur, Qanungo has been teaching for the last 17 years.

She began her career as a teacher at a civic body school before moving to a Delhi government school in 2010.

A mother of three, Qanungo is known for her innovative teaching ways. Last year, too, she was given a state award for best teacher, and had also received an award from a university in London.

""English is a subject in which students in our government schools don't feel very comfortable. I diagnosed the problem and developed a strategy. Rather than making it a subject confined to reading and writing, I worked on developing listening skills of the children. I would ask them to hear the announcement at railway stations, metro, radio and call centres. The strategy worked and students became very confident,"" Qanungo said.

It was her daughter who asked her to apply for the global award given by Varkey Foundation. ""My daughter got an Economic Times cutout and asked me to apply for it. I thought when my daughter was so confident, I should apply,"" Qanungo said.

The global award carries a cash amount of 1 million dollars and would be handed at an event in Dubai next March.

Chief minister Arvind Kejriwal congratulated her on Twitter for taking Delhi's education system to a global platform. Deputy CM Manish Sisodia also congratulated her.

Born and bought up in Delhi, Qanungo completed her schooling at Lilavati Vidya Mandir Shakti Nagar. She did her teachers training from District Institute of Education and Traning (DIET), Keshavpuram.

Qanungo said she always wanted to be a teacher as they are nation builders."
"3","1026559879","2018-12-26","https://citytoday.news/tilak-nagar-government-school-crying-for-attention/","Tilak Nagar government school crying for attention - Mysuru Today","Mysuru Today",FALSE,"Mysuru, December 26:- Social worker, advocate Paduvarahalli Ramakrishna has demanded basic amenities for Tilak Nagar government higher primary school.

""Tilak Nagar government school, which comes under Mysuru City Corporation (MCC), has become a dumping yard. The students are struggling because of this. The school which has a history of 100 years has about 70 students. As the school does not have a compound wall, people urinate at the school premises. This has become hazardous for the health of the students from poor families. (MR/KS)."
"4","1026076933","2018-12-25","https://timesofindia.indiatimes.com/city/mangaluru/villagers-revive-kannada-medium-government-school-in-bantwal/articleshow/67236106.cms","Villagers revive Kannada-medium government school in Bantwal - Times of India","The Times of India",FALSE,"MANGALURU: The Daddalkad villagers, about 35 km from here, have set an example by showing that collective efforts can save a Kannada-medium government school from closure. They have built a school by pooling Rs 2.20 crore with 24 classrooms and imparting English education alongside Kannada, and it is all set for inauguration.

The 43-year-old Government Higher Primary School, Daddalkad, Bantwal taluk, was in a dilapidated condition in 2015 and had only 30 students. Now it has around 500 children, studying from LKG to class VIII, where English is taught along with Kannada.

It was all possible because of the efforts and foresight of Shree Durga Friends Club, Karenki, led by Prakash Anchan, a garment merchant from Bantwal.

""When most Kannada-medium schools across the state are closing down due to various reasons, we wanted to show the world that this school can be saved by adopting new teaching skills, and today we are successful in doing so. Our mission began three year ago when theschool had only 30 children. Even those who had joined nearby English-medium schools have quit, and have taken admission here,"" says an elated Prakash while speaking to TOI.

The first phase of the school with eight classrooms was inaugurated last April, and second and final phase will be inaugurated by governor Vajubhai Vala on January 5.

Anchan added that they collected all the money from generous donors, who included locals, parents and others. ""We have not taken a single penny from any government be it the Centre or state. When we proposed the same building plan, the government estimated a cost of Rs 6 crore, but we have completed the work by spending Rs 2.2 crore.""

The school has five government-appointed teachers, three guest teachers, three vehicle drivers, and Karate, dance and music teachers. About16 staff are paid by the Shree Durga Friends Club members. All the facilities are provided free-of-cost to children, including transportation.

Success story

In 2015, when the school was about to shut down, the Shree Durga Friends Club members swung into action. They made their own children quit from English-medium schools and admitted them to the school, due to which their number rose to 56 from 30. The members later sought permission from the department of public instruction to convert the medium of instruction to English. It has adopted teaching in the English-medium in a Kannada school, which is a model similar to what is followed in Kerala, Tamil Nadu and Andhra Pradesh. The club is in a five-year agreement with the government to run the school in various capacities.

Earlier, the school had only three teachers appointed by the government. After taking over, club members have recruited additional teachers, and the club pays their salaries. It has transportation and other facilities."
"5","1025669239","2018-12-24","http://www.newindianexpress.com/states/telangana/2018/dec/24/learning-in-woods-govt-school-kids-taken-on-field-trip-to-forest-1915734.html","Learning in woods: Bhupalpally government school kids taken on field trip to forest","The New Indian Express",FALSE,"WARANGAL: The Forest Department in Bhupalpally has started a novel programme called Vana Darshini for students of government schools with the aim to familiarise them with forest and its benefits. Over 118 students from Government Model School, Venkatapur and Kasturba Gandhi Balika Vidyalaya (KGBV) were taken to nearby forest area. The forest officials explained the students about the importance of forest and how it is responsible for rainfall. Students were shown different plants and taught about its importance. The forest officials also screened a documentary on Eturnagaram wildlife sanctuary.

""We are organising these visits so that students have a first hand experience and show concern for nature,"" said Bhupalpally district forest officer SV Pradeep Kumar Shetty. The students trekked long distances to see the facilities that forest officials have provided for wild animals. They learnt about tiger trenches and saucer pits. The students were also taken to environment education centre and were briefed about environment conservation.District eco-tourism coordinator Suman Kalyanapu claimed positive results. ""We are receiving good feedback from schools,"" she said."
"6","1023714332","2018-12-21","https://timesofindia.indiatimes.com/city/chandigarh/government-school-rape-case-in-charge-transferred-to-another-institute/articleshow/67188363.cms","Government school rape case: In-charge transferred to another institute - Times of India","The Times of India",FALSE,"CHANDIGARH: A day after Chandigarh Commission for Protection of Child Rights (CCPCR) sent recommendation letter to the education department, asking them to take strict action against in-charge and officials responsible for the delay in the rape case, the department transferred the in-charge of the concerned school to another school.

This shows that the department itself has not taken any major step besides issuing advisory in the case. ""She did not delay taking the action. The moment parents of the survivor told her, she immediately reported the incident to the police,"" a senior official told TOI.

However, this does not match with the statement the in-charge gave to the CCPCR. In her statement, she had said that after the parents reported the matter on October 22 she handed over the case to the school's sexual harassment committee. Then the in-charge telephonically reported the matter to the DEO office. However, a letter was also given to the DEO on October 25. On October 26, media reported the case and then the FIR was registered. CCPCR had sent letters recommending strict action on December 17 while the transfer orders were issued on December

18. The reason stated for the transfer was ""mistresses (being senior most) are hereby assigned the duties of the in-charge in the schools."" Another person has been made in-charge of the school in her place.

Earlier the CCPCR, despite being the right authority, had refrained from acting tough against those responsible for the delay in reporting of the case and had left the onus to decide action on authorities concerned.

As per former members of the commission, inclusion of officials from the UT education department, health and other departments in the CCPCR has led to show leniency in a serious case. ""Last time when it was a private school head at fault, an FIR was recommended because that is what the Pocso Act states and this time CCPCR just saved itself and left it to the department to act,"" said a member requesting anonymity. Education secretary B L Sharma however, assured that appropriate action will be taken. It was on October 25 that the matter came to light that a class VII boy had allegedly raped a class I student."
"10","1022762148","2018-12-20","https://www.aninews.in/news/bihar-government-school-dividing-students-on-basis-of-caste-and-religion201812201103430001/","Bihar: Government school dividing students on basis of caste and religion","http://aninews.in",FALSE,"Vaishali (Bihar) [India], Dec 20 (ANI): Following reports of caste and religion based discrimination in a school here, a team constituted to investigate the matter has concluded that such system was indeed prevailing in the school and held the Principal responsible for it.

The District Education Officer-led-team in its written recommendation to the education department has asked for the stern action against the Principal, Meena Kumari.

""From many years, the system of division of classroom on the basis of caste and religion is existing in the GA Higher Secondary School at Lalganj in Vaishali district. Separate classrooms were allotted for the students belonging to the upper castes, OBCs and Dalits. Similarly, There are also separate sections and rooms for students belonging to Hindu and Muslim communities at the school,"" confirmed Vaishali District Magistrate, Rajeev Roshan.

After the matter came into light, the officials constituted a team to investigate further.

""Strict action would be taken against the Principal and she would be suspended from her service,"" Roshan added

Even after the report proved the allegation, Meena Kumari, in her defence, rejected such claims and said, ""Students of every caste and religions sit together, there is no such division."" (ANI)"
"11","1022034631","2018-12-19","https://www.hindustantimes.com/gurgaon/all-unsafe-government-school-buildings-in-gautam-budh-nagar-to-be-demolished/story-koIHx3I0stthaivU2ybZgL.html","All unsafe government school buildings in Gautam Budh Nagar to be demolished","Hindustan Times",FALSE,"The basic shiksha adhikari (BSA), Gautam Budh Nagar, on Tuesday, asked block education officers to demolish all dilapidated government school buildings that are unsafe and can cause harm to students.

The move comes after a wall collapsed in Noida's New KM Public School in Salarpur village, killing two children and injuring three students. The BSA said they will demolish all unsafe government school buildings and identify illegal private schools to close them down.

""We have written to block education officers to ensure that the private agencies are selected in each village to demolish unsafe government school buildings and construct new ones. The private agencies that will build the new school buildings will be finalised through an open auction in the respective villages. Earlier, due to technical reasons, we could not hire private agencies to reconstruct government schools,"" Balmukund Prasad, BSA, Gautam Budh Nagar, said.

According to officials, there are several government primary and middle schools in various villages across the district that are operating in old, unsafe buildings.

The education department has also written to the block education officer in Dankaur to inspect private schools and shut them down if they are violating norms.

As per the education department, there are 174 illegal schools in the Gautam Budh Nagar district. Over two lakh students study in these schools, that are housed in illegal buildings with no safety measures in place, officials said.

""After a 2017-18 survey, we identified 174 illegal schools in district. Most of them were shut down. Now, to identify more illegal schools, we have formed two teams that will submit monthly reports. The allegations of parents that we were aware of all illegal schools operating in the district are false and baseless,"" Prasad said.

""The block education officer needs to inspect Children's Academy in Chhijarsi; Dayanand Public School, Bahlolpur; Vivek Vidyapeeth, Chhijarsi; Gyandeep School in Chotpur, HI Public School in Chhijarsi; Geeta Public School in Chhijarsi; Jagriti Public School in Chhijarsi and Naveen Gyan Hari Singh Public School. If these schools are illegal, then we will shut them down immediately,"" Prasad added.

The other schools that are to be inspected by the education department are CBSE Public School, Prayag Public School and Sai Public School in Yakubpur village; and Royal Public School, Gayatri Public School and Beena Public School in Sadarpur village.

Pradeep Yadav, whose son was killed when New KM Public School's wall collapsed on Monday, said,""If these 174 schools were illegal and unsafe for children, then why did the education department not act earlier. We demand that the UP government file an FIR against education department officials for laxity.""

Prasad said,""Parents are responsible for checking whether schools are approved or not before they admit their wards. We have decided to seek information from the public about schools they think are illegal as well. We will inspect them and take appropriate action.""

According to him, there are nearly 1,000 legal schools in the district, including private and government schools."
"12","1021991386","2018-12-19","https://timesofindia.indiatimes.com/city/chandigarh/ccpcr-issues-directions-in-government-school-rape-case/articleshow/67157309.cms","CCPCR issues directions in government school rape case - Times of India","The Times of India",FALSE,"CHANDIGARH: Nearly a month after deciding the recommendations in the rape case of a Class I government school student, the Chandigarh Commission for Protection of Child Rights (CCPCR) has finally issued letters to the UT education secretary, health services director and the Chandigarh SSP, directing all to take action in the matter.

As per the inquiry, the school head, education department officials and the doctors who examined the girl did not report the matter to the police. Copies of the letters are with TOI.

In November, TOI had reported that the commission has refrained itself from recommending action against the persons in question for delay in reporting the case as suggested in the Juvenile Justice Act and had left it to the concerned authorities to decide the punishment. Notably, this is the first time that the child rights commission has shown leniency in a serious case and not recommended FIR against every person from doctors to school heads and education department officials who did not report the matter to the police as per the Act suggests.

As per the information, this was done because the school authorities were found to be unaware about the law that applied in such a case.

In 2015, CCPCR had acted the other way and recommended FIR against the school management of a private Chandigarh school for delaying to report the molestation case of a pre-primary student. The conductor of the school bus had molested a kindergarten student in the bus. Recently, the Punjab and Haryana high court had directed a lower court to proceed against a the school principal who had failed to act even after knowing about the molestation.

The JJ Act states under Section 19 (1) that any person who has the apprehension that an offence is likely to be committed or has the knowledge that an offence has been committed, should bring the incident to the notice of the special juvenile police unit or the local police. The failure to report such an offence is punishable with imprisonment or fine or both.

Failing to report the commission of an offence under Section 19 (1) or failing to record such offence under section 19 (2) is punishable under Section 21

(2) which states that any person, being in-charge of any company or an institution (by whatever name called) who fails to report the commission of an offence in respect of a subordinate under his control, shall be punished with imprisonment for a term which may extend to one year and with fine.

CCPCR chairperson Harjinder Kaur could not be reached for comment."
"13","1021836977","2018-12-19","https://www.latestly.com/india/education/delhi-government-school-admissions-hc-says-address-proof-not-necessary-orders-sarvodaya-kanya-vidyalaya-to-grant-admission-547548.html","Delhi Government School Admissions: HC Says Address Proof Not Necessary, Orders Sarvodaya Kanya Vidyalaya to Grant Admission | LatestLY","Latestly",FALSE,"The registration process for the school admission at government schools in Delhi is over. Lakhs of parents' swarm to various schools in the city in the hope of securing a place for their children to receive a quality education. Adding to the many woes of the parents, a government school, identified as Sarvodaya Kanya Vidyalaya in Anand Vihar at the capital city denied admission to kids who could not submit their permanent residence proof of Delhi. Reportedly the father of three children approached the Delhi High Court. The HC in its verdict said that not having an ""address proof"" of Delhi is not a valid ground to deny admission to the children in government schools. Delhi Govt Introduces 100 More Libraries in Its Schools; Students to Be the Bookkeeper.

The Indian Express quoted the petition which further read that the refusal of admissions is ""arbitrary, discriminatory, illegal, unconstitutional, and violative of fundamental rights."" Hearing the plea, Justice C Hari Shankar ordered Sarvodaya Kanya Vidyalaya to grant admission to the three children who live in Ghaziabad. ""The Sarvodaya Kanya Vidyala is at a distance of 2-3 km from their residence, and there is no justification not to grant admission to wards of my client merely on the ground that they are not residents of Delhi... In case they were not allowed to attend classes... in any other government school nearby in the academic year 2018-19, their studies would suffer badly,"" the petition added. Delhi Schools Adopt 'Project Dhoop'; Noon Assembly to Help Increase Absorption of Vitamin D Among Students.

The family's identification was not revealed in the report. Meanwhile, the Delhi High Court refused to interfere with the decision of the city government schools to fill all the seats available under the economically weaker section (EWS) quota through computerised draw of lots. As per earlier reports, a bench of Chief Justice dismissed the petition by Divine Organisation Rural Education (DORE) seeking not to implement the online system of admissions in schools."
