"","ID","date","url","title","source","duplicate","body"
"2","1029480762","2018-12-30","https://www.business-standard.com/article/pti-stories/rice-worth-rs-2-7-cr-meant-for-mid-day-meal-schemes-seized-118123000522_1.html","Rice worth Rs 2.7 cr, meant for mid-day meal schemes, seized","Business Standard",FALSE,"Thane rural police arrested three persons Sunday for allegedly illegally procuring rice meant for mid-day meal schemes for school children and selling it in the open market.

Assistant Superintendent of Police Atul Kulkarni said the police raided a godown of Mahadeo Food Ago Mill in Ghodbunder near here on December 25.

Its owners, Narendra Rane, Dileep Thakkar and Ashok Thakkar, were arrested under the Essential Commodities Act and National Food Security Act, 2013 on Sunday, the ASP said.

The company, which had no licence to store foodgrains or sell them in the open market, procured rice illegally from the Food Corporation of India (FCI), he said.

Police seized 12,035 gunny bags of rice containing 5.70 lakh kg of rice, valued at Rs 2.69 crore, from the godown, he said.

This rice was meant for distribution to fair price (ration) shops, to be used for mid-meal schemes in schools in tribal and rural areas, he said.

The police also seized ten trucks and two rice-cleaning and sorting machines. Further probe is on.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"3","1029463733","2018-12-30","https://indianexpress.com/article/india/thane-rice-worth-rs-2-7-crore-meant-for-mid-day-meal-schemes-seized-5516150/","Thane: Rice worth Rs 2.7 crore, meant for mid-day meal schemes, seized","The Indian Express",FALSE,"This rice was meant for distribution to fair price (ration) shops, to be used for mid-meal schemes in schools in tribal and rural areas, he said.

Thane rural police arrested three persons Sunday for allegedly illegally procuring rice meant for mid-day meal schemes for school children and selling it in the open market. Assistant Superintendent of Police Atul Kulkarni said the police raided a godown of Mahadeo Food Ago Mill in Ghodbunder near here on December 25.

Its owners, Narendra Rane, Dileep Thakkar and Ashok Thakkar, were arrested under the Essential Commodities Act and National Food Security Act, 2013 on Sunday, the ASP said.

The company, which had no licence to store foodgrains or sell them in the open market, procured rice illegally from the Food Corporation of India (FCI), he said.

Police seized 12,035 gunny bags of rice containing 5.70 lakh kg of rice, valued at Rs 2.69 crore, from the godown, he said.

Advertising

This rice was meant for distribution to fair price (ration) shops, to be used for mid-meal schemes in schools in tribal and rural areas, he said.

The police also seized ten trucks and two rice-cleaning and sorting machines. Further probe is on."
"4","1028774852","2018-12-29","https://www.hindustantimes.com/patna/proxy-attendance-for-mid-day-meal-funds-headmasters-salary-to-be-deducted-to-recover-penalty-of-rs-8-crore/story-q1ROrsc4w57xdnLM9cNnPL.html","Proxy attendance for mid-day meal funds: Headmasters' salary to be deducted to recover penalty of Rs 8 crore","Hindustan Times",FALSE,"The headmasters allegedly spiked attendance of students to claim more funds under the mid-day meal programme. (HT File)

With some school headmasters (HMs) dragging their feet over paying penalties for allegedly inflating attendance of students, the Bihar government has finally decided to recover fines by deducting the amount from their salary.

The HMs allegedly spiked attendance of students to claim more funds under the mid-day meal(MDM) programme.

Though the government received reports of irregularities long ago and imposed financial penalty on HMs, the fines could not be fully recovered. Many of the HMs moved court for relief citing their unwanted involvement in non-academic work, while others were just indifferent.

The government has ordered the recovery of a Rs8.68-crore penalty from HMs. Of which, Rs 4.21-crore (48%) has been recovered. More than 1,000 HMs have allegedly fudged the data since 2013, when the idea of penalty was first mooted by the state education department.

RK Mahajan, principal secretary of the department of education, recently directed all district programme officers (DPOs) to deduct the penalty amount from headmasters' salary in five instalments over as many months.

""The DPOs must ensure a monthly deduction from all those who have not deposited the penalty amount within a month of the receipt of the letter, except those who have got stay from the court,"" stated a letter by Mahajan.

""During inspections, the attendance of that particular day in the school and the average of the previous week is matched. If the deviation is within 10%, there is no issue. However, if the deviation is above 10%, a penalty equivalent to the amount given in the last three months is imposed on the headmaster,"" said Vinod Kumar Singh, director of the mid-day meal programme, .

Another official said that in several cases, the accused HMs with the help of their association approached the Patna high court or the Lokayukta, claiming that they were overburdened with non-academic work like management of MDM. The court has also asked the government to find an alternative to free teachers from MDM responsibilities.

Though the Bihar government tried to hand over MDM to NGOs or self-help groups (SHGs) and also ran pilot projects, a viable alternative has not been found because of the scale of the programme. In Bihar, despite a drop in enrolment numbers, 1.20 crore students from Class 1 to Class 8 are estimated to avail MDM daily.

In a Niti Ayog meeting a few months ago, Bihar chief minister Nitish Kumar advocated the direct benefit transfer for the centre's flagship MDM programme to plug leakages. ""Cooking in schools has a direct bearing on education. Instead of centres of learning, schools are viewed as centres of food. Poor quality and unhygienic conditions often lead to unpleasant incidents,"" he had said.

However, to achieve this, the Centre would have to change the policy at the national level, which seems unlikely. Bihar, on its part, has been seriously mulling the option of handing over MDM to women SHGs, which are 8 lakh in the state, the highest in the country. A pilot project has been launched in one block each of Jehanabad and Muzaffarpur to assess the feasibility."
"5","1028702292","2018-12-29","https://swarajyamag.com/insta/government-is-reviewing-the-mid-day-meal-scheme-hrd-minister-prakash-javadekar-informs-rajya-sabha","Government Is Reviewing The Mid Day Meal Scheme, HRD Minister Prakash Javadekar Informs Rajya Sabha","swarajyamag.com",FALSE,"HRD Minister Prakash Javadekar has informed the Rajya Sabha that the government is reviewing the Mid Meal scheme concerning various components which includes transportation assistance, cooking cost, management monitoring and evaluation expenses, cost of kitchen devices, among others, reports Livemint.

The Human Resource Development Minister added that Joint Review Missions under the Mid Day Meal Scheme started in 2009 with 11 being conducted so far.

The JRMs which consist of nutritional and educational experts, review the scheme through field visits on a situational basis. They review the various aspects of the scheme like fund flow from state to schools and implementing agencies, coverage of children, among others, he said.

The reports of the JRM's are shared with the respective states and Union Territories to take necessary action based on the findings and recommendations, added the minister."
"7","1028394887","2018-12-28","https://www.livemint.com/Politics/lfCkJNYwB4hQb3Af92OohJ/Govt-reviewing-Mid-Day-Meal-Scheme-in-terms-of-various-compo.html","Govt reviewing Mid Day Meal Scheme in terms of various components","http://www.livemint.com/",FALSE,"New Delhi: The government is reviewing the Mid Day Meal Scheme in terms of various components, including cooking cost, transportation assistance, HRD Minister Prakash Javadekar has informed the Rajya Sabha.

In a written reply to a question, Javadekar said all the ministries and departments have been asked to undertake an outcome review of their ongoing schemes at the end of 12th Five year Plan for appraisal and further continuation.

Accordingly, the government is reviewing the Mid Day Meal Scheme (MDMS) in terms of various components like cooking cost, transportation assistance, management monitoring and evaluation expenses, cost of kitchen devices, among others.

Joint Review Missions (JRMs) under the Mid Day Meal Scheme started in 2009. So far, 11 JRMs have been conducted, the Human Resource Development minister said.

JRMs, consisting of educational and nutritional experts, review the scheme through field visits from time-to-time. They review various aspects of the scheme like coverage of children, fund flow from state to schools and implementing agencies, among others, he said.

The reports of JRMs are shared with concerned states and Union Territories for taking suitable action on the findings and recommendations, the minister said."
"8","1028380676","2018-12-28","https://www.business-standard.com/article/pti-stories/govt-reviewing-mid-day-meal-scheme-in-terms-of-various-components-rs-told-118122800982_1.html","Govt reviewing Mid Day Meal Scheme in terms of various components, RS told","Business Standard",FALSE,"HRD Ministry clears backlog of scholarships with special grant of Rs 250 cr

The government is reviewing the Mid Day Meal Scheme in terms of various components, including cooking cost, transportation assistance, HRD Minister Prakash Javadekar has informed the Rajya Sabha.

In a written reply to a question, Javadekar said all the ministries and departments have been asked to undertake an outcome review of their ongoing schemes at the end of 12th Five year Plan for appraisal and further continuation.

Accordingly, the government is reviewing the Mid Day Meal Scheme (MDMS) in terms of various components like cooking cost, transportation assistance, management monitoring and evaluation expenses, cost of kitchen devices, among others.

Joint Review Missions (JRMs) under the Mid Day Meal Scheme started in 2009. So far, 11 JRMs have been conducted, the Human Resource Development minister said.

JRMs, consisting of educational and nutritional experts, review the scheme through field visits from time-to-time. They review various aspects of the scheme like coverage of children, fund flow from state to schools and implementing agencies, among others, he said.

The reports of JRMs are shared with concerned states and Union Territories for taking suitable action on the findings and recommendations, the minister said.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"9","1025530541","2018-12-24","https://citytoday.news/teacher-caught-selling-rice-kept-for-mid-day-meal/","Teacher caught selling rice kept for mid-day meal - Mysuru Today","Mysuru Today",FALSE,"Mysuru, December 24:- A teacher, who should have been teaching moral values to the students, was caught red-handed while trying to sell rice kept for mid-day meals of the school at D B Kuppe village of H D Kote taluk.

The state government has introduced mid-day meals and Ksheera Bhagya schemes to make sure that no child stays hungry and doesn't skip school. But, here is a senior who sold the rice for money.

A senior teacher of D B Kuppe government higher primary school, Pratibha was caught red-handed while selling one quintal rice to one Sumesh at the village. Member of the SDMC, Ramu observed her taking the rice to the shop by auto and followed her and found her selling the rice. He immediately informed taluk panchayat president and members.

Village panchayat president Tirupati and taluk panchayat member Sarojini Balaram rushed to the shop and seized the rice. Director of Akshara Dasoha visited the school to register a complaint against the teacher. (MR/KS)."
"10","1025017189","2018-12-23","https://timesofindia.indiatimes.com/city/chandigarh/p1hc-directs-punjab-haryana-ut-to-provide-wholesome-meal-under-mid-day-meal/articleshow/67212184.cms","Punjab, Haryana, UT to provide wholesome meal under mid-day-meal - Times of India","The Times of India",FALSE,"CHANDIGARH: The Punjab and Haryana high court has directed the states of Punjab, Haryana, and Chandigarh to ensure children are given meal, bread, butter, jam, eggs daily as wholesome meal under the mid-day meal scheme.

""The mid-day meal should be substituted with the wholesome meal, which the children would consume with happiness and would help them in the good health, which is the main object under the Integrated Child Development Services (ICDS),"" HC has held.

The authorities have been asked to pass appropriate instructions in this regard and informed the court by January 31, 2019.

Justice Ritu Bahri of the HC has passed these orders while hearing a case after court was informed that the mid-day meal provided under mid-day meal is not good.

""The states of Punjab, Haryana and UT Chandigarh will apply their mind to set up institutes, where they can examine manufacturing of food by using government funds and funds under the CSR/donations as per guidelines given by some good dietitians for good health of the children/mothers. The children and lactating mothers can be given meal, bread, butter, jam, eggs daily as wholesome meal,"" Justice Bahri has observed in her recently released orders.

The judge has passed these order after senior advocate Reeta Kohli who is assisting the HC as Amicus Curiae on the issue, informed the court that the Mid-day Meal, which is presently given, is not appreciated by the children. Kohli had given this information after visiting to villages Seonk in Mohali and Bharaili in Panchkula district of Haryana.

Senior advocate Kohli also placed on record an affidavit giving details of various notifications issued by the Ministry of Human Resource Development (MHRD) on July 10, 2017 whereby consistent guidelines have been issued to give fortified nutritious diet to children under the public funded programmes---Integrated Child Development Services (ICDS), Mid-Day Meal Scheme (MDM) and Public Distribution System (PDS) in order to fulfill the object of National Food Security Act 2013.

Box: Eggs will be new to menu

In mid-day meal which served in city schools eggs were not part of menu. The authorities have chalked out a rotation chart of meals which served to the children in schools which includes rajma Chawal, Dalia and Khichadi."
"11","1023791532","2018-12-21","http://www.newindianexpress.com/states/odisha/2018/dec/21/pakoda-in-egg-out-of-mdm-menu-amid-bird-flu-scare-1914547.html","Pakoda in, Egg out of Odisha Mid-Day meal menu amid bird flu scare","The New Indian Express",FALSE,"JAGATSINGHPUR: Amid bird flu scare, bananas and pakodas have replaced eggs in the mid-day meal (MDM) plates in many schools in Jagatsinghpur district. Though no official instruction has been issued to the educational institutions in this regard, panicked authorities have decided to serve eggs in noon meals and substitute it with the vegetarian fare.

Last week, the death of a large number of crows and pigeons had triggered panic in the district with locals suspecting bird flu. Around 30 crows and pigeons had died mysteriously in Nayabazaar, Badapadaia, Atharbanki, Neheruabangla and Sandhkuda in Paradip. An alert was sounded and surveillance intensified in the coastal pockets. Veterinary officials had collected samples and sent those to Animal Disease Research Institute (ADRI) lab in Cuttack for tests.

ALSO READ: Bird Flu: Precautionary measure in Odisha's Bhitarkanika

Nearly 1.75 lakh students from Classes I to VIII in 1,381 Government schools are being provided with MDM. Every Wednesday and Saturday, eggs are being served to each student. Following bird flu scare, panicked parents and students urged the school authorities not to supply eggs in the noon meals.

Sarat Kanungo, headmaster of a Government-run school, said, ""We had no intention to provide bananas and 'pakodas' under MDM scheme. But following pressure from the parents, we distributed these snacks to students.""

Meanwhile, the move has not been taken lightly by the School and Mass Education department. District Education Officer (DEO) Prativa Manjari Das visited different schools and issued show-cause notices to several headmasters for supplying 'pakodas.'In view of avian influenza, Puri district administration had also prohibited eggs in schools and Anganwadi centres recently.

In February, bird flu was reported from the port township after samples collected from different poultry farms and dead crows tested positive for the H5N1 virus. Around 1,823 birds were culled and 2,109 eggs destroyed in the wake of bird flu confirmation.

Show-cause notice issued

District Education Officer (DEO) Prativa Manjari Das visited different schools and issued show-cause notices to several headmasters for supplying 'pakodas.' She also interacted with parents and teachers regarding bird flu scare in the area."
"12","1023623739","2018-12-21","https://timesofindia.indiatimes.com/city/mysuru/60-students-of-2-schools-fall-ill-after-mid-day-meal/articleshow/67183746.cms","60 students of 2 schools fall ill after mid-day meal - Times of India","The Times of India",FALSE,"BAGALKOT: In a curious coincidence, 60 students in two government schools - around 220km apart - fell sick after eating the midday meal on Thursday. In both cases, it is alleged, a dead lizard was found in the food.

The children were rushed to hospital after they vomited and complained of stomach pain. All are out of danger.

In Bagalkot, 40 children fell ill after eating at the government primary school in Chikka Magi village in Hungund taluk. Soon after the meal, many vomited and complained of dysentery. A dead lizard was reportedly found in the food served to the students.

Around 190 students ate the midday meal and were rushed to the Kamatagi primary health centre. They were administered first aid and the sick were shifted to the district hospital in Bagalkot and taluk hospital in Hungund. Zilla panchayat president Veena Kashappanavar and officials visited the taluk hospital.

About 220km away, in Ballary, 20 students of the government primary school in Agalure village in Siraguppa taluk were taken ill after the midday meal. They were shifted to VIMS Hospital in Ballari.

Sources said one of the students found a dead lizard in the food served to him and he raised alarm. The panicked students started vomiting and complained of abdominal pain.

Education department officials and the tahsildar visited the school and hospital and spoke to the students and parents."
