"","ID","date","url","title","source","duplicate","body"
"1","1028187811","2018-12-28","http://www.newindianexpress.com/states/andhra-pradesh/2018/dec/27/andhra-private-school-teacher-arrested-for-making-students-strip-as-punishment-for-coming-late-1917287.html","Andhra's private school teacher arrested for making students strip for coming late","The New Indian Express",FALSE,"TIRUPATI: In a shocking incident of corporal punishment, teachers of a private school made three students stand naked and three others semi-nude outside the classroom under hot sun for coming late to the school.

It is learnt that the school management had subjected the students to corporal punishments on several other occasions in the past. The school correspondent and headmistress were arrested on Thursday under relevant sections of the Juvenile Justice Act and IPC.The incident happened at the Chaitanya Bharathi English Medium School in Nanasahebpet of Punganur mandal.

According to district education department and police officials, the school was re-opened on Wednesday after Christmas holidays. The five students of two classes, aged about 10 years, arrived just 10-15 days late to the school.

It is learnt that one of the class teachers beat three students and sent them out of the classroom. The teacher later came out and made them strip their clothes and stand in the hot sun.The teacher of another class too meted out a similar punishment to three other students by making them stand semi-nude.

The pictures of the punishment came out on Thursday leading to outcry by parents and students unions. Student activists of ABVP staged a protest at the Punganur police station demanding action against the school management.

The district administration took a serious view of the incident and asked the mandal education officer to probe the incident.

An inquiry was ordered and it is learnt that based on the videos and photographs that went viral, the school education department authorities have recommended cancellation of recognition of the school from next academic year.

Meanwhile, the Punganur police arrested school correspondent Nagaraj Naidu and headmistress Bhuvaneswari following protests by student unions and a complaint lodged by parents of the students.

Probe ordered

The district administration took a serious view of the incident and asked the mandal education officer to enquire into the incident. An inquiry was ordered and it is learnt that based on the videos and photographs that went viral, the school education department authorities have recommended cancellation of recognition of the school from next academic year."
"2","1027603026","2018-12-27","https://www.latestly.com/india/news/bhopal-horror-8-year-old-girl-raped-by-2-classmates-in-private-school-sit-inquiry-ordered-561192.html","Bhopal Horror: 8-Year-Old Girl 'Raped' by 2 Classmates in Private School, SIT Inquiry Ordered | LatestLY","Latestly",FALSE,"Bhopal, December 27: In a shocking development, an 8-year-old girl was allegedly raped by her classmate, said police on Thursday. The girl, a student at a private school in Bhopal city, was raped near her house on Tuesday. A case has been registered on Wednesday after minor's parent approached the police. Jharkhand: Monk Arrested for Rape Attempt on Minor, Girl Rescued From the Bathroom of Accused.

According to preliminary reports, the minor was raped by her eight-year-old classmate and an unidentified boy. While the police are yet to receive the girl's medical report, a special investigation team (SIT) has been formed to investigate the shocking incident. Man Gets Double Death Penalty for Killing, Raping Stepdaughter.

""The police are interrogating the boy and his parents. ....No arrest has been made as the accused too is a minor,"" Additional Superintendent of Police Dinesh Kaushal said. He further added, ""Superintendent of Police (Bhopal South) Rahul Lodha has constituted a SIT headed by a woman police officer for further probe, Kaushal added. The detailed medical report of the girl is awaited.""

Meanwhile, a rape case has been registered under the Protection of Children from Sexual Offences (POCSO) Act and under Indian Penal Code (IPC) section 376.

Earlier on December 17, A 42-year-old man was awarded double death sentence under different sections of the IPC for raping and killing a 5-year-old girl, who was the daughter of his wife from an earlier marriage. This development was made after the Madhya Pradesh assembly passed a bill stipulating the death penalty as a punishment to those convicted for raping minors up to the age of 12 years."
"3","1027514629","2018-12-27","https://www.mid-day.com/articles/eight-year-old-girl-raped-by-two-classmates-in-private-school/20160173","Eight-year-old girl raped by two classmates in Private school","mid-day",FALSE,"According to the complaint filed by her parents, another unidentified boy was also involved in the crime

An eight-year-old girl, a student of a private school in Bhopal city, was allegedly raped by her classmate, police said Thursday. According to the complaint filed by her parents, another unidentified boy was also involved in the crime.

While the police were yet to receive the girl's medical report, a special investigation team (SIT) has been formed to probe the shocking incident. The alleged incident took place near the girl's house Tuesday. The case was registered Wednesday after the girl's parents approached the police.

Additional Superintendent of Police Dinesh Kaushal said that as per the complaint, an eight-year-old classmate of the girl and another unidentified boy raped her.

""The police are interrogating the boy and his parents. ....No arrest has been made as the accused too is a minor,"" he said.

Superintendent of Police (Bhopal South) Rahul Lodha has constituted a SIT headed by a woman police officer for further probe, Kaushal added. The detailed medical report of the girl is awaited, he said.

A case of rape under IPC section 376 and under the Protection of Children from Sexual Offences (POCSO) Act has been registered at Govindpura police station."
"4","1027334624","2018-12-27","https://www.latestly.com/india/news/andhra-pradesh-shocker-chittoor-private-school-teacher-punishes-students-by-stripping-them-and-making-them-stand-naked-outside-560355.html","Andhra Pradesh Shocker: Chittoor Private School Teacher Punishes Students by Stripping Them and Making Them Stand Naked Outside | LatestLY","Latestly",FALSE,"Chittoor, December 27: In a shocking incident, a private school in Chittoor district of Andhra Pradesh punished school children by stripping their uniform and making them stand naked outside the institute's building. The school identified in reports as Chaitanya Bharathi School located at Punganur area in Chittoor has made the headlines for the teacher who went too far by humiliating the students of lower standards. While the reason behind such a brutal act is not confirmed, a few local reports are stating that the kids did not perform their homework, while others reported of them arriving late at school. IIT JEE Aspirant Commits Suicide in Kota: 3 Student Suicides in 48 Hours Shake Country's Coaching City.

No matter, what the reason is, such offensive act demands strict enquiry. The child-right activists have asked for criminal action on the management and further investigation is underway. The District Educational Officer (DEO) reported that the recognition of the private school for 2019-20 could be withdrawn. In the pictures, the students can be seen standing naked under the sun, raising both their hands up in the air outside the school building. Even after such strict laws against brutal punishments, it is distressing to come across such incidents. JKBOSE Class 12 Annual Jammu Winter Zone Exam 2018 Result Declared.

Students in our country are the hope of our country, but the rising rates of suicides and brutal punishments is a cause for concern. Time and again, such terrible cases have made the headlines, raising the urgency of strict monitor towards the school functioning. Schooltime is a precious period for the younger ones, and such horrific incidents can have a significant impact on a child's psyche. Screaming at the kids or punishing them like the recent case can never work."
"6","1013318530","2018-12-07","http://www.newindianexpress.com/cities/bengaluru/2018/dec/07/parents-activists-upset-say-govt-buckled-to-private-school-lobby-1908329.html","Parents, activists upset, say govt buckled to private school lobby","The New Indian Express",FALSE,"BENGALURU: The decision taken by the state government to bring amendments to the existing Right to Education Act (RTE) by giving priority to admission at neighbourhood government schools, has drawn opposition from parents and RTE activists.

Just a day after the amendments were approved by the cabinet, several RTE activists threatened to stage a protest if the government tried to implement them. BN Yogananda, general secretary of the RTE Students and Parents Association, said, ""It clearly shows that the government yielded to pressure from the private school lobby. If the government dares to place it at the upcoming assembly session, we will be forced to take to the streets and fight for the rights of children.""The association will fight the issue legally, he said.

Another parent said, ""My daughter is studying under RTE quota at a private school. Being an auto driver RTE helped me admit her to a private school. I want the same for my younger one.""

However, private schools welcomed the move.Subject experts feel that what the government is trying to do is according to the Act, but at the same time, it should ensure implementation of Sec 12 (12) of the RTE Act, which mandates that private unaided schools should provide education for weaker sections.

Dr VP Niranjanaradya, an expert on the issue said, ""I welcome this, but private unaided schools which have taken substantial benefit in terms of land and other facilities, should provide admission for weaker sections within the neighbourhood, and the state is not obliged to reimburse them. Delhi implemented this in 2004."""
"7","1013176819","2018-12-07","https://scroll.in/latest/904917/delhi-government-withdraws-recognition-of-private-school-for-hiking-fee-without-approval","Delhi government withdraws recognition of private school for hiking fee without approval","Scroll.in",FALSE,"The department has ordered Mount Carmel School in Dwarka locality to stop fresh admissions for the academic session 2019-'20.

The Delhi government's Directorate of Education on Thursday issued an order withdrawing the recognition of a private school in Dwarka locality for allegedly violating land allotment terms by increasing its fee without prior approval, The Indian Express reported. The order will come into effect from April 1, 2019.

The department said it had ordered Mount Carmel School in Dwarka's Sector 22 to stop fresh admissions for the academic session 2019-'20. The school is a Christian minority institution run by the Mount Carmel School Society.

According to the order, private unaided recognised schools in Delhi operating on land allotted by government agencies cannot increase fee without prior approval of the director of education. After a Delhi High Court verdict, the directorate had sought online proposals for the year 2016-'17 from schools that wanted to increase fee.

Mount Carmel School was issued a showcause notice in February 2016, citing non-compliance, after the school hiked fee by 25% without seeking the director's approval. However, the school contended that the directorate order was not applicable to minority schools and that Mount Carmel was being run on land allotted to it at institutional rates, minus any concession.

School principal Michael Williams said they would approach the court and seek legal relief. ""In 1998, the school land of Rs 1.5 crore was acquired for Rs 1.6 crore, which was not a concessional rate,"" he said. ""This is unfortunate, as under the Delhi School Education Act and Rules, 1973, the DoE [Directorate of Education] cannot cancel recognition of minority schools.""

Williams told PTI: ""Though we have not received the notice yet we have got to know about it from media reports. We urge the students and parents to not panic and assure that we would come out clean.""

The government has also issued notices to three other schools and directed them to refund to parents the extra fee they charged between 2006 and 2011, along with 9% interest, The Times of India reported. These include Bal Bharati School in Dwarka, St Marks Senior Secondary School in Meera Bagh, and Springdales, Dhaula Kuan."
"8","1012502337","2018-12-07","https://www.dnaindia.com/delhi/report-4-year-old-girl-assaulted-in-private-school-in-outer-delhi-2693031","4-year-old girl assaulted in private school in outer Delhi","Daily News and Analysis (DNA) India",FALSE,"A 4-year-old girl was allegedly sexually assaulted inside a private school in outer Delhi's Ranhaula area on Wednesday. Following the incident the family members of the girl along with the locals staged a protest at the school and damaged the school property on Thursday morning.

According to the police, the parents of the minor girl have filed a police complaint alleging their daughter sexually assaulted by her classmate or someone else following which the school was ransacked by angry locals on Thursday morning at around 9 am on Thursday.

""On Wednesday evening, we had received a complaint at Ranhola police station from the mother of the girl alleging that her daughter was 'inappropriately touched' by another four-year-old or may be by any other person. We are yet to recognise the accused,"" said Seju Kuruvilla, Deputy Commissioner of Police (outer).

Police said that a case under section 6 of the Protection of Children from Sexual Offences Act (POCSO) has been registered and medical of the victim has been conducted.

""While on Thursday, locals along with the victim's family gheroed the school and ransacked the building breaking the windows of the school. A team was rushed to the spot and it brought the situation under control,"" said Kuruvilla.

The windows and gates of the school were shattered by the mob and even the desks inside the classrooms were broken down. It is also alleged that during the protest, the mob even physically assaulted the school staff and even manhandled the principal.

The police used mild force to disperse the mob after which the situation was under control. The police said a probe has initiated in this regard.

Similarly, a similar case was reported in November last year from a private school in Dwarka in which a four-year-old boy was booked for sexually assaulting his classmate with his finger and a pencil.

The angry parents carried out a protest. The windows and gates of the school were shattered by the mob and even the desks inside the classrooms were broken on Thursday"
"9","1007774147","2018-12-01","https://udaipurtimes.com/income-tax-raid-on-private-school-in-udaipur/","Income Tax raid on Private School in Udaipur | UdaipurTimes.com","UdaipurTimes.com",FALSE,"Income tax team carried out a raid at a private school in Udaipur on Friday. The income tax team raided the school on Friday morning and the investigation continued till late night on Friday.

Good Look, a private school in Udaipur was raided yesterday by the I-T team. The school also has branches in Banswara and Sagwara. The I-T team suspected financial irregularities in the school and hence carried out the raid.

Besides raiding the school branches, the I-T team also raided the house of promoter's son situated in Hiran Magri Sector-11. The investigations continued till late Friday evening and I-T team is yet to divulge the findings."
"10","1005019201","2018-11-28","https://www.dnaindia.com/delhi/report-north-delhi-tempo-hits-a-private-school-van-8-year-old-boy-dies-2690043","North Delhi: Tempo hits a private school van, 8-year-old boy dies","Daily News and Analysis (DNA) India",FALSE,"An eight-year-old boy died while nine others were injured after their private school van in which they were travelling back home was hit by a tempo in North Delhi's Timarpur area on Tuesday afternoon. Police said that the tempo driver was arrested by evening.

According to the police, the deceased has been identified as Vaibhav Kumar Yadav, a Class 3 student, who was the son of an assistant sub-inspector in Delhi Police Crime Branch Vinod Kumar Yadav.

""The incident took place at around 2 pm when the private school van of a private school in Model Town area was dropping students home. A good carrying tempo hit the school van from behind and the impact of the hit was so severe that both the vehicle overturned,"" said a senior police officer.

The school van turned turtle and all the 10 students were injured in the accident. The students were taken out with the help of locals and passerby on the Tara Chowk where the accident happened in Timarpur and rushed to Durga hospital, police said.

According to an eye witness, Raman Kimothi, an IAS aspirant who attends classes at Sankalp Bhavan, the impact was so severe that back side of the van was completely damaged.

""I was standing with my friends when the accident took place and we rushed to the spot. I took Vaibhav on my bike, my friend took another girl. While the others rushed the rest of the children were taken to Durga Hospital. However, I regret I couldn't save Vaibhav, who was pronounced brought dead at the hospital,"" said Kimothi.

Police said that one of the girl had received severe injuries and after first aid she was referred to a government hospital for treatment.

""While some of the students were kept under observation after the accident. Fortunately, the doctors say that she is out of danger,"" said a senior police officer.

Police said that driver escaped unhurt as the collision impact affected the back side of the Maruti eco van where mostly the children were seated.

""A case under section 337, 279 and 304 (A) has been registered against the tempo driver. He has been identified as Salman, a resident of Azadpur mandi. He has been arrested,"" said Additional DCP North Harender kumar Singh.

Police said that parents of the school children had themselves hired the van."
"11","1004812188","2018-11-27","https://indianexpress.com/article/education/delhi-private-school-admission-kicks-off-5467916/","Delhi: Private school admission kicks off","The Indian Express",FALSE,"The process has commenced earlier this year than the last, when the forms were made available starting December 27. The big difference in this year's admission criteria is the fixing of an upper age limit through the implementation of a 2015 DoE order

The admission process for entry-level classes in Delhi's private schools kicked off Tuesday, with the Directorate of Education publishing guidelines for 2019-2020 for open seats in private unaided recognised schools.

The forms for applying to private schools for nursery, KG and Class I will be made available from December 15. The last date to apply is January 7. The first list of selected children, and the waiting list, will be out on February 2.

The process has commenced earlier this year than the last, when the forms were made available starting December 27. The big difference in this year's admission criteria is the fixing of an upper age limit through the implementation of a 2015 DoE order. With this, for nursery admissions, the lower age limit is three years and the upper age limit is four years; for KG, the lower and upper age limits are four and five years; and for Class I, they are five and six years."
