"","ID","date","url","title","source","duplicate","body"
"1","1022184732","2018-12-19","https://swarajyamag.com/insta/right-to-education-fundamental-authorities-cannot-deny-admission-to-children-at-whim-delhi-high-court","Right To Education Fundamental, Authorities Cannot Deny Admission To Children At Whim: Delhi High Court ","swarajyamag.com",FALSE,"Right to education is fundamental and sacrosanct in nature, and that authorities cannot violate it in a whimsical manner, the Delhi High court has noted in a case pertaining to denial of admission to children by a government school in Delhi, India Today has reported.

Pronouncing its verdict, the court held that absence of a Delhi address proof is not a valid ground to deny admission to children into the city's schools.

Sarvodaya Kanya Vidyalaya, a government school in Anand Vihar in Delhi had reportedly denied admission to kids who could not produce their permanent residence proof of the national capital.

However, Justice C Hari Sankar on Tuesday (18 December) has directed the school to grant admission to the three children who live in Ghaziabad.

The father of the three children had approached the High Court pleading that the school denied admission to his kids on the ground that they did not have a residence proof of Delhi.

The petition further stated that refusal of admissions is ""arbitrary, discriminatory, illegal, unconstitutional, and violative of fundamental rights"".

""The Sarvodaya Kanya Vidyalaya is at a distance of 2-3 km from their residence and there is no justification not to grant admission to wards of my client merely on the ground that they are not residents of Delhi In case they were not allowed to attend classes in any other government school nearby in the academic year 2018-19, their studies would suffer badly,"" the petition said."
"2","1012491329","2018-12-07","http://www.newindianexpress.com/states/karnataka/2018/dec/06/state-all-set-to-amend-rte-act-1907922.html","Karnataka all set to amend Right to Education Act","The New Indian Express",FALSE,"BENGALURU: In a significant move, the state government has decided to amend the Right to Education (RTE) Act to improve the enrolment in government schools. The state cabinet, on Wednesday, approved a proposal to bring changes to the rules, making it mandatory for parents to approach neighbourhood government schools before applying for an RTE seat in private schools in the area.

The present rules under the RTE Act have no such conditions and children of the weaker sections who are admitted to private schools are eligible for the RTE fee reimbursement irrespective of existence of government schools in the neighbourhood of 5 km radius.

Under the proposed amendment, the child would be eligible for a RTE fee reimbursement from a private school only if there is no government school in the neighbourhood or if the child has failed to get a seat in the government school, Parliamentary Affairs minister Krishna Byre Gowda said while briefing the reporters on cabinet decisions.

Defending the decision, Byre Gowda said, ""Presently, the government is reimbursing the fee for all the students under RTE seats. This has, in a way, further hampered the functioning of government schools and is defeating the resolve of the government to improve enrolment and standards in government schools. Now, under the proposed amendment, parents can approach for RTE seats in private schools only after approaching the government school in the neighbourhood. They will get automatic RTE benefit if there is no government school in the neighbourhood.""

""Presently, we are neglecting the government schools. This should change. We need to improve the enrolment and standard of education in government schools,"" Gowda said. The state government is presently reimbursing Rs 11,200 per student annually under the RTE Act.

Free education for girls in govt colleges

The state cabinet on Wednesday cleared the proposal to offer fee reimbursement for girl students in government pre-university, degree and postgraduate colleges. Siddaramaiah, during his tenure, had announced free education for all girls till post graduation. The budget proposal would be implemented from the current academic year itself and the students who have already paid the fee would get the reimbursement. It would cost Rs 95 crore for the exchequer and about 3.17 lakh girl students in government PU, degree and PG colleges, Byre Gowda said."
"3","996358424","2018-11-16","http://www.newindianexpress.com/nation/2018/nov/16/dont-expect-miracles-says-sc-refusing-to-hear-pil-on-right-to-education-act-implementation-1899212.html","'Don't expect miracles', says SC refusing to hear PIL on Right to Education Act implementation","The New Indian Express",FALSE,"NEW DELHI: ""Don't expect miracles"" in a huge country like India, the Supreme Court said Friday, refusing to further hear a PIL seeking implementation of the Right to Education Act to bring 3.5 crore poor kids into the formal schooling system.

The apex court had earlier asked petitioner 'Akhil Delhi Prathmik Shikshak Sangh', a registered society, to give a representation to the Centre on implementation of the Right of Children to Free and Compulsory Education Act, also known as RTE.

Refusing to monitor the RTE implementation in the country, a bench headed by Chief Justice Ranjan Gogoi said, ""Don't expect miracles. India is a huge, huge country. Priorities are many and certainly, education is one of the priorities.

The bench, also comprising Justices S K Kaul and K M Joseph, took note of the fact that the Centre has given the response after taking note of the representation.

""Heard counsel for the petitioner and perused the relevant material. We are not inclined to interfere. The writ petition is accordingly dismissed,"" it noted in the order.

ALSO READ: Tamil Nadu: Schools pick Right to Education Act lots without displaying list of applicants

It had earlier asked senior lawyer Colin Gonsalves, appearing for the organisation, to give representation to the Centre and had said that the government would ""assist the court with regard to the implementation"" of the RTE.

The apex court had also asked the Centre to apprise it of decision taken on the issue.

However, it today declined further hearing on the PIL.

The teachers' body, in its PIL, had sought implementation of the right to education of children aged between six to 14 years.

The plea had said the children are suffering as government schools are shutting down and around 9.5 lakh posts of teachers are vacant in these schools.

READ HERE: Committee on RTE suggests scrapping of benefits to minority institutions

It had referred to reports ""showing systematic and widespread violations of children's right to education across the country, including violations of numerous specific requirements of the Right of Children to Free and Compulsory Education Act, 2009"".

The petition had said that according to data, there were 14,45,807 government and registered private schools imparting elementary education in the country and as on 2015-16, there were approximately 3.68 crore children who were not in school.

It had sought a direction to all the states and UTs to identify the children, as mandated under the RTE Act, within six months to ascertain as to how many of them should be brought in the formal schooling system.

The plea had also sought a direction to identify ""all schools whether government, private, aided or unaided"" which did not have proper infrastructure such as ""all-weather building with at least one classroom for every teacher, barrier-free access, separate toilets for boys and girls, teaching staff and teaching learning material (TLM).

It had asked for a direction ""to ensure that unaided private primary recognised schools admit the children of economically weaker section (EWS) category in their first level to the tune of 25 per cent quota as enshrined in the RTE Act"".

The states and the UTs should recruit, train and employ 9.5 lakh additional teachers fill the vacancies within two years, the plea had said."
"4","995428475","2018-11-15","https://www.thehindu.com/news/national/kerala/samanwaya-brings-the-right-to-education-to-transpersons/article25509942.ece","Samanwaya brings the right to education to transpersons","The Hindu",FALSE,"Mention school and all Sujil can think of is long years of harassment and humiliation, the very reason he kept away from the world of academics for long. But now the 30-year-old is confident that he will complete his education, the first step towards inclusion and independence for a transperson.

""All the papers so far have been easy and our hard work has finally paid off,"" says Sujil, who is just out of his exam hall. While 26 transpersons in the State registered for the Class 10 equivalency exam as part of Samanwaya, Kerala State Literacy Mission Authority's (KSLMA) continuing education programme for community members, Kollam has the highest number of candidates -- nine.

Sujil adds that it was the hostile attitude of his teachers and friends that made him a school dropout. ""I wanted to study, but some 15 years ago it was not easy living as a transperson in our society. I thought I would never get a chance to complete my studies, but Samanwaya changed it all. After this I will sign for the Plus Two course and then degree and PG,"" he says. All the nine candidates have been diligently attending the classes and are very serious when it comes to clearing the exam. Muhammed Shan, who recently met with an accident, cannot move without the help of others. But that has not stopped him from attending the exam. It took Jerome 20 years to restart his studies as 'situations were too difficult till now' as the 39-year-old puts it.

Shaukath, Manikandan, Vijayakumar, Mathews, Muhammed Shan, Samson and Yogeeshwaran are also attending the exams in Kollam."
"5","990250396","2018-11-09","https://www.hindustantimes.com/pune-news/new-rule-on-right-to-education-to-cause-delay-in-admission-process/story-bM2NmydEBUcpruGHyAhaJK.html","New rule on right to education  to cause delay in admission process","Hindustan Times",FALSE,"Irked by norms of additional inspection and mandatory submission of Aadhaar details in the new government resolution, for admissions under the right to education (RTE) quota, city experts reveal flaws that can delay the process rather than making it more efficient. According to them, the introduction of 'unnecessary changes', as opposed to the needed reforms is only going to slow down the admission process.

This comes after the state government recently released a government resolution (GR) for admissions under the 25 per cent Right to Education (RTE) quota, laying down a number of new norms like inclusion of a first come, first served (FCFS) round, a mandate for private schools to review Aadhaar details before admissions, etc.

Prior to this, the admission procedure had a total of four regular admission rounds. However, the GR has now revised the process with three regular admission rounds and an FCFS round post that. The changes will be applied across all schools in the state from the academic year 2019-20.

Responding to the change, Sharad Javadekar, convenor of akhil Bharatiya samajwadi adhyapak sabha and founder of RTE action committee, said, ""This will hardly make any difference to the students who are still trying to get the deserved seat, despite all the delay in the last phase. Also, the core problem was never the number of rounds, but the lack of proactive implementation and the bureaucracy. Both will remain the same with or without FCFS, it will end up being yet another so-called reform on paper.""

On the mandate for Aadhaar details, he said, ""The reform is ideally supposed to be student-friendly. But, with this clause, they have put yet another obstacle for the needy students, many of who might not have an Aadhaar card in first place. This will give many schools yet another opportunity to deny them the education they deserve."" This mandate stands in contradiction to the statement of the Supreme Court in September, which had clarified that Aadhaar is not a must for school children.

Jagrutti Dharmadhikari president of independent English school association (IESA) and principal of saraswati bhuvan English school, said, ""Firstly, these students are being sent by government post authentication, then why to add another level of authentication of Aadhaar, which the Supreme Court has already stated against.""

The GR further mandates education officers to visit schools to check audit records and ensure that all details like basic facilities and school fees in mentioned on the government portal SARAL, before paying funds as per the reimbursement claims.

Dharmadhikari is one of the school principals who have been resisting against the RTE process for the delay in the payment of reimbursements. ""All the schools have already uploaded all the details on systematic administrative reforms for the achievement of learning by students (SARAL), then what is the need for another stage of inspection. This is nothing but a ploy for further delay."""
"6","978833056","2018-10-26","https://timesofindia.indiatimes.com/city/mumbai/right-to-education-aspirants-growing-in-mumbai-but-short-on-options-in-their-localities/articleshow/66370655.cms","Right to Education aspirants growing in Mumbai, but short on options in their localities - Times of India","The Times of India",FALSE,"MUMBAI: It's seven years since the Right to Education (RTE) Act paved the way for students from the weaker sections to enter private schools in the city. The law provides a 25% quota to the underprivileged in unaided schools barring those run by minority bodies. But does it make education more inclusive? Since 2014-15, implementing agency BMC has recorded a steady rise in applications from families aspiring for a better standard of teaching for their children.

In fact, applications have soared almost 500% between then and now. But proportion of admissions secured to applications received continues to be stubbornly low. When BMC first began offering seats in 2014-15 with an online lottery, admissions were at 1,069 against a total 1,930 applicants. This number rose to 3,214 in the current year against 11,358 applications, indicating a widening gap between demand and supply. ""Over the years, we have made efforts to ensure awareness about seats.

Videos, advertisements and posters and notices in school premises are now a norm. We have also reached out to schools and when re

quired, issued notices to ensure they admit students allotted to them. But there is a demand-supply mismatch due to the popularity of select schools,"" said Mahesh Palkar, education officer, BMC. Disparate standards of schools

across city wards and lack of quality institutions around poorer localities are reasons impeding the process. For instance, Dharavi and Govandi throw up a large number of candidates, but finding good schools for them is a challenge.

""We see over 500 applications for a particular school that has only 50 seats. On the other hand, we have schools, especially vernacular medium which do not receive applications,"" said Palkar. This year, of 347 schools, 68 received no applications. Experts feel the class divide is also a key factor which influences mindsets, thereby affecting implementation. ""There continues to be a fear of discrimination among those availing the quota. It will be sometime before this can change.

Also, only tuition fees are reimbursed and parents are expected to shell out other expenses. In a private school, these costs are high and unaffordable to many,"" said Farida Lambay, co-founder, NGO Pratham. The cost of free education is a burden on both schools and parents. Schools do not receive fee reimbursements for years, making the welfare measure difficult for them to fulfil. As for the students, many drop out of private institutions unable to pay for books, uniform, and other expenses on time. ""The better way to ensure free and compulsory education would be to strengthen existing government and aided schools,"" said Hemangi Joshi, an RTE activist in the state."
"7","974030241","2018-10-20","http://www.newindianexpress.com/cities/bengaluru/2018/oct/20/education-department-proposes-kerala-model-of-right-to-education-1887501.html","Education department proposes Kerala model of Right To Education","The New Indian Express",FALSE,"BENGALURU: Poor rate of admission in government-run schools and high annual refunds paid to private schools under Right To Education (RTE) has forced the department of primary and secondary education to propose amendments to the RTE Act. The department has proposed the Kerala model in which priority will be given to government-run schools to fill seats under RTE rather than private unaided schools.

""The Kerala model gives top priority to filling seats in government-run schools, next come aided schools and third priority is to private unaided schools,"" explained a senior official from the department. The official confirmed sending the proposal to the state government to be placed before the next cabinet meeting for approval.

Officials said there were two main reasons for this proposal to amend the rules: Seats remaining vacant in government-run schools as parents of children, under the RTE rules, preferred sending them to private schools rather than government-run schools; and the financial burden on the state government in refunding the cost to private unaided schools which spend on kids admitted under the RTE quota. ""RTE refund is a burden of Rs 1,200 crore every year for the state government. Not just that, this is impacting admissions in government schools, which is drastically going down since the last three years,"" said a senior official.

""It is also a fact that the state government is helping some private schools sustain as they are getting admissions only because of the RTE Act where kids are getting admission under the 25% reservation quota,"" said the official.

Meanwhile, poor infrastructure in government schools is also being blamed for the poor rate of admissions. One education expert said on condition of anonymity, ""One can't blame the RTE Act. The face of government schools will not change by abolishing or amending the RTE Act.""

However, education expert V P Niranjanaradhya said, ""There were some errors in the implementation (of the RTE Act) itself and bringing amendments to the rules is the best way to correct it. As per Section 3 of the Act, it is a must to admit kids in neighbourhood schools, but it is being violated. Despite a government or aided school being there in the neighbourhood, kids are getting admissions at unaided private schools far away."""
"8","958388242","2018-09-30","http://www.newindianexpress.com/states/odisha/2018/oct/01/right-to-education-a-total-failure-says-bjp-mp-varun-gandhi-1879478.html","Right To Education a total failure, says BJP MP Varun Gandhi","The New Indian Express",FALSE,"BHUBANESWAR: Poet-politician and BJP MP Varun Gandhi on Saturday lashed out at the prevailing education system in the country and termed the Right To Education (RTE) a complete failure.

The country has spent Rs 3.7 lakh crore in RTE but 89 per cent of it has been spent on constructing buildings, where everything happens except education, he said in the course of his talk on 'Media, Society and Culture - Interrelation and Emerging Trends' at Odisha Literary Festival 2018 here .

""There are 15.5 lakh schools of which 98.8 per cent are from State boards. Though only 1.2 per cent schools belong to ICSE and CBSE, students from these school fill 78 per cent seats in IITs and 88 per cent in IIMs. If you are not in that privileged one per cent, you have no equal share of the future of the country and this is something we need to look very seriously,"" he said.

Education system in the country at present, the two-time MP said, instead of working as an equalising measure is institutionalising the divide that can never be bridged. Education NPA is nearly Rs 6100 crore, which means youths are not getting jobs. What will youths do with degrees if they cannot get jobs, he asked.

During his talk, he touched upon a wide range of issues from economic and social empowerment, innovation and entrepreneurship to movements that can bring reforms and changes in the society. He cited the 'Me Too' movement which is stirring citizens across the globe to not only speak out but also act.

""It inspired a group of PhD students of Mewat district, one of the poorest areas of the country dominated by minorities, which has the highest illiteracy rate among women in the 10 north Indian States, to start an initiative of making women, aged above 40, literate,"" Gandhi said.

He cited the example of an inefficient patent regime and attributed it to be the major factor inhibiting innovation and enterprise in the country. ""In America it takes six months to get a patent while the process takes six-and-a-half years in India. Further, shockingly, only nine per cent Indian have got patents in the country while 91 per cent have been granted to foreigners"" he stated.

On environmental degradation, he highlighted the case of Bandhwari plant and Musi river. As high as 95 per cent of the population of two villages - Dera and Bandhwari is suffering from cancer because Bandhwari waste treatment plant, the biggest one in Delhi hasn't worked for the last seven years, he said.

The BJP MP exhorted youth to plant one fruit tree on their birthday. ""If you all do it you will be playing a big role in relieving the burden of the earth - that is hunger,"" he stated."
"9","944498473","2018-09-11","http://www.assamtribune.com/scripts/detailsnew.asp?id=sep1218%2Fstate059","Interactive session on right to education held at Tezpur","Assam Tribune",FALSE,"The community member team of 'WE DO' discussed about the importance of education for women, including awareness on their constitutional rights at the inaugural function.

Rajashree Goswami, co-founder of the organisation, discussed the importance of World Literacy Day and the Right to Education Act-2009 wherein Arpana Choudhury, another co-founder of the organisation, discussed about the various constitutional rights and how these are related to education. The co-founders emphasised on the importance of legal empowerment of women to step forward in the field of self development.

The president of the school along with Headmaster Krishna Kanta Ray and assistant teacher Jasvinder Kaur Borah shed light on the importance of education among women in the society. Significantly, Gandhi Ashram LP School has already carried out many notable works in educating women.

Rajashree Goswami in her speech said, ""Education among women is very much important, especially among the underprivileged. It makes people identify, understand, interpret, create, communicate and compute. Our aim is to help the people of the community to learn about their surroundings by keeping them up-to-date along with making them aware about their rights. Because, to curb the menace that is happening with womenfolk, it is very much important for women to know about the laws, along with their rights. Under such circumstances, education is the path to reach that goal. The path is not easy, but neither is it impossible.""

On the other hand, Arpana Choudhury said that most people in the community are hardly aware about their constitutional rights. Hence, it is often seen that their rights are violated by unscrupulous people with impunity.

""So through this programme, we are trying to shed light on those areas which these sections of the society have often ignored. We are trying to make them self-dependent so that they can stand up for themselves without anyone's help. We've a long way to go,"" Arpana observed.

WE DO, it may be mentioned, is a right and research-based initiative by four young minds, Rajashree Goswami, Arpana Choudhury, Rahul Borah and Anup Sinha from Assam. Their prime focus is to empower women irrespective of diversity, ethnicity, culture and space. WE DO also looks after other marginalised section of the society and tries to give them a platform where they can share their problems and seek pragmatic remedies."
"10","934809682","2018-08-29","https://www.business-standard.com/article/pti-stories/hp-hc-seeks-govt-s-stand-on-students-plea-alleging-breach-of-right-to-education-118082901227_1.html","HP HC seeks govt's stand on students' plea alleging breach of right to education","Business Standard",FALSE,"SC sets aside Himachal HC order denying relief to IFS officer Sanjiv Chaturvedi

The Himachal Pradesh High Court today asked the state government to explain its stand on a plea by the students of a school alleging breach of their Fundamental Right of Education due to non-availability of the teachers and other staffers there.

Taking up the students' plea as a public interest litigation, a bench of Acting Chief Justice Sanjay Karol and Justice Sandeep Sharma asked the principal secretary (Education) to apprise it of the state of affairs in the government schools across the state.

It asked the officer to file an affidavit detailing the number of schools in various districts, the number of sanctioned and vacant posts for the teachers and other staffers there and if the government has made any requisition to the state's Staff Selection Commission for filling up those vacancies.

The court also asked the government to indicate the time limit by which it would fill those vacancies, and slated the matter for further hearing on September 12.

The bench issued the order on a plea by the students of the Government Senior Secondary School at Doghari in Mandi, alleging non-availability of proper staff and teachers in the school.

The students had alleged that most of the posts of the teachers and other staffers in their school were lying vacant since long due to which they were being deprived of their Fundamental Right of Education.

They students said they had no mathematics teacher in the school for the last 11 years and no science teachers for the last three years.

They said due to scarcity of the maths and science graduates in a radius of 20 kms around the school, even their principal has failed to engage a maths or science teacher through the school management committee.

The students said in their plea that many of them have to cross several hilly streams and rivers in boats to come to the school, exposing themselves to grave dangers, but the authorities have paid scant regards to their plight."
