"","ID","date","url","title","source","duplicate","body"
"1","933603294","2018-08-28","https://timesofindia.indiatimes.com/city/bhubaneswar/block-grant-teachers-threaten-school-closure-from-september-6/articleshow/65573569.cms","Block grant teachers threaten school closure from September 6 - Times of India","The Times of India",FALSE,"BHUBANESWAR: Agitating block grant teachers on Monday said they would lock up schools from September 6 unless the government fulfilled their demands for better service conditions.

The school and college teachers have been sitting on a strike from August 16 to demand the implementation of the grant-in-aid policy from their respective dates of joining. ""We are going to observe a black day on September 5, after which we will lock up the schools,"" said Golak Nayak, coordinator of the united teachers forum."
"2","908172525","2018-07-18","https://www.business-standard.com/article/pti-stories/hc-raps-tn-educational-authorities-orders-school-s-closure-118071801491_1.html","HC raps TN educational authorities; orders school's closure","Business Standard",FALSE,"Pulling up education authorities over the appalling conditions at a private school here where toilets lacked doors and roofs, the Madras High Court today ordered its closure and directed that all the students be shifted to nearby schools.

Passing interim orders, Justice S Vaidayanathan noted that toilets in the school were open to sky and did not even have doors and said since high-rise buildings were close-by, miscreants may take photographs of girl students using the toilets and circulate them on the internet.

The judge said he was not inclined to grant permission for continued functioning of the 'Sri Saravana Vidhyalaya Nursery and Primary School' at suburban Puzhal for a period of one academic year to carry out the rectifications.

He ordered that all the students studying in the school be accommodated in the nearby schools.

Accepting the direction, the special government pleader submitted a list of eight schools located in the vicinity.

The matter relates to a petition from S Sasikumar, who submitted that the management of the school functioning in his property, had obtained approval and renewals from educational authorities by fraudulently misrepresenting the actual safety and infrastructure and sanitary conditions.

He sought a direction to authorities for inspection of the school.

Following an earlier direction, Director of Elementary Education A Karuppuswamy and other officials were present before the court today.

The judge said there were also other deficiencies like asbestos sheet roof and thatched huts and asked the government pleader as to how permission was granted to such a school.

He wondered if authorities will act only if an incident like the 2004 Kumbakonam school fire, in which several children died, occurred.

Pulling up the educational officials for not taking steps, the court said though a show cause notice was issued in 2015, no further action was initiated.

""It is very unfortunate that the authorities are careless and they have proceeded on the basis that the work comes to an end after the issuance of show cause notice. Prevention is better than cure,"" the judge said.

He directed the government to initiate departmental action against the officials who were in service at the time of issuance of show cause notice.

The petitioner, whose attempts to terminate the tenancy agreement with the school had failed, submitted he had already made representations on March 2 this year to the educational authorities to inspect the premises in view of violations of regulations."
"4","899272054","2018-07-04","https://indianexpress.com/article/world/thousands-sign-petition-to-save-hindu-school-from-closure-in-uk-5245956/","Thousands sign petition to save Hindu school from closure in UK","The Indian Express",FALSE,"By: PTI | London | Published: July 4, 2018 8:07:47 pm Sanju box office collection day 5: The Rajkumar Hirani film earns Rs 167.51 croreSonali Bendre diagnosed with high grade cancer, wishes pour inSonam Kapoor, Arjun Kapoor and others share their love for Sonali Bendre

Thousands of people have signed a petition to prevent the closure of one of the UK's largest independent Hindu faith schools, the Swaminarayan School in London. The Akshar Educational Trust, which runs the school set up in 1992, had announced its closure last month as part of plans to exit the education sector completely by July 2020. Parents of students associated with the school have now organised a campaign to save the ""school of excellence"" from closure.

""In a letter to parents, a spokesperson for the school blamed 'increasing regulatory requirements, difficulties in recruitment and retention of teachers, ready availability of free state-funded Hindu schools, and declining pupil numbers' for the move. This is simply not true,"" notes the Change.org petition, which has attracted nearly 3,500 signatures since last week. ""Sensitivity analysis of accounts by experts suggests that with restructuring it is possible for school to run for the foreseeable future,"" it notes.

The parents, who have coordinated into a save-the-school campaign, say that many Indian-origin families have moved, relocated and changed their way of life to enable their children to get an education within the ethos and culture of Hinduism at the respected Swaminarayan School in Neasden, north-west London. ""Parents are more than happy to consider taking over the running of the school by appointing new teams who will give due consideration to the communities and families that are being disrupted by this announcement,"" the parents said in a statement.

The school has been very popular within the large Indian-origin community based in the borough of Brent, many of whom are happy to pay the GBP 4,310 per-term fees to enrol their children. But the trust running it said that mounting pressures in recent years had hampered its ability to invest in the resources required to sustain the improvements needed in the school, both educationally and for its infrastructure.

The institution, opened by Pramukh Swami Maharaj alongside the BAPS Swaminarayan Mandir to ""promote Hindu and British culture and values and way of life"", has around 400 pupils between the ages of three and 18 currently on its rolls.

The trustees had unveiled plans for closure in two phases in order to allow parents time to apply to other schools. However, parents are furious at the lack of consultation before the announcement was made. ""The school is not a business, where a decision like this can just be made and announced... the team of governors and trustees just seem to have had enough and this is now the easiest option for them,"" the parents said.

They have received the backing of Indian-origin Labour party MP, Seema Malhotra, who said she is ""saddened"" by the news of the closure. ""The Swaminarayan School has a strong reputation and has been highly valued by parents and the community. I hope that through discussions between parents, teachers, governors and trustees that a solution can be found and the school is able to stay open and continue to flourish,"" she said.

Under the UK's educational system, privately-run faith schools must follow a national curriculum but can have a particular religious character or formal links with a religious organisation. They are allowed to have different admissions criteria and staffing policies from state-funded schools."
"6","899259577","2018-07-04","https://www.business-standard.com/article/pti-stories/thousands-sign-petition-to-save-hindu-school-from-closure-in-uk-118070400994_1.html","Thousands sign petition to save Hindu school from closure in UK","Business Standard",FALSE,"Thousands of people have signed a petition to prevent the closure of one of the UK's largest independent Hindu faith schools, the Swaminarayan School here.

The Akshar Educational Trust, which runs the school set up in 1992, had announced its closure last month as part of plans to exit the education sector completely by July 2020.

Parents of students associated with the school have now organised a campaign to save the ""school of excellence"" from closure.

""In a letter to parents, a spokesperson for the school blamed 'increasing regulatory requirements, difficulties in recruitment and retention of teachers, ready availability of free state-funded Hindu schools, and declining pupil numbers' for the move. This is simply not true,"" notes the Change.org petition, which has attracted nearly 3,500 signatures since last week.

""Sensitivity analysis of accounts by experts suggests that with restructuring it is possible for school to run for the foreseeable future,"" it notes.

The parents, who have coordinated into a save-the-school campaign, say that many Indian-origin families have moved, relocated and changed their way of life to enable their children to get an education within the ethos and culture of Hinduism at the respected Swaminarayan School in Neasden, north-west London.

""Parents are more than happy to consider taking over the running of the school by appointing new teams who will give due consideration to the communities and families that are being disrupted by this announcement,"" the parents said in a statement.

The school has been very popular within the large Indian-origin community based in the borough of Brent, many of whom are happy to pay the GBP 4,310 per-term fees to enrol their children. But the trust running it said that mounting pressures in recent years had hampered its ability to invest in the resources required to sustain the improvements needed in the school, both educationally and for its infrastructure.

The institution, opened by Pramukh Swami Maharaj alongside the BAPS Swaminarayan Mandir to ""promote Hindu and British culture and values and way of life"", has around 400 pupils between the ages of three and 18 currently on its rolls.

The trustees had unveiled plans for closure in two phases in order to allow parents time to apply to other schools. However, parents are furious at the lack of consultation before the announcement was made.

""The school is not a business, where a decision like this can just be made and announced the team of governors and trustees just seem to have had enough and this is now the easiest option for them,"" the parents said.

They have received the backing of Indian-origin Labour party MP, Seema Malhotra, who said she is ""saddened"" by the news of the closure.

""The Swaminarayan School has a strong reputation and has been highly valued by parents and the community. I hope that through discussions between parents, teachers, governors and trustees that a solution can be found and the school is able to stay open and continue to flourish,"" she said.

Under the UK's educational system, privately-run faith schools must follow a national curriculum but can have a particular religious character or formal links with a religious organisation. They are allowed to have different admissions criteria and staffing policies from state-funded schools."
"7","894012736","2018-06-26","https://timesofindia.indiatimes.com/city/bengaluru/students-travel-250km-get-cm-to-stop-school-closure/articleshow/64738851.cms","Students travel 250km, get CM to stop school closure - Times of India","The Times of India",FALSE,"BENGALURU: In a desperate bid to save their institution from being closed, students of Alaghatta government high school in Chitradurga district travelled 250km overnight and met chief minister H D Kumaraswamy on Monday morning.

Donning their uniform and clutching schoolbags, 43 students, including a fair sprinkling of girls, arrived near the CM's residence in JP Nagar around 5am. After meeting the students around 10.45am and giving them a patient hearing, Kumaraswamy ordered officials to ensure that the school is not shut down.

The students said they were told by the authorities on June 16 that their 24-year-old school would be closed and they would be shifted to a school in Bharamasagara, which is 15km away. According to the children, classes for this academic year have already begun. While admissions for class 8 were under way, lessons for classes 9 and 10 were being imparted.

Officials cited the poor strength of students -- the Alaghatta school has about 50 of them -- as a reason for closing the institution and relocating the students to Bharamasagara.

Accompanied by villagers, the distraught students left their village around 11.30pm on Sunday night. Around 8.45am, the CM's officials collected details from them. When the CM was about to leave in his car around 10.45am, the students called out to him. Drawn by their 'CM Saar"" cries, Kumaraswamy stopped, met the kids and assured them that their demand would be met.

He also asked villagers why they had brought the children to the city. The villagers replied that they didn't have an option as no one paid heed to their grievances.

The CM has sought a report from officials on the number of students in the school.

Box: 'Dept helping pvt school lobby'

Gram Panchayat member of Alaghatta, E Nagaraj, said education department officials were helping the private school lobby by shutting down the decades-old school. ""We protested against the department's decision for a couple of days but no one bothered to listen to us. This pushed us to meet the CM to seek justice,"" he said."
"8","892883522","2018-06-24","http://www.thehindu.com/news/cities/Coimbatore/starting-of-english-medium-saves-panchayat-union-primary-school-from-closure/article24244593.ece","Starting of English medium saves panchayat union primary school from closure","The Hindu",FALSE,"Following the introduction of English as the medium of instruction, as many as 19 students enrolled at the Panchayat Union Primary School at Nadupalayam in Shenbagapudur Panchayat in Sathyamangalam block, which was facing closure due to poor strength. And the credit goes to the villagers and NGO Sudar.

The school that was started in 1992, had students from surrounding areas studying there. However, when a private school was started nearby, admissions dropped. When the current academic year started, only two students were pursuing studies.

Officials from the Department of Elementary Education were planning to close the school and admit the two students to nearby schools.

The NGO made a representation to the Department of Elementary Education, based on which a meeting was organised at the school. Villagers said that if English was introduced as medium of instruction, they would admit their children in the school.

Resolution passed

Later, the School Management Committee (SMC) passed a resolution for starting English medium and the same was forwarded to the department. It was announced that classes would be conducted in English from the current academic year.

Following this, people campaigned in the village asking parents to admit their wards in the school. A total of 19 students were admitted, taking the total strength to 21."
"9","842026874","2018-04-01","http://www.newindianexpress.com/thesundaystandard/2018/mar/31/school-closure-doe-panel-yet-to-decide-on-recognition-1795332.html","School closure: DoE panel yet to decide on recognition","The New Indian Express",FALSE,"NEW DELHI: A seven-member committee formed by the Directorate of Education (DoE) to ease the process of recognising private-unaided schools in Delhi hasn't taken any decision on the matter as yet, reveal two RTIs.

The committee was constituted in June 2017 to ""identify the problems and prepare guidelines to simplify the process/procedure for grant of Essentiality Certificate/Scheme of Management /Recognition/ Up-gradation to Private Unaided Schools in Delhi.""

The committee's decision is vital as in February 2018, the Delhi Government had ordered private schools functioning without DoE recognition to discontinue all educational activities from the next academic session beginning from April 1, 2018.

In a response to two RTIs filed separately by Chandrakant Singh and Gaurav Tyagi, General Secretary and Joint Secretary, respectively, Private Land Public Schools Association, inquiring about the committee's decision, the DoE replied with ""no such recommendations were submitted till date.""

The purpose of the committee was also to ""examine the provision of Delhi School Education Act & Rules, 1973, RTE Act 2009 and the suggestions received from school management/societies/trusts running Private Unaided Schools in Delhi.""

""The committee was constituted to simplify the existing procedure, not to amend the Act. The committee is still in existence and examining the provision. Probably in a month or two, it may finalise a decision and announce it,"" said a spokesperson from the DoE.

Singh and Tyagi argue that in the wake of closure threats issued by the Delhi government to unrecognised schools in the city, where lakhs of students are studying, the committee's say in the decision-making process could save thousands of schools from closing before the start of the new academic session.

Chandrakant Singh, had also sent a letter to Delhi Education Minister and Deputy Chief Minister Manish Sisodia requesting him not to close any of the unrecognised schools until a decision was taken by the committee.

The request was then forwarded by Sisodia's office to the DoE, asking Director Saumya Gupta to ""look into the matter for taking appropriate action"". ""No one has the right to put the future of lakhs of students at stake,"" said Singh."
"10","839340788","2018-03-27","http://www.thehindu.com/news/national/kerala/school-closure-govt-told-totake-lenient-stand-in-hc/article23365732.ece","School closure: govt told totake lenient stand in HC","The Hindu",FALSE,"As a petition against the closure of unrecognised schools is expected to be taken up in the Kerala High Court on Wednesday, the Association of Minority Management Institutions, an organisation representing owners of educational institutions run by minority groups, has urged the government to take a stand in their favour.

P.M.A. Salam, Indian Union Muslim League leader, and one of the functionaries of the association, told the media here on Tuesday that around 3,000 schools across the State had been served closure notices by the Education Department. Though the department was claiming that the schools were not providing the facilities as mandated by the Right to Education Act, Mr. Salam alleged that the schools were not given enough time to act on the requirements.

""When the Act came into force in 2013, the United Democratic Front (UDF) government had asked unrecognised schools to either fulfil the obligations or close down. Around 1,000 schools managed to get recognition after officials examined the facilities. This government, however, is arbitrarily asking us to shut down without giving us a chance,"" he alleged.

The schools facing closure included those approved by the Central Board of Secondary Education and functioning for over two decades. Education Minister C. Ravindranath had claimed on the floor of the House that 1,585 schools had been served notice, of which a majority were run by minority groups, Mr. Salam added.

Nisar Olavanna, president of the association, accused Education Department officials of adopting a hostile attitude towards the managements, affecting the future of lakhs of students, teachers and non-teaching staff. Asked about the allegation that the teachers and other staff were being paid a meagre amount as salaries, he said that only a few schools were resorting to such tactics. ""There is a proposal to have a joint fight against the government move by roping in organisations such as the Nair Service Society (NSS), Sree Narayana Dharma Paripalana (SNDP) Yogam, and Christian managements,"" he said."
"11","806167061","2018-02-03","https://timesofindia.indiatimes.com/city/pune/secrecy-on-school-closure-survey-troubles-activists/articleshow/62773057.cms","Secrecy on school closure survey troubles activists - Times of India","The Times of India",FALSE,"Pune: The education minister as well as the secretary of the department have refused to divulge details regarding the NGO that worked on the survey report, responsible for the decision to close zilla parishad schools where attendance was poor.

The report has also not been made public, triggering concern among retired educationists and activists. In fact, activists are of the opinion that the report should be made public at the soonest so that it is made open to scrutiny.

Mukund Kirdat, an education activist working against the decision to close schools in remote areas, pointed out that any document affecting the education of such a considerable number of children should be made public.

""It looks like there is a vested interest in not sharing the name of the NGO and making the report public. Secondly, there are also rumours that certain corporate entities will be allowed to run these schools a their corporate social responsibility (CSR) activity,"" said Kirdat.

Kirdat further went on to mention that for a government trashing reports of NGOs such as Pratham, taking such a big decision without any review process on its own also seems rather fishy.

""When the report came out, the government should have formed a committee comprising a civil society member or an activist, a retired judge and a government official in order to review the report and take samples to ascertain if the report is, in fact, true or not,"" said Kirdat.

Matin Mujawar, another education activist, explained that the top-down decision will only hurt rural Maharashtra in the long run. ""The problem with this model is that someone sitting in Mumbai has come to a decision whether the schools in these villages should be shut or not, without even knowing what is happening in villages. These decisions should be taken with utmost care and field officers must ensure that they recommend the name of the schools where an alternative is available to the seniors rather than vice versa,"" said Mujawar.

According to a zilla parishad teacher, the entire issue has created a fear among tutors as well as parents whose children attend these schools.

""Once the name of your school is on the list, we don't know what will happen next. Parents continue to ask us and we don't have an answer to their questions. Some schools were being spruced up and the process had to be stopped midway because what is the point of the renovation if the school is being shut down"" the teacher sought to know."
"12","790345573","2018-01-09","http://www.dnaindia.com/mumbai/report-school-closure-report-is-a-rumour-state-2573978","School closure report is a rumour: State","Daily News and Analysis (DNA) India",FALSE,"Officials on Monday scrambled to scotch rumours about closure of schools across the state. The misinformation spread like wildfire after a regional newspaper published a report saying that the government was planning to shut down 80,000 schools. It even quoted the principal secretary of education department.

As panic struck the teachers, Principal Secretary (Education) Nandkumar assured the community that neither the government had taken any such decision nor had he given a statement to that effect.

In its report, the regional newspaper said that the government planned to bring down state-run schools from 1,10,000 to 30,000 in 15 years.

Anil Bornare, Mumbai president of Shikshak Parishad, an umbrella body of teachers, said they wrote to Education Minister Vinod Tawde seeking a clarification. ""The minister replied in the afternoon saying it was fake news and asked us not to believe in rumours.""

Assuring that no schools were closing down, Nandkumar said, ""The state has 1,30,000 schools and if there are 1,000 children in each school then 30,000 schools will be sufficient was my statement. Nowhere I have mentioned or spoken that government has planned to shut 80,000 schools or has made a policy decision. The newspaper is not able to prove what they have printed today."""
