"","ID","date","url","title","source","duplicate","body"
"1","1026758211","2018-12-26","http://zeenews.india.com/education/gmac-includes-xavier-university-bhubaneswar-escp-europe-and-whu-otto-beisheim-school-of-management-as-member-institutes-2166061.html","GMAC includes Xavier University Bhubaneswar, ESCP Europe and WHU Otto Beisheim School of Management as member institutes","Zee News",FALSE,"The Graduate Management Admission Council (GMAC) on Wednesday added three educational institutes - Xavier University Bhubaneswar, ESCP Europe and WHU Otto Beisheim School of Management - in its membership. With this, GMAC's total membership is up to 225.

""GMAC continues to strengthen its membership of graduate business schools that are not only working to address the changing needs of students, but also understanding the landscape and what can be done to better prepare students for their careers,"" said Sangeet Chowfla, president and CEO of GMAC. ""Each of these three schools brings a unique approach from its area of the world. The perspectives they collectively bring to the Council will help further our mission and work to identify the opportunities and challenges faced by our industry.""

Xavier Institute of Management is a part of Xavier University Bhubaneswar. The varsity also offers a host of other courses including undergraduate and postgraduate courses.

ESCP Europe has been called as the world's first business school. It currently has campuses in Paris, Berlin, London, Madrid, Turin, and Warsaw.

WHU - Otto Beisheim School of Management, another leading business schools in Germany, has campuses in Vallendar and Düsseldorf.

The Graduate Management Admission Council (GMAC) is an association of leading graduate business schools worldwide. Founded in 1953, we are committed to creating solutions for business schools and candidates to better discover, evaluate and connect with each other. We work on behalf of the schools and the graduate management education community, as well as guide candidates on their journey to higher education, to ensure that no talent goes undiscovered.

GMAC owns and administers the Graduate Management Admission Test (GMAT). The GMAT scores analyses assess analytical, writing, quantitative, verbal, and reading skills for admission to graduate management programs."
"5","1019472918","2018-12-15","https://www.aninews.in/news/toddler-died-after-drowning-parents-blame-school-management-for-negligence201812160401150001/","Toddler died after drowning, parents blame school management for negligence","http://aninews.in",FALSE,"Ranga Reddy (Telangana) [India], Dec 16 (ANI): A three-year-old student of a private play school died after allegedly drowning in a swimming pool at a farmhouse in Telangana's Ranga Reddy district.

The incident took place on December 15 when the school organised a sports cum carnival day at the farmhouse located in Moinabad police station limits for the students and their parents.

A case has been registered after parents of the deceased filed a complaint in this regard blaming the school management for negligence.

Deputy Commissioner of Police (DCP) Shamshabad, N Prakash Reddy said, ""We have received the complaint from the parents of the deceased and a case under Section 304A (causing death by negligence) of the Indian Penal Code (IPC) has been registered.""

The body of the deceased has been shifted to a local government hospital for post-mortem while further investigation is underway. (ANI)"
"6","1018315380","2018-12-14","https://swarajyamag.com/insta/kerala-school-management-association-expels-general-secretary-over-fund-appropriation-without-cbse-permission-2","Kerala School Management Association Expels General Secretary Over Fund Appropriation Without CBSE Permission","swarajyamag.com",FALSE,"Kerala CBSE School's Management Association has removed its General Secretary Indira Rajan and working president G Rajmohan from their posts due to allegations of misappropriating funds, reports Times of India.

The duo allegedly organised a sports meet without the prior permission of CBSE and even sent letters in the name of the education body. They promised certificates to the students, collecting participating amount from them.

The association president T P M Ibrahim Khan said, ""They again planned to organise a similar event this year. The association has intervened and written to both Centre and state governments, following which the event was stopped in November.""

Khan added that the money was not transferred through the official sports council account.

Refuting allegations, Indira Rajan said that all accounts had been settled with every single transaction done under the responsibility of the organising committee.

She sent a statement which said- ""I am personally not a party to any collection or disbursement of funds. I am open to discussing this matter in an open forum of CBSE."""
"7","1012370869","2018-12-06","http://www.asianage.com/metros/mumbai/071218/mumbai-schools-may-get-school-management-committee.html","Mumbai schools may get school management committee","The Asian Age",FALSE,"MUMBAI: The concept of School Management Committee (SMC), which is being carried out in rural schools of Maharashtra, may soon be implemented in city schools too.

Currently, instead of SMC, city schools have Parents Teachers Associations (PTA), which aims at building good relations between teachers/management and parents for the benefit of students. Yet parents seem dissatisfied with the major decisions taken by schools.

Meanwhile, the state education department is getting a good response from parents and schools in Zilla Parishad and other taluka-level in the state.

Some of the highlights of SMC in rural schools include, 'A day at school', where parents along with grandparents and siblings spend the entire day at school with teachers, headmistress and the student.

There is also the 'Personalised mid-day meal', which is created by teachers and parents together as per the ingredients schools receive for the mid-day meal every month.

""By mixing, matching and twisting the ingredients, a new dish is created once or twice a week to charge the students,"" a teacher from the Nashik district school said.

'HM-Parents brainstorming' is another innovative programme under the SMC which helps both the stakeholders to understand students' requirements in order to increase productivity.

SMC and PTA both functions equally however a major difference is the level of involvement.

Prachi Sathe, officer on special duty of state government explained, ""PTA is limited to open houses, fee hike discussions, etc. While with SMC, a student is discussed in and out by the teacher and the parents. This way, both of them know what is to be done to help the student do better in every way. Moreover, education is looked at in a different manner in rural areas as most students are first generation learners.""

The state education department is in talks with schools in the city to bring SMC in all level schools including civic, government-aided and open board schools."
"8","1003753056","2018-11-26","https://timesofindia.indiatimes.com/home/education/news/internationalimmersion-programme-a-step-towardsbecoming-a-global-manager-at-fore-school-of-management-new-delhi/articleshow/66814371.cms","International Immersion Programme - A step towards becoming a Global Manager at FORE School of Management, New Delhi - Times of India","The Times of India",FALSE,"International Business is undergoing a paramount transformation with the arrival of new technologies, shrinking boundaries, and the growing cosmopolitan cult...

International Business is undergoing a paramount transformation with the arrival of new technologies, shrinking boundaries, and the growing cosmopolitan culture. The Indian market itself has become a thriving ground for international talent and with the growing entrepreneurship in the Indian Subcontinent, the global demand for cutting-edge business solutions and inventive minds is on the rise.

Among the leading Indian B-Schools, FORE School of Management has wholeheartedly embraced the wind of change and has fully committed itself to foster the sharpest minds in the business world with a special focus on the global business climate. The New Delhi Based Business School has trained young minds and launched the careers of many with several of its students heading the major departments across an impressive array of verticals.

Recently, the FORE School of Management conducted an International Immersion Programme to facilitate a global and progressive learning environment for the students. In a brief programme spanning almost a week, IIP focused on providing students the international exposure and a platform for exchanging ideas and practices through streamlined lectures by the major academicians.

The 2018 IIP had 5 highly specialized and cutting-edge courses:

During the 2018 IIP, students visited various companies in Singapore like Grey Orange, Expara, Olam, and DHL as an essential part of their academic program. Technology group students also relished the first-hand experience of 3D printing at 3D Printing Lab of NTU. With a fully residential program like this, students sojourned at an excellent residential facility of Nanyang Executive Centre, part of NTU, Singapore.

Prof. Himanshu Joshi, Prof. in charge, International Relations says, ""International Immersion Program at FORE is designed to give students an opportunity to learn the latest advancement in their respective field of specialization and deepen their knowledge about an increasingly globalized business environment. Five highly specialized courses developed by Nanyang Business School, Singapore faculty based on their intensive research experience are conducted over a week period for FORE students. Apart from the rigorous academic inputs, IIP provides insights into Singapore's Econo-political, business, social, and cultural life.""

With the 2018 IIP, PGDM IB students got the chance to interact with and learn from Prof. Patrick Gibbons, the Jefferson Smurfit Professor teaching Strategic Management at the University College Dublin who conducted the course for IB students at the Nanyang Executive Centre, Singapore. Prof. Gibbons introduced the students to some of the most ground-breaking International Competitive Strategies, designed to tackle the most formidable challenges that managers often face because of the unpredictable international business climate. International Competitive Strategies Course highlighted the pathways for managers who struggle with the changing business climate and illuminated methods concerning how they should deploy the business assets and resources to achieve the optimal output.

PGDM 2016-2018 batch's student Akshay Sood recounts his brilliant IIP experience at NEC, Singapore. He journalized his IIP experience via a photo-story and remarked that it indeed brought him face to face with the challenging global business climate. Akshay mentioned in his photo story that it was curiosity and an insatiable hunger for knowing more that took him to Singapore and the moment he stepped on the massive campus of Nanyang, he knew that it was the wisest trip he had made.

Akshay spent six days with his friends and batchmates in Singapore, learning from the best and recounted how fruitful the visit to the several established companies like Expara, DHL, Grey Orange, etc. were. As part of the overseas academic program, the whole batch visited the 3-D printing Lab of NTU where they received exposure to the innovative practice and ideas. He recounted how this educational trip had been among the most fulfilling ones since he didn't just get the chance to explore the beautiful city of Singapore but also witnessed the technologically advanced marvel firsthand."
"9","969419629","2018-10-14","https://www.thehindu.com/news/cities/bangalore/private-school-management-president-stabbed-to-death/article25222459.ece","Private school management president stabbed to death","The Hindu",FALSE,"Police suspect civil dispute to be the cause of murder; one accused arrested, two absconding

The president of a private school management was stabbed to death in Magadi Road police station limits on Sunday morning.

The victim Ranganath, who was running Havanur Public School at Basaveshwaranagar, was assaulted by three men and stabbed to death in the school office.

The police suspect civil dispute to have been the cause of the murder. According to the police, there was a longstanding dispute over a CA site adjacent to the school premises.

Recently, a court gave a verdict in favour of the school, and accordingly, on October 12, Bangalore Development Authority sent people to evict the family that was residing on the premises. Part of the house was razed after which some of the family members were allegedly upset with the school management for rendering them homeless.

According to the police, on Sunday morning, three members of the family wanted to meet the school management to settle the dispute. Ranganath invited them to his office, but an argument ensued, and one of the three men stabbed him. The trio then fled from the spot. Ranganath was taken to a local hospital where he was declared brought dead, the police said.

Shot at

A team of officials from Magadi Road and K.P. Agrahara stations went in search of the accused. Based on a tip-off, the police rounded them up near Kirloskar Poultry Road. One of the accused, Muniraju, assaulted the police constables, upon which they fired three rounds of shots, injuring him on the leg. He was then shifted to Victoria Hospital.

The police are on the lookout for the other two attackers."
"10","966287148","2018-10-10","https://www.business-standard.com/article/pti-stories/decision-to-okay-school-management-committee-funds-a-game-changer-kejriwal-118101001048_1.html","Decision to okay School Management Committee funds a game changer: Kejriwal","Business Standard",FALSE,"Delhi HC verdict to put financial stress on workers: Kejriwal

Terming the AAP dispensation's decision to approve School Management Committee funds for improvement of government schools a ""game changer"", Chief Minister Arvind Kejriwal on Wednesday claimed it would reduce red-tapeism.

The Delhi government on Tuesday approved the School Management Committee funds under which it will get at least Rs 5 lakh annually per shift (morning and evening).

""This will prove a game changer in improving schools. Now schools won't need funds and approvals from sectt. This will cut red tape n enable schools to take their own decisions (sic),"" Kejriwal tweeted.

According to the government, the funds for the schools running in two shifts will be Rs 10 lakh (five lakh for each shift SMC).

Earlier, the amount to be given would depend on the number of students in the school."
"11","964603694","2018-10-08","https://www.thehindu.com/news/cities/kozhikode/school-management-firm-on-opposition-to-heritage-tag/article25160885.ece","School management firm on opposition to heritage tag","The Hindu",FALSE,"Historian writes to Culture Secretary seeking conservation of heritage building

Despite experts from the National Institute of Technology-Calicut (NIT-C) expressing willingness to conduct a technical study on the colonial era building on the premises of St. Joseph's Anglo-Indian Girls Higher Secondary School, the management continues to maintain its opposition to the Culture Department's bid to declare it as a protected monument.

According to sources, the proposal for the study was put forward during the course of informal talks between representatives of the management, a group of old students who are batting for the protection of the building, and heritage enthusiasts.

The effort was to find out the feasibility of retaining the building and examine the architectural parameters involved. However, the management is learnt to have backtracked on the proposal.

Meanwhile, historian M.G.S. Narayanan has written to V. Venu, Secretary, Department of Culture, pointing out the need to conserve the few heritage structures remaining in Kozhikode town. Mr. Narayanan said that though Kozhikode could boast a rich heritage, its symbols such as the Hajoor Kacheri, had been demolished.

""It is painful to know that there is a plan to demolish the historically important building connected to Mother Veronica. A native of France, she has a unique place in the history of Kozhikode as the one who set up the first school for girls in Malabar in the 19th century, when education was a dream for the female population,"" he said in the letter.

The century-old structure reflecting the grandeur of colonial architecture has a pride of place in Kozhikode. ""At a time when modern technology is being used to conserve such buildings, efforts to bring it down in the name of security are condemnable,"" Mr. Narayanan said.

Congratulating the Culture Department for proposing to declare it as a protected monument, the historian said that the demolition of the building would be a blot on the image of the Apostolic Carmel, who have rendered yeomen service to society for over a century.

Sources close to the management told The Hindu on Monday that at a time when many age-old government schools were being demolished to make way for new buildings with advanced facilities, there was no point in retaining the structure there.

The management was not taken into confidence before the Culture Department issued the gazette notification proposing to declare the building as a protected monument.

The regional town planner had submitted a report ruling out the antiquity of the building and it was not 100 years old too.

""We have filed an appeal against the Culture Department's gazette notification. The date of the hearing is yet to be intimated,"" Varun Bhaskar, PTA president, said."
"12","962441479","2018-10-05","https://www.thehindu.com/news/cities/bangalore/complaint-against-school-management-at-kscpcr/article25137695.ece","Complaint against school management at KSCPCR","The Hindu",FALSE,"A parent of a three-year-old boy has lodged a complaint with the Karnataka State Commission for Protection of Child Rights (KSCPCR) against the school management for allegedly neglecting the child during Independence Day celebrations even though he was in distress.

The parent, in the complaint, alleged that one of the teachers had tied a band on the boy's wrist as part of the costume for the cultural performance. ""The band was tight and the pins which were used to staple the band had pierced the child's wrist. Although my son was crying, none of the teachers or the support staff paid attention to him,"" the parent alleged.

Although the mother reportedly tried to intervene, the school authorities allegedly told her that she could speak to the child only after the performance. The parents want an apology from the school.

""We waited for over a month and thought the school would address our concerns, but the management has not responded to our grievance, which is why we had to approach the commission,"" the mother stated.

The school management was unavailable to comment on the allegation."
"13","960389554","2018-10-03","https://article.wn.com/view/2018/10/03/Metro_Bank_launches_MSc_in_Retail_and_Digital_Banking_with_C/","Metro Bank launches MSc in Retail and Digital Banking with Cranfield School of Management","article.wn.com",FALSE,"Cranfield School of Management - Full time MBA - The MasterTaste Interview

A solid, serious approach to higher education, you won\'t find anyone in Cranfield listening to One Direction. Tight-nit, surrounded by soft rolling hills, we tend to agree with Frank: this seems a focused place to study. Just don\'t wander onto their private airfield by accident at night... The whole MasterTaste interview here: http://master-taste.com/cranfield-school-of-management-full-time-mba.html QUESTIONS 00:16 Is this program in danger of becoming old fashioned? 00:51 It all sounds very serious, is it? 01:32 You have an engineering pedigree. What does that give to MBAs? 02:38 What about high tech? 03:41 Why does it matter that you are not an ivory tower? 05:37 Your motto - Practice of Management not the Theory of Business? Don\'t you need both? 07:25 This is a entirely postgraduate community. So what? 08:07 You are 1 hour from London. Is it too far? 08:24 Why not study my MBA in London? 09:00 Can I meet real business leaders here? 09:48 You are Triple Accredited, why does it matter? 10:23 Harvard isn\'t triple accredited...so why are you? 10:45 Doesn\'t accreditation constrict the curriculum? 12:39 Is it a flexible course? 12:59 Are one year courses cookie cutters? 13:16 On a scale of super flexible to cookie cutter, where are you? 14:12 Why is your executive education program relevant to my full time MBA? 15:54 What does it mean that a busines school has corporate clients? 16:58 What\'s more important to Cranfield: Corporate clients or Quality Education for students? 17:51 Where is the optimal balance? 18:08 Are lecturers too busy with clients, ..."
