"","ID","date","url","title","source","duplicate","body"
"2","1023506972","2018-12-21","https://www.dnaindia.com/india/report-caste-based-seating-plan-lands-bihar-school-principal-in-trouble-2698579","Caste-based seating plan lands Bihar school principal in trouble","Daily News and Analysis (DNA) India",FALSE,"A government school in Bihar is in the eye of the storm after it was revealed that the students of the school were forced to adhere to a seating plan segregated on the basis of religion and caste for the last four years. The Government of Bihar has now ordered action against the principal of the school.

Vaishali District Magistrate Rajeev Roshan said that the reports of the caste-wise seating arrangement were found to be true, following which action was ordered against the principal.

According to a local source, the GA High School in Lalganj Vaishali, which has over 1,000 students enrolled in Classes IX and X, divided the students on the basis of their religion and caste and asked them to sit in separate classrooms accordingly. Their attendance registers also mention their caste along with their names, so as to ensure that all students stuck to the religion and caste-based division while sitting in the classrooms.

""The issue came to the fore when some students of the school raised an objection to the caste-based segregation, following which the district administration probed the matter and ordered action against the principal, Meena Kumari,"" the source added.

Kumari, in her defence, said she only continued with the seating plan decided by her predecessor as it was convenient to implement the various welfare schemes of the government if the students were seated accordingly. She also denied that the students had ever been discriminated due to their religion or caste.

The local officials of the education department have sent a detailed report on the matter to the senior officials for information and further recommendation.

The Government of Bihar not just provides scholarships but also funds for buying the uniform and cycle to the students, most of which is now directly transferred to their bank accounts, if the students have 75% attendance."
"3","1022916876","2018-12-20","http://english.sakshi.com/crime/2018/12/20/hyderabad-school-principal-gives-triple-talaq-over-whatsapp-call","Hyderabad School Principal Gives Triple Talaq Over  WhatsApp Call ","Sakshipost",FALSE,"Hyderabad: In a case of Triple Talaq, which is plaguing the country through different forms of communication, a school principal divorced his wife over a WhatsApp phone call in Hyderabad.

Samiya Bhanu of Yusfuguda was married to Mohd Mozzammal Sharif of Toli Chowki two years ago. Sharif was a principal of Gems High School in Toli Chowki. They also had a baby girl after which Sharif and Samiya started having differences over certain issues in their marriage. He was also planning to marry another woman it is said.

Unable to bear his harassment Samiya left her marital home and went back to her parents place and started staying with them.

She received a WhatsApp call from him on Wednesday and when she took his call he declared Talaq thrice and divorced her.

Samiya along with her parents filed a case in the Banjara Hills Police station under Sections 498, 406, 506 of the IPC and the DP Act. When they came to stage a protest in front of the school Sharif absconded. Police said that they are on the lookout for him and will arrest him soon."
"4","1021630194","2018-12-18","https://www.thehindu.com/news/cities/Delhi/noida-school-principal-held-for-wall-collapse-incident/article25777865.ece","Noida school principal held for wall collapse incident","The Hindu",FALSE,"A day after two children were killed in a wall collapse at Salarpur's KM Public School here, Noida police arrested the school principal Sanjeev Jha. Five others named in the case, including the owners of the school, remained absconding on Tuesday.

School owner, Amit Bhati, also known for being the State Secretary of the Yuvajan Sabha -- a youth outfit of the Samajwadi Party -- said on a Facebook post that he still enjoys the position even as the SP tried to distance itself from the leader.

While Mr. Bhati had been running the school for the past five years, he had given the responsibility to manage the school to the principal and manager on profit basis.

The wall collapse on Monday had prompted Uttar Pradesh Chief Minister Yogi Adityanath to order a magisterial-level inquiry.

This is the first arrest in the case in which six people have been charged with culpable homicide not amounting to murder, endangering life of others under the Indian Penal Code and for cruelty against children under the Juvenile Justice (Care and Protection of Children) Act, 2015.

""Acting on a tip-off, [the principal] was held by the team from the gate of Arogya Dham Maharishi Ashram in Sector 107,"" Station House Officer Girija Shankar Tripathi said, adding that searches were under way to arrest the other accused.

The wall collapsed allegedly as a result of some construction activity, involving use of a heavy machine (JCB), in the adjoining plot in Salarpur village, the police had said.

The FIR named the school's principal, its manager, owner, his relatives and an unidentified JCB operator.

It stated that the school building was ""too old and deteriorated"" while the construction work in the plot adjoining it was being done ""without any official approval from the authorities concerned""."
"5","1021209273","2018-12-18","https://www.outlookindia.com/website/story/india-news-up-school-principal-suspended-after-beating-students-for-not-saying-as-salaam-alaikum/321970","UP School Principal Suspended After Beating Students For Not Saying 'As-Salaam-Alaikum'","http://outlookindia.com/",FALSE,"The principal of a secondary school has been suspended for allegedly beating up students for not greeting him with ""As-Salaam-Alaikum"" in UP's Shahjahanpur.

Principal secretary and nodal officer of the district, Dimple Verma on a visit to the Bilhari Secondary School in Tilhar area Sunday was told that principal Chand Mian was demanding that he be greeted with ""As-Salaam-Alaikum"" and he would beat up those wishing him ""good morning"", an official said.

""As-Salaam-Alaikum"" is a greeting in Arabic which means ""Peace be upon you"". The greeting is a religious salutation among Muslims.

Class VI student Priyanshu, who met the senior officer along with other locals, told her that since the children were not being able to say ""As-Salaam-Alaikum"" they were beaten up. He also showed injury marks on his neck to the visiting official, Chief Development Officer Prerna Sharma said.

The student was sent for medical examination and the preliminary inquiry report has been handed over to Basic Shiksha Adikari (BSA) Rakesh Kumar.

""Principal Chand Mian has prima facie been found guilty of the charges and suspended...further inquiry is on,"" Kumar said.

Meanwhile, Chand Mian has rejected the allegations and said that he was being defamed as part of some conspiracy.

Earlier, in a similar incident, an Urdu teacher of a government school in Uttar Pradesh's Hardoi district had allegedly asked the students to greet him with Salaam Alaikum, following which a show cause notice has been issued to him by the authorities.

Activists from the Bajrang Dal group came to the school situated in Sandila town of Hardoi district and highlighted the issue to the authorities.

(With input from agencies)"
"6","2018-12-1021036540","2018-12-18","https://swarajyamag.com/insta/islamic-imposition-up-school-principal-brutally-beats-up-students-for-not-wishing-him-with-as-salaam-alaikum","Islamic Imposition? UP School Principal Brutally Beats Up Students For Not Wishing Him With 'As-Salaam-Alaikum'","swarajyamag.com",FALSE,"Representative image (Arun Sharma/Hindustan Times via Getty Images)

The Principal of a secondary school in Shahjahanpur, Uttar Pradesh, Chand Mian has been suspended for beating students who did not wish him with the Arabic greeting As-Salaam-Alaikum, Press Trust of India has reported.

Principal secretary and nodal officer of the district Dimple Verma was informed of this when she went on an inspection to Bilhari Secondary School in Tilhar area. ""As-Salaam-Alaikum"" is an Arabic greeting which means ""Peace be upon you"".

A class 6 student told that the principal was beating up students who were not able to spell out the greeting. Chief Development Officer Prerana Sharma was quoted as saying that the victim student showed injury marks on the neck.

The student was later sent for medical examination by authorities. A preliminary inquiry report has been handed over to Basic Shiksha Adikari (BSA) Rakesh Kumar.

Chand Mian though rejected the allegations by claiming that he was being defamed as part of some conspiracy.

The Yogi Adityanath led Uttar Pradesh government had earlier cancelled the accreditation and registration of a madrasa in Maharajganj which had forced its students not to sing the national anthem during Independence Day celebrations earlier this year."
"7","1020587178","2018-12-17","https://www.business-standard.com/article/pti-stories/up-school-principal-beats-up-students-for-not-wishing-him-as-salaam-alaikum-booked-118121701052_1.html","UP school principal beats up students for not wishing him 'As-Salaam-Alaikum', booked","Business Standard",FALSE,"Facebook develops quicker, faster way to translate languages

A case has been filed against principal of a secondary school here Monday for allegedly beating up students for not greeting him with ""As-Salaam-Alaikum"".

Principal secretary and nodal officer of the district, Dimple Verma on a visit to the Bilhari Secondary School in Tilhar area Sunday was told that principal Chand Mian was demanding that he be greeted with ""As-Salaam-Alaikum"" and he would beat up those wishing him ""good morning"", an official said.

""As-Salaam-Alaikum"" is a greeting in Arabic which means ""Peace be upon you"". The greeting is a religious salutation among Muslims.

Class VI student Priyanshu, who met the officer along with other locals, told her that since the children were not being able to say ""As-Salaam-Alaikum"" they were beaten up. He also showed injury marks on his neck to the visiting official, Chief Development Officer Prerna Sharma said.

The student was sent for medical examination and the preliminary inquiry report has been handed over to Basic Shiksha Adikari (BSA) Rakesh Kumar.

""Principal Chand Mian has prima facie been found guilty of the charges and suspended...further inquiry is on,"" Kumar said.

Meanwhile, Chand Mian has rejected the allegations and said that he was being defamed as part of some conspiracy.

Mian has already been suspended and now police has lodged an FIR against him. Station House Officer of Tilhar, Ashok Pal, said on complaint of Priyanshu's mother Kamla, an FIR has been lodged.

A probe is going on in the matter, he said.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"8","1020578187","2018-12-17","https://www.hindustantimes.com/lucknow/up-school-principal-thrashes-students-for-not-wishing-him-as-salaam-alaikum-suspended/story-nczOGEBWNzBVIHzE2XFogN.html","UP school principal thrashes students for not wishing him 'As-Salaam-Alaikum', suspended","Hindustan Times",FALSE,"Class 6 student Priyanshu told senior officials that since the children were not being able to say ""As-Salaam-Alaikum"" they were beaten up.(Getty Images/Picture for representation)

The principal of a secondary school in Shahjahanpur, Uttar Pradesh, has been suspended for allegedly beating up students for not greeting him with ""As-Salaam-Alaikum"".

Principal secretary and nodal officer of the district, Dimple Verma, on a visit to Bilhari Secondary School in Tilhar area on Sunday was told that principal Chand Mian was demanding that he be greeted with ""As-Salaam-Alaikum"" and he would beat up those wishing him ""good morning"", an official said.

""As-Salaam-Alaikum"" is a greeting in Arabic which means ""Peace be upon you"". The greeting is a religious salutation among Muslims.

Class 6 student Priyanshu, who met the senior officer along with other locals, told her that since the children were not being able to say ""As-Salaam-Alaikum"" they were beaten up. He also showed injury marks on his neck to the visiting official, chief development officer Prerna Sharma said.

The student was sent for medical examination and the preliminary inquiry report has been handed over to Basic Shiksha Adikari (BSA) Rakesh Kumar. ""Principal Chand Mian has prima facie been found guilty of the charges and suspended... further inquiry is on,"" Kumar said.

Meanwhile, Chand Mian has rejected the allegations and said he was being defamed as part of some conspiracy."
"12","1020406339","2018-12-17","https://www.news18.com/news/india/up-school-principal-beats-up-students-for-not-wishing-him-as-salaam-alaikum-suspended-1975983.html","UP School Principal Beats Up Students for Not Wishing Him 'As-Salaam-Alaikum', Suspended","News18",FALSE,"Shahjahanpur: The principal of a secondary school here has been suspended for allegedly beating up students for not greeting him with ""As-Salaam-Alaikum"".

Principal secretary and nodal officer of the district, Dimple Verma on a visit to the Bilhari Secondary School in Tilhar area on Sunday was told that principal Chand Mian was demanding that he be greeted with ""As-Salaam-Alaikum"" and he would beat up those wishing him ""good morning"", an official said.

""As-Salaam-Alaikum"" is a greeting in Arabic which means ""Peace be upon you"". The greeting is a religious salutation among Muslims.

Class VI student Priyanshu, who met the senior officer along with other locals, told her that since the children were not being able to say ""As-Salaam-Alaikum"" they were beaten up. He also showed injury marks on his neck to the visiting official, Chief Development Officer Prerna Sharma said.

The student was sent for medical examination and the preliminary inquiry report has been handed over to Basic Shiksha Adikari (BSA) Rakesh Kumar.

""Principal Chand Mian has prima facie been found guilty of the charges and suspended...further inquiry is on,"" Kumar said.

Meanwhile, Chand Mian has rejected the allegations and said that he was being defamed as part of some conspiracy."
"13","1019717566","2018-12-16","https://www.hindustantimes.com/pune-news/five-booked-from-donje-village-in-pune-for-driving-local-school-principal-to-suicide/story-yPGxDLTe0Z6UcYzN7qUpKP.html","Five booked from Donje village in Pune for driving local school principal to suicide","Hindustan Times",FALSE,"Pune: The police have booked five persons from Donje village in Pune for allegedly driving the principal of a local private secondary school to commit suicide.

The deceased has been identified as Ashok Kavre, 49, a resident of Wadgaon Khurd area of Pune.

The five accused have been identified as Navnth Parne, Pooja Parne, Balasaheb Parne, Ruhi Kumbhar and Suvarna Chavan, according to assistant police inspector (API) Jyoti Gadkari of Sinhagad road police station who is investigating the case.

The school, run by private trust Agashe Education Society, is registered with the Maharashtra state board as Vidhyaniketan Madhyamil Vidyalaya (Vidhyaniketan secondary school) and located in Donje.

According to the complaint filed by the wife of the deceased, the accused allegedly abused the principal on the school campus on September 24 this year and the latter committed suicide by jumping into a nearby canal on September 26. All the accused are on a run. The deceased's wife suffered asthma attacks triggered by the shock caused from the incident and she decided to file a complaint on December 14. Police had initially recorded the case as an accidental death report at Sinhagad road police station.

Meanwhile, talking about the incident of a few students of the school being reprimanded by the principal in the past, police said none of the accused are related to any student of the school.

A case under Sections 306 (abetment to suicide) and 34 (common intention) of Indian Penal Code was registered against the five at Sinhagad road police station."
"14","1009832113","2018-12-04","https://timesofindia.indiatimes.com/city/chandigarh/school-principal-to-be-party-to-child-abuse-case/articleshow/66929754.cms","School principal to be party to child abuse case - Times of India","The Times of India",FALSE,"CHANDIGARH: The Punjab and Haryana high court has directed a lower court here to proceed against a local school principal who failed to act when a bus conductor's molesting a child in 2015 was reported to her.

The high court has held that even the school administrator's failing to address the issue immediately amounts to abetting a crime listed under the Protection of Children from Sexual Offences (Pocso) Act. Justice Fateh Deep Singh's verdict, which upholds the Chandigarh district court's decision of asking the

school administrator to come and face charges under the Pocso Act, is meant to deter all those school managements that sit on child-abuse complaints.

Even though the district court had not summoned the principal, the high court ordered the local court to summon her as well. The verdict says that the summoning orders of August 5, 2017 (issued by an additional sessions judge who is also judge of the special court) appear to have missed this material point. For the sake of justice, the high court deems it ""essential to exercise the powers under Section 482 of the CrPC (Code of Criminal Procedure) and direct the court where the matter is pending to ensure that even the principal, who had the knowledge of this incident..., is not let off.""

Dismissing the petition of the school administrator against his summoning to face prosecution, justice Singh observed that since the matter was brought to the notice of the school authorities, the administrator's duty was to ensure due redress, in matters concerning child abuse especially. The court observed: ""He (the school administrator) cannot hide behind the facade of lack of knowledge or information.""

So that matters like these are not brushed under the carpet and the purpose of the Pocso Act is met by all means, the high court has said that the district magistrate and the UT director of school education must fulfil their obligations under UN convention and Section 43 (public awareness of the law) of the Pocso Act."
