"","ID","date","url","title","source","duplicate","body"
"1","1029350279","2018-12-30","http://www.newindianexpress.com/states/odisha/2018/dec/30/teacher-suspended-for-assaulting-students-1918313.html","Teacher suspended for assaulting students","The New Indian Express",FALSE,"Jagatsinghpur: District Education Officer (DEO) Prativa Manjari Das on Saturday suspended Mathematics teacher of NAC High School, Paradip Sudhanshu Prasad Behera for caning students.

Behera has been accused of beating up students for not completing their homework or failing to give answers to his questions in the class. The teacher had caned a student Devaki Mandal 43 times as her roll number was 43.

The girl sustained injuries on her hands and legs. The teacher was so feared by the students that they skipped his class. After receiving complaints from parents regarding Behera's conduct, Das had directed the headmistress of Chatua High School Sukanti Behera to conduct a probe into the allegations. ENS"
"2","1014573667","2018-12-10","https://scroll.in/video/905025/watch-a-gurugram-teacher-was-suspended-for-allegedly-putting-tape-across-students-mouths","Watch: A Gurugram teacher was suspended for allegedly putting tape across students' mouths","Scroll.in",FALSE,"The teacher claimed that she took the extreme step after the four-year-old children were disrupting the class.

A teacher of a private school in Gurugram was suspended for allegedly putting adhesive tape across the mouths of two students to keep them from talking.

Closed circuit TV footage of the incident, which took place in October, surfaced recently on social media. According to reports, parents of two four-year-old students - one boy and one girl - filed a complaint. The school management acted on the complaint and suspended her.

The teacher, meanwhile, claimed that the children were disturbing the class and sometimes using crude language. Oddly, another adult who was present did nothing to stop it.

""On the complaint of students' parents, we had taken strict action and suspended the teacher,"" Gururaj, the principal, said."
"3","1013515252","2018-12-08","https://www.hindustantimes.com/gurgaon/gurugram-teacher-suspended-for-putting-sellotape-across-mouths-of-two-lkg-kids-to-keep-them-quite/story-oWVxxL092ojnlrSv3bQ7PM.html","Gurugram teacher suspended for putting sellotape across mouths of two LKG kids to keep them quite","Hindustan Times",FALSE,"A video of the incident, that took place in October, has surfaced on social media. In the video, the teacher is purportedly seen putting sellotape across the mouths of two four-year-old students -- one boy and one girl -- during a class.(Picture for representation)

A woman teacher of a private school in Gurugram was suspended for allegedly putting sellotape across the mouths of two LKG children to keep them quiet during a class, school authorities said on Saturday.

A video of the incident, that took place in October, has surfaced on social media. In the video, the teacher is purportedly seen putting sellotape across the mouths of two four-year-old students -- one boy and one girl -- during a class.

Based on a complaint of the parents of the two students, the school management immediately suspended the teacher. ""On complaint from the students' parents, we had taken strict action and suspended the teacher,"" Gururaj, the school principal said.

The woman teacher claimed that the students were disturbing the entire class and sometimes used filthy language."
"4","1000517124","2018-11-22","http://www.assamtribune.com/scripts/detailsnew.asp?id=nov2218%2Fat052","Delhi teacher suspended for taking head massage from students","Assam Tribune",FALSE,"Delhi teacher suspended for taking head massage from students

NEW DELHI, Nov 22: The East Delhi Municipal Corporation (EDMC) suspended a primary teacher after he was found received head massage from students.

In an order, the EDMC said such incidents are ""not acceptable and cannot be tolerated"".

""Ram Kumar, Assistant Teacher working in EDMC Primary school, Sadatpur-II...is hereby placed under suspension with immediate effect,"" the order reads.

In a video surfacing online, the teacher was seen sitting in the chair while the students were giving him head massage. - IANS"
"7","1000171356","2018-11-21","https://www.business-standard.com/article/news-ians/delhi-teacher-suspended-for-taking-head-massage-from-students-118112101415_1.html"," Delhi teacher suspended for taking head massage from students ","Business Standard",FALSE,"The East Delhi Municipal Corporation (EDMC) suspended a primary teacher after he was found received head massage from students.

In an order issued on Tuesday, the EDMC said such incidents are ""not acceptable and cannot be tolerated"".

""Ram Kumar, Assistant Teacher working in EDMC Primary school, Sadatpur-II...is hereby placed under suspension with immediate effect,"" the order reads.

In a video surfacing online, the teacher was seen sitting in the chair while the students were giving him head massage.

nks/nir

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"8","993450385","2018-11-13","https://www.business-standard.com/article/pti-stories/govt-school-teacher-suspended-in-rajsamand-118111301462_1.html","Govt school teacher suspended in Rajsamand","Business Standard",FALSE,"Shambhulal Regar, who lynched man on camera, may contest 2019 polls

A senior teacher was suspended and five other government employees were served show-cause notices on Tuesday for laxity in election related duty in Rajasthan's Rajsamand district, officials said.

District Election Officer Shyam Lal Gurjar in an order suspended senior teacher Mangugiri Goswami, who was posted at a government school in Ajitgarh, for not attending an election training program.

The officer also served show-cause notices to five others for delay in appearing for an election training program. The employees had reached the training session one hour late.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"9","992977910","2018-11-13","https://www.hindustantimes.com/mumbai-news/pune-student-s-face-disfigured-after-alleged-corporal-punishment-teacher-suspended/story-q5i3CGJBCEweFgeArRXPqN.html","Pune student's face disfigured after alleged corporal punishment, teacher suspended","Hindustan Times",FALSE,"The complaint involves physical assault on the student between October 15 and November 2, according to Shailendra Patil, father of the child.(Picture for representation)

The management of Shri Shivaji Preparatory Military School (SSPMS) in Pune has suspended a teacher, pending enquiry, following a complaint of severe corporal punishment by parents of a Class 6 student.

The complaint involves physical assault on the student between October 15 and November 2, according to Shailendra Patil, father of the child.

Patil says, ""We had gone to pick up our son on November 5 for Diwali and were shocked to see his face swollen. He told us his drawing teacher hit him after his homework was found incomplete, he was extremely shaken and was scared to complain.""

SS Patil, principal of the school, said, ""We received the complaint on Monday. As per procedure, we have suspended the teacher. Although parents claim that the teacher has been committing such actions for a long time against many students, the matter still needs to be investigated thoroughly. We are setting up a committee to probe the matter.""

The father also said that a visit to the doctor revealed the possibility of bell's palsy in his son as the face has begun to disfigure.""His elder brother, who is studying in the same school in Class 8, revealed to us that the teacher has a history of corporal punishment. We decided to come to Pune to escalate the matter and get a better treatment for our son,"" Patil said, adding that the family did not believe a police complaint was necessary at this stage.

The parents also said that despite several requests, the school has not provided CCTV footage of the classroom where the alleged incident may have taken place."
"11","987525648","2018-11-06","https://www.business-standard.com/article/pti-stories/fazilka-govt-school-principal-teacher-suspended-in-girls-stripping-incident-118110600367_1.html","Fazilka govt school principal, teacher suspended in girls stripping incident","Business Standard",FALSE,"Awareness on sanitary napkins still low in rural areas: India's real Pad Man (IANS Interview) (May 28 is Menstrual Hygiene Day)

The principal and a teacher of a government girls school in Punjab's Fazilka district have been suspended for allegedly stripping some students to check who was wearing a sanitary pad, after a soiled one was found in the school toilet, an official spokesperson said Tuesday.

The orders were issued on Monday night after Punjab Chief Minister Amarinder Singh received an inquiry report, which found the incident to be a case of ""gross negligence, indifference and insensitivity"" on the part of the teachers of the school, he said.

School headmaster Kuldeep Kaur and teacher Jyoti have been suspended on the directives of the chief minister, the spokesperson said.

A charge sheet will also be issued under Rule 8 of the Conduct Rules against Kaur and Jyoti, who have been placed under suspension, he said.

The incident, which came to light last week, was brought to the chief minister's notice after a video showed students crying and complaining that they had been stripped by the teachers in the school premises. The teachers were reportedly trying to find out who was wearing a sanitary pad, after a soiled one was found in the school toilet.

The chief minister has issued strict instructions to show no laxity in the matter as the respect and dignity of the students could not be allowed to be compromised at any cost.

Singh has reiterated his government's commitment to providing a favourable environment for education and empowerment of girls.

The chief minister had on Friday ordered a probe into the allegations of stripping made by some of the students and their parents. The chief minister had also directed Secretary Education Krishan Kumar to complete the investigation by Monday and take further action if necessary.

The inquiry report said the students were checked twice on the directions and with full knowledge of the school principal and the teacher.

The girls were checked with their clothes on the first time and then the two women got them checked again by senior girl students of class 8 with their clothes taken off, as per the SDM Abohar, at whose office the statements of Kuldeep and Jyoti were recorded on Monday.

During the first checking, which was undertaken in the mid-day meal kitchen, Kaur was standing outside during the process, the inquiry committee members, District Education Officer Fazilka Kulwant Singh, Station House Officer Sadar Abohar Angrej Singh and District Child Protection Officer Fazilka Ritu, have stated in their report, the spokesperson said.

The committee unanimously agreed to the ""indifference and insensitivity"" towards women's physical dignity expressed by the school staff.

The report further said that though there may not have been any intent of physical/sexual assault, the teachers, at the outset, were found to be ""negligent and careless""."
"12","987516235","2018-11-06","https://www.indiatoday.in/india/story/fazilka-school-head-teacher-suspended-over-stripping-incident-chargesheet-to-follow-1383384-2018-11-06","Fazilka school head and teacher suspended over stripping incident, chargesheet to follow ","India Today",FALSE,"The incident was brought to the notice of Captain Amarinder Singh after a video showed girl students crying and complaining that they had been stripped by the teachers in the school premises.

The head and a teacher of the Government Girls School, Village Kundal, Fazilka, have been suspended on the directives of Punjab Chief Minister Captain Amarinder Singh, over the alleged stripping of girls following the discovery of a sanitary pad in the school toilet.

The orders were issued late on Monday night after he received the inquiry report, which found the incident to be a case of gross negligence, indifference and insensitivity on the part of the teachers of the school.

The Chief Minister has issued strict instructions to show no laxity in the matter as the respect and dignity of the girl students could not be allowed to be compromised at any cost. He has reiterated his government's commitment to providing a favourable environment for the education and empowerment of girls.

The Chief Minister had on Friday ordered a probe into the allegations of stripping made by some of the students and their parents. The Chief Minister had also directed Secretary Education Krishan Kumar to complete the investigation by Monday and take further action as necessary.

The incident was brought to the notice of Captain Amarinder after a video showed girl students crying and complaining that they had been stripped by the teachers in the school premises. The teachers were reportedly trying to find out which of the girls was wearing a sanitary pad, after one was found in the school toilet.

The inquiry report said the students were checked twice on the directions, and with the full knowledge of, the school head Kuldeep Kaur and teacher Jyoti. The girls were checked with their clothes on the first time, and then the two women got them checked again by senior girl students of Class VIII with their clothes taken off, as per the SDM Abohar, at whose office the statements of Kuldeep and Jyoti were recorded on Monday.

During the first checking, which was undertaken in the mid-day meal kitchen, Kuldeep Kaur was standing outside all through the process, the inquiry committee members, DEO Fazilka Kulwant Singh, SHO Sadar Abohar Angrej Singh and District Child Protection Officer Fazilka Ritu, have stated in their report.

The committee unanimously agreed to the indifference and insensitivity towards women's physical dignity expressed by the school staff. The report further said that though there may not have been any intent of physical/sexual assault, the teachers, at the outset, were found to be negligent and careless.

A chargesheet will be issued under Rule 8 of the Conduct Rules against the Kuldeep and Joyti, who have already been placed under suspension, according to the Fazilka.

Also read: Girls strip-searched in Punjab school to check for sanitary pad"
"13","979437399","2018-10-26","https://www.thehindu.com/news/cities/Vijayawada/teacher-suspended-for-misbehaving-with-girls/article25339835.ece","Teacher suspended for misbehaving with girls","The Hindu",FALSE,"Krishna District Education Officer M.V. Rajya Lakshmi on Friday suspended a social sciences teacher on charges of indecent behaviour with girl students of an upper primary school. One of the victims had recently lodged a complaint against the teacher, bringing to the fore the issue of the indecent behaviour with the girls of various classes in the school under the Pamidimukkala police limits in Krishna district.

However, the revenue officials conducted a preliminary inquiry into the complaint and submitted a report to the education authorities. ""G. Suman Kumar, social science teacher, has been placed under suspension on charges of alleged misconduct with the girl students in the upper primary school based on a report submitted by the Tahsildar. He has been directed not to leave the headquarters until further orders,"" stated Ms. Rajya Lakshmi in her order issued on Friday. On the other hand, a departmental inquiry has also been ordered."
