"","ID","date","url","title","source","duplicate","body"
"1","981336937","2018-10-29","https://swarajyamag.com/insta/class-bunkers-beware-andra-pradesh-universities-to-soon-set-up-biometric-attendance-for-students-and-staff","Class Bunkers Beware: Andra Pradesh Universities To Soon Set Up Biometric Attendance For Students And Staff ","swarajyamag.com",FALSE,"Ganta Srinivas speaking to the media.(@GantaSrinivasa/Twitter)

Ganta Srinivas Rao, Andhra Pradesh Human Resources Development Minister, has mandated all the universities' Vice Chancellors to arrange meetings every three months to address the academic and administrative issues pending with them, as reported by Hans India.

Rao demanded that the officials fill all vacancies speedily to compete with private universities. Most importantly he directed that the biometric system should be introduced to monitor student and staff attendance regularly. He also said that placement cells in all universities will be opened soon.

Biometric attendance was only being followed by those colleges affiliated to JNTU-H, and not by colleges affiliated to Osmania University and Kakatiya University said the Telangana Engineering College Management Association.

Mr Sharan Raichur, President of Telangana Joint Action Committee, alleged that the attendance system was deliberately not being implemented by colleges so that they could collect attendance fees later on. He also conceded that the students were not interested in the classes because of the faulty faculty as reported by Deccan Chronicle.

Association president Mr Goutham Rao reiterated that there should be a uniform policy and all universities should implement the biometric system."
"2","1029194956","2018-12-30","https://timesofindia.indiatimes.com/city/ahmedabad/gsrtc-buses-to-be-given-priority-for-school-picnic-deo/articleshow/67305439.cms","GSRTC buses to be given priority for school picnic: DEO - Times of India","The Times of India",FALSE,"AHMEDABAD: According to a new set of guidelines issued by district education officer (DEO) of Ahmedabad, buses owned by Gujarat State Road Transport Corporation (GSRTC) must be given priority for holding school picnics over privately managed luxury buses. The decision has been taken in the wake of the two recent accidents in Dang and Godhra.

The new guidelines also mandate schools to take permission of DEO for organizing school picnics through a written application.

Schools are required to submit a list of students and faculty members who are going on the trip, with their name, number and other details. School authorities also need to inform the nearest police station about the school picnic and a designated official will compulsorily accompany the bus. The new guidelines also mandate schools to take permission of DEO for organizing school picnics through a written application to dangerous and risky places have been barred by the DEO. A woman teacher must compulsorily go on the educational tour to accompany female students. The new guidelines require one teacher for every 20 students going on a school picnic.

Moreover, keeping a first aid kit in the bus is mandatory. After completion of the tour, a compliance report must be submitted to the DEO within a week."
"3","1029135261","2018-12-30","https://indianexpress.com/article/cities/ahmedabad/ahmedabad-for-students-trips-schools-told-to-take-permission-of-deo-consent-of-parents-5515486/","Ahmedabad: For students' trips, schools told to take permission of DEO, consent of parents","The Indian Express",FALSE,"All schools also have to seek permission for the trip from the DEO office and consent letters from parents of the students.

IN THE wake of a series of accidents of vehicles carrying students on education trips and excursions, the District Education Officer (DEO) of Ahmedabad has issued a circular to all private and granted schools in the city to submit beforehand details of all the students and teachers going on a trip.

Also, the names of the students and teachers who are not a part of the trip should be included, the circular, issued on the directions of the state education department, stated.

While preference should be to government transport facilities, there should not a single additional person (student or teacher) than the RTO approved number in the vehicle, it added. ""If the number increases then all teachers of the school will be accountable for it,"" it stated.

All schools also have to seek permission for the trip from the DEO office and consent letters from parents of the students. While no travel can be done during night in any condition, students should not to be taken to any ""dangerous location in any condition"", it stated. Schools have been also asked to form a committee to decide on selection of places to visit, route, schedule and estimated expenses. For every 10 students, there should be one teacher, the directive added."
"4","1026921495","2018-12-26","https://www.business-standard.com/article/news-ani/deo-admits-resentment-among-cong-leaders-post-govt-formation-in-chhattisgarh-118122600787_1.html","Deo admits resentment among Cong leaders post-govt formation in Chhattisgarh","Business Standard",FALSE,"There is resentment among the party leaders after the formation of government in Chhattisgarh, senior Congress leader and Cabinet Minister T S Singh Deo said on Wednesday.

""The party leaders who could not a find a place for themselves in the ministry were bound to get disgruntled. We also need to understand that we can have only 13 ministers and need to give proper representation to all communities and region in the government,"" he said.

Deo also said that there was still one ministerial vacancy in the state government led by Chief Minister Bhupesh Baghel. ""Dialogues are going on with the party leaders who have still not found a place for themselves in the ministry,"" he added.

Deo further said that there are lots of other responsibilities, which other leaders will have to take care for which they do not need to be ministers. ""It is not necessary to be a minister to take care of responsibilities,"" he said, hinting to the fact that some of the disgruntled leaders could be pacified by making them chairmen of different boards and corporations.

Talking about regional disparity, the minister further said: ""There are six ministers from Durg and only one each from Bastar and Raipur.""

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"6","1026909945","2018-12-26","https://www.aninews.in/news/deo-admits-resentment-among-cong-leaders-post-govt-formation-in-chhattisgarh201812262043400001/","Deo admits resentment among Cong leaders post-govt formation in Chhattisgarh","http://aninews.in",FALSE,"Raipur (Chhattisgarh) [India], Dec 26 (ANI): There is resentment among the party leaders after the formation of government in Chhattisgarh, senior Congress leader and Cabinet Minister T S Singh Deo said on Wednesday.

""The party leaders who could not a find a place for themselves in the ministry were bound to get disgruntled. We also need to understand that we can have only 13 ministers and need to give proper representation to all communities and region in the government,"" he said.

Deo also said that there was still one ministerial vacancy in the state government led by Chief Minister Bhupesh Baghel. ""Dialogues are going on with the party leaders who have still not found a place for themselves in the ministry,"" he added.

Deo further said that there are lots of other responsibilities, which other leaders will have to take care for which they do not need to be ministers. ""It is not necessary to be a minister to take care of responsibilities,"" he said, hinting to the fact that some of the disgruntled leaders could be pacified by making them chairmen of different boards and corporations.

Talking about regional disparity, the minister further said: ""There are six ministers from Durg and only one each from Bastar and Raipur.""

Baghel was sworn-in as Chhattisgarh chief minister on December 17 along with Deo and Tamradhwaj Sahu, while he expanded his ministry on December 25.

Baghel is Chhattisgarh's third chief minister and the Congress party's second chief minister in the state. In the recently held Assembly polls, Congress had won 68 seats in 90-member state legislative assembly. (ANI)"
"7","1026402182","2018-12-25","https://www.dnaindia.com/india/report-shankaracharya-adhokshjanand-deo-tirth-asks-bjp-to-clear-stand-over-caste-remarks-made-on-lord-hanuman-2700398","Shankaracharya Adhokshjanand Deo Tirth asks BJP to clear stand over caste remarks made on Lord Hanuman","Daily News and Analysis (DNA) India",FALSE,"Swami Adhokshjanand Deo Tirth Tuesday said Uttar Pradesh Chief Minister Yogi Adityanath and other leaders have vitiated the atmosphere in the country by linking Lord Hanuman to various castes and communities.

He demanded that Prime Minister Narendra Modi and other top leaders of the BJP should clear the party's stand and bar party functionaries from disrespectful remarks about gods and goddesses.

The seer's reaction came after Uttar Pradesh Religious Affair Minister Laxmi Narayan Chaudhary dubbed Lord Hanuman as a Jat, saying like Jats, the deity never tolerated injustice towards anybody, anywhere.

The minister made the remark Friday after a BJP MLC from the state, Bukkal Nawab, dubbed Lord Hanuman a Muslim on the ground that his name rhymed with Islamic names like Rahman, Arman, Qurban etc.

During an election rally in Rajasthan, Adityanath had termed the deity a Dalit.

""On one side the BJP, from time to time, has been bringing up the Ram temple issue and on the other, its leaders are making absurd remarks on Hindu gods and goddesses, hurting religious sentiments,"" Shankaracharya Adhokshajanand Deo Tirth said here.

""The Ram temple in Ayodhya will be incomplete without Lord Hanuman as Ram had himself praised Hanumanji calling him like his brother Bharat,"" he said.If the remark made by Nawab has the BJP high-command's approval, ""then the party will have to get a mosque constructed for Lord Hanuman"", the seer said.

The chief minister had hurt religious sentiments by terming Lord Hanuman a Dalit, even as his office later issued a clarification, claiming that Adityanath was misquoted, the shankaracharya said.

""Adityanath and other leaders' remarks on Hanuman have vitiated the atmosphere in the country,"" the seer said.

Lord Hanuman has been termed a Jat, Thakur, a sportsman and even a Muslim, even though gods and goddesses are above caste and religion, he stated.

Uttar Pradesh Sports Minister and former cricketer Chetan Chauhan had said on Sunday that Hanuman was a sportsperson.

However, he had dismissed his party colleagues' attempts at identifying the deity's caste and said gods don't have castes.

The seer asked the BJP to clear its stand on the remarks and claimed no clarification was issued by the party on the statements on Lord Hanuman.

""The silence by BJP higher ups and RSS functionaries (on the remarks on Lord Hanuman) indicates that for the BJP, the Ram temple is a tool to garner votes,"" he said, adding that the temple in Ayodhya will be constructed by seers and dharmacharyas.

At a meeting held in Vrindavan, the coordinator of the Mathura Nagar Nigam Tara Chandra Goshwami also condemned the remarks of BJP leaders on Hindu gods and goddesses."
"8","1026378627","2018-12-25","http://zeenews.india.com/india/clear-stand-over-caste-remarks-made-on-lord-hanuman-shankaracharya-adhokshjanand-deo-tirth-sks-bjp-2165915.html","Clear stand over caste remarks made on Lord Hanuman: Shankaracharya Adhokshjanand Deo Tirth sks BJP","Zee News",FALSE,"MATHURA: Apparently upset with political leaders linking Lord Hanuman to various castes and communities, Shankaracharya Swami Adhokshjanand Deo Tirth on Tuesday asked the leaders of the ruling BJP to clear stand on the issue.

The revered seer said that by making disrespectful remarks on the deity, Uttar Pradesh Chief Minister Yogi Adityanath and other leaders have vitiated the atmosphere in the country and hurt the religious sentiments of majority Hindus.

He demanded that Prime Minister Narendra Modi and other top leaders of the BJP should clear the party's stand and bar party functionaries from making such distasteful remarks about Hindu gods and goddesses.

The seer's reaction came days after Uttar Pradesh Religious Affair Minister Laxmi Narayan Chaudhary dubbed Lord Hanuman as a 'Jat', saying like Jats, the deity never tolerated injustice towards anybody, anywhere.

The minister made the remark on Friday after a BJP MLC from the state, Bukkal Nawab, dubbed Lord Hanuman as a 'Muslim' on the ground that his name rhymed with Islamic names like Rahman, Arman, Qurban etc.

During an election rally in Rajasthan, UP CM Adityanath had called the deity a 'Dalit'.

""On one side the BJP, from time to time, has been bringing up the Ram temple issue and on the other, its leaders are making absurd remarks on Hindu gods and goddesses, hurting religious sentiments,"" Shankaracharya Adhokshajanand Deo Tirth said.

""The Ram temple in Ayodhya will be incomplete without Lord Hanuman as Ram had himself praised Hanuman Ji calling him like his brother Bharat,"" he said.

If the remark made by Nawab has the BJP high-command's approval, ""then the party will have to get a mosque constructed for Lord Hanuman"", the seer said.

The Chief Minister had hurt religious sentiments by terming Lord Hanuman a Dalit, even as his office later issued a clarification, claiming that Adityanath was misquoted, the Shankaracharya said.

""Adityanath and other leaders' remarks on Hanuman have vitiated the atmosphere in the country,"" the seer said.

Lord Hanuman has been termed a Jat, Thakur, a sportsman and even a Muslim, even though gods and goddesses are above caste and religion, he stated.

Interestingly, Uttar Pradesh Sports Minister and former cricketer Chetan Chauhan had said on Sunday that Hanuman was a sportsperson.

However, he had dismissed his party colleagues' attempts at identifying the deity's caste and said gods don't have castes.

The seer asked the BJP to clear its stand on the remarks and claimed no clarification was issued by the party on the statements on Lord Hanuman.

""The silence by BJP top brass and RSS functionaries (on the remarks on Lord Hanuman) indicates that for the BJP, the Ram temple is a tool to garner votes,"" he said, adding that the temple in Ayodhya will be constructed by seers and dharmacharyas."
"9","1023258182","2018-12-20","https://www.abplive.in/videos/did-senior-congress-leader-ts-singh-deo-touche-rahul-gandhis-feet-election-viral-881264","Did senior Congress leader TS Singh Deo touche Rahul Gandhi's feet?| Election Viral | ABP News Videos","ABP Live",FALSE,"A viral photo on social media claims that senior Congress leader TS Singh Deo fell at the feet of Congress President Rahul Gandhi soon after taking oath as a cabinet minister in the newly-formed Congress government in Chhattisgarh.

ABP News team tried to find out the authenticity of this viral picture. Well, the claim is false on two points."
"10","1022714537","2018-12-20","https://www.indiatoday.in/fact-check/story/fact-check-did-senior-congress-leader-ts-singh-deo-touch-rahul-gandhi-feet-1413347-2018-12-20","Fact Check: Did senior Congress leader TS Singh Deo touch Rahul Gandhi's feet?","India Today",FALSE,"Sycophancy is quite common in Indian politics. This time Congress president Rahul Gandhi is being targeted on social media for a viral photo which shows TS Singh Deo, a cabinet minister in the newly formed Congress government in Chhattisgarh. In the viral photo, Deo, who is much older to Gandhi, is seen bowing to touch his feet.

A Facebook page, 'India against Presstitudes', posted this photograph with a message: ""48-year-old senior blessing his 80-year-old junior. My friend Pappu ji is kind"".

Thousands of people shared this post and hundreds commented on it, attacking Rahul and the Congress culture. Many people even doubted if the picture was photoshopped.

India Today's Fact Check team found that the photograph is real. Chhattisgarh minister TS Singh Deo did indeed bow in front of Rahul.

Other Facebook pages like 'Social Tamasha', 'I support Modi Ji and BJP' also carried this picture with various captions hitting out at the Congress president.

In the photograph, one can see a grey-haired man bowing in front of Rahul. Former Prime Minister Manmohan Singh is also standing beside Rahul with a bouquet in hand on the red carpet. Senior Congress leader RPN Singh can also be seen in the crowd.

India Today TV spoke to TS Singh Deo to check the claims made on social media regarding the photograph. He confirmed that this is the venue of the swearing-in ceremony on December 17 and he was present there when Rahul Gandhi arrived. However he did not try to touch Rahul's feet and only shook hands. According to him, the photo is morphed.

But at the same time, Deo himself admitted that he has a habit of taking the blessings of senior party leaders by touching their feet on special occasions irrespective of their age.

""On that day too, I touched feet of the guests sitting on the dais after the oath taking,"" said Singh Deo. ""Just after my taking oath as a minister, I even tried to touch Rahul Gandhi's feet on the dais but he stopped me from doing it,"" he added.

Singh Deo indeed touched the feet of the guests on the dais and Rahul Gandhi stopped him; this can be seen in this video.

We could not find any supporting video which would have clearly established the sequence of events captured in the viral photo. But we could also not find any evidence to support the claim of Deo that the picture is morphed.

Moreover, when we pressed upon Deo to describe clearly what had happened at that moment, he gave self-contradictory statements. He even talked about picking up a napkin lying on the floor. But no such napkin is visible in the photo.

Looking closely at the photo, we observed that the shadows were aligned perfectly with the characters, hinting that the image is real.

Rajasthan Patrika, a local newspaper, also carried this viral photo claiming that the minister was actually trying to pick up a thread hanging loosely on the floor from the bouquet in Manmohan Singh's hands. But it can be seen that the thread hanging from the bouquet is nowhere close to the floor. Moreover, Singh Deo is bowing in front of Rahul Gandhi and not Manmohan Singh who is standing few steps away.

We also spoke to Congress leader RPN Singh, who was also present with Rahul. He confirmed that Singh Deo tried to touch Rahul's feet at the entrance but the Congress chief stopped him midway.

ALSO READ | Fact Check: No, PM Modi didn't claim 1,250 crore houses were built by his government

ALSO READ | Fact Check: No, Rahul Gandhi has not retracted from the promise of loan waiver

ALSO WATCH | Is Prime Ministerial dream over for Rahul Gandhi?

INDIA TODAY FACT CHECK ClaimSenior Chhattisgarh Congress leader TS Singh Deo bowed to touch Rahul Gandhi's feet.ConclusionThe viral picture is not morphed, but the versions surrounding it are confusing. JHOOTH BOLE KAUVA KAATE

The number of crows determines the intensity of the lie.

1 Crow: Half True2 Crows: Mostly lies3 Crows: Absolutely false INDIA TODAY FACT CHECK ClaimSenior Chhattisgarh Congress leader TS Singh Deo bowed to touch Rahul Gandhi's feet.ConclusionThe viral picture is not morphed, but the versions surrounding it are confusing. JHOOTH BOLE KAUVA KAATE

The number of crows determines the intensity of the lie.

1 Crow: Half True2 Crows: Mostly lies3 Crows: Absolutely false If you have a story that looks suspicious, please share with us at factcheck@intoday.com or send us a message on the WhatsApp number 73 7000 7000"
"11","1022389115","2018-12-19","https://www.thequint.com/news/webqoof/ts-singh-deo-falls-at-rahul-gandhi-feet-fake-news","Did Senior Cong Leader TS Singh Deo Fall at Rahul Gandhi's Feet? ","thequint.com",FALSE,"CLAIM

A viral photo on social media claims that senior Congress leader TS Singh Deo fell at the feet of Congress President Rahul Gandhi soon after taking oath as a cabinet minister in the newly-formed Congress government in Chhattisgarh.

In the picture, Singh Deo is seen bending near Gandhi's feet as Manmohan Singh and other leaders look on.

The photo has gone viral on several Facebook pages related to the BJP and PM Narendra Modi, with the message ""48 साल का युवा 78 साल के बुजुर्ग को आशीर्वाद देते हुए""

The photo was also shared by several other pages like Post Card Fans, My Prime Minister Modi, Social Tamasha and I Support Modi Ji and BJP.

TRUE OR FALSE?

Well, the claim is false on two points. Firstly, he is not 78 years old, as claimed in the message accompanying the photo. Born in 1952, Singh Deo is currently 67 years old, as recorded in the affidavit filed by him for the state Assembly elections.

Secondly, while the photo certainly seems as though the senior leader was falling at the Congress scion's feet, it apparently was not so.

A senior journalist based out of Raipur, who incidentally was at the oath-talking ceremony, confirmed to The Quint that Singh Deo had not bent down to touch Gandhi's feet. In fact, the story is quite different.

""I was there when this particular incident happened, Singh Deo had bent down not to touch Gandhi's feet, but to pick up a piece of thread that had fallen off the bouquet that Manmohan Singh was carrying. He definitely did not fall at Gandhi's feet.""Senior journalist to The Quint

Rajasthan Patrika, too, carried the viral photo with a small caption explaining the incident.

The daily had also zoomed into the photo to show the piece of thread that had fallen near Gandhi's feet.

BHUPESH BAGHEL SWORN IN AS CM

The new cabinet in Chhattisgarh was sworn in on Monday, 17 December, with Bhupesh Bagehl taking the mantle as chief minister. Senior leaders Tamradhwaj Sahu and TS Singh Deo were sworn in as ministers.

The party has not appointed any deputy chief minister for the state.

The Congress won a two-thirds majority in Chhattisgarh, bagging 68 seats. The Bharatiya Janata Party (BJP) came second with only 15 seats, and Mayawati-Ajit Jogi's JCC+ alliance managed to win in 7 constituencies.

(Not convinced of a story you came across on social media and want it verified? Send us the details at WebQoof@TheQuint.com and we'll fact-check it for you. You can also read all our fact-checked stories here.)

(The Quint is now on WhatsApp. To receive handpicked stories on topics you care about, subscribe to our WhatsApp services. Just go to TheQuint.com/WhatsApp and hit the Subscribe button.)"
