"","ID","date","url","title","source","duplicate","body"
"1","1029752118","2018-12-31","https://swarajyamag.com/insta/new-curriculum-for-new-tripura-cabinet-gives-nod-to-ncert-books-in-all-state-run-and-aided-schools","New Curriculum For New Tripura: Cabinet Gives Nod To NCERT Books In All State Run And Aided Schools","swarajyamag.com",FALSE,"Biplab Kumar Deb-headed Tripura Cabinet has reportedly given its nod to introduce the National Council of Educational Research and Training (NCERT) syllabus in all state-run and aided schools from the next academic session, beginning April 2019, reports India Today.

The process to introduce the NCERT syllabus to replace the State Council of Educational Research and Training (SCERT) syllabus is under operation by the Department of Education.

Education Minister Ratan Lal Nath was quoted as saying by India Today. ""The change in curriculum will take the state's education system to the national level,"" said Nath. He has also informed that almost 2 lakh new NCERT books were procured by the department.

The BJP-Indigenous People's Front of Tripura (IPFT) government had set up an expert committee for reviewing school syllabus after coming into power. The panel had recommended the adoption of the National Council of Educational Research and Training (NCERT) curriculum in schools run by the state.

Nath said that the government has decided to bring an ordinance to constitute a state-level higher education board in accordance with the directives of the Ministry of Human Resource Development.

""The MHRD may curtail outlay under the Rashtriya Uchchatar Shiksha Abhiyan (RUSA) if the board is not put in place,"" he said."
"2","1025378315","2018-12-23","https://indianexpress.com/article/cities/mumbai/bmc-says-no-to-renting-out-shut-civic-school-premises-to-private-aided-schools-5506634/","Mumbai: BMC says no to renting out shut civic school premises to private aided schools","The Indian Express",FALSE,"About 14 private-aided Marathi language schools had requested the municipal corporation to give the premises on rent, as their own buildings were in a dilapidated state.

Citing a Bombay High Court order, Brihanmumbai Municipal Corporation (BMC) refused to provide buildings of shutdown municipal schools to private-aided schools for holding classes.

About 14 private-aided Marathi language schools had requested the municipal corporation to give the premises on rent, as their own buildings were in a dilapidated state.

In the last five years, more than 100 BMC schools have been shut down owing to dwindling student numbers.

""We got applications from 14 such aided schools, seeking municipal schools' premises on rent. Their own buildings are in ruins. However, there is a Bombay High Court order barring to rent out any municipal school building. Hence, we have refused their plea,"" said a senior official in the Education Department.

Advertising

He added, ""Earlier, BMC had given some of the schools' rooms to non-government organisations and political organisations for educational purposes. But they started using them as offices and for non- educational activities. Due to these irregularities, somebody filed a petition in court. The court ordered the civic body to remove all such offices and keep the schools only for educational purposes.""

""The request from aided schools is genuine. Students in these schools are risking their lives. I will bring this proposal in group leaders meeting and come up with a solution,"" said Education Committee Chairman Mangesh Satamkar.

The civic body data showed that there are over 1,300 BMC schools across the city."
"3","1023097722","2018-12-20","https://www.thehindu.com/news/cities/Kochi/green-contest-awards-for-govt-aided-schools/article25789970.ece","Green contest awards for govt, aided schools","The Hindu",FALSE,"Minister for Education C. Ravindranath will hand over the PM Foundation's Prof. K.A. Jaleel Memorial Green Contest Awards to three schools, at a function to be held at Le Meridien here on December 23.

Government and aided schools won the awards this year, with KHM Higher Secondary School, Valakulam, Malappuram, walking away with the first prize which carries a cash award of ₹3 lakh and a plaque. K.V. UP School, Kallara, Thiruvananthapuram, that got the second prize will get ₹2 lakh and a plaque, while Udinur Higher Secondary School, Kasaragod, that won the third prize will get ₹1 lakh and a plaque.

The criteria for the award were the extent of green cover on the campus, measures taken to conserve soil, air, and water and the organisation of agriculture and environment-protection programmes.

Ten among the 50 schools that had applied for the awards were shortlisted by an expert committee, following which ground-level inspections were conducted to choose the best three, said A.P.M. Mohammed Hanish, managing director, Kochi Metro Rail Limited, and chairman of the foundation founded by entrepreneur P. Mohamed Ali."
"4","1022645191","2018-12-20","https://timesofindia.indiatimes.com/city/nagpur/aided-schools-may-outsource-mdm-work-to-women-shgs/articleshow/67168742.cms","Aided schools may outsource MDM work to women SHGs - Times of India","The Times of India",FALSE,"Nagpur: A few private aided schools have started showing interest in giving out the midday meals (MDM) contract to women's self-help groups (SHG) so that logistical challenges can be taken care of by the outsourced vendor.

SHGs are already serving MDM to students at many schools run by the Nagpur Municipal Corporation (NMC). Though eager to outsource it to SHGs, schools do have apprehensions about accountability in the way the system will be run. TOI has learnt that the issue will be discussed in the principals' association meet in January.

A principal of an aided school told TOI on condition of anonymity that the idea of outsourcing was not a bad one considering the hassles schools have to deal with. ""We have to coordinate with the officials who deal with MDM and maintain records of each and every transaction plus students fed. One of the office staff is continuously engaged in this operation only, so one would feel that it's best to hand outsource this operation,"" the principal said.

TOI has been told many schools are being urged by MDM officials to select SHG as their vendors. The principal, added "" I hope the money and raw materials are properly accounted for. Pilferage can happen very easily with the school not being directly involved.""

The current set up for aided schools is such that schools get rice directly from the government. The rice sacks are delivered every month straight to the campus from Food Corporation of India (FCI) godowns, with no monetary exchange happening between schools and FCI. The quantity of rice sacks to be delivered is conveyed by the school to the education department, which then informs FCI about it. This is the only part of the purchasing process that is common for both urban and rural schools.

Vegetables, pulses and other cooking materials have to be purchased by urban schools which then get reimbursed within two or three months. In rural areas, schools have to simply pick up the ingredients from designated shops and the education department takes care of the payment.

Almost all rural schools have cultivated kitchen gardens and use fresh vegetables in their MDM. Apart from SHG, even NGO Akshay Patra is providing MDM to certain schools as pilot project."
"5","1007187637","2018-11-30","https://scroll.in/latest/904016/lieutenant-governor-refusing-to-approve-release-of-funds-for-aided-schools-claims-puducherry-cm","Lieutenant governor refusing to approve release of funds for aided schools, claims Puducherry CM","Scroll.in",FALSE,"V Narayanasamy said that Kiran Bedi's recommendation to scrap the funds in a phased manner has caused embarrassment to the government.

Puducherry Chief Minister V Narayanasamy on Thursday criticised Lieutenant Governor Kiran Bedi for declining to approve the release of funds for aided schools, saying she has no authority in such matters, The Hindu.

Narayanasamy said that his government had sent a file to Bedi seeking her approval to release funds to 35 aided schools in the Union Territory. Bedi, however, returned the file recommending that the government scrap the release of funds to the schools in a phased manner.

""Such a sudden stand on the part of the lieutenant governor causes embarrassment [to the government],"" Narayanasamy told reporters, according to PTI. ""The lieutenant governor has no authority to question the pattern of grants and also has no right to interfere and direct slashing of grants in a phased manner as done now,"" he said.

Narayanasamy said the government had framed guidelines to release grants to privately-managed aided schools and the rate of grants was fixed in 1957. He said that the funds enable such school managements to pay salaries of teachers and pension for retired staff.

The chief minister termed Bedi's move ""utterly unjustified"", adding that the directions to stop funds to such schools will affect around 27,000 students.

A total of Rs 44 crore had been approved for aided schools in the Budget tabled in the Assembly. This included Rs 2.92 crore as subsidy towards salaries to teachers and Rs 58 lakh as pension for retired staff.

Narayanasamy has often accused Bedi of overstepping her constitutional role in the Union Territory of Puducherry. In July, Narayanasamy said his government was struggling to carry out its routine administration because of hurdles caused by the Centre and the lieutenant governor.

On April 28, Bedi had issued an order that said distribution of free rice to villagers in the Union territory will be made ""conditional to the certification that the village is open defecation free and free of strewn garbage and plastics"". After it triggered criticism from Opposition parties and several people on social media, she suspended it."
"6","1006033191","2018-11-29","https://www.moneycontrol.com/news/india/maharashtra-govt-to-give-grants-to-unaided-partially-aided-schools-3232051.html","Maharashtra govt to give grants to unaided, partially-aided schools","MoneyControl",FALSE,"The decision is likely to benefit 30,000 teaching and non-teaching staff of such schools and put an additional burden of Rs 275 crore on the exchequer.

The Maharashtra government announced on Wednesday that financial grants will be given to unaided and partially-aided schools too, apart from aided institutions.

The decision is likely to benefit 30,000 teaching and non-teaching staff of such schools and put an additional burden of Rs 275 crore on the exchequer.

Education Minister Vinod Tawde made the announcement in the Legislative Council after Chief Minister Devendra Fadnavis held a meeting with legislators representing teachers and graduates constituencies at the Vidhan Bhavan.

""In the next two months, the administrative procedure will be completed and a budgetary provision will be made in coming Budget session,"" Tawde said.

According to the minister, the schools which will benefit are those which are unaided but eligible for grants, and those which are getting 20 percent grants at present.An official from the Education Department said that unaided-but-eligible schools will get 20 percent grants. Those getting 20 percent grants now will get additional 20 percent grants."
"8","1005697337","2018-11-28","https://www.latestly.com/agency-news/maha-govt-to-give-grants-to-unaided-partially-aided-schools-511734.html","Maha Govt to Give Grants to Unaided, Partially-aided Schools | LatestLY","Latestly",FALSE,"Mumbai, Nov 28 (PTI) The Maharashtra government announced Wednesday that financial grants will be given to unaided and partially-aided schools too, apart from aided institutions.

The decision is likely to benefit 30,000 teaching and non-teaching staff of such schools and put an additional burden of Rs 275 crore on the exchequer.

Education Minister Vinod Tawde made the announcement in the Legislative Council after Chief Minister Devendra Fadnavis held a meeting with legislators representing teachers and graduates constituencies at the Vidhan Bhavan.

""In the next two months, the administrative procedure will be completed and a budgetary provision will be made in coming Budget session,"" Tawde said.

According to the minister, the schools which will benefit are those which are unaided but eligible for grants, and those which are getting 20 per cent grants at present.

An official from the Education Department said that unaided-but-eligible schools will get 20 per cent grants. Those getting 20 per cent grants now will get additional 20 per cent grants."
"9","925998656","2018-08-16","http://www.freepressjournal.in/mumbai/employees-of-private-aided-schools-cannot-seek-gratuity-from-bmc-says-bombay-high-court/1336370","Employees of private-aided schools cannot seek gratuity from BMC, says Bombay High Court | Free Press Journal","Free Press Journal",FALSE,"Mumbai: The Bombay High Court recently held that the Brihanmumbai Municipal Corporation (BMC) has no direct control on the functioning of private-aided schools by merely performing certain duties and exercising powers over such schools in the city. The HC accordingly ruled that no employee of such schools can make any claims against the civic body for the payment of gratuity.

A single-judge bench of Justice Suresh Gupte said, ""Merely because the BMC performs certain duties and exercises certain powers under a regulatory framework of law vis-a-vis private primary aided schools and provides grant in aid to such schools, it cannot be said that it has ultimate control over the affairs of these schools.""

""The civic body does not qualify as an employer vis-a-vis any employee of such school including both teaching and non-teaching staff. No employee of such schools may have a claim against the BMC, under the Payment of Gratuity Act,"" Justice Gupte ruled. In other words, to have a successful claim against MCGM, the claimant teacher on the staff of a private primary aided school must show that the school, in which he or she was working, was under the ultimate control of MCGM over its affairs, the judge observed.

The bench further said that such an employee may have a claim only against the school, i.e. his or her employer and not the corporation. The significant ruling comes in response to an appeal filed by the BMC challenging the ex-parte orders of an Industrial Court asking the civic body to pay Rs 10 lakh to Vrunda Kulkarni, a retired teacher of a private primary aided school.

While quashing the orders of the Industrial court, Justice Gupte said, ""Though these orders are set aside in the present order, it will have to be clarified that Kulkarni will be entitled to make a claim for payment of gratuity against the school, who was in real term her employer."""
"10","918221505","2018-08-03","https://www.thehindu.com/news/cities/puducherry/teachers-staff-of-aided-schools-protest/article24589121.ece","Teachers, staff of aided schools protest","The Hindu",FALSE,"The Government Aided School Teachers and Employees Federation on Thursday staged a sit-in on the premises of the Directorate of School Education demanding immediate disbursal of salaries pending for five months.

Federation secretary A. Martin Kennedy said the teachers and employees of 32 aided schools, who were supposed to get their salaries on the last working day of every month, had not been paid till July.

The employees were badly in need of money to meet the educational expenses of their wards and had been forced to borrow from money lenders, he said.

Pensioners had been struggling to buy medicines. Although repeated representations had been made to the authorities concerned, they had failed to evoke any response, Mr. Kennedy added."
"11","917539284","2018-08-02","https://timesofindia.indiatimes.com/city/mumbai/maharashtra-likely-to-update-fees-of-aided-schools-junior-colleges/articleshow/65236809.cms","Maharashtra likely to update fees of aided schools, junior colleges - Times of India","The Times of India",FALSE,"MUMBAI: After almost 40 years, the education department is likely to review the fee structure of aided schools and junior colleges in the state. Following complaints from a Pune-based parents' organization, the education commissioner has written to the department recommending the structure be updated.

System Correction Movement (SYSCOM) had complained to the education department that aided schools and junior colleges were overcharging students on the pretext that their fee structure was outdated and they were unable to make ends meet. ""Many institutes, especially junior colleges, charge students very high fees in spite of being aided. Students have to pay between Rs 2,000 and Rs 10,000,"" said Vaishali Bafna, director, SYSCOM.

According to responses sought under the Right to Information Act by SYSCOM, the fee structure was last determined in 1978. While fees per annum for classes V to X in the Mumbai region are between Rs 75 and Rs 140, for junior college, they are in the range of Rs 150 and Rs 375.

Education commissioner Vishal Solanki told TOI, ""We understand that the fees haven't been revised in a long time. We felt the complaints from parents were genuine and hence, recommended to state officials to review the fee structure and take into account inflation as well."" He has recently written a letter in this reagrd to the joint secretary of the education department.

SYSCOM has proposed that the fees could be set at Rs 600 per annum for students in the arts and commerce stream and Rs 900 for science students. ""There needs to be uniformity in the fees. Once the government revises the fees, junior colleges will not be able to overcharge,"" said Bafna.

School and junior college authorities in the city are on the same page as well. ""Fees certainly need to be reviewed every five years at least,"" said the viceprincipal of a junior college.

Uday Nare, a teacher at Hansraj Morarji Public School in Andheri, said, ""If the government decides on a fee structure that makes it viable for schools to function, along with the grants from the state, there will be no reason why schools will need to ask students to pay more."""
