"","ID","date","url","title","source","duplicate","body"
"1","1025310612","2018-12-23","https://www.thehindu.com/news/cities/chennai/children-forced-to-skip-school/article25815548.ece","'Children forced to skip school'","The Hindu",FALSE,"A study on seasonal migrant palmyra workers' families in Ramanathapuram district in the State has exposed deplorable conditions such as child labour and denial of school education to 69% of children.

According to the study, children in the age group of 3-6 travel a distance of 3-5 km to avail ICDS services.

The distance to ICDS for 13% children is more than 20 km and for 17% children the distance is 6-10 km.

""The poor and marginalised palmyra labourers are landless. They migrate to palmgroves with the children. Of the 396 migrant settlements covered in the study, 88% of the families migrated with children,"" said A.R. Muniyasamy, president of State Palmyrah Workers and Handicrafts Society.

The labourers are forced to sell the produce to particular merchants who lend money in advance.

The government has not been able to provide water supply, PDS services, public health services, neighbourhood schools and public transport facilities in migrant settlements. Almost half the year, the families spend their lives in palmyra groves without access to any basic services.

""It is extremely unacceptable that a generation of children continue to live and work in inhuman conditions,"" said Mr. Muniyasamy.

""There are various national and international laws and policies recognising the rights of children, but those are meaningless in the lives of palmyra tapping families,"" said Mr. Muniyasamy.

Participants at the meeting stressed on the need for initiatives on bridge schools in the palmyra groves during the migrant season to prevent children from dropping out of school."
"2","1024014973","2018-12-21","https://www.business-standard.com/article/pti-stories/3-children-rescued-from-forced-labour-in-j-k-s-udhampur-118122101049_1.html","3 children rescued from forced labour in J-K's Udhampur","Business Standard",FALSE,"Medical camp for specially-abled children organised in J-K's Udhampur

Three minors could have been forced into child labour in Jammu and Kashmir's Udhampur district but were rescued, thanks to authorities who came to their aid in the nick of time, officials said Friday.

The district rescue team constituted under the Child Labour Act conducted a spot inspection of Birma Pull and adjoining areas, they said.

During the inspection, the team rescued a minor child from Chopra Shop area and two other children from Birma Pull area of the district, they added.

The rescued children were then produced before the Child Welfare Committee (CWC) for further rehabilitation process, they said.

Action has been initiated by the labour department against the accused, they added.

The rescue team has been constituted by the district development commissioner and comprises officials from various departments.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"3","1021911549","2018-12-19","https://swarajyamag.com/insta/ground-reality-of-delhi-children-forced-to-sit-on-floors-in-sdmc-schools-due-to-lack-of-funds","'Ground' Reality Of Delhi: Children Forced To Sit On Floors In SDMC Schools Due To Lack Of Funds","swarajyamag.com",FALSE,"In a South Delhi Municipal Corporation (SDMC) House meeting held on Monday (17 December), details about the precarious state of government schools came to light, reports Indian Express.

According to the report, none of the schools had female security guards, many students are yet to receive stationery money. Only 62 schools, of total 344, have CCTV cameras installed in them.

In almost 14 schools, more than 5,000 students are forced to sit on floors, as there are no desks and benches, and around 44 schools do not have Jal Board's water connections.

As per the report, a press statement released by SDMC in June stated that within four months, 4,348 CCTV cameras will be installed in 344 primary schools.

AAP councilor from Sitapur, Praveen Kumar Praveen Kumar, raised questions about the predicament of the schools in the meeting and accused the ruling BJP of making tall promises but failing to execute them.

Nandini Sharma, the South Corporation Education committee chairperson, said, ""The files have been moved. Tenders are being invited, and work orders will be issued. We are expecting to get things moving by February.""

She cited lack of funding as the reason for the woes of school and said, ""We received Rs 46 crore instead of Rs 89 crore in funds. We are giving Rs 500 instead of Rs 1,100 to students as a subsidy for uniforms""."
"4","1008044604","2018-12-01","https://bobrtimes.com/agent-seleznev-was-transferred-to-the-reserves-and-forced-to-keep-fit-in-the-garden-with-children/155062/","Agent: Seleznev was transferred to the reserves and forced to keep fit in the garden with children","bobrtimes.com",FALSE,"The Ukrainian striker is not allowed to train with the Foundation ""Akhtar""

An agent of the Ukrainian striker Turkish ""Akhsar Beled"" Eugene Seleznev, Ivan Pirozhenko, commented on the situation with the lack of playing time in his client.

""The situation with the current situation in Eugene ""Akhtar"" very unpleasant. Club behaves unprofessionally towards the player, but Eugene helped the team for the first time in history, to win trophies, qualify for European cups.

The situation worsened in the summer, when the team left the coach Okan Buruk. It just did not renew the agreement. Came the Bosnian coach, which lasted three months. And then, a team led by a real teacher. For two months he their intrigues destroyed ""Akhtar"".

Seleznev was transferred to a double, it is not allowed to base the first team, forcing them to keep fit in the garden with children. No one we face is not explained. We are ready to make a decision and go with a raised head. You need to be able to part nicely.

We with a pure heart say: ""Thank you ""Akhtar"". You and your incredible fans will remain forever in our hearts. And we go our separate ways,"" said biscuit.

33-year-old Ukrainian in the current season played 11 matches in the ""Akhara"", in which he scored four goals and made four assists."
"5","1006019857","2018-11-29","https://www.abplive.in/videos/why-are-children-forced-to-go-to-tuition-ghanti-bajao-785441","Why are children forced to go to tuition? | Ghanti Bajao | ABP News Videos","ABP Live",FALSE,"Children are going to tuition or coaching centres after school hours. In India six children out of ten go to tuition after school in order to score more marks or because their parents have no time to teach them. But why do students need to have coaching after schools? Are the teachers not worthy enough? Watch the complete report to know more and make correct decisions about your children"
"6","963924953","2018-10-08","https://article.wn.com/view/2018/10/08/The_6000_kick_in_the_teeth_Parents_forced_to_pay_out_for_chi/","The £6_000 kick in the teeth: Parents forced to pay out for children's braces the ...","article.wn.com",FALSE,"Subscribe to join the Camily! If you enjoyed this video don\'t to forget to give it a like! Click the bell to join the notification gang! Shop Our Merch! https://camandfam.com/shop-merch/ Follow Our Other Social Medias! My Instagram: https://www.instagram.com/camandfam/ Landon\'s Instagram: https://www.instagram.com/landon_clifford/ Collette\'s Instagram: https://www.instagram.com/collette_briar_clifford/ My Twitter: https://twitter.com/camandfam1 My Snapchat: Camleeii My YouNow: https://www.younow.com/CamAndFam/channel Landon\'s Twitch: http://Twitch.tv/clifford2001 Contact Me! (Business Inquiries Only) Email: camrynt6@gmail.com Send us mail! Camryn Turner 11275 US Hwy 98W. Ste. 6-104 Miramar Beach, FL 32550 Background music by Tanner Nichols: https://soundcloud.com/grimwavi FAQ: Q: What is your baby\'s name? A: Collette Briar Clifford Q: How old are you? A: 17 Q: How old is Collette\'s dad? A: 17 Q: How do you make videos? A: I edit with camtasia and record on a cannon T3i..."
"7","957332198","2018-09-29","https://timesofindia.indiatimes.com/city/kolkata/children-of-schoolbus-attackers-forced-to-stay-away-from-school/articleshow/66001405.cms","Children of schoolbus attackers forced to stay away from school - Times of India","The Times of India",FALSE,"KOLKATA: Children from families of BJP workers, arrested for targeting a school bus carrying kids on bandh day, have themselves not been able to go to school for the past two days and are now living in constant fear of their names being struck off their school registers.

Five BJP supporters -- Krishna Sardar, Shyam Babu Roy, Sanjay Goldar, Gopal Mahato and Rana Saha -- were arrested on Thursday for targeting a school bus, belonging to DPS Megacity, near B T College in the city's northeastern suburbs on Wednesday. The BJP workers, according to police, were ""trying to enforce the bandh"".

Now, in a turn of events that no one had foreseen, children from these families find themselves in a sticky situation for no fault of their own. No one has been able to attend school for a variety of reasons and all of them are now worried that they may not be able to return to school at all.

""My mother has been making the rounds of the court and the police station since my father's arrest and I have been staying at home. Some of my friends have told me that my name may be struck off the school register as my father has been arrested in a criminal case,"" the son of one of the five arrested BJP supporters, a student of Class IV in a local school, said.

'How could my son target schoolchildren?'

The situation is the same at the home of a 19-year-old youth, who was the first to be arrested. ""My mother and grandmother spent Thursday at court and spent most of Friday at the police station to see my uncle. So there is no one to take me to school,"" the Class-II student told TOI, playing in the courtyard of a ghetto in Ganganagar.

All five arrested stay in the same neighbourhood, which is known as a ""BJPsupporting neighbourhood"". Many young supporters of the party fled their home on Thursday, fearing arrest, as news of the police action spread.

My uncle is the head of the family,"" a Class XII student, niece of one of the arrested, said on Friday. ""We are now looking after the household while our parents are trying to get my uncle out of jail. I don't know whether we will be able to resume school any time soon,"" the elder of the two sisters said while cooking on the verandah of their home.

But all the families said the attack on aschool bus was ""reprehensible and shameful"". ""I support the BJP,"" Krishna Sardar's mom, Anima Sardar, said. ""But the BJP bandh was to protest against the death of two students. How could my son and other BJP supporters target schoolkids? It is shameful and they should have never done so,"" she said. Others in the neighbourhood, too, criticised the attack but said the attack was by ""outsiders"".

""We are questioning four of the five, who are in police custody,"" a senior Bidhannagar Commissionerate officer said."
"8","948381945","2018-09-17","http://www.apnlive.com/world-news/yemen-children-face-death-malnutrition-forced-eat-wax-leaves-49554","Yemen; Children Face Death, Malnutrition, forced to eat wax leaves - APN Live","APNLive",FALSE,"Amidst ongoing Saudi-led aggression on Yemen, a photo of a father from Sa'ada province sitting next to the dead bodies of his two children, killed in the air raids became viral through social media platforms. The heart rendering scene showing helpless father who probably become immune to the daily killings around him has raised a great public interaction.

Meantime, Associated Press reports of the immense hunger among the Yemeni civilians. Many Yemeni families have nothing to eat but leaves as a humanitarian crisis reaches a critical stage.

Journalists of the agency visited Aslam district situated in Yemen's north-western Hajjah province where they witnessed the worsening hunger. Families with starving children have nothing to eat but the leaves of local vine, known as Halas in Arabic or Arabian Waz Leaf in English, boiled into a sour and made acidic green paste.

The agency reports that the main health centre was flooded with dozens of emaciated children. It said, ""Excruciatingly thin toddlers, eyes bulging, sat in a plastic washtub used in a make-shift scale as nurses weighed each one. Their papery skin was stretched tight over pencil-like limbs and knobby knees. Nurses measured their forearms, just a few centimetres in diameter, marking the worst stages of malnutrition"".

Read More: Houthi warns: US and Saudi Arabia will regret in Yemen

Aslam district recorded one of Hajjah's highest jumps in the number of malnourished children, from 384 cases being treated in January- an additional 1,319 more came in over the next six months.

Adding to the woes for the victims of Saudi-led coalition, Aslam's main health centre has no paediatricians, electricity, oxygen cylinders and fuel for generators.

Saleh al-Faqih, a worker in a mobile Health Ministry clinic has told that ""Aslam is just another picture of Somalia.""

A malnourished mother in al-Mashrada village, having a seven-month old girl in her lap said, ""Since the day she was born, I have not had the money to buy her milk or buy her medicine."" The mother feeds her whole family with Halas mush.

In January this year, London based The Guardian reported that war in Yemen has killed or injured more than 5000mchildren and left another four lakh severely malnourished and fighting for their lives.

UNICEF report unveiled that nearly 2 million Yemeni children were out of school, a quarter of them since the conflict escalated with Saudi-led coalition intervention in March 2015.

Read More: Saudi Arabia hits MSF Cholera center in Yemen

The Saudi Arabia led coalition launched a brutal war, known as ""Operation Decisive Storm"" against Yemen in March 2015. The move was aimed to reinstall ousted pro-Saudi former president Abd Rabbuh Mansur Hadi and crush the Ansarullah movement of Houthis, branded as pro-Iranian group.

The offensive initially consisted of a bombing campaign, but was later coupled with a naval blockade and the deployment of ground forces in the country. The blockade has halted humanitarian deliveries of food and medicine."
"12","935183446","2018-08-30","http://www.timesnownews.com/mirror-now/in-focus/article/ludhiana-phullanwal-chaibasa-jharkhand-30-children-missing-paksin-mary-cross-child-shelter-home-musa-religious-conversion-human-trafficking/277212","Ludhiana Shelter Home: 30 children still missing, owner arrested on charges of forced religious conversion","timesnownews.com",FALSE,"Ludhiana: Appalling developments have come to light since a team of the Jharkhand police raided an illegal children's home in Punjab's Ludhiana city yesterday. The raid was prompted by complaints the Child Welfare Committee (CWC) in Chaibasa received from parents in Jharkhand who suspected their children of being trafficked.

A preliminary investigation into the matter revealed that the Paksin Mary Cross Child Shelter Home in Phullanwal was operating without it being registered under the Juvenile Justice Act. This led law enforcement agencies to arrest the shelter home's owner, 58-year-old Satyendra Prakash Musa. Police have also seized records from the home that is in its twelfth running year.

Musa is currently being interrogated for information about 30 children who were reportedly inmates at the shelter home but were not found by police at the time of the raids. Records accessed by the police suggest that 38 children sourced from Bihar and Jharkhand were living at the shelter home in question when it was raided on August 20. However, only eight were rescued from the shelter home before it was raided and the rescued inmates shifted to another care home in Doraha.

The child trafficking cell of Jharkhand police has arrested Musa on charges of illegal human trafficking. He has also been charged with sections corresponding to forced illegal conversion after probing authorities suspected him of forcibly converting the children under his care to Christianity and giving them Christian names. The children were also being taught Christian texts at the home in Phullanwal, Sub-Inspector Banarasi Ram told The Indian Express.

A complaint against Musa has been registered at the Chaibasa Sadar police station under Section 42 of the Juvenile Justice Act, Section 5 of the Immoral Traffic Prevention Act, Section 4 of the Jharkhand Religious Freedom Act 2017 and Section 370 of the Indian Penal Code (IPC) that corresponds to charges of human trafficking.

During the course of the interrogation, the accused told officials that he had handed over the missing children to their parents in Bihar and Jharkhand. However, in the absence of any evidence to support his claim, police officials are racing against time to verify his statements."
"15","927763456","2018-08-19","http://www.newindianexpress.com/thesundaystandard/2018/aug/19/children-forced-to-cook-do-chores-1859543.html","Children forced to cook, do chores","The New Indian Express",FALSE,"NEW DELHI: The sight of girls engaged in daily chores is generally not an alarming one but similar scenes becoming commonplace in a shelter home are sure to set alarm bells ringing. To make matters worse, the Delhi Commission for Women (DCW) inspection team, led by chairperson Swati Maliwal, found that at one centre, a lone cook caters to the hunger pangs of the girls, who are often made to cook for themselves.

The case may be no different in the 13 NGOs in the city which maintain open shelter homes for children. Most of them complain of paucity of funds. Each home, which houses 25 children, has an annual budget of Rs 19,99,200 released by the WCD Ministry. An additional Rs 5 lakh is granted to the non-profit organisations once in five years for nonrecurring expenses, as per an RTI reply provided to the Centre for Holistic Development. However, Maliwal said that insufficient budget cannot be an excuse for the erratic running of the homes as most of them get donations from external sources.

""The budget which comes from the ministry is not sufficient to run an open shelter homes. Which qualified person would work for a mere Rs 8,000 per month as staff? It's impossible for an organisation to maintain homes solely depending on government funds. The funds are also released to us once an annual budget is invested completely,"" an NGO coordinator said.

In their annual budgets, child care institutions receive a monthly grant of Rs 2,000 per child. The staff salary is distributed per month is as following: Rs 17,500 for a project coordinator, Rs 14,000 for a social worker, Rs 9,000 each to both care givers, Rs 8,000 each to three outreach workers and Rs 6,000 each to a cleaner and cook. To meet any further expenses, the organisations rely on donations.

""The financial support is provided for 25 children utilising the services at night as well. During the day, there would be more children utilising services for intermittent periods. For children availing services only during the day, a monthly maintenance of Rs 1,000 per child is provided. Apart from above, the NGOs are encouraged to enrol support of volunteers and raise funds from other sources to run the open shelters,"" the RTI reply stated.

A social activist, however, hinted on the misuse of government funds by NGOs and urged the ministry to conduct a strict scrutiny of utilisation of funds.

Psychologists stress on the need for love and warmth for the holistic development of the children. ""It is essential that warmth, love and sense of belonging are provided to the children staying in shelter homes. If, for some reason, they are forced to engage in regular chores then a feeling of helplessness takes over them,"" said Aarti, a psychologist at Shri Ganga Ram Hospital."
