"","ID","date","url","title","source","duplicate","body"
"1","1027402787","2018-12-27","https://www.ibtimes.co.in/andhra-pradesh-viral-video-shows-class-3-students-stripped-naked-by-teacher-coming-late-school-788812","Andhra Pradesh: Viral video shows Class 3 students stripped naked by teacher for coming late to school","International Business Times, India Edition",FALSE,"The horrifying incident took place on Wednesday after the class 3 students of Chaitanya Bharati English Medium School at Punganur in Chittoor district came late to the class.

In yet another case of teacher's tyranny against students, a school in Andhra Pradesh is making headlines after a video revealed five students standing naked under the scorching Sun.

The horrifying incident took place on Wednesday after the class 3 students of Chaitanya Bharati English Medium School at Punganur in Chittoor district came late to the class.

The students were forced to strip naked by teacher Bhuvaneshwari as an act of punishment.

The angry parents have staged a protest along with Akhil Bharatiya Vidyarthi Parishad (ABVP) party workers and demanded the authorities to cancel the registration of the school for such abusive acts.

Child rights activists have also taken the case to the local authorities to take strict action against the school. A complaint has also been filed by Mandal Educational Officer (MEO) against the school management with Punganur police station.

The District Educational Officer (DEO) of Chittoor, Dr K Panduranga Swamy, told International Business Times, India: ""An investigation is underway and as the school management has violated the child rights, the registration of the school will be cancelled from the year 2019-2020.""

""The district collector has also been informed about the seriousness of the issue and stringent actions will be taken against the management and principal of the school, Nagaraju,"" he added.

This is not the first such incident in the state. In 2015, a teacher of a private school in Eluru in West Godavari district of Andhra Pradesh had thrashed a girl student of class 1 and made her sit on a stone, naked in the hot sun, as a punishment for not doing homework.

In the same year, another teacher from a government school in Bheemunipatnam Mandal, Vishakapatanam, asked two students to remove their shirt and stand under the sun for three hours, as a punishment for not doing the homework."
"2","1024993838","2018-12-23","https://www.hindustantimes.com/cities/teacher-beats-up-class-1-girl-uproots-her-hair-for-failing-to-answer-a-question/story-idF4HaZyWQjLN5SN6CVLuJ.html","Teacher beats up class 1 girl, uproots her hair for failing to answer a question","Hindustan Times",FALSE,"A teacher of a private school on Lucknow's outskirts has been accused of beating up a Class 1 girl and pulling out a bunch of her hair when she could not answer a question written on the blackboard, police said on Saturday.

On the complaint of the girl's family, the police have registered a case and were further probing the matter, said VK Goswami, station officer of Mal police station.

The incident took place on Friday. The girl's mother Vineeta of Gopramau village alleged that her six-year-old daughter Annu who goes to a private school 'Novel Academy' was beaten up by teacher Vinod Kumar.

According to Vineeta, the teacher wrote something on blackboard and asked Annu to answer it.

When Annu could not answer the question, the teacher pulled her up with her hair and uprooted a bunch of it.

""When my daughter came home after the school got over, she narrated the whole incident. It was a harrowing incident. Today, the teacher targeted my child, tomorrow it could be anybody else,"" she said."
"3","1024185037","2018-12-21","https://www.thehindu.com/news/cities/Delhi/teacher-leaked-cbse-class-xii-paper-to-favour-student/article25803418.ece","Teacher leaked CBSE Class XII paper to favour student","The Hindu",FALSE,"Police file chargesheet against 10 persons; girl turns witness

In order to favour a girl student, an Una-based teacher allegedly leaked the CBSE Class XII economics paper in March this year, stated the chargesheet filed by the Delhi Police in the paper leak case, a senior police officer said on Friday.

Deputy Commissioner of Police (Crime) G. Ram Gopal Naik confirmed that a chargesheet was filed on December 20 in a city court. The police has filed a chargesheet of 482 pages against 10 persons in the paper leak case.

The chargesheet has cited 78 witnesses including the girl student, for whom her teacher leaked the paper and some students who had received the papers through WhatsApp, said another officer.

Recovered mobile phones, handwritten notes, question paper written by the girl student and other data retrieved from cell phones have been cited as evidence.

""The teacher, Rakesh Kumar, wanted to favour a girl student and with the connivance of bank officials, he got the economics paper and brought it to his residence. He called the girl home and she copied the paper. He then clicked pictures of the paper and circulated it. The girl is one of the witnesses in the case,"" said the officer. Since the teacher had access to the papers, he also leaked Class 10 mathematics paper in the same way to favour a relative in Ferozpur whose son was appearing for the exams.

Along with Mr. Kumar, branch manager of Union Bank of India Sheru Ram, head cashier of the same bank Om Prakash and a 40-year-old woman, who had circulated handwritten question papers of Class XII economics and Class X mathematics through WhatsApp from her mobile phone, were also arrested and have been named in the chargesheet as accused.

Two others -- Amit Sharma and Ashok Kumar -- who worked at the DAV School along with Mr. Kumar, have also been named in the chargesheet. In another development, the police had also busted another module being operated by two teachers of Mother Khazani Convent School in Bawana.

In the Bawana module, three men, including two teachers of the private school, were involved. The teachers -- Rishabh and Rohit -- had taken photographs of the economics paper and sent it to Tauqeer, who used to give private tuition. Tauqeer circulated the paper among his students about an hour before the examination commenced, the police had said, adding, he had received the paper via WhatsApp from Rishabh and Rohit.

The principal of Mother Khazani School, Praveen Kumar Jha, was arrested in July and his name also figures in the chargesheet, the officer said. The economics paper leak was exposed after an envelope containing four images of a handwritten copy of the question paper was delivered to the CBSE headquarters in Delhi on the evening of March 26, the day of the exam.

On March 30, the Central Board of Secondary Education announced it would reconduct the Class 12 economics exam across the country on April 25. Besides the Class XII economics paper, the mathematics paper of Class X had also surfaced online before the scheduled examination.

The police had registered two cases in connection with the paper leak. The first case related to the leak of economics paper was registered on March 27, while the other pertaining to the leak of mathematics paper was filed on March 28."
"4","1020093937","2018-12-17","https://timesofindia.indiatimes.com/city/lucknow/man-posing-as-maths-teacher-harasses-class-x-student-on-facebook/articleshow/67121149.cms","Man posing as Maths teacher harasses class X student on Facebook - Times of India","The Times of India",FALSE,"LUCKNOW:Over the past two days, there have been three complaints of harassment of girls over social media.

According to data from the cybercell, the number of such cases has risen to 230 in 2018, registering an increase of 80% over 2017.

On Sunday, a man complained to the cyber cell that his daughter, a class X student, was being bullied by an unidentified person on social networking site Facebook for a week.

The offender had posed as a mathematics teacher and after some conversation, had started sending her vulgar posts. He also tried to engage her in similar conversation.

""When my daughter blocked him, he started harassing her through Facebook messenger. He bullied my daughter for blocking him and threatened her that he would morph her pictures and make them viral. Hence, we approached the police,"" said the complainant.

Two other cases were reported from Hassanganj and PGI police stations on Saturday. In the first, a miscreant impersonated the profile of a girl and started uploading sleazy posts. The victim lodged a case at PGI police station and also informed the cyber cell. In Hassanganj, the parents of a schoolgirl lodged a complaint against their neighbour for sending her lewd messages continuously.

Inspector at cyber cell Zubair Ahmad said an inquiry has been initiated in all three cases.

""We wait for Facebook to provide to us IP details from the US and then start our operations,"" added Ahmad.

He said offenders think that bullying girls in cyberspace would not lead to any risk and police would not be able to know their whereabouts."
"5","1015347962","2018-12-11","https://www.dnaindia.com/ahmedabad/report-ahmedabad-teacher-thrashes-class-x-student-thrice-parents-stage-protest-outside-school-2694482","Ahmedabad: Teacher thrashes Class X student thrice, parents stage protest outside school","Daily News and Analysis (DNA) India",FALSE,"Parents protesting outside school Parents protesting outside school

A Class 10 student was thrashed thrice with a stick by his teacher at Mehta Thakkar School in Sabarmati on Saturday. A complaint was lodged with Sabarmati police on Monday. The victim has sustained a fracture in his right hand.

The parents and the relatives of the victim staged a protest outside the school on Monday, seeking suspension of the teacher.

The accused, Digvijay Solanki, beat up the 15-year-old boy because he was allegedly disturbing his friends during Social Studies class. The boy's parents were called in after he was taken to a hospital. Sabarmati police were called for help after the protesters entered the school campus.

""We are trying to find out why the teacher beat the boy. The 15-year-old was beaten thrice with a stick and suffered a fracture. We are yet to arrest the accused,"" said RS Vala, In-charge Inspector of Sabarmati police station. Alleging that the school was trying to shield the teacher, the parents have said that the school has not acted on their complaint.

Alleging that the school was trying to shield the teacher, the parents have said that the school has not acted on their complaint."
"6","1014558180","2018-12-10","https://timesofindia.indiatimes.com/city/bengaluru/new-teacher-edu-course-open-to-class-12-graduates/articleshow/67016872.cms","New teacher education course open to class 12 graduates - Times of India","The Times of India",FALSE,"BENGALURU: Aspiring teachers can take a concrete step towards realising their dreams after class 12 as the new Integrated Teacher Education Programme (ITEP) will come into effect from next year.

According to the National Council for Teacher Education (NCTE), candidates scoring 50% and above in secondary or an equivalent exam can seek admission to ITEP, generally described as a four-year BEd course. ITEP proposes awarding the aspiring teachers Bachelor of Arts or BSc degrees based on the subject of their choice at the end of the programme.

Unlike the current BEd, the programme will include two different courses: ITEP primary education and ITEP upper primary to secondary education. Currently, an undergraduate degree in any stream is the minimum eligibility criterion for BEd.

The new programme integrates general studies comprising mathematics and science and social sciences and humanities with professional studies which includes perspectives in education, other core education courses, curriculum and pedagogy of school subjects and practicals related to the tasks and functions of a school teacher.

It is expected to equip aspiring teachers with the requisite attitude, pedagogical skills and knowledge to address the challenges of becoming an effective school teacher, with the help of best practices in the field of teacher education, according to a related circular gazetted by the Centre last month.

NCTE, which is a statutory body of Government of India, and works on curriculum related to teacher education, kickstarted the application process for running ITEP from December 3. Higher education institutes offering UG and PG courses in the fields of liberal arts and humanities, social sciences and sciences can apply for permission to offer the course. Those who already have teacher education programmes are also eligible for seeking sanction, the notification said.

Institutions will be granted permission for the course for 2019-23 in the first phase; the last date for submitting applications is December 31, 2018. Call NCTE's helplines 011-23270176 or 23379186 for more information."
"7","1013624928","2018-12-08","https://www.timesnownews.com/mirror-now/society/article/haryana-gurugram-gurgaon-private-school-corporal-punishment-lkg-students-teacher-tape-mouth-shut-viral-video/328090","Teacher punishes 4-year-olds for talking in class by taping their mouths shut ","timesnownews.com",FALSE,"Gurugram: A viral video showing a school teacher taping the mouths of two infants as punishment for talking in class is making waves on social media. The incident which took place in the month of October this year at a private school in Haryana's Gurugram city has shocked parents and children alike. According to reports surrounding the incident, the teacher was suspended by the school following a complaint by parents of the two LKG students.

In the CCTV footage, the teacher can be seen aggressively approaching the two four-year-olds before taping their mouths with what seems like cello tape. While the boy and the girl did not protest at the time, their parents caught wind of the incident on the same day and registered their displeasure with the school in the form of an official complaint. According to a report by Indian Express, the teacher was suspended almost immediately based on the complaint.

An official statement issued by the school principal, Gururaj, read that strict action was taken against the faculty member in question based on a complaint by the parents of the two lower kindergarten students. In her defense, the teacher claims that the students were disturbing the entire class with their conversation and were using 'filthy' language, a claim which is yet to be confirmed.

A somewhat similar case had come to light from a military school in Pune where a teacher was suspended after he allegedly used excessive force to reprimand a Class 6 student. Parents of the student told media personnel that he came back home from school with a swollen face on the day of the incident. Following a complaint by the guardians, an inquiry was ordered into the matter which led to the suspension of the teacher. However, reports also asserted that this was not the first time the teacher in question was accused of failing to spare the rod."
"10","1013534559","2018-12-08","https://www.dnaindia.com/india/report-gurgaon-teacher-tapes-mouths-of-2-primary-students-to-keep-them-quiet-during-a-class-2693556","Gurgaon: Teacher tapes mouths of 2 primary students to keep them quiet during a class","Daily News and Analysis (DNA) India",FALSE,"A woman teacher of a private school here was suspended for allegedly putting sellotape across the mouths of two LKG children to keep them quiet during a class, school authorities said Saturday.

A video of the incident, that took place in October, has been surfaced on social media.

In the video, the teacher is purportedly seen putting sellotape across the mouths of two four-year-old students -- one boy and one girl -- during a class.

Based on a complaint of the parents of the two students, the school management immediately suspended the teacher.

""On the complaint of students' parents, we had taken strict action and suspended the teacher,"" Gururaj, the school principal said.

The woman teacher claimed that the students were disturbing the entire class and they sometimes used filthy langauge."
"11","1013425313","2018-12-08","https://timesofindia.indiatimes.com/city/gurgaon/teacher-uses-tape-to-silence-lower-kindergarten-children-in-class/articleshow/66997678.cms","Teacher uses tape to silence lower kindergarten children in class - Times of India","The Times of India",FALSE,"GURGAON: A video clip showing a woman teacher purportedly putting sellotape across the mouths of two kids - both in lower kindergarten - to shut them up during a class went viral on Friday.

The 24-second footage, captured in a CCTV camera installed in a classroom at Narayana e-Techno School in Sector 37C, was watched by thousands of people after a ""former"" employee of the school posted it on his Facebook page in the morning. Around 800 students are enrolled in this private school, between nursery and Class IX. The school authorities claimed that the incident had happened around one-and-a-half months ago, and that they had suspended the teacher seen in the clip immediately after it.

Girish Pandey, who uploaded the video around 7am on Friday, said he was sitting in the school's security room where he watched the incident on one of the CCTV monitors. ""I was shocked to see a teacher pasting sellotape on the mouths of a boy and a girl, both 4 years old, apparently to silence them during a class. There were other students and another woman teacher, who were watching the whole episode in shocked silence.""

School principal Guru Raj said they had taken strict action against the teacher after parents complained about the incident in October. ""Some children come from rural background and use very filthy language. I'm not denying that she had not done it... she has been punished for that. The school handed her the suspension letter within two days,"" said the principal.

Raj said the school had also called parents and explained them everything - what had happened and what action had been taken.

Principal Raj blamed Pandey for deliberately triggering a controversy and maligning the school's image. ""The person, who posted this video on the social media, was our transport in-charge. But he has been absent from his duty since Diwali. We were planning to remove him. He has taken revenge for that,"" the principal claimed."
"12","1013352785","2018-12-08","https://timesofindia.indiatimes.com/city/gurgaon/teacher-uses-sellotape-to-silence-lkg-kids-in-class/articleshow/66994878.cms","Teacher uses sellotape to silence LKG kids in class - Times of India","The Times of India",FALSE,"GURUGRAM: A video clip showing a woman teacher purportedly putting sellotape across the mouths of two kids -- both in lower kindergarten -- to shut them up during a class went viral on Friday.

The 24-second footage, captured in a CCTV camera installed in a classroom at Narayana e-Techno School in Sector 37C, was watched by thousands of people after a ""former"" employee of the school posted it on his Facebook page in the morning. Around 800 students are enrolled in this private school, between nursery and Class IX.

The school authorities claimed that the incident had happened around one and a half months ago, and that they had suspended the teacher seen in the clip immediately after it.

Girish Pandey, who uploaded the video around 7am on Friday, said he was sitting in the school's security room where he watched the incident on one of the CCTV monitors. ""I was shocked to see a teacher pasting sellotape on the mouths of a boy and a girl, both 4 years old, apparently to silence them during a class. There were other students and another woman teacher, who were watching the whole episode in shocked silence.""

School principal Guru Raj said they had taken strict action against the teacher after parents complained about the incident in October. ""Some children come from rural background and use very filthy language. I'm not saying that she had not done it... she has been punished for that. The school handed her the suspension letter within two days,"" said the principal.

Raj said the school had also called parents and explained them everything -- what had happened and what action had been taken.

Surender Sharma, the parent of one of the two kindergarten students who were ""punished for talking in the class"", said, ""My kid is naughty, and the teacher had taken disciplinary action. She told me that she had put paper on the kids' mouths but there was no gum on it.""

Principal Raj blamed Pandey for deliberately triggering a controversy and maligning the school's image.

""The person, who posted this video on the social media, was our transport in-charge. But he has been absent from his duty since Diwali. We gave him two notices since then, and were planning to remove him and hire someone else in his place. He has taken revenge against the school for that,"" the principal claimed.

According to sources, Pandey was looking after six school buses. ""He was also given the responsibility of manning the security room on the campus. He used to monitor the CCTV cameras, and in case of any problem, he used to inform the principal. He had seen the incident (teacher putting sellotape) on the screen and apparently took out a copy.""

But Pandey said, ""I am still working with the school. But since my father is suffering from a tumour ailment, I'm currently in my home town."""
