"","ID","date","url","title","source","duplicate","body"
"1","1029150588","2018-12-30","https://www.dnaindia.com/ahmedabad/report-gujarat-schools-need-district-education-officer-s-nod-for-students-trip-2702021","Gujarat: Schools need District Education Officer's nod for students' trip","Daily News and Analysis (DNA) India",FALSE,"In the wake of two recent bus accidents in which 10 students were killed and several others injured, the state government has mandated schools to take permission from the District Education Officer (DEO) before planning any trip or a picnic. The state government on Friday framed rules to be followed by schools before any picnic or excursion. The new rule not only bans school picnic buses from plying between 11 pm and 6 am but now the schools will have to provide details of a number of boys and girls being taken for a trip, names of teachers accompanying, parents agreement letter, etc in an application to be submitted to the DEO.

The notification issued on Friday stated, ""It is important for students to be taken for educational purpose be it excursion, place visit, personal meeting, organisation visit, museum travel and picnic. But schools need to follow the rules framed by the state government.""

As per new rules, schools will have to form a panel or committee to discuss the desired destination/place, route, time-table, estimated time and cost. Apart from this, schools will also have to take an agreement letter from parents for the visit. It has also been mandated to have female teachers for female students as a guide. For every 20 students, one teacher should be assigned the duty.

To curb the menace of private tuitions run by teaching and non-teaching staff, the state government on Saturday issued a notification that prohibits such activities. The government has come down heavily on schools and have asked the schools to send a certificate (monthly) stating that no employee is running private tuitions. The notification stated: The department has received oral and written representation from student organisations complaining of teaching and non-teaching staff running private tuitions. If anyone is found breaking the rules, steps would be taken against the school."
"2","1028666084","2018-12-29","https://www.firstpost.com/india/jammu-and-kashmirs-chief-electoral-officer-meets-governor-satya-pal-malik-briefs-him-on-voter-education-initiatives-5808061.html","Jammu and Kashmir's chief electoral officer meets Governor Satya Pal Malik; briefs him on voter education initiatives - Firstpost","Firstpost",FALSE,"Jammu: Jammu and Kashmir's chief electoral officer (CEO) Shailendra Kumar met Governor Satya Pal Malik at the Raj Bhawan in Jammu on Friday.

File image of Jammu and Kashmir Governor Satya Pal Malik. PTI

Kumar briefed Malik about the various initiatives taken for educating voters to exercise their franchise by including them in systematic voters' education and electoral participation (SVEEP) activities, electoral literacy clubs, which are being set up in educational institutions in the state in a bid to encourage youth to exercise their franchise, an official spokesperson said.

The chief electoral officer also apprised the governor about the steps taken to educate the public about the use of EVM-VVPAT (voter-verifiable paper audit trail) and progress achieved till date in the special summary revision of electoral rolls, the spokesperson said.

The governor emphasised the importance of generating awareness of the electoral process and how every vote mattered. Expressing satisfaction on the recent conduct of the panchayat and the municipal polls, Malik hoped that people would participate with the same enthusiasm in every electoral exercise.

Updated Date: Dec 29, 2018 09:48 AM"
"3","1026907979","2018-12-26","http://risingkashmir.com/news/pulwama-chief-education-officer-removed-after-complaint-","Pulwama chief education officer removed after complaint ","RisingKashmir",FALSE,"The Pulwama district chief education officer (CEO) was removed from the post following a complaint that he was continuing his services in two different departments simultaneously, an official spokesman said Wednesday.

""The government ordered immediate attachment of CEO Pulwama Mushtaq Ahmad Salroo, pending inquiry,"" the spokesman said quoting an order issued by secretary, School Education, A K Sahu.

Soni Sanam, the principal in-charge of the District Institute of Education and Training (DIET), Pampore, would hold the additional charge as the CEO Pulwama, he said."
"4","1026849137","2018-12-26","https://www.business-standard.com/article/pti-stories/pulwama-chief-education-officer-removed-after-complaint-118122600672_1.html","Pulwama chief education officer removed after complaint","Business Standard",FALSE,"""The government ordered immediate attachment of CEO Pulwama Mushtaq Ahmad Salroo, pending inquiry,"" the spokesman said quoting an order issued by secretary, School Education, A K Sahu.

He said Salroo would remain attached with the directorate of school education.

Soni Sanam, the principal in-charge of the District Institute of Education and Training (DIET), Pampore, would hold the additional charge as the CEO Pulwama, he said.

""The action has been taken against Salroo following a complaint regarding continuing his services in two different departments simultaneously during leave period,"" the spokesman said, without elaborating further.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"5","1011859526","2018-12-06","https://www.freepressjournal.in/headlines/bulandshahr-violence-yogi-adityanath-meets-slain-officers-family-assures-education-aid/1410426","Bulandshahr violence: Yogi Adityanath meets slain officer's family, assures education aid","Free Press Journal",FALSE,"Lucknow: The family of slain Uttar Pradesh Police Inspector Subodh Kumar Singh, who was killed allegedly by cow vigilantes in Bulandshahr, met Chief Minister Yogi Adityanath here on Thursday and was promised all help for his sons to pursue their education.

Adityanath met Sunita, the officer's widow, and her two sons Shreya and Abhishek at his residence here. The elder son, Shreya, is studying MBA and Abhishek engineering. Assuring them all help, Adityanath said his government would not only take full responsibility of their education loans but would also give a government job to one of the family members.

Briefing the media after the meeting, Director General of Police O.P. Singh said Adityanath assured the family that they need not worry about the education of the two children as it was now the responsibility of the government.

The Chief Minister ""would be with them in their hour of tragedy and would always remain by them"", Singh told IANS.

The Inspector was hit by a stone and then shot dead in Monday's violence that erupted after cow vigilantes blocked the main road alleging cow slaughter. A civilian was also killed in the violence. But the prime accused in the mayhem - said to be Bajrang Dal's district coordinator Yogesh Raj - remains at large. The police have arrested four others named by Yogesh Raj in one of the two FIRs alleging cow slaughter.

Two high-level meetings regarding the Bulandshahr incident have taken place between the police brass and the Chief Minister. But there was ""no clarity on the line of action"" with regards to the arrests of men belonging to the VHP, Bajrang Dal and BJP named in another FIR, informed sources said.

Two press notes released by the Chief Minister's Office made no mention of the lawlessness blamed on the rightwing Hindu groups but spoke in detail about how strict action should be taken against people involved in slaughter of cows or running illegal abattoir.

""It is now proved beyond doubt that the police are deliberately not taking any action against the Bajrang Dal leader as they have connections with the BJP,"" Vaibhav Maheshwari, the state spokesman of the Aam Aadmi Party (AAP), told IANS."
"6","975858397","2018-10-22","https://www.thehindu.com/news/cities/mumbai/no-confidence-motion-against-education-officer/article25291260.ece","No-confidence motion against education officer","The Hindu",FALSE,"Mumbai: All political parties in the BMC will be moving a no-confidence motion against education officer (EO) Mahesh Palkar, alleging incompetency.

Mr. Palkar is a government employee on deputation in the civic body. He has been working as EO for the last two years and has taken strict action against teachers for lapses. Leaders of all parties have written to the Mayor in the matter, but the motion could not be tabled before the general assembly on Monday. It is likely to be tabled in November."
"7","965724541","2018-10-10","http://www.newindianexpress.com/states/andhra-pradesh/2018/oct/10/acb-unearths-rs-30-crore-in-raid-on-andhra-education-officer-1883494.html","ACB unearths Rs 30 crore in raid on Andhra education officer","The New Indian Express",FALSE,"KAKINADA: The ACB on Tuesday unearthed alleged disproportionate assets worth nearly Rs 30 crore as per market value in raids on an assistant director in the office of DEO. Though the registered value of the assets in possession of Myle Prabhakar Rao is Rs 1.62 crore, ACB officials said their market value would be Rs 30 crore. The raids on the residences of Prabhakar Rao, who is also in-charge Deputy Education Officer of Rajamahendravaram, were carried out after he was trapped by ACB officials while he was taking a bribe of Rs 10,000 on September 20.

The Anti Corruption Bureau (ACB) on Tuesday unearthed alleged disproportionate assets worth nearly Rs 30 crore as per market value in raids on an assistant director in the office of District Education Officer. Though the registered value of the assets in possession of Myle Prabhakar Rao is Rs 1.62 crore, ACB officials said their market value would be Rs 30 crore.

The raids on the residences of Prabhakar Rao, who is also in-charge Deputy Education Officer of Rajamahendravaram, were carried out after he was trapped by ACB officials while he was taking a bribe of Rs 10,000 on September 20 from a person who sought permission to pursue BEd with full pay. Rajahmahendravaram ACB DSP Sudakhar and his staff conducted the raids at Prabhakar Rao's house in Kakinada and Rajahmahendravaram and also at other places in Tanuku in West Godavari and Bengaluru.

According to an official release, Prabhakar Rao owns 400-sq yard and 200-sq house sites in Vizianagaram.

He purchased them in 2005 and 2003 respectively. Apart from these two plots, he purchased a 266.66-sq yard plot in Kurnool district in 2012, 1287-sq yard vacant site in Bengaluru in 2014, 470.88-sq yard site at Rajanagaram in 2014, 2400-sq yard plot in Bengaluru in 2015 and another vacant site of 171.41 sq yards at Orvakal in Kurnool and also a flat in Vizianagaram and a residential house at Rajamahendravaram.

Apart from this, the Anti Corruption Bureau officials also found three vacant sites at Vizianagaram and in Tamil Nadu in the name of Prabhakar's wife M Vijaya Kumari. Other assets include gold ornaments worth Rs 11 lakh, silver articles worth Rs 1.15 lakh, household articles worth Rs 3.13 lakh, cash of Rs 6.25 lakh, a bank balance of Rs 1.96 lakh and promissory notes worth Rs 6 lakh."
"8","965524314","2018-10-09","https://www.thehindu.com/news/national/andhra-pradesh/acb-searches-properties-of-trapped-dy-education-officer/article25173197.ece","ACB searches properties of trapped Dy. Education Officer","The Hindu",FALSE,"Officials of Anti-Corruption Bureau (ACB) conducted raids on the properties of Assistant Director-1, M. Prabhakara Rao, working in the office of District Education Office, Kakinada.

Mr. Rao is also the in-charge Deputy Education Officer of Rajamahendravaram. On September 20, this year, ACB officials trapped the officer while he was allegedly accepting ₹10,000 as bribe from a complainant for doing an official favour.

ACB Director General R.P. Thakur said, as part of investigation, the ACB teams conducted searches on the properties of the Dy. EO, at Salipeta in Kakinada, Rajamahendravaram and Tanuku and Bengaluru on Tuesday.

They found seven house sites, a flat and a residential house registered on the name of Prabhakara Rao. Besides, three sites and a shop, worth some lakhs of rupees, were registered on the name of his wife, M. Vijaya Kumari.

ACB police seized 500 gm of gold, 4 kg of silver, ₹6 lakh cash and pro-notes valued at ₹6 lakh from his house. The case is under investigation, Mr. Thakur added."
"14","952870561","2018-09-23","https://www.hindustantimes.com/india-news/uttar-pradesh-bjp-mla-misbehaves-with-education-officer-video-goes-viral/story-vfgeiMHxcKfxHg4xyW4x9M.html","Uttar Pradesh BJP MLA misbehaves with education officer, video goes viral","Hindustan Times",FALSE,"BJP MLA Surendra Singh and some of his party's leaders allegedly tried to misbehave with a district inspector of school (DIOS) at an official meeting here.

The incident, a video of which has gone viral, took place Saturday in presence of the district magistrate.

In the video, the MLA is purportedly seen getting agitated with DIOS Narendra Dev Pandey and moving towards him, and the education officer being allegedly pushed by a BJP leader.

The district magistrate, however, managed to control the situation.

District Magistrate Bhawar Singh Khargaut said the DIOS during the meeting said that he was not afraid of anyone due to which the MLA and others got agitated.

The MLA however, later, regretted for the incident."
"15","952660304","2018-09-22","https://www.hindustantimes.com/dehradun/education-officer-renovates-schools-in-the-hills-with-her-own-salary/story-FzNGuNDJw7qKQPbuMrZhBK.html","Education officer renovates schools in the hills with her own salary ","Hindustan Times",FALSE,"During inspection of a primary school in Tarikhet block of Almora district (please give time), Geetika Joshi, a deputy education officer, saw children shivering in the cold, as rainwater leaked from the rooftop of a classroom. It prompted her not just to repair the roof, but also renovate the entire school building with her own salary.

""School was in shabby condition and when I saw the children, I felt them like my own children. I immediately decided that I will get the roof repaired with my own salary. Later, I renovated the entire building with own money,"" said Joshi, who joined at the deputy education officer in the Tarikhet block in March, 2015.

Now, she is working on a mission to transform other schools in the district. ""After renovation of the school building, it came to my mind why I should not do the same work in other schools of the area, which are in dilapidated condition with the cooperation of teachers. I started motivating teachers and received overwhelming response from them. Initially, we collected Rs 2.5 lakh from teachers and started renovating school buildings, providing necessary infrastructure,"" she said.

""We provided sweaters to the children of poor families. Since we thought a child can't concentrate on the studies shivering in cold. Tarikhet is mountainous region and severe cold is witnessed there,"" she said.

Talking about her new mission, Joshi said: ""One day, Himanshu Khurana, an IAS officer presently posted as joint magistrate of Ranikhet, during a visit to one for transformed schools, asked us 'How long you can do this with your own effort?' and advised us to take cooperation from MLAs and businessmen for the public interest work.""

Under his guidance, 'Roopantaran' scheme was conceived and launched for the transformation of government schools and a bank account was opened in Ranikhet to seek monetary cooperation from people, Joshi said. ""With the money, we started to provide necessary infrastructure, uniform, teaching material and better quality of education,"" she added.

After the launch of the scheme, Joshi contacted Ranikhet MLA Karan Singh Mahra for his support and he sanctioned Rs 23 lakh from his MLA Fund for the noble cause. ""Several schools were not only renovated (with the money), but also provided smart class equipment,"" she said.

A few months ago former district magistrate Eva Ashish Srivastava also sanctioned ~12 lakh for Roopantaran. Impressed with the initiative, present district magistrate Nitin Bhadoriya is also supporting the cause.

Kamlesh Giri Goswami, the head mistress of Government Primary School at Garee, claimed, ""Our primary school, after transformation, is not less any private school in term of infrastructure and quality education. It has also instilled confidence in our children.""

Himanshu Khurana said, ""When I joined as joint magistrate in Ranikhet in October 2017, initiative was on small scale. I brought it into the notice of former district magistrate Eva Ashish Srivastva, she pushed it and sanctioned budget from untied fund.""

So far, 43 schools of Ranikhet and 14 schools of other areas in Almora district have been transformed. Joshi's efforts are increasing the strength of students in the schools."
