"","ID","date","url","title","source","duplicate","body"
"1","1030170287","2018-12-31","http://www.dailyexcelsior.com/introduce-moral-education-subject-in-every-school-from-primary-level-sham-sharma/","Introduce moral education subject in every school from primary level: Sham Sharma","Jammu Kashmir Latest News | Tourism | Breaking News J&K",FALSE,"Chander Bhaga High School celebrates Annual Day

Excelsior Sports Correspondent

JAMMU, Dec 31: Former Minister and Congress leader Sh Sham Lal Sharma said that schools should focus on moral values rather than mere education to the students.

The former Minister was speaking in the Annual Day function of Chander Bhaga High School, Akhnoor as a chief guest.

The function started with the lamp lighting by chief guest Sham Lal Sharma (Former Minister), guest of honour Gopal Singh (S.D.M Akhnoor), special guests Nazneen Akhtar (Z.E.O Akhnoor), Kuldeep Kumar Badyal (Principal GHSS), Dr. Swaran Singh Chib (District Youth Services and Sport Officer, Reasi), Sher Singh (Ex. Z.P.E.O Akhnoor) and from the Management of School, Raman Gupta and Aradhana Mahajan.

Sharma in his speech strongly advocated for change in the present educational set up and suggested to introduce moral education subject in every school from primary level. He said parents and teachers have also greater role to play in this direction and they must instil the moral ethics and rich ethos of Indian culture in the students so that they become good citizens and contribute for the welfare of the society and nation. He said on the eve of New Year ""we all should take a pledge to save the Girl Child and raise our voice against the crimes against the females and to contribute for a healthy and prosperous society"".

He asked teachers that while nurturing the students to achieve new highs in science, technology and modern studies, equal attention is paid to outdoor activities like sports, travel, etc which enables physical and mental development of the child."
"2","1030138826","2018-12-31","https://timesofindia.indiatimes.com/city/coimbatore/old-students-come-together-to-renovate-primary-school/articleshow/67330447.cms","Old students come together to renovate primary school - Times of India","The Times of India",FALSE,"Coimbatore: Alumni of the 135-year-old National Primary School on Telugu Street in the city found a befitting way to repay their alma mater for the New Year. They got together, cleaned and repainted the school, and also installed new green boards in the classrooms.

Speaking about the initiative, V Kamalesh, 24, who studied in the school from 1999 to 2003, said they had formed a volunteer forum called 'Young Heartz' through which they do philanthropic activities every New Year. ""This year, we decided to help our school. About 25 old students from various batches got together and started collecting funds for the cause,"" he said.

The alumni members shared their initiative on social media platforms, which helped them connect with more old classmates. Eventually, they were able to collect about Rs 70,000, said Kamalesh.

The youngsters started the work on December 23 and completed it on Monday, said M Gopinath, 24, another alumni member.

Their main motive, the youngsters said, was to improve the student enrolment. ""While we were students, the school, which had Classes I to V, had two sections in each class. Now there is only one section and the strength has come down. We want to improve the situation,"" said Kamalesh.

Headmistress C Rajam said the school now has 121 students in five classes. ""The numbers have fallen by 50 to 60 after 2001, as this is a Tamil medium school and people are after English medium schools. But our school has a trackrecord of inculcating values along with education,"" she said. ""In 2017, I was honoured with the Dr Radhakrishnan Award for the best teacher in recognition of the school's service to students.""

Alumni too vouch for the school's legacy. ""Most of the people from the area would have done their primary schooling here and now they are in several respectable positions,"" said Kamalesh.

The youngsters plan to buy new furniture for the school and will soon start collecting funds for it."
"5","1028080142","2018-12-28","https://www.business-standard.com/article/pti-stories/smartphones-to-help-primary-school-students-in-ganjam-district-118122800340_1.html","Smartphones to help primary school students in Ganjam district","Business Standard",FALSE,"An online teaching system with the help of smartphones for Odia medium schools in Ganjam district will be available soon, an official said.

It will be rolled out on an experimental basis for the primary students of classes 5 and 6 in the first phase, Ganjam District Collector, Vijay Amruta Kulange, said.

The online teaching through smartphones in Odia medium schools is Kulange's brainchild.

The district administration has started preparation to record some of the best classes taken by teachers in various subjects in primary sections, which will be available on YouTube and WhatsApp, the official said.

""If things move smoothly, the system will be available by the end of February 2019,"" Kulange said.

Since most of the students are cell phone savvy and mobile phones are available in almost all households, this method of online learning will help students in their home studies, Kulange said.

This would also help them to learn about the subjects taught in classrooms when they remain absent, he said.

""Not only the students of Ganjam, it will also be shared with students of other districts,"" he said.

The online education will be an additional input to the students besides classroom education, said district education officer (DEO), Ganjam Sanatan Panda.

In the first phase, the administration wants to rollout subjects such as science and mathematics. I

Some of the classroom teachings of several teachers have already been recorded. More such classes would also be recorded in the coming days in different subjects by the teachers, sources said.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"6","1027303094","2018-12-27","https://www.hindustantimes.com/education/english-medium-primary-school-students-in-up-don-t-want-to-switch-over-to-hindi-after-class-5/story-JvFSnKwuPIzdvdRvEfBniO.html","English medium primary school students in UP don't want to switch over to Hindi after Class 5 ","Hindustan Times",FALSE,"In 2015, the basic education department had converted a few primary schools of Uttar Pradesh into English medium institutions

Students enrolled in government-run English medium primary schools say they do not want to switch over to Hindi as a medium when they begin lessons in upper primary school after finishing Class 5. Their demand to convert some of the upper primary schools from Hindi to English medium is growing louder with every passing day.

Kajal Kumari, a student of English medium primary school Gejha in Gautam Buddh Nagar said, ""Switching back to Hindi will not be easy. I request the authorities to please do something so that we may continue to study in English after passing Class 5. It is through a lot of hard work that we developed a comfort level in studying in English. Now, if we go back to learning lessons in Hindi, it will undo whatever we learnt over the past few years.""

In 2015, the basic education department had converted a few primary schools of Uttar Pradesh into English medium institutions. The primary school Gejha in Gautam Buddh Nagar was also made English medium at this time. It has 434 students enrolled in it and most of them do not wish to switch over to a Hindi medium school.

Officials said that after seeing the craze for English-medium schools growing in the state, the BJP government decided to convert 5,000 primary schools to English-medium ones from the April 2018 session. At present, 4,97,108 students are studying in these government-run primary schools.

""In Lucknow alone, there are 44 such schools where more than 6,200 students are enrolled,"" said Amar Kant Singh, Basic Shiksha Adhikari, Lucknow.

Hariyali Srivastava, assistant teacher at primary school Gejha, said the problem was that most students coming to government-run primary schools hailed from humble backgrounds. ""Their parents can't afford to send them to private English medium schools in Class 6, as the fee is very high,"" she said.

Corroborating what the teacher said, Kajal added, ""I want to study only in a government-run English medium school because my father (an e-rickshaw driver) can't afford to pay the fees charged by private English medium schools.""

Zainab Khatoon, another Class 5 girl of the same school, said that she wanted the state government to intervene in the matter.

Making an appeal to senior officials in the basic education department, Srivastava said, ""The students have learnt all terminology in English. Now, they will have to study in Hindi medium upper primary schools, which will be very difficult for them. Our students are asking for help. They want schools to be made English medium till Class 10.""

Chhavi Agarwal, assistant teacher of another primary school, said she teaches 280 students. ""Similar requests are pouring in from my students too.""

Lucknow BSA Amar Kant Singh agreed with the teachers and said that the demand for English medium schools after Class 5 was ""quite natural"". ""After studying in English medium institutions, students will not like to go back to Hindi medium schools,"" he said.

A senior basic education department official added that they were aware of the growing demand for government-run English medium schools and were looking into the matter."
"7","1024436117","2018-12-22","https://www.hindustantimes.com/ranchi/iim-to-study-impact-of-primary-school-merger-in-jharkhand/story-AO8N0uUTtcg5GPXywdw16N.html","IIM to study impact of primary school merger in Jharkhand","Hindustan Times",FALSE,"IIM Ranchi would see if the reorganisation has brought any benefits for students as well as the education system(HT File)

The Indian Institute of Management (IIM), Ranchi, will evaluate the merger of primary schools in Jharkhand. The state education department has roped in the institute for a detailed study of 4,600 merged schools to find out if the reorganisation has brought about any improvement or not, department officials said.

State education secretary AP Singh said, ""IIM Ranchi would see if the reorganisation has brought any benefits for students as well as the education system. It would also evaluate if the initiative brought about any improvement in the education of those students who were shifted to other schools in the merger process,"" he said. ""We have sought a financial proposal from the institute for the study.""

The reorganisation exercise of schools had also caught the interest of IIM Bangalore, which expressed its willingness to carry out a study on the process and its benefits, said the secretary.

Merging schools with low enrolment is an exercise that has been undertake by Rajasthan and Jharkhand in the country with the support of the Union government and NITI (National Institution for Transforming India) Aayog, the policy think tank of the Government of India. Jharkhand started the merging procedure in 2016-17.

Jharkhand Education Project Council (JEPC) director Uma Shankar Singh said that there were 39,600 schools in 2016-17 under the education department in Jharkhand. ""Of them, 18,000 schools had 60 or fewer students. These schools had an average of one or two teachers per school. Providing quality education was a major challenge. One teacher was handling four-five classes at a time. How could one expect a better education in these schools?"" he said.

The council said that a four-step process -- field inspection; cross-district verification; block and district consultation; and final notification -- was undertaken to merge the schools.

Singh said that 98% students from the 4,600 primary schools had been shifted and 96% of the students had expressed satisfaction with the consolidation. ""We faced difficulty in shifting 150 schools due to some technical reasons. Now, the issue has been resolved, and students from 120 schools have been shifted,"" he said.

The reorganisation of primary schools benefited seven lakh students, giving them better teacher availability, and cut the requirement of 4,500 teaching positions. The merger process saved the government Rs 400 crore by reducing teaching positions and infrastructure requirements, said JEPC officials. The officials added that the funds thus saved would be spent on strengthening the education infrastructure of the merged schools."
"8","1020468934","2018-12-17","https://www.hindustantimes.com/lucknow/up-primary-school-using-board-game-to-create-career-awareness-in-students/story-QSASNR6W6GFyQDTjZZugiP.html","UP: Primary school using board game to create career awareness in students","Hindustan Times",FALSE,"Teachers at the Primary School Perai are using the game to motivate students to be successful in life by climbing the simple ladder of hard work, without worrying too much about the hurdles -- represented by snakes.(HT)

A primary school in Kaushambi district of Prayagraj is using the popular 'Snakes and Ladders' board game to create awareness among students regarding the importance of looking beyond usual vocations while choosing their career path.

Teachers at the Primary School Perai are using the game to motivate students to be successful in life by climbing the simple ladder of hard work, without worrying too much about the hurdles -- represented by snakes. They are especially encouraging students to dream big and think beyond the professions of their parents.

In this rural area, most students hail from a humble background. Someone's father is a plumber, someone else's a carpenter, mason or daily wager. The school authorities are trying to help these children look beyond these professions that would fetch them only a meagre income.

""We help our Class 5 students aspire for more in life instead of settling for small goals. With the 'Snakes and Ladders' board game, we create awareness among them about professions of teaching, medicine and engineering, which could make their lives prosperous and help them turn around their family's fortunes,"" said principal Hari Om Singh.

""The game is simple. Rules are similar to the traditional 'Snakes and Ladders', with some additional interesting information shared to benefit the students and retain their interest. Children are told not to get disheartened if they slip down due to a 'snake bite', for they need to remember that there is always the 'ladder' of hard work available to help them make it to the top,"" the teacher explained further.

He said the idea was to make students aware of the professions they would normally not think about on account of their rural background and tender age.

""The game is very interesting,"" said Tej Singh, a Class 5 student whose father runs a shop. ""We learn so much more about professions such as being a bureaucrat, cartoonist, animator, teacher, doctor and engineer,"" he said.

Another student Manu Singh said, ""It is great fun to play the game with friends and get information about new things at the same time. We learnt a lot from this drill, especially about the various career options open for us."""
"9","1019515305","2018-12-16","https://www.dnaindia.com/jaipur/report-balvatika-pre-primary-school-ranked-the-best-preschool-in-jaipur-survey-2696520","Balvatika Pre Primary School ranked the best preschool in Jaipur: Survey","Daily News and Analysis (DNA) India",FALSE,"There is no ranking system at the government level as far as pre-primary schools are concerned. But private agencies are doing work of ranking of pre-primary schools. Like primaries, upper primary and secondary schools, the pre-primary school ranking has been being fixed. A Delhi-based company has released the ranking of pre-primary schools of Jaipur. In which the top ranking has been given to Balvatika Pre Primary School, situated at Sawai Ram Singh Road, Jaipur.

EducationWorld in association with the Delhi-based market research and opinion polls company Centre for Forecasting and Research Pvt. Ltd (C fore) conducted its 9th annual EducationWorld India Preschool Rankings 2018-19 survey in 16 cities to rate and rank 530 preschools countrywide. The survey was done on the basis of 10 parameters. In which the survey was conducted based on teachers' welfare, capacity building, school infrastructure, the participation of parents, children safety and hygiene etc.

C fore released its ninth annual EducationWorld India Preschool Rankings 2018-19 survey in 16 cities. Survey results of 2 cities i.e. of Hyderabad & Jaipur were declared on December 14 due to elections in these cities. To eliminate apples-with-orange type comparisons, standalone proprietary and franchised preschools (aka pre-primaries) in four metros and 6 cities are ranked separately, whereas in remaining 6 tier-2 cities, there is a single category. Moreover, for the first time, the most well-managed Anganwadis in Mumbai, Delhi and Bangalore have been also ranked with the objective of presenting them as models for other government-run pre-primaries.

A national sample of 8,245 respondents comprising parents with preschool children, principals and teachers were interviewed by over 100 field staff of C fore and rated and ranked. The country's top-ranked proprietary and franchised pre-primaries will be felicitated at the 9th EW Early Childhood Education National Conference scheduled for January 19 next year in Bangalore."
"10","1011063459","2018-12-05","http://www.newspatrolling.com/oxford-university-press-launches-a-course-in-tamil-for-primary-school-students/","Oxford University Press launches a course in Tamil for Primary school students","newspatrolling.com",FALSE,"New Delhi, Wednesday, 05 December, 2018: Oxford University Press (OUP), the world's largest university press today announced the launch of Aadi Paadi Tamizh Padi(learning Tamil through song & dance), a course series for primary school students, designed to generate interest and develop awareness on the richness of the Tamil (Tamizh) language. This comprehensive, yet simple Tamil course, is broadly based on the TNSCERT curriculum, and endeavours to make teaching andlearning of Tamil a more enjoyable experience for teachers and learners alike.

The course series was launched today in the presence of several distinguished guests and representatives of several schools from Chennai and adjoining areas. The key attendees at the event included Dr. V. Irai Anbu, IAS, Principal Secretary, Director Entrepreneurship Development and Innovation Institute, Chennai; Shyamala Ramesh Babu and Priya Bharat, both authors of the Aadi Paadi Tamizh Padi course series; Mr. Sivaramakrishnan Venkateswaran, Managing Director, OUP India, Ms. Rema Arunachalam, Director - School Education Publishing, OUP India and Mr. Sanjoy Majumder, Associate Director - Sales, School Education.

Speaking at the launch event, Sivaramakrishnan Venkateswaran, Managing Director, Oxford University Press India said: ""OUP is delighted to release a course in Tamil for primary school students, and I congratulate the authors and editorial teams for developing such an interactive and holistic series. I am confident that schools teaching Tamil language will find this series not just pedagogically advanced but also extremely student-friendly. He added ""The development of this course series is another example of OUP's firm commitment to language publishing.""

Dr. V. Irai Anbu, IAS addressed the gathering at the launch event by speaking on an interesting topic 'Inimai tamil moli emadhu' (Sweet is our Tamil language). The first copies of the books were received by the following special guests:

o Mr. M.T.Umasankar, Correspondent, Bharathidasan Matric Higher Secondary School, Tiruvallur

o Mr. Purushothaman B, Senior Principal and Correspondent, Everwin Group of Schools

o Ms. Bhanumathy Gunasekharan, Academic Advisor, Best Schools, Tanjore & Secretary, Academic Council, SCS Hr Sec School, Chrompet

o Ms. Sundhari, Senior Principal, Kolasaraswathi School, Chennai

The Aadi Paadi Tamizh Padi course book series is designed to enhance the learning skills and develop language skills (listening, speaking, reading and writing) among the primary school learners. The lessons are designed along with activities, with well-defined learning objectives, learning outcomes, values and life skills, thus, providing a holistic learning. The text books provide useful facts about the Tamil language and promote activity based learning modules. The series has a suite of features that enable enhanced learning, hones problem solving skills and helps to develop fluent communication skills."
"11","1009247100","2018-12-03","http://www.centralchronicle.com/campion-school-celebrates-primary-section-annual-day-function.html","Campion School celebrates primary section annual day function | Central Chronicle","Central Chronicle",FALSE,"Chronicle Reporter, Bhopal, The School Annual day is perhaps the functions that are most eagerly wait each year. This year too Campion School was begun to prepare well in advance on the Annual day function. This Year Campion School celebrates its Primary Section Annual Day Function on Saturday, 1st December 2018 with amidst great zest, vibrancy and elation.

Over 2000 students from Primary Section actively participated and made the function an enjoyable experience for all. Cheer and thrill filled the air as the students of the primary wing of Campion School, Arera Colony Bhopal performed during this annual day celebration. On this Annual Day Function lot of programmes like Qawwalis, Dances, Skits, Dramas, Songs Action Songs, etc. were organized.

On the occasion of Annual Day Function-2018 day will be commenced in the evening today. The entrance from Main gate to Play Ground had been beautifully decorated with Eye catching Light decoration, along with flowers and glittering banner. This day primary section is determined to show the various programmes on the Theme of ""Heal the World"". The Stage was beautifully designed.

The program started in the Evening at 5.30 pm. Band Team of the Campion Escorted Chief guest, Guest of Honour, Special guests and Father Principal along with other dignitaries The School Band of 50 students from different classes was trained by Vice Principal Father Amritlal Toppo S.J., The impressive performance of the band enchanted the guests.

Welcome dance with beautiful formations by boys; Shower of Flower Petals & Tilak ceremony were done on the way.All the guests were accorded floral welcome followed by the Ceremonial lighting of the lamp done by Dr. Rajeev Gupta Professor Cardiology and Cardiologist at Associated Hamidia Hospital, Bhopal the esteemed Chief Guest and Guest of Honour Rev. Father Kalyanus Minj, S.J., Jesuit Provincial Superior, M.P. Province, Principal Fr. Dr. Athnas Lakra S.J. vice Principal Fr. Amritlal Toppo, Superior Fr. Christdhari Kujur S.J., Bursar Fr. Ashok S.J., & Headmistress Sr. Lily D'Souza A.C. along sisters and with Senior Teachers and other dignitaries.

After this Lighting of the Ceremonial lamp Principal formally commenced the programme by Floral welcomed and Felicitated of the chief guest, guest of honor and the eminent guest by Entailing the bouquets and Saplings presentation and pinning of badges and introduced the Hon'ble Chief Guest to the gathering.

Along with this Lighting of the lamp, a melodious welcome song ""We are so grateful for your presence on this day, this is the day very auspicious"" and a spiritual prayer song ""Lord of all I bow down at your feet. Nobody like you oh lord"" was sung by the students.

The evening was made more colorful with cultural programmes after the principal's Speech. On this auspicious occasion the ""Journey of Campion"" over the last 52 years till Current academic Session achievements through Slide show presentation was shared with the huge gathering. After this, Annual report was read by Primary Headmistress Sr. Lily D'Souza and projection of annual album was present.

On this auspicious and special occasion primary teachers' given Introduction and children also showcased on the theme ""Heal the World"" based on the ""Air, Water and Land Pollution"" problem facing universally including India give all the audience a hard impact message. A wailing earth enters A campionite asks the earth the reason for the crying.

Earth then narrates how she came into existence and how God made this beautiful Earth with all living and non living things like Sun, Moon, Planets, trees, flowers, birds, animals and human beings."
"12","1009183946","2018-12-03","https://citytoday.news/selection-counseling-for-primary-school-teachers-100-selected/","Selection counseling for primary school teachers; 100 selected - Mysuru Today","Mysuru Today",FALSE,"Mysuru, December 3:- Counseling was held for the selection of the candidates who are listed in graduate primary school teachers appointment process at Maharaja junior college on Monday.

M P Shambhavi, daughter of M S Prakash of Channasoge village of Hunsur taluk selected as Social Science assistant teacher for Ayarahalli higher primary school in general merit.

Around 266 members attended the counseling process and 100 candidates were selected. Around 23 candidates out of 123 in science were selected, 57 candidates out of 123 were selected in English language and all the 20 candidates were selected in Social Science.

DDPI Mamata, nodal officer Uday Kumar were present. (MR/HN)."
