"","ID","date","url","title","source","duplicate","body"
"1","1021802815","2018-12-19","https://timesofindia.indiatimes.com/city/noida/education-dept-to-inspect-all-primary-schools/articleshow/67153452.cms","Education department to inspect all primary schools - Times of India","The Times of India",FALSE,"NOIDA: The district basic education department on Tuesday formed two committees to carry out an inspection of all primary schools in Gautan Budh Nagar. The aim is to detect unregistered schools as well as those not adhering to safety norms, officials said.

The move comes a day after two children were killed and six others injured in a wall collapse at a private school in Noida.

According to police, the school building in Salarpur was ""too old and deteriorated"" and its wall collapsed due to the impact of some construction activity that was going on ""without any official approval"" in the adjoining plot.

""Earlier we found 174 unregistered schools in the district, of which 93 were shut down immediately and 22 more were closed after imposition of Rs 1 lakh fine on each.

""We are now trying to detect more such schools which may be operating without valid permissions,"" basic sikhsha adhikari (BSA) Bal Mukund told TOI.

""Sometimes these owners reopen the unregistered schools by changing their names. So two teams with two officers and two junior staff each will do the inspection. And if we find such violators, we will lodge police complaints against them and register FIRs for illegal operation of business in the name of schools,"" he said.

""Schools will be given recognition only when they meet all educational and safety parameters,"" the BSA added.

However, Mukund also acknowledged the need for more schools in the district to cater to the educational needs of every child.

""We have 685 government schools in Gautam Budh Nagar. However, these are not enough to meet the needs of a huge migrant population. At the same time, we cannot allow safety to be compromised,"" he added."
"2","1019873184","2018-12-16","https://www.latestly.com/lifestyle/health-wellness/boys-can-have-periods-too-says-new-sex-education-guide-for-primary-schools-students-in-uk-543303.html","'Boys Can Have Periods Too', Says New Sex Education Guide for Primary Schools Students in UK | LatestLY","Latestly",FALSE,"In new sex education guidance in the United Kingdom, primary school children as young as eight years old will be told 'boys can have periods' too. To tackle the taboo around menstruating, teachers have been advised similarly by Brighton Council to teach young children. However, the new rules have received harsh criticism for trying to confuse young children.

The teacher guidance, from Brighton & Hove City Council, states: 'Trans boys and men and non-binary people may have periods' and 'menstruation must be inclusive of all genders'. It says that ""bins for used period products are provided in all toilets"" for children. Also, trans pupils and students should be provided with additional support from a school nurse if required.

The emergence comes after it was reported that a state secondary in Brighton has 40 pupils who 'do not identify as gender presented at birth'. Daily Mail quoted Tory MP David Davies as saying that explaining the concept of transgender boys having periods to eight-year-olds would be 'insanity' for teachers. He said, ""Learning about periods is already a difficult subject for children that age, so to throw in the idea girls who believe they are boys also have periods will leave them completely confused.""

Stephanie Davies-Arai, from the campaign group Transgender Trend, said, ""Girls going through puberty are already having a difficult time. What they should be given is clear language to be able to talk about their bodies and their female biological functions without couching it in politically correct terms."" Campaigner Julie Bindel said, ""To tell impressionable children that boys can also menstruate sidelines girls who should be getting support when they start their periods.""

The report quoted Brighton & Hove City Council as saying, ""By encouraging effective education on menstruation and puberty, we hope to reduce stigma and ensure no child or young person feels shame in asking for period products inside or outside of school if they need them. We believe that it's important for all genders to be able to learn and talk about menstruation together... Our approach recognises the fact that some people who have periods are trans or non-binary."""
"3","1016298490","2018-12-12","https://timesofindia.indiatimes.com/city/chandigarh/ut-to-shut-down-primary-govt-schools-with-low-enrollment/articleshow/67053018.cms","UT to shut down primary govt schools with low enrollment - Times of India","The Times of India",FALSE,"CHANDIGARH: With the re-transfer of eight primary schools in process, the UT education department is planning to shut down some of the schools with low enrollment and merge the classes in nearby government schools, wherever possible. Also, the education department is planning to extend the Government Model Primary School (GMPS) in Sector 49 to middle level (till class VIII). This was stated by the officials from the education department in its preliminary plan as final decision will be taken only after conducting a proper survey of these schools and the nearby schools after the re-transfer process is done.

The eight primary schools being re-transferred are- GPS -12, GPS - Bapudham Colony, GPS- Buterla, GPS- Mauli Complex, GPS- Railway Colony, GPS- Manimajra - I, GPS- Manimajra - II, and GMPS - 49 (the newest among all schools).

""There are the schools which do not have good infrastructure and have less number of students, so we will be adjusting students in nearby schools. Also, the schools which are large in spaces will be further upgraded,"" said an official from the UT education department requesting anonymity.

The shifting, as per teachers may prove to be an unsuccessful task as the schools, especially in Mauli complex, railway colony and Manimajra are already overcrowded.

The schools that will get prior attention from the education department include Government Primary School in Maulijagran, Government Primary School in railway colony and Manimajra-II as these are running in worst conditions of all. GPS in Mauli and railway colony are not even having their own buildings and are being run in rented buildings.

In a reality check, the TOI had reported how these three schools had poor infrastructure as they are so small that they cannot even afford to have furniture in classrooms and accommodate students.

The department is also planning to close Government Primary School in Buterla, Sector 41 due to low enrollment of students. ""The building can be put to some other good use. There is no point in running a separate school for a few students,"" the official added.

The school has 130 students at present studying in nursery class and classes I-V.

These schools further lack basic facilities like playgrounds and teachers have to be on toes to ensure students don't get injured as few swings that lie in the corner of small yards. Thus, making it unsafe for students. In some schools situated in Mauli complex and railway colony, they utilize the adjoining neighbourhood park as they don't have their own playgrounds. This, however, raises security concerns for children, as the park is also used by people and vendors.

GMPS will further be upgraded to middle level. Moreover, the school's building needs attention too. The other seven government primary schools have been running under the MC Chandigarh since 2010."
"4","1015402112","2018-12-11","https://www.hindustantimes.com/education/soon-parents-corner-in-all-up-govt-primary-schools/story-yjCpopnN3xoQpRWu6oiakK.html","Soon, parents' corner in all UP govt primary schools","Hindustan Times",FALSE,"Soon, there will be a parents' corner/ counter in all government primary schools in the state. ""The idea is to inform parents and community members about various government welfare schemes, so that they could benefit from them and improve their living standards,"" said an official. Parents would also be able to inquire about their child's progress at these centres, he said.

The initiative stems from a successful experiment undertaken at a government primary school in Gonda district.

To connect better with community members, the primary school in Dhaurahra area of Gonda set up a parents' corner/ counter on its premises. ""The response was overwhelming. Parents and community people immediately connected with the school, inquiring about different welfare schemes,"" said principal Ravi Pratap Singh.

Now, a state government order, dated December 6, has directed officials to implement the initiative in all government primary schools in UP.

Director basic education, Sarvendra Vikram Bahadur Singh, said on Monday, ""It was an innovative idea of a visionary teacher in a Gonda school -- a wonderful move to connect with the community! It also helped increase the participation of community members in the school's activities. We now want to replicate the initiative in other schools, so that more people can benefit from it.""

""The parents' corner will disseminate information on emergency services such as Dial 100, 1090 (for women in distress), fire and ambulance services, as well as road safety and traffic rules,"" he said.

The initiative will also look at improving women's literacy in every district, as envisaged in the Centre's 'Beti Bachao, Beti Padhao' (BBBP) campaign. ""It will educate masses about free and compulsory education for all children under the Right to Education (RTE) Act. For people who are uncomfortable in filling up bank cash deposit forms, the schools will keep deposit forms of different banks and help community people in filling them up,"" said director basic education.

He said the counter would also educate community members about the health department's new welfare schemes such as Ayushman Bharat and other programmes, including free cataract operations, vaccinations, and facilities available for pregnant women.

Explaining how the school managed to make a strong impact with its parents' corner, Ravi Pratap Singh said, ""We informed the locals about the government's Ujjwala scheme and many of them benefited from it. We followed it up with information on the CM's helpline for Swachh Bharat Mission, which enabled people to register their complaints. Likewise, we kept passing useful information to them from time to time.""

Gram pradhan Rajani added, ""As agriculture is the only occupation of villagers, the school's teachers took out time to educate farmers about the latest technologies that would improve their yield and lower costs. Teachers also educated villagers about the ill-effects of liquor and tobacco consumption on their health. How to preserve the environment for a better tomorrow was another subject on which the teachers created awareness.""

Apart from pioneering the idea of the parents' corner, Ravi Pratap Singh also introduced digital methods of imparting lessons at his school. He said that when he joined the school in August 2013, only 138 students were enrolled there. ""The biggest challenge was to make education interesting for them. I started using my mobile phone and tablet to teach them rhymes, and realised that their interest levels went up substantially,"" he said."
"5","1015348766","2018-12-11","https://timesofindia.indiatimes.com/city/allahabad/up-to-merge-primary-upper-primary-schools-running-on-same-premises/articleshow/67034260.cms","UP to merge primary, upper primary schools running on same premises - Times of India","The Times of India",FALSE,"ALLAHABAD: The government primary schools and upper primary schools, running separately in same premises, would be merged into junior high schools from classes 1 to 8 across the state from next academic calendar.

The decision has been taken by the state education department to facilitate smooth management of such schools by applying minimum resources.

The primary schools are for children studying from class 1 to 5 while upper primary schools are from classes 6 to 8. Officials said that teachers would be absorbed in the school on the basis of number of students enrolled till September 30, 2018 and an order in this regard would be issued by secretary, UP Basic Education Board.

Special secretary, UP government, Dev Pratap Singh, through a letter dated November 22 to basic education directorate and UP Basic Education Board said ""Block education officers will ensure the management of the schools as one school in place of separate educational institutes.""

Director of Basic Education, Lucknow, Sarvendra Vikram Bahadur Singh, in a letter to basic education officers (BEO) said, ""There would be a head master in the school and he would have the possession of school records. He would be responsible for managing the state of affairs.""

He has also issued a circular to all district basic education officials for following the direction. The order would come into effect from April 1 next year, claim officials."
"6","1014657134","2018-12-10","http://www.goacom.com/lobo-standard-of-govt-primary-schools-needs-improvement/","Lobo: standard of govt primary schools needs improvement - GOACOM - GOA - INDIA - INFORMATION AND SERVICES IN GOA. Goa News, Goa Konkani News, Goa Sunaparant News, Goan Konakani News,  Goa Video News, Goa Yellow Pages","goacom.com",FALSE,"Calangute: Calangute MLA Michael Lobo has said the education department needs to bring in reforms and improve standard of government primary schools so that people feel confident in enrolling their children in government institutions.

Lobo said this while speaking to media in Calangute when he came to inspect work that is being carried out in government primary schools.

He said, although the government is improving the facilities in the government primary schools all over Goa, these were not enough.

Along with infrastructural improvement, there also has to be improvement in educational standard in government schools, he added.

""Teachers need to be provided training in order to improve the quality of teaching and bring government primary schools on par with private schools. However, this is not happening and, hence, Goan parents prefer to wait in queues to enrol their wards in private schools,"" he lamented.

The government is providing smart boards, projectors, laptops to government primary schools, however, teachers should get necessary training, he said, adding, the government needs to hire a consultant to improve quality of education in government primary school. [NT]"
"7","1008532200","2018-12-02","http://businessworld.in/article/Language-Matters-In-Science-And-Maths-In-Primary-Schools/02-12-2018-164719","Language Matters In Science And Maths In Primary Schools"," BW | Businessworld",FALSE,"Few would disagree that one of the most remarkable aspects of India is the rich diversity of the cultures, traditions and languages which are found among the people living in this vast country. There is no better symbol for this diversity than the ancient banyan tree with its huge structure, deep roots and many branches which give shelter to so many different living beings.

Choosing the languages that are to be used in primary education is therefore no easy matter, and decisions will necessarily depend on local and regional infrastructures which vary enormously. While many teachers intuitively know that it is important to use the languages children speak at home also as the medium of instruction in school, there is considerable parental pressure to use more English in schools. Managing and reconciling different demands is no easy matter for policy makers and evidence is needed to ensure these decisions are well-informed. For this reason, Professor Ianthi Tsimpli from Cambridge University, and co-investigators from Reading University and academic institutions in India have started a new research project which focuses on multilingualism in primary schools in India. The project - in partnership with British Council - aims to provide policy makers, teachers, parents and (last but not least) the children themselves with new evidence which can help them to make better choices about schooling.

The MultiLila project aims to find out whether children who learn through the medium of a language which is different from their home languages have differing levels of learning outcomes than children whose home and school language is the same: do they learn more, or less, faster or slower? It also explores whether or not there are differences in the learning attainment of children attending schools in more deprived areas and between boys' and girls' learning of reading and maths. On a recent visit to Delhi, Professor Ianthi Tsimpli from the University of Cambridge, Principal Investigator of the project, discussed these issues with the Minister of Education in Delhi, Mr Manish Sisodia, who is keen to ensure educational policies are based on scientific evidence. Ms Atishi Marlena, advisor on education to the AAP-led Delhi government, concurred saying: 'With this project, we are also going to be the recipients of their research. British Council India and Cambridge University will provide us with a lot of insights on this.'

As all teachers know, it can be challenging to explain new concepts to learners. Concepts such as evaporation or condensation are not easy to understand for primary school children, who may struggle to grasp what these chemical processes involve. This is particularly true for children who learn through the medium of a second language, which is the case in schools where English is the medium of instruction. Most children do not speak English at home, but a variety of other languages, and they are still in the process of learning English. They may be able to use some everyday words and grammatical constructions, such as 'What's your name?' or 'I like reading' but this is not a sufficient basis for understanding abstract, academic or technical words such as condensation. An added problem is that translation equivalents may not be available or known in the local or regional languages.

Thus, one colleague present at one of the schools visited by the research team did not know the translation equivalent of 'condensation' in Hindi, despite being highly fluent in the language. Presenting children with translation equivalents in Hindi is not helpful if the concept itself is poorly understood. Despite these difficulties, some teachers excelled at explaining such ideas by making reference to the children's home environment: they asked the children to think about what happens to boiling water when their dinner is prepared at home. The children know that during cooking, water turns into steam which rises up into the air (evaporation) and it may subsequently condensate against the window. This can be seen on the window in the form of droplets (condensation). According to Professor Theo Marinis such explanations are best understood when the teacher uses the children's home languages: 'Developing children's understanding of science concepts and analytical skills in discussing these builds on language, as does learning in other school subjects.'

This is also true for so-called word problems in maths. These are short stories which contain an arithmetic problem that needs to be extracted by the child, as in: 'Ritu walks around the playground. The playground is a square, which means it has the same length on all the four sides. The playground is 20 meters along. Ritu walks all around the edges of the playground. How many meters does she walk in total?' Tackling such problems is only possible for a child who has a good understanding of the language used in the task, and this can be very challenging for children who learn through the medium of English. Many children will need to make use of their home languages in order to fully grasp what they need to do.

A key issue for all teachers and policy makers is therefore understanding what threshold level is needed for children to be able to take part in English-medium instruction: what is the minimum amount of English needed? This could be specified in terms of the number of words that need to be known but knowledge of grammar is equally essential. From the available literature we know that it can take between five and ten years until children are ready to handle the complexities of school subjects through the medium of a second language, but further evidence is needed to establish what thresholds are applicable in a variety of Indian contexts.

The MultiLila project takes place in three cities: Delhi (Professor Minati Panda), Hyderabad (Professor Suvarna Alladi and Dr Lina Mukhopadhyay) and Patna (Dr Lina Mukhopadhyay) and is funded by the UK's Economic Social and Research Council and by The Department for International Development. 'Key partners in the project are researchers from Jawaharlal Nehru University (JNU), English and Foreign Languages University (Hyderabad) and the National Institute of Mental Health and Neuro Sciences, Karnataka, as well as the British Council,' says Professor Tsimpli, 'as they know the Indian context.'

Currently, data collection is underway, with around 1,000 child participants (Standard IV) in the database. The same children will re-take the same language, cognitive and maths assessments in a year's time to establish development of skills over time under different conditions. Final research findings are to be expected to be reported in 2020."
"8","1003632028","2018-11-26","https://yourstory.com/2018/11/digital-education-chhota-internet-197-schools/","Good quality digital education without internet: Chhota Internet to be adopted by 197 primary schools in Ghaziabad","YourStory.com",FALSE,"The Internet has helped us in many ways - from education to entertainment. But what about areas that cannot connect to the internet? Meet Chhota Internet - a Content Access Management Device (CAMD) that can help make education accessible to all.

In a district of Ghaziabad in Uttar Pradesh, 197 upper primary schools will adopt Chhota Internet to increase learning opportunities for their students.

Using this, the schools will be able to access better quality educational material over a WiFi network without using the internet. This digital initiative will also allow schools to focus on each student's progress and help them design custom-based programmes to further enhance a student's performance. Digital literacy, when harnessed in a controlled and responsible environment, can help schools find, evaluate, utilise, share and create content using information technologies and the internet.

Chhota Internet is aimed at bridging the gap between quality education and its beneficiaries, with students as the focus of buffer-free education content.

The initiative will uplift the traditional educational system in the rural area and address various issues that hinder the quality of education like lack of internet penetration, shortage of quality teachers and measurements of the growth of children.

In a press statement, Sandeep Arya, CEO and Chairman of Chhota Internet, said,

""The digital age has opened up newer dimensions to learning, which were previously unheard of. The 21st-century learning is more complex than ever before, and the current context of growth demands various skills from a student. Therefore, it is the need of the hour for us to use digital technology like Chhota Internet to provide more efficient ways of learning. As rural India prepares for a tectonic change in education with the launch of digital classrooms, we need to ensure consistent implementation of digital literacy on a large-scale to ensure quality education.""

His vision of Chhota Internet is to bridge the gap between learning and growth and erase the educational divide. Sandeep said, ""More of this can happen when corporations direct their CSR funds to this cause instead of solely depending upon government funding. Chhota Internet will achieve this by bringing students in rural India abreast with the rest of the world, in terms of providing access to a more advanced system of education that is loaded with the latest technological aids, paving the way for future growth via innovative technology."""
"9","992148068","2018-11-12","https://indianexpress.com/article/education/punjab-on-childrens-day-baal-melas-await-pre-primary-students-in-govt-schools-5441896/","Punjab: On Children's Day, 'baal melas' await pre-primary students in govt schools","The Indian Express",FALSE,"Pre-primary classes are conducted in around 12,500 primary and elementary schools of the state. The objectives behind these classes is to prepare the children in the age group of three-six years for primary education in government schools.

On the completion of one year of pre-primary classes in around 12,500 primary and elementary schools of the state where children aged between three and six years are admitted in nursery and kindergarten classes, the Punjab government has decided to conduct 'baal melas' for the toddlers on the occasion of Children's Day on November 14. Around 1.70 lakh kids studying in these classes across the state will be evaluated. The melas are aimed at facilitating all-round development of the children and improving learning levels.

Pre-primary classes are conducted in around 12,500 primary and elementary schools of the state. The objectives behind these classes is to prepare the children in the age group of three-six years for primary education in government schools.

The melas will be organised in every school where pre- primary classes are running.

The children's all-round development will be judged on the basis of several parameters including physical development, mental development, language knowledge, creativity skills and their report card of the year.

Children may be asked to perform any two activities based on these parameters: Such as they may be asked to introduce themselves, to identify the names of vegetables, colours,create paintings, collages etc.

Parents, as well as village panchayat members (in rural areas) and other known dignitaries in urban areas, will be invited in these melas.

State Council of Education Research and Training chief Inderjit Singh said such baal melas would be a great help in facilitating the all-round development of government school students and to prepare them for primary classes."
"10","984426279","2018-11-02","https://timesofindia.indiatimes.com/city/bengaluru/english-in-primary-schools-wont-hurt-kannada-cm/articleshow/66470278.cms","English in primary schools won't hurt Kannada: CM - Times of India","The Times of India",FALSE,"BENGALURU: On the 63rd Karnataka Rajyotsava Day, chief minister HD Kumaraswamy reiterated that the government's decision to make English compulsory from Class 1 will not hurt Kannada and that the language wouldn't be allowed to dominate the sovereign status of Kannada.

According to him, the decision was taken with the sole purpose of ensuring rural children overcome their inferiority complex.

In September, he had said: ""We will protect and promote Kannada. But at the same time, we want to ensure students from rural areas and middle-class families learn English in order to remain competitive in this fastchanging world."" Learning another language does not amount to disrespecting the mother tongue, he had added.

On Thursday, he urged the people of Karnataka not to listen to voices that seek to divide the state on regional lines. ""Some voices have been spreading disinformation, seeking to divide the state on nomenclatures such as north Karnataka and old Karnataka. People shouldn't pay attention to them. We should all strive for development of the state and ensure that our elders' struggle for a unified state is not wasted,"" he said.

The CM made some announcements on the occasion, including extension of the warm milk scheme to 10,567 students in 153 special schools run by NGOs. At present, 55.3 lakh students are covered under it.

Festival for, by children

The government organised a cultural festival for children at Kanteerava Stadium, which saw the participation of over 10,000 students from 90-odd schools from Bengaluru north and south districts.

Around 800 students from north Bengaluru institutions presented a colourful dance programme depicting the life of city chieftain Kempegowda. Their counterparts from a government school in Chikkabidarakallu highlighted the importance of learning through their performnace.

Students from 21 schools participated in a mass yoga programme. Children from Mariam School and Florence School, donning a yellow and red attire (colours of the state flag), performed an aerobic dance.

KANNADA PARADE COMMANDS ADD ZING

Crisp parade commands in Kannada echoed true and loud at the Dakshina Kannada Rajyotsava Day celebrations in Mangaluru on Thursday.

Having resonated in Marathi-inclined Belagavi for three years, thanks to SP BR Ravikanthe Gowda's stint as district police chief there, Kannada parade commands have made their way to Dakshina Kannada, with reserve police inspector Ganesh HB reeling them out with panache. Normally done in English or Hindi, Kannada parade commands were a rarity till Ravikanthe Gowda introduced them in Belagavi. An elated Ganesh said it was a thrilling experience for him to give parade commands in Kannada for the first time. ""I had the SP guide me intensively for the past two days to get the intonations, pause and delivery right,"" Ganesh said."
