"","ID","date","url","title","source","duplicate","body"
"1","1028187811","2018-12-28","http://www.newindianexpress.com/states/andhra-pradesh/2018/dec/27/andhra-private-school-teacher-arrested-for-making-students-strip-as-punishment-for-coming-late-1917287.html","Andhra's private school teacher arrested for making students strip for coming late","The New Indian Express",FALSE,"TIRUPATI: In a shocking incident of corporal punishment, teachers of a private school made three students stand naked and three others semi-nude outside the classroom under hot sun for coming late to the school.

It is learnt that the school management had subjected the students to corporal punishments on several other occasions in the past. The school correspondent and headmistress were arrested on Thursday under relevant sections of the Juvenile Justice Act and IPC.The incident happened at the Chaitanya Bharathi English Medium School in Nanasahebpet of Punganur mandal.

According to district education department and police officials, the school was re-opened on Wednesday after Christmas holidays. The five students of two classes, aged about 10 years, arrived just 10-15 days late to the school.

It is learnt that one of the class teachers beat three students and sent them out of the classroom. The teacher later came out and made them strip their clothes and stand in the hot sun.The teacher of another class too meted out a similar punishment to three other students by making them stand semi-nude.

The pictures of the punishment came out on Thursday leading to outcry by parents and students unions. Student activists of ABVP staged a protest at the Punganur police station demanding action against the school management.

The district administration took a serious view of the incident and asked the mandal education officer to probe the incident.

An inquiry was ordered and it is learnt that based on the videos and photographs that went viral, the school education department authorities have recommended cancellation of recognition of the school from next academic year.

Meanwhile, the Punganur police arrested school correspondent Nagaraj Naidu and headmistress Bhuvaneswari following protests by student unions and a complaint lodged by parents of the students.

Probe ordered

The district administration took a serious view of the incident and asked the mandal education officer to enquire into the incident. An inquiry was ordered and it is learnt that based on the videos and photographs that went viral, the school education department authorities have recommended cancellation of recognition of the school from next academic year."
"2","1027603026","2018-12-27","https://www.latestly.com/india/news/bhopal-horror-8-year-old-girl-raped-by-2-classmates-in-private-school-sit-inquiry-ordered-561192.html","Bhopal Horror: 8-Year-Old Girl 'Raped' by 2 Classmates in Private School, SIT Inquiry Ordered | LatestLY","Latestly",FALSE,"Bhopal, December 27: In a shocking development, an 8-year-old girl was allegedly raped by her classmate, said police on Thursday. The girl, a student at a private school in Bhopal city, was raped near her house on Tuesday. A case has been registered on Wednesday after minor's parent approached the police. Jharkhand: Monk Arrested for Rape Attempt on Minor, Girl Rescued From the Bathroom of Accused.

According to preliminary reports, the minor was raped by her eight-year-old classmate and an unidentified boy. While the police are yet to receive the girl's medical report, a special investigation team (SIT) has been formed to investigate the shocking incident. Man Gets Double Death Penalty for Killing, Raping Stepdaughter.

""The police are interrogating the boy and his parents. ....No arrest has been made as the accused too is a minor,"" Additional Superintendent of Police Dinesh Kaushal said. He further added, ""Superintendent of Police (Bhopal South) Rahul Lodha has constituted a SIT headed by a woman police officer for further probe, Kaushal added. The detailed medical report of the girl is awaited.""

Meanwhile, a rape case has been registered under the Protection of Children from Sexual Offences (POCSO) Act and under Indian Penal Code (IPC) section 376.

Earlier on December 17, A 42-year-old man was awarded double death sentence under different sections of the IPC for raping and killing a 5-year-old girl, who was the daughter of his wife from an earlier marriage. This development was made after the Madhya Pradesh assembly passed a bill stipulating the death penalty as a punishment to those convicted for raping minors up to the age of 12 years."
"3","1027514629","2018-12-27","https://www.mid-day.com/articles/eight-year-old-girl-raped-by-two-classmates-in-private-school/20160173","Eight-year-old girl raped by two classmates in Private school","mid-day",FALSE,"According to the complaint filed by her parents, another unidentified boy was also involved in the crime

An eight-year-old girl, a student of a private school in Bhopal city, was allegedly raped by her classmate, police said Thursday. According to the complaint filed by her parents, another unidentified boy was also involved in the crime.

While the police were yet to receive the girl's medical report, a special investigation team (SIT) has been formed to probe the shocking incident. The alleged incident took place near the girl's house Tuesday. The case was registered Wednesday after the girl's parents approached the police.

Additional Superintendent of Police Dinesh Kaushal said that as per the complaint, an eight-year-old classmate of the girl and another unidentified boy raped her.

""The police are interrogating the boy and his parents. ....No arrest has been made as the accused too is a minor,"" he said.

Superintendent of Police (Bhopal South) Rahul Lodha has constituted a SIT headed by a woman police officer for further probe, Kaushal added. The detailed medical report of the girl is awaited, he said.

A case of rape under IPC section 376 and under the Protection of Children from Sexual Offences (POCSO) Act has been registered at Govindpura police station."
"4","1027334624","2018-12-27","https://www.latestly.com/india/news/andhra-pradesh-shocker-chittoor-private-school-teacher-punishes-students-by-stripping-them-and-making-them-stand-naked-outside-560355.html","Andhra Pradesh Shocker: Chittoor Private School Teacher Punishes Students by Stripping Them and Making Them Stand Naked Outside | LatestLY","Latestly",FALSE,"Chittoor, December 27: In a shocking incident, a private school in Chittoor district of Andhra Pradesh punished school children by stripping their uniform and making them stand naked outside the institute's building. The school identified in reports as Chaitanya Bharathi School located at Punganur area in Chittoor has made the headlines for the teacher who went too far by humiliating the students of lower standards. While the reason behind such a brutal act is not confirmed, a few local reports are stating that the kids did not perform their homework, while others reported of them arriving late at school. IIT JEE Aspirant Commits Suicide in Kota: 3 Student Suicides in 48 Hours Shake Country's Coaching City.

No matter, what the reason is, such offensive act demands strict enquiry. The child-right activists have asked for criminal action on the management and further investigation is underway. The District Educational Officer (DEO) reported that the recognition of the private school for 2019-20 could be withdrawn. In the pictures, the students can be seen standing naked under the sun, raising both their hands up in the air outside the school building. Even after such strict laws against brutal punishments, it is distressing to come across such incidents. JKBOSE Class 12 Annual Jammu Winter Zone Exam 2018 Result Declared.

Students in our country are the hope of our country, but the rising rates of suicides and brutal punishments is a cause for concern. Time and again, such terrible cases have made the headlines, raising the urgency of strict monitor towards the school functioning. Schooltime is a precious period for the younger ones, and such horrific incidents can have a significant impact on a child's psyche. Screaming at the kids or punishing them like the recent case can never work."
"5","1025378315","2018-12-23","https://indianexpress.com/article/cities/mumbai/bmc-says-no-to-renting-out-shut-civic-school-premises-to-private-aided-schools-5506634/","Mumbai: BMC says no to renting out shut civic school premises to private aided schools","The Indian Express",FALSE,"About 14 private-aided Marathi language schools had requested the municipal corporation to give the premises on rent, as their own buildings were in a dilapidated state.

Citing a Bombay High Court order, Brihanmumbai Municipal Corporation (BMC) refused to provide buildings of shutdown municipal schools to private-aided schools for holding classes.

About 14 private-aided Marathi language schools had requested the municipal corporation to give the premises on rent, as their own buildings were in a dilapidated state.

In the last five years, more than 100 BMC schools have been shut down owing to dwindling student numbers.

""We got applications from 14 such aided schools, seeking municipal schools' premises on rent. Their own buildings are in ruins. However, there is a Bombay High Court order barring to rent out any municipal school building. Hence, we have refused their plea,"" said a senior official in the Education Department.

Advertising

He added, ""Earlier, BMC had given some of the schools' rooms to non-government organisations and political organisations for educational purposes. But they started using them as offices and for non- educational activities. Due to these irregularities, somebody filed a petition in court. The court ordered the civic body to remove all such offices and keep the schools only for educational purposes.""

""The request from aided schools is genuine. Students in these schools are risking their lives. I will bring this proposal in group leaders meeting and come up with a solution,"" said Education Committee Chairman Mangesh Satamkar.

The civic body data showed that there are over 1,300 BMC schools across the city."
"7","1014045961","2018-12-09","https://timesofindia.indiatimes.com/city/ludhiana/government-school-teachers-work-to-eliminate-the-line-dividing-government-schools-and-expensive-private-schools/articleshow/67009907.cms","Government School Teachers Work To Eliminate The Line Dividing Government Schools And Expensive Private Schools - Times of India","The Times of India",FALSE,"Despite external appearances, it is not easy being a government school teacher. Over the last few years, many have been struggling for regular posts and salaries across Punjab. In the absence of assured income, they have been hard-pressed to maintain their families. Still, there are others who have not lost track of a larger purpose - students' welfare.

These teachers have come together to overhaul infrastructure in as many as 1,700 schools. Efforts are on to take the number to 4,250.

LITTLE ONES: KG classes in Government Primary School, Jhans started 2 years ago

Principals, head teachers and teachers are spearheading the change with the help of philanthropists.

Here are a few stories of faith and transformation.

Primary school teacher makes NHAI shift toll plaza

he grit, tenacity and commitment T of a government primary school teacher forced National Highways Authority of India to change its acquisition plan on Ludhiana-Chandigarh national highway, which is still being built.

LIFE IN COLOUR: Students are encouraged to be well turned out here

For 11 years, Sanjeev Kumar, a teacher at Government Primary School, Ghulal village near Samrala in district Ludhiana, worked to construct a new school building with the help of philanthropists from the village.

In July, a team of NHAI officials told him to vacate the school in two months.

""The NHAI planned to build a toll plaza here. They needed to widen the road for this and the school building was in the way. Over the past decade, we spent around Rs 26 lakh to construct the new building. When I told village residents, they were shattered,"" says Sanjeev Kumar.

Kumar first approached the district education officer and sent a message to secretary, education Krishan Kumar.

""He called me immediately. I went with a few village residents who have been helping us. As we sat there, he sent a letter to the Ludhiana deputy commissioner, asking him to do everything possible to save the school,"" Sanjeev recalls.

Ludhiana DC Pardeep Aggarwal sent SDM, Samrala and other officials to the school. The SDM called NHAI officials to the school. I heard the SDM telling NHAI officials that the school had to be saved at any cost and NHAI officials were asked to shift the toll plaza,"" he says.

Sanjeev pursued the issue till NHAI issued a fresh notification in October saying that the toll plaza would be shifted.

It is an incident secretary, education Krishan Kumar will not forget anytime soon. ""I could see his desperation and determination to save the school. Village residents were also committed to the cause. Such teachers deserve complete support. The Ludhiana deputy commissioner also took great interest in the endeavour and we are all happy with the result,"" he says.

Education dept steps in

It is remarkable that despite their tough circumstances, government school teachers are trying to bring about a qualitative change in their institutions.

""I learnt that a few teachers in the state improved their schools on their own, because of which more students got enrolled. In February, we called a meeting of such teachers. As they spoke about their experiences, we thought the idea was worth replicating across the state and called on principals and teachers to volunteer,"" says Krishan Kumar.

The officer pursued reforms in the education department during his previous stint as director general, school education for almost three years.

""By July, we had 425 schools with buildings turned into learning aids, improved infrastructure, amenities and sports facilities. The idea was to improve students' learning experience. We fixed the ambitious target of ""Mission 4,250"" by the beginning of the next academic session and asked these 425 teachers to motivate their friends and relatives in 10 other schools. Already, 1,700 schools have accomplished the task,"" he says.

According to the secretary, education, these teachers and communities are the biggest stakeholders in improving educational standards.

""Social accountability is much more result-oriented than departmental accountability,"" he said.

Incentives offered to teachers include transfer of choice, promotion and good ACR. ""All these benefits are non-monetary and the huge improvement in schools is without any extra burden on the state exchequer,"" Kumar adds.

Govt primary school, Jhans, Hoshiarpur

The school had just 17 students when Narinder Arora and his wife Manjit Kaur, both ETT teachers, joined in 2006. Now, there are 224 students. In an act that inspired trust, the couple got their daughter enrolled in the same school.

""There was nothing going for the small school but we decided to do everything possible to set things right. Apart from enrolling my daughter here, we motivated a few friends and fellow teachers to enroll their children as well. We assured them that their children's education or overall development would not suffer. Rather, we said they would see a marked improvement. My son is a UKG student here,"" said Narinder.

The teachers' dedication showed in exam results and students' performance in co-curricular activities.

""Soon, educated families also started sending their children to the school. We also had our own uniform,"" says Narinder Arora.

With this, village residents started pooling money for infrastructure upgrade. ""Philanthropists opened their hearts and pockets to us. Jalandharbased Satpal Singh Multani constructed two rooms. Jagjeet Singh

Government Primary School, Nathewal

The Mathematics room in the school is its latest addition. The walls of the verandah have pictures of donors and those of well turned out students on a board with the title, Ajj De Sohne Bache (the smart children of today).

""We write names of five children on this board every day to inspire the children to remain clean,"" says teacher Ajmer Singh who started the transformation in 2007.

""When I joined the school, two snakes were found in the storeroom,"" he recalls. It is now an office.

Outer walls and walls inside the classrooms have paintings, poems and messages painted on them. ""We want to attract students. Coming to school should be a pleasant experience for them,"" he says. It has worked with the children. ""Tanvi, a Class II student sustained an injury on her Jeeta and his family in the village opened their house for us to accommodate 100 students as the school did not have enough space,"" Arora said, estimating that people spent around Rs 15 lakh to Rs 20 lakh on the school.

Two years back, they started kindergarten classes on the lines of private schools. ""Now, we get children in nursery and have around 125 kids in kindergarten,"" he says. In June, Arora was promoted as master in a secondary school.

""It was very difficult for me to leave the school and children. Residents literally pleaded with me to stay. When a village elder asked me to stay in a choked voice, I decided to decline the promotion. After this, village residents provided 56 marlas of land to the school and raised a boundary wall. Now, we have enough space,"" he says, adding that they need the education department to provide more teachers as the strength of students is increasing.

""NRIs and other villagers have helped to improve the school. Now, the entire village is involved. People from other villages also come to get their children enrolled here. We have transferred 56 marlas of land to the school. If the number increases, we will provide an acre-and-a-half more of Panchayat land to the school,"" says Jagjeet Singh.

finger last year. But she came to school the next day,"" Ajmer says. According to him, NRIs and philanthropists from outside the village pitched in and around Rs 22 lakh has been spent so far.

""Apart from improving the amenities, I have been focusing on the core issue - improving learning outcomes among students,"" he adds. The school has a sprawling park and playground. Students have mid-day meals on tables with granite tops.

Rurka Kalan (Jalandhar)

The village has two government primary schools - one for girls and one for boys. In ambience and facilities, these schools could give private schools a run for their money.

Walls of both government primary schools have been turned into learning aids for children. They also have libraries and reading rooms. The girls' school also has an LCD screen to screen educational programmes.

""When I joined on July 1, 2006, the school building was in bad shape, with doors and windows missing. There were around 80 students but not a single bench. The first thing to do was to get desks for students before winter. The Youth Football Club of Rurka Kalan, which is working to promote football in the area, helped us procure desks at a cost of Rs 50,000,"" says school teacher Sanjiv Kumar, the man behind the transformation.

This was just the beginning. Over the years, infrastructure, education and sports in the school were upgraded.

""Philanthropists spent Rs 19 lakh on the school. With the way things have come up, more donors are volunteering,"" he says.

At Government Primary School for Girls, Buta Ram, who was promoted as centre head teacher and shifted to the boys' school a few days back, brought about the transformation.

""My daughter studies in this school. After I joined here in 2013, we managed to mobilize resources and undertake works worth around Rs 22 lakh,"" he says.

The school has its own logo and calendar. Numbers and letters are painted on the walls and a park based on the theme of mathematics is being constructed. Sanjiv and I are competing with each other to improve our schools,"" smiles Buta Ram.

Both schools have well-furnished and neat kitchens to cook mid-day meals.

The boys' school is in stark contrast with the street. The backyard of the adjoining senior secondary school is also overrun with weeds like a dark reminder of how things used to be and what could happen if these efforts are not sustained.

SETTING AN EXAMPLE

Secretary education, Krishan Kumar gets pictures from the pathbreaking schools. Every day, he picks the picture of one school and forwards it on WhatsApp groups of the education department. This motivates the others and generates healthy competition. The schools are promoting extra-curricular activities and helping students speak English

TAKING THE LEAD

As school infrastructure is improved, teachers feel more motivated. They share ideas and help each other even while competing. Sometimes, we spend from our own pockets as bonding with schools and children has improved,"" says Ashok Basra, principal, Government Senior Secondary School, Jamsher Khaas near Jalandhar.

He has now been asked to guide other schools in the district"
"8","1013318530","2018-12-07","http://www.newindianexpress.com/cities/bengaluru/2018/dec/07/parents-activists-upset-say-govt-buckled-to-private-school-lobby-1908329.html","Parents, activists upset, say govt buckled to private school lobby","The New Indian Express",FALSE,"BENGALURU: The decision taken by the state government to bring amendments to the existing Right to Education Act (RTE) by giving priority to admission at neighbourhood government schools, has drawn opposition from parents and RTE activists.

Just a day after the amendments were approved by the cabinet, several RTE activists threatened to stage a protest if the government tried to implement them. BN Yogananda, general secretary of the RTE Students and Parents Association, said, ""It clearly shows that the government yielded to pressure from the private school lobby. If the government dares to place it at the upcoming assembly session, we will be forced to take to the streets and fight for the rights of children.""The association will fight the issue legally, he said.

Another parent said, ""My daughter is studying under RTE quota at a private school. Being an auto driver RTE helped me admit her to a private school. I want the same for my younger one.""

However, private schools welcomed the move.Subject experts feel that what the government is trying to do is according to the Act, but at the same time, it should ensure implementation of Sec 12 (12) of the RTE Act, which mandates that private unaided schools should provide education for weaker sections.

Dr VP Niranjanaradya, an expert on the issue said, ""I welcome this, but private unaided schools which have taken substantial benefit in terms of land and other facilities, should provide admission for weaker sections within the neighbourhood, and the state is not obliged to reimburse them. Delhi implemented this in 2004."""
"9","1013176819","2018-12-07","https://scroll.in/latest/904917/delhi-government-withdraws-recognition-of-private-school-for-hiking-fee-without-approval","Delhi government withdraws recognition of private school for hiking fee without approval","Scroll.in",FALSE,"The department has ordered Mount Carmel School in Dwarka locality to stop fresh admissions for the academic session 2019-'20.

The Delhi government's Directorate of Education on Thursday issued an order withdrawing the recognition of a private school in Dwarka locality for allegedly violating land allotment terms by increasing its fee without prior approval, The Indian Express reported. The order will come into effect from April 1, 2019.

The department said it had ordered Mount Carmel School in Dwarka's Sector 22 to stop fresh admissions for the academic session 2019-'20. The school is a Christian minority institution run by the Mount Carmel School Society.

According to the order, private unaided recognised schools in Delhi operating on land allotted by government agencies cannot increase fee without prior approval of the director of education. After a Delhi High Court verdict, the directorate had sought online proposals for the year 2016-'17 from schools that wanted to increase fee.

Mount Carmel School was issued a showcause notice in February 2016, citing non-compliance, after the school hiked fee by 25% without seeking the director's approval. However, the school contended that the directorate order was not applicable to minority schools and that Mount Carmel was being run on land allotted to it at institutional rates, minus any concession.

School principal Michael Williams said they would approach the court and seek legal relief. ""In 1998, the school land of Rs 1.5 crore was acquired for Rs 1.6 crore, which was not a concessional rate,"" he said. ""This is unfortunate, as under the Delhi School Education Act and Rules, 1973, the DoE [Directorate of Education] cannot cancel recognition of minority schools.""

Williams told PTI: ""Though we have not received the notice yet we have got to know about it from media reports. We urge the students and parents to not panic and assure that we would come out clean.""

The government has also issued notices to three other schools and directed them to refund to parents the extra fee they charged between 2006 and 2011, along with 9% interest, The Times of India reported. These include Bal Bharati School in Dwarka, St Marks Senior Secondary School in Meera Bagh, and Springdales, Dhaula Kuan."
"10","1012789763","2018-12-07","https://www.latestly.com/india/education/govt-school-in-meerut-is-better-than-any-private-institution-in-town-students-thrive-to-get-admission-527032.html","Govt School in Meerut Is Better Than Any Private Institution in Town; Students Thrive to Get Admission | LatestLY","Latestly",FALSE,"Parents are always concerned about their children getting a quality education. In a bid to that, many of us choose private over the government schools because of undeniable reasons. But not everyone can admit their child to the private institutions due to its high annual fee charges. Hence, they end up in government schools. Sadly, time and again even after the government's constant effort, the govt-run schools have disappointed the educators with its lack of facilities. This is not the case with Meerut. Reportedly, a government school in the town is more preferred among parents and students than any other private institution. Mount Carmel School in Delhi Loses Recognition Over Fee Hike.

Primary School-1 in Phaphunda is appearing in the headlines for its ""money-back policy."" A 2016 recipient Vidyalaya Puraskaar, this school returns the money if they are not satisfied with the performance of their wards. According to TOI, the Primary School-1 ask the parents to send their kids studying in private institutions to their school for three months. And if they find no improvement in their child, they pay back the fees. The Principal Kausar Jahan reported that she visits every home personally to convince the parents to send their kids to the school and also announce schemes on the public address system.

The block education officer of Meerut, Charan Singh was quoted in the same report, ""The school has been doing very well since last few years. During his visit to the school last week, the district magistrate gave an appreciation letter, saying he was happy to interact with the kids. In other schools, we have to try hard to engage with the students. But the situation is completely different here. The quality of education here is the best in the district."" Gujarat GSHSEB Class 10 & 12 Board Exam 2019 Timetable Announced.

With their unique approach and quality education, the school which had 190 students in 2014, has seen a massive improvement. In the last four years, the principal reported that the number of students has doubled. Talking about the interior, the school has an activity room with a projector, a laptop, a printer and colourful flex board with cartoons. Besides, the parents have also seen progress in their child and even recommends other families to shift their children from the private school. Today, where quality education has only become expensive, we need more institutions like Primary School-1 across for the betterment of our future generation."
"11","1012502337","2018-12-07","https://www.dnaindia.com/delhi/report-4-year-old-girl-assaulted-in-private-school-in-outer-delhi-2693031","4-year-old girl assaulted in private school in outer Delhi","Daily News and Analysis (DNA) India",FALSE,"A 4-year-old girl was allegedly sexually assaulted inside a private school in outer Delhi's Ranhaula area on Wednesday. Following the incident the family members of the girl along with the locals staged a protest at the school and damaged the school property on Thursday morning.

According to the police, the parents of the minor girl have filed a police complaint alleging their daughter sexually assaulted by her classmate or someone else following which the school was ransacked by angry locals on Thursday morning at around 9 am on Thursday.

""On Wednesday evening, we had received a complaint at Ranhola police station from the mother of the girl alleging that her daughter was 'inappropriately touched' by another four-year-old or may be by any other person. We are yet to recognise the accused,"" said Seju Kuruvilla, Deputy Commissioner of Police (outer).

Police said that a case under section 6 of the Protection of Children from Sexual Offences Act (POCSO) has been registered and medical of the victim has been conducted.

""While on Thursday, locals along with the victim's family gheroed the school and ransacked the building breaking the windows of the school. A team was rushed to the spot and it brought the situation under control,"" said Kuruvilla.

The windows and gates of the school were shattered by the mob and even the desks inside the classrooms were broken down. It is also alleged that during the protest, the mob even physically assaulted the school staff and even manhandled the principal.

The police used mild force to disperse the mob after which the situation was under control. The police said a probe has initiated in this regard.

Similarly, a similar case was reported in November last year from a private school in Dwarka in which a four-year-old boy was booked for sexually assaulting his classmate with his finger and a pencil.

The angry parents carried out a protest. The windows and gates of the school were shattered by the mob and even the desks inside the classrooms were broken on Thursday"
