"","ID","date","url","title","source","duplicate","body"
"1","962700677","2018-10-06","https://timesofindia.indiatimes.com/city/kolkata/put-cctv-panic-button-in-all-school-vehicles/articleshow/66093714.cms","'Put CCTV, panic button in all school vehicles' - Times of India","The Times of India",FALSE,"KOLKATA: The Howrah City police on Friday directed all pooled cars and buses ferrying schoolstudents to install CCTV cameras in their vehicles and panic buttons that kids can press in distress. This comes a day after a Class-VI girl was allegedly raped by the pooled car driver and cleaner. The cops have also demanded details of all the cars and buses ferrying students.

""We have asked all schools to provide us with detailed lists of cars and buses ferrying students. We are preparing advisory for operators, schools, students and their parents. After the Puja, we will meet all the school authorities to ensure the rules are implemented."" said deputy commissioner (headquarters) of Howrah City Police Ranendranath Banerjee.

In Kolkata, the police are supposed to carry out background check of pooled car and school bus crews and bar vehicles that don't meet basic fitness measures from ferrying kids. The instructions issued about six months ago after consultations with transport department state only drivers and helpers whose antecedents have been verified should take the driver's seat. As a thumb rule, rickety vehicles and drivers without a valid licence were not allowed to ferry students. ""While CCTV cameras in the vehicles should be ideal, we want the pooled car association to start a GPS tracking system, especially in cars for lower-primary students,"" said an officer. Citing an example of a vehicle ferrying students being confiscated by the Jadavpur traffic guard at the Sukanta Setu-Raja SC Mullick Road crossing, the police said they had taken action against a dozen such vehicles across Kolkata. ""The pooled car association has always extended a helping hand and supported our move to ensure security of students,"" claimed a Lalbazar officer overseeing the crackdowns.

However, several cops at the different police stations and traffic guards that TOI spoke to claimed vigilance was not always tight. They cited two reasons: punctuality of pooled cars being of vital importance, the vehicles were hardly stopped unless there was a specific complaint and secondly, the crackdown drive had to follow certain mandates laid down by the SC and that was not possible without the transport department joining in.

Pool Car Operators' Welfare Association general secretary Arupam Dutta said, ""We depend on the referral system before appointing a driver and cleaner. We understand the gravity and sensitivity of such cases. But such criminal acts shatter the faith the parents' faith. We want to appoint woman attendants on all school vehicles but there is a demand-supply issue."""
"2","954607602","2018-09-25","https://www.news18.com/news/india/install-cctv-cameras-in-school-vehicles-or-affiliation-will-be-cancelled-uttarakhand-hc-1889065.html","Install CCTV Cameras in School Vehicles or Affiliation Will be Cancelled: Uttarakhand HC","News18",FALSE,"Dehradun: The Uttarakhand High Court on Tuesday ordered private schools to install closed-circuit television (CCTV) cameras in every transport ferrying schools students, the footage of which to be monitored by the Principal or Vice Principal.

This comes days after a three-year-old girl was allegedly molested in a school bus by the driver and conductor in Nainital's Kathgodam area. The duo was arrested on Friday evening.

A division bench of acting chief justice Rajiv Sharma and Justice Sharad Kumar Sharma gave a slew of directions to the public schools for maintaining a safe environment for the students. The orders came while disposing of a writ petition filed by Aklema Parveen highlighting the 'insensitivity' on the part of the school while dealing with the victim.

The court said that the incidents of molestation are reported frequently and the state administration should have taken necessary remedial steps to address the issue by now.

The division bench further directed schools to make it mandatory for the school buses and vans to have female staff in them.

""Schools must provide their students with GPS enabled identification cards to trace their location. Not just ID cards, but buses and vans should also be quipped with GPS tracker systems,"" the bench said.

Besides, to enhance the safety of students within and outside the premises of the schools, parents should be informed through SMS after picking up and dropping off their children, the court said.

Uttarakhand is known for its renowned public schools located across Nainital, Mussoorie and Dehradun. However, the reputed schools have often failed to maintain security for the students.

Recently, six people, including the staff, from one of Dehradun's well-known schools were arrested for covering up an incident of gang rape of a teenager.

The High Court underlined that the district authorities shall regularly monitor the CCTV footage in private schools and the school management must abide by its directives, otherwise, the court shall recommend cancellation of affiliation of the errant schools."
"3","954349303","2018-09-25","https://www.hindustantimes.com/pune-news/child-sexual-abuse-pune-police-obtain-cctv-footage-say-it-has-evidentiary-value-against-school-principal/story-NQhOqvIVhqYPEZXAWkNxjJ.html","Child sexual abuse: Pune police obtain  CCTV footage, say it has 'evidentiary value' against school principal","Hindustan Times",FALSE,"The Wanowrie police have recovered close circuit television (CCTV) footage in the sexual abuse case of a 14-year-old student by the school principal of prominent English medium school in Fatimanagar. According to the complaint, a pornographic video was shown to the victim after which he was sexually abused by the principal in his chamber.

Investigating officer Girija Mehetre said, ""We have obtained CCTV footage from the school which has evidentiary value to nail the accused in the crime committed. The investigation is on and I cannot comment much as it is a very sensitive case.""

Former corporator Maruti Bhapkar and social activist Dominic Lobo have demanded that the head of the institution/ trust in the case must also be booked under the Protection of Children from Sexual Offences Act (POCSO Act) . The head of the institute was bound to inform the police about the heinous act, which he did not do in this case, they alleged during a media conference. They also issued a detailed release in the case stating that the police was under a lot of pressure from powerful sections of the society. The duo has petitioned the highest levels in the government demanding strict action against all those who were shielding the culprits.

The police said that principal, who is also a priest, was involved in a similar case in the past. The Catholic church authorities had then put the suspect under three years of ""house detainment"" at the time, investigating officials told the Pune court, seeking custody of the principal.

According to the police, the accused principal was on his way to Ahmedabad when he was arrested from Mumbai on Wednesday, for allegedly sexually abusing a Class 9 student and showing the student a pornographic video.

According to the complaint, it was on March 10 that the accused serving as principal in the Pune school, first abused the student in his chamber. On March 12, the principal then allegedly showed him a pornographic video clip. This was in the rest-room when the student was alone."
"4","924044156","2018-08-13","https://www.outlookindia.com/website/story/teacher-brutally-beats-class-x-student-in-rajasthan-government-school-caught-on-/314939","Teacher Brutally Beats Class X Student In Rajasthan Government School, Caught On CCTV","http://outlookindia.com/",FALSE,"A physical education teacher in Rajasthan's Dausa district was put on awaited posting order after a video purportedly showing him beating a student in classroom surfaced on social media on Sunday.

In the video, the teacher, Jagmohan Meena, is seen repeatedly slapping the class 10 student of Swami Vivekanand Model School in Deedwana village.

A complaint was filed against the teacher by family members of the student yesterday. An investigation has been initiated in the case, SHO, Lalsot police station, Rajendra Kumar said.

He added the police was investigating what led the teacher to beat up the student.

Additional district education officer Manisha Sharma said the accused teacher has been put on the awaited posting order (APO).

An appropriate action will be taken after the investigation by the education department, she said.

PTI

Continue FREE with Ads Pay Rs. 1 to Read Without Ads"
"5","921673267","2018-08-08","https://indianexpress.com/article/cities/delhi/weeks-after-sexual-assault-probe-panel-flags-cctv-gaps-at-greater-noida-school-5298409/","Weeks after 'sexual assault', probe panel flags CCTV gaps at Greater Noida school","The Indian Express",FALSE,"Written by Sukrita Baruah | New Delhi | Published: August 9, 2018 2:24:39 am Weeks after 'sexual assault', probe panel flags CCTV gaps at Greater Noida school Letter from Uttarakhand: Confiscate baseball bats from kanwarias, keep eye out for drugsDelhi: Day after kanwaria rampage in police presence, few leads, FIR without namesDelhi: 109 malaria, 56 dengue cases reported this season

Close to a month after a three-year-old child was allegedly sexually assaulted in a prominent Greater Noida school, the panel which conducted a magisterial enquiry of the school premises has pointed to gaps in the CCTV system, and stated that CBSE's safety instructions are not being followed completely. It has also drawn a list of 12 suggestions to improve security at the school.

On July 14, a helper at the school's swimming pool was arrested for allegedly sexually assaulting a nursery student, following which the District Magistrate formed a committee to look into whether the school followed standard safety procedures.

The panel has reported that there is only one CCTV camera in the vicinity of the swimming pool, and it points towards the pool and not the entry to changing rooms. It also pointed out that certain parts of the school are not covered by cameras, and the school lacks a system for monitoring the feed.

According to the report, there are four screens in the principal's office which can switch between footage from four cameras, while the designated monitoring office has only one screen which can display footage from one camera. The report states this is sufficient for random checks but not for continuous monitoring.

It also stated that the school does not have a formal record of its outsourced staff members and that it has not appointed a security or vigilance officer.

Suggestions by the committee include: the school should have dedicated staff to monitor CCTV feed; only female staff should be present in places like toilets and swimming pool; every staff member should have police verification; clear and honest communication between the school management and guardians is necessary.

Must Watch DMK supporters react to Karunanidhi's death Muthuvel Karunanidhi: Looking back at his life in active politics for over seven decades Seven countries are home to over half the world's population: News in Numbers Dialogue Baazi With Maniesh Paul Start your day the best way with the Express Morning Briefing"
"6","913192103","2018-07-26","http://www.dnaindia.com/india/report-caught-on-cctv-camera-school-teacher-slaps-student-12-times-in-surat-2641988","Caught on CCTV camera: School teacher slaps student 12 times in Surat","Daily News and Analysis (DNA) India",FALSE,"A 12-year-old student was slapped and kicked by a school teacher mulitple times in Udhana in Gujarat's district. A video footage of the incident captured on CCTV installed in the classroom is doing rounds on the internet. The video of Little star School in Udhana shows the teacher brutally bashing the student and is also seen kicking him once. The merciless act of the teacher is evoking angry response and comments from people on social media.

The young boy was slapped and kicked over 12 times in the video. The incident came to light when the young boy, on Wednesday, informed his parents about it after returning home from school. The boy's parents have demanded strict action against the accused teacher.

CCTV Footage: Teacher beats up student mercilessly in Surat, Gujarat - WATCH pic.twitter.com/z25m80wknT

-- Zee News (@ZeeNews) July 26, 2018

In to the video, the teacher can be seen holding the student from his collar and then starts to slap him in the class. The private school teacher is seen using his hands to thrash the student slapping him multiple times.The teacher is also seen kicking the young boy. All this was caught on the CCTV camera installed inside the classroom.

""The parents and the school teacher have reached a compromise and no complaint has been registered so far. Police's role comes in this issue only if the parents lodge complaint,"" said a police officer at Udhna police station."
"7","899686306","2018-07-05","https://www.indiatoday.in/india/story/2-year-boy-sexually-assaulted-in-kolkata-father-suspects-school-deleted-cctv-footage-1278008-2018-07-05","2-year boy sexually assaulted in Kolkata, father suspects school deleted CCTV footage","India Today",FALSE,"FIR filed against unidentified individuals under POCSO sections

A two-year old boy allegedly suffered sexual assault in a south Kolkata school on Monday, and his father suspects its management deleted CCTV footage that could shed light on what happened.

IndiaToday.in accessed copies of the man's written complaint, the boy's patient card, and the first investigation report - which lists sections of the Protection of Children from Sexual Offences Act (POCSO) Act, 2012. The FIR was filed against unidentified individuals.

The boys's father says his wife found him ""crying very badly"" when she went to bring him home from school on Monday. When she discovered, later, that his ""internal parts [were] bleeding"", they sought medical opinion.

""After that night, we visited his doctor, and he mentioned that someone inserted some object in his private part, and his rectum is swollen,"" the father recalls in his complaint. On July 4, he says, another doctor -- a child specialist -- confirmed ""the abnormal behaviour"", and was ""shocked"" and ""stunned"".

According to the complaint, when the boy's parents asked the school's principal for CCTV footage, she told them the equipment hadn't been working properly since June 26.

She said the school didn't have footage from the time period between June 26 and July 2 (Monday), and ""also mentioned that nothing has happened in the school"", the father says.

MAGAZINE | For kids' sake: The dark underbelly of child abuse

""There are healthy chances that the management/administration of the school intentionally deleted the footage to cover something had happened to my son [sic] as they were unable to produce the asked video footage.""

""My son is traumatised and crying"" and can't ""walk properly because of the pain"", he says.

And when he signed his name, he added the words: ""A helpless father"".

WATCH | Death penalty for child rapists: Deterrent or knee-jerk reaction?"
"8","898181852","2018-07-02","https://indianexpress.com/article/india/mandsaur-rape-assault-case-school-cctv-not-working-footage-sourced-from-elsewhere-to-crack-case-5243281/","Mandsaur rape-assault case: School CCTV not working, footage sourced from elsewhere to crack case","The Indian Express",FALSE,"Written by Milind Ghatwai | Mandsaur | Published: July 3, 2018 3:55:22 am The family alleged that the girl's school did not want to bring police in the picture.

On June 26, the family and relatives of the seven-year-old rape and assault victim in Mandsaur, Madhya Pradesh, had looked at all possible places she could have gone after school - and even alerted relatives in nearby villages and towns to look for a schoolgirl in uniform - before they approached the police around 8.30 pm to file a missing person's complaint. The family alleged that the girl's school did not want to bring police in the picture.

While the two main accused were arrested the following day, and reportedly confessed to the crime, the police said the family informed them late, which may have affected the search for the girl.

Superintendent of Police (City) Rakesh Shukla, who is leading the special investigation team (SIT) in the case, said police were informed at least an hour-and-a-half late. He said the school could not provide CCTV footage so the police sought footage from shops and houses in three lanes leading to the school.

READ | Mandsaur gangrape victim better, parents want school to answer

Kotwali Police Station in-charge J S Yadav also accused the family of reaching the police late. He claimed the police swung into action immediately, beginning by searching the school's washrooms and storerooms to see whether she had fallen asleep. The police checked deras of the Banchhada community, which has traditionally practised prostitution, by alerting police stations and shared her picture with gram raksha samitis (village committees).

Yadav said the police had even passed by the spot, off Laxman Darwaja Road in Mandsaur, where the victim was eventually found around noon on Thursday - raped, her throat slit, and left to die.

Doctors said her condition is fast improving -- she has started eating semi-solid food and walked a few steps on Monday. Dr V S Pal, superintendent of Indore's M Y Hospital, where she is recuperating, told the media that she could soon be moved out of ICU.

Also read | Rahul Gandhi: 'Brutal rape of 8-year-old in Mandsaur is sickening, must protect our children'

Her family said they did not approach the police because they did not imagine anything untoward initially. Her grandmother, who was late in fetching her from school on June 26, said, ""In case I got late she used to wait for me on the bench. When she was not there (that day), I thought someone else -- probably her father or a cousin -- had taken her home.""

But as they failed to trace her, soon nearly 25 or 30 members of the extended family were involved in the search, a cousin said.

""We even checked the last train, and were in touch with acquaintances in Sitamau, Neemuch and Pratapgarh (in neighbouring Rajasthan) through the night... nothing helped,"" the victim's uncle said. He said they could have traced her ""much before if the school's CCTV was working"".

The footage that led to Irfan's arrest on June 27 was sourced only after 2.30 pm, more than two hours after a boy had found the victim walking, dazed. This boy brought her to the road when a man passing by noticed them, and two policemen who were nearby reached them, officers said.

The police learned about the possible suspect through informers. Irfan was taken into custody late that night. Shukla said Irfan was wearing the same shoes as seen on the CCTV footage.

Although the police had also taken Asif, 24, into custody early on June 27, the arrest was made official only on Saturday. The SIT chief said both accused have confessed to the crime."
"9","831896229","2018-03-15","https://www.indiatoday.in/india/story/school-van-mows-down-4-year-old-in-vellore-tragedy-caught-on-cctv-1189874-2018-03-15","School van mows down 4-year-old in Vellore, tragedy caught on CCTV","India Today",FALSE,"A private school van crushed a four-year-old while he was playing near his home. The incident occurred on March 13. The van was dropping children after

A private school van crushed a four-year-old while he was playing near his home. The incident occurred on March 13.

The van was dropping children after school when it crushed the child. A CCTV has caught the tragic incident where the van is seen crushing him under its left tyres.

The child was left bleeding and eventually died on the road. The police have initiated an investigation, however it is also being repeatedly insisted that drivers who operate school vehicles need to be extremely cautious to avoid such accidents which are on the rise in the state."
"10","813547991","2018-02-15","https://www.indiatoday.in/india/video/cctv-footage-captures-how-gurgaon-school-bus-was-attacked-during-padmaavat-protests-1160151-2018-02-02","CCTV footage captures how Gurgaon school bus was attacked during Padmaavat protests","India Today",FALSE,"New CCTV footage has emerged from the bus which was carrying 25 students of GD Goenka World School, Gurgaon was attacked on January 24 with stones and bamboo sticks, a day before the release of 'Padmaavat.'

The incident took place at Sohna road, Gurgaon when a group of 60 Karni Sena activists attacked the bus.

No injuries were reported and all kids were sent home safely. Following which many top-notch schools in Gurgaon were closed on January 25.

An RBSM Public school child says such incidents should not take place especially on a bus carrying students. It is an act of wrongdoing."
