"","ID","date","url","title","source","duplicate","body"
"1","1027024658","2018-12-26","https://kashmirobserver.net/2018/city-news/school-association-rules-out-charging-exorbitant-fee-39005","School Association Rules Out Charging Of Exorbitant Fee","Kashmir Observer",FALSE,"SRINAGAR -- Jammu and Kashmir Joint Coordination Committee of Private Schools (JKJCCPS) Wednesday said the private schools don't charge fee or hike it arbitrarily but fol­low the fee that is approved by Fee Fixation Committee. The Associa­tion said that the fee was charged after examining and scrutinizing its income and expenses. President JKJCCPS Showkat M Chowdhary said the Fee Fixation Committee, as per the High Court directions, approves the fee for a full calen­dar year and not on monthly basis. He said the schools submit all the documents, income and expenses attested by Chartered Accountant, undertakings and declarations to the Fee Fixation Committee on the basis of which the fee is fixed.

""The private schools hire staff on yearly basis who are provided salary and provident funds for full year. No school hires staff as daily wagers. Accordingly, the schools charge tuition for full calendar year. The schools also make it sure that the teachers and other staff are paid properly. They also upgrade its in­frastructure and other facilities on regular basis in an effort to impart quality education to the students so that they can compete not only at state or national level but at in­ternational level."" About the trans­portation charges, JKJCCPS said the private schools charge for only 10 months even though they provide salary to the drivers and conductors for full year. ""Besides other charges including road tax, insurances are also borne by the schools for 12 months and there is no exemption from any authority or company to schools for the school buses dur­ing winter months. The schools only save fuel during the winter months on the basis of which only 10 months transportation fee is charged from the parents."" JKJCCPS said transport facilities are provided to the students on no profit no loss basis. ""This facility is for the smooth transportation of the students so that they reach the schools and re­turn back home on fixed times. It is neither prudent to say that schools will ply buses on losses.""

JKJCCPS said it is not mandatory for the parents to avail transport facility. ""If parents feel the trans­port is not viable, they can opt out of this facility and drop the students at schools on their own."" It said the Coordination Committee has al­ready given clear-cut instructions to the schools not to charge arbitrarily or make unnecessarily charges.

""We have also urged parents to register their complaints with the Coordination Committee for its prompt redressal."" JKJCCPS urged parents no to resort to media trails instead seek better education for the wards. ""In today's modern world when competition is very high for the students, parents should ex­hort upon the school management to further upgrade infrastructure in terms of latest teaching aids and other facilities which should be in­tegral part of class room.""

JKJCCPS further urged parents' association to sit with coordination committee over the issue and clear doubts, if any, regarding the fee charged from the students.

""We believe that media trials will serve no purpose but only hamper the school functioning and derail our effort to impart quality educa­tion. We will also like to invite me­dia for open discussion and clear any doubts on the matter so that we focus on providing quality education to the students and help parents lay a strong foundation of their children."""
"2","1018315380","2018-12-14","https://swarajyamag.com/insta/kerala-school-management-association-expels-general-secretary-over-fund-appropriation-without-cbse-permission-2","Kerala School Management Association Expels General Secretary Over Fund Appropriation Without CBSE Permission","swarajyamag.com",FALSE,"Kerala CBSE School's Management Association has removed its General Secretary Indira Rajan and working president G Rajmohan from their posts due to allegations of misappropriating funds, reports Times of India.

The duo allegedly organised a sports meet without the prior permission of CBSE and even sent letters in the name of the education body. They promised certificates to the students, collecting participating amount from them.

The association president T P M Ibrahim Khan said, ""They again planned to organise a similar event this year. The association has intervened and written to both Centre and state governments, following which the event was stopped in November.""

Khan added that the money was not transferred through the official sports council account.

Refuting allegations, Indira Rajan said that all accounts had been settled with every single transaction done under the responsibility of the organising committee.

She sent a statement which said- ""I am personally not a party to any collection or disbursement of funds. I am open to discussing this matter in an open forum of CBSE."""
"3","980088690","2018-10-27","http://www.newindianexpress.com/states/tamil-nadu/2018/oct/27/foundation-laid-for-tamil-association-school-building-1890607.html","Foundation laid for Tamil association school building","The New Indian Express",FALSE,"CHENNAI: Chief Minister Edappadi K Palaniswami on Friday laid the foundation for a group of classrooms to be built at Mayur Vihar in Delhi which houses the Delhi Tamil Education Association Senior Secondary School. These buildings will be named as Puratchi Thalaivi Amma and the government has already contributed Rs 5 crore for the building.

The CM laid the foundation through the video-conferencing facility at the secretariat while Deputy Speaker of Lok Sabha M Thambidurai and School Education Minister KA Sengottaiyan were present in Delhi.

The Delhi Tamil Education Association has been running schools at seven places for the past nine decades to facilitate around 15 lakh Tamils living in and around Delhi. The Tamil Nadu government has been providing Tamil textbooks free of cost to these schools. The Delhi Development Authority has allocated two-and-half acres of land for more classrooms and the association has sought financial assistance from the Tamil Nadu government."
"4","960929947","2018-10-04","https://www.dnaindia.com/mumbai/report-politician-babu-nexus-to-blame-for-violation-of-rules-school-bus-owners-association-2671321","Politician-babu nexus to blame for violation  of rules: School Bus Owners Association","Daily News and Analysis (DNA) India",FALSE,"Politicians' involvement in schools' transportation business, including the running of small vans, is one of the reasons for non-implementation of central rules on allowing only 13 or more seater capacity vehicles like school buses, alleges School Bus Owners Association (SBOA).

Not just the SBOA, Parent-Teachers' Associations too allege that the state Motor Vehicle Act, allowing seven-seater vehicles including small vans to ferry school children as school bus, are in violation of norms.

Anil Garg from SBOA said, ""The main reason behind non-implementation of central rules is because of the nexus between the official concerned and politicians running this business. We even met the transport commissioner a few months back to request him to stop giving permits to small vans, but to no avail. Small vans that carry children beyond their seating capacity lead to corruption.""

Echoing the sentiments, United Forum PTA president Arundhati Chavan said, ""Our forum had gone to court demanding 13-seater school buses. The government officials permit small vans to ferry children where the seating capacity is seven. But it is not monitored well and van owners are risking the lives of children by allowing more number of students in a van. If they cannot implement rules, they should at least be vigilant about the existing rule and not allow such violations."""
"5","933806547","2018-08-28","http://www.centralchronicle.com/chronicle-reporter-bhopal-professional-social-work-students-association-and-unnat-bharat-abhiyan-team-of-the-bhopal-school-of-social-sciences-observed-international-youth-day-31-young-and-energeti.html","Chronicle Reporter, Bhopal Professional Social Work Students Association and Unnat Bharat Abhiyan Team of the Bhopal School of Social Sciences observed International Youth Day .  31 young and energetic students of the college visited three Unnat Bharat Abhiyan adopted villages of Sehore District namely, Sohankheda, Khamkheda and Lotiya. They performed street play to inspire the village youth to be a part of their village development.  Through the performance, the students showcased the pressing problems of the villagers and how each villager can contribute for the development of the village. The play emphasized upon self-sustenance and self-reliance, the idea of Mahatma Gandhi. The students also surveyed the villages in order to know about their access to basic amenities, sources of energy, water, means of livelihood, agriculture, and awareness about Government Schemes, problems of the village etc. The survey was conducted under the Unnat Bharat Abhiyan Programme. The celebration experiences as expressed by the students - ""It was a very good experience for us. Social Work is all about being down to earth. I could see people being happy though in poverty.""   -  Rohit Rathore, BA Final Year ""Through the visit we understood the problems of the villagers and also gave them some ideas to capacitate the villagers so that they could become self reliant.""       - Rinki Gurjar,  Barkha Chaturvedi found that the We can transform India by increasing the pace of development in UBA Villages.  ""For them, we were like ""Ray of Hope""""  - Nishtha Rawat. ""The visit made me confident and I could express and interact with the UBA villagers despite of language barrier. Such interventions ensure bright future of the village.""  - Smriti Tirkey ""Village life is simple but difficult. This was an amazing, learning and enjoyable experience""  - Khushboo Mishra ""With the understanding of their problems, now steps should be taken to rectify them.""  - Shaily Patel ""Small opportunity of writing names was a big reason of satisfaction for me.""  -  Sakshi Mishra ""Street play was enjoyable. We learnt their problems. Overall it was a satisfying experience.""  - Sudishna Sinha ""It was a learning experience. We could empathize with the villagers. One day in UBA village was really a refreshing experience. Nature's beauty mesmerized me."" -  Priyanshu Yadav. | Central Chronicle","Central Chronicle",FALSE,"Chronicle Reporter, Bhopal Professional Social Work Students Association and Unnat Bharat Abhiyan Team of the Bhopal School of Social Sciences observed International Youth Day . 31 young and energetic students of the college visited three Unnat Bharat Abhiyan adopted villages of Sehore District namely, Sohankheda, Khamkheda and Lotiya. They performed street play to inspire the village youth to be a part of their village development. Through the performance, the students showcased the pressing problems of the villagers and how each villager can contribute for the development of the village. The play emphasized upon self-sustenance and self-reliance, the idea of Mahatma Gandhi. The students also surveyed the villages in order to know about their access to basic amenities, sources of energy, water, means of livelihood, agriculture, and awareness about Government Schemes, problems of the village etc. The survey was conducted under the Unnat Bharat Abhiyan Programme. The celebration experiences as expressed by the students - ""It was a very good experience for us. Social Work is all about being down to earth. I could see people being happy though in poverty."" - Rohit Rathore, BA Final Year ""Through the visit we understood the problems of the villagers and also gave them some ideas to capacitate the villagers so that they could become self reliant."" - Rinki Gurjar, Barkha Chaturvedi found that the We can transform India by increasing the pace of development in UBA Villages. ""For them, we were like ""Ray of Hope"""" - Nishtha Rawat. ""The visit made me confident and I could express and interact with the UBA villagers despite of language barrier. Such interventions ensure bright future of the village."" - Smriti Tirkey ""Village life is simple but difficult. This was an amazing, learning and enjoyable experience"" - Khushboo Mishra ""With the understanding of their problems, now steps should be taken to rectify them."" - Shaily Patel ""Small opportunity of writing names was a big reason of satisfaction for me."" - Sakshi Mishra ""Street play was enjoyable. We learnt their problems. Overall it was a satisfying experience."" - Sudishna Sinha ""It was a learning experience. We could empathize with the villagers. One day in UBA village was really a refreshing experience. Nature's beauty mesmerized me."" - Priyanshu Yadav.

Chronicle Reporter, Bhopal, Professional Social Work Students Association and Unnat Bharat Abhiyan Team of the Bhopal School of Social Sciences observed International Youth Day . 31 young and energetic students of the college visited three Unnat Bharat Abhiyan adopted villages of Sehore District namely, Sohankheda, Khamkheda and Lotiya. They performed street play to inspire the village youth to be a part of their village development.

Through the performance, the students showcased the pressing problems of the villagers and how each villager can contribute for the development of the village. The play emphasized upon self-sustenance and self-reliance, the idea of Mahatma Gandhi.

The students also surveyed the villages in order to know about their access to basic amenities, sources of energy, water, means of livelihood, agriculture, and awareness about Government Schemes, problems of the village etc. The survey was conducted under the Unnat Bharat Abhiyan Programme.

The celebration experiences as expressed by the students -

""It was a very good experience for us. Social Work is all about being down to earth. I could see people being happy though in poverty."" - Rohit Rathore, BA Final Year

""Through the visit we understood the problems of the villagers and also gave them some ideas to capacitate the villagers so that they could become self reliant."" - Rinki Gurjar,

Barkha Chaturvedi found that the We can transform India by increasing the pace of development in UBA Villages. ""For them, we were like ""Ray of Hope"""" - Nishtha Rawat.

""The visit made me confident and I could express and interact with the UBA villagers despite of language barrier. Such interventions ensure bright future of the village."" - Smriti Tirkey

""Village life is simple but difficult. This was an amazing, learning and enjoyable experience"" - Khushboo Mishra

""With the understanding of their problems, now steps should be taken to rectify them."" - Shaily Patel

""Small opportunity of writing names was a big reason of satisfaction for me."" - Sakshi Mishra

""Street play was enjoyable. We learnt their problems. Overall it was a satisfying experience."" - Sudishna Sinha

""It was a learning experience. We could empathize with the villagers. One day in UBA village was really a refreshing experience. Nature's beauty mesmerized me."" -Priyanshu Yadav."
"6","857753120","2018-04-27","http://www.dnaindia.com/mumbai/report-small-school-vans-run-over-capacity-claims-school-bus-owners-association-2609016","Small school vans run over capacity, claims School Bus Owners Association","Daily News and Analysis (DNA) India",FALSE,"School Bus The mangled remains of the school bus after it was hit by a train in Kushinagar district in Uttar Pradesh on April 26 , AFP

In the wake of Thursday's school van accident in Uttar Pradesh's Kushinagar, in which 13 children died on the spot, the School Bus Owners Association (SBOA) will soon meet the transport commissioner to request disallowing vans from ferrying more students than the vehicle's seating capacity permits. The SBOA will request the transport commissioner to stop giving permits to such small vans in the city and state.

While 13 school children died, eight students suffered injuries in an accident that happened on Thursday morning at Bahpurva railway crossing. This is not the first time that students have been victim to such accidents, claimed SBOA. According to them, the reason behind such accidents is that the number of students taken in such vans is beyond the capacity. The SBOA has decided to meet the transport commissioner soon to stop issuing permits to less than 13-seater vans.

Anil Garg from SBOA said, ""We have decided to meet the transport commissioner soon to request them to stop issuing permits to small vans that ferry school children more than their seating capacity. The permits issued to small vans are for seven seats and they ferry more than that number risking their life.""

Arundhati Chavan, President of United Forum, Parents Teacher Association, said, ""United Forum has appealed in Bombay High Court to ban small vans that ferry many children. These vans are not even monitored by any authorities. Sometimes there are CNG cylinders in the boot of these vans and children keep their school bags on it which is risky as well. To avoid such cases of accidents, the government needs to wake up and ban such small vans that carry children more than their seating capacity.""

However, many parents prefer to send their children to school in such vans due to their lesser charges.

Recently, Education Minister Vinod Tawde had received a complaint letter from parents of pre-primary students going to Maneckji Cooper School in Juhu that the school was forcing them to use the school bus for the transportation of students."
"7","857153284","2018-04-26","http://www.freepressjournal.in/latest-news/bhopal-all-saints-school-built-on-govt-land-cant-hike-fees-says-parents-association/1265261","Bhopal: All Saints school built on govt land, can't hike fees says Parents' Association   | Free Press Journal","Free Press Journal",FALSE,"Bhopal: Protesting against the fee hike in All Saints School, MP Parents Association said that the school was built up on government land with an aid from Union government in 1996-97 so the management couldn't hike fees on their own. The Bhopal DEO DK Sharma said that they have received a complaint in this regard and were inquiring into it. If the school was built up on government land, they couldn't charge any money as admission fees, said Sharma.

Citing Supreme Court judgement, MP Parents Association members said that the court in its order had said that private schools built on the land allotted by the Delhi Development Authority will have to seek the government's permission before hiking fee. The court was had rejected an appeal filed by the Delhi Private School to get relief against the Delhi High Court Order of 2016. Association president Prabodh Pandey said that they have all the documents of the aid being given by the Union ministry of minority affairs in 1996 to the Kurwai Education Society that runs the All Saints School.

Meanwhile, All Saints School management has been given two-day time to file their reply in connection with complaint that over 30 students were given TCs over non-payment of hiked school fee. The parents have accused the school management of issuing TC's to their children when they refused to pay hiked fees. The school management had promised to charge Rs 1000 till class twelfth, however they are backtracking and are now increasing the fee, they argued."
"9","840460952","2018-03-29","http://www.dnaindia.com/india/report-cbse-paper-leak-delhi-school-association-questions-cbse-s-silence-2598985","CBSE Paper Leak: Delhi School Association questions CBSE's silence","Daily News and Analysis (DNA) India",FALSE,"The Delhi School Association on Thursday questioned the silence of Central Board of School Education (CBSE) chairman Anita Karwal over the issue of class X and XII board exam paper leak.

'CBSE chairman should at least give a statement, why hasn't she spoken to students and parents' This is condemnable,' Ramesh Chand Jain, President of Delhi School Association told ANI.

Jain also called on the government to put culprits behind the bars and asserted that the first step should be to set the system right.

The papers of the Economics exam of class XII held on March 26 and Maths exam of class X held on March 28, were leaked on social media hours before the examination.

In its wake, the CBSE announced a re-examination, thus causing outrage among the students who staged a protest earlier in the day at Delhi's Jantar Mantar, demanding there should either be re-examinations of all subjects or else of neither.

The CBSE Board also wrote to Delhi Police conveying that it received a complaint on March 23 about the paper leak, and that a coaching institute owner and two schools were named as the perpetrators.A police investigation into the case has been initiated."
"10","840459549","2018-03-29","https://www.oneindia.com/india/delhi-school-association-condemns-cbse-chairmans-silence-2667856.html","Delhi School Association condemns CBSE chairman's silence","Oneindia",FALSE,"Delhi School Association has demanded stringent action against the culprits who leaked CNSE exam papers and it condemned the silence of CBSE chairman even after the fiasco.

Ramesh Chand Jain, President, Delhi School Association, told ANI, "" Govt should put culprits behind the bars. First step they should take is set the system right."" Jain said, ""CBSE chairman should at least give a statement, why hasn't he spoken to students and parents? This is condemnable.""

Meanwhile, students protested at Jantar Mantar against paper leak. 'Either there should re-examinations of all subjects or else of neither.""

Addressing a press conference on Thursday, HRD Minister Prakash Javadekar said that ""this is a very unfortunate development, I understand the pain the parents and students have to go through. Whoever is involved in the paper leak will not be spared, police will soon arrest the culprits."""
"11","840457906","2018-03-29","https://www.aninews.in/news/delhi-school-association-questions-cbses-silence-on-paper-leak201803291324010002/","Delhi School Association questions CBSE's silence on paper leak","http://aninews.in",FALSE,"New Delhi [India], Mar 29 (ANI): The Delhi School Association on Thursday questioned the silence of Central Board of School Education (CBSE) chairman Anita Karwal over the issue of class X and XII board exam paper leak.

""CBSE chairman should at least give a statement, why hasn't she spoken to students and parents? This is condemnable,"" Ramesh Chand Jain, President of Delhi School Association told ANI.

Jain also called on the government to put culprits behind the bars and asserted that the first step should be to set the system right.

The papers of the Economics exam of class XII held on March 26 and Maths exam of class X held on March 28, were leaked on social media hours before the examination.

In its wake, the CBSE announced a re-examination, thus causing outrage among the students who staged a protest earlier in the day at Delhi's Jantar Mantar, demanding there should either be re-examinations of all subjects or else of neither.

The CBSE Board also wrote to Delhi Police conveying that it received a complaint on March 23 about the paper leak, and that a coaching institute owner and two schools were named as the perpetrators.

A police investigation into the case has been initiated. (ANI)"
