"","ID","date","url","title","source","duplicate","body"
"1","1000490395","2018-11-22","https://www.hindustantimes.com/india-news/school-colleges-closed-amid-heavy-rain-prediction-in-chennai/story-BybxkCkgYmW7Xflxc1j1nK.html","School, colleges closed amid heavy rain prediction in Chennai","Hindustan Times",FALSE,"Pedestrians walk with umbrellas during heavy rain in Chennai on November 21, 2018.(AFP)

Authorities declared a holiday for all schools and colleges in Tamil Nadu's Chennai district on Thursday following a prediction of incessant rainfall in the region, a week after Cyclone Gaja hit the state.

""Intermittent rain or thundershower is likely to occur in and around Chennai likely heavy at times,"" the Regional Meteorological Centre in Chennai said.

""The sky condition is likely to be generally cloudy. Intermittent rain or thundershower, heavy at times is likely to occur,"" it said in its prediction for the state capital.

Last year, heavy rains had lashed Chennai throwing normal life out of gear in the first week of November.

Cyclone Gaja, which slammed the coastal areas of the southern state on Friday last week, claimed 45 lives and damaged over one lakh houses and uprooted lakhs of trees and thousands of electric poles in Nagapattinam, Thanjavur, Tiruvarur, Pudukottai among other districts in the region.

Relief and restoration work was hit by the heavy rains which continued to pound the region after the cyclone."
"2","955615541","2018-09-26","http://www.newindianexpress.com/cities/hyderabad/2018/sep/27/some-parents-dont-want-azaan-school-in-hyderabad-to-be-closed-1877748.html","Some parents don't want Azaan school in Hyderabad to be closed","The New Indian Express",FALSE,"HYDERABAD: Even as the State Education Department is mulling permanent closure of Azaan International School, parents have asked the department to reconsider the decision as it would impact academic prospects of 1,600 children studying in the school. The department is considering closing down the school after two children were found to be allegedly raped/molested there.

The school has been shut for the last 10 days. On Wednesday, as many as 162 parents met the DEO and requested her not to close down the school. They fear changing school in the middle of the year would be difficult and pose financial and logistical issues. Zareena Shah, mother of a class 10 student, says though the sexual harassment charges cannot be dismissed, future of other students cannot be overlooked.

""An investigation is going on and the DEO should allow classes to continue under her supervision,"" she says. ""If there were lapses on the part of school management, take action against them. But, don't shut down the school,"" says Zareena. Ameen Mirza, another parent, says parents are worried about both the safety of their children and their academics.

Meanwhile, the school management has sent its response to the second notice from the DEO office. The management is learnt to have stood by its stand that there are no lapses from its side but has not substantiated it with any documentary proof. ""In view of the serious nature of the incidents, closure of the school appears to be the most likely action. But we are looking at all possibilities. We don't want any child to be affected,"" said a senior official and ruled out the possibility of changing the management and running the school.

""The final decision on the fate of the school is likely to be taken later this week based on both incidents and the reply of the school. Though the parents refused to give any evidence or even produce the child before the inquiry committee in the second case, both incidents are being taken into account,"" said B Ventaka Narasamma, DEO.

'35L students to be affected if budget schools are shut down'

Unhappy at the government's refusal to issue extension of temporary recognition (ETR) without insisting upon different No Objection Certificates -- fire, traffic and GHMC, the Telangana Recognised Schools Management Association (TRSMA) has called for a bandh of all budget schools on Friday. The term budget schools refers to schools which charge fee less than Rs 30,000. According to the TRSMA, the National Building Code came into force in 1998, fire NOC became mandatory in 2005 and traffic NOC from 2009 onwards, therefore nearly 80 per cent of schools established before these norms were enforced are now found to be violators. S Srinivas, president of TRSMA, alleged that the government is deliberately tightening the noose around the budget schools in order to shut them.

""As part of its KG to PG education programme, it plans to open up 500 more schools next year so they want to shut our schools. We are ready to even hand over the management of our schools to government so that it can run them government schools and regularise all our teachers too,"" he said. There are 35 lakh students in 1,200 budgets schools across the State and closure of these schools will affect their future."
"3","953281789","2018-09-24","https://timesofindia.indiatimes.com/city/varanasi/school-closed-due-to-harassment-by-hooligans/articleshow/65928364.cms","UP school closed due to harassment by hooligans - Times of India","The Times of India",FALSE,"GORAKHPUR: In a shameful incident, a college in Tiloura area, falling under the jurisdiction of Sahjanwa police station, in Gorakhpur, was closed on Saturday due to the constant harassment by seven miscreants for the past few days. These miscreants, allegedly, harassed a class XI student and beat-up a few school teachers and threatened them of dire consequences.

A notice was posted on the gate of Pandit Jawahar Lal Nehru Inter College that the school will be closed on Saturday.

On SSP Shalabh Mathur's direction a case has been registered against Gajendra, Neeraj and five other unidentified people. The police post in-charge has been suspended."
"4","952672797","2018-09-22","http://www.newindianexpress.com/cities/hyderabad/2018/sep/23/why-shouldnt-azaan-school-be-closed-down-1875991.html","'Why shouldn't Azaan school be closed down?'","The New Indian Express",FALSE,"HYDERABAD: Even before the second incident of alleged sexual assault came to the fore from the Azaan International School, on Friday, the office of District Education Officer has already shot a second notice to the school following its ""irresponsible and insensitive response"" from the School correspondent to a detailed report from the DEO office.

The management has been found guilty of lying -- its claim that it has initially approached the police to inform about the rape of the UKg students, education department officials have not found any documentary evidence to support this claim. This is in addition to other violations cited under GOMs 1 like failure to secure campus and the entry and exit points, running school sans proper affiliation, among others

As reported in Express second notice was issued to the school management two days after it received the reply from the correspondence. The school has to send its reply within seven days giving reasons as to why the Education Department should not hold it liable for lapses and shut the school.

Despite, the alacrity with which the DEO office has handled the enquiry in the issues, a report has not been submitted to the commissioner and director of school education. Speaking to Express T Vijaya Kumar, commissioner, CDSE, said that he is still awaiting a report on the issue from the DEO. "" Once we get the report action will be taken as per the existing Acts,"" he said.

Meanwhile, an official in DEO office said that that on account of the weekend, some development in the issue can be expected on Monday. ""We will send text messages to all parents asking them to meet and raise any complaints that they might have against the school. The report will be submitted to the CDSE after this activity is done,"" the officer said."
"5","935551928","2018-08-30","https://www.thehindu.com/news/cities/Madurai/school-closed-for-wedding-of-headmistress-son-ramanathapuram/article24821874.ece","School closed for 'wedding of Headmistress' son'","The Hindu",FALSE,"Vairavankoil Panchayat Union Middle School on the outskirts of the town was closed on Thursday after the Block Educational Officer (BEO) declared local holiday for the school, ostensibly due to the village temple festival.

A teacher, speaking on condition of anonymity, claimed that the school was closed only due to the local temple festival, but enquiries revealed that the temple festival was held on Wednesday and the Headmaster (in-charge) secured local holiday on Thursday to enable teachers to attend the wedding of the son of the Headmistress, who was on medical leave.

After Headmaster (in-charge) Karthikeyan sought local holiday, citing temple festival and enclosing resolutions adopted at School Management Committee and Parent- Teacher Association meetings, the BEO, in his order issued on August 29 (date overwritten), permitted the Headmaster (in-charge) to declare local holiday.

The Headmaster (in-charge), in his request, sent on August 24, sought permission for announcement of local holiday in view of the village temple festival on Thursday. However, enquiries with the villagers revealed that the 'mulaipari' festival at the Kooni Amman Temple was held on Wednesday.

Consequently, the school functioned when the villagers celebrated the festival and remained shut on Thursday to enable the teachers to attend the wedding of the Headmistress' son, a villager said.

The school authorities, however, maintained that they went by what the villagers said and did not cross check the festival date. When contacted, Chief Educational Officer R. Murugan said local holiday was granted for the school following the order of the BEO. He said he would check if there was any discrepancy.

Eight teachers were working in the school, which had a student strength of about 80. The local holiday would be compensated on September 1, sources said."
"6","911448801","2018-07-24","http://www.freepressjournal.in/latest-news/indore-closed-school-allotted-to-student-under-rte-act-shocked-parents-to-approach-collector/1320733","Indore: Closed school allotted to student under RTE Act, shocked parents to approach collector | Free Press Journal","Free Press Journal",FALSE,"Indore: Parents' hopes of providing their child proper education through Right of Children to Free and Compulsory Education Act, 2009 (RTE) were dashed when they discovered that the allotted school under the Act has closed and its building has become a property for investment for new owners. The building is located at Ahilya Mata Colony in the city.

With high hopes for better future, homemaker Pooja and maintenance in-charge at a private factory Lokesh Rajalwal had applied for admission under RTE for their 3.5 year old son Pratik Rajalwal. Fulfilling all the requirements, the couple had hoped to at least get an admission in a school. ""I filled the form on their behalf choosing schools that were available in the list in our area,"" Pratik's uncle Mahendra Bendawal said.

Coming from humble background, the form was filled to the best of their knowledge. ""Nav Adarsh Higher Secondary School was our third option as it was shown in our ward and seemed similar to other schools named Adarsh,"" Pooja said.

""We were overjoyed when we received the allotment letter that had our son's name and photo with it admitting him into Nav Adarsh Higher Secondary School,"" Lokesh said. Soon, their joy turned into sorrow when they reached the school premise with documents for admission.

""There was just a building there but nearby people told us that the school is not functional for over two years,"" Pooja said. Shocked, they looked for someone who could solve their problem. ""We approached district project coordinator Akshay Singh Rathore who was in Bijalpur that time. But he told us that nothing can be done,"" Bendawal said.

The aggrieved family plans to approach district collector at weekly public hearing held at collectorate on Tuesday for Pratik's admission in a functional school. When contacted, district education officer CK Sharma did not respond to Free Press queries sent through messages and phone calls in this regard."
"7","910551961","2018-07-22","https://indianexpress.com/article/india/up-school-remains-closed-on-friday-probe-ordered-5270393/","UP school remains closed on Friday, probe ordered","The Indian Express",FALSE,"By: Express News Service | Lucknow | Updated: July 23, 2018 1:33:29 am For now, the school has been ordered to close only on Sundays. (Representational)

The Deoria district magistrate ordered an inquiry after a government school in Uttar Pradesh's Salempur was found to be following a practice of remaining closed on Fridays, instead of Sundays.

According to district magistrate Sujeet Kumar, the school may have been following the practice since it was founded in 1904. For now, the school has been ordered to close only on Sundays.

""Some journalists told us about a school in Navalpur village that is closed on Fridays. Our team found the reports to be true. When we talked to principal Khurshid Ahmad, he told us that the practice was followed by the principal before him and he did not change it,"" Kumar said.

""We have ordered a probe by the area Sub-Divisional Magistrate (SDM) and the Basic Siksha Adhikari (BSA),"" Kumar said."
"9","894320476","2018-06-26","https://www.indiatimes.com/news/india/in-a-desperate-bid-to-save-their-school-from-being-closed-students-travel-250km-to-meet-cm-348195.html","In A Desperate Bid To Save Their School From Being Closed, Students Travel 250Km To Meet CM","indiatimes.com",FALSE,"In a desperate bid to save their institution from being closed, students of Alaghatta government high school in Chitradurga district travelled 250km overnight and met chief minister H D Kumaraswamy on Monday morning.

Donning their uniform and clutching schoolbags, 43 students, including a fair sprinkling of girls, arrived near the CM's residence in JP Nagar around 5am.

After meeting the students around 10.45am and giving them a patient hearing, Kumaraswamy ordered officials to ensure that the school is not shut down.

The students said they were told by the authorities on June 16 that their 24-year-old school would be closed and they would be shifted to a school in Bharamasagara, which is 15km away. According to the children, classes for this academic year have already begun. While admissions for class 8 were under way, lessons for classes 9 and 10 were being imparted.

Officials cited the poor strength of students -- the Alaghatta school has about 50 of them -- as a reason for closing the institution and relocating the students to Bharamasagara.

Accompanied by villagers, the distraught students left their village around 11.30pm on Sunday night. Around 8.45am, the CM's officials collected details from them.

When the CM was about to leave in his car around 10.45am, the students called out to him. Drawn by their 'CM Saar"" cries, Kumaraswamy stopped, met the kids and assured them that their demand would be met.

He also asked villagers why they had brought the children to the city. The villagers replied that they didn't have an option as no one paid heed to their grievances.

The CM has sought a report from officials on the number of students in the school.

Gram Panchayat member of Alaghatta, E Nagaraj, said education department officials were helping the private school lobby by shutting down the decades-old school. ""We protested against the department's decision for a couple of days but no one bothered to listen to us. This pushed us to meet the CM to seek justice,"" he said."
"10","854240036","2018-04-21","https://www.firstpost.com/world/19-year-old-former-student-carries-gun-in-guitar-case-to-florida-school-fires-at-closed-door-1-injured-4440723.html","19-year-old former student carries gun in guitar case to Florida school, fires at closed door; 1 injured - Firstpost","Firstpost",FALSE,"Fort Lauderdale: A gunman carrying a shotgun in a guitar case opened fire at a Florida high school, wounding one student as other students and teachers piled desks and cabinets against classroom doors to make barricades. The 19-year-old suspect was later arrested and apologised as he was led away in handcuffs.

Ironically, Friday's shooting at Forest High School in Ocala happened on a day planned for a national classroom walkout to protest gun violence. A 17-year-old boy was taken to a hospital for treatment of a non-life threatening wound to his ankle.

The suspect, Sky Bouche said ""sorry,"" followed by ""it doesn't matter anyway"" to reporters as he was led from the school in handcuffs by several deputies. Authorities said Bouche was a former student at the school. ""I didn't shoot anyone,"" he said to reporters. He ignored most of the other questions until asked what he'd say to the victim. That's when he said, ""Sorry.""

A shootout took place at the Forest High School on Friday. AP

The shooting comes just over two months after a gunman killed 17 people and wounded 17 others at Marjory Stoneman Douglas High School in Parkland, Florida. Nikolas Cruz, 19, faces the death penalty if convicted in that Valentine's Day shooting.

It also coincided with a nationwide student walkout to protest gun violence on the anniversary of the 1999 massacre at Colorado's Columbine High School. The Ocala school had planned its version of a walkout, students said.

Chris Oliver told the Ocala Star-Banner that his 16-year-old son, a Forest student, told him the shooting happened near his classroom. The boy told Oliver the shooter stood in a hallway and fired at a closed classroom door. The shooter then dropped the weapon, ran and tried to hide, the boy told his father.

Craig Ham, deputy superintendent of Ocala schools operations, said the gunman carried the shotgun in a guitar case into the school by blending in with students. Ham told reporters the shooter fired at the bottom of a locked classroom door, and pellets struck the victim in the ankle.

Jake Mailhiot's psychology class had just begun on Friday morning when school officials announced a ""code red"" alert over the intercom.

""You could hear in their voice that this wasn't a drill,"" the 16-year-old junior said. Prepared for such alerts, students and teachers leapt into action to barricade the classroom's one door and block the door's window. ""Our teachers started pushing file cabinets and desks toward the door, and a few friends and I joined in,"" Mailhiot said. ""We also started tying together some jackets to hang out the window, in case we needed another way out.""

In a photograph Mailhiot shared on social media, the classroom door is invisible behind a tall pile of furniture. Mailhiot said about 15 people in the classroom waited over 30 minutes to be evacuated by Ocala police. They were instructed to leave with their hands up, he said.

Marion county sheriff Billy Woods praised the quick response by the school resource officer, as well as school personnel and first responders.

In the Parkland shooting, school resource officer Scot Peterson retired amid accusations that he didn't do enough to confront the Stoneman Douglas gunman.

The Forest resource officer, Marion county sheriff's deputy James Long did not hesitate. ""He went right in,"" Woods said at a news conference. Woods said Long heard a ""large, loud banging sound"" and immediately responded.

The sheriff said the Bouche wasn't injured, wasn't fired at and was arrested without resistance. ""Marion county does everything to protect their children,"" Woods said.

Afterward, all students were taken by bus with a police escort to First Baptist Church of Ocala, where parents gathered to pick them up, officials said.

Rachael Carter was at the church waiting to be reunited with her daughter, a 10th-grader who turned 16 this week. Carter's pastor called her when he saw a post on social media. ""I'm shaking like a leaf in a hurricane,"" Carter said. Forest High has an enrollment of more than 2,000 students, according to the National Center for Education Statistics.

Updated Date: Apr 21, 2018 16:09 PM"
"11","832571514","2018-03-16","http://bangaloremirror.indiatimes.com/bangalore/cover-story/closed-minds-in-open-school-and-one-ladys-struggle-for-kannada/articleshow/63322728.cms","Closed minds in Open School and one lady's struggle for Kannada - Bangalore Mirror - ","Bangalore Mirror",FALSE,"Educationist Iffat Faridi wants NIOS to alter its policy so that vulnerable students can go beyond Class 9 -- the last class where they are given questions in Kannada

For students like Maya, a Std 4 dropout from a Kannada medium school, the National Institute of Open Schooling (NIOS) would seem like a Godsend.

Far removed from the rigid structure of conventional schools that require compulsory attendance, the NIOS allows for students to have access to education, with many conveniences, distance being one of them.

When Maya, who could read, write and speak fluently in Kannada, heard about the NIOS, she thought it was a dream come true. She could continue her education despite the gap and her long-cherished dream of getting a school certificate would be fulfilled. However when she decided to enroll herself in NIOS for the Std 10 exam, she realised that Kannada was not included as the medium of instruction for Std 10, although up until Std 10, it is. At the Std 10 level, students like Maya would have to choose either Hindi or English as a medium of instruction, for study material and for questions papers.

However, she was told that she could answer the question paper in Kannada since she was not fluent in Hindi or English.

The most crucial exam of a student's life had become a battle of languages.

Fortunately, students like Maya, have in Iffat Faridi, an educationist and a resident of Bengaluru, a saviour who understands the challenges of studying in one language and being tested in quite another. And Faridi is leading the fight for giving girls like Maya the advantage of doing their Std 10 exams in a language they have fluency in.

Besides taking education to the people from underprivileged sections of society, Faridi is championing the cause to have Kannada as one of the languages of instruction in the NIOS system for Std 10.

Speaking to BM, Faridi said, ""A blessing in disguise, the National Institute of Open School plays a pivotal role in the distance education system of India. It is a ray of hope for children who are not fortunate enough to join regular schools or who could not continue their schooling. Despite its obvious significant contribution to the Indian education system, NIOS has a serious issue in its system which needs to be highlighted and must be resolved,"" she added.

Not just Maya...

She recounts the story of Renuka, a child of a migrant labourers from Gulbarga district, who is facing similar issues. Renuka started her schooling almost at the age of 10, after going through bridge courses based on modules developed by the Azim Premji Foundation in Kannada, Environmental studies and Math. She was admitted to a Kannada medium school, and initially enrolled in Std 1 as per rules. Later, based on performance tests conducted by the school, she was promoted to Std IV. At the moment, the 14-year-old wants to apply for Std 10 exams through NIOS and she faces the same issues as Maya. She has good command over Kannada but will have to master Hindi or English to learn the study material.

Faridi's fight

Says Faridi, ""Lack of study material in Kannada is a huge setback and injustice to the aspirations of those children who have done schooling purely in Kannada medium. Kids referred to NIOS belong to a class where parents are daily wagers. They earn very little and that too after working very hard from morning till evening. These children have taken the initiative for further education, on their own. Having travelled a fair distance on the road to being fully literate, they are facing setbacks in their path due to non-availability of study material in Kannada. They need full support from NIOS to pursue their dream of completing their education and get on a career path.""

NIOS reacts

When BM contacted Chandrashekar S, director of NIOS, Bengaluru branch, he said, ""There is Kannada up to 10th. The 10th class study materials and examinations will be bi-lingual and the students can answer in Kannada. There is no problem in that. The next set of Kannada books are getting ready. Once it is released, students will be getting it.""

KDA slams the system

Reacting to the limitations for Kannada medium students in NIOS, SG Siddaramaiah, Chairman, Kannada Development Authority told BM, ""What kind of unscientific methods are these? How can someone who knows only Kannada be made to read in English or Hindi and again write answers in Kannada? How is it even possible? Who is going to punish these type of people who deny access to education to Kannada medium students? This is coming to light now. What about all these years? Thousands of children have been denied education only because of this option.''

While Faridi continues her fight with NIOS, she's preparing her students to brace themselves for the language challenge ahead. She has already brought Hindi books from Delhi to prepare her students to learn from study materials in Hindi and English at the Std 10 level.

Why Open School?

Students who fail to qualify for regular school or are unable to pass a class despite multiple attempts have the option of completing studies through Open School. Also, mature students who wish to return to school after a break in studies or those children who have to shoulder the family's burden pursue studies through Open School.

Are questions set only in English or Hindi?

No. Seven other options are available apart from English and Hindi. These are Urdu, Marathi, Telugu, Gujarati, Malayalam, Odia and Tamil. Note that all South Indian languages are available except for Kannada.

Can they learn and answer in Kannada?

Yes, but only till Class 9. In Class 10, the questions are set only in Hindi or English which is highly unfair for students already struggling with the system.

How many students benefit from Open School?

Last year, 1,64,192 students completed Secondary (equivalent to Class 10) through Open School. Around 500 students study in Kannada each year."
