"","ID","date","url","title","source","duplicate","body"
"1","1006006010","2018-11-29","https://www.mid-day.com/articles/mumbai-charity-chief-seeks-probe-into-closure-of-grant-road-school/20027189","Mumbai: Charity chief seeks probe into closure of Grant Road school","mid-day",FALSE,"The Robert Money school at Grant Road closed its doors in 2017. File pic

The charity commissioner has asked Mumbai police to conduct an inquiry into the abrupt closure of the 180-year-old Robert Money School at Grant Road. The school was run by a charitable trust offering affordable education, and has now been replaced by an international school with comparatively exorbitant fees. While activists have alleged that the Bombay Diocesan Trust Association leased the school plot illegally, the trustees claim it is all above board.

The school had been under a cloud for the past few years, after it started shutting down one class each year by stopping admissions. Each time, the administration spoke of closing the school, but continued to operate after protests by parents and locals. However, 2016-17 was the last year it functioned, finally closing its doors in 2017-18.

The charity commissioner's request for an investigation follows a complaint by the Christian Reform United People Association, which has been fighting to keep the school running since 2013. Cyril Dara, secretary of the association, said, ""This school has been here for around 180 years. It was also the first technical school in Maharashtra in the 1950s, at which time the state government had allotted considerable grants to the trust. Moreover, the school was named after the then education secretary, to provide affordable quality education to local children. Now, the trust has handed over the land to a third party to run a new school.""

Melwyn Fernandes, secretary of the Association of Concerned Catholics, Mumbai, said, ""Portuguese and British settlers had donated land to the Christian community to set up educational and religious institutions. The police should take action against culprits for illegal dealings of the school plot.""

On the other hand, Rev. Amolik, secretary of the Bombay Diocesan Trust Association, said, ""The school shut down gradually because there was no demand and the number of students taking admission kept dropping. Now another school is running there. There is absolutely no irregularity, as the transfer was done following all regularities and was registered at the collector's office. Some people with vested interests are maligning the trust.""

Copspeak

Pandharinath Patil, Inspector (Crime) from D B Marg police station, said, ""We have not received any intimation on the matter yet. Once we do, we will see what needs to be done. However, since it is about a transfer between schools, the education department should look into it and then file a formal complaint.""

Government withdraws e-trading bill

The state has withdrawn the bill that seeks to amend the Maharashtra Agricultural Produce Marketing (Development and Regulation) Act from the Legislative Council. The bill was passed in the Legislative Assembly on Tuesday. All five markets at Vashi's APMC were shut yesterday over the indefinite strike call by traders over the bill. APMC's fruit department head, Sanjay Pansare said, ""If implemented, it would have been unjust to lakhs of workers here."""
"2","933603294","2018-08-28","https://timesofindia.indiatimes.com/city/bhubaneswar/block-grant-teachers-threaten-school-closure-from-september-6/articleshow/65573569.cms","Block grant teachers threaten school closure from September 6 - Times of India","The Times of India",FALSE,"BHUBANESWAR: Agitating block grant teachers on Monday said they would lock up schools from September 6 unless the government fulfilled their demands for better service conditions.

The school and college teachers have been sitting on a strike from August 16 to demand the implementation of the grant-in-aid policy from their respective dates of joining. ""We are going to observe a black day on September 5, after which we will lock up the schools,"" said Golak Nayak, coordinator of the united teachers forum."
"3","908172525","2018-07-18","https://www.business-standard.com/article/pti-stories/hc-raps-tn-educational-authorities-orders-school-s-closure-118071801491_1.html","HC raps TN educational authorities; orders school's closure","Business Standard",FALSE,"Pulling up education authorities over the appalling conditions at a private school here where toilets lacked doors and roofs, the Madras High Court today ordered its closure and directed that all the students be shifted to nearby schools.

Passing interim orders, Justice S Vaidayanathan noted that toilets in the school were open to sky and did not even have doors and said since high-rise buildings were close-by, miscreants may take photographs of girl students using the toilets and circulate them on the internet.

The judge said he was not inclined to grant permission for continued functioning of the 'Sri Saravana Vidhyalaya Nursery and Primary School' at suburban Puzhal for a period of one academic year to carry out the rectifications.

He ordered that all the students studying in the school be accommodated in the nearby schools.

Accepting the direction, the special government pleader submitted a list of eight schools located in the vicinity.

The matter relates to a petition from S Sasikumar, who submitted that the management of the school functioning in his property, had obtained approval and renewals from educational authorities by fraudulently misrepresenting the actual safety and infrastructure and sanitary conditions.

He sought a direction to authorities for inspection of the school.

Following an earlier direction, Director of Elementary Education A Karuppuswamy and other officials were present before the court today.

The judge said there were also other deficiencies like asbestos sheet roof and thatched huts and asked the government pleader as to how permission was granted to such a school.

He wondered if authorities will act only if an incident like the 2004 Kumbakonam school fire, in which several children died, occurred.

Pulling up the educational officials for not taking steps, the court said though a show cause notice was issued in 2015, no further action was initiated.

""It is very unfortunate that the authorities are careless and they have proceeded on the basis that the work comes to an end after the issuance of show cause notice. Prevention is better than cure,"" the judge said.

He directed the government to initiate departmental action against the officials who were in service at the time of issuance of show cause notice.

The petitioner, whose attempts to terminate the tenancy agreement with the school had failed, submitted he had already made representations on March 2 this year to the educational authorities to inspect the premises in view of violations of regulations."
"5","905876663","2018-07-15","https://timesofindia.indiatimes.com/city/mangaluru/govt-kannada-school-on-verge-of-closure-now-has-packed-classes/articleshow/64995856.cms","Govt Kannada School on verge of closure now has packed classes - Times of India","The Times of India",FALSE,"MANGALURU: A Kannada medium school which was on the verge of closure a few years ago in a remote village of Bantwal taluk is now so packed that it had to turn away 150 students this academic year.

Thanks to the collective efforts by villagers of Karenki, the Daddalakadu Government Higher Primary School is now up and running. The turnaround came through after the Kannada medium school decided to offer education in English, totally free of cost, to nearly 500 children.

According to Prakash Anchan, a textile merchant and the man who spearheaded the turnaround along with other villagers, the school headmaster apprised village elders in 2015 that the school was on the verge of closure as the enrolments were down to a trickle. ""In a rare gesture, members of Sri Durga Friends Club in the village decided to save the school by pulling out their children from English medium schools. The students were then admitted to the Kannada medium school, taking the total number of students to 56 from 36. It increased to 230 the following year, and in 2017, there were 350 children studying in the village school. In 2018, the number rose to an unbelievable 500. The school had to cap the admissions at 500 because of infrastructural limitations,"" said Anchan.

""I bet no other Kannada medium school would've ever sent back children stating shortage of seats. Villagers who believed that real change begins from one's own home are to be credited with the success of the school,"" he added.

According to Anchan, the perception that English medium schools are meant for the rich should be challenged. ""We are changing that perception by providing everything free of cost to the children in this school,"" he said. Daddalakadu Government Higher Primary School has classes from LKG to 8. The free service includes books, uniform, education and concessional transport.

In the past three years, the faculty added about 15 teachers, besides the government-appointed five. The village club pays all the 15 guest teachers. Apart from academics, children are being trained in singing, dance, yoga, computer and other extra-curricular activities. There are three buses for transportation. ""We pay them salaries from our earnings and donations. No government fund has been taken so far,"" said Anchan.

In a nine-kilometre radius of the government school, there are about nine private English medium schools. ""There was stiff resistance from them initially. We were denied permission to start an English medium but still we are fighting for it,"" says Anchan who is confident that the state government would back them.

Infrastructure call for an upgrade

Daddalakadu Government Higher Primary School, started in 1979, is crying for repair and refurbishment. Work on Rs 2.5-cr infrastructure upgrade is progressing fast. ""We began construction work without worrying about the funds. However, with generous donors around, funds flowed in for the work. The new building will be completed soon, and it would help us to raise the enrolments to 1000 students and add two more classes till SSLC,"" said Anchan."
"7","899272054","2018-07-04","https://indianexpress.com/article/world/thousands-sign-petition-to-save-hindu-school-from-closure-in-uk-5245956/","Thousands sign petition to save Hindu school from closure in UK","The Indian Express",FALSE,"By: PTI | London | Published: July 4, 2018 8:07:47 pm Sanju box office collection day 5: The Rajkumar Hirani film earns Rs 167.51 croreSonali Bendre diagnosed with high grade cancer, wishes pour inSonam Kapoor, Arjun Kapoor and others share their love for Sonali Bendre

Thousands of people have signed a petition to prevent the closure of one of the UK's largest independent Hindu faith schools, the Swaminarayan School in London. The Akshar Educational Trust, which runs the school set up in 1992, had announced its closure last month as part of plans to exit the education sector completely by July 2020. Parents of students associated with the school have now organised a campaign to save the ""school of excellence"" from closure.

""In a letter to parents, a spokesperson for the school blamed 'increasing regulatory requirements, difficulties in recruitment and retention of teachers, ready availability of free state-funded Hindu schools, and declining pupil numbers' for the move. This is simply not true,"" notes the Change.org petition, which has attracted nearly 3,500 signatures since last week. ""Sensitivity analysis of accounts by experts suggests that with restructuring it is possible for school to run for the foreseeable future,"" it notes.

The parents, who have coordinated into a save-the-school campaign, say that many Indian-origin families have moved, relocated and changed their way of life to enable their children to get an education within the ethos and culture of Hinduism at the respected Swaminarayan School in Neasden, north-west London. ""Parents are more than happy to consider taking over the running of the school by appointing new teams who will give due consideration to the communities and families that are being disrupted by this announcement,"" the parents said in a statement.

The school has been very popular within the large Indian-origin community based in the borough of Brent, many of whom are happy to pay the GBP 4,310 per-term fees to enrol their children. But the trust running it said that mounting pressures in recent years had hampered its ability to invest in the resources required to sustain the improvements needed in the school, both educationally and for its infrastructure.

The institution, opened by Pramukh Swami Maharaj alongside the BAPS Swaminarayan Mandir to ""promote Hindu and British culture and values and way of life"", has around 400 pupils between the ages of three and 18 currently on its rolls.

The trustees had unveiled plans for closure in two phases in order to allow parents time to apply to other schools. However, parents are furious at the lack of consultation before the announcement was made. ""The school is not a business, where a decision like this can just be made and announced... the team of governors and trustees just seem to have had enough and this is now the easiest option for them,"" the parents said.

They have received the backing of Indian-origin Labour party MP, Seema Malhotra, who said she is ""saddened"" by the news of the closure. ""The Swaminarayan School has a strong reputation and has been highly valued by parents and the community. I hope that through discussions between parents, teachers, governors and trustees that a solution can be found and the school is able to stay open and continue to flourish,"" she said.

Under the UK's educational system, privately-run faith schools must follow a national curriculum but can have a particular religious character or formal links with a religious organisation. They are allowed to have different admissions criteria and staffing policies from state-funded schools."
"9","899259577","2018-07-04","https://www.business-standard.com/article/pti-stories/thousands-sign-petition-to-save-hindu-school-from-closure-in-uk-118070400994_1.html","Thousands sign petition to save Hindu school from closure in UK","Business Standard",FALSE,"Thousands of people have signed a petition to prevent the closure of one of the UK's largest independent Hindu faith schools, the Swaminarayan School here.

The Akshar Educational Trust, which runs the school set up in 1992, had announced its closure last month as part of plans to exit the education sector completely by July 2020.

Parents of students associated with the school have now organised a campaign to save the ""school of excellence"" from closure.

""In a letter to parents, a spokesperson for the school blamed 'increasing regulatory requirements, difficulties in recruitment and retention of teachers, ready availability of free state-funded Hindu schools, and declining pupil numbers' for the move. This is simply not true,"" notes the Change.org petition, which has attracted nearly 3,500 signatures since last week.

""Sensitivity analysis of accounts by experts suggests that with restructuring it is possible for school to run for the foreseeable future,"" it notes.

The parents, who have coordinated into a save-the-school campaign, say that many Indian-origin families have moved, relocated and changed their way of life to enable their children to get an education within the ethos and culture of Hinduism at the respected Swaminarayan School in Neasden, north-west London.

""Parents are more than happy to consider taking over the running of the school by appointing new teams who will give due consideration to the communities and families that are being disrupted by this announcement,"" the parents said in a statement.

The school has been very popular within the large Indian-origin community based in the borough of Brent, many of whom are happy to pay the GBP 4,310 per-term fees to enrol their children. But the trust running it said that mounting pressures in recent years had hampered its ability to invest in the resources required to sustain the improvements needed in the school, both educationally and for its infrastructure.

The institution, opened by Pramukh Swami Maharaj alongside the BAPS Swaminarayan Mandir to ""promote Hindu and British culture and values and way of life"", has around 400 pupils between the ages of three and 18 currently on its rolls.

The trustees had unveiled plans for closure in two phases in order to allow parents time to apply to other schools. However, parents are furious at the lack of consultation before the announcement was made.

""The school is not a business, where a decision like this can just be made and announced the team of governors and trustees just seem to have had enough and this is now the easiest option for them,"" the parents said.

They have received the backing of Indian-origin Labour party MP, Seema Malhotra, who said she is ""saddened"" by the news of the closure.

""The Swaminarayan School has a strong reputation and has been highly valued by parents and the community. I hope that through discussions between parents, teachers, governors and trustees that a solution can be found and the school is able to stay open and continue to flourish,"" she said.

Under the UK's educational system, privately-run faith schools must follow a national curriculum but can have a particular religious character or formal links with a religious organisation. They are allowed to have different admissions criteria and staffing policies from state-funded schools."
"10","894361543","2018-06-26","https://www.business-standard.com/article/pti-stories/swaminarayan-school-in-uk-announces-closure-by-july-2019-118062601057_1.html","Swaminarayan School in UK announces closure by July 2019","Business Standard",FALSE,"One of the UK's well-known privately-run Hindu faith schools here has announced its closure from July next year due to increasing regulatory requirements, declining pupil numbers and difficulties in recruitment and retention of teachers, a decision which has left parents surprised and disappointed.

The Akshar Educational Trust, which runs the Brent-based Swaminarayan School, said in a statement that it plans to exit the education sector completely by July 2020.

It blamed increasing regulatory requirements, difficulties in the recruitment and retention of teachers, ready availability of fee-free state-funded Hindu schools, and declining pupil numbers for the decision.

""It is indeed very sad, particularly for our pupils, staff and parents. We explored several options before arriving at this difficult decision. We have given all parents one year's notice to find an alternative school as well as a commitment to our staff that their employment is secure for the academic year 2018-19,"" said Jitu Patel, Chair of the Trust.

The Swaminarayan School, set up in 1992, is popular within the large Indian-origin community based in the borough of Brent in north-west London, many of whom were willing to pay the 4,310 pounds per-term fees to enroll their children.

The news of its closure has been received with surprise and disappointment by the parents, who will now have to look for alternatives from the next academic year.

But the trust said that mounting pressures in recent years had hampered its ability to invest in the resources required to sustain the improvements needed in the school, both educationally and for its infrastructure.

Nilesh Manani, Head of the Senior School since it opened, said: ""The children and staff are some of the very best I have had the privilege of supporting and we will strive to ensure that our education standards are maintained until the very end.""

The trustees have planned two phases for the closure of the school, associated with the Bochasanwasi Akshar Purushottam Sanstha (BAPS) Swaminarayan Mandir in Neasden one of the world's largest Hindu temples outside India.

The closure timetable is intended to give a full academic year's notice in order to allow all parents time to apply to other schools.

The prep school and senior school will continue as normal from September 2018 until closure in July 2019.

This applies to all pupils, except those taking state-level exams known as the General Certificate of Secondary Educations (GCSE) or A-levels in September 2018, who will all be able to complete their GCSEs and A-levels at the school until July 2020, it said.

The Trust also said it had held discussions with the Avanti Trust, which is already looking for a suitable site to open a state-funded Hindu school in the area.

""If the Avanti Trust is successful in opening its school by September 2019, parents will be able to apply for places available at that school subject to meeting the school's admissions criteria,"" the Akshar Educational Trust said in a statement.

Umesh Raja, Head of the prep school, said: ""It is very sad, but the most important thing now is for everyone to work together over the next two years, especially for the pupils remaining at our school.""

Under the UK's educational system, privately-run faith schools must follow a national curriculum but can have a particular religious character or formal links with a religious organisation. They are allowed to have different admissions criteria and staffing policies from state-funded schools."
"11","894012736","2018-06-26","https://timesofindia.indiatimes.com/city/bengaluru/students-travel-250km-get-cm-to-stop-school-closure/articleshow/64738851.cms","Students travel 250km, get CM to stop school closure - Times of India","The Times of India",FALSE,"BENGALURU: In a desperate bid to save their institution from being closed, students of Alaghatta government high school in Chitradurga district travelled 250km overnight and met chief minister H D Kumaraswamy on Monday morning.

Donning their uniform and clutching schoolbags, 43 students, including a fair sprinkling of girls, arrived near the CM's residence in JP Nagar around 5am. After meeting the students around 10.45am and giving them a patient hearing, Kumaraswamy ordered officials to ensure that the school is not shut down.

The students said they were told by the authorities on June 16 that their 24-year-old school would be closed and they would be shifted to a school in Bharamasagara, which is 15km away. According to the children, classes for this academic year have already begun. While admissions for class 8 were under way, lessons for classes 9 and 10 were being imparted.

Officials cited the poor strength of students -- the Alaghatta school has about 50 of them -- as a reason for closing the institution and relocating the students to Bharamasagara.

Accompanied by villagers, the distraught students left their village around 11.30pm on Sunday night. Around 8.45am, the CM's officials collected details from them. When the CM was about to leave in his car around 10.45am, the students called out to him. Drawn by their 'CM Saar"" cries, Kumaraswamy stopped, met the kids and assured them that their demand would be met.

He also asked villagers why they had brought the children to the city. The villagers replied that they didn't have an option as no one paid heed to their grievances.

The CM has sought a report from officials on the number of students in the school.

Box: 'Dept helping pvt school lobby'

Gram Panchayat member of Alaghatta, E Nagaraj, said education department officials were helping the private school lobby by shutting down the decades-old school. ""We protested against the department's decision for a couple of days but no one bothered to listen to us. This pushed us to meet the CM to seek justice,"" he said."
"12","892883522","2018-06-24","http://www.thehindu.com/news/cities/Coimbatore/starting-of-english-medium-saves-panchayat-union-primary-school-from-closure/article24244593.ece","Starting of English medium saves panchayat union primary school from closure","The Hindu",FALSE,"Following the introduction of English as the medium of instruction, as many as 19 students enrolled at the Panchayat Union Primary School at Nadupalayam in Shenbagapudur Panchayat in Sathyamangalam block, which was facing closure due to poor strength. And the credit goes to the villagers and NGO Sudar.

The school that was started in 1992, had students from surrounding areas studying there. However, when a private school was started nearby, admissions dropped. When the current academic year started, only two students were pursuing studies.

Officials from the Department of Elementary Education were planning to close the school and admit the two students to nearby schools.

The NGO made a representation to the Department of Elementary Education, based on which a meeting was organised at the school. Villagers said that if English was introduced as medium of instruction, they would admit their children in the school.

Resolution passed

Later, the School Management Committee (SMC) passed a resolution for starting English medium and the same was forwarded to the department. It was announced that classes would be conducted in English from the current academic year.

Following this, people campaigned in the village asking parents to admit their wards in the school. A total of 19 students were admitted, taking the total strength to 21."
"13","873674631","2018-05-23","http://www.newindianexpress.com/states/tamil-nadu/2018/may/24/railways-school-facing-closure-gets-100-per-cent-result-in-tamil-nadu-1818800.html","Railways school facing closure gets 100 per cent result in Tamil Nadu","The New Indian Express",FALSE,"TIRUCHY: With uncertainty looming over the future of their institution, even maintaining an all-pass record for Class X for 14 consecutive years has not brought cheer to students of the Railway Mixed Higher Secondary School (RMHSS) in Ponmalai.Though Southern Railway (SR) initially decided to stop admissions for the 2018-19 academic year at its schools, criticism from several quarters compelled SR to resume admissions. However, keeping in mind the Bibek Debroy Committee report with its suggestions to stop offline activities like running educational institutions, the future of Railways schools is now unclear.

Significantly, RMHSS is the top performer among the schools under SR jurisdiction. This year 34 students (16 girls and 18 boys) appeared for the Class X examination. Top performers of this school suggested Indian Railways should continue running schools. ""I am very proud of my school and support from theteachers helped me to secure good marks. The Railways must not close this academic institution and should continue running its schools. I am sure our school would again come up with excellent results in the near future,"" said Aathee Akshaya, the RMHSS Class X topper.

Currently, about 300 students are studying at the school and the institution is expecting to start a Central Board of Secondary Education (CBSE) batch this year. ""We are expecting to get CBSE affiliation to start classes I to VIII. This would increase the student strength of the institution, but many parents are worried the Railways would close this school,"" said an employee.

Meanwhile, sources informed Express it would not be possible for SR to close the school. Even if the Railways decides to stop offline activities, it would probably hand over the institution to Kendriya Vidyalaya or Navodaya.

However, many parents are not ready to take the risk with their wards' futures at stake. ""I came to know about the centum result of the school and thought about enrolling my children to this educational institution. I interacted with some parents about a possible closure, then I dropped the plan of admitting my children,"" said S Salim."
