"","ID","date","url","title","source","duplicate","body"
"1","1028606393","2018-12-29","https://timesofindia.indiatimes.com/city/kolkata/now-who-will-pay-my-kids-school-fees/articleshow/67294280.cms","Now who will pay my kids' school fees? - Times of India","The Times of India",FALSE,"Last night, I was grateful to God for saving my life. Had I not jumped out, I would have suffocated to death in the smoke. But today, I am really at a loss. The pain is unbearable and the future uncertain.

I am worried about losing the contract of making furniture in a south Kolkata home. The order would have fetched enough to pay the school fees of my four children and I could have given the rest to my wife to run the house for the next two weeks.

The doctors on Friday conducted an X-ray and suggested an operation. I am the only earning member of my family and we have no savings. My wife will have to borrow money for my treatment. In this situation, we won't be able to pay my children's school fees.

I am in immense pain. I don't know if I will survive or not. What is adding to my misery is that I am not sure how we will pay for my treatment. Doctors have said I will need two months of complete bed rest. Since I am a carpenter and my work involves a great deal of physical activity, I will need another month to be strong enough to get back on my feet and work.

Sharma, a carpenter, broke his leg while jumping out of the window when the Metro he was travelling in caught fire on Thursday"
"2","1026026991","2018-12-25","https://timesofindia.indiatimes.com/city/lucknow/teen-dropout-steals-to-pay-school-fees/articleshow/67237914.cms","Teen dropout steals to pay school fees - Times of India","The Times of India",FALSE,"LUCKNOW: A class IX dropout committed theft to pay school fees but was caught on Monday. The facts surfaced when the 15-year-old was nabbed for theft at a house near Malhaur last week. Police also recovered stolen valuables from his possession.

A case of theft was registered by Awadesh Kumar Bhargava on December 16, said police. The complainant had named the teen in the complaint. As per police reports, 15-year-old Rakesh (name changed), a resident of Allunagar Diguria village was a student of Class IX.

When his father died in 2017, Rakesh and his two elder brothers had to quit studies and take up jobs to make ends meet, said police.

However, unlike his elder brothers, Rakesh did not get satisfactory work and was forced to take up menial jobs for survival. His mother also took ill. ""The two brothers were arrested for theft in July this year, while Rakesh became the sole bread winner of the family. Failing to earn enough, he also decided to commit theft,"" said Station house officer of Chinhat police station Anand Shahi. Rakesh has been sent to correction home, he added.

In his statement to police, Rakesh said that he also wanted to live a dignified life, and complete his education."
"3","1008997061","2018-12-03","https://www.mid-day.com/articles/boy-confined-in-school-for-not-paying-fees-in-latur/20042174","Boy confined in school for not paying fees in Latur","mid-day",FALSE,"Parents of the student, who is in Class 2, had not paid fees of Rs 12,000 for the current year as well as arrears of Rs 6,000 from the previous year, a police officer said

An offence has been registered against officials of a school in Latur district of Maharashtra for allegedly forcing a seven-year-old boy to stay back as his parents had not paid the fees.

The alleged incident took place at an English-medium school in Uday Colony in Udgir tehsil in the district on Friday. Parents of the student, who is in Class 2, had not paid fees of Rs 12,000 for the current year as well as arrears of Rs 6,000 from the previous year, a police officer said.

On Friday, school authorities allegedly did not let the boy go home by the school bus and forced him to sit in the school's office. Eventually, his father reached the school and took him away. He then lodged a complaint with Udgir Rural Police against the teacher, secretary and director concerned of the school, the police officer said.

A case under IPC section 342 (wrongful confinement) was registered but nobody has been arrested as the probe is underway, the police officer said."
"4","1007741166","2018-12-01","https://timesofindia.indiatimes.com/city/delhi/help-us-survive-south-delhi-school-petitions-parents-to-pay-higher-fees/articleshow/66888246.cms","Help us survive: South Delhi school petitions parents to pay higher fees - Times of India","The Times of India",FALSE,"NEW DELHI: Guidelines of Delhi government's directorate of education that private schools in the city cannot raise fees without its say so has led a prominent south Delhi school to request parents to pay the ""proposed"" higher fees on ""a provisional basis"". If this is not done, says the letter sent by the school to the parents on Wednesday, the woeful state of finances could lead to the institution's ""unceremonious closure"".

""It was noted that on compliance of the DoE order, the school would be in enormous deficit, even if the basis of calculations of DoE, which though contrary to the Rule position, is accepted. This huge deficit might even lead to the unceremonious closure of the school known for imparting qualitative education for over six decades,"" said the letter sent by Bluebells School International, East of Kailash.

The school had planned to hike the fees to meet the burden of implementing the recommendations of the 7th Pay Commission, but on August 1, DoE rejected the proposal after carrying out an audit. However, Bluebells claimed that DoE made an erroneous calculation of the institution's finances and the facts and figures submitted with documentary evidence were not acknowledged. ""DoE had been apprised of the adverse effects of the order. However, the request has yet not yielded any result,"" the letter to parents stated.

The school, which is sited on government land, maintained that the implementation of the pay commission pay scales in 2017-18, as per DoE's directives, had resulted in ""enormous additional"" financial burden. ""Hence, charging the fee on the basis of 2016-17, as per the (August) order, would make it impossible to pay salaries to the staff members, leave aside the payment of balance of arrears... and meeting other essential expenses in 2018-19.""

Bluebells has moved Delhi high court on DoE's order, maintaining that it does not need government permission to raise school fees. But with DoE yet to give the court its reply, there has been no relief on the front. In the interim, the institution wants the parents to pay their dues as per the provisional fee bills sent to them. ""The school has no other option but to issue fee bill on provisional basis for the ensuing quarters, i.e. October 2018 onwards,"" Wednesday's letter said.

Principal Sumar Kumar told TOI, ""The school stands by its assurance that the final judicial decision of the authorities or the honourable court will be adhered to. It is always open to discussions with the parents, but it will be impossible to manage at the earlier fees.""

The letter has stumped parents. ""The government should intervene to sort out the confusion. Even if we pay the fees, we do not know whether the school will refund the money if the court disagrees with the school,"" remarked the father of a Class V student."
"5","1002399329","2018-11-24","https://www.business-standard.com/article/news-ians/aap-will-roll-back-any-potential-increase-in-school-fees-in-haryana-if-it-comes-to-power-kejriwal-118112400552_1.html"," AAP will roll back any potential increase in school fees in Haryana if it comes to power: Kejriwal ","Business Standard",FALSE,"He was addressing a gathering here at the ""school-hospital rally"" along with his deputy and Education Minister of Delhi Manish Sisodia.

Kejriwal said that Haryana, just like Delhi, now wants better schools and hospitals and ""the Aam Aadmi Party will be the catalyst to that change"".

""We are not saying this without proof. In Delhi, private schools arbitrarily hiked their fee but we ordered them to roll back the hike. In the last 3 years, we have not let them increase their fees,"" he said.

In the past few months, the Directorate of Education has ordered 191 private schools to roll back their ""arbitrary fee hike"".

In May this year, the Delhi government had asked three private schools to roll back their fee hike for the 2018-19 academic session. The order also asked the schools to refund the increased fee to parents without delay and warned of action if this was not done.

Kejriwal also attacked the previous governments of Haryana, saying that they failed to develop the state in terms of education and health.

""Every government, from Bhupinder Singh Hooda, Om Prakash Chautala to Manohar Lal Khattar, instead of developing schools and hospitals in Haryana, only indulged in corruption,"" the AAP convenor said.

At the rally, Kejriwal also attacked the Bharatiya Janata Party-led central government for the recent attack on him at the Delhi Secretariat in which a middle-aged man tried to rub chilli powder on his eyes and face.

""Khattar sir has been in the government for four years and he was not attacked even once. No other Chief Minister has been attacked like this but I have been attacked four times in the last two years,"" Kejriwal said.

Election for Haryana's 90-seat assembly is scheduled for late 2019, after the general election that will send 10 representatives to the Lok Sabha.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"7","1002392385","2018-11-24","https://www.thequint.com/news/hot-news/aap-will-roll-back-any-potential-increase-in-school-fees-in-haryana-if-it-comes-to-power-kejriwal","AAP will roll back any potential increase in school fees in Haryana if it comes to power: Kejriwal","thequint.com",FALSE,"Gurugam, Nov 24 (IANS) To woo voters in Haryana, Delhi Chief Minister Arvind Kejriwal on Saturday pledged to roll back any potential school fee hike if his Aam Aadmi Party (AAP) came to power after next year's state assembly elections.

""I want to tell the people of Haryana that if the fee gets hiked, the Aam Aadmi Party is coming in Haryana in one year. After forming the government here, we will roll back increased fee by private schools and give it back to the people of Haryana with due interest,"" Kejriwal said.

He was addressing a gathering here at the ""school-hospital rally"" along with his deputy and Education Minister of Delhi Manish Sisodia.

Kejriwal said that Haryana, just like Delhi, now wants better schools and hospitals and ""the Aam Aadmi Party will be the catalyst to that change"".

""We are not saying this without proof. In Delhi, private schools arbitrarily hiked their fee but we ordered them to roll back the hike. In the last 3 years, we have not let them increase their fees,"" he said.

In the past few months, the Directorate of Education has ordered 191 private schools to roll back their ""arbitrary fee hike"".

In May this year, the Delhi government had asked three private schools to roll back their fee hike for the 2018-19 academic session. The order also asked the schools to refund the increased fee to parents without delay and warned of action if this was not done.

Kejriwal also attacked the previous governments of Haryana, saying that they failed to develop the state in terms of education and health.

""Every government, from Bhupinder Singh Hooda, Om Prakash Chautala to Manohar Lal Khattar, instead of developing schools and hospitals in Haryana, only indulged in corruption,"" the AAP convenor said.

At the rally, Kejriwal also attacked the Bharatiya Janata Party-led central government for the recent attack on him at the Delhi Secretariat in which a middle-aged man tried to rub chilli powder on his eyes and face.

""Khattar sir has been in the government for four years and he was not attacked even once. No other Chief Minister has been attacked like this but I have been attacked four times in the last two years,"" Kejriwal said.

Election for Haryana's 90-seat assembly is scheduled for late 2019, after the general election that will send 10 representatives to the Lok Sabha.

--IANS

sd/shs/vm

(This story was auto-published from a syndicated feed. No part of the story has been edited by The Quint.)

(The Quint is now on WhatsApp. To receive handpicked stories on topics you care about, subscribe to our WhatsApp services. Just go to TheQuint.com/WhatsApp and hit the Subscribe button.)"
"8","982110088","2018-10-30","https://timesofindia.indiatimes.com/city/hyderabad/notice-to-delhi-public-school-over-collection-of-excess-fees/articleshow/66427379.cms","Notice to Delhi Public School over collection of excess fees - Times of India","The Times of India",FALSE,"HYDERABAD: The Telangana school education department has served a show-cause notice to Delhi Public School, Mahendra Hills, in view of irregularities in collection of fees after it was found guilty of a wide range of violations in a probe conducted by the district education officer.

Following a petition filed by RTI activist Vijay Gopal with the National Commission for Protection of Child Rights (NCPCR), the national body directed the Hyderabad district collector to conduct a detailed enquiry to determine if the school was charging excess fees.

The Hyderabad district education officer (DEO) conducted a probe on behalf of the collector and found that the school was levying excess fees under various heads without seeking ""approval of DFRC (district fee regulatory committee) regarding the fee structure."" ""The management of Delhi Public School, Mahendra Hills, is collecting ?100 as application fee and ?500 as registration fee at the time of admission, in addition to the school fee, which clearly shows that the management is collecting high fees from the parents in violation of rules and regulations laid down in GO Ms 1 and GO Ms 91,"" read the enquiry report submitted to the NCPCR earlier this month.

The report stated that the ""defensible explanation"" sought from the school management by the DEO was ""not satisfactory"".

""As per the GO, private unaided schools shall not collect any special/other activities fee from any other student except the tuition fees. But, Delhi Public School, Mahendra Hills, Secunderabad, Marredpally mandal, Hyderabad, is collecting tuition fee from all the students along with fees for activities, which are optional for the students as stated in the said GO with violation of rules and regulations,"" read the report.

The DEO has now decided to initiate action after seeking a final explanation from the school management.

""As per the Telangana State Educational Institutions Act, 1983, a school management violating the norms is liable for a minimum three years of imprisonment. While the irregularities have been determined, the school education department must initiate action to ensure that the parents don't suffer,"" said Vijay Gopal, the RTI activist.

When contacted on Monday, DPS headmistress Kiran Khanna did not comment on the issue."
"9","952688886","2018-09-23","http://www.newindianexpress.com/cities/bengaluru/2018/sep/23/man-ends-life-over-non-payment-of-childrens-school-fees-1875962.html","Man ends life over non-payment of children's school fees","The New Indian Express",FALSE,"BENGALURU: Unable to pay his children's school fees, a 42-year-old employee of a marketing company committed suicide by jumping from the fourth floor of a residential building at Bharathinagar on Friday.

The deceased is Syed Shamim, a resident of HBR Layout in Hennur who was working as a computer operator in a private company in Ulsoor. He married Kathija a few years ago and the couple have two daughters.

Police said the incident took place early morning when Shamim had come to the office located in an apartment premise on MM Lane. He jumped from the fourth floor. The security guards rushed him to a nearby private hospital where he was declared brought dead.

Preliminary investigations revealed that Shamim had not been going to work for several years and his relatives were paying the school fees of his daughters. Upset over this, Kathija forced him to join work. He recently joined a company as a computer operator and he is said to have discussed with his relatives that he could not handle the pressure of family and financing his daughters' education. This led him to take this extreme step, police said."
"10","941713746","2018-09-07","https://www.thehindu.com/news/cities/Delhi/school-threatened-to-rusticate-my-son-over-non-payment-of-fees/article24897631.ece","'School threatened to rusticate my son over non-payment of fees'","The Hindu",FALSE,"A Class VII student was allegedly asked to leave school over non-payment of fees in Ghaziabad's Rajender Nagar, the boy's father claimed on Friday.

However, the school authorities have denied the charge.

The incident happened in Swami Vivekanand Vidhya school on Thursday. The victim's father has allegedly not submitted the fee for the last five months.

The victim's father, father Sanjay Sharma, lost his job and could not deposit the fees. The due amount is ₹22,000.

Mr. Sharma alleged that his son was threatened with rustication.

The local police also mounted pressure on him to deposit fees, he added.

The school authorities served notices several times but Mr. Sharma failed to clear dues owing to his poor financial situation.

However, he claimed he had paid ₹4,700 as fees and promised to deposit the rest soon.

Principal Umesh Kumar said that the student has not been rusticated from the school. The student's father promised to deposit fees by October."
"11","938476654","2018-09-03","https://timesofindia.indiatimes.com/city/mumbai/record-diesel-prices-likely-to-push-up-school-bus-fees-in-mumbai/articleshow/65663625.cms","Record diesel prices likely to push up school bus fees in Mumbai - Times of India","The Times of India",FALSE,"MUMBAI: As petrol and diesel rates continued to soar on Monday after reaching a record high a day earlier, school bus operators indicated there could be a hike in bus fees from the second semester in October. The increase could be by around Rs 100 a month per student.

The price of petrol on Monday was Rs 86.56 per litre while diesel was Rs 75.54 per litre in Mumbai. Sources informed TOI that on Tuesday morning, the price of petrol will reach Rs 86.72 per litre and diesel Rs 75.74 per litre.

Anil Garg of the School Bus Owners' Association told TOI that in view of escalating fuel prices, the association will write to all schools on Tuesday, informing them about the need for hiking bus fees. ""We are also facing a lot of problems plying buses on potholed roads in Mumbai. Due to this, there is fuel wastage. This adds to operational costs,"" he said. There are 8,000 school buses that ply on diesel in the Mumbai Metropolitan Region, which includes Greater Mumbai, Thane, Navi Mumbai, Kalyan, Panvel and Vasai-Virar.

Rising fuel prices may also compel travel agents to increase rates by 10% for private cars/buses hired for picnics and weddings, sources said. As for private tourist buses operating on inter-city routes, there is already a government order restricting them to charge only up to 50% more than MSRTC fares. An official from MSRTC said on Monday that there were no immediate plans to hike state bus fares.

The price of petrol rose by 31 paise and diesel by 42 paise on Monday. Oil company officials said price rise over two weeks has been mainly due to fluctuations in the rates of international crude and a further weakening of the rupee vis-a-vis the dollar.

In Maharashtra, the price of petrol was highest in Nanded (Rs 88.05 per litre on Monday) and this was due to tax, mainly VAT, components, which are higher there. Mumbai continues to have the highest rate for petrol among all metro cities, sources in the oil industry said."
