"","ID","date","url","title","source","duplicate","body"
"1","1028684090","2018-12-29","https://www.outlookindia.com/website/story/india-news-three-students-forced-to-stand-naked-in-ap-school-for-not-completing-home-work/322503","Three Students Forced To Stand Naked In AP School For Not Completing Home Work","http://outlookindia.com/",FALSE,"Three boy students of a private school in Punganur, Andhra Pradesh were forced to strip and stand outside their classroom as punishment for not completing their home work.

After recieving a complaint the district administration has ordered a probe into the incident after a video of it went viral.

The video purportedly showed the class three students standing nude under the sun with their hands up.

Ordering a probe into the incident, Chittoor district collector PS Pradyumna has said stern action would be taken against the management.

A woman teacher had allegedly awarded the punishment to the children on Thursday for not completing their home work, a district educational department official said.

If proven guilty, the the government recognition given to school would be revoked, he said.

Meanwhile, based on the complaint by parents of the students, police have registered a case against the Chitanya Barathi English Medium School, police said."
"2","1028153122","2018-12-28","https://www.thequint.com/news/india/students-forced-to-stand-naked-for-being-late-to-andhra-school","Students Forced to Stand Naked for Being Late to Andhra School","thequint.com",FALSE,"Six students from Chaitanya Bharathi School at Punganur in Andhra's Chittoor district were forced to strip naked as a punishment for being late to school on Wednesday morning, 26 December. A video of the shocking incident shows six students aged 9-10 years, belonging to Class 3 and 4, standing naked in the hot sun, with their pants down to their ankles and their arms up in the air. The boys stand outside their classroom, even as other students pass by.

The private school, located in the interiors of Chittoor, is run and owned by the school principal Maharaja Naidu, who is on the run after the video came to the attention of child rights activists.

According to child rights activists, the students' parents allege that it was the principal who humiliated the students by asking them to remove their clothes for being late to school.

Some parents also say that the kids were punished for not completing their homework. The parents have been staging a protest in front of the school since Thursday morning, 27 December.

Speaking to TNM, Achyuta Rao, president of Hyderabad-based child rights organisation Balala Hakula Sangham, alleges that not just the principal, but the Mandal Educational Officer (MEO) is also colluding with the school authorities and is trying to hush up the issue.

""Our organisation had a word with the MEO. Instead of immediately cancelling the recognition of the school, the MEO Leela Rani is trying to cover up the issue and has said that she will be taking up the matter with the higher authorities. Is that how an issue of such serious nature has to be dealt with? The principal of the school should be booked under POCSO Act as it's a clear case of exploiting the children's modesty. The children should also be given psychological counselling in the aftermath of such a traumatic experience,"" Rao said.

Also Read : #GoodNews: 17-Yr-Old Abuse Survivor Speaks to MPs on Child Rights

Balala Hakula Sangham has filed a complaint with the National Commission for Protection of Child Rights (NCPCR) and has demanded that action be taken under the POCSO Act. Until now, the police have not registered a case against the school management.

Speaking to the local media, Chittoor DEO B Pratap Reddy, said an investigation into the issue is underway and that the school's recognition for the academic year 2019-2020 could be withdrawn.

(Published in an arrangement with The News Minute.)

(The Quint is now on WhatsApp. To receive handpicked stories on topics you care about, subscribe to our WhatsApp services. Just go to TheQuint.com/WhatsApp and hit the Subscribe button.)"
"3","1027939180","2018-12-28","https://timesofindia.indiatimes.com/city/vijayawada/6-kids-forced-to-stand-naked-for-turning-up-late-to-school-in-andhra-pradesh/articleshow/67280714.cms","6 kids forced to stand naked for turning up late to school in Andhra Pradesh - Times of India ►","The Times of India",FALSE,"VIJAYAWADA: A video showing six students of a private school in Andhra Pradesh's Chittoor district being paraded naked as a ""punishment"" for being late to school went viral on social media on Thursday.

Authorities at Chaitanya Bharati School forced the students studying in class III and IV to stand naked outside the school after they came in late on Wednesday. The National Commission for Protection of Child Rights (NCPCR) filed a complaint against the school, following which the district administration lodged a police complaint.

Punganuru sub-inspector P Gouri Shankar said they have booked academic in-charge Dulam Bhuvaneswari and correspondent Kadiyala Nagaraju Naidu for forcing the students to stand outside the school in the sun. ""We received a complaint from Punganuru mandal educational officer (MEO) Pulluru Leelarani on Thursday,"" he said. The accused have been booked under several sections of the IPC, including for causing hurt, assault and criminal intimidation, and section 75 (cruelty) of Juvenile Justice Act.

There are allegations that though the issue was highlighted earlier, the MEO did not initiate any action against the authorities and acted only after Chittoor collector P S Pradyumna ordered an inquiry into it. Chittoor district educational officer, K Panduranga Swamy, has issued orders withdrawing the recognition of the school on Thursday.

'Children must be counselled'

The NCPCR alleged that MEO initially tried to suppress the matter and demanded that his immediate suspension for ""colluding with school management to hush up the issue.""

Child-rights activist Achyuta Rao, who brought the matter to NCPCR, demanded that children be counselled. He also accused police of lapses as they have not invoked Protection of Children from Sexual Offences (POCSO) Act."
"4","1027705302","2018-12-27","https://www.latestly.com/india/news/andhra-pradesh-4-students-forced-to-strip-in-chittoor-school-for-coming-late-561370.html","Andhra Pradesh: 4 Students Forced to Strip in Chittoor School For Coming Late | LatestLY","Latestly",FALSE,"Vijayawada, December 27: Four students of a private school in Andhra Pradesh were made to strip by the authorities for coming late. The shocking incident was reported in Chittoor, the home district of Chief Minister N Chandrababu Naidu. The students, whose identities have been withheld, were forced to undergo the torment on Wednesday.

The Chaitanya Bharathi High School, where the students were subjected to the inhumane treatment, is not registered with the government, reports said. Located in Punganur village, it is being administered and owned by a private body. Class 2 Boy in UP's Aligarh Slapped, Punched, Hit With Shoes by Tuition Teacher; Incident Caught on CCTV.

The Andhra Pradesh Balala Hakkula Sangham has raised the matter with the government, and has also written to the National Commission for Protection of Child Rights.

Sangham president Achyuta Rao, while speaking to reporters, said the students were made to undress and stand for arriving late. Such kind of punishment leaves a lasting impact on the psyche of children, and can even plunge them into depression.

Rao has also asked the Chittoor Superintendent of Police to register a tight case against the teachers, and school management personnel involved. The accused should be booked under the stringent provisions of the Protection of Children From Sexual Offences (POSCO) Act.

Based on the complaint, a case has been registered against a teacher of the high school who punished the students in such brutal manner, the Punganur circle inspector said.

Several students' organisations in Chittoor also raised the issue. A protest was staged earlier in the day, demanding the administration to shut down the school as it is not recognised by the government."
"5","1025310612","2018-12-23","https://www.thehindu.com/news/cities/chennai/children-forced-to-skip-school/article25815548.ece","'Children forced to skip school'","The Hindu",FALSE,"A study on seasonal migrant palmyra workers' families in Ramanathapuram district in the State has exposed deplorable conditions such as child labour and denial of school education to 69% of children.

According to the study, children in the age group of 3-6 travel a distance of 3-5 km to avail ICDS services.

The distance to ICDS for 13% children is more than 20 km and for 17% children the distance is 6-10 km.

""The poor and marginalised palmyra labourers are landless. They migrate to palmgroves with the children. Of the 396 migrant settlements covered in the study, 88% of the families migrated with children,"" said A.R. Muniyasamy, president of State Palmyrah Workers and Handicrafts Society.

The labourers are forced to sell the produce to particular merchants who lend money in advance.

The government has not been able to provide water supply, PDS services, public health services, neighbourhood schools and public transport facilities in migrant settlements. Almost half the year, the families spend their lives in palmyra groves without access to any basic services.

""It is extremely unacceptable that a generation of children continue to live and work in inhuman conditions,"" said Mr. Muniyasamy.

""There are various national and international laws and policies recognising the rights of children, but those are meaningless in the lives of palmyra tapping families,"" said Mr. Muniyasamy.

Participants at the meeting stressed on the need for initiatives on bridge schools in the palmyra groves during the migrant season to prevent children from dropping out of school."
"6","1023791516","2018-12-21","http://www.newindianexpress.com/states/odisha/2018/dec/21/school-functions-without-nocstudents-forced-to-do-menial-jobs-1914554.html","School in Odisha's Jagatsinghpur functions without NOC, students forced to do menial jobs","The New Indian Express",FALSE,"JAGATSINGHPUR: After the State Government recently released a list of schools functioning without no objection certificate (NOC), names of more and more defaulting institutions are coming to the fore.

In the latest case, District Child Protection Officer Kanhu Charan Rout has lodged a complaint against Maa Ambika SC/ST Residential School, Sidhal for running a school by producing forged documents, harassing and humiliating students.

The school was opened in 1992 and the management of the residential school had obtained NOC by submitting a fake land document and other infrastructure. After obtaining NOC from the District Education Officer, Jagatsinghpur, the Board of Secondary Education gave permission to conduct examinations. Meanwhile, the villagers brought allegations of lack of facilities and harassment of students by engaging them in the agriculture field or domestic work.

ALSO READ: Over 200 schools run without NOC in Odisha's Jajpur

They alleged that school authorities have pressed the children, including girls, in domestic work and cultivation of paddy crops in the land. The students were also tortured when they refused to do these activities. The parents also alleged that though the strength of the residential school is about 170 from Classes I to X, the stipend of Rs 1,200 was being availed against 300 students.

Acting on the complaint, Collector Yamini Sarangi sought details on the school's infrastructure like toilets, kitchen, drinking water facilities, boundary wall, safety measures and other documents in August.

The school was also asked to comply with the shortcomings within 15 days but the management failed to do so following which the administration obtained permission from the Government and closed the school.

Despite the closure of the school, the management was running it illegally. Inspector-in-charge of Jagatsinghpur police station Rajani Kant Mishra said after receiving allegations, police registered a case against the president, secretary and headmaster of the school as their names are mentioned in the FIR under Juvenile Justice (Care and Protection of Children) Act and an investigation is on."
"7","1010078307","2018-12-04","https://www.thehindu.com/news/international/george-soros-graduate-school-says-it-is-being-forced-out-of-hungary/article25662505.ece","George Soros' graduate school says it is being forced out of Hungary","The Hindu",FALSE,"The Central European University, founded by George Soros, said on Monday, December 3, 2018, that it had been forced out of Hungary in ""an arbitrary eviction"" that violated academic freedom, and it confirmed plans to enrol new students in neighbouring Austria next year.

CEU's statement is the culmination of a years-long struggle between Hungarian-born but U.S.-based Mr. Soros, who promotes liberal causes through his charities, and the nationalist, anti-immigrant government of Prime Minister Viktor Orban.

""CEU has been forced out,"" said CEU President and Rector Michael Ignatieff in a statement. ""This is unprecedented. A U.S. institution has been driven out of a country that is a NATO ally. A European institution has been ousted from a member state of the EU.""

""Arbitrary eviction of a reputable university is a flagrant violation of academic freedom. It is a dark day for Europe and a dark day for Hungary,"" the statement added.

CEU's legal status has been in limbo for more than a year since changes to a higher education law that meant a foreign-registered university could no longer operate in Hungary unless it also provided courses in its home country.

Mr. Orban's critics say the changes deliberately target CEU, which is reguarly ranked as the top university in Hungary and offers U.S. degrees. Mr. Orban accuses Mr. Soros of encouraging mass immigration into Europe, a charge the philanthropist denies.

Earlier this year, Open Society Foundations, Mr. Soros' main funding network, was also forced to leave Hungary. CEU, founded in Budapest in 1991, has repeatedly said it has complied with all the new regulations set by Mr. Orban's government, which has refused to sign off on an already agreed document with the State of New York that would allow CEU to stay.

Hungary's government has dismissed the university's move as a ""Soros-style bluff.""

CEU said it would start enrolling students for U.S. degrees at its new campus in Vienna for the next academic year. Students already enrolled will complete their studies in Budapest.

The university retains accreditation as a Hungarian university and will seek to continue teaching and research activity in Budapest as long as possible, it said."
"8","1009631017","2018-12-03","https://www.firstpost.com/world/soros-founded-school-says-forced-out-of-hungary-on-dark-day-for-europe-5665871.html","Soros-founded school says forced out of Hungary on 'dark day for Europe' - Firstpost","Firstpost",FALSE,"By Marton Dunai and Krisztina Than

BUDAPEST (Reuters) - The Central European University, founded by billionaire George Soros, said on Monday it had been forced out of Hungary in ""an arbitrary eviction"" that violated academic freedom, and it confirmed plans to open a new campus in Austria.

CEU's statement is the culmination of a years-long struggle between Hungarian-born but U.S.-based Soros, who promotes liberal causes through his charities, and the nationalist, anti-immigrant government of Prime Minister Viktor Orban.

For nearly three decades CEU has been a gateway to the West for thousands of students from ex-communist eastern Europe, offering U.S.-accredited degree programmes in an academic climate that celebrates free thought.

The university said it would leave Budapest if it had not secured guarantees of academic freedom by Dec. 1.

""CEU has been forced out,"" said CEU President and Rector Michael Ignatieff in a statement. ""This is unprecedented. A U.S. institution has been driven out of a country that is a NATO ally. A European institution has been ousted from a member state of the EU.""

""Arbitrary eviction of a reputable university is a flagrant violation of academic freedom. It is a dark day for Europe and a dark day for Hungary,"" CEU's statement added.

Ignatieff told a news conference later that the CEU had received a ""clear and unequivocal"" welcome in Austria.

The United States said it was ""disappointed"" that CEU was unable to remain in Hungary.

The European Commission, which has taken Hungary to the EU's supreme court over the education law that prompted the CEU move and has clashed with Orban over democracy issues, said it was ""deeply concerned"".

The law ""needs to be brought back in line with EU law"", said an EU spokesman. ""It is now for the Court (of Justice of the European Union) to clarify this matter.""

Guy Verhofstadt, the liberal leader in the European Parliament and a former Belgian prime minister, said Orban should feel ""shame"", adding that it was the first time since Oslo University was forced to close by Norway's Nazi German occupiers in 1943 that a European university had been shut down.

LONG BATTLE

CEU's legal status has been in limbo for more than a year since changes to a higher education law that meant a foreign-registered university could no longer operate in Hungary unless it also provided courses in its home country.

Orban's critics say the legal changes deliberately targeted CEU, which is regularly ranked as the top university in Hungary. Orban accuses Soros of encouraging mass immigration into Europe, a charge the philanthropist denies.

Earlier this year, Open Society Foundations, Soros' main funding network, was also forced to leave Hungary.

CEU, founded in Budapest in 1991, says it has complied with all the new regulations set by Orban's government, which has refused to sign off on an already agreed document with the State of New York that would allow CEU to stay.

Hungary's government has dismissed the university's move as a ""Soros-style bluff"".

CEU said it would start enrolling students for U.S. degrees at its new campus in Vienna for the next academic year. Students already enrolled will complete their studies in Budapest.

The university retains accreditation as a Hungarian university and will seek to continue teaching and research activity in Budapest as long as possible, it said.

(Additional reporting by Gergely Szakacs; Editing by Gareth Jones)

This story has not been edited by Firstpost staff and is generated by auto-feed.

Updated Date: Dec 04, 2018 01:06 AM"
"10","1005746970","2018-11-28","https://www.abplive.in/videos/why-students-are-forced-to-take-tutions-after-school-ghanti-bajao-785427","Why students are forced to take tutions after school? | Ghanti Bajao | ABP News Videos","ABP Live",FALSE,"Education has become a great market for so many people in India. Most of the students are forced to take tuitions after their school. Students attend almost eight hours of school and afterwards they go to different coaching centres for other subjects. This marketization of education has brought some serious consequences to the students. It has built a lot of pressure on the kids. It cannot be taken lightly."
"11","1005143690","2018-11-28","https://timesofindia.indiatimes.com/city/dehradun/young-girls-forced-to-skip-school-during-periods-as-temples-fall-on-path/articleshow/66836940.cms","Young girls forced to skip school in Uttarakhand during periods as temples fall on path - Times of India","The Times of India",FALSE,"PITHORAGARH: Young girls from Rautgara village in Pithoragarh tehsil are forced to skip school for at least five days every month when they are menstruating as a temple dedicated to a local deity falls along the way to the institution.

Locals believe that the temple would be desecrated if women on their periods were to pass the area which has led parents to confine menstruating girls to their homes. In fact, the taboo has forced a few of the girls determined to get a good education to move to nearby cities and towns where they are staying with relatives. A team of the local administration will now be sent to counsel parents to allow girls to attend classes.

The issue was brought to fore when a team from the NGO Uttarakhand Mahila Manch visited the area. Uma Bhatt who led the team told TOI that girls from the village who attend Sail Government Intercollege have been skipping school for up to five days during their period. ""A temple dedicated to local deity Chamu Devta falls on the route to school. Teachers have been trying to encourage girls to attend classes but parents fear backlash from the community and thus don't allow the girls to go to school,"" Bhatt said.

A former teacher at the school requesting anonymity said, ""People here are very conservative. We tried several times to create awareness among parents and persuade them to let their daughters attend school but most of them did not want to defy traditional norms."""
