"","ID","date","url","title","source","duplicate","body"
"1","1026758211","2018-12-26","http://zeenews.india.com/education/gmac-includes-xavier-university-bhubaneswar-escp-europe-and-whu-otto-beisheim-school-of-management-as-member-institutes-2166061.html","GMAC includes Xavier University Bhubaneswar, ESCP Europe and WHU Otto Beisheim School of Management as member institutes","Zee News",FALSE,"The Graduate Management Admission Council (GMAC) on Wednesday added three educational institutes - Xavier University Bhubaneswar, ESCP Europe and WHU Otto Beisheim School of Management - in its membership. With this, GMAC's total membership is up to 225.

""GMAC continues to strengthen its membership of graduate business schools that are not only working to address the changing needs of students, but also understanding the landscape and what can be done to better prepare students for their careers,"" said Sangeet Chowfla, president and CEO of GMAC. ""Each of these three schools brings a unique approach from its area of the world. The perspectives they collectively bring to the Council will help further our mission and work to identify the opportunities and challenges faced by our industry.""

Xavier Institute of Management is a part of Xavier University Bhubaneswar. The varsity also offers a host of other courses including undergraduate and postgraduate courses.

ESCP Europe has been called as the world's first business school. It currently has campuses in Paris, Berlin, London, Madrid, Turin, and Warsaw.

WHU - Otto Beisheim School of Management, another leading business schools in Germany, has campuses in Vallendar and Düsseldorf.

The Graduate Management Admission Council (GMAC) is an association of leading graduate business schools worldwide. Founded in 1953, we are committed to creating solutions for business schools and candidates to better discover, evaluate and connect with each other. We work on behalf of the schools and the graduate management education community, as well as guide candidates on their journey to higher education, to ensure that no talent goes undiscovered.

GMAC owns and administers the Graduate Management Admission Test (GMAT). The GMAT scores analyses assess analytical, writing, quantitative, verbal, and reading skills for admission to graduate management programs."
"3","1019513652","2018-12-16","http://www.newindianexpress.com/cities/hyderabad/2018/dec/16/3-yr-old-drowns-in-pool-during-school-picnic-1912135.html","3-yr-old DPS playschool student drowns in pool during school picnic, parents blame management ","The New Indian Express",FALSE,"HYDERABAD: A three-year-old nursery student died after drowning in a swimming pool due to alleged negligence of the school management at Moinabad here on Saturday. According to police, Mohammed Ayyan was a student of DPS Kids Play school at . The police said the incident took place when the school management took around 100 students and their parents for picnic to Sabiya farmhouse at Tholkatta village in Moinabad.

Around 12pm, all the children were playing and their parents were relaxing in the lawns. Ayyan who was sitting with his father Azam, seeing other children play joined them. After sometime when Ayyan was not to be seen anywhere his father went searching for him and informed the school staff. An hour later, they noticed Ayyan floating in the pool inside the farmhouse. They pulled him out from the pool and soon shifted him to a nearby hospital. However, he was declared brought dead at the hospital.

The deceased child's parents alleged that the negligence of the farmhouse owner in providing enough safety measures at the pool and the failure of the management in taking proper care of the children lead to the incident.A case of causing death due to negligence has been registered against Sabiya, the owner of the farmhouse and the school principal Rubina."
"6","1019472918","2018-12-15","https://www.aninews.in/news/toddler-died-after-drowning-parents-blame-school-management-for-negligence201812160401150001/","Toddler died after drowning, parents blame school management for negligence","http://aninews.in",FALSE,"Ranga Reddy (Telangana) [India], Dec 16 (ANI): A three-year-old student of a private play school died after allegedly drowning in a swimming pool at a farmhouse in Telangana's Ranga Reddy district.

The incident took place on December 15 when the school organised a sports cum carnival day at the farmhouse located in Moinabad police station limits for the students and their parents.

A case has been registered after parents of the deceased filed a complaint in this regard blaming the school management for negligence.

Deputy Commissioner of Police (DCP) Shamshabad, N Prakash Reddy said, ""We have received the complaint from the parents of the deceased and a case under Section 304A (causing death by negligence) of the Indian Penal Code (IPC) has been registered.""

The body of the deceased has been shifted to a local government hospital for post-mortem while further investigation is underway. (ANI)"
"7","1018326612","2018-12-14","https://timesofindia.indiatimes.com/home/education/news/times-higher-education/wsj-survey-on-management-education-isb-iim-c-s-p-jain-school-of-global-management-among-top-5/articleshow/67089611.cms","Times Higher Education/WSJ survey on management education: ISB, IIM-C, S P Jain School of Global Management among top 5 - Times of India","The Times of India",FALSE,"NEW DELHI: Indian School of Business (ISB), Indian Institute of Management Calcutta (IIM-Calcutta) and S P Jain School of Management are among the top five institutes in a recently-released analysis of business schools around the world by Times Higher Education and Wall Street Journal.

The schools are ranked second, third and fourth, respectively, under the 'Top Tier: One year MBA degrees' listing. With an overall score of 76.2, University of Hong Kong tops the list, followed closely by Indian School of Business (75.7), IIM-Calcutta (75.5) and S P Jain School of Global Management (74.8).

In total, 114 business schools from 24 countries were ranked in the survey. One of the key parts of the data collection was the alumni survey, which was taken by more than 23,000 students from three different cohorts: those who finished their studies in 2012, those who finished in 2013 and those who finished in 2015.

The ranking is based on 20 individual performance indicators combining to create an overall score that reflects the strength of each programme and school. These scores were then aggregated into four key areas -- resources, engagement, outcomes and environment.

Other high-achieving schools on the list include IMD, NUS Business School, HEC Paris, Melbourne Business School and the Cranfield School of Management, among others."
"8","1018315380","2018-12-14","https://swarajyamag.com/insta/kerala-school-management-association-expels-general-secretary-over-fund-appropriation-without-cbse-permission-2","Kerala School Management Association Expels General Secretary Over Fund Appropriation Without CBSE Permission","swarajyamag.com",FALSE,"Kerala CBSE School's Management Association has removed its General Secretary Indira Rajan and working president G Rajmohan from their posts due to allegations of misappropriating funds, reports Times of India.

The duo allegedly organised a sports meet without the prior permission of CBSE and even sent letters in the name of the education body. They promised certificates to the students, collecting participating amount from them.

The association president T P M Ibrahim Khan said, ""They again planned to organise a similar event this year. The association has intervened and written to both Centre and state governments, following which the event was stopped in November.""

Khan added that the money was not transferred through the official sports council account.

Refuting allegations, Indira Rajan said that all accounts had been settled with every single transaction done under the responsibility of the organising committee.

She sent a statement which said- ""I am personally not a party to any collection or disbursement of funds. I am open to discussing this matter in an open forum of CBSE."""
"9","1012370869","2018-12-06","http://www.asianage.com/metros/mumbai/071218/mumbai-schools-may-get-school-management-committee.html","Mumbai schools may get school management committee","The Asian Age",FALSE,"MUMBAI: The concept of School Management Committee (SMC), which is being carried out in rural schools of Maharashtra, may soon be implemented in city schools too.

Currently, instead of SMC, city schools have Parents Teachers Associations (PTA), which aims at building good relations between teachers/management and parents for the benefit of students. Yet parents seem dissatisfied with the major decisions taken by schools.

Meanwhile, the state education department is getting a good response from parents and schools in Zilla Parishad and other taluka-level in the state.

Some of the highlights of SMC in rural schools include, 'A day at school', where parents along with grandparents and siblings spend the entire day at school with teachers, headmistress and the student.

There is also the 'Personalised mid-day meal', which is created by teachers and parents together as per the ingredients schools receive for the mid-day meal every month.

""By mixing, matching and twisting the ingredients, a new dish is created once or twice a week to charge the students,"" a teacher from the Nashik district school said.

'HM-Parents brainstorming' is another innovative programme under the SMC which helps both the stakeholders to understand students' requirements in order to increase productivity.

SMC and PTA both functions equally however a major difference is the level of involvement.

Prachi Sathe, officer on special duty of state government explained, ""PTA is limited to open houses, fee hike discussions, etc. While with SMC, a student is discussed in and out by the teacher and the parents. This way, both of them know what is to be done to help the student do better in every way. Moreover, education is looked at in a different manner in rural areas as most students are first generation learners.""

The state education department is in talks with schools in the city to bring SMC in all level schools including civic, government-aided and open board schools."
"10","1005214630","2018-11-28","http://businessworld.in/article/SP-Jain-School-Of-Global-Management-Issues-Blockchain-Enabled-Certificates-To-Its-Students-/28-11-2018-164631","SP Jain School Of Global Management Issues Blockchain Enabled Certificates To Its Students    "," BW | Businessworld",FALSE,"SP Jain School of Global Management today announced the issuance of Blockchain enabled certificates to its students. As many as 1189 blockchain based certificates were issued which are now Live on Ethereum Blockchain. SP Jain School of Global Management has become the first of a kind B-School to issue certificates for its degree and professional certification using the custom smart contract on popular public blockchain platform Ethereum

This step will enable the recruiting organizations and other relevant bodies to validate the veracity of the certificates issued to a student.

The automated five-step blockchain validation is intuitive and does not require any technical know-how on validator's end. Prospective employers or other agencies can now directly verify our student's credentials, authenticity, and view student projects without contacting the institution.

Nitish Jain, President, SP Jain School of Global Management said, ""Digital certificates are the future. There have been various attempts globally to issue certificates on the blockchain. But so far no one has captured the complete lifecycle of the certification. Students' attendance and other private data are securely stored in the school's private blockchain and only the certification related data is exposed to the public Ethereum blockchain. The future is now. It's either change or perish"".

Vikram Pandya, Director of the Fintech Program at SP Jain Global said, ""We are at the crossroads of a major digital upheaval. Right from shopping to banking, we are going the digital way, it is therefore natural to digitize all significant documents in the near future. By scanning the smart QR code printed on the certificate anyone can validate the certificate without requiring any additional software or application.""

The intelligent custom smart contract, created in partnership with Smart-Sense Consulting Solutions, allows SP Jain School of Global Management to issue certificates, link students' portfolio & projects, link students' transcript and other documents, track its verification/use and control revocation list."
"11","1004502839","2018-11-27","https://www.moneycontrol.com/news/business/economy/sp-jain-school-of-global-management-issues-blockchain-enabled-certificates-3225101.html","SP Jain School of Global Management issues blockchain-enabled certificates","MoneyControl",FALSE,"This is the first such initiative by a business school in the world

SP Jain School of Global Management on November 27 announced the issuance of blockchain-enabled certificates to its students. As many as 1,189 blockchain-based certificates were issued which are now live on Ethereum blockchain. The first such initiative by a business school in the world, this will help curb fake certificates.

Blockchain refers to a digital ledger in which transactions made using bitcoin or another cryptocurrency are recorded chronologically and publicly.

Ethereum's blockchain can handle transactions like those used in bitcoins but can also store and execute newly coded programming logic. Also, Ethereum can handle not just payments but also other transactions like the execution of smart contracts.

""This will enable the recruiting organisations and other relevant bodies to validate the veracity of the certificates issued to a student,"" said the institute in a statement.

The automated five-step blockchain validation is intuitive and does not require any technical know-how on validator's end. Prospective employers or other agencies can now directly verify our students' credentials, authenticity, and view student projects without contacting the institution.

Nitish Jain, President, SP Jain School of Global Management said digital certificates are the future.

""There have been various attempts globally to issue certificates on the blockchain. But so far no one has captured the complete lifecycle of the certification,"" said Jain.

Here, he said the students' attendance and other private data are securely stored in the school's private blockchain and only the certification-related data is exposed to the public Ethereum blockchain.

Vikram Pandya, Director of the fintech programme at SP Jain Global said by scanning the smart QR code printed on the certificate anyone can validate the certificate without requiring any additional software or application.

The intelligent custom smart contract, created in partnership with Smart-Sense Consulting Solutions, allows SP Jain School of Global Management to issue certificates, link students' portfolio & projects, link students' transcript and other documents, track its verification/use and control revocation list."
"12","1003753056","2018-11-26","https://timesofindia.indiatimes.com/home/education/news/internationalimmersion-programme-a-step-towardsbecoming-a-global-manager-at-fore-school-of-management-new-delhi/articleshow/66814371.cms","International Immersion Programme - A step towards becoming a Global Manager at FORE School of Management, New Delhi - Times of India","The Times of India",FALSE,"International Business is undergoing a paramount transformation with the arrival of new technologies, shrinking boundaries, and the growing cosmopolitan cult...

International Business is undergoing a paramount transformation with the arrival of new technologies, shrinking boundaries, and the growing cosmopolitan culture. The Indian market itself has become a thriving ground for international talent and with the growing entrepreneurship in the Indian Subcontinent, the global demand for cutting-edge business solutions and inventive minds is on the rise.

Among the leading Indian B-Schools, FORE School of Management has wholeheartedly embraced the wind of change and has fully committed itself to foster the sharpest minds in the business world with a special focus on the global business climate. The New Delhi Based Business School has trained young minds and launched the careers of many with several of its students heading the major departments across an impressive array of verticals.

Recently, the FORE School of Management conducted an International Immersion Programme to facilitate a global and progressive learning environment for the students. In a brief programme spanning almost a week, IIP focused on providing students the international exposure and a platform for exchanging ideas and practices through streamlined lectures by the major academicians.

The 2018 IIP had 5 highly specialized and cutting-edge courses:

During the 2018 IIP, students visited various companies in Singapore like Grey Orange, Expara, Olam, and DHL as an essential part of their academic program. Technology group students also relished the first-hand experience of 3D printing at 3D Printing Lab of NTU. With a fully residential program like this, students sojourned at an excellent residential facility of Nanyang Executive Centre, part of NTU, Singapore.

Prof. Himanshu Joshi, Prof. in charge, International Relations says, ""International Immersion Program at FORE is designed to give students an opportunity to learn the latest advancement in their respective field of specialization and deepen their knowledge about an increasingly globalized business environment. Five highly specialized courses developed by Nanyang Business School, Singapore faculty based on their intensive research experience are conducted over a week period for FORE students. Apart from the rigorous academic inputs, IIP provides insights into Singapore's Econo-political, business, social, and cultural life.""

With the 2018 IIP, PGDM IB students got the chance to interact with and learn from Prof. Patrick Gibbons, the Jefferson Smurfit Professor teaching Strategic Management at the University College Dublin who conducted the course for IB students at the Nanyang Executive Centre, Singapore. Prof. Gibbons introduced the students to some of the most ground-breaking International Competitive Strategies, designed to tackle the most formidable challenges that managers often face because of the unpredictable international business climate. International Competitive Strategies Course highlighted the pathways for managers who struggle with the changing business climate and illuminated methods concerning how they should deploy the business assets and resources to achieve the optimal output.

PGDM 2016-2018 batch's student Akshay Sood recounts his brilliant IIP experience at NEC, Singapore. He journalized his IIP experience via a photo-story and remarked that it indeed brought him face to face with the challenging global business climate. Akshay mentioned in his photo story that it was curiosity and an insatiable hunger for knowing more that took him to Singapore and the moment he stepped on the massive campus of Nanyang, he knew that it was the wisest trip he had made.

Akshay spent six days with his friends and batchmates in Singapore, learning from the best and recounted how fruitful the visit to the several established companies like Expara, DHL, Grey Orange, etc. were. As part of the overseas academic program, the whole batch visited the 3-D printing Lab of NTU where they received exposure to the innovative practice and ideas. He recounted how this educational trip had been among the most fulfilling ones since he didn't just get the chance to explore the beautiful city of Singapore but also witnessed the technologically advanced marvel firsthand."
"14","969419629","2018-10-14","https://www.thehindu.com/news/cities/bangalore/private-school-management-president-stabbed-to-death/article25222459.ece","Private school management president stabbed to death","The Hindu",FALSE,"Police suspect civil dispute to be the cause of murder; one accused arrested, two absconding

The president of a private school management was stabbed to death in Magadi Road police station limits on Sunday morning.

The victim Ranganath, who was running Havanur Public School at Basaveshwaranagar, was assaulted by three men and stabbed to death in the school office.

The police suspect civil dispute to have been the cause of the murder. According to the police, there was a longstanding dispute over a CA site adjacent to the school premises.

Recently, a court gave a verdict in favour of the school, and accordingly, on October 12, Bangalore Development Authority sent people to evict the family that was residing on the premises. Part of the house was razed after which some of the family members were allegedly upset with the school management for rendering them homeless.

According to the police, on Sunday morning, three members of the family wanted to meet the school management to settle the dispute. Ranganath invited them to his office, but an argument ensued, and one of the three men stabbed him. The trio then fled from the spot. Ranganath was taken to a local hospital where he was declared brought dead, the police said.

Shot at

A team of officials from Magadi Road and K.P. Agrahara stations went in search of the accused. Based on a tip-off, the police rounded them up near Kirloskar Poultry Road. One of the accused, Muniraju, assaulted the police constables, upon which they fired three rounds of shots, injuring him on the leg. He was then shifted to Victoria Hospital.

The police are on the lookout for the other two attackers."
