"","ID","date","url","title","source","duplicate","body"
"1","997638366","2018-11-18","https://www.thehindu.com/news/cities/Delhi/sdmc-schools-to-get-cctv-cameras/article25533711.ece","SDMC schools to get CCTV cameras","The Hindu",FALSE,"South Delhi Municipal Corporation Education committee chairperson Nadnini Sharma said the body was all set to install CCTV cameras in its schools which will allow parents to watch live on the mobiles the activities of their wards in the school. She made the announcement at a 'Bal Divas' event at Ambedkar Stadium on November 17.

The project of installing about 4,348 CCTV cameras in 344 of its primary schools which have up to 2.5 lakh students enrolled was given the nod by the Standing Committee of the corporation in June. The project was expected to cost about ₹5 crore. A senior official said that it is expected to be completed by year-end.

At the event, other announcements were also made including the launching of a ""Bal Sansad"" or parliament to inform students of the democratic process, as well the commencement of an annual ""Shikshak Rattan"" award for one teacher and one principal in SDMC schools. The Mayor also announced a holiday for SDMC schools on Monday."
"2","985868826","2018-11-04","https://www.freepressjournal.in/mumbai/navi-mumbai-municipal-schools-to-get-cctv-cameras/1389819","Navi Mumbai municipal schools to get CCTV cameras","Free Press Journal",FALSE,"Mumbai: Amid increasing reports of minors being subjected to sexual assault on school premises in Navi Mumbai, the the Navi Mumbai Municipal Corporation (NMMC) will soon instal Closed Circuit Television (CCTV) cameras at all 70 of its civic schools. The move is on the heels of a police recommendation that schools be under CCTV surveillance as a precautionary measure.

The importance of this security measure on school premises was brought home by the alleged rape of a nine-year-old girl inside the toilet of her school in Vashi in September. The victim confided to her mother about the incident. She said, an unidentified person took her to a toilet after covering her mouth with a handkerchief and raped her. The incident took place as she was entering school. Since there were no CCTV cameras installed in the school, the accused was never identified.

Meanwhile, police will send notices to schools to take precautions to ensure the safety of students on the premises. Sudhakar Pathare, Deputy Commissioner of Police (Zone 1), said, ""Apart from requesting schools to instal CCTV cameras, we have also asked schools to hire guards from certified security agencies, who can keep a record of people entering and leaving the school.""

DCP Pathare added, school management and staff should also ensure the CCTV footage be retained for at least a week, and not just for 24 hours, as is usually the practice. NMMC Commissioner N Ramaswamy said this proposal was tabled in the committee in March and the project is underway. ""At this juncture, the project is at tendering stage. All civic schools in the city will be under CCTV surveillance by the end of this financial year. Each school will be installed with CCTV cameras after thorough individual survey. The results of the survey will determine the number of cameras required per school.""

Explaining how installation of CCTV surveillance costs as low as Rs 14 per student, parents will not mind paying a minimal amount to ensure the safety and security of their children. Lopes Diago, Principal of St Xavier's School in Nerul said, ""Our schools are well-equipped with CCTV surveillance. Lack of funds cannot be an excuse for not having one. We have installed cameras everywhere and a student has to pay just Rs 14 more for the security.""Parents will breathe a sigh of relief over the decision, as it will mean improved alertness and security, said an educational activist."
"3","949701043","2018-09-18","http://www.asianage.com/metros/delhi/190918/cabinet-approves-cctv-cameras-in-government-schools.html","Cabinet approves CCTV cameras in government schools","The Asian Age",FALSE,"New Delhi: The Delhi Cabinet on Tuesday approved the installation of CCTV cameras in government schools in the city to ensure safety of students. The cabinet also renamed the school management committees (SMCs), which will now be known as Vidyalaya Kalyan Samitis.

The meeting chaired by Chief Minister Arvind Kejriwal also accorded its in-principle approval for the doubling of financial assistance to RWAs/NGOs for maintenance of parks and gardens and provision of financial assistance for installation of sewage treatment plants.

The Delhi government had last year mandated installation of CCTV cameras in all schools covering classrooms, labs, corridors, parking, library, vacant rooms, the areas outside washrooms, corners and other inaccessible areas.

""The cabinet accorded its administrative approval and the expenditure sanction for the installation of CCTV cameras in government schools under the Directorate of Education (DoE).

""The department's proposal was to seek administrative approval and expenditure sanction for the project of supply, installation, testing, commissioning and comprehensive annual maintainance contract of CCTV cameras in government schools,"" an official statement said.

It was also decided that an online access to parents be provided to be able to see their children's classrooms. Kejriwal had directed to form a core committee in December last year.

The panel had to prepare a road-map, time-bound plan and oversee the function of installation of CCTV cameras in government schools and also decide a tentative timeline for the project.

The cabinet also decided that the funds for Vidyalaya Kalyan Samitis will not be allocated as per the school building's size but on the basis of enrolment of students.

""The fund requirement for this revamped scheme will be met from the budget head - SMC Fund and an amount of Rs 56 crore has been proposed for the current financial year,"" the statement said.

The cabinet also approved the Directorate of Education's proposal for revision in remuneration of miscellaneous category of guest teachers."
"4","949603821","2018-09-18","https://www.thehindu.com/news/cities/Delhi/cabinet-approves-cctv-cameras-in-schools/article24981402.ece","Cabinet approves CCTV cameras in schools","The Hindu",FALSE,"Survey to map city to spot infrastructural problems vis-à-vis women's safety also given the go-ahead

Installation of CCTV cameras in government schools, a new survey to ascertain the level of safety for women in public spaces, and hikes in assistance to Residents' Welfare Associations (RWAs) and leprosy patients were among the proposals passed by the Delhi Cabinet on Tuesday.

At a meeting chaired by Chief Minister Arvind Kejriwal, the Cabinet passed the Education Department's proposal for administrative approval and expenditure sanction for installing CCTV cameras in government schools, a government statement said.

In May, the Expenditure Finance Committee had approved the ₹597 crore project to instal 1.46 lakh cameras in schools, including inside classrooms. The cameras will cover classrooms, corridors, laboratories, libraries, vacant rooms, parking lots and areas outside washrooms.

The government had decided to instal cameras in schools after a spate of attacks on children inside institutes across the NCR in the past year. In July, the Cabinet had approved a project to instal 1.4 lakh cameras in Delhi's residential colonies and markets.

In order to map the city for infrastructural problems, a proposal by the Women and Child Development Department to conduct a survey with the NGO SafetiPin was approved by the Cabinet, the statement said.

The NGO had done a survey to identify dark spots a few years ago, the statement added. The new survey will involve collection of data on the level of brightness, visibility, number of pedestrians, presence of security or police personnel, condition of footpath, availability of public transport and percentage of women and children in the crowd at different locations in the city.

This information will be crowd-sourced using two apps created by SafetiPin.

The Cabinet also approved the Environment and Forest Department's proposal to double the amount of financial assistance, from ₹1 lakh per acre to ₹2 lakh per acre, to RWAs and NGOs to maintain parks.

The Cabinet also cleared a proposal to give one-time assistance of ₹2 lakh per acre for the setting up of a sewage treatment plant (STP) at parks maintained by the RWAs or NGOs. The STP will draw sewage from the nearest line of the Delhi Jal Board, treat it and then enable the use of the grey water to irrigate the park.

The Cabinet also cleared the Education Department's proposal to rename the existing Vidyalaya Kalyan Samiti scheme to School Management Committee (SMC) Fund in order to empower the SMCs. The Cabinet also approved the department's proposal to increase the rates of remuneration of guest teachers that fall in the ""miscellaneous"" subject category, including music and special education.

The Social Welfare Department's proposal to increase the financial assistance to leprosy patients from ₹1,800 a month to ₹3,000 a month under the Rehabilitation Centre for Leprosy Affected Persons (RCL) Scheme was also approved.

The government said that there are 562 beneficiaries of the RCL scheme who will get the enhanced rates from September onwards."
"5","949383312","2018-09-18","https://www.business-standard.com/article/pti-stories/delhi-cabinet-approves-installation-of-cctv-cameras-in-govt-schools-118091801079_1.html","Delhi Cabinet approves installation of CCTV cameras in govt schools","Business Standard",FALSE,"Short film to encourage use of surveillance camera released

The Delhi Cabinet on Tuesday approved the installation of CCTV cameras in government schools in the city to ensure safety of students.

The Delhi government had last year mandated installation of CCTV cameras in all schools covering classrooms, labs, corridors, parking, library, vacant rooms, the areas outside washrooms, corners and other inaccessible areas.

""The cabinet accorded its administrative approval and the expenditure sanction for the installation of CCTV cameras in government schools under the Directorate of Education (DoE).

""The department's proposal was to seek administrative approval and expenditure sanction for the project of supply, installation, testing, commissioning and comprehensive annual maintainance contract of CCTV cameras in government schools,"" an official statement said.

The panel had to prepare a road-map, time-bound plan and oversee the function of installation of CCTV cameras in government schools and also decide a tentative timeline for the project."
"6","946300856","2018-09-14","https://www.apherald.com/Politics/ViewArticle/319835/3000-Karnataka-Govt-Schools-to-get-CCTV-Cameras/","3000 Karnataka Govt Schools to get CCTV Cameras","APHerald [Andhra Pradesh Herald]",FALSE,"According to sources as per report from the current academic year, over 3,000 government primary and high schools in Karnataka will be brought under CCTV camera surveillance. Meanwhile when following instructions from Chief Minister HD Kumaraswamy, it was stated that the CCTV cameras will be installed in a phased manner by the state department of primary and secondary education. In the first step, the Department of Education (DoE) has released Rs 10 crore for installation of the cameras at over 3,000 government schools across the state.

Recently while priority is being accorded to schools with greater number of girl students, each school will get four CCTV cameras. Furthermore the spots where the CCTC cameras are to be installed will be decided by officials at the local level and the school heads depending on strategic locations and their sensitivity. Accordingly one camera will be installed at the entrance of the school, one will be in the playground and another in the teachers' lobby and school authorities will be able to monitor the footage using a computer."
"7","946088964","2018-09-13","https://scroll.in/latest/894277/delhi-high-court-refuses-to-grant-interim-stay-on-installation-of-cctv-cameras-in-schools","Delhi High Court refuses to grant interim stay on installation of CCTV cameras in schools","Scroll.in",FALSE,"The court will hear a petition challenging the move again on December 13.

The Delhi High Court on Thursday refused to grant an interim stay on the Delhi government's decision to install closed-circuit television cameras in state-run school classrooms, India Legal reported. It will next hear the petition challenging the government's decision on December 13.

The government told the court on Thursday that the footage from CCTV cameras would be password-protected and only parents will be able to access it. The government said it would propose guidelines on monitoring the footage.

The counsel for petitioner Daniel George said even the passwords can be hacked and privacy can be breached. George has asked the court to quash the government's decision.

The government has earlier defended the move, which was announced in January, saying it would check incidents of sexual abuse and bullying as well as absenteeism of teachers."
"9","945931342","2018-09-13","https://www.business-standard.com/article/news-ani/delhi-hc-denies-interim-stay-on-installation-of-cctv-cameras-in-schools-118091300801_1.html","Delhi HC denies interim stay on installation of CCTV cameras in schools","Business Standard",FALSE,"No clear evidence of assault on couple in Kolkata Metro found: GM

The Delhi High Court on Thursday dismissed a petition seeking an interim stay on the move of the Delhi government to install CCTV cameras in classrooms of government schools. The matter will be next heard on December 13.

The plea was filed against proposed supply, installation, test, and commission of the CCTV cameras in the government schools by the Delhi government.

Refusing to grant interim stay on the installation of CCTV cameras, the high court observed that it is for the safety and security of the children studying in schools.

During the course of hearing, Delhi Government counsel assured the court that the footage of the CCTV cameras would be password protected and the access will be given only to the parents.

In order to back its decision of installing cameras in school, the Delhi Government had earlier filed a report stating that sexual abuse and bullying incidents are rampant in the school and that it is not limited to the girl students. It further said that similar problems are being faced, almost on daily basis, by lady teachers also."
"10","945912425","2018-09-13","https://www.aninews.in/news/delhi-hc-denies-interim-stay-on-installation-of-cctv-cameras-in-schools201809132032010002/","Delhi HC denies interim stay on installation of CCTV cameras in schools","http://aninews.in",FALSE,"New Delhi [India], India, Sep 13 (ANI): The Delhi High Court on Thursday dismissed a petition seeking an interim stay on the move of the Delhi government to install CCTV cameras in classrooms of government schools. The matter will be next heard on December 13.

The plea was filed against proposed supply, installation, test, and commission of the CCTV cameras in the government schools by the Delhi government.

Refusing to grant interim stay on the installation of CCTV cameras, the high court observed that it is for the safety and security of the children studying in schools.

During the course of hearing, Delhi Government counsel assured the court that the footage of the CCTV cameras would be password protected and the access will be given only to the parents.

In order to back its decision of installing cameras in school, the Delhi Government had earlier filed a report stating that sexual abuse and bullying incidents are rampant in the school and that it is not limited to the girl students. It further said that similar problems are being faced, almost on daily basis, by lady teachers also. (ANI)"
"11","944586642","2018-09-12","http://www.newindianexpress.com/states/karnataka/2018/sep/12/cctv-cameras-to-soon-keep-watch-on-karnataka-government-schools-1870953.html","CCTV cameras to soon keep watch on Karnataka government schools","The New Indian Express",FALSE,"BENGALURU: Government primary and high schools in the state will function under closed circuit television (CCTV) cameras from the current academic year itself. The state department of primary and secondary education has decided to install CCTV cameras in a phased manner following instructions from Chief Minister HD Kumaraswamy.

In the first phase, over 3,000 high schools will get CCTVs at an estimated total cost of Rs 10 crore. Priority will be given to schools with more number of girl students.As per the decision, each school would get four CCTV cameras, and officials at the local level and the head of the school will decide the spots based on strategic locations and their sensitivity.

""CCTVs will ensure safety of students and prevent unknown persons from entering school campuses,"" said a senior official of the department.The finance department has agreed to release funds for installation of CCTVs under the 'Secondary school buildings maintenance' for which an announcement was made in the 2018-19 budget by Chief Minister Kumaraswamy.

""At a recent meeting with primary and secondary education department officials, the Chief Minister had said safety of children in government schools should be the top priority. He then directed the principal secretary of the department to take necessary measures to install CCTVs,"" said an official.

Installation of CCTVs at all schools across the states was made compulsory in the year 2017 following increasing incidents of sexual harassment and child abuse on school children. However, there was an objection from private school managements for not applying this to government schools.""It is not that government schools have been exempted from installing CCTVs. Shortage of funds makes it difficult for government schools to have CCTVs,"" said the official."
