"","ID","date","url","title","source","duplicate","body"
"1","1022869151","2018-12-20","https://www.latestly.com/india/information/niti-aayog-mulls-tax-hike-on-tobacco-products-alcohol-and-sweetened-beverages-suggests-to-regularise-yoga-in-schools-to-encourage-healthy-behaviour-550026.html","Niti Aayog Mulls Tax Hike on Tobacco Products, Alcohol and Sweetened Beverages, Suggests to Regularise Yoga in Schools to Encourage Healthy Behaviour | LatestLY","Latestly",FALSE,"New Delhi, December 20: The Niti Aayog has sought a hike in the taxes on tobacco, alcohol and sweetened beverages while suggesting that yoga be made a regular activity in schools to encourages healthy choices and behaviours. In its 'Strategy for New India @75' document released on Wednesday, the government think tank has sought increase in the public funding on health to at least 2.5 per cent of the GDP as envisaged in the National Health Policy, 2017.

To improve the public and preventive health system in the nation, it also called for strengthening the village health sanitation and nutrition day platform to cover a broader set of health issues across various population groups instead of only focusing on child health. Niti Aayog Mulls Clean Energy Move, Pramote Methanol Use as Cooking Fuel.

The Aayog also called for activating multiple channels-- schools, colleges, women's groups, traditional events like fairs, social media platforms among others-- and prepare communication materials for catalysing behavioural change towards greater recognition of preventive health care. Methanol to Be Used As Cooking Fuel, Niti Aayog Mulls Clean Energy Move.

It also recommended incentivising state governments to invest in creating a dedicated cadre for public health at the state, district and block levels and instituting a public health and management cadre in states.

The Niti Aayog further suggested that a designated agency needs to be set up with the required capacities and linkages to perform the functions of disease surveillance, information gathering on the health impact of policies of key non-health departments and maintenance of national health statistics among others.

Public health, the science of keeping communities healthy through the prevention of disease and promotion of health and wellness, has historically been a low priority in India, the Aayog said.

""Of the total current expenditure on health classified by healthcare functions, preventive care accounts for 6.7 per cent. The money spent on curing people on the other hand is 51 per cent of the expenditure with the remaining money being spent on pharmaceuticals, other medical goods and patient transportation,"" it said.

The report stated that public health action and management is a scientific and professional endeavour which should not be left to untrained employees relying on common sense alone.

The Aayog further pitched for reform in the governance of medical, nursing, dentistry and pharmacy education in the country, enhancing production of doctors, training non-physicians, engaging private sector and ensuring access to affordable drugs and medical devices."
"3","1022734251","2018-12-20","https://www.moneycontrol.com/news/business/economy/hike-tax-on-tobacco-alcohol-regularise-yoga-in-schools-niti-aayog-3310301.html","Hike tax on tobacco, alcohol, regularise Yoga in schools: Niti Aayog","MoneyControl",FALSE,"In its 'Strategy for New India @75' document released on Wednesday, the government think tank has sought increase in the public funding on health to at least 2.5 percent of the GDP as envisaged in the National Health Policy, 2017.

The Niti Aayog has sought a hike in the taxes on tobacco, alcohol and sweetened beverages while suggesting that yoga be made a regular activity in schools to encourages healthy choices and behaviours.

In its 'Strategy for New India @75' document released on Wednesday, the government think tank has sought increase in the public funding on health to at least 2.5 percent of the GDP as envisaged in the National Health Policy, 2017.

To improve the public and preventive health system in the nation, it also called for strengthening the village health sanitation and nutrition day platform to cover a broader set of health issues across various population groups instead of only focusing on child health.

The Aayog also called for activating multiple channels-- schools, colleges, women's groups, traditional events like fairs, social media platforms among others-- and prepare communication materials for catalysing behavioural change towards greater recognition of preventive health care.

It also recommended incentivising state governments to invest in creating a dedicated cadre for public health at the state, district and block levels and instituting a public health and management cadre in states.

The Niti Aayog further suggested that a designated agency needs to be set up with the required capacities and linkages to perform the functions of disease surveillance, information gathering on the health impact of policies of key non-health departments and maintenance of national health statistics among others.

Public health, the science of keeping communities healthy through the prevention of disease and promotion of health and wellness, has historically been a low priority in India, the Aayog said.

""Of the total current expenditure on health classified by healthcare functions, preventive care accounts for 6.7 per cent. The money spent on curing people on the other hand is 51 per cent of the expenditure with the remaining money being spent on pharmaceuticals, other medical goods and patient transportation,"" it said.The report stated that public health action and management is a scientific and professional endeavour which should not be left to untrained employees relying on common sense alone."
"4","1022434730","2018-12-19","https://www.latestly.com/agency-news/hike-tax-on-tobacco-alcohol-regularise-yoga-in-schools-niti-aayog-549432.html","Hike Tax on Tobacco, Alcohol, Regularise Yoga in Schools: Niti Aayog | LatestLY","Latestly",FALSE,"New Delhi, Dec 19 (PTI) The Niti Aayog has sought a hike in the taxes on tobacco, alcohol and sweetened beverages while suggesting that yoga be made a regular activity in schools to encourages healthy choices and behaviours.

In its 'Strategy for New India @75' document released on Wednesday, the government think tank has sought increase in the public funding on health to at least 2.5 per cent of the GDP as envisaged in the National Health Policy, 2017.

To improve the public and preventive health system in the nation, it also called for strengthening the village health sanitation and nutrition day platform to cover a broader set of health issues across various population groups instead of only focusing on child health.

The Aayog also called for activating multiple channels-- schools, colleges, women's groups, traditional events like fairs, social media platforms among others-- and prepare communication materials for catalysing behavioural change towards greater recognition of preventive health care.

It also recommended incentivising state governments to invest in creating a dedicated cadre for public health at the state, district and block levels and instituting a public health and management cadre in states.

The Niti Aayog further suggested that a designated agency needs to be set up with the required capacities and linkages to perform the functions of disease surveillance, information gathering on the health impact of policies of key non-health departments and maintenance of national health statistics among others.

Public health, the science of keeping communities healthy through the prevention of disease and promotion of health and wellness, has historically been a low priority in India, the Aayog said.

""Of the total current expenditure on health classified by healthcare functions, preventive care accounts for 6.7 per cent. The money spent on curing people on the other hand is 51 per cent of the expenditure with the remaining money being spent on pharmaceuticals, other medical goods and patient transportation,"" it said.

The report stated that public health action and management is a scientific and professional endeavour which should not be left to untrained employees relying on common sense alone.

The Aayog further pitched for reform in the governance of medical, nursing, dentistry and pharmacy education in the country, enhancing production of doctors, training non-physicians, engaging private sector and ensuring access to affordable drugs and medical devices."
"5","948712507","2018-09-17","https://kashmirobserver.net/2018/local-news/cancel-license-pvt-schools-exorbitant-fee-hike-36125","'Cancel License of Pvt Schools For Exorbitant Fee Hike'","Kashmir Observer",FALSE,"SRINAGAR -- Divisional Commissioner Kashmir Baseer Ahmad Khan today directed Director Directorate of School Education (DSEK) to cancel recognition of all those private schools in the valley including Leh and Kargil districts which have exorbitantly hiked fee in their institutions.

The Divisional Commissioner made these directions while reviewing the status of fee structure in various schools in the valley including Ladakh division.

He cautioned all the heads of the private institutions not to hike the fee on their own and comply with the instructions and orders from the department of education in letter and spirit.

Khan asked Deputy Commissioner Srinagar to monitor this important issue on daily basis and send the weekly report to the Divisional Commissioner's office for further course of necessary action.

Divisional Commissioner also appealed the parents to bring into the notice to the Deputy Commissioner Srinagar or department of Education about any complaint regarding the arbitrary hike in fee and other related issues so that the erring institutions are made accountable and timely action against them under norms is initiated.

Deputy Commissioner Srinagar Dr Syed Abid Rashid Shah, Director DSEK Dr G N Itoo, Assistant Commissioner Qazi Irfan and other concerned officers were present in the meeting."
"6","948706202","2018-09-17","http://risingkashmir.com/news/cancel-recognition-of-schools-indulging-in-exorbitant-fee-hike-div-com-to-dsek","Cancel recognition of schools indulging in exorbitant fee hike: Div Com to DSEK","RisingKashmir",FALSE,"Divisional Commissioner Kashmir Baseer Ahmad Khan Monday directed Director Directorate of School Education (DSEK) to cancel recognition of all those private schools in the valley including Leh and Kargil districts which have exorbitantly hiked fee in their institutions.

Khan made these directions while reviewing the status of fee structure in various schools in the valley including Ladakh division.

He cautioned all the heads of the private institutions not to hike the fee on their own and comply with the instructions and orders from the department of education in letter and spirit.

Khan asked Deputy Commissioner Srinagar to monitor this important issue on daily basis and send the weekly report to the Divisional Commissioner's office for further course of necessary action.

Divisional Commissioner also appealed the parents to bring into the notice to the Deputy Commissioner Srinagar or department of Education about any complaint regarding the arbitrary hike in fee and other related issues so that the erring institutions are made accountable and timely action against them under norms is initiated.

Deputy Commissioner Srinagar Dr Syed Abid Rashid Shah, Director DSEK Dr G N Itoo, Assistant Commissioner Qazi Irfan and other concerned officers were present in the meeting."
"8","947431008","2018-09-15","https://www.business-standard.com/article/pti-stories/two-pvt-schools-in-kashmir-lose-recognition-over-exorbitant-fee-hike-118091500729_1.html","Two pvt schools in Kashmir lose recognition over 'exorbitant' fee hike","Business Standard",FALSE,"Authorities in Kashmir Saturday suspended the recognition of two prominent private schools here for ""exorbitant fee hike and non-compliance of orders"" from the Department of School Education.

""The Directorate of School Education Kashmir (DSEK) today ordered suspension of recognition of RP School Mallabagh and Green Valley Educational Institute, Ellahibagh, for exorbitant fee hike and non-compliance of orders from the Department,"" an official spokesman said.

He said an order has been issued in this regard and a communication forwarded to Joint Secretary Jammu and Kashmir Board of School Education (JKBOSE) and Principal, District Institute of Education and Training (DIET), Srinagar, wherein they were instructed not to entertain any affair of the schools till further instructions from the directorate.

The DSEK also directed to adjust the enrolled students of these schools in the nearby government high/secondary school for the ensuing examination this year, the spokesman said.

He said Director School Education Kashmir G N Itoo has cautioned all the heads of the private institutions not to hike the fee on their own and comply with the instructions and orders from the department in letter and spirit.

Itoo appealed the parents to bring into the notice of the department any compliant regarding the arbitrary hike in fee and other related issues so that the erring institutions are made accountable and timely action against them under norms is initiated, the spokesman said."
"10","931348746","2018-08-24","https://indianexpress.com/article/cities/delhi/128-private-schools-in-delhi-roll-back-arbitrary-fee-hike-5323717/","128 private schools in Delhi roll back 'arbitrary' fee hike","The Indian Express",FALSE,"By: PTI | New Delhi | Published: August 24, 2018 10:24:19 pm Chief Minister Arvind Kejriwal had issued directions to the schools to roll back their ""arbitrary"" fee hike after receiving several complaints from parents.

Around 128 schools in the national capital have rolled back their ""arbitrary"" fee hikes following complaints from parents, a government official said.

Chief Minister Arvind Kejriwal had issued directions to the schools to roll back their ""arbitrary"" fee hike after receiving several complaints from parents.

The Directorate of Education (DoE) had in April sent notices to 195 private schools of the city and asked the school heads to roll back their fee hike.

Last month, Kejriwal had asked DoE to submit a compliance report on whether the private schools had rolled back their fee hike as ordered by the government.

""Out of 195 private schools, 128 have informed us that they are rolling back their hiked fees. Remaining 67 private schools will soon be served show-cause notices for not complying with the orders,"" a DoE official said.

Education Minister Manish Sisodia would be meeting the representatives of all the 128 schools who had complied with the government's directive.

Must Watch From The Archives: As we complete one year since SC's landmark verdict on privacy, a look at the dangers of mass surveillance Xiaomi's Pocophone launches Poco F1 in India: Here's a first look Rajkummar Rao and Shraddha Kapoor Reveal Eerie Experience on Stree Sets Kerala floods: A quick guide of DOs and DON'Ts for the people of Kerala after returning home Start your day the best way with the Express Morning Briefing"
"11","931181553","2018-08-24","https://www.indiatvnews.com/news/india-delhi-128-private-schools-roll-back-arbitrary-fee-hike-govt-to-issue-show-cause-notices-to-remaining-67-459570","Delhi: 128 private schools roll back 'arbitrary' fee hike, govt to issue show-cause notices to remaining 67 ","India TV News",FALSE,"Around 128 private schools in Delhi have rolled back their ""arbitrary"" fee hikes following complaints from parents, news agency PTI quoted a government official as saying.

Delhi Chief Minister Arvind Kejriwal had directed the private schools to roll back their ""arbitrary"" fee hike after parents lodged complaints with the state government.

In April this year, the Directorate of Education (DoE) had sent notices to 195 private schools of the national capital asking the school heads to roll back their fee hike.

Last month, Kejriwal had asked DoE to submit a compliance report on whether the private schools had rolled back their fee hike as ordered by the government.

""Out of 195 private schools, 128 have informed us that they are rolling back their hiked fees. Remaining 67 private schools will soon be served show-cause notices for not complying with the orders,"" a DoE official said.

Education Minister Manish Sisodia would be meeting the representatives of all the 128 schools who had complied with the government's directive."
"12","931169054","2018-08-24","https://www.firstpost.com/india/128-private-schools-in-delhi-roll-back-fee-hike-following-complaints-arvind-kejriwal-had-described-it-as-arbitrary-5037601.html","128 private schools in Delhi roll back fee hike following complaints; Arvind Kejriwal had described it as 'arbitrary' - Firstpost","Firstpost",FALSE,"New Delhi: Around 128 schools in the national capital have rolled back their ""arbitrary"" fee hikes following complaints from parents, a government official said.

Chief Minister Arvind Kejriwal had issued directions to the schools to roll back their ""arbitrary"" fee hike after receiving several complaints from parents.

File image of Delhi chief minister Arvind Kejriwal. PTI

The Directorate of Education (DoE) had in April sent notices to 195 private schools of the city and asked the school heads to roll back their fee hike.

In July, Kejriwal had asked DoE to submit a compliance report on whether the private schools had rolled back their fee hike as ordered by the government.

""Out of 195 private schools, 128 have informed us that they are rolling back their hiked fees. Remaining 67 private schools will soon be served show-cause notices for not complying with the orders,"" a DoE official said.

Education Minister Manish Sisodia would be meeting the representatives of all the 128 schools who had complied with the government's directive, the official said.

Updated Date: Aug 24, 2018 17:15 PM"
"16","931120682","2018-08-24","https://www.dnaindia.com/india/report-128-private-schools-in-delhi-roll-back-arbitrary-fee-hike-2654140","128 private schools in Delhi roll back 'arbitrary' fee hike","Daily News and Analysis (DNA) India",FALSE,"Around 128 schools in the national capital have rolled back their ""arbitrary"" fee hikes following complaints from parents, a government official said.

Chief Minister Arvind Kejriwal had issued directions to the schools to roll back their ""arbitrary"" fee hike after receiving several complaints from parents

The Directorate of Education (DoE) had in April sent notices to 195 private schools of the city and asked the school heads to roll back their fee hike.

Last month, Kejriwal had asked DoE to submit a compliance report on whether the private schools had rolled back their fee hike as ordered by the government.

""Out of 195 private schools, 128 have informed us that they are rolling back their hiked fees. Remaining 67 private schools will soon be served show-cause notices for not complying with the orders,"" a DoE official said.

Education Minister Manish Sisodia would be meeting the representatives of all the 128 schools who had complied with the government's directive, the official said."
