"","ID","date","url","title","source","duplicate","body"
"1","1018964648","2018-12-15","http://www.newindianexpress.com/cities/bengaluru/2018/dec/14/sslc-finals-to-start-from-march-21-1911342.html","Secondary School Leaving Certificate finals to start from March 21","The New Indian Express",FALSE,"BENGALURU: The Secondary School Leaving Certificate (SSLC) final examination is scheduled to be held between March 21 and April 4.Karnataka Secondary Education Examination Board has released the timetable after considering objections from students.

Considering the Lok Sabha elections, expected to be held in April/May, KSEEB has advanced the exam schedule by at least 15 days compared to the previous year. This year, 8.5 lakh students are appearing for the SSLC final exams across the state. The board has banned students from wearing wrist watches during exams, and insisted that all centres put up wall clocks in exam halls for the convenience of students."
"2","961515846","2018-10-04","https://article.wn.com/view/2018/10/04/End_of_month_deadline_to_apply_for_secondary_school_places/","End of month deadline to apply for secondary school places","article.wn.com",FALSE,"A radical reform of the prison system in England and Wales was at the heart of the Queen\'s Speech today. Ministers are describing it as the biggest shake-up since the Victorian era. The legislation will pave the way for the first six reform prisons - places where governors will be given sweeping new powers. One of them is Wandsworth Prison where the BBC has gained exclusive access. Our correspondent Ed Thomas has spent the last week there - he reports on a prison where drug fueled violence is rife and staff are overstretched. Please subscribe HERE http://bit.ly/1rbfUog Islamic State\'s \'Most Wanted\' https://www.youtube.com/playlist?list=PLS3XGZxi7cBX5GE4jXnF9bvF4C801cul3 World In Pictures https://www.youtube.com/playlist?list=PLS3XGZxi7cBX37n4R0UGJN-TLiQOm7ZTP Big Hitters https://www.youtube.com/playlist?list=PLS3XGZxi7cBUME-LUrFkDwFmiEc3jwMXP Just Good News https://www.youtube.com/playlist?list=PLS3XGZxi7cBUsYo_P26cjihXLN-k3w246..."
"3","955268836","2018-09-26","https://ittechherald.com/2018/09/26/global-educational-robots-market-2018-leading-companies-primary-school-secondary-school/","Global Educational Robots Market 2018 : Leading Companies Primary School, Secondary School","ittechherald.com",FALSE,"The Global Educational Robots Market research report 2018 provides a holistic vision of the worldwide market also estimates the current industry state, demands, and the business strategies implemented by market players.

The Educational Robots report studied market growth elements, manufacturing technologies, constraint, and contemporary market trends. It also explores opportunities as well as challenges for novice and well-established players in the industry.

Request for Sample of Global Educational Robots Market Research Report at : https://www.marketresearchexplore.com/report/global-educational-robots-market-study-2015-2025/164445#enquiry

Educational Robots market is controlled by these major players:

The Educational Robots report firstly en-lightens the overview with market definition in a precise and straightforward manner. The Educational Robots market is segmented on basis of types, applications, and regions.

Educational Robots Market segregated into Regions as follows :

The report contains the following aspects of Educational Robots market:

Educational Robots market related database is gathered by using many effective inquisitive tools such as feasibility analyses, a study of market attractiveness, and predictable investment returns estimation. The expert analyst team had comprehended the outcome of analytical methods to evince the exact portrayal of the Educational Robots market. The report will assist to implement future winning strategies during the period 2018 to 2023.

For More Detailed Information regarding Companies, Types and Applications visit : https://www.marketresearchexplore.com/report/global-educational-robots-market-study-2015-2025/164445

Browse Educational Robots Market Report at @ https://www.marketresearchexplore.com/report/global-educational-robots-market-study-2015-2025/164445

If you have any customized requirement need to be added regarding Educational Robots , we will be happy to include this to enrich the final study.

Ask our Industry Experts @: sales@marketresearchexplore.com"
"4","951378791","2018-09-21","http://www.newindianexpress.com/cities/thiruvananthapuram/2018/sep/21/higher-secondary-school-teachers-divided-over-kerala-high-courts-transfer-verdict-1874962.html","Higher secondary school teachers divided over Kerala High Court's transfer verdict","The New Indian Express",FALSE,"THIRUVANANTHAPURAM: Even as the High Court ordered that the transfer of higher secondary school teachers should be implemented based on seniority rather than priority and compassionate grounds, a section of teachers are still divided over the verdict.

Last month, the HC upheld that seniority of the teachers should be the criteria for allotment of schools of their choice in accordance with the option exercised. The court also held that compassionate vacancies should not exceed 10 per cent of the district-wise vacancies, and teachers who have completed 5 years shall be treated as an open vacancy. The court has also directed the Department of Higher Secondary Education (DHSE) to publish a new list based on the verdict.

The court order was based on an appeal filed by the government challenging the Kerala Administrative Tribunal's (KAT) verdict in staying the transfer proceedings till August 31.However, the verdict resulted in a difference among teachers who were included in the previous list and others who want to work in their home districts.

""Again, the transfer proceedings have been sabotaged. This is a clear ploy by a section of teachers to scuttle the transfer process as they want to be in their hometown. This is highly unfortunate,"" said an HSS teacher whose name was included in the previous list.

Earlier, there were allegations that the transfer was not based on seniority and the DHSE proceeded with priority and compassionate grounds such as physically handicapped, widows of armed forces' personnel, spouse postings and even NRI postings. Interestingly, many 'ineligible' teachers allegedly found a place in the list and have managed to reap the benefits of priority and compassionate posting for getting posted in their home or nearby districts.

According to Manoj Kumar (name changed), a higher secondary teacher, the court order was welcoming as the senior teachers who opted for home districts and those who are thrown out from home districts will get an opportunity to exercise the option to be in the districts and schools of their choice.

""With the HC nullifying the previous transfer list, many senior teachers can work from their home district itself,"" said Manoj Kumar.The KAT order had said the HSE Department should stick to the limit of reservation in compassionate and priority posting at 30 per cent."
"5","900930308","2018-07-07","http://www.newindianexpress.com/cities/thiruvananthapuram/2018/jul/07/12-smart-classrooms-inaugurated-at-chinnamma-memorial-girls-higher-secondary-school-by-mp-suresh-gop-1839354.html","12 smart classrooms inaugurated at Chinnamma Memorial Girls Higher Secondary School by MP Suresh Gopi","The New Indian Express",FALSE,"TIRUVANANTHAPURAM : Suresh Gopi MP on Friday said the students should not take the facilities being set up as part of the modernisation of schools or setting up smart classrooms as added luxuries. He was speaking after inaugurating the smart classrooms set up at the Chinnamma Memorial Girls Higher Secondary School at Poojappura in Thiruvananthapuram.

There was a time when the schools were constructed with asbestos sheets. But now the schools have come a low way from being dingy scorched rooms to air-conditioned classrooms. When the students are bestowed with modern facilities, they should not go away from nature and also understand the damages being done to nature, he said, while offering assistance to renovate the school building from his MP fund.

As many as 12 classrooms were inaugurated, of which eight were developed with the assistance of Navigant firm in Technopark. Lions Club, DYFI, and School PTA have contributed for the construction of rest of the three classrooms. Hindu Mahila Mandiriam president Radhalakshmi Padmarajan presided over the meeting."
"6","896734345","2018-06-30","https://timesofindia.indiatimes.com/home/education/news/ravenshaw-higher-secondary-school-tops-first-cut-off-list-of-plus-ii-science-stream/articleshow/64802014.cms","Ravenshaw higher secondary school tops first cut-off list of Plus II science stream - Times of India","The Times of India",FALSE,"BHUBANESWAR: School and mass education department on Friday published the first cut-off list of Plus II courses.

Ravenshaw Higher Secondary School at Cuttack has topped the cut-off list of science stream with 88.83 per cent for general category students followed by BJB Higher Secondary School, Bhubaneswar, (88.33 per cent) and Saraswati Vidya Mandir higher secondary school, Nilakantha Nagar, Berhampur (88 per cent).

In commerce stream, BJB Higher Secondary School has topped the cut-off list with 78.2 per cent for general category student followed by Ravenshaw higher secondary school, Cuttack, with 77.17 per cent and Rajdhani Higher Secondary School of science, arts, and commerce at Bhubaneswar with 76.07 per cent.

Patita Paban Higher Secondary school at Sankula in Keonjhar district remained in top position in the cut-off list of arts stream with 78.67 per cent followed by Sadang Anchalika higher secondary school in Hatadihi of Keonjhar district with 73.5 per cent and BJB higher secondary school with 73.4 per cent.

Similarly, Dhruba Charan Sanskrit Higher Secondary school at Baliapal in Balasore district secured first position in the cut-off list of Sanskrit stream with 68.5 per cent and Government Vocational Higher Secondary school, Balakati, in Khurda district with 85 per cent.

Online admission process for Plus II courses had been started from June 1. After publication of the first merit list, admissions for these candidates will take place between July 2 and 5. Similarly, the second phase selection list would be declared on July 10 and admission process will be conducted at the colleges on July 11 and 12.

Spot selection or third phase admission will be held at the end. This admission is conducted against the seats lying vacant in the colleges. Merit list for spot selection will be published on July 16. Admission of the selected students will be held between July 19 and 21.

The regular classes under science, commerce and arts streams in the junior colleges of the state will begin from July 24, said a senior officer of school and mass education department."
"7","894353616","2018-06-26","https://www.firstpost.com/india/hbse-class-10-board-examinations-all-students-of-government-girls-secondary-school-in-hisar-fail-exam-4602541.html","HBSE Class 10 board examinations: All students of Government Girls Secondary School in Hisar fail exam - Firstpost","Firstpost",FALSE,"Not a single student of the Government Girls Secondary School in Kabrel village of Haryana's Hisar district has been able to clear the Class 10 examination.

The Haryana Board of School Education (HBSE) conducted the Class 10 board exam from 8 to 31 March 2018.

According to India Today, the HBSE, Bhiwani released the result on 21 May, in which all 24 girls did not manage to pass.

The officials of the education department said that it was the only school in the district which performed poorly.

Representational image. News18

The villagers of Kabrel held the state government and education department responsible for the poor performance of the school, reported Financial Express.

A villager has been quoted in a PTI report saying, ""While on the one hand, the government is laying so much emphasis on the 'Beti Bachao-Beti Padhao' programme, on the other hand authorities have done nothing to solve the problem of shortage of staff in the school.""

As per the reports, the village panchayat had met the district administration several times demanding more number of teachers in the school but the administration turned a deaf ear.

Sarpanch of the village Dharam Singh said during the last academic session, the school had no teachers assigned for Sanskrit, Hindi, Science and Mathematics.

""The girl students complained a number of times about the shortage of staff,"" Dharam Singh added.

The village head claimed to have met concerned officers, making them aware about the issue but his efforts were again neglected.

Another villager was quoted as saying, ""There is no teacher for various subjects in the school for the last four years.""

A teacher of the school said that the post for headmaster has been vacant for four years.

""Out of the 24 girls who failed to clear the exam, 15 have taken re-admission in the school,"" said the sarpanch.

The Financial Express reported that a similar incident happened in Deeghot Senior Secondary School in Palwal where all the 51 students who appeared for the exam in 2018 have failed.

The Palwal District Education Department had asked the authorities to begin a probe and also ordered a strict action against teachers of the school.

Updated Date: Jun 26, 2018 20:03 PM"
"8","894178960","2018-06-26","http://www.dnaindia.com/india/report-haryana-all-students-of-class-10-of-government-girls-secondary-school-in-hisar-fail-2629524","Haryana: All students of class 10 of government Girls Secondary School in Hisar fail","Daily News and Analysis (DNA) India",FALSE,"All students of the Government Girls Secondary School in Kabrel village of Hisar district have failed to clear the class 10 examination this year.

The Haryana Board of School Education, Bhiwani declared the result last month in which all the 24 girls failed to clear the examination.

According to officials of the Education department, this is the only school in the district which has fared so badly.

The villagers of Kabrel have held the Haryana government and the Education department responsible for the poor result of the school.

""While on the one hand, the government is laying so much emphasis on the 'Beti Bachao-Beti Padhao' programme, on the other hand authorities have done nothing to solve the problem of shortage of staff in the school,"" a villager said today.

The panchayat of the village met the district administration several times demanding adequate number of teachers in the school but the administration failed to fullfil the demands, he claimed.

The school had no teachers for Sanskrit, Hindi, science and mathematics during the last academic session, according to Dharam Singh, sarpanch of the village.

""The girl students complained a number of times about the shortage of staff,"" he said.

The village head also claimed that he met officers concerned to apprise them about the staff shortage at the school but his efforts failed.

There is no teacher for various subjects in the school for the last four years, said another village elderly.

The post of the headmaster is lying vacant for the last four years, a teacher of the school said.

He said out of the 24 girls who failed to clear the exam, 15 have taken re-admission in the school.

B S Sehrawat, District Education Officer (DEO), could not be contacted."
"9","874632700","2018-05-25","http://www.newindianexpress.com/nation/2018/may/25/goa-board-results-over-91-per-cent-students-pass-secondary-school-certificate-exam-1819386.html","Goa Board results: Over 91 per cent students pass Secondary School Certificate exam","The New Indian Express",FALSE,"PANAJI: Over 91 per cent students passed the Secondary School Certificate (SSC) exam conducted last month by the Goa education board, an official said.

The results of the Goa Board of Secondary and Higher Secondary School Education (GBSHSSE) were announced today.

Talking to reporters, GBSHSSE chairman Ramakrishna Samant said 91.27 per cent students have cleared the SSC exam.

""Of the total 19,596 candidates who appeared for the exam, 17,886 passed it,"" he said.

As many as 78 schools (57 aided and 21 government-run schools) secured 100 per cent results, he said.

According to Samant, the SSC exam was conducted between April 2 and 21 at 27 exam centres across the state."
"10","858480195","2018-04-28","http://zeenews.india.com/india/goa-class-12-board-results-2018-declared-gbshse-announces-higher-secondary-school-certificate-examination-hssc-results-2018-on-gbshse-gov-in-2103597.html","Goa Class 12 board results 2018 declared: GBSHSE announces Higher Secondary School Certificate Examination (HSSC) results 2018 on gbshse.gov.in","Zee News",FALSE,"PANAJI: Goa Board of Secondary and Higher Secondary Education (GBSHSE) on April 28 declared the results of the Class 12 Higher Secondary School Certificate Examination (HSSC) at 10 am. The Goa Board of Secondary and Higher Secondary Education (GBSHSE) Class 12 results can be accessed on the board's official website - gbshse.gov.in.

Goa Board of Secondary and Higher Secondary Education (GBSHSE) Class 12 exams were held between March 5 and March 26. 18499 candidates had appeared for the exams which included 9667 girls and 8832 boys. Of the total candidates who appeared for the exam, 4321 were from Arts stream, 5595 from Commerce, 5728 from Science, 2855 from vocational studies.

The Goa Board said on its official website that the distribution of passing certificates cum statement of Grades/Marks of HSSC Examination will be done on 30 April 2018 from 9.30 a.m. to 01.00 p.m. Higher Secondary Schools from Bardez, Tiswadi, Pernem, Bicholim, Sattari, Ponda and Dharbandoda can collect their results from the Board's office, Porvorim, Bardez in Goa. Higher Secondary Schools from Canacona, Quepem, Sanguem, Salcete and Murmugao can collect their results from the Loyala Higher Secondary School, Margao Salcete Goa. The private candidates should collect their passing certificate cum statement of Grade/Marks from Board's office, Alto Betim Bardez Goa, on producing hall ticket.

Here is how to the GBSGSE Class 12 results on gbshse.gov.in

* Log on to gbshse.gov.in

* Click on the link that says GBSHSE Goa Board Class 12th Results 2018

* Fill in your details for your Class 12th Results

* Enter the roll number and submit

* Download the result. You can also take a print out for your record.

The results can also be accessed through SMS and IVRS.

SMS

GOA12<space>SEAT NUMBER - Send it to 56263

GOA12<space>SEAT NUMBER - Send it to 58888

GOA12<space>SEAT NUMBER - Send it to 5676750

GB12<space>SEAT NUMBER - Send it to 54242

IVRS & USSD

* 58888 (58888xxx multi-modals)

* *588# (*588# multi-modals)

The candidates can also check their Goa Board of Secondary and Higher Secondary Education (GBSHSE) Class 12 exam results 2018 on - exametc.com, examresults.net, examresults.net/goa, knowyourresult.com, indiaresults.com/select-state.html, results.nic.in, indiaresults.com and examresults.net."
