"","ID","date","url","title","source","duplicate","body"
"1","1027437200","2018-12-27","http://www.newindianexpress.com/states/kerala/2018/dec/27/college-under-rusa-allotted-to-periya-1917017.html","College under Rashtriya Uchchatar Shiksha Abhiyan allotted to Periya village","The New Indian Express",FALSE,"THIRUVANANTHAPURAM: A model degree college allotted to the state under the Rashtriya Uchchatar Shiksha Abhiyan (RUSA) will come up in Periya village in Mananthavady taluk.

The decision was announced during the Cabinet meeting presided over by Chief Minister Pinarayi Vijayan here on Wednesday.

The model degree college will be set up in Periya at a cost of 12 crore and the Health Department has agreed to release its 10-acre land to materialise the project.RUSA has been launched to convert universities and colleges into Centres of Excellence under Centre-state participation."
"2","1026520131","2018-12-26","https://www.dnaindia.com/india/report-e-boards-will-transform-sarva-shiksha-abhiyan-prakash-javadekar-2700439","E-boards will transform Sarva Shiksha Abhiyan: Prakash Javadekar","Daily News and Analysis (DNA) India",FALSE,"Nearly 1.5 million classrooms in schools and colleges in the country will be provided with Digital Boards under the Operation Digital Board (ODB) initiative, said Union HRD Minister Prakash Javadekar here on Tuesday. Digital boards will be installed in classrooms from 9th grade to post-graduation and the project will be completed in three years.

Pointing out that former Prime Minister late AB Vajpayee launched Sarva Shiksha Abhiyan, which helped to reach education to every section of the society, he said the 'digital board' project would enhance the reach of education to a greater extent.

The digital board will make it possible to teach a single concept through various angles. It will be easier for students to participate in a discussion on the topic in presence of expert teachers, thereby enhancing the quality of education.

The Maharashtra International Education Board has created 13 international schools and the schools are named after Bharat Ratna AB Vajpayee, Javadekar said. The Union Minister was addressing a gathering of students, teachers and officials at Sahyadri Guest House here.

Chief Minister Devendra Fadnavis, Maharashtra Education Minister Vinod Tawde, minister Pankaja Munde, MoS Agriculture Sadabhau Khot, computer expert Dr Vijay Bhatkar, actress Swaroop Sampat, among others, were present.

Minister Tawde said the pilot project will have 13 schools as international schools after which 100 more will be made international. At present, all schools are government ones. In the next phase, aided and self-financed schools too would be included under Bharat Ratna AB Vajpayee International School project. He said the pressure on CBSE schools would ease with the formation of these international schools.

""Maharashtra used to be ranked 15 and 16 in education earlier. The state now ranks third,"" said CM Fadnavis, expressing confidence that the project will help Maharashtra climb even higher."
"3","975026749","2018-10-21","https://indianexpress.com/article/opinion/columns/bihar-school-girls-beaten-harassment-case-sarva-shiksha-abhiyan-women-safety-5411706/","bihar school girls beaten harassment case Sarva Shiksha Abhiyan women safety","The Indian Express",FALSE,"The Supaul incident highlights the decline of the Kasturba Gandhi Balika Vidyalaya -- an education scheme that has waited in vain for a long-term policy to guide its progress.

Supaul, where several girls were recently brutally thrashed while playing in their school compound, claims its heritage from Sita. This did not hold much meaning for the boys and their parents involved in the incident. The official website of this border district of Bihar presents an impressive list of measures taken by the police to ensure security and peace. These measures didn't suffice to help the 10 to 14 year-old girls who protested against the lewd messages conveyed on their hostel walls.

The school where the girls reside carries the name of Kasturba Gandhi, Mahatma Gandhi's wife. Residential schools like this one were set up all over India under the Sarva Shiksha Abhiyan (SSA). This national flagship programme started when the Vajpayee-led NDA government pushed enrollment and retention rates in elementary classes to levels few could have imagined and many still refuse to believe. The Kasturba Gandhi Balika Vidyalaya (KGBV) scheme forms a glorious chapter of SSA. The purpose of setting up these schools was to give rural girls who had dropped out of school before ending the primary stage a second chance. Instead of asking them to go through the primary stage again, Kasturba schools offer a full-time residential opportunity to start at grade 6 level and finish grade 8 when everyone else does.

This goal seems tough and unrealistic when you hear about it for the first time. Only when you visit a Kasturba school do you realise what astonishing success this scheme has had. Despite extremely modest financial support, KGBVs have been doing remarkably well, in terms of retaining the girls they admit from marginalised sections, including the Schedule Castes, Scheduled Tribes, the minorities and upper castes below the poverty line. The government has announced expanding the scheme to class 8. Let us see whether this move brings substantial funds to improve teacher emoluments and living conditions for the students.

The Supaul incident raises some familiar questions once again, but it also asks us to worry about the tedious sluggishness in policy making. Press reports of the incident suggest that the girls were attacked because they resisted lewd remarks. The boys who had threatened to harm them and then carried out the threat, were from the same village where the KGBV is located. For them and their parents, who assisted them, the name Kasturba Gandhi apparently meant little. That the awful attack occurred barely a week after the fanfare of the 150th birth anniversary of Mahatma Gandhi had started reveals how tough the task of reviving Gandhi's message of practising non-violence through self-restraint might prove in the current social climate. This climate is characterised by hostility towards girls. The mix of backgrounds among the girls who got badly injured makes us forget the common element in their lives -- poverty. Their parents prefer to let them stay at a poorly funded hostel because conditions at home are worse.

This is not the first time that a KGBV has faced a security breach. Housed in rudimentary buildings, many KGBVs are, in fact, quite insecure. The parents who send their daughters to study in these rural residential schools value the opportunity which they cannot otherwise afford. As it happens in all schemes meant for the poorest sections of society, the infrastructure and services are also minimal. The Supaul KGBV is attached to an existing junior school. Until a few years ago, the state government ran some of the KGBVs with help from the Mahila Samakhya, a reputed programme of women's empowerment. The Mahila Samakhya leadership imparted both efficiency and institutional capacity to the KGBVs under its care.

Sadly, that era is now over and KGBVs have lost their special status. The larger umbrella of SSA has been shrinking, both financially and spirit-wise. Lack of motivation and adequate funds to keep up with inflation cannot be compensated by the supply of smart boards and digital devices announced recently. Compromised provision for basic needs like food, healthcare and security has restrained the progress of many KGBVs, especially in northern India. Poorly trained staff and vulnerability of employment have also enfeebled the scheme. In the Supaul incident, the staff's role and response are being probed, and this will not be easy, given the political volatility of rural Bihar.

For years, the KGBV scheme has been waiting for a long-term policy to guide its progress. I recall the debate held more than a decade ago about the future of these schools. The question was whether they should multiply as stand-alone institutions or gradually merge into the larger system. The question derives its importance from the Right to Education (RTE) Act. If RTE is fully implemented, there will be no ""drop-outs"", hence there shall be no need for KGBVs. It is clear by now that RTE will continue to face chronic inadequacy of funds. It is also facing sloth and apathy of the old directorates of education in many states. That means KGBVs will remain in demand, and if that is the case, they will need a longer-term plan and infrastructure. Temporary arrangements will not do.

All over northern India, the structures created under SSA, including KGBVs, carry a ramshackle look. You don't need to be told that they serve the poor. Their role in improving gender parity is submerged in coping with poverty and its numerous consequences. In her book, Education, Poverty and Gender: Schooling Muslim Girls in India, Latika Gupta has examined the varied effects of poverty on girls' educational experience. Her analysis demonstrates that for schooling to make a dent on the effects of poverty, financial and pedagogic inputs will have to be radically enhanced.

A correspondent of the BBC's Hindi service spoke to one of the girls who became unconscious when she was assaulted and had to be admitted to a hospital. She recounted that the attackers had come armed with sticks. Her description invokes an ethos one can hardly associate with education. The authorities probing the attack on Supaul's KGBV should also worry about the education of boys enrolled in the nearby school.

The writer was director of NCERT. His latest book is an edited volume, Handbook of Education in India. More From Krishna Kumar When a language's silence speaks

The absence of a word for activism in Hindi points to an unspoken resistance -- of the distance between privilege and populism, society and...

The curriculum taboo

Schools, colleges and other educational institutions desist from engaging with caste in the false hope that education will remove the social inequality. ..

Girl On The Cover

Why a photo of a Pakistani girl on a booklet in Bihar need not embarrass officials .."
"4","965827935","2018-10-10","https://www.latestly.com/india/news/punjab-contractual-teachers-under-sarav-shiksha-abhiyan-protest-against-salary-cut-present-bottles-of-blood-to-state-government-428990.html","Punjab Contractual Teachers Under Sarav Shiksha Abhiyan Protest Against Salary Cut, Present Bottles of Blood To State Government | LatestLY","Latestly",FALSE,"Chandigarh, October 10: Amid the ongoing protest of contractual teachers against the Punjab government, five teachers were suspended on the night of October 8. The state government also issued a strict order of 'no work, no pay' for the protesting teachers. Education Minister of the state Om Prakash Soni said that action would be taken against the teachers for protesting on working days. The minister further added that there must be a proper way to protest and studies of children could not be compromised.

As part of the protest, teachers presented bottles full of their blood to the state government. The state cabinet took the to lower the salary of Sarav Shiksha Abhiyan (SSA) and Rashtriya Madhmik Shikha Abhiyan (RMSA) teachers. The teachers sat on a fast-unto-death protest on Sunday. The five teachers which were arrested on Monday are contractual teachers under the SSA/RMSA. As per reports, the Punjab government has not paid salaries of 8800 teachers of government schools recruited under SSA and RMSA. Amritsar: Government Medical College Bans Jeans, T-shirts For Both Boys and Girls

The state government took a decision to regularise the job of these teachers, but reducing their salary by one-third. Earlier, the salaries of these teachers were paid by the Centre and the State governments in a ratio of 65:35, respectively. As per reports, the state is not ready to contribute its share, so the decision to reduce their salary was taken."
"6","960184086","2018-10-03","https://timesofindia.indiatimes.com/home/education/news/ssa-ap-recruitment-2018-job-opening-for-2379-sarva-shiksha-abhiyan-posts-apply-now/articleshow/66050268.cms","AP SSA recruitment 2018: Notification for 2,379 Sarva Shiksha Abhiyan posts released, apply now - Times of India","The Times of India",FALSE,"NEW DELHI: The Andhra Pradesh government will is conducting recruitment drive for 2,379 Sarva Shiksha Abhiyan posts in the state. The vacancies are open for both teaching and non-teaching posts.

Out of total 2,379 posts, around 1,929 are teaching posts and 450 non-teaching posts. The candidates for teaching posts will be shortlisted based on a written test. Candidates for non-teaching posts will be recruited by the SSA-appointed agencies supervised by the District Collector.

The candidates who are willing to apply for the post are advised to visit the official website - ssa.ap.gov.in/SSA/ - to check more details and apply for the posts.

Here are the details of vacancies:

District wise details"
"8","941803749","2018-09-08","http://www.newindianexpress.com/states/karnataka/2018/sep/08/karnataka-government-may-shut-down-sarva-shiksha-abhiyan-1869084.html","Karnataka government may shut down Sarva Shiksha Abhiyan","The New Indian Express",FALSE,"BENGALURU: After 18 years of its implementation, the state government is contemplating to shut down the Central government-sponsored Sarva Shiksha Abhiyan (SSA) due to shortage of funds.

The scheme was implemented in the state in 2000-01, and under it, several initiatives, including Adarsha Vidyalaya, Kasturba Balika Girls Schools, training of teachers and survey of out-of-school children, were taken up.

But as the Centre has not released sufficient funds, the state government is thinking of shutting down the scheme while continue some of the projects implemented under it that can be managed through state funds.

According to sources in the Department of Primary and Secondary Education, the Central government had to allocate '1,679 crore (total project cost per year), but it has cleared only '1,007 crore. An official source from SSA said, ""Out of '1,007 crore sanctioned for Karnataka, the Centre has been giving only '577 crore which comes up to 57 per cent of the amount. This sharing of the total budget is based on a 60:40 ratio (Central and state).""

This year, the Centre has released only '266 crore which is not sufficient for the activities to be carried out throughout the state, said an official. Due to the shortage of funds, several activities under SSA were being taken up at the end of the academic year, said officials.

More than 12,000 teachers recruited under SSA have not been paid salaries for six months for which the department is blaming the Centre of not releasing funds.Department officials said '1,000 crore is needed to pay the salaries of the teachers, but the Centre has released only '320 crore and asked Karnataka to manage the rest with the state funds.

Even Chief Minister H D Kumaraswamy mentioned about this during a public event recently. He said, ""Several people appointed under SSA at taluk and district levels have been asked to leave as no funds have been allocated and salaries not paid. If this is the situation, why do we have to partner with Central schemes.""

New integrated scheme

The Central government is also in the process of merging two of its projects -- SSA and Rashtriya Madhyamik Shiksha Abhiyan -- with a new scheme -- Samagra Shiksha. It didn't even add Abhiyan to the new scheme, as if they include it, it will be difficult to withdraw the scheme whenever it wants. According to sources, now the plan is to shift the 25,000 teachers recruited under SSA to the state government, retain some of the popular and successful programmes and shut the rest which are in need of funds."
"10","931586241","2018-08-25","http://www.newindianexpress.com/states/kerala/2018/aug/25/samagra-shiksha-abhiyan-on-a-mission-to-clean-schools-before-reopening-1862425.html","Samagra Shiksha Abhiyan on a mission to clean schools before reopening","The New Indian Express",FALSE,"THIRUVANANTHAPURAM:The Samagra Shiksha Abhiyan (SSA) is on a mission to clean the schools that have been damaged in the floods before the reopening on Wednesday. SSA volunteers in various districts have been deployed at the affected places and the cleaning process are being carried out jointly with various voluntary organisations. The cleaning works began on Thursday.

As per the statistics available with SSA, Alappuzha district has the most number of damaged schools (302), followed by Ernakulam district (128). According to a senior SSA officer, schools in Veliyanda, Mankombu, Thalavadi in Alappuzha district are still waterlogged.

SSA volunteers have been directed to clean and restore the classrooms. A major challenge is removing the garbage deposited on the school premises and in wells. The officer said the service of more volunteers will be ensured to clean the schools.The Samagra Shiksha Abhiyan will also conduct awareness classes for parents to ensure their participation in cleaning process.

The flood, which hit across the state, has compounded the worry of children who have lost their textbooks and study materials in the raging water.Children and parents have already raised apprehensions about getting sufficient working days in this academic year before the public examination in March next year."
"11","917814971","2018-08-02","http://pib.nic.in/newsite/PrintRelease.aspx?relid=181436","Government improving education in Aspirational Districts through Rashtriya Uchchatar Shiksha Abhiyan (RUSA)","pib.nic.in",FALSE,"An Expert Committee constituted by the University Grants Commission (UGC) had identified 374 Educationally Backward Districts (EBDs) where Gross Enrolment Ratio (GER) in higher education was less than the national average of 12.4% based on 2001 census data.

During the first phase of the Centrally Sponsored Scheme of Rashtriya Uchchatar Shiksha Abhiyan (RUSA), being implemented by the Ministry of Human Resource Development with the aim of promoting access, equity and quality, central assistance to States has been provided for creation of one Model Degree College each in 60 EBDs.

NITI Aayog has identified 117 districts as 'Aspirational Districts'. The districts have been selected on the basis of composite index which includes published data of deprivation enumerated under Socio-Economic Caste Census, Health &Nutrition, Education and Basic Infrastructure.

During the second phase of RUSA, the focus is on opening new Model Degree Colleges in 'Aspirational Districts' identified by NITI Aayog and in unserved & underserved districts in North Eastern and Himalayan States.

This information was given by the Minister of State (HRD), Dr. Satya Pal Singh today in a written reply to a Rajya Sabha question."
"12","912895858","2018-07-26","http://www.newindianexpress.com/cities/thiruvananthapuram/2018/jul/26/delay-in-getting-centres-nod-for-samagra-shiksha-abhiyan-puts-kerala-in-the-dock-1848677.html","Delay in getting Centre's nod for Samagra Shiksha Abhiyan puts Kerala in the dock","The New Indian Express",FALSE,"THIRUVANANTHAPURAM: The inordinate delay in getting the final approval by the Union government in the implementation of Samagra Shiksha Abhiyan (SSA) has put the state in the dock. According to sources of SSA Kerala, the Union government needs to approve the minutes of the Project Approval Board (PAB) meeting comprising all state-level project directors which convened at New Delhi in May.

""We have done our part. In fact, we have completed all the proceedings related to implementing SSA. Now, the ball is in the court of the Union government. The project was to start in July. But it seems like it will be delayed further. However, we are expecting to get the approval of minutes by next week,"" said an SSA officer, on condition of anonymity.

However, the centre has sanctioned an ad-hoc fund to the state to meet the expenses which are currently being spent by the state. The centre had earlier sanctioned Rs 729 crore for the implementation of SSA in all schools in the state.

""Though the sanctioned amount will be released only after the approval, the sanction of the ad-hoc fund has brought a respite to us,"" sources added. Samagra Shiksha Abhiyan is an integrated scheme to ensure quality learning at the pre-primary to higher secondary school levels. To provide a holistic approach to the basic education format, the Centrally sponsored Samagra Shiksha Abhiyan was proposed in the country. The scheme is an upgraded version of the Sarva Shiksha Abhiyan (SSA).

Three months ago, the Ministry of Human Resource Development had sent a notification to all state Education Departments requesting them to implement the new system before the coming academic year. The upgraded scheme will subsume three Centrally sponsored schemes -- SSA, Rashtriya Madhyamik Shiksha Abhiyan (RMSA) and Teacher Education.

The scheme envisages free and equitable secondary education with effective learning outcomes, irrespective of gender disparities, and vocational training for weaker sections, including persons with disabilities. It has been approved by the Cabinet Committee on Economic Affairs for the period from April 1, 2018, to March 31, 2020."
"13","885468955","2018-06-11","http://www.newindianexpress.com/states/karnataka/2018/jun/12/karnataka-universities-get-highest-rs-467-cr-rashtriya-uchatar-shiksha-abhiyan-grant-1826989.html","Karnataka universities get highest Rs 467 cr Rashtriya Uchatar Shiksha Abhiyan grant","The New Indian Express",FALSE,"BENGALURU:Karnataka has got the lion's share under Rashtriya Uchatar Shiksha Abhiyan (RUSA) this year. The allocation for the state is highest in the country. At a recent meeting held in New Delhi where principal secretaries of all states were present, it was announced that Karnataka had been allocated Rs 467 crore under the RUSA.

Not just state-run universities, even government and autonomous colleges have been allocated RUSA funds this time. While University of Mysore, Mysore has got Rs 50 crore for research and innovation, Bangalore University has been allocated Rs 20 crore under the RUSA for the first time. As many as 113 degree colleges across the state have got ' 2 crore each.

""The amount allocated will boost infrastructure development, repair works, laboratory facilities and better networking on the campus premises,"" said a senior official of the higher education department. As per guidelines, universities must have National Assessment and Accreditation Council (NAAC) score of 2.5 to get RUSA funds.

The University of Mysore missed getting the largest fund of Rs 100 crore as it had only 3.47 NAAC score as against the required 3.51 to get that amount. Several universities in the state with lesser NAAC scores did not apply. Visvesvaraya Technological University, Belagavi and Rani Chennamma University, Belagavi are among major universities that did not apply for funds."
