"","ID","date","url","title","source","duplicate","body"
"1","976063176","2018-10-23","http://www.rediff.com/news/special/the-law-student-who-made-supreme-court-history/20181023.htm","The law student who made Supreme Court history","Rediff",FALSE,"A petition filed by Swapnil Tripathi, a final year student studying at the National Law University, Jodhpur, prompted the Supreme Court to allow live streaming of the opaque proceedings within.

Ritwik Sharma reports.

Photograph: Manvender Vashist/PTI Photo

A norm challenged by a 22-year-old law student resulted in the Supreme Court invoking the axiom 'sun is the best disinfectant' as it turned its gaze inward to make the judiciary more transparent.

A petition filed by Swapnil Tripathi, a final year student studying for an BBA LLB at the National Law University, Jodhpur, and clubbed with a batch of pleas by a few others prompted the apex court to allow live streaming of the opaque proceedings within.

Tripathi, who hails from Kanpur and has a keen interest in Constitutional law, wanted to challenge the denial of access to interns to Supreme Court proceedings on Mondays and Fridays, days marked for fresh filings.

When he was interning with Supreme Court advocate Rishabh Sancheti during his third year of college, he felt that live streaming would give interns critical lessons in courtroom practices as well as make trials more transparent for litigants and the public at large.

""During the course of my internship, I worked on a lot of important matters which were listed on Mondays and Fridays. As interns we have plenty of theory in law schools but we can only see for ourselves the practical aspect of how arguments are made,"" he says.

When he suggested to Sancheti that the existing rule was against the interest of interns, the advocate advised him to contest it since he felt so strongly about it.

Last December, Tripathi filed a petition after thinking about the idea for a year.

Besides Tripathi, four other law students joined the cause with applications this year. The petitions included those filed by senior advocate Indira Jaising and an NGO, the Centre for Accountability and Systemic Change.

On September 26, a bench of Chief Justice Dipak Misra (now retired) and Justices A M Khanwilkar and D Y Chandrachud ruled that initially a pilot project may be started by live streaming cases that are of constitutional and national importance, and excluding those involving juveniles, marital and sexual assault cases to protect identities.

According to the Constitution, courts are supposed to be open to the public. But Tripathi, left, says, that hasn't translated to actual experience for many litigants.

""I experienced it because when the case was on I had to travel from Jodhpur to Delhi each time, and I used to find out three days before the next date of hearing and had to make travel arrangements immediately.""

At times he couldn't reach or had to rely on seniors to inform him about the progress in the courtroom. He also met people who travelled from across the country but were unaware of what transpired in cases involving them.

""Live streaming allows people to see what happens when they can't physically be present in courts. People won't be misled, as sometimes even reporting can go wrong.""

The Bar Council of India requires interns to work with lawyers who practise in the Supreme Court and high courts. In his petition, Tripathi argued that the prohibition violated the fundamental right of learning for interns.

""I understand courts are extremely crowded with lots of lawyers, and constrained. So one of my prayers was that if you are not allowing interns inside the court, get a live streaming room within the premises.""

He also cited the example of the US, where the Supreme Court uploads the transcripts of all oral arguments of entire proceedings on its Web site.

A month later Jaising also petitioned for live streaming of all cases.

Article 145 of the Constitution allows the apex court to frame its own rules. Once it does so and paves the way for live streaming of cases, Tripathi feels, the Supreme Court is hinting at extending the practice to the lower judiciary depending on the success of the pilot."
"2","964823816","2018-10-09","http://www.newindianexpress.com/states/odisha/2018/oct/09/bitten-by-rabid-dog-student-made-to-eat-its-liver-to-get-cured-1883032.html","Bitten by rabid dog, student made to eat its liver to get cured","The New Indian Express",FALSE,"JEYPORE: In a bizarre incident, a tribal student was made to eat the liver of a rabid dog on the advice of his school headmaster after being bitten by the animal in Koraput district.The incident took place on Thursday last and Laxmipur Block Education Officer (BEO) BK Sarkar started inquiry into the matter on Sunday.

The residential student, Chandra Nayak, belongs to Kashipur block in Rayagada and is a Class IX student of Toyaput Netaji school under Laxmipur block in Koraput district. After being bitten by the dog on Thursday, he informed the headmaster-cum-hostel in charge, Pravakar Gorada, who advised him to eat the liver of the rabid dog to prevent being affected by rabies.

Chandra and other inmates of the hostel caught hold of the dog, killed it and handed over the carcass to hostel cook Rajiv Himmirika. Rajiv cooked the dog's liver and Chandra ate it. Later, Chandra fell ill and the headmaster advised him to get admitted to Laxmipur Hospital. Pravakar informed a teacher of a nearby school who admitted the boy to the hospital.

Chandra is currently undergoing treatment at the hospital and his condition is stated to be stable. Receiving information, the BEO started inquiry into the matter on Sunday. The headmaster claimed that eating liver of rabid dog is a common practice to treat rabies in tribal areas of the district."
"3","962549748","2018-10-05","https://www.business-standard.com/article/current-affairs/meet-law-student-swapnil-tripathi-who-made-supreme-court-open-up-118100501210_1.html","Meet Swapnil Tripathi, the law student who made Supreme Court open up","Business Standard",FALSE,"Besides Tripathi, four other law students joined the cause with applications this year

Last week, a norm challenged by a 22-year-old law student resulted in the Supreme Court invoking the axiom ""sun is the best disinfectant"" as it turned its gaze inward to make the judiciary more transparent.

A petition filed by Swapnil Tripathi, a final-year student studying for a BBA LLB at the National Law University, Jodhpur, and clubbed with a batch of pleas by a few others prompted the apex court to allow live streaming of the opaque proceedings within. Tripathi, who hails from Kanpur and has a keen interest in constitutional law, wanted to challenge the denial of ..."
"4","961052969","2018-10-04","https://www.hindustantimes.com/delhi-news/du-student-arrested-for-killing-brothers-who-had-made-him-a-laughing-stock-in-village/story-Hypnbg0gxZPIfOQ9QrWOPP.html","DU student arrested for killing brothers who had made him 'a laughing stock in village'","Hindustan Times",FALSE,"The Delhi Police on Wednesday claimed to have arrested a 20-year-old Delhi University student, who had, along with his accomplices, allegedly shot dead two brothers in Haryana last month. The police said he wanted to avenge an assault on him last year that had made him ""a laughing stock in his village"".

Deputy commissioner of police (Dwarka) Anto Alphonse said the arrested accused, Anshu, a resident of Haryana's Sonepat, was arrested from Delhi's Najafgarh on Tuesday, when he had come to meet his relatives. A pistol and two cartridges were recovered from his possession, the police said.

Alphonse said, ""Anshu was wanted in a double murder case that was registered at a police station in Haryana's Sonepat on September 24. His five accomplices had already been arrested by Sonepat police.""

During questioning, the DCP said, Anshu disclosed that he is a first-year (BA) student at Swami Shraddhanand College and took to crime after falling in bad company.

""Anshu had a rivalry with one Aashish alias Ashu from Haryana's Halalpur. Last year, he got into a fight with Aashish during a wedding. Aashish allegedly thrashed Anshu, who, as a result, became a laughing stock in his village,"" DCP Alphonse said, adding that Aashish had allegedly started throwing his weight around after the incident, threatening others by saying that he would beat them up the way he assaulted Anshu.

Police said Anshu has confessed that he decided to kill Aashish since he was enraged by his boastful nature. Hence, he roped in his friends Sandeep, Rohit, Mannu, Arun and Kartik, all residents of Narela, to help him kill Aashish.

On the day of the crime, the six waylaid Aashish and opened fire at him. When Aashish's brother Himanshu rushed to his rescue, the attackers shot him as well. They then fled the crime scene. The two brothers were admitted to a nearby hospital, where they succumbed to the bullet injuries during treatment.

Police said the murder case was registered on the basis of a complaint filed by the family members of the dead brothers. During probe, police identified the attackers and arrested five of them. Anshu, however, fled the city and was hiding at various places in Haryana till he was caught by the Delhi Police on Tuesday, police said."
"5","959008034","2018-10-01","https://www.latestly.com/lifestyle/29-year-old-physics-teacher-had-sex-with-a-16-year-old-male-student-in-a-plane-toilet-now-claims-that-he-made-her-pregnant-414542.html","29-year-old Physics Teacher Had Sex with a 16-year-old Male Student in a Plane Toilet, Now Claims That He Made Her Pregnant | LatestLY","Latestly",FALSE,"In a recent incident, a science teacher was accused of having sex with a minor boy of 17-years of age in a flight. This incident took place about two years ago however she soon began to claim that she was pregnant with the baby of this then 17-year-old boy.

As per reports by Daily Mail, the 29-year-old physics teacher named Ellie Wilson from Dursley Gloucestershire grew fond of this boy in an outdoor camping holiday to Africa. It is said while they were returning from Africa in a flight they had sex. It began from the seats of the plane wherein the teacher is said to have 'performed a sex act on the boy', and then she led him to the toilet of the flight wherein they had proper intercourse. Since the toilet was excessively small like how most flights have, the teacher 'perched on one leg in the cramped toilet.'

Reports also have it that Wilson later told the boy that she was pregnant and that she was going to opt for abortion. However, it didn't stop there they kept meeting and went on dates. As per reports, they went to Nando's and a park. The boy also got her flowers and chocolates as he believed that they were in a relationship.

However, all this would have carried on if the friends of the boy wouldn't have gotten jealous of him. His friends were envious and tried to blackmail the teacher to have sex with them, or they would reveal their secret."
"6","949145558","2018-09-18","http://www.jantakareporter.com/india/class-10-student-allegedly-gang-raped-in-dehradun-boarding-school-made-pregnant/208664/","Class 10 student allegedly gang-raped in Dehradun boarding school, made pregnant","Janta Ka Reporter 2.0",FALSE,"In yet another horrific incident, a minor girl student has alleged that she was gang-raped by her seniors inside the school in Uttarakhand's Dehradun district.

Although the alleged gang-rape happened last month, the story has come to light now after the girl confided in her sister about the brutalities committed to her. This was after the class 10 student fell sick and had to be sent for medical examination, which revealed that she was pregnant.

Police have detained four students and at least five officials including the principal, administrator and hostel caretaker have been arrested.

Nivedita Kukreti, SSP of Dehradun, said, ""Our Child Welfare officers and members of the child protection committee spoke to the girl, who said that she had been raped. She said that students from the same school had raped her. The accused students too are minors and we are obtaining their age certificates. Their parents too will arrive here today.""

According to the complaint, her seniors had called her to the school's store room on 14 August, a day before the independence day ceremony, for some programme preparations. They allegedly took turns in raping her after she reached inside the storeroom.

""The school management tried to suppress the case. The girl says she reported the case to the ayah the same day. But they tried to dissuade her to report. After a month, the crime has come to the knowledge of police,"" NDTV quoted Additional Director General of Police Ashok Kumar.

The school administration also allegedly tried to terminate her pregnancy by mixing her drinks with suspicious medicines."
"7","943725181","2018-09-10","https://timesofindia.indiatimes.com/city/vadodara/disabled-student-gets-custom-made-scooter/articleshow/65760852.cms","Disabled student gets custom-made scooter - Times of India","The Times of India",FALSE,"Vadodara: Karan Parmar, a student of polytechnic college of MS University (MSU), lost his right leg, toes of his left leg and three of his fingers during a rail accident in 2015. Many would have wondered how will he cope up, but he proved them wrong.

Parmar used to commute between city and Chhota Udepur for studies in a polytechnic college there. He fell from a train while returning to the city. He underwent a five-month-long treatment and received prosthetic leg. He later secured an admission at the MSU polytechnic, but had to rely on his friends and family members to go to college. But in a recognition of his grit and determination, he received a custom-made scooter at his home in Gorwa on Monday. The scooter sponsored by Alembic Foundation was gifted to him by Vadodara MP Ranjan Bhatt. tnn"
"8","919049500","2018-08-04","https://timesofindia.indiatimes.com/entertainment/hindi/music/news/kishore-kumar-an-average-student-who-made-huge-mark-in-b-town/articleshow/65270473.cms","Kishore Kumar: An average student who made huge mark in B-town - Times of India","The Times of India",FALSE,"Kumar, whose 89th birth anniversary is being celebrated today, had an average academic record, as per documents available with the Indore Christian College (ICC), where he enrolled for intermediate in 1946.Legendary singer Kishore Kumar preferred singing and music to studies during his student days and was very clear in the formative years of his life that he wanted to make a ""mark"" in the fledgling Hindi film industry.

Kumar, whose 89th birth anniversary is being celebrated today, had an average academic record, as per documents available with the Indore Christian College (ICC), where he enrolled for intermediate in 1946.

He secured third division with just 326 marks out of 800 in high school examination (Class 10), according to the documents submitted to the ICC for admission.

Kumar, born as Abhas Kumar Ganguly into a Bengali family in adjoining Khandwa district, did his high schooling from his hometown before moving to Indore for further studies.

He left his college education midway to land in Mumbai (then Bombay), where he went on to become not only a great singer, but also earned fame as an actor, lyricist, composer, producer, director and screenwriter.

""A copy of his marksheet was found in a dusty file in the ICC's record room. We searched for it as it is related to memories connected with the great artist's school life,"" ICC history department professor Swaroop Vajpayee told.

He said Kumar's father, Kunjilal Ganguly, admitted his son to the ICC to do intermediate after he matriculated in 1946 from Khandwa.

Vajpayee said Kumar had cleared high school exam conducted by the then Nagpur-based Board of High School Education of Central Provinces and Berar in 1946 in Hindi medium, and his roll number was 4197.

His marksheet, issued in July 1946, shows he secured 69 marks out of 175 in English and a subject taught along with it, 9 out of 25 in general knowledge, 64 out of 150 in chemistry and physics, 64 out of 150 in geography & elementary history, 67 out of 150 in Hindi and 53 out of 150 marks in drawing.

Vajpayee has gathered memories associated with the legendary artist from different sources and most of these are related to his stay in the ICC.

He said Kumar had made up his mind about his career during his college days. He was an executive member of the college's cultural organisation, 'Bajm-e-Adab'.

""Once during a civic class, Kishore was caught thumping his desk as if he was playing tabla. The teacher asked him to focus on studies with suggestions that singing and music will not help him in any way in the future.

""With a broad smile, Kishore told his teacher politely that he will eke out a living by singing,"" Vajpayee said.

Kumar often skipped classes to sing songs and practice his trademark yodelling under an 'imli' (tamarind) tree, he said.

The legendary singer along with his brother Anoop Kumar used to live in the college hostel, which is now in a state of ruin. The hostel had been abandoned two decades ago. His room had tablas, harmoniums and dholaks in abundance but very few books, the professor said.

Kumar studied in the ICC from 1946 to 1948 and moved to Mumbai, leaving his study midway, Vajpayee said.

""He owed panch rupaiya barah aana (Rs 5.75) to the canteen owner then,"" the professor said.

It is believed that famous song 'Panch Rupaiya Barah Aana', from 1958 film 'Chalti Ka Naam Gaadi', sung by Kumar and Lata Mangeshkar, has it genesis to the legend's indebtedness."
"10","919002649","2018-08-04","https://www.business-standard.com/article/pti-stories/kishore-kumar-an-average-student-who-made-huge-mark-in-b-town-118080400354_1.html","Kishore Kumar: An average student who made huge mark in B-town","Business Standard",FALSE,"Ranveer shares throwback moment with Snoop Dogg (Movie Snippets)

Legendary singer Kishore Kumar preferred singing and music to studies during his student days and was very clear in the formative years of his life that he wanted to make a ""mark"" in the fledgling Hindi film industry.

Kumar, whose 89th birth anniversary is being celebrated today, had an average academic record, as per documents available with the Indore Christian College (ICC), where he enrolled for intermediate in 1946.

He secured third division with just 326 marks out of 800 in high school examination (Class 10), according to the documents submitted to the ICC for admission.

""A copy of his marksheet was found in a dusty file in the ICC's record room. We searched for it as it is related to memories connected with the great artist's school life,"" ICC history department professor Swaroop Vajpayee told PTI.

He said Kumar's father, Kunjilal Ganguly, admitted his son to the ICC to do intermediate after he matriculated in 1946 from Khandwa.

Vajpayee said Kumar had cleared high school exam conducted by the then Nagpur-based Board of High School Education of Central Provinces and Berar in 1946 in Hindi medium, and his roll number was 4197.

His marksheet, issued in July 1946, shows he secured 69 marks out of 175 in English and a subject taught along with it, 9 out of 25 in general knowledge, 64 out of 150 in chemistry and physics, 64 out of 150 in geography & elementary history, 67 out of 150 in Hindi and 53 out of 150 marks in drawing.

Vajpayee has gathered memories associated with the legendary artist from different sources and most of these are related to his stay in the ICC.

He said Kumar had made up his mind about his career during his college days. He was an executive member of the college's cultural organisation, 'Bajm-e-Adab'.

""Once during a civic class, Kishore was caught thumping his desk as if he was playing tabla. The teacher asked him to focus on studies with suggestions that singing and music will not help him in any way in the future.

""With a broad smile, Kishore told his teacher politely that he will eke out a living by singing,"" Vajpayee said.

Kumar often skipped classes to sing songs and practice his trademark yodelling under an 'imli' (tamarind) tree, he said.

The legendary singer along with his brother Anoop Kumar used to live in the college hostel, which is now in a state of ruin. The hostel had been abandoned two decades ago. His room had tablas, harmoniums and dholaks in abundance but very few books, the professor said.

Kumar studied in the ICC from 1946 to 1948 and moved to Mumbai, leaving his study midway, Vajpayee said.

""He owed panch rupaiya barah aana (Rs 5.75) to the canteen owner then,"" the professor said.

It is believed that famous song ""Panch Rupaiya Barah Aana"", from 1958 film ""Chalti Ka Naam Gaadi"", sung by Kumar and Lata Mangeshkar, has it genesis to the legend's indebtedness."
"11","918993719","2018-08-04","http://www.newindianexpress.com/entertainment/hindi/2018/aug/04/kishore-kumar-an-average-student-who-made-huge-mark-in-bollywood-1853210.html","Kishore Kumar: An average student who made huge mark in Bollywood","The New Indian Express",FALSE,"INDORE: Legendary singer Kishore Kumar preferred singing and music to studies during his student days and was very clear in the formative years of his life that he wanted to make a ""mark"" in the fledgling Hindi film industry.

Kumar, whose 89th birth anniversary is being celebrated today, had an average academic record, as per documents available with the Indore Christian College (ICC), where he enrolled for intermediate in 1946.

He secured third division with just 326 marks out of 800 in high school examination (Class 10), according to the documents submitted to the ICC for admission.

Kumar, born as Abhas Kumar Ganguly into a Bengali family in adjoining Khandwa district, did his high schooling from his hometown before moving to Indore for further studies.

SEE PICTURES: Kishore Kumar: The man who made Yodelling a fashion in the country

He left his college education midway to land in Mumbai (then Bombay), where he went on to become not only a great singer, but also earned fame as an actor, lyricist, composer, producer, director and screenwriter.

""A copy of his marksheet was found in a dusty file in the ICC's record room. We searched for it as it is related to memories connected with the great artist's school life,"" ICC history department professor Swaroop Vajpayee told PTI.

He said Kumar's father, Kunjilal Ganguly, admitted his son to the ICC to do intermediate after he matriculated in 1946 from Khandwa.

Vajpayee said Kumar had cleared high school exam conducted by the then Nagpur-based Board of High School Education of Central Provinces and Berar in 1946 in Hindi medium, and his roll number was 4197.

His marksheet, issued in July 1946, shows he secured 69 marks out of 175 in English and a subject taught along with it, 9 out of 25 in general knowledge, 64 out of 150 in chemistry and physics, 64 out of 150 in geography & elementary history, 67 out of 150 in Hindi and 53 out of 150 marks in drawing.

Vajpayee has gathered memories associated with the legendary artist from different sources and most of these are related to his stay in the ICC.

He said Kumar had made up his mind about his career during his college days.

He was an executive member of the college's cultural organisation, 'Bajm-e-Adab'.

""Once during a civic class, Kishore was caught thumping his desk as if he was playing tabla. The teacher asked him to focus on studies with suggestions that singing and music will not help him in any way in the future.""

""With a broad smile, Kishore told his teacher politely that he will eke out a living by singing,"" Vajpayee said.

Kumar often skipped classes to sing songs and practice his trademark yodelling under an 'imli' (tamarind) tree, he said.

The legendary singer along with his brother Anoop Kumar used to live in the college hostel, which is now in a state of ruin.

The hostel had been abandoned two decades ago.

His room had tablas, harmoniums and dholaks in abundance but very few books, the professor said.

Kumar studied in the ICC from 1946 to 1948 and moved to Mumbai, leaving his study midway, Vajpayee said.

""He owed panch rupaiya barah aana (Rs 5.75) to the canteen owner then,"" the professor said.

It is believed that famous song ""Panch Rupaiya Barah Aana"", from 1958 film ""Chalti Ka Naam Gaadi"", sung by Kumar and Lata Mangeshkar, has it genesis to the legend's indebtedness."
