"","ID","date","url","title","source","duplicate","body"
"1","1021063142","2018-12-18","https://www.thequint.com/news/india/jharkhand-teacher-dies-outside-minister-home-protest","Teacher Dies Outside Jharkhand Minister's Home During Protest","thequint.com",FALSE,"A 40-year-old para-teacher, Kanchan Das, died during a night-long sit-in outside the house of Jharkhand Welfare Minister Louise Marandi in Dumka, with protestors claiming that he died due to cold.

The contractual teacher was declared dead by doctors on Sunday, 16 December, and other protesters claimed that he had died of cold on Saturday night, an official told PTI.

Dumka Civil Surgeon AK Jha, on the other hand, said they had information that one para-teacher had died in the course of agitation on Saturday, 15 December.

The para-teachers across the state have been agitating for the last three months over regularisation of their services along with other demands.

They had been staging indefinite rotation dharnas outside Marandi's house since 25 November.

Das, who along with six others, had joined the dharna on Saturday, spent the night outside the minister's house and did not wake up on Sunday morning, other members of the agitation said.

He was rushed to a hospital where the doctors declared him dead.

Asked about the cause of death, AK Jha said, ""We are waiting for the post-mortem examination report. Then only we can confirm the exact cause of death.""

The post-mortem was conducted by a medical board comprising a forensic expert, constituted by the district administration. Dumka Superintendent of Police YS Ramesh said the sit-in agitation ended on Sunday afternoon.

Meanwhile, the minister condoled the para-teacher's death and talked to Dumka Deputy Commissioner Mukesh Kumar in this regard.

Referring to the problem of the para-teachers, Marandi said Chief Minister Raghubar Das was abroad presently and she would discuss the matter with him once he was back.

""We want to have a constructive discussion on the problems of the para-teachers,"" she said.

(The Quint is now on WhatsApp. To receive handpicked stories on topics you care about, subscribe to our WhatsApp services. Just go to TheQuint.com/WhatsApp and hit the Subscribe button.)"
"2","1020130886","2018-12-17","https://www.hindustantimes.com/india-news/jharkhand-para-teacher-dies-of-cold-during-protest-before-minister-s-house/story-3KC8MN2cXBLo2xEg7UceEM.html","Jharkhand para-teacher dies of cold during protest before minister's house","Hindustan Times",FALSE,"A 35-year-old para-teacher, who was staging a sit-in protest along with six others, reportedly died due to cold in front Jharkhand state social welfare minister Louis Marandi's residence in Jharkhand's Dumka on Sunday, police said.

The teacher was identified as Kanchan Kumar Das, a resident of Nonihat village under Hasdiha police station in Dumka district. He had been a para-teacher at the Upgraded Middle School in Chinadangaal under Ramgarh block since 2005.

""A postmortem of the body has been performed at Sadar hospital. We are waiting for the report to know the exact cause of the death,"" Dumka superintendent of police Y Ramesh said.

""Chill effect in the weather could be a reason for death. But, it cannot be established until postmortem report comes,"" Ramesh said.

Over 45,000 para teachers across the state are on an indefinite strike since November 16 forcing over 12,000 schools to shut. They are demanding the regularisation of their services after their counterparts in Chhattisgarh, who have served for eight years, have been regularised as assistant teachers.

They launched 'Ghera Dalo, Dera Dalo' programme at residences of BJP ministers, parliamentarians and legislators to push for their demand from November 25.

As part of the programme, Das and other para-teachers were protesting before Marandi's house on Saturday night in Dumka, around 300-km northeast from capital Ranchi.

""After participating in a protest rally in Dumka market in the afternoon, we reached the sit-in venue before the minister's house in the evening. Kanchan was already there in our makeshift tent,"" one of Das' companion Yudhir Mandal said.

Mandal said they went to bed at around 8pm but Das went to the market. He returned around 10pm and they chatted for a while before sleeping.

""We woke up around 5.45am on Sunday and was preparing tea. Around 6.30am, we called Kanchan but he did not give any response and his body shrank in cold. We immediately called an ambulance and took him to Sadar Hospital Dumka. But, the doctors declared him brought dead,"" he said.

Dr Dilip Kumar Bhagat, who examined Das, said his body was brought late. ""He had already died. So, it was hard to find out the exact cause of his death,"" he said.

Das' father Akhilesh Das, 60, said his son had no serious health complications. ""My son died due to cold. It is the state government, who is responsible for his death. The government has killed my son,"" Akhilesh said.

Kanchan was unmarried and lived with his father. His elder brother works in Kolkata.

Opposition parties also held the government responsible for the teacher's demise. Jharkhand Mukti Morcha (JMM) has demanded centre's interference in para-teachers' issue.

""The current BJP government in Jharkhand has lost its sensitivity and humanity. A teacher dying before a minister's house is very shameful. A case of murder should be lodged against the minister,"" said JMM spokesperson Supriyo Bhattacharya.

Meanwhile, Ekikrit Para Sikshak Sangharsh Morcha (EPSSM), an umbrella body of different para teachers' associations, has threatened to intensify the agitation.

""The government is not ready for any dialogue over the teachers' issue. We do not know if chief minister has made it a personal ego. We have a simple demand to regularise us on the line of Chhattisgarh,"" said EPSSM state member Vinod Tiwary.

Marandi, who was in Ranchi on Monday, expressed grief over the teacher's death. ""I will talk to the chief minister Raghubar Das and education minister Neera Yadav to sort out the para teachers' issue at the earliest,"" she said.

Marandi said that the government was serious about their issues and agreed to concede demands to some extent. ""I would request the agitating teacher to withdraw their strike,"" she said."
"3","1015347962","2018-12-11","https://www.dnaindia.com/ahmedabad/report-ahmedabad-teacher-thrashes-class-x-student-thrice-parents-stage-protest-outside-school-2694482","Ahmedabad: Teacher thrashes Class X student thrice, parents stage protest outside school","Daily News and Analysis (DNA) India",FALSE,"Parents protesting outside school Parents protesting outside school

A Class 10 student was thrashed thrice with a stick by his teacher at Mehta Thakkar School in Sabarmati on Saturday. A complaint was lodged with Sabarmati police on Monday. The victim has sustained a fracture in his right hand.

The parents and the relatives of the victim staged a protest outside the school on Monday, seeking suspension of the teacher.

The accused, Digvijay Solanki, beat up the 15-year-old boy because he was allegedly disturbing his friends during Social Studies class. The boy's parents were called in after he was taken to a hospital. Sabarmati police were called for help after the protesters entered the school campus.

""We are trying to find out why the teacher beat the boy. The 15-year-old was beaten thrice with a stick and suffered a fracture. We are yet to arrest the accused,"" said RS Vala, In-charge Inspector of Sabarmati police station. Alleging that the school was trying to shield the teacher, the parents have said that the school has not acted on their complaint.

Alleging that the school was trying to shield the teacher, the parents have said that the school has not acted on their complaint."
"4","980268488","2018-10-28","https://www.thehindu.com/news/national/tamil-nadu/students-protest-against-transfer-of-teacher/article25351041.ece","Students protest against transfer of teacher","The Hindu",FALSE,"Police register case against five , including the teacher, for instigating students

Tension prevailed at the Government Higher Secondary School in K. Morur village near Kaadayampatti when students boycotted classes and staged a protest against the transfer of a teacher on the issue of felling trees on the campus.

Police sources said that a few trees on the campus were felled a month ago for the construction of classroom block. Based on the report of the local village administrative officer that the trees were felled without the permission of the government, the School Education Department transferred the then headmistress Sangamithirai.

The Department on Friday transferred Govindaraj, a social science teacher, for his involvement in the felling of trees.

Protesting against the transfer of Govindaraj, the students abstained from classes on Saturday and sat in dharna in front of the school.

The Theevattipatti Police rushed to the school and pacified the students, who later withdrew the agitation.

Meanwhile, Theevattipatti Police booked cases against five persons - Sinnasamy (40), Kumarasamy (37) and Maadhu (42), all local residents, Suresh Babu, assistant headmaster of the school, and teacher Govindaraj for instigating the students to stage the protest.

Sinnasamy, Kumarasamy and Maadhu were arrested and remanded in judicial custody. The police are on the look out for Suresh Babu and Govindaraj, sources said."
"5","979618148","2018-10-27","https://timesofindia.indiatimes.com/city/mysuru/students-protest-to-retain-teacher-at-school-succeed/articleshow/66384094.cms","Students protest to retain teacher at school, succeed - Times of India","The Times of India",FALSE,"Mysuru: It is often said that teachers expect no greater gift from their students than gratitude. The students of the Government Higher Primary School in DB Kuppe, HD Kote taluk expressed their gratitude for their teacher not in words or gifts, but through a campaign to ensure she remained with them. Following orders issued by the department of public instruction deputing the school's in-charge headmistress Prathibha to another taluk, nearly 290 students staged a protest demanding that she remain at DB Kuppe.

The deputy director of public instruction, Mysuru on Friday issued an order cancelling Prathibha's deputation. The students, who received support from the members of the School Development Monitoring Committee (SDMC), locked classrooms and staged a dharna in front of the school. Prompted by these unforeseen developments, senior officials from the education department visited the school, where they found the students refusing to budge.

Forced to relent in the face of the protest by students, the department cancelled the deputation of the teacher in question. Prathibha has been working at the school for more than a decade, and has developed a good rapport with both the students and their parents. On learning of her deputation, the students and the villagers decided to protest the decision.

SDMC president Raju said, ""Prathibha has been working at the school for the past 12 years, and her performance has been commendable. For a very long time, the school does not have adequate number of teachers, which has had an adverse effect on the education of children. But, since Prathibha came to the school, she has managed things effectively,""

The teacher was allegedly deputed to another taluk following an allegation by a member of the DB Kuppe gram panchayat.

HD Kote block education officer Sundar told TOI that the allegation pertained to abuse of school facilities. ""After the GP member made these allegations, we deputed the teacher to Magge village. But she did not report there, and since the students and SDMC members demanded that she be retained, she has been allowed to continue at the school,"" Sundar said."
"6","965075248","2018-10-09","https://www.ibtimes.co.in/kolkata-dance-teacher-molests-minor-girl-accused-held-parents-protest-outside-school-782643","Kolkata: Dance teacher molests minor girl; accused held as parents protest outside school","International Business Times, India Edition",FALSE,"The school turned into a battlefield of sorts after angry parents arrived at the school demanding immediate action. The police baton charged to bring the crowd under control.

A Kolkata school teacher was arrested on Tuesday for allegedly molesting a Class 2 girl student inside school premises a few days ago, police said.

The school turned into a battlefield of sorts after angry parents arrived at the school demanding immediate action. The police baton charged to bring the crowd under control.

""The accused teacher has been arrested. The situation turned really tough but now it is under control,"" Deputy Commissioner of Police (South East division) Kalyan Mukherjee said.

According to the victim's parents, the dance teacher had molested the girl on several occasions. On Monday, a police complaint was lodged.

Alleging that the school authorities refused to take action despite repeated complaints, angry parents and guardians demonstrated outside the school leading to the police using force to disperse them.

Television visuals showed several protesters bleeding after they were baton charged. Even some of the police personnel were injured. ""Why are they hitting us,"" an angry woman who was bleeding said."
"7","965034103","2018-10-09","http://www.freepressjournal.in/headlines/kolkata-parents-protest-outside-school-against-alleged-molestation-of-student-by-teacher/1371475","Kolkata: Angry parents protest outside school after six-year old allegedly molested by teacher | Free Press Journal","Free Press Journal",FALSE,"Kolkata: A six-year-old girl student was allegedly molested by a male teacher at a school in south Kolkata which triggered protests by angry parents in front of the institution, police said.

Ananya Chakrabarty, Chairperson of the West Bengal Child Rights Commission, said that the student had been molested by the male teacher. The accused teacher was taken to a police station and investigation was on, police said.

The police had a tough time to control the protestors who tried to enter the school. Brickbats were hurled at the police personnel in which some of them were injured, the sources said. The police had to weild batons to disperse the demonstrators.

Deputy Commissioner of Police(South East division) Kalyan Mukherjee said, ""The teacher was taken to the police station. Investigation is on"". The school authorities were not available for immediate comments."
"8","965024096","2018-10-09","https://www.firstpost.com/india/teacher-sexually-assaults-minor-in-kolkatas-dhakuria-police-arrest-35-year-old-man-after-parents-protest-outside-school-5343991.html","Teacher sexually assaults minor in Kolkata's Dhakuria; police arrest 35-year-old man after parents protest outside school - Firstpost","Firstpost",FALSE,"Kolkata Police on Tuesday arrested a 35-year-old dance teacher at a girls' school for sexually harassing a minor girl following massive protests by angry parents outside the school premises.

The matter has been reported from the Binodini Girls High School in Kolkata's Dhakuria area. According to CNN-News18, the age of the girl is not known, but it has been confirmed that she is a minor. The incident triggered a protest by angry parents, who were demanding an answer from the school authorities regarding the allegations.

The police had a tough time trying to control the angry parents who tried to enter the school. The police had to wield batons to disperse the demonstrators after the protest intensified.

Deputy Commissioner of Police (South East division) Kalyan Mukherjee told PTI, ""We are trying to talk to the guardians and handle the situation."" Police, however, confirmed that no complaint had been lodged by the parents of the girl.

The school authorities were not available for comments.

Last month a teacher of the Carmel Primary School in Kolkata was arrested for allegedly molesting a minor after angry parents surrounded the school and demanded access to the accused.

With inputs from PTI

Updated Date: Oct 09, 2018 14:18 PM"
"9","964988074","2018-10-09","http://www.asianage.com/metros/kolkata/091018/kolkata-parents-protest-outside-school-against-molestation-of-student-by-teacher.html","Kolkata: Parents protest outside school against molestation of student by teacher","The Asian Age",FALSE,"Kolkata: Parents of students in a south Kolkata school Tuesday protested before the institution alleging that a minor girl was molested by a male teacher, police said.

The police had a tough time to control the angry parents who tried to enter the school. The police had to wield batons to disperse the demonstrators.

Deputy Commissioner of Police(South East division) Kalyan Mukherjee said, ""We are trying to talk to the guardians and handle the situation.""

Police, however, said that no complaint had been lodged by the parents of the girl.

The school authorities were not available for comments."
"10","964943943","2018-10-09","https://www.latestly.com/india/news/kolkata-minor-girl-student-sexually-assaulted-by-teacher-in-school-premises-parents-protest-426880.html","Kolkata: Minor Girl Student Sexually Assaulted by Teacher in School Premises, Parents Protest | LatestLY","Latestly",FALSE,"Kolkata, October 9: A girl student was allegedly raped by a teacher at a school in south Kolkata. A large crowd gathered outside the school following the incident of sexual assault and demanded strict action against the accused teacher. The victim was five-year-old. It was not clear whether the accused, whose identity was not immidiately known, was arrested.

Locals inclduing the victim's parents protested agianst the school where the girl was sexually molested. The agitating crowd was prevented from entering the school by the police. Cops present at the spot were struggling to calm the protesting people. Some people were injured during the protest."
