"","ID","date","url","title","source","duplicate","body"
"1","1024112109","2018-12-21","https://www.business-standard.com/article/pti-stories/delegations-of-jnu-teachers-association-students-union-meet-mps-118122101251_1.html","Delegations of JNU teachers' association, students' union meet MPs","Business Standard",FALSE,"'JNU admin plans to place teachers under Conduct of Central Services Rules'

Delegations from the Jawaharlal Nehru University Teachers' Association and students' union Friday met MPs from across political parties who promised to raise issues related to the varsity in Parliament, the JNUTA said.

The delegation has felt encouraged by the promise made by the parliamentarians to raise the matter in Parliament and also outside, they said.

The JNUTA also informed the MPs that 37 teachers have approached the Delhi High Court on the MCQ-based computerised online JNU entrance examination.

The body said they have sought the attention and intervention of the MPs in protecting a public university that has acquired excellence in research and teaching nationally and internationally.

""We provided the MPs a comprehensive document that exposes the vice chancellor's role in destroying the teaching and learning process in JNU.

""The delegation pointed out to the MPs about the vice chancellor's violations of the JNU Act, statutes and ordinances by constant misuse of his power of authority,"" the JNUTA said.

The MPs were also informed about ""the drastic cut in the academic expenditure"" in the university, including alleged fund cut for the JNU library and for e-journals, it said.

Issues of harassment of teachers, penalising members of the faculty and denying them their legitimate dues and undermining students' safety and welfare were also raised, the body said.

The JNUTA claimed that the Delhi High Court has said no disciplinary actions can be initiated against teachers for criticising the online entrance exams.

""Finding merit in the petition of the teachers, who it recognised as having the best interests of the students at heart, the HC in an interim relief observed that no disciplinary actions can be taken against teachers for raising their dissent to the process and extended the JNU administration's deadline of December 21 for submitting their question papers to December 31,"" it said.

The papers which are so submitted shall be subject to the outcome of the petition, they added.

The writ petition challenges the decisions made by the JNU vice-chancellor and its executive council on procedural and substantive grounds, the JNUTA added.

The petition also challenges the tripartite MoU signed between the varsity, HRD Ministry and the UGC without the approval of the academic council.

""The petition raises several substantive issues about the unsuitability of an exclusively MCQ-based online JNUEE for disciplines in the social sciences and the humanities, the implications it is likely to have on disadvantaged sections and persons with disabilities, the quantum of costs involved, the fallibility of technology, and several other points.

""The next date for the hearing is January 11 next year,"" the body said.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"2","1024085838","2018-12-21","https://www.latestly.com/agency-news/dl-jnuta-mps-delegations-of-jnu-teachers-association-students-union-meet-mps-553041.html","DL-JNUTA-MPs Delegations of JNU Teachers' Association, Students' Union Meet MPs | LatestLY","Latestly",FALSE,"New Delhi, Dec 21 (PTI) Delegations from the Jawaharlal Nehru University Teachers' Association and students' union Friday met MPs from across political parties who promised to raise issues related to the varsity in Parliament, the JNUTA said.

The delegation has felt encouraged by the promise made by the parliamentarians to raise the matter in Parliament and also outside, they said.

The JNUTA also informed the MPs that 37 teachers have approached the Delhi High Court on the MCQ-based computerised online JNU entrance examination.

The body said they have sought the attention and intervention of the MPs in protecting a public university that has acquired excellence in research and teaching nationally and internationally.

""We provided the MPs a comprehensive document that exposes the vice chancellor's role in destroying the teaching and learning process in JNU.

""The delegation pointed out to the MPs about the vice chancellor's violations of the JNU Act, statutes and ordinances by constant misuse of his power of authority,"" the JNUTA said.

The MPs were also informed about ""the drastic cut in the academic expenditure"" in the university, including alleged fund cut for the JNU library and for e-journals, it said.

Issues of harassment of teachers, penalising members of the faculty and denying them their legitimate dues and undermining students' safety and welfare were also raised, the body said.

The JNUTA claimed that the Delhi High Court has said no disciplinary actions can be initiated against teachers for criticising the online entrance exams.

""Finding merit in the petition of the teachers, who it recognised as having the best interests of the students at heart, the HC in an interim relief observed that no disciplinary actions can be taken against teachers for raising their dissent to the process and extended the JNU administration's deadline of December 21 for submitting their question papers to December 31,"" it said.

The papers which are so submitted shall be subject to the outcome of the petition, they added.

The writ petition challenges the decisions made by the JNU vice-chancellor and its executive council on procedural and substantive grounds, the JNUTA added.

The petition also challenges the tripartite MoU signed between the varsity, HRD Ministry and the UGC without the approval of the academic council.

""The petition raises several substantive issues about the unsuitability of an exclusively MCQ-based online JNUEE for disciplines in the social sciences and the humanities, the implications it is likely to have on disadvantaged sections and persons with disabilities, the quantum of costs involved, the fallibility of technology, and several other points.

""The next date for the hearing is January 11 next year,"" the body said."
"3","1019849673","2018-12-16","https://www.business-standard.com/article/pti-stories/jnu-admin-accuses-teachers-association-students-union-of-running-misinformation-campaign-118121600604_1.html","JNU admin accuses teachers association, students union of running misinformation campaign","Business Standard",FALSE,"The Jawaharlal Nehru University administration on Sunday accused the teachers association and students union of running a misinformation campaign and making allegations ""without credible evidence"" against it.

The administration urged the JNU community to refrain from believing ""politically motivated statements"".

JNUTA has been violating the established rules and regulations of the university and issuing press releases with false information, said JNU Registrar Pramod Kumar.

The teachers association and the administration have been at loggerheads as JNUTA members are not in agreement with implementation of compulsory attendance. JNUTA has claimed that teachers are being denied leaves.

""Implementation of attendance rules is challenged by invoking emotions against the administration. Most of the leaves of faculty members are sanctioned by chairpersons and deans and only duty leave applications for foreign travel and leave applied by deans need the approval of the vice chancellor/rector,"" Kumar said.

He said the agitators against the attendance rule staging protests at legally prohibited areas on the campus and not at the designated place for demonstration Sabarmathi Ground.

He also said allegations are being made without credible evidence. ""Accusations against the administration for alleged massive cut in the library budget are a glaring example.""

The JNU students' union protested on Wednesday against the library fund cuts and closing of one of the reading halls of the library. The union has accused the administration of cutting down library funds from Rs 8 crore to Rs 1.7 crore.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"4","1007033316","2018-11-30","https://swarajyamag.com/insta/swami-vivekananda-at-jnu-students-union-teachers-up-in-arms-question-source-of-funding-for-proposed-statue","Swami Vivekananda At JNU: Students' Union, Teachers Up In Arms, Question Source Of Funding For Proposed Statue","swarajyamag.com",FALSE,"Representative Image (Sanjeev Verma/Hindustan Times via Getty Images)

Jawaharlal Nehru University Student's Union (JNUSU) and Jawaharlal Nehru University Teacher's Association (JNUTA) have questioned the institute's Executive Council's decision to install a life-sized statue of Swami Vivekananda in the campus, Indian Express has reported.

Sources who spoke to PTI informed that the statue will be installed towards the right side of the administration block. It will be placed opposite the statue of Pandit Jawaharlal Nehru.

The Executive Council had explained its position in a statement to Indian Express. ""For a more pleasing look, it has been decided by the competent authority that a statue of suitable height and size of a historically important person like Swami Vivekananda -- whose contribution to the nation building is universally acknowledged -- may be erected with proper elevated platform, stone pathways, benches, lights and interconnected works, including public utilities, etc,"" the council said.

JNUSU and JNUTA have argued that the university does not have money for library funds and disbursal of the merit-cum-means scholarship to students. They have criticised the proposal to have a statue in this scenario."
"5","999353320","2018-11-20","https://www.thehindu.com/news/cities/Delhi/teachers-union-slams-jnu-administration/article25552624.ece","Teachers' union slams JNU administration","The Hindu",FALSE,"Newly elected JNUTA announces strike on Nov 24 and mass leave on Nov 28

The newly elected JNU Teachers' Association in its first General Body Meeting condemned the ""ongoing efforts of the JNU administration to destroy the teaching and learning culture at the university and decided not to take the assault on the university lying down"".

The teachers decided on Tuesday that they would go on a 24-hour hunger strike on November 24 and go on mass leave on November 28 as issues raised by them were neither tabled or discussed by the Executive Committee meeting.

""Such indignity meted out to the collective wisdom of the teachers has anguished the teaching community of JNU,"" said the JNUTA.

The JNUTA alleged that in a circular dated November 13, the administration had announced that proposals for seminar participation, conference travel, project meetings, prestigious fellowships, including those scheduled during vacations will be allowed if teachers comply with the ""diktats"" of the university.

The teachers said that the circular goes on to say that they will be allowed to teach, conduct research and reimburse medical bills only if they ""fall in line"" and not question the ""diktats"" of the ""competent authority"", and that they condemn in strongest possible terms the punitive ways of enforcing these arbitrary decisions on teachers.

The JNUTA also passed a resolution at its GBM to oppose the announcement by the administration that JNU may now have a satellite campus for which private funding will be sought in which all policies of affirmative action and reservation can be flouted and allow for differential rates of remuneration for visiting faculty.

The JNUTA said that such announcements flow from specific clauses of the UGC regulations on graded autonomy that it rejects as it is a step towards privatisation.

The teachers said the administration has remained adamant on conducting an online entrance examination. It said that it was against JNU's unique interdisciplinary character that requires an entrance exam that is designed not just to test the domain knowledge across disciplines but also to test analytical capability through a combination of techniques. ""This pattern, and the fact that the entrance examination is conducted in 72 centres spread across 54 cities, through pen-paper mode and often answered in several regional languages, has ensured that the university has been able to fulfil the regional diversity and social representation mandated by the JNU Act,"" the teachers said.

They added that computer-based online tests at computer terminals in cities with poor power supply and erratic and unstable Internet connections will not only restrict access to students from remote areas and marginal sections of society but also prove as a great deterrent.

The JNUTA added that administration had also failed to explain satisfactorily the need to outsource the conduct of the test to a third party."
"6","982453260","2018-10-30","https://indianexpress.com/article/education/ssa-rmsa-teachers-stir-10-union-leaders-transferred-villagers-lock-schools-in-mansa-5426261/","SSA, RMSA teachers' stir 10 union leaders transferred, villagers lock schools in Mansa","The Indian Express",FALSE,"Amid the ongoing protest by Sarv Siksha Abhiyaan (SSA) and Rashtriya Madhyamik Siksha Abhiyaan (RMSA) teachers against their regularisation, bringing their salary down to Rs 15,000 a month from Rs 42,800, 10 union leaders of Mansa and Patiala districts, who are supporting them, were issued transfer orders on Monday. Out of these 10 teachers, four are from Mansa and rest from Patiala, while six are on regular pay rolls.

Among them, Amolak Singh, leader of Elementary Teacher Training (ETT) union, who was posted in Sadda Singh Wala village, about 10 km from Mansa city, has been transferred to the last village of the district, Beerewala Dogra, 60 km away from his last posting. Hardeep Singh Sidhu, ETT union district president, said the ETT teachers cannot be transferred out of the district and hence the last village was chosen. ""Amolak is on regular rolls."" Narinder Singh, district president of government teachers' union, Mansa, was posted in Raipur village of the district. He was earlier in Tarn Taran district. Karamjeet Singh, a science teacher of Dalelwala village in Mansa, has been sent to Amritsar. He is a committee member of democratic teachers' front, Mansa, said Sidhu.

Senior vice-president of government teachers' union Gurdas Singh has been transferred to Hoshairpur from Bajewala village of Mansa. All the teachers had participated in the dharna outside the Deputy Commissioner's office in Mansa. Sidhu said as all the union leaders are active in the ongoing protest, they have been targeted. ""It is an effort to weaken out protest. However, so far no one has joined.""

Villagers also locked schools and staged protest outside them on Tuesday, demanding that the transfers of the four Mansa teachers be revoked. Though District Education Officer Subash Chandra tried to pacify the villagers by saying that teachers on deputation will be sent soon, they refused to relent, saying that the transfers were uncalled for.

On the other hand, Atinder Pal Singh Ghagga, president of DTF, Patiala, has been transferred to Hoshairpur, while Bikram Dev to Gurdaspur, Davinder Singh Poonia, convenor of Sanjha Adhiyapak Morcha, said. ""Both are on regular rolls. A few SSA/RMSA union leaders have also been transferred out. Our protest started from October 7 and is continuing. We are supporting nearly 9,000 SSA/RMSA teachers who have been regularised, but their salary has been reduced from Rs 42,800 to Rs 15,000. We are waiting for a meeting with the Chief Minister on November 5 and will decide our next line of action after that,"" he said.

He added, ""So far our talks with education department officials have failed."" On the other hand, the dharna continued in Patiala and teachers from across the state are joining it.

The 9,000 SSA/ RMSA teachers had been appointed over 10 years ago and after annual appraisals, their salary had reached Rs 42,800, though they were not on government rolls. However, Punjab government recently regularised them and treated them as freshers and hence put them on Rs 15,000 a month salary slab."
"7","973953431","2018-10-20","https://www.dnaindia.com/delhi/report-delhi-university-teachers-union-demand-pay-hike-2677120","Delhi University teachers' union demand pay hike","Daily News and Analysis (DNA) India",FALSE,"The Delhi University absorption/regularisation union has asked for increment and other health facilities, provided to ad-hoc teachers of Delhi University, as the Delhi University is in process to adopt University Grants Commission (UGC) guidelines, the policies would allow promotion of about three thousand teachers who have been long waiting for their promotion. The teachers would be entitled to increment. The increment would be calculated after including their work as ad-hoc as well.

However, the union has now raised their objection stating that if the tenure as ad-hoc can be added to calculated to increment, then the ad-hoc must also be entitled to increments and other health facilities.

""Ad-hoc teachers of the University feel that University administration is discriminatory in extending the benefit of the new UGC guidelines to the ad-hoc teachers. We demand that our past ad-hoc services should be counted for the purpose of annual increments like permanent teachers,"" asked Assistant professor Manoj Kumar in a statement.

The teachers claim that before 2007 the ad-hoc teachers were also provided increment, but after that the increment has been stopped, however 29 teachers are still getting the increment.

""Before 2007, Ad-hoc teachers were provided increment and still their are 29 teachers who get that, the teachers appointed after 2007 are not entitled to increment,"" added Kumar.

With about 50 percent of teachers in DU still working on ad-hoc basis, their payments are made at entry level pay scale from past several years without any other service benefits.

The teacher claim that since they are equally qualified as a permanent teacher, they must also get equal pay. ""We are as qualified as a permanent teacher and share equal duties and responsibilities. It also violates law of 'equal pay for equal work',"" added Kumar."
"8","967539767","2018-10-12","https://article.wn.com/view/2018/10/11/teachers_union_head_aposs_next_steps_unclear_after_blog_post/","Teachers union head's next steps unclear after blog posts prompt resignation","article.wn.com",FALSE,"There is a dilemma in American education. On the one hand, teachers are essential to student achievement. On the other, teachers unions promote self-interests of their members which are antithetical to the interests of students. So, how do we fix this problem? In five minutes, Terry Moe, Professor of Political Science at Stanford University, delineates this quandary and offers solutions. Donate today to PragerU! http://l.prageru.com/2ylo1Yt Joining PragerU is free! Sign up now to get all our videos as soon as they\'re released. http://prageru.com/signup Download Pragerpedia on your iPhone or Android! Thousands of sources and facts at your fingertips. iPhone: http://l.prageru.com/2dlsnbG Android: http://l.prageru.com/2dlsS5e Join Prager United to get new swag every quarter, exclusive early access to our videos, and an annual TownHall phone call with Dennis Prager! http://l.prageru.com/2c9n6ys Join PragerU\'s text list to have these videos, free merchandise giveaways and breaking announcements sent directly to your phone! https://optin.mobiniti.com/prageru Do you shop on Amazon? Click https://smile.amazon.com and a percentage of every Amazon purchase will be donated to PragerU. Same great products. Same low price. Shopping made meaningful. VISIT PragerU! https://www.prageru.com FOLLOW us! Facebook: https://www.facebook.com/prageru Twitter: https://twitter.com/prageru Instagram: https://instagram.com/prageru/ PragerU is on Snapchat! JOIN PragerFORCE! For Students: http://l.prageru.com/29SgPaX JOIN our Educators Network! http://l.prageru.com/2c8vsff Script: Shortly af..."
"9","967539750","2018-10-12","https://article.wn.com/view/2018/10/12/Delaware_teachers_union_president_resigns_after_sexist_racis/","Delaware teachers union president resigns after sexist_ racist blog posts unearthed","article.wn.com",FALSE,"Top 10 reasons NOT to move to Delaware. Wilmington is one of them. Every state has its own set of problems, Delaware has some extra. . Haunted Portland video: https://www.youtube.com/watch?v=kSz-Ps8K78c Patreon: https://www.patreon.com/user?u=4761105 Business email: Graveyardsjim@gmail.com Mailing Address: World According to Briggs 20449 SW Tualatin Valley Hwy #354 Aloha, Oregon 97007 Thanks for stopping by The world according to Briggs, I make lists. Not just lists of random stuff, I make them about states, cities, towns and other places in the United States. I post 3 times a week and sometimes live stream, so please subscribe and enjoy. . Travel essentials: audible.com: https://amzn.to/2Hip1Rs Sling Bag : https://amzn.to/2F6gQ97 Tablet : https://amzn.to/2HPp8Fe Patreon: https://www.patreon.com/user?u=4761105 Business email: Graveyardsjim@gmail.com Travel books you need to read. Blue Highways: http://amzn.to/2fLiF1b 1K places to see before you die: http://amzn.to/2E3qitV Travels with Charley in Search of America: http://amzn.to/2BVcQqr . Do you want to make videos like I do on this channel? This is all you need: DJI Iphone Gimbal: http://amzn.to/2wUec5t DJI Phantom 3: http://amzn.to/2xqULT2 Blue Yeti Microphone: http://amzn.to/2wx06ne Sound Cage:http://amzn.to/2wwZv4R Editing Software:http://amzn.to/2u3RAOD Shuttle Controller: http://amzn.to/2v4XxrW Pop filter:http://amzn.to/2u43FDL Acoustic Foam: http://amzn.to/2j0qYIw Royalty Free Images Stock..."
"10","967331878","2018-10-11","https://article.wn.com/view/2018/10/11/Delaware_teachers_union_president_resigns_after_sexist_racis_k/","Delaware teachers union president resigns after sexist_ racist blog posts unearthed","article.wn.com",FALSE,"Top 10 reasons NOT to move to Delaware. Wilmington is one of them. Every state has its own set of problems, Delaware has some extra. . Haunted Portland video: https://www.youtube.com/watch?v=kSz-Ps8K78c Patreon: https://www.patreon.com/user?u=4761105 Business email: Graveyardsjim@gmail.com Mailing Address: World According to Briggs 20449 SW Tualatin Valley Hwy #354 Aloha, Oregon 97007 Thanks for stopping by The world according to Briggs, I make lists. Not just lists of random stuff, I make them about states, cities, towns and other places in the United States. I post 3 times a week and sometimes live stream, so please subscribe and enjoy. . Travel essentials: audible.com: https://amzn.to/2Hip1Rs Sling Bag : https://amzn.to/2F6gQ97 Tablet : https://amzn.to/2HPp8Fe Patreon: https://www.patreon.com/user?u=4761105 Business email: Graveyardsjim@gmail.com Travel books you need to read. Blue Highways: http://amzn.to/2fLiF1b 1K places to see before you die: http://amzn.to/2E3qitV Travels with Charley in Search of America: http://amzn.to/2BVcQqr . Do you want to make videos like I do on this channel? This is all you need: DJI Iphone Gimbal: http://amzn.to/2wUec5t DJI Phantom 3: http://amzn.to/2xqULT2 Blue Yeti Microphone: http://amzn.to/2wx06ne Sound Cage:http://amzn.to/2wwZv4R Editing Software:http://amzn.to/2u3RAOD Shuttle Controller: http://amzn.to/2v4XxrW Pop filter:http://amzn.to/2u43FDL Acoustic Foam: http://amzn.to/2j0qYIw Royalty Free Images Stock..."
