"","ID","date","url","title","source","duplicate","body"
"1","1029350279","2018-12-30","http://www.newindianexpress.com/states/odisha/2018/dec/30/teacher-suspended-for-assaulting-students-1918313.html","Teacher suspended for assaulting students","The New Indian Express",FALSE,"Jagatsinghpur: District Education Officer (DEO) Prativa Manjari Das on Saturday suspended Mathematics teacher of NAC High School, Paradip Sudhanshu Prasad Behera for caning students.

Behera has been accused of beating up students for not completing their homework or failing to give answers to his questions in the class. The teacher had caned a student Devaki Mandal 43 times as her roll number was 43.

The girl sustained injuries on her hands and legs. The teacher was so feared by the students that they skipped his class. After receiving complaints from parents regarding Behera's conduct, Das had directed the headmistress of Chatua High School Sukanti Behera to conduct a probe into the allegations. ENS"
"2","1014573667","2018-12-10","https://scroll.in/video/905025/watch-a-gurugram-teacher-was-suspended-for-allegedly-putting-tape-across-students-mouths","Watch: A Gurugram teacher was suspended for allegedly putting tape across students' mouths","Scroll.in",FALSE,"The teacher claimed that she took the extreme step after the four-year-old children were disrupting the class.

A teacher of a private school in Gurugram was suspended for allegedly putting adhesive tape across the mouths of two students to keep them from talking.

Closed circuit TV footage of the incident, which took place in October, surfaced recently on social media. According to reports, parents of two four-year-old students - one boy and one girl - filed a complaint. The school management acted on the complaint and suspended her.

The teacher, meanwhile, claimed that the children were disturbing the class and sometimes using crude language. Oddly, another adult who was present did nothing to stop it.

""On the complaint of students' parents, we had taken strict action and suspended the teacher,"" Gururaj, the principal, said."
"3","1013825809","2018-12-08","https://www.outlookindia.com/website/story/watch-gurgaon-teacher-puts-cellotape-on-mouths-of-lkg-students-to-keep-them-quiet-suspended/321404","Watch: Gurgaon Teacher Puts Cellotape On Mouths Of LKG Students To Keep Them Quiet, Suspended","http://outlookindia.com/",FALSE,"In a shocking case of brutality against children's, a woman teacher of a private school in Gurgaon put cellotape across the mouths of two LKG children to keep them quiet during a class.

A video of the incident has gone viral on social media.

In the video, the teacher is purportedly seen putting cellotape across the mouths of two four-year-old students -- one boy and one girl -- during a class.

WATCH

Based on a complaint of the parents of the two students, the school management immediately suspended the teacher.

""On the complaint of students' parents, we had taken strict action and suspended the teacher,"" Gururaj, the school principal said.

The woman teacher claimed that the students were disturbing the entire class and they sometimes used filthy language."
"4","1013766870","2018-12-08","https://www.thehindu.com/news/cities/Delhi/teacher-puts-tapes-on-kids-mouth-suspended/article25700035.ece","Teacher puts tapes on kids' mouth, suspended","The Hindu",FALSE,"A woman teacher of a private school here was suspended for allegedly putting tapes across the mouths of two LKG children to keep them quiet during a class, school authorities said on Saturday.

A video of the incident, which took place in October, has surfaced on the social media that shows the teacher purportedly putting tapes across the mouths of two four-year-old students -- a boy and a girl.

Based on a complaint of the parents of the students, the school management suspended the teacher. The teacher claimed that the students were disturbing the class and that they use filthy language at times."
"7","1013570206","2018-12-08","https://timesofindia.indiatimes.com/city/gurgaon/gurugram-teacher-tapes-mouths-of-2-primary-students-suspended/articleshow/67000496.cms","Gurugram: Teacher tapes mouths of 2 primary students, suspended - Times of India","The Times of India",FALSE,"GURUGRAM: A woman teacher of a private school in Gurugram was suspended for allegedly putting cellotape across the mouths of two LKG children to keep them quiet during a class, school authorities said Saturday.

Based on a complaint of the parents of the two students, the school management immediately suspended the teacher.

""On the complaint of students' parents, we had taken strict action and suspended the teacher,"" Gururaj, the school principal said.

The woman teacher claimed that the students were disturbing the entire class and they sometimes used filthy langauge."
"8","1013557816","2018-12-08","https://www.latestly.com/india/news/gurgaon-teacher-tapes-mouth-of-2-kindergarten-students-suspended-watch-shameful-video-528557.html","Gurgaon Teacher Tapes Mouth Of 2 kindergarten Students, Suspended; Watch Shameful Video | LatestLY","Latestly",FALSE,"Gurgaon, December 8: A woman teacher from a private school in Gurgaon was suspended after a video of her allegedly putting duct tapes across the mouths of two lower kindergarten students to keep them quiet went viral on Friday. After the outrage by parents, the accused teacher was suspended. Former Miss Kentucky & Middle School Teacher Arrested for Sending Nude Pics to a Minor.

The 24-second video posted by the former employee of the school, captured in CCTV footage installed in a classroom at Narayana e-Techno School in Sector 37C, has been surfaced in social media and watched by thousands of people. In the clip, the teacher can be seen purportedly putting tapes across the mouth of students. Teen Student Slaps and Kicks at the Teacher While Standing on His Desk, Faces Charges.

""On the complaint of students' parents, we had taken strict action and suspended the teacher,"" Gururaj, the school principal said. He further added that action was taken within two days of the complaint. Meanwhile, the teacher claimed that the students were disturbing the class and were using foul language."
"9","1013515252","2018-12-08","https://www.hindustantimes.com/gurgaon/gurugram-teacher-suspended-for-putting-sellotape-across-mouths-of-two-lkg-kids-to-keep-them-quite/story-oWVxxL092ojnlrSv3bQ7PM.html","Gurugram teacher suspended for putting sellotape across mouths of two LKG kids to keep them quite","Hindustan Times",FALSE,"A video of the incident, that took place in October, has surfaced on social media. In the video, the teacher is purportedly seen putting sellotape across the mouths of two four-year-old students -- one boy and one girl -- during a class.(Picture for representation)

A woman teacher of a private school in Gurugram was suspended for allegedly putting sellotape across the mouths of two LKG children to keep them quiet during a class, school authorities said on Saturday.

A video of the incident, that took place in October, has surfaced on social media. In the video, the teacher is purportedly seen putting sellotape across the mouths of two four-year-old students -- one boy and one girl -- during a class.

Based on a complaint of the parents of the two students, the school management immediately suspended the teacher. ""On complaint from the students' parents, we had taken strict action and suspended the teacher,"" Gururaj, the school principal said.

The woman teacher claimed that the students were disturbing the entire class and sometimes used filthy language."
"10","1013342098","2018-12-08","https://timesofindia.indiatimes.com/city/varanasi/teacher-makes-students-clean-her-car-suspended/articleshow/66995961.cms","Teacher makes students clean her car, suspended - Times of India","The Times of India",FALSE,"GORAKHPUR: A primary schoolteacher of Piprauli block in Gorakhpur was suspended on Friday for making students clean her car.

A video of students cleaning a white car, owned by schoolteacher Garima Saraf, went viral on Thursday. It is said that the video had been made on Wednesday.

In the video, students of Khapharwa primary school are seen cleaning Saraf's car, the registration number of which is also clearly visible.

Local resident Ranjit Nishad said children of the school are often seen cleaning her car.

""After investigation, the video was found to be true. It is a crime and Saraf has been suspended. A photo was also found in which students of another primary school were seen cooking. The teacher has been suspended.

Directions have been issued to both primary schools to prevent such incidents, and to stop the salary of teachers who come late,"" Singh said."
"11","1000517124","2018-11-22","http://www.assamtribune.com/scripts/detailsnew.asp?id=nov2218%2Fat052","Delhi teacher suspended for taking head massage from students","Assam Tribune",FALSE,"Delhi teacher suspended for taking head massage from students

NEW DELHI, Nov 22: The East Delhi Municipal Corporation (EDMC) suspended a primary teacher after he was found received head massage from students.

In an order, the EDMC said such incidents are ""not acceptable and cannot be tolerated"".

""Ram Kumar, Assistant Teacher working in EDMC Primary school, Sadatpur-II...is hereby placed under suspension with immediate effect,"" the order reads.

In a video surfacing online, the teacher was seen sitting in the chair while the students were giving him head massage. - IANS"
"14","1000171356","2018-11-21","https://www.business-standard.com/article/news-ians/delhi-teacher-suspended-for-taking-head-massage-from-students-118112101415_1.html"," Delhi teacher suspended for taking head massage from students ","Business Standard",FALSE,"The East Delhi Municipal Corporation (EDMC) suspended a primary teacher after he was found received head massage from students.

In an order issued on Tuesday, the EDMC said such incidents are ""not acceptable and cannot be tolerated"".

""Ram Kumar, Assistant Teacher working in EDMC Primary school, Sadatpur-II...is hereby placed under suspension with immediate effect,"" the order reads.

In a video surfacing online, the teacher was seen sitting in the chair while the students were giving him head massage.

nks/nir

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
