"","title","url","paper","author","text"
"1","About 95% of the commuters in Bengaluru say no to bus fare hike","https://economictimes.indiatimes.com/news/politics-and-nation/about-95-of-the-commuters-in-bengaluru-say-no-to-bus-fare-hike/articleshow/65899086.cms","The Times of India","Naveen Menezes","BENGALURU: Bengaluru Bus Prayanikara Vedike (BBPV), a bus commuters forum on Thursday organised ""Commuter's Ballot"" at Kempegowda Bus Station in Majestic to know if commuters were willing to pay extra for bus tickets. The forum sought commuters feedback days … [+1621 chars]"
"2","95% Bengalureans say no to bus fare hike: Survey","https://timesofindia.indiatimes.com/city/bengaluru/commuter-ballot-95-bengalureans-say-no-to-bus-fare-hike/articleshow/65891285.cms","The Times of India","Christin Mathew Philip","BENGALURU: In the wake of the government’s proposal to increase bus fares by 18%, volunteers of the NGO Bengaluru Bus Prayanikara Vedike (BBPV) on Thursday organized a ‘commuter ballot’ campaign at Kempegowda Bus Stand in Majestic. Polling was held from 11am … [+1604 chars]"
"3","SodaBottleOpenerWala’s Bombay Chaat House : Bites with some bang","https://www.thehindu.com/life-and-style/food/sodabottleopenerwala-hyderabad-bombay-chaat-house-2018/article24994181.ece","The Hindu","Divya Kala Bhavani","While SodaBottleOpenerWala’s design aesthetic comes across as ‘cool and old-school’, their new chaat menu reflects their snazzy and diet-friendly ethos on Mumbai-Irani cuisine. And their new menu, Bombay Chaat House, is no exception. The new menu kicked off o… [+2006 chars]"
"4","Nostalgia in a glass of boza","https://www.thehindu.com/life-and-style/food/nostalgia-in-a-glass-of-boza/article24993553.ece","The Hindu","Yamuna Matheswaran","The setting sun casts a golden glow over the otherwise nondescript street in the residential neighbourhood of Vefa, Istanbul. Not far from Sultanahmet, famous for its numerous historic attractions including the Blue Mosque and Hagia Sophia, Vefa is quieter an… [+4115 chars]"
"5","Will hasten implementation of street vendors Act: Puri","https://www.thehindu.com/news/cities/Delhi/will-hasten-implementation-of-street-vendors-act-puri/article24981398.ece","The Hindu","Zainab Rashid","Union Urban Affairs Minister Hardeep Puri on Tuesday assured the National Association of Street Vendors of India (NASVI) that the Ministry will review implementation of the Street Vendors (Protection of Livelihood and Regulation of Street Vending) Act, 2014, … [+1191 chars]"
"6","Cooking up a storm onstage","https://www.thehindu.com/entertainment/theatre/cooking-up-a-storm-onstage/article24978749.ece","The Hindu","Vikram Phukan","Appealing to the olfactory and by extension, the gustatory, are notions that theatre-makers have more than toyed with over the years, with varying degrees of success. Of course, smell and taste are part and parcel of the theatrical ‘food’ experience that migh… [+4387 chars]"
"7","‘Notification forming town vending committees issued’","https://www.thehindu.com/news/cities/Delhi/notification-forming-town-vending-committees-issued/article24971987.ece","The Hindu","PRESS TRUST OF INDIA","A notification, constituting town vending committees (TVCs) for which elections were held on July 15, has been issued, the Delhi government told the Supreme Court on Monday. A Bench of Justices Madan B. Lokur and Deepak Gupta was informed by the counsel for D… [+1596 chars]"
"8","Rules on waste management","https://www.thehindu.com/news/cities/Thiruvananthapuram/rules-on-waste-management/article24963094.ece","The Hindu","Staff Reporter","The new State Policy on Solid Waste Management lays out roles and responsibilities for waste generators too. Every waste generator, including households and institutions, have to segregate and store waste generated by them in three separate streams - bio-degr… [+1189 chars]"
"9","Interest-free loan scheme for street vendors, hawkers soon","https://www.thehindu.com/news/national/karnataka/interest-free-loan-scheme-for-street-vendors-hawkers-soon/article24950640.ece","The Hindu","Staff Reporter","Bandeppa Kashempur, Minister for Cooperation, said the scheme of providing interest-free loans to street vendors and hawkers will be launched by the end of September. He was speaking at a programme here on Friday to mark the silver jubilee of Malenadu Credit … [+1438 chars]"
"10","Bengaluru citizens rely on court to sort out civic mess","https://economictimes.indiatimes.com/news/politics-and-nation/bengaluru-citizens-rely-on-court-to-sort-out-civic-mess/articleshow/65793822.cms","The Times of India","Akshatha M","BENGALURU: In 2012, a group of Bengalureans filed a public interest litigation in the Karnataka High Court, seeking scientific solid waste management. Six years later, the court continues to monitor the issue. Through several orders over the years, the court … [+2629 chars]"
"11","Child rights panel to take up dog bite cases","https://www.thehindu.com/news/cities/bangalore/child-rights-panel-to-take-up-dog-bite-cases/article24936626.ece","The Hindu","Tanu Kulkarni","The Karnataka State Commission for Protection of Child Rights (KSCPCR) has decided to issue summons to the Bruhat Bengaluru Mahanagara Palike (BBMP) regarding the dog bite cases that have been reported in the city over the past fortnight. Y. Mariswamy, in-cha… [+1211 chars]"
"12","Kejri’s ‘thulla’ remark not defamatory: Court","https://timesofindia.indiatimes.com/city/delhi/kejris-thulla-remark-not-defamatory-court/articleshow/65761423.cms","The Times of India","Aamir Khan","NEW DELHI: Delhi CM Arvind Kejriwal’s “thulla” remark, referring to policemen who extort money from roadside vendors, is not defamatory, a city court ruled on Monday and discharged the chief minister in a case filed by policeman Ajay Kumar Taneja. The court a… [+2603 chars]"
"13","The Beloved Pav Bhaji And Its Not-So-Secret Connection To The American Civil War","https://www.indiatimes.com/lifestyle/the-beloved-pav-bhaji-and-its-not-so-secret-connection-to-the-american-civil-war-352702.html","The Times of India","Indiatimes","Given that India was introduced to potatoes only 500 years back and that Indians thought tomatoes were poisonous well into the 1800s, the fact that dish is today a favourite of all people across India is nothing short of a miracle and one we're glad about. Th… [+997 chars]"
"14","India Has Finally Got Its First ‘Clean Street Food Hub’ And At Kankaria Lake In Ahmedabad","https://www.indiatimes.com/news/india/india-has-finally-got-its-first-clean-street-food-hub-and-at-kankaria-lake-in-ahmedabad-352679.html","The Times of India","Indiatimes","So many of us are guilty of gorging on mouth-watering street food items from across the street. However, many of us are even more guilty of falling ill after binge eating them. Recently, a survey discovered that respondents had nominated Kolkata’s street food… [+2367 chars]"
"15","Techies reach out to flood-hit Pandanad","https://www.thehindu.com/life-and-style/techies-reaching-out-to-flood-hit-pandanad/article24880454.ece","The Hindu","Athira M.","“Words are not enough to thank them...but for them, this office wouldn’t have got back on its feet,” said an official of a grama panchayat office in Pandanad. Thanks to a group of employees from Technopark, the office now has new computers and network accesso… [+3805 chars]"
"16","Why Mumbai's poor are still branded as criminals?","https://timesofindia.indiatimes.com/city/mumbai/delhi-hc-junks-anti-begging-law-but-mumbais-poor-still-branded-as-criminals/articleshow/65694779.cms","The Times of India","Nergish Sunavala","They arrive in police vans at 3.30pm. Many are senior citizens, mentally or physically impaired. Constables, wielding sticks and wearing masks ""because of the smell"", bring them before a judge, who asks them to prove they aren't beggars. First-time offenders,… [+6072 chars]"
"17","Street vendors clash with police in Shivajinagar","https://www.thehindu.com/news/cities/bangalore/street-vendors-clash-with-police-in-shivajinagar/article24844429.ece","The Hindu","Special Correspondent","Tension prevailed at Shivajinagar traffic police station for some time on Saturday when a large number of people gathered to protest over the alleged assault by traffic police on hawkers who put up stalls around the St. Mary's Basilica during the St. Mary’s f… [+1116 chars]"
"18","Bhubaneshwar: In A City Of Temples, LGBTQIA+ Pride Parade Marks A Wave Of Change","https://www.indiatimes.com/news/india/bhubaneshwar-in-a-city-of-temples-lgbtqia-pride-parade-marks-a-wave-of-change-352226.html","The Times of India","Shweta Sengar","In Odisha, most people believe that homosexuality is an equivalent term for transgenders. “’Ye toh chhakka hai’, that is how people remark,” says Rohit (name changed), a 26-year-old health professional who hails from Berhampur. Coming out of the closet is a t… [+6000 chars]"
"19","From Great Reno Balloon race in Nevada to Ladakh's Naropa festival, events you'll want to bookmark","https://economictimes.indiatimes.com/magazines/travel/from-great-reno-balloon-race-in-nevada-to-ladakhs-naropa-festival-events-youll-want-to-bookmark/articleshow/65591206.cms","The Times of India","ET Bureau","ET Panache Travel offers you events in Luxury, Entertainment, Food, Sports, Music and Nightlife to experience around the world. INTERNATIONAL FIREWORKS DISPLAY CONTEST When: September 1, 8, 15 and 24 and Oct 1, 2018 Where: Macao œ The 29th Macao Internationa… [+5214 chars]"
"20","Citizens review 'Stand On The Street'","https://www.thehindu.com/theatre-fest/citizens-review-stand-on-the-street/article24807667.ece","The Hindu","The Hindu","Bittersweet! Have you ever been to a play where you enter a world through food? Stand on the Street, by Aruna Ganesh Ram’s Visual Representation, recreated all the finer points of standing on a street and watching life unfold, as all senses come alive. The sm… [+1529 chars]"
"21","Shops at T. Nagar market pulled down","https://www.thehindu.com/news/cities/chennai/shops-at-t-nagar-market-pulled-down/article24804910.ece","The Hindu","Special Correspondent","The Chennai Corporation has removed 22 shops at the vegetable market on Railway Border Road in T.Nagar, close to the Mambalam railway station. Corporation officials said that the shops were removed because the Railways is planning to use the corporation land … [+1830 chars]"
"22","B'luru: Day loans for street vendors soon","https://timesofindia.indiatimes.com/city/bengaluru/new-scheme-mobile-banks-to-dole-out-interest-free-day-loans-to-street-vendors/articleshow/65568435.cms","The Times of India",NA,"BENGALURU: Chief minister H D Kumaraswamy, who is on a loan waiver spree, has decided to moot a fresh scheme to give a day loan for street vendors who take money from private moneylenders to make a day’s living. Considered an “extension” of the Debt Relief Ac… [+2635 chars]"
"23","Street vendor beaten up to make way for VIPs","https://timesofindia.indiatimes.com/city/bengaluru/to-make-way-for-vips-bbmp-staff-beat-up-elderly-street-vendor-at-kr-market/articleshow/65556140.cms","The Times of India",NA,"BENGALURU: An elderly street vendor was roughed up by BBMP officials during a Swachhata cleanliness drive at KR Market on Sunday. Doddamma, who sells vegetables, was abused, pushed around and beaten with a stick after she refused to vacate her usual place of … [+2149 chars]"
